[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[04:38.360 --> 04:45.360]  It's a classic logo in that sense of being very attractive just to look at it. That's kind of cool, that's kind of retro, but if you get the joke, it's kind of perfect.
[04:45.360 --> 04:58.360]  Right. In his explainer, though, Casey described it as a reference to the six-color Macintosh logo, just to say that, you know, the way that people conflated Apple with Macintosh.
[04:58.360 --> 05:07.360]  It was not the Macintosh logo, it was the Apple logo. I think John Syracuse pointed out that that was an error.
[05:07.360 --> 05:14.360]  This is, you know, now you're getting into this territory where, man, you're going to get into the, you know, the greater nerd syndrome.
[05:14.360 --> 05:21.360]  There's going to be always, always going to be somebody that knows slightly more about this and is slightly less interesting in how they describe it. It just keeps getting worse and worse and worse.
[05:21.360 --> 05:28.360]  So, actually, the colors on the Apple logo represent the rainbow. Have you ever seen a rainbow?
[05:28.360 --> 05:44.360]  Thanks, buddy. Super helpful. I miss it. You know, still, how long now has it been that, what, you know, just gray or for, I guess, black Apple, but I miss it, man.
[05:44.360 --> 05:48.360]  It used to be when you bought a Mac, you got the stickers.
[05:48.360 --> 05:51.360]  We still get stickers, but now the stickers are just white.
[05:51.360 --> 06:00.360]  The rainbow stickers are so cool, and they're so, I mean, they're so, like, they're so 80s, but they're also so 70s, and they're kind of, I don't know, they're sort of, like, weirdly timeless and retro.
[06:00.360 --> 06:03.360]  I miss it. I miss it.
[06:03.360 --> 06:10.360]  They still, they've started slightly bringing it back a little bit in retro situations, didn't they?
[06:10.360 --> 06:17.360]  I think they brought it back for the LGBT Pride parade in San Francisco.
[06:17.360 --> 06:18.360]  Oh, that's cool.
[06:18.360 --> 06:26.360]  Or else they did something that clearly referenced it, you know, with the connection between the rainbow as a symbol for that community and Apple.
[06:26.360 --> 06:30.360]  And then I think that they stuck it in a commercial.
[06:30.360 --> 06:37.360]  I know they used it in at least one, because they had a commercial where they showed people's beat-up MacBooks with stickers on them.
[06:37.360 --> 06:39.360]  Oh, and they did a super fast montage.
[06:39.360 --> 06:40.360]  Yeah, super fast.
[06:40.360 --> 06:47.360]  And one of them was an old-school Apple logo, which was, it was like, whoa, is like a, you know, a real geek.
[06:47.360 --> 06:52.360]  It was cool to see Apple put up a computer with the six-color Apple logo again, even though it was in...
[06:52.360 --> 06:56.360]  Yeah, they didn't like Trotsky it. They didn't like disappear it. It was still in there.
[06:56.360 --> 07:00.360]  And then I could have sworn there was another commercial. This is why I need a live audience.
[07:00.360 --> 07:03.360]  Those, you know, those shows with the live audience, somebody would already have the link in there.
[07:03.360 --> 07:05.360]  I think there was one where they ended it.
[07:05.360 --> 07:12.360]  I don't know if it was that one where they went through the Apple 40 years and 40 seconds or what, but they had a spot where they showed it.
[07:12.360 --> 07:13.360]  I do miss it.
[07:13.360 --> 07:17.360]  I do too. It's an interesting time. Very interesting time. It's funny.
[07:17.360 --> 07:22.360]  I always were watching the Warriors game the other night and I was like, man, that logo is that, those uniforms.
[07:22.360 --> 07:23.360]  That's the worst.
[07:23.360 --> 07:25.360]  Madeline's like, well, she's like, what the hell are you talking about?
[07:25.360 --> 07:27.360]  That's totally like their throwback retro logo.
[07:27.360 --> 07:29.360]  I was like, oh, that's cool.
[07:29.360 --> 07:31.360]  And I kind of liked it once I knew that it was old.
[07:31.360 --> 07:32.360]  I kind of hate it.
[07:32.360 --> 07:33.360]  I kind of hate it.
[07:33.360 --> 07:34.360]  It's really bad.
[07:34.360 --> 07:37.360]  They even used that. What's that goofy font?
[07:37.360 --> 07:42.360]  The, uh, uh, that it's like fake classy.
[07:42.360 --> 07:45.360]  I'll have to look.
[07:45.360 --> 07:48.360]  Well, anyway, it's, it's not a good logo.
[07:48.360 --> 07:50.360]  I kind of like their colors. I like the colors.
[07:50.360 --> 07:52.360]  I do too. I do too.
[07:52.360 --> 07:53.360]  I like the three pointers.
[07:53.360 --> 07:54.360]  Oh, yeah.
[07:54.360 --> 07:56.360]  It's like, it's kind of like a, is it a copper plate?
[07:56.360 --> 07:57.360]  Maybe a little bit.
[07:57.360 --> 07:58.360]  A little bit.
[07:58.360 --> 08:02.360]  Not quite copper plate, but yeah, it's copper plate.
[08:02.360 --> 08:03.360]  Yeah, copper plate.
[08:03.360 --> 08:05.360]  That's exactly the font I'm thinking of.
[08:05.360 --> 08:12.360]  That's one of those fonts that I, I used to use. Like when I first started, started working in design, cause I thought, wow, this makes everything look classy.
[08:12.360 --> 08:13.360]  Oh, absolutely.
[08:13.360 --> 08:18.360]  It's like papyrus for men with a men's warehouse suits.
[08:18.360 --> 08:21.360]  You know, used to be comic sans and now it's papyrus.
[08:21.360 --> 08:23.360]  It's just, oh God.
[08:23.360 --> 08:26.360]  Or, you know, Philip Mistral, Mistral's fun.
[08:26.360 --> 08:27.360]  Like, you know, Mistral's fun.
[08:27.360 --> 08:31.360]  If you're like Guy Fieri at a beach bar, I'll roll with Mistral.
[08:31.360 --> 08:32.360]  You know, that's fun.
[08:32.360 --> 08:34.360]  You know what I mean? The surfy font.
[08:34.360 --> 08:35.360]  Yeah, yeah, I know exactly what you mean.
[08:35.360 --> 08:38.360]  But like, but you know, and you know, even copper plate, fine.
[08:38.360 --> 08:40.360]  You know, pick a weight, have some fun with it.
[08:40.360 --> 08:44.360]  But like papyrus, man, papyrus is the new comic sans.
[08:44.360 --> 08:51.360]  If it's like a sign in your spa or it's your menu of the day, it's like, it's always papyrus.
[08:51.360 --> 09:00.360]  So with the warriors, what do you, how amazing is it that, that photo of Eddie Hugh with Stephen, Stephen Curry, that was.
[09:00.360 --> 09:01.360]  It was delightful.
[09:01.360 --> 09:02.360]  So perfect.
[09:02.360 --> 09:03.360]  I thought it was a wonderful image.
[09:03.360 --> 09:06.360]  I would have worn some nicer shoes, but I think it's wearing flip flops.
[09:06.360 --> 09:14.360]  It's, it's one of those images though, where it's like, I mean, I'm not, I haven't been into basketball for a while.
[09:14.360 --> 09:22.360]  I used to be really into basketball, but I like the sport and I happen to find the style that Golden State plays to be delightful.
[09:22.360 --> 09:25.360]  It's a team that really has fun playing basketball.
[09:25.360 --> 09:26.360]  And I used to play basketball.
[09:26.360 --> 09:32.360]  I found the reason I liked playing it is that I found that it is a very fun game to play, especially if it goes right.
[09:32.360 --> 09:38.360]  If you're moving the ball around and everybody's getting the ball and, and your fast breaks and it's lots of scoring.
[09:38.360 --> 09:45.360]  And it's not just, you know, two seven foot guys slowly but surely backing their way to the basket.
[09:45.360 --> 09:46.360]  It can be a beautiful game.
[09:46.360 --> 09:48.360]  And that's how Golden State plays.
[09:48.360 --> 09:55.360]  And it's like watching a video game sometimes with these guys where they're shooting from 10 feet past the three point line and just hit nothing but net.
[09:55.360 --> 09:56.360]  Lots of fun to watch.
[09:56.360 --> 09:58.360]  So I've really been into the playoffs this year.
[09:58.360 --> 10:00.360]  And of course, I know who Eddie Q is.
[10:00.360 --> 10:02.360]  I've had him on my show even.
[10:02.360 --> 10:07.360]  And then here's the photo of the game of one of the most amazing games in recent NBA history.
[10:07.360 --> 10:08.360]  And it's iconic.
[10:08.360 --> 10:11.360]  What will probably become an iconic photo?
[10:11.360 --> 10:13.360]  Yeah, it really will.
[10:13.360 --> 10:15.360]  And he's wearing flip flops.
[10:15.360 --> 10:20.360]  He's dressed better there than he is at a lot of presentations.
[10:20.360 --> 10:22.360]  It's cool if I crash here for a couple of weeks.
[10:22.360 --> 10:24.360]  It's all right, Eddie, but, you know, you got to leave at some point.
[10:24.360 --> 10:33.360]  Here's my take. My take on the flip flops is first and foremost that I understand it's a California thing and I'm not I'm an East Coast person.
[10:33.360 --> 10:38.360]  We don't really you know, grown men don't really wear flip flops out, even if it's just to a basketball game.
[10:38.360 --> 10:43.360]  But I understand that California is a little a little more casual.
[10:43.360 --> 10:52.360]  My take on it, though, is having been to a lot of events, sporting events, rock concerts, et cetera, at an arena type atmosphere.
[10:52.360 --> 10:54.360]  That the floor situation isn't all that great.
[10:54.360 --> 11:03.360]  Now, I realize he had courtside seats and maybe they they make an effort to keep the spilled beer and soda to a minimum down there at the courtside.
[11:03.360 --> 11:10.360]  But that's my first thought is is that you kind of want some some waterproof footwear when you go to an arena.
[11:10.360 --> 11:13.360]  Oh, God, where do you begin?
[11:13.360 --> 11:20.360]  Well, first of all, I mean, well, I realized that was wasn't that was that in Oklahoma?
[11:20.360 --> 11:23.360]  Yeah, no, no. It was across the rivers over there.
[11:23.360 --> 11:26.360]  So, OK, but I mean, you know, the Bay Area is not California.
[11:26.360 --> 11:32.360]  It's it's it's a different thing. And it's not a question of, you know, I mean, it's one thing to like, you know, live in Pasadena or something like that.
[11:32.360 --> 11:34.360]  Look at me. I don't have toes on my shoes.
[11:34.360 --> 11:40.360]  But like here, like, man, if you're walking around San Francisco, dude, you do not want to be wearing flip flops.
[11:40.360 --> 11:44.360]  This is just so when my daughter's game, we're getting ready to go downtown with my daughter.
[11:44.360 --> 11:46.360]  Like, I want to put her in a Tyvek suit.
[11:46.360 --> 11:52.360]  Like, no, I mean, she's got she's got to wear socks and shoes. And, you know, I want to put on some like, you know, medical booties.
[11:52.360 --> 11:56.360]  It's like, ah, it's not good.
[11:56.360 --> 12:02.360]  They're moving the I think they're talking about moving the arena right near where my wife works, which is very near AT&T Park.
[12:02.360 --> 12:04.360]  Yes. Yes.
[12:04.360 --> 12:07.360]  Like kind of across the street from a children's emergency hospital.
[12:07.360 --> 12:12.360]  So it'd be real interesting to try and get your kid in during a big game.
[12:12.360 --> 12:15.360]  I don't watch sports. I'm not in sports.
[12:15.360 --> 12:20.360]  I've been enjoying watching you on Slack talking about you told a fantastic, fantastic anecdote you probably won't share here.
[12:20.360 --> 12:25.360]  But you had an amazing anecdote about your basketball career that I love you to share sometime.
[12:25.360 --> 12:27.360]  I would share. I'll share the story.
[12:27.360 --> 12:30.360]  I'll share this. OK, I'd love to hear that. I want to share this.
[12:30.360 --> 12:35.360]  Like, if you're going to be somebody who watches three sports games a year, boy, that was a great one to watch.
[12:35.360 --> 12:40.360]  Yeah, because it reminds me a little bit of like how I you know, there was a time when I enjoyed watching tennis.
[12:40.360 --> 12:49.360]  I'm not like a tennis fan, but used to be, you know, in the 80s, you could really enjoy that combination of like ace serves plus a lot of just insane volleying.
[12:49.360 --> 12:56.360]  And it feels like that got to we might have talked about this before, but it feels like tennis eventually just become all about the aces and all about like the hitting super, super hard.
[12:56.360 --> 13:02.360]  And the beauty of watching those two teams and the way that they complemented the way that the other played is.
[13:02.360 --> 13:05.360]  Yeah, you're going to get those two guys, Steph Curry and the guy who looks like Steph Curry.
[13:05.360 --> 13:07.360]  They're going to be dropping a lot of three pointers. And that's amazing.
[13:07.360 --> 13:16.360]  But then it could also be Steph Curry like just he it's almost like he's moving through a party and he's just going, excuse me, excuse me.
[13:16.360 --> 13:19.360]  Like you're like he's like, you know, I just need to get by here for a minute.
[13:19.360 --> 13:25.360]  Boom layup. How did he do that? How did he move past all of those people?
[13:25.360 --> 13:28.360]  Fast paced. They got the long game thrown from from three points.
[13:28.360 --> 13:32.360]  They're going up for the labs. The teamwork is fantastic on both teams.
[13:32.360 --> 13:38.360]  And you just you just see these two teams that are so well matched and are both operating at the height of their performance.
[13:38.360 --> 13:50.360]  And it's a complete delight to watch. He he moves through the defense while dribbling the basketball in a way that I don't think most athletic people could get through the same defense without the basketball.
[13:50.360 --> 13:53.360]  Just run. Just slip through these guys. Just get through them.
[13:53.360 --> 14:02.360]  If you show somebody that pattern like with like Fred Astaire feet on the floor dance moves and said to somebody, go repeat what he just did five times, there's no way somebody could do it.
[14:02.360 --> 14:05.360]  It really I think it really and it's always more impressive in slow motion.
[14:05.360 --> 14:10.360]  It really looks like some kind of visual effects shot that, you know, Todd Vasiri put together.
[14:10.360 --> 14:17.360]  You know, like here, Steph, just run through this crowd and then I'll I'll you know, we'll make sure we'll put the basketball in afterwards.
[14:17.360 --> 14:21.360]  We'll do it. We'll do it in post. It's composited. Yeah. Yeah.
[14:21.360 --> 14:27.360]  But like, you know, you just see one of those guys. What's the other guy's name? I forget his name. The other Clay Thompson Thompson.
[14:27.360 --> 14:34.360]  Yeah. That montage you put up was great. His 11 three pointers. But but the crazy part is, you know, I'm used to watching basketball in the Larry Bird era.
[14:34.360 --> 14:43.360]  And when you see these guys moving so fast, passing so fast and you see somebody feet beyond the three point line, they've had the ball for about a quarter of a second.
[14:43.360 --> 14:47.360]  They take a shot. And my first thought is, oh, that's a shame. Throwing away that shot.
[14:47.360 --> 14:52.360]  It's a shame they did that. And you know, Swish doesn't even touch the rim. Like what has become what is this game?
[14:52.360 --> 14:56.360]  I don't even recognize this game anymore. It's so much more fun to watch.
[14:56.360 --> 15:07.360]  I think that what's happened is that it's taken until now for even though the three pointer, the three pointer went into the NBA, I think in 1981 or so.
[15:07.360 --> 15:15.360]  And it came to college in like the later 80s and then in high school around the same time, too.
[15:15.360 --> 15:19.360]  So I when I played high school basketball, we had the three point shot, but it was new.
[15:19.360 --> 15:27.360]  Like the paint on the court in the high school gym was different color than the rest of the court because it had to pay a guy to come in and add it.
[15:27.360 --> 15:36.360]  And coaches are in all sports tend to be conservative. They are you know, they they they don't want to rock the boat.
[15:36.360 --> 15:44.360]  And so it was always treated as a novelty. And you don't want to you know, they coaches are always tell me, you know, you don't want to win, win or lose or die by the three.
[15:44.360 --> 15:50.360]  You live or die by the three. When it was yelling, it must have seemed like a risky trick.
[15:50.360 --> 15:58.360]  Yeah. And if you missed two or three in a row, coaches would be like, that's it. You know, you know, stop shooting it because you're you know, you're you're cold tonight.
[15:58.360 --> 16:04.360]  Whereas like Klay Thompson the other night missed six or seven, his first six or seven three pointers and just kept firing them up there.
[16:04.360 --> 16:08.360]  And eventually they go in because it's actually that's actually the way statistics work. Right.
[16:08.360 --> 16:15.360]  So were you the one who posted that image that was the basically the second half in shots? Did you see that graphic?
[16:15.360 --> 16:22.360]  It was like shots taken, shots missed. Oh, no, that was our mutual friend Ben Thompson posted. OK, that's incredible.
[16:22.360 --> 16:32.360]  Yeah. And just where they took their shots and just two different styles of play where Oklahoma City is not really actually a relatively poor three point shooting team overall.
[16:32.360 --> 16:42.360]  And the the Golden State shot chart, like this little dots on the court of where they took shots, it looked like this is this looks like the time in practice when we practice our three pointers.
[16:42.360 --> 16:48.360]  Right. Right. Right. With nobody with nobody's arms waving around.
[16:48.360 --> 16:58.360]  So I think what happened is that it took until now to get coaches who grew up in the three point era to really embrace it as a it's OK to shoot it.
[16:58.360 --> 17:06.360]  And just, you know, for your edification, Steve Kerr, the coach of Golden State, was a wonderful three point shooter.
[17:06.360 --> 17:10.360]  He played college ball at Arizona. I think he graduated.
[17:10.360 --> 17:13.360]  This is I used to be a sports fanatic. I can even tell you when he graduated.
[17:13.360 --> 17:21.360]  I think he graduated in 1988 and then he had a very nice pro career, including playing with the Michael Jordan Bulls later in the late 90s.
[17:21.360 --> 17:31.360]  And he was more or less the guy who, like when Michael Jordan would get double teamed or even triple teamed, Steve Kerr was the guy whose whose man probably left him to go double team Jordan.
[17:31.360 --> 17:34.360]  And Jordan would just flip him the ball and he would knock down three pointers.
[17:34.360 --> 17:41.360]  So I think having a coach who grew up in the three point era really makes the difference in terms of embracing it.
[17:41.360 --> 17:48.360]  I think I saw a stat the other day that and Larry Bird in the 80s was, I think, without question, the best three point shooter in the NBA.
[17:48.360 --> 17:52.360]  But even Larry Bird is on the record as saying he doesn't even like the rule.
[17:52.360 --> 17:57.360]  He kind of he he he's always thought it was a gimmick and that, you know, he'd shoot it because he could shoot from that far.
[17:57.360 --> 18:00.360]  But he always thought two points is good enough for anybody.
[18:00.360 --> 18:08.360]  Or or I guess the mantra that a lot of the old timers had was that you shouldn't be able to lose with a two point lead and.
[18:08.360 --> 18:13.360]  You know that the worst you do is go to overtime and a three point lead should be a sure thing.
[18:13.360 --> 18:18.360]  That if you have a three point lead with with seconds to go, you could just walk off the court because that's it.
[18:18.360 --> 18:26.360]  You're that's good enough to win. And it just when you see, you know, when you see real changes in sports, this is actually this is a question, not a statement.
[18:26.360 --> 18:32.360]  And we see real changes in sports just as a way outside observer.
[18:32.360 --> 18:45.360]  It seems like they're often in the interest of making it more interesting or speeding things up or closing some kind of a loophole that makes the game less competitive and interesting given certain conditions.
[18:45.360 --> 18:50.360]  Is that is that kind of a fair statement, like with football? It seems like that's really the case.
[18:50.360 --> 18:57.360]  Yeah. And the three point line is definitely that sort of idea that it was it was an answer to what was seen as an epidemic,
[18:57.360 --> 19:07.360]  that the game was being taken over by seven footers who just, you know, just toss the ball into him down down low and watch him, you know, bang away.
[19:07.360 --> 19:18.360]  Boy, that that that that Cal Cal Cal Drogo guy playing for Oklahoma is pretty amazing, though, that that shot that shot that that guy made, like he's just jumping toward the net.
[19:18.360 --> 19:23.360]  He seems like he's about three feet off being able to dunk it and he somehow just gets it in.
[19:23.360 --> 19:30.360]  It's amazing to watch. It's good stuff. All right. Let me take a break and thank our our first sponsor.
[19:30.360 --> 19:36.360]  And it's a new sponsor for the show. Good friends at meh dot com.
[19:36.360 --> 19:43.360]  These guys run a daily daily deal site. You go to meh dot com and every day they have a new thing that's for sale.
[19:43.360 --> 19:48.360]  And sometimes they sell out because they only have a limited number of them. Sometimes they don't.
[19:48.360 --> 19:53.360]  And they're the same guys who years ago had a site called Woot.
[19:53.360 --> 19:57.360]  You could tell they even sort of name their stuff the same way, except they were more excited back then.
[19:57.360 --> 20:03.360]  They were excited in the early days and they named it Woot. And now they've been beaten down by the man and they just call it Meh.
[20:03.360 --> 20:09.360]  Because what happened is they sold Woot to Amazon. It did not go well.
[20:09.360 --> 20:14.360]  And eventually, like it got to the point where we're under Amazon and Woot was selling multiple items a day.
[20:14.360 --> 20:19.360]  And the Woot guys were like, you know, we're we're a daily deal site. The whole gimmick is we sell one thing a day.
[20:19.360 --> 20:26.360]  And Amazon was like, well, we're Amazon. We sell everything. And so they left and they started the site up again.
[20:26.360 --> 20:31.360]  And they just call it Meh. And it's great. It is. It's not just about the daily deals, though.
[20:31.360 --> 20:35.360]  The thing is, is they put it's you got to read the descriptions. They write for it.
[20:35.360 --> 20:43.360]  They're real writers and they put funny videos up. It's really like the daily deal thing is just an excuse for them to create the sort of content that they want.
[20:43.360 --> 20:50.360]  To create. That's really what what they want is they want people come in to check out their site every day just to see what they've posted,
[20:50.360 --> 20:57.360]  what they've written, the funny videos they've put together. And then if you happen to like the the deal of the day, you can buy it.
[20:57.360 --> 21:02.360]  And if you don't, you can just give it a they even have a button. You just sign up and you have an account and you give it a Meh.
[21:02.360 --> 21:07.360]  And then they know that you weren't interested. So it's really great stuff. Very fun.
[21:07.360 --> 21:14.360]  Very interesting. These guys are super clever. So go check them out at Meh dot com.
[21:14.360 --> 21:21.360]  They got a killer deal today. What's their deal today? This will be too late. Nobody's going to be able to get it because by the time it's meta too late.
[21:21.360 --> 21:27.360]  Because it's first of all, as we record this, it is sold out. But also it's a deal day, you know.
[21:27.360 --> 21:35.360]  But again, just going in and reading for the writing is so fun. They got the food saver vacuum sealing system, albeit refurbished.
[21:35.360 --> 21:43.360]  I paid 80 bucks for this in a couple months ago because I do lots of sous vide cooking at home.
[21:43.360 --> 21:49.360]  It's back in 22 bucks out the door. It's crazy. Here's their description.
[21:49.360 --> 21:54.360]  You shouldn't use this to seal marijuana that you legally buy in Washington, Oregon, Alaska or Colorado.
[21:54.360 --> 22:00.360]  So it's easier to conceal when traveling to or through other states.
[22:00.360 --> 22:08.360]  No matter how ridiculous you think it is for possession of a plant to be legal in one state, but illegal in others, no matter how obvious it is that marijuana prohibition is on its last legs worldwide.
[22:08.360 --> 22:12.360]  That would be wrong. So that's the type of stuff you can get from them. All right.
[22:12.360 --> 22:17.360]  You want me to tell my basketball story? I would. I'm not embarrassed to tell this story.
[22:17.360 --> 22:21.360]  So when I when I was in high school, I played recreational basketball. I was I was pretty good.
[22:21.360 --> 22:26.360]  My senior year, I scored 14 points a game and we had a pretty good team and I could shoot.
[22:26.360 --> 22:30.360]  You know, my my thing, I didn't like to mix it. I didn't. What was your what was your position?
[22:30.360 --> 22:34.360]  You forward sort of like a small forward or maybe a tall shooting guard.
[22:34.360 --> 22:39.360]  It's, you know, but I was good at good at, you know, passing on a fast break.
[22:39.360 --> 22:44.360]  I scored lots of layups on fast breaks and I was good at shooting a three.
[22:44.360 --> 22:49.360]  Although I think the most I ever made in the game was five or six.
[22:49.360 --> 22:55.360]  It made me mad because I played in the Christmas tournament one time and they had had a thing in the.
[22:55.360 --> 23:01.360]  The like a school hosted like a little round robin to team or 14 Christmas tournament.
[23:01.360 --> 23:06.360]  And they had a little program and they had like our Christmas tournament records.
[23:06.360 --> 23:11.360]  And one of them was for three pointers for like across the whole tournament. And I broke it.
[23:11.360 --> 23:18.360]  And then the next year they didn't put that record in because they only printed it because it was one of their home team players who had it.
[23:18.360 --> 23:22.360]  Made me mad. Anyway, there was a team in our county that we'd play a couple of times a year.
[23:22.360 --> 23:26.360]  And there was a kid on the team who I'm guessing was born this way.
[23:26.360 --> 23:30.360]  But, you know, could have been an accident. But he only had one hand.
[23:30.360 --> 23:35.360]  And I think it was his left hand. And he was about my size.
[23:35.360 --> 23:42.360]  And he was really he was actually pretty good at basketball. And so because he was about my size, I often guarded him.
[23:42.360 --> 23:49.360]  And I remember early on, maybe like 10th grade, maybe 11th grade, we were playing a summer league game and I was guarding him and he was posting me up.
[23:49.360 --> 23:54.360]  In other words, he's backing me down on the paint. And so my chest is to his back.
[23:54.360 --> 24:02.360]  And all of a sudden I felt on the nubbin where he had like a just was sort of missing the hand.
[24:02.360 --> 24:07.360]  And his wrist ended with like a little nubbony thing. And all of a sudden I felt the nubbin in my hand.
[24:07.360 --> 24:13.360]  And I instinctively was just a little bit honestly, I was a little grossed out.
[24:13.360 --> 24:20.360]  I took a step back and his teammate passed from the ball and he turned around and made a layup because I wasn't right on his back anymore.
[24:20.360 --> 24:28.360]  And I thought, oh, man. And then like next possession or two, you know, five, two minutes later, the same thing happens, except he's like sticking it in my stomach.
[24:28.360 --> 24:34.360]  And I thought, son of a bitch, this guy's doing it on purpose. And I was like, I am not going to I'm not falling for this.
[24:34.360 --> 24:38.360]  And I had told nothing. But I was like that. That is I had nothing but respect for him.
[24:38.360 --> 24:42.360]  But I figured it out and I played him for years afterwards and he did it all the time.
[24:42.360 --> 24:50.360]  And I would I would tell my teammates, hey, either let me guard him or if you're going to guard him, know that he's he's going to do this.
[24:50.360 --> 24:54.360]  And I would watch and he'd do it all the time. And I have I thought it was so genius.
[24:54.360 --> 24:59.360]  It was like a way of like, you know, hey, I have nothing but respect for the guy because he was actually a good shooter.
[24:59.360 --> 25:03.360]  He could, you know, shoot the three pointer and everything with one hand.
[25:03.360 --> 25:14.360]  But you wouldn't think so, like anybody who said you wouldn't look at another person and criticize them because, oh, that guy's no fair. He's got long legs or that guy's got big hands or that guy's got long arms or a good eye.
[25:14.360 --> 25:21.360]  He's just he's using what he's got effectively. Yeah. And it's you know, I'm not you know, I have nothing but no complaint about it.
[25:21.360 --> 25:28.360]  But I thought it was genius. I thought it was a way of embracing, you know, taking a limitation and embracing it, making the most of it.
[25:28.360 --> 25:43.360]  And I'll tell you, it worked it absolutely. The first time on me, it worked like a charm. And I remember when other people on my team were guarding him, seeing it work and saying, I told you he was going to do that.
