[00:00.000 --> 00:08.000]  Oh boy. Once you start locking everything down. Wow. Do you unlock, can I ask you a question?
[09:17.000 --> 09:25.000]  I think I would have to update, I'd have to update it to an email address. I think there's a, there's a couple of things. And maybe even if I got like a WWDC ticket, I don't know if I got it.
[09:25.000 --> 09:36.000]  Something goes, something goes wrong and like, it could be like an iTunes problem. Sometimes there'll be these weird, sorry to go on about this, but like, you know, Syracuse and I've talked about this a lot on our program.
[09:36.000 --> 09:47.000]  Those mystery meet popups that you get periodically for like reauthorize with iCloud. And you're like, why reauthorized? Like what reauthorized? Like what do you, what is this for? Like if you got that from Google, you'd freak.
[09:47.000 --> 09:58.000]  If you were just using your computer and you got a pop-up message that said reauthorized to Google, you'd be like, what is this? But then, you know, then you get that thing where it's like, oh, now, you know, you're, you gotta go to the principal's office.
[09:58.000 --> 10:13.000]  You got to go to appleid.apple.com. You're going to sit on the bench. You're going to wait your turn. You're going to go use. I have not used appleid.apple.com in a while, but every time I've used it, I feel, I feel like I'm like indie trying to get the head of the idol.
[10:13.000 --> 10:21.000]  And I got the bag of sand. I just want to get out of here without getting speared.
[10:21.000 --> 10:24.000]  Should not have been a much bigger bag of sand.
[10:24.000 --> 10:32.000]  I've thought about it because gold, I don't know how I presume that the idol was hollow to some extent that it was not a solid like a modern chocolate bunny.
[10:32.000 --> 10:41.000]  Yeah. I presume that the idol was like a modern chocolate bunny made of gold, but even so gold is a very heavy substance.
[10:41.000 --> 10:48.000]  And I, I feel like that what they chose to do is pick something that was cinematically roughly the same size.
[10:48.000 --> 10:49.000]  Sure.
[10:49.000 --> 10:53.000]  But I feel like, you know, I've always, it's always bothered me a little bit.
[10:53.000 --> 11:01.000]  That, see, I'm just going to guesstimate here and I couldn't know without holding the idol in the bag, but I'm going to say three to six times heavier than that bag of sand.
[11:01.000 --> 11:13.000]  Yeah. I'm also, I'm loathe to criticize the scene because it, it, it famously, this is Raiders of the Lost Ark is, is arguably my favorite movie of all time, depending on what day you ask me.
[11:13.000 --> 11:23.000]  Without question, my most beloved movie of all time and the movie I know without question, it's the movie I've seen the most number of times.
[11:23.000 --> 11:28.000]  And even saying that, and one of the reasons I love the movie is that I love every single scene in the movie.
[11:28.000 --> 11:36.000]  There's not a single clunker, arguably other than the one where Marion hits him with the mirror.
[11:36.000 --> 11:45.000]  I love that. It's a, it's a, it's a classic and I mean, my, my kids like will request to watch it. It's, it's still, it's, it's really well put together.
[11:45.000 --> 11:49.000]  Yeah. And, but that scene in particular is as a standout among standouts.
[11:49.000 --> 11:51.000]  Yeah. Yeah, absolutely.
[11:51.000 --> 12:03.000]  Here's the reason I know, I think I've told this story before, but maybe not to you. The reason I know that I've seen Raiders of the Lost Ark more than any other movie is that growing up, my friend JD, who lived right down the street from me, had a VCR.
[12:03.000 --> 12:14.000]  And this is before, uh, very early years of VCR technology and, and home video. And you couldn't really even, it was like before video stores and stuff.
[12:14.000 --> 12:26.000]  It was like mostly VCRs were for taping shows and they didn't really, they, all the studios were just sort of dipping their toes into like, well, maybe we'll, maybe we'll let you watch movies on these tapes, maybe, but certainly not the good ones.
[12:26.000 --> 12:34.000]  And somehow JD's dad got a copy of Raiders of the Lost Ark on VHS, like before there were like commercial versions of it.
[12:34.000 --> 12:46.000]  I mean, it was like, you know, one of the very early days of movies that fell off the back of a truck and it was the one and only movie he had, and we both loved it.
[12:46.000 --> 12:58.000]  And so every time it rained in the summer or like on a Saturday or Sunday, JD would call me up and he would just, he would say, you want to watch Raiders? And I'd say, I'll be right there. And that's what it was. It wasn't like, do you want to watch a movie? Do you want to come over?
[12:58.000 --> 13:07.000]  He would just call up and say, do you want to watch Raiders? And I would say, sure. And we'd, I'd go down to his house and we would watch Raiders of the Lost Ark and it never got old.
[13:07.000 --> 13:20.000]  The early days of falling off a truck to me were, I want to say it would have been when I was in high school, probably around the time of Return of the Jedi, HBO would show the first Star Wars movie.
[13:20.000 --> 13:30.000]  And so lots of people of my age and maybe a little bit younger, like they, they kind of came up watching a VHS home recorded copy. That was the early fall of the truck.
[13:30.000 --> 13:47.000]  The crazy thing is, um, I was in military school for a year, 79 to 80, and we had a Betamax and the deal was if we wanted movies, we would like pitch in. Like if you had rich parents that could donate it, but you pitch in cause you could buy movies, but the movies were about 70 to a hundred dollars.
[13:47.000 --> 14:00.000]  We had a, we had a Betamax copy of MASH. We had the Omen, which was totally inappropriate, but uh, yeah. And it was a hundred bucks. If you want a copy of MASH, it was a hundred dollars.
[14:00.000 --> 14:10.000]  I heard on another podcast, I think I want to say maybe the Flop House, that that was originally like they were basically building in the cost for the idea that video stores were going to be a thing.
[14:10.000 --> 14:17.000]  So yeah, that you'd buy it and then like rent it a million times, but I don't, I don't know. That seems so ludicrous now.
[14:17.000 --> 14:26.000]  I remember the other fallen off a truck movie I remember, and I was pretty excited about it was, uh, it was probably his 10th birthday. My friend Joey had a sleepover.
[14:26.000 --> 14:41.000]  Joey's dad was a lawyer of, of, of arguably ill repute given some of the news coverage in the local town, uh, a lawyer who knew people. And uh, so I don't know, 10 or 11, 10 year olds, uh, sleeping over at Joey's house.
[14:41.000 --> 14:54.000]  We got pizza and Joey's dad said he had a real treat for us. And so Joey's dad says, there's a treat for you. It might be good. Turns out somehow the guy got a copy of Empire Strikes Back.
[14:54.000 --> 15:14.000]  Oh, come on. I just like 1983. So it was like two years after it came out. It was probably, we'd all seen it in the theaters cause that was when they'd have like next a year after it came out, they put it in theaters again and it w it was not letterboxed, but it was, it was squished.
[15:14.000 --> 15:28.000]  So like you got to see the whole, maybe not the whole frame cause that was like super widescreen, but you got to see more of the picture. But everybody looked like IG 88 and IG 88 looked like a pencil.
[15:28.000 --> 15:43.000]  And like, okay, like when the Millennium Falcon would like twist, it would like, when it'd be flying one way it would look fat and then it would like twist to go through asteroids and it would like turn into a piece of paper.
[15:43.000 --> 15:55.000]  Similar thing still happens today. Like if you're in a hotel and you know, they've got like those giant, I don't know why this happens. They've got giant, giant, giant TVs and like SD stations. And sometimes the settings are different from channel to channel.
[15:55.000 --> 16:04.000]  And sometimes, I'm sure Todd could tell us what the name for this is, but it gets real squished up from some kind of mystery meat aspect ratio. So, oh my God.
[16:04.000 --> 16:15.000]  He got a copy of this movie on VHS and it was like once at first we were all, we are super excited. Then everybody was like, what the heck? Why is everything squished? And then we kind of figured out what was going on.
[16:15.000 --> 16:25.000]  And I was kind of super happy about it because surprise, surprise, even as a 10 year old, I was a, you know, a bit of a nerd about, hey, just, you know, pan and scan sucks.
[16:25.000 --> 16:29.000]  I was kind of once, once, once I got like five.
[16:29.000 --> 16:32.000]  I was so glad to learn the name for that cause I don't think I knew it back then.
[16:32.000 --> 16:43.000]  I would watch everything. You remember the James Bond movies, one of the James Bond movies would be on. You'd be like, whoa, that's, that's weird. Like you never see that kind of weird thing in a movie, but yeah, the James Bond movies were so full of those.
[16:43.000 --> 16:49.000]  So anyway, I was really excited. That's, that's, it was a very fond memory. So thank you, Joey's dad, wherever you are.
[16:49.000 --> 16:51.000]  Nice memories.
[16:51.000 --> 17:07.000]  All right, let me take a break. I gotta feed. I gotta fit some of these, uh, uh, what do they call them? Sponsors in it's been a while since I've had an episode. I don't know. It's one thing that it's a long story and I'm not going to tell it's boring, but yeah, I gotta, I gotta thank some of these sponsors and I love them all. I love them to death. Here's the first one.
[17:07.000 --> 17:29.000]  Eero. Eero is a modern system of wifi routers. The single model router modeled it. It's nonsense that we've moved past it. This is that's, that's 1999 technology where you buy a box, stick it next to your cable modem and whatever room that is, and then hope that the signal goes through all the walls and floors of your house.
[17:29.000 --> 17:45.000]  No, the right way to do it, the modern way to do it is to set up a mesh network. You buy, buy the era, you get like three or four of these little pucks. They're each the size of a Apple TV. They're all the same. You just pick one, whichever one, the first one you take out of the box is the one you hook up to the cable modem.
[17:45.000 --> 17:54.000]  And that's like the master one. And then you hook up these other ones throughout the house and they have a helpful app that tells you to, you know, the best strategy for where to place them.
[17:54.000 --> 18:05.000]  Um, I think they even recommend a of like a square footage that they recommend one for every thousand square feet. They have a beautiful app, put it on your iPhone and the app lets you set everything up.
[18:05.000 --> 18:22.000]  You just tap, tap, tap. And then all of a sudden you've got a new wifi network in your house that is a faster than whatever you've already got. If you've got a couple of years old router and B will give you a signal that's the same all through your house.
[18:22.000 --> 18:34.000]  So like if you've got like a master bedroom, two floors up that gets a poor signal, that's not a problem anymore. It works great. I don't know anybody who's got one of these who doesn't think it's an upgrade over whatever it is they replaced it with.
[18:34.000 --> 18:44.000]  Is it perfect? No, nothing's perfect, but they've got great customer service. The app is great and they keep releasing updates that keep making it better. It's really, really great.
[18:44.000 --> 18:59.000]  This is a great company. Um, here it's currently rated 4.4 stars on Amazon with a whopping 750 reviews. They offer a one year warranty and it will work with your existing modem and internet service. You're just replacing the router. That's it.
[18:59.000 --> 19:22.000]  Um, so what do you, can you get, you get a for $399, you can get a three pack that's a hundred dollars off and for 2 99 you get a two pack that's $50 off. So go to ero.com and use the code, the talk show, the talk show, and you'll get free expedited shipping.
[19:22.000 --> 19:32.000]  If you order, if you listen, I don't know when this show is going to pop out of the, the, the internet tubes, but, but you could get one by the end of the week. So go ahead if you need a new era.
[19:32.000 --> 19:43.000]  I want to say something about Euro. I'll tell you about Euro. These guys are not jackals. They're not jackals. This is the real deal. You're going to, you put this in your house. First of all, like you say, you pick any one of them, you can mix them up. You can play a shell game.
[19:43.000 --> 19:52.000]  You start with one of these, it tells you, Oh, do the other one, do the other one. And you know what parts of your house that you thought just couldn't get the internet, you get the internet. It's like my friend, Mike.
[19:52.000 --> 20:03.000]  Curly says, imagine that just suddenly at certain points during the day, part of your house just didn't get electric. Like that's what it feels like nowadays. And this thing, it works a treat. And the app is just terrific. Not jackals.
[20:03.000 --> 20:16.000]  Yeah, really good stuff. I just love, I always hated the way with the other ones, the old ones. Uh, it was one of the reasons I liked the apple one. Remember when apple used to make stuff like this? Um, I remember like other brands, right? They used to be apple. Yeah.
[20:16.000 --> 20:34.000]  Uh, but the other ones you used to like type into a web browser, like a magic, uh, uh, local host, uh, web address and you'd get like the 1.1.1 or that 1.100 you go in there and you can get into your links. This admin admin.
[20:34.000 --> 20:46.000]  I used to have a list in envy alt of every default password. So no matter where I was, there was a pretty good chance I could get onto somebody's wifi.
[20:46.000 --> 21:15.000]  Uh, I was, I don't want to save it for the end. I want to get this out of the way cause it's important. It's really, it's, it's why I got you on the horn to see if you could come on the show because I do feel, I feel that technology press in general, but even in our circle where, you know, like I'd say in general, people say that the, the tech industry, a lot of people mean like a, what, like a 30 mile circle, you know, around San Francisco and, and.
[21:15.000 --> 21:21.000]  Yeah, cause consumer devices and your services and your Facebooks and the thingies you use to turn on your internet lights. Right.
[21:21.000 --> 21:41.000]  But there's all sorts of other technology and it's advancing at quick paces and the technology media doesn't cover it. And here's a bit of it that I, that I encountered this weekend. I was watching some of the college basketball on, on the TV and I saw a 15 second commercial from American standard. Are you familiar with this company?
[21:41.000 --> 21:51.000]  I am now. Yeah. American standard is a maker of toilets and urinals and they probably peed on your peed on their logo. Like when you go to a ball game.
[21:51.000 --> 22:05.000]  Yeah. We have a new technology called Vormax. It's anti splatter flush technology. Now I'm going to put this, I'm going to put this in the show notes. I have swear to God, I know it's a running joke that I, I often say I'm going to put something in the show notes.
[22:05.000 --> 22:20.000]  This one's going in and I'm going to put it at the top of the list of links, even if it's not the first thing we talked about. So what I recommend for everybody listening is pause the show, hit pause in your little podcast app, go to the show notes and hit the first thing.
[22:20.000 --> 22:38.000]  It'll be very clearly labeled American standard Vormax anti splatter flush technology and watch this commercial. It's it's 15 seconds. So it's, you know, you'll be back here before you know it.
[22:38.000 --> 22:50.000]  I didn't, I didn't, I didn't realize it's clean, you know, shame. It's clean. Shame on me. I did not know what a problem this was until I watched this splatter.
[22:50.000 --> 23:03.000]  I saw this commercial and the first thing I thought was, what the hell did I just see? And then the second thing I thought was, I gotta get, I gotta show this to Merlin.
[23:03.000 --> 23:14.000]  I've, uh, I've been reviewing their videos. They have, they have a couple like funny videos like this one that are very funny and they have some that are really straight that are actually very upsetting.
[23:14.000 --> 23:24.000]  Um, I really can't recommend cause here's the thing, John, what a lot of people don't understand is there's a problem with splatter.
[23:24.000 --> 23:35.000]  So I guess the problem with splatter is that your standard American low flow toilet is not doing a good enough job of, of, uh, sleuthing daddy's splatter away in a way that's acceptable to mom.
[23:35.000 --> 23:51.000]  It's taken away. It's taking away the, the bulk, the bulk, the book. Yeah. Right. It's just the bulk, but misses the splatter. It's taken away the bulk. It's taken away the yellow. Right. How many times has this happened to you? Right.
[23:51.000 --> 24:00.000]  With the splatter? Yeah, no, no. I mean, I'm saying, I'm saying it's like an infomercial now in some of the other ones they illustrate how effectively splatter is removed.
[24:00.000 --> 24:13.000]  In one case, I think they like show you how to flush ping pong balls down your toilet, but there's one I really do not recommend watching where they simulate splatter in a toilet with what I'm hoping is fudge.
[24:13.000 --> 24:25.000]  Oh no, there's matter. There's matter in there. You got, you got, you got, it's like a, oh sure. You got, it's like a, somebody put $3 of Nutella. It's like a flight of Nutella across the back.
[24:25.000 --> 24:33.000]  And then at the bottom you got some kind of straw matter. I'm not sure what it is, but boy just cleans it right out. The splatter just sluices right away. All right.
[24:33.000 --> 24:41.000]  And the commercial that I'm talking about, I feel that every single aspect of this commercial is worth analyzing. So number one, it's very well done.
[24:41.000 --> 24:50.000]  So tight. It starts with a hubbo splattering ketchup on his, on his polo shirt. Now he seems, he seems a bit of a doddering fool.
[24:50.000 --> 24:58.000]  It's a retiree enjoying an outdoor meal together and he's going to put some cats up on his wiener. I feel he gives it a good shake.
[24:58.000 --> 25:12.000]  I feel it's one of these, I feel it's one of these couples though where, where hubbo is, is in decline and wifey is short, still sharp as a tack and she's starting to get a little, a lot of, a little sick of hubbo's shit.
[25:12.000 --> 25:23.000]  Literally. Oh yeah. Yeah, no. Oh no. Oh, I see what you're saying. Things are declining. Yeah. Oh God. Yes. Maybe you should cut down on the hot dogs.
[25:23.000 --> 25:38.000]  So here's how I read it. I read this story as, as hubbo is in decline and he's, he's splattering all over the toilet and the wife is so sick of, of this mess that she's taken it into her own, own hands.
[25:38.000 --> 25:50.000]  She's done a Marco and she's done a deep dive on toilets. This is her headphones, right? This is her headphones and she's, she is now completely up to speed on modern flushing technology and has replaced the toilet.
[25:50.000 --> 26:04.000]  And at least in, you know, maybe all of them, probably they look well off so she could maybe just, you know, come in and just get all the toilets and afford a toilet on their patio. So we haven't even gotten to that yet.
[26:04.000 --> 26:16.000]  Let's put one out here just in case he can't make it inside. What's the second charge for $259?
[26:16.000 --> 26:21.000]  She's had it with splatter and she addresses the audience, right?
[26:21.000 --> 26:32.000]  It's illustrated with, with the blue material, a pleasant blue material, which rings a bell from some feminine hygiene product commercials I've seen, seen over the years.
[26:32.000 --> 26:35.000]  Oh, right. It always absorbs blue, right?
[26:35.000 --> 26:48.000]  Blue is the universal seems to be the universal color for what are otherwise considered unpleasant bodily emissions. Nothing we emit is blue. Blue does seem to be a nice color.
[26:48.000 --> 27:03.000]  And so if you want to illustrate, uh, the absorbency of say, uh, uh, uh, a tampon or a feminine napkin, uh, or splatter on a toilet, you use, you use blue.
[27:03.000 --> 27:07.000]  Yeah.
[27:07.000 --> 27:10.000]  Now I'm just scrubbing a little bit here.
[27:10.000 --> 27:14.000]  They have a toilet on their deck.
[27:14.000 --> 27:16.000]  Just sitting there.
[27:16.000 --> 27:23.000]  It bothers me a little bit. It's at a tilted angle. It's not quite squared up aligned with the decks of the, uh, the planks.
[27:23.000 --> 27:25.000]  That would, that would drive, that would drive cable crazy.
[27:25.000 --> 27:27.000]  Yeah. That misalignment.
[27:27.000 --> 27:30.000]  Like who installed that? Why? What's the deal?
[27:30.000 --> 27:32.000]  Yeah.
[27:32.000 --> 27:36.000]  Get a nice toilet like this. You know, I think you want to invest in a, in a, in a proper.
[27:36.000 --> 27:43.000]  Yeah. I mean, this is, it's, it's hard. This is a little bit, uh, like a, like a Marquez commercial. I think it's a little bit magically real.
[27:43.000 --> 27:44.000]  Yeah.
[27:44.000 --> 27:56.000]  Yeah. I'm not, I realized that I do realize all, all joking aside, I realized that we're not meant to assume that they, that this is depicting a couple who literally put an open air toilet on their deck.
[27:56.000 --> 27:57.000]  Yeah.
[27:57.000 --> 28:11.000]  I realized that they're taking shortcuts for the sake of brevity, uh, in that style that was sort of, uh, uh, maybe epitomized by, uh, um, I forget. I don't know.
[28:11.000 --> 28:15.000]  I don't know what I'm talking about, but you know, I sort of absurdist style of, of commercial.
[28:15.000 --> 28:16.000]  Yes. Yes.
[28:16.000 --> 28:17.000]  Um,
[28:17.000 --> 28:21.000]  Well, even you go back to the days of the tidy bowl, man, tidy bowl, man, little Commodore and your toilet.
[28:21.000 --> 28:23.000]  Yeah. He swam around in there. He lived in there.
[28:23.000 --> 28:25.000]  He looked, he looked pretty happy in there.
[28:25.000 --> 28:30.000]  Yeah. Even though, even though when there was weather, it was not good.
[28:30.000 --> 28:32.000]  Whoa, whoa, whoa.
[28:32.000 --> 28:39.000]  That's the forecast captain splatter splatter.
[28:39.000 --> 28:45.000]  All right. I think the commercial is notable even without the capper.
[28:45.000 --> 28:49.000]  Yeah, but the capper.
[28:49.000 --> 28:55.000]  Really? I swear. I almost had a stroke when the woman's head popped out of the toilet.
[28:55.000 --> 28:59.000]  When his head pops out of the toilet, she says, it's clean. She announces it's clean.
[28:59.000 --> 29:03.000]  And this is a light motif. Now, if you watch the one called Klinger, did you see Klinger?
[29:03.000 --> 29:04.000]  No, I did not see.
[29:04.000 --> 29:10.000]  Oh, click over there on the right. Go to go to American standard Vormax toilet. Go to Klinger. Take a minute. Enjoy that one.
[29:10.000 --> 29:20.000]  All right.
[29:20.000 --> 29:21.000]  All right.
[29:21.000 --> 29:24.000]  Yep.
[29:24.000 --> 29:30.000]  And there's a third one called skid marks.
[29:30.000 --> 29:36.000]  Were you aware of how insufficient the flushing technology is in your toilets in your house?
[29:36.000 --> 29:40.000]  Well, when we get to the analysis phase of this, I do have a lot of thoughts on this.
[29:40.000 --> 29:51.000]  But no, I have to be honest with you. Barring, let's say, the bathroom at a cinema or a sports event, I do not encounter these problems as much.
[29:51.000 --> 29:57.000]  And we've got a pretty low flow, old school toilet dingus.
[29:57.000 --> 30:03.000]  Maybe we're just lucky. You know, maybe it's the probiotics. I don't know. Something's working for us. Pound sign blessed.
[30:03.000 --> 30:17.000]  But there's so much to it, because part of it is also it implies not only that this guy causes splatter, but he doesn't notice it and doesn't give a second backup flush.
[30:17.000 --> 30:18.000]  The old guy.
[30:18.000 --> 30:25.000]  Yeah, right. Hubbo. If I went in, and let's be honest, we all ruin a bathroom sometimes. It happens. It's part of being an adult.
[30:25.000 --> 30:34.000]  If I went in there and really shamed, if I shamed the bathroom, I would want to do a little bit of cleanup. Maybe light a match, shoot a little bit of glade.
[30:34.000 --> 30:42.000]  But I would most definitely do a visual inspection of the bowl for a skidmark or a spotter or, if you like, a clinger.
[30:42.000 --> 30:46.000]  Give the toilet a chance to catch its breath, refill the bowl.
[30:46.000 --> 30:48.000]  Right. Give it a second chance.
[30:48.000 --> 30:56.000]  Yeah, like a full flush, though. You know what I mean? If you don't wait, you get a wimpy flush. You know what I mean? You've got to catch your breath.
[30:56.000 --> 31:03.000]  The flush is like a 100-yard dash. If you want it to run another 100-yard dash, you've got to give it a chance to catch its breath.
[31:03.000 --> 31:08.000]  This is a chance for you. You could wash your hands. You could look at your phone. You could go through somebody's medicine cabinet.
