[00:00.000 --> 00:02.000]  You a Letterman fan?
[02:20.000 --> 02:24.000]  And, uh, murdermate, uh, like checked his email.
[02:24.000 --> 02:25.000]  And there was a thing that was like,
[02:25.000 --> 02:29.000]  all you have to do is click this button by, you know, last Friday.
[02:29.000 --> 02:31.000]  And you're good to go.
[02:31.000 --> 02:33.000]  And then I was like,
[02:33.000 --> 02:35.000]  I just looked at him.
[02:35.000 --> 02:37.000]  I was like, are you freaking kidding me?
[02:37.000 --> 02:39.000]  And he's like, I'm sorry.
[02:39.000 --> 02:42.000]  So we won, but we didn't claim the tickets in time.
[02:42.000 --> 02:44.000]  And so I guess the idea,
[02:44.000 --> 02:46.000]  the idea behind it was, you know,
[02:46.000 --> 02:49.000]  they want to make sure they, they filled the whole theater.
[02:49.000 --> 02:51.000]  And so the click the thing was like,
[02:51.000 --> 02:53.000]  okay, you won, but you sure you're going to go.
[02:53.000 --> 02:55.000]  And then it was like, that's all you had to do.
[02:55.000 --> 02:58.000]  But in the meantime, they, they filled our seats with, uh, alternate.
[02:58.000 --> 03:01.000]  Oh, well, that's a good story.
[03:01.000 --> 03:03.000]  Probably better than the show would have been.
[03:03.000 --> 03:04.000]  Maybe.
[03:04.000 --> 03:05.000]  I don't know.
[03:05.000 --> 03:06.000]  I've never been to any of those tapings.
[03:06.000 --> 03:08.000]  And I, I even live in New York City.
[03:08.000 --> 03:12.000]  And I've been here for now, uh, all 10 years basically.
[03:12.000 --> 03:14.000]  And I've never gone to on it.
[03:14.000 --> 03:16.000]  But I, at my first year in New York,
[03:16.000 --> 03:21.000]  I found some email mailing list where you sign up and you get emails
[03:21.000 --> 03:25.000]  inviting you to be in studio audiences for random stuff.
[03:25.000 --> 03:27.000]  And I've never even gone to one of those.
[03:27.000 --> 03:29.000]  But it's funny to see the stuff that comes along.
[03:29.000 --> 03:31.000]  It's, you know, weird game shows.
[03:31.000 --> 03:35.000]  And, um, one day, maybe I'll go to, uh, Fallon.
[03:35.000 --> 03:37.000]  Now that he's, he's the man.
[03:37.000 --> 03:38.000]  Yeah.
[03:38.000 --> 03:40.000]  Or the Seth Meyer show or so.
[03:40.000 --> 03:41.000]  Or Seth.
[03:41.000 --> 03:42.000]  Yeah.
[03:42.000 --> 03:43.000]  Hi.
[03:43.000 --> 03:44.000]  I, you know,
[03:44.000 --> 03:46.000]  I don't know.
[03:46.000 --> 03:47.000]  I'm a little wistful about the letterman thing.
[03:47.000 --> 03:48.000]  I guess I think he's right.
[03:48.000 --> 03:51.000]  You know, it's like one of those things where, um,
[03:51.000 --> 03:53.000]  I think he's right that this is the time to go.
[03:53.000 --> 03:55.000]  I do think he's, I think he's, I think he's, I think he's,
[03:55.000 --> 03:56.000]  I think you picked the right time.
[03:56.000 --> 03:58.000]  I think, you know, sooner would have been too soon.
[03:58.000 --> 04:01.000]  And I think it's probably his time.
[04:01.000 --> 04:02.000]  Uh, but it's still.
[04:02.000 --> 04:05.000]  It's like you just, how can you not be sad if you're a fan?
[04:05.000 --> 04:06.000]  Yeah.
[04:06.000 --> 04:10.000]  And I wonder how much of it has to do with not just, you know,
[04:10.000 --> 04:11.000]  hosting the show,
[04:11.000 --> 04:14.000]  but all the other demands that being, you know,
[04:14.000 --> 04:16.000]  being a public figure in the media today are.
[04:16.000 --> 04:19.000]  For example, he doesn't really do anything online.
[04:19.000 --> 04:21.000]  He doesn't really do anything in social media.
[04:21.000 --> 04:24.000]  And I wonder how much of that gig now is,
[04:24.000 --> 04:25.000]  is that sort of stuff.
[04:25.000 --> 04:26.000]  Maybe it's none of it.
[04:26.000 --> 04:27.000]  I don't know.
[04:27.000 --> 04:28.000]  Now he's pretty clear about it.
[04:28.000 --> 04:30.000]  I think it was in the New York Times interview.
[04:30.000 --> 04:32.000]  He did, he did two big interviews recently,
[04:32.000 --> 04:33.000]  which is unusual for him.
[04:33.000 --> 04:35.000]  He's, you know, usually pretty reticent.
[04:35.000 --> 04:37.000]  But he did the New York Times interview
[04:37.000 --> 04:39.000]  and the Rolling Stone interview, um,
[04:39.000 --> 04:41.000]  cover story really.
[04:41.000 --> 04:43.000]  And, um, I think maybe in both places,
[04:43.000 --> 04:46.000]  it was acknowledged that like the game today
[04:46.000 --> 04:50.000]  with the late night show is partly, at least partly,
[04:50.000 --> 04:52.000]  to make viral bits that, you know,
[04:52.000 --> 04:55.000]  that can be separated from the rest of the show.
[04:55.000 --> 04:57.000]  Five minutes on YouTube and can get shared.
[04:57.000 --> 04:59.000]  And that he, you know,
[04:59.000 --> 05:00.000]  his show really doesn't do that.
[05:00.000 --> 05:03.000]  And it's not really set up to do that.
[05:03.000 --> 05:05.000]  Uh, kind of the opposite of John Oliver,
[05:05.000 --> 05:10.000]  just basically, uh, exists to feed the Monday morning blogger,
[05:10.000 --> 05:11.000]  quota.
[05:11.000 --> 05:12.000]  Right.
[05:12.000 --> 05:18.000]  Every single site rushing to, uh, summarize what he said
[05:18.000 --> 05:19.000]  that before.
[05:19.000 --> 05:22.000]  It is, that is exactly what happens with his show.
[05:22.000 --> 05:23.000]  It is so funny.
[05:23.000 --> 05:26.000]  It's like, it's like, why don't you just let people watch it?
[05:26.000 --> 05:27.000]  Yeah.
[05:27.000 --> 05:31.000]  Well, but that is one way, you know,
[05:31.000 --> 05:34.000]  wink to let people watch it is to have them watch it on your blog
[05:34.000 --> 05:37.000]  with your, you know, your summary and commentary.
[05:37.000 --> 05:38.000]  Right.
[05:38.000 --> 05:44.000]  Uh, hey, I really enjoyed, uh, your intimate look at your, uh,
[05:44.000 --> 05:45.000]  iPhone stands.
[05:45.000 --> 05:47.000]  And I want to send you mine.
[05:47.000 --> 05:51.000]  You posted, uh, this weekend, Daring Fireball,
[05:51.000 --> 05:53.000]  your, uh, your two iPhone docs.
[05:53.000 --> 05:56.000]  And, uh, I think you'll get a kick out of the one that I bought
[05:56.000 --> 05:57.000]  in Tokyo.
[05:57.000 --> 05:58.000]  Is this for real?
[05:58.000 --> 05:59.000]  Is this for real?
[05:59.000 --> 06:01.000]  I don't want to even say,
[06:01.000 --> 06:04.000]  you, does you own the stock?
[06:04.000 --> 06:06.000]  Yeah, I bought it in Tokyo.
[06:06.000 --> 06:07.000]  All right.
[06:07.000 --> 06:09.000]  I'm not, I don't even think we should talk about it.
[06:09.000 --> 06:13.000]  I'm going to put it in the show notes right now as Dan.
[06:13.000 --> 06:17.000]  Dan's iPhone doc.
[06:17.000 --> 06:21.000]  It's your, you're going to all going to have to go and load the show notes
[06:21.000 --> 06:25.000]  and see this for yourself because there's absolutely no way that we can do
[06:25.000 --> 06:26.000]  justice to it.
[06:26.000 --> 06:27.000]  Unless you really want to talk about it.
[06:27.000 --> 06:29.000]  I'll just tell you the backstory.
[06:29.000 --> 06:31.000]  Here's what I think.
[06:31.000 --> 06:32.000]  I don't even remember.
[06:32.000 --> 06:34.000]  Uh, well, I know where I found it.
[06:34.000 --> 06:38.000]  I found it in, uh, Tokyo hands, which is the greatest.
[06:38.000 --> 06:44.000]  Uh, it's, it's kind of a mixture of a home depot and, um,
[06:44.000 --> 06:47.000]  I don't know, like a bed bath and beyond or something like that.
[06:47.000 --> 06:48.000]  I don't know.
[06:48.000 --> 06:51.000]  It's just a great home and hardware store in Tokyo.
[06:51.000 --> 06:56.000]  And I think it, it, I don't think it's the same company that
[06:56.000 --> 07:02.000]  makes the, uh, incredibly realistic food models that you would see outside of a
[07:02.000 --> 07:08.000]  Japanese restaurant where, uh, you know, the each little piece of sushi looks
[07:08.000 --> 07:09.000]  perfect and that kind of stuff.
[07:09.000 --> 07:11.000]  I've, I've bought those in the past.
[07:11.000 --> 07:12.000]  Does this thing have a charger?
[07:12.000 --> 07:13.000]  No.
[07:13.000 --> 07:14.000]  No.
[07:14.000 --> 07:15.000]  No.
[07:15.000 --> 07:16.000]  So it just props it up.
[07:16.000 --> 07:17.000]  It's just a way.
[07:17.000 --> 07:18.000]  I have a, I have a six plus.
[07:18.000 --> 07:19.000]  I don't need a charger.
[07:19.000 --> 07:20.000]  Sir.
[07:20.000 --> 07:21.000]  Oh.
[07:21.000 --> 07:25.000]  Uh, anyway, the year before I bought this, I got an iPhone 4S case.
[07:25.000 --> 07:27.000]  That is, that's bacon and eggs.
[07:27.000 --> 07:29.000]  And that looks even more ridiculous.
[07:29.000 --> 07:36.000]  But, um, so this cheeseburger iPhone holder is my, it's my favorite.
[07:36.000 --> 07:39.000]  I wanted to get one for the office, but I was worried that someone would snag it
[07:39.000 --> 07:41.000]  because it's just so crazy.
[07:41.000 --> 07:44.000]  I, I've been meaning to write about these iPhone docs for a while.
[07:44.000 --> 07:46.000]  And it's just one of those things where I didn't really have a reason to.
[07:46.000 --> 07:47.000]  And then one at.
[07:47.000 --> 07:49.000]  So the thing is, is Apple came out yesterday.
[07:49.000 --> 07:50.000]  Right.
[07:50.000 --> 07:51.000]  And that was the context.
[07:51.000 --> 07:52.000]  Right.
[07:52.000 --> 07:54.000]  With a new lightning thing.
[07:54.000 --> 08:01.000]  And it's just been like over the, I like having an iPhone doc, a charging dock.
[08:01.000 --> 08:02.000]  Though I like it.
[08:02.000 --> 08:03.000]  I like it.
[08:03.000 --> 08:06.000]  You know, if I'm going to have to charge my phone while I'm at my desk or something like that,
[08:06.000 --> 08:07.000]  why not have it on a dock?
[08:07.000 --> 08:10.000]  It's better than having it lay down.
[08:10.000 --> 08:16.000]  Um, but over the years, it's just been like, nobody could ever keep it straight.
[08:16.000 --> 08:18.000]  Like the original iPhone shipped with a dock.
[08:18.000 --> 08:19.000]  Right.
[08:19.000 --> 08:21.000]  It was like right there in the box.
[08:21.000 --> 08:23.000]  And it was a great dock.
[08:23.000 --> 08:27.000]  And then it didn't fit the 3G or 3GS and it's like, oh, I don't know.
[08:27.000 --> 08:30.000]  And then they didn't come with a dock and then the iPhone 4 came out.
[08:30.000 --> 08:34.000]  And it turned out the iPhone 4 fit in the original iPhone doc really well.
[08:34.000 --> 08:39.000]  Even though the iPhone 4 had like a sort of square bottom and the original iPhone was more
[08:39.000 --> 08:42.000]  like the Apple watch sort of a pill shape, capsule shape thing.
[08:42.000 --> 08:47.000]  It just fit in that the crevice they had for it almost perfectly.
[08:47.000 --> 08:50.000]  And the 30 pin was more than enough to keep it stable.
[08:50.000 --> 08:54.000]  So I went back to the original dock with my iPhone 4 and 4S.
[08:54.000 --> 08:58.000]  But then ever since it's been, it's been a, it's been a shit show.
[08:58.000 --> 09:03.000]  I, uh, I never had a dock until the elevation dock,
[09:03.000 --> 09:08.000]  which came what two weeks before the, the, the cord switched.
[09:08.000 --> 09:09.000]  Right.
[09:09.000 --> 09:10.000]  So that was it for me.
[09:10.000 --> 09:12.000]  I was not buying anymore.
[09:12.000 --> 09:14.000]  I somehow wound up with two elevation docks.
[09:14.000 --> 09:15.000]  I think I bought one.
[09:15.000 --> 09:19.000]  I did the Kickstarter and then I think they sent me one as like, you know,
[09:19.000 --> 09:24.000]  like in my role as a, you know, maybe you'll link to it public figure type thing.
[09:24.000 --> 09:25.000]  I don't know.
[09:25.000 --> 09:29.000]  So I don't remember buying two, but somehow I wound up with two and never used either of them.
[09:29.000 --> 09:31.000]  Because exactly.
[09:31.000 --> 09:35.000]  It only shipped like two, it was 30 pin and it only shipped two weeks before the,
[09:35.000 --> 09:37.000]  the first lightning phone came out.
[09:37.000 --> 09:39.000]  I guess that must have been the iPhone 5.
[09:39.000 --> 09:40.000]  Yep.
[09:40.000 --> 09:41.000]  Right.
[09:41.000 --> 09:45.000]  And they did have a thing where you can, you can go there now even and get like a,
[09:45.000 --> 09:50.000]  like a kit so you can transform it in from a 30 pin thing to a lightning thing,
[09:50.000 --> 09:51.000]  but I never bothered with that.
[09:51.000 --> 09:53.000]  No, who wants to do that?
[09:53.000 --> 09:54.000]  Well, I'm sure some people do it.
[09:54.000 --> 09:55.000]  Oh, yeah.
[09:55.000 --> 09:56.000]  It wasn't worth it for me.
[09:56.000 --> 09:57.000]  No, no, right.
[09:57.000 --> 10:03.000]  Uh, the big things for me with a dock is, uh, in most cases, you want to be able to use it one handed.
[10:03.000 --> 10:08.000]  In other words, you don't have to put one hand on the dock and one hand on the phone to separate it without
[10:08.000 --> 10:11.000]  picking up the dock with the phone.
[10:11.000 --> 10:15.000]  Um, and you want to be able to fit.
[10:15.000 --> 10:19.000]  I like the idea just, I mean, I waste money on everything.
[10:19.000 --> 10:24.000]  I just like the idea of getting a dock and then being able to use it for maybe more than a year.
[10:24.000 --> 10:29.000]  Because just in case the iPhone shape sizes changes.
[10:29.000 --> 10:36.000]  So I like the idea of a dock that is sort of agnostic to the shape of the iPhone future proof future proof.
[10:36.000 --> 10:41.000]  Well, it makes sense too because, uh, so many people use a case now.
[10:41.000 --> 10:49.000]  And that that's a slightly different shape than a phone with no case or, uh, there are so many different sizes.
[10:49.000 --> 10:56.000]  You know, there's four, there's five C five S six, six plus.
[10:56.000 --> 11:03.000]  So lots of different phones to, uh, handle with what with one design.
[11:03.000 --> 11:06.000]  Yeah, the new iPhone dock from Apple seems, I'm curious.
[11:06.000 --> 11:11.000]  I guess I'll buy one just because I'm, again, I'm really bad with money.
[11:11.000 --> 11:13.000]  I don't need it, but I'm curious about how it works.
[11:13.000 --> 11:22.000]  So I guess I'll buy one, um, because it doesn't have any kind of, the only thing that it's just a lightning nubbin that sticks out of a flat piece of plastic.
[11:22.000 --> 11:23.000]  There is no back.
[11:23.000 --> 11:26.000]  There's no slot that the phone goes into.
[11:26.000 --> 11:32.000]  It's just a lightning, the lightning port itself is the only thing that's going to support the phone.
[11:32.000 --> 11:38.000]  Which sounds like it would be a little fragile, but it, I don't know, maybe they've figured some way to make it really sturdy.
[11:38.000 --> 11:45.000]  It makes me feel less irresponsible for picking my phone up by its lightning cable all the time, which I do.
[11:45.000 --> 11:46.000]  Yeah.
[11:46.000 --> 11:51.000]  Do you have the problem where you, you, uh, your lightning cables kind of wear out over time because of that.
[11:51.000 --> 11:53.000]  It has not happened yet.
[11:53.000 --> 11:56.000]  In fact, the one I'm using now is a third party one.
[11:56.000 --> 11:59.000]  And even that one has, has been really good.
[11:59.000 --> 12:04.000]  It seems like it's tricky business designing a dock because it, like you said, all right.
[12:04.000 --> 12:05.000]  Number one, future proving it.
[12:05.000 --> 12:09.000]  You want to go for different thicknesses and widths of the iPhone.
[12:09.000 --> 12:16.000]  And then you want to go case or no case and how many, you know, how many types of cases can you manage to support, etc.
[12:16.000 --> 12:21.000]  And how, how easy do you want to be, uh, to dock and undock it?
[12:21.000 --> 12:26.000]  Whereas it seems that lightning has its own kind of, uh, tension system built in.
[12:26.000 --> 12:29.000]  So, yeah.
[12:29.000 --> 12:30.000]  I don't know.
[12:30.000 --> 12:32.000]  I don't, yeah, that's why I don't use a dock.
[12:32.000 --> 12:39.000]  I'm just going to plug in and flop it down on the table next to me.
[12:39.000 --> 12:44.000]  I have a question for you though, which is why do you think they made this?
[12:44.000 --> 12:49.000]  Or if they had it a long time ago, why do you think they decided to ship it now?
[12:49.000 --> 12:55.000]  Somebody said, and I don't know if it's right or not, but somebody said on Twitter that the docks over the years,
[12:55.000 --> 13:04.000]  a lot of them that Apple is Apple's own first party dock for iPhone has often come out mid cycle on, on the iPhone that they didn't come out alongside the phones.
[13:04.000 --> 13:05.000]  And I don't know why that would be.
[13:05.000 --> 13:12.000]  I saw somebody else who tweeted that, I think it was Jeremy Horowitz, um, who's at nine to five Mac now that he,
[13:12.000 --> 13:17.000]  I guess he got one already and it, uh, like he read the fine print on the box or whatever.
[13:17.000 --> 13:19.000]  And it was 2014.
[13:19.000 --> 13:24.000]  So it must have, you know, they must have started assembling them months ago, but they didn't start selling them until now.
[13:24.000 --> 13:26.000]  I don't quite get it.
[13:26.000 --> 13:35.000]  Um, I think the basic idea though is that for some people a dock, whether you use it at your desk or you use it like at your bedside or you have both,
[13:35.000 --> 13:37.000]  it's, you know, it's a sensible place.
[13:37.000 --> 13:42.000]  If you're going to charge your phone at the same place all the time, it makes sense to have a dock instead of just a cable.
[13:42.000 --> 13:46.000]  I mean, if you just have a cable, you definitely can't do it one handed.
[13:46.000 --> 13:47.000]  You need two hands.
[13:47.000 --> 13:51.000]  Um, so the one handability is definitely to me a convenience.
[13:51.000 --> 13:57.000]  And I get my desk, like when I'm developing, you know, working on beta as a Vesper and stuff like that as a device.
[13:57.000 --> 14:05.000]  I know almost all developers have some kind of dock so that they can have their phone in a usable, readable state alongside their, their computer.
[14:05.000 --> 14:06.000]  I have some corrections to make.
[14:06.000 --> 14:07.000]  Uh oh.
[14:07.000 --> 14:08.000]  I should get this out of the way.
[14:08.000 --> 14:09.000]  Let's do it.
[14:09.000 --> 14:12.000]  Um, actually a lot of these are pretty old.
[14:12.000 --> 14:14.000]  Palk faucets is fun to show.
[14:14.000 --> 14:16.000]  I don't know if two months ago.
[14:16.000 --> 14:25.000]  Uh, and we were talking about aspirin and whether it was something that was thousands of euros old or like a hundred years old.
[14:25.000 --> 14:29.000]  Um, so aspirin, as we know, it was first produced a hundred and ten years ago.
[14:29.000 --> 14:32.000]  Um, I can lay eighteen hundreds.
[14:32.000 --> 14:35.000]  Sort of a snake oil type thing, but it actually worked.
[14:35.000 --> 14:39.000]  Um, but the natural form of it, which is called, uh, Salah.
[14:39.000 --> 14:47.000]  Salah acid is found in plants, i.e. the willow and Myrtle and has been used for thousands of years.
[14:47.000 --> 14:49.000]  So that's the source of the confusion.
[14:49.000 --> 14:56.000]  As early as 3000 BC, the ancient Egyptians used willow bark and Myrtle to reduce pain and fever.
[14:56.000 --> 15:02.000]  Uh, and those are some of the ingredients that were used to make aspirin, uh, starting in the late 1800s.
[15:02.000 --> 15:07.000]  So it's sort of, uh, a little bit of call may a little bit of call and be.
[15:07.000 --> 15:12.000]  Uh, I have another note here. I don't remember which show it was. I think it was Merlin man.
[15:12.000 --> 15:15.000]  When we were talking about man, these are old shows.
[15:15.000 --> 15:20.000]  Yeah. Well, I forgot to look at these notes. I have these notes for all the follow up, all the corrections.
[15:20.000 --> 15:24.000]  And I really, this should be a very long list because I make a lot of mistakes every episode.
[15:24.000 --> 15:31.000]  Um, but when Myrtle was on and we had a discussion about when to let our, our growing children watch which movies.
[15:31.000 --> 15:38.000]  And I said that, you know, Caddyshack came up and I said, no, of course, Jonah said in some Caddyshack yet. And then my wife was actually listening to the show.
[15:38.000 --> 15:42.000]  And she goes, you dummy, we let him watch Caddyshack. And I remember, yes, we did.
[15:42.000 --> 15:46.000]  So yeah, so I let my son watch Caddyshack when he was, I think 10.
[15:46.000 --> 15:52.000]  I think that's when I first saw too. That's, that's my thinking. That was my thinking of, of letting him watch.
[15:52.000 --> 16:00.000]  My, I remember my dad like stood in front of the TV for a couple of minutes, uh, during one scene. He's like, I just look over there for a second.
[16:00.000 --> 16:08.000]  And, uh, no, it's a great movie to see. And then you watch it again, like 50 times in college and you, it's a totally different movie at that point.
[16:08.000 --> 16:11.000]  But, uh, why not?
[16:11.000 --> 16:16.000]  Yeah. Uh, again, uh, no idea which episode this was for, but somebody, I, I don't know.
[16:16.000 --> 16:22.000]  I, I guess we were talking about some of my eye problems and we were talking about, uh, that Warby Parker should make a monicle ends up.
[16:22.000 --> 16:26.000]  They do make a monicle. Uh, I'll put that in the show notes.
[16:26.000 --> 16:29.000]  Warby Parker does make a monicle. I don't know that I would recommend it.
[16:29.000 --> 16:40.000]  It seems to me like that's sort of taken the, you know, the hipster, uh, the hipster thing a little far going with a monicle, but there you go.
[16:40.000 --> 16:42.000]  That's marketing, man.
[16:42.000 --> 16:45.000]  Warby monicle. There he goes, right in the show notes.
[16:45.000 --> 16:58.000]  Um, uh, Joanna Stern, Joanna Stern was the great Joanna Stern was on the show a few weeks ago and we were talking about these, um, both of us had turned out bought the same
[16:58.000 --> 17:09.000]  tooth headset beats power beats. These little beats power beats are Bluetooth. They're meant for like, you know, where am I exercising stuff?
[17:09.000 --> 17:13.000]  I'd never had Bluetooth. Have you ever had Bluetooth, uh, headphones? No.
[17:13.000 --> 17:21.000]  So I'd never had them before and I bought them while I was testing the watch because I wanted to test and these are like the $180 ones.
[17:21.000 --> 17:27.000]  Yeah. They're, you know, like everything from beats are pretty expensive. Um, I find I've been pretty happy with them so far.
[17:27.000 --> 17:34.000]  They're pretty comfortable. Um, these are the ones that had that little like kind of finger coming off them that holds in your ear.
[17:34.000 --> 17:46.000]  Yeah. Sort of. There's like a thing that wraps around your ear and then there's a thing that goes in your ear. Yeah. Um, but the complaint we both had was that the latency was really bad.
[17:46.000 --> 18:01.000]  Just the Bluetooth latency. So like, when you pause, it was like, it felt to me. I don't know what it really was, but it felt to me like I can do two goes by before the audio actually pauses and then you hit play again and it's a second or two before it plays.
[18:01.000 --> 18:10.000]  Uh, it which was like driving me nuts and somebody you sent in. I forget who. Sorry. I don't remember. Um, that you got to run the beats updater.
[18:10.000 --> 18:18.000]  The firmware update for these headphones. You go to, uh, I'll put it in the show notes, but anybody who bought these things, God, it never even occurred to me.
[18:18.000 --> 18:31.000]  I guess it makes sense that there would be such a thing, but I've never thought of headphones is having firmware that you could update. Um, so you run this beats updater and it still is not quite.
[18:31.000 --> 18:45.000]  I don't think Bluetooth can ever, you know, is ever going to match the latency of hardware, but you know, like a, you know, a cable, but it, it, it, it reduces the latency all the way down to what I expected at the outset.
[18:45.000 --> 18:59.000]  There's like a fraction of a second where when you pause until it actually pauses and there's a fraction of a second when you go to restart the audio before it actually starts playing again, but it seems totally reasonable and it way different than what it was when I opened them out of the box.
[18:59.000 --> 19:08.000]  So anybody out there who buys like these beats, uh, headphones, if you get these Bluetooth ones and you find the latency is like insane. Like how could they do this? Uh, get this updater.
[19:08.000 --> 19:22.000]  The updater is weird too. It's like a Mac app that you run that then goes to opens a web page in Safari and it's the web page that shows you the progress as it updates a thing that's plugged into your device by USB. Very strange, but it worked.
[19:22.000 --> 19:26.000]  Isn't that amazing software update for your headphones?
[19:26.000 --> 19:32.000]  It just never would have occurred to me to look. How do you, uh, how do you charge them and how often do you charge them?
[19:32.000 --> 19:47.000]  Uh, USB, you charge them by USB. There's a little micro USB thing on the bottom of the left earpiece and it has a rubber nub and that covers it, I guess for, you know, sweat and water resistance.
[19:47.000 --> 19:50.000]  So you just plug it in by a USB.
[19:50.000 --> 20:05.000]  So the fact that Apple made that, uh, iPhone doc and, and does not yet have a proper charging station is something that, that puzzles me, but, you know, charging station for what?
[20:05.000 --> 20:16.000]  Well, just now I have three things I plug in almost every night for if you count this new MacBook and now if I get wireless headphones, that's five. So, um,
[20:16.000 --> 20:23.000]  so someone's got to do a, you know, it could be Apple. I don't know. Someone's got to do the, the best charging station possible.
[20:23.000 --> 20:28.000]  So how long do they last? I think that they say they last like six hours.
[20:28.000 --> 20:41.000]  I had to. That's once a week or something. I've been running a lot recently. Um, the last, you know, since the weather's gotten nicer and I did have one run where my headphones conked out halfway through and I was very confused.
[20:41.000 --> 20:46.000]  It just, was like, it just plays like a little sad song like, pew, pew, pew, pew, pew, pew.
[20:46.000 --> 20:53.000]  And then, I guess that means, we're out of juice. Goodbye. And then you got nothing. Um, so I don't know.
[20:53.000 --> 20:58.000]  I try to remember to charge him every, every second day or two. I don't know. It's hard to know.
[20:58.000 --> 21:09.000]  But you could do get a little battery meter in, in your status bar in iOS. Um, so it's like when you have them paired with your phone, um,
[21:09.000 --> 21:15.840]  It shows up in between your phone's battery indicator and the little Bluetooth icon in
[21:15.840 --> 21:16.840]  the status bar.
[21:16.840 --> 21:19.280]  There's a little vertical battery, a little tiny one.
[21:19.280 --> 21:23.520]  It's actually hard for me to see, but I can kind of get a rough picture of whether it's
[21:23.520 --> 21:26.800]  like mostly full or mostly empty.
[21:26.800 --> 21:30.360]  So you can see the battery on your phone of the charge of your headphones.
[21:30.360 --> 21:32.920]  It's all fiddly enough.
[21:32.920 --> 21:37.600]  The whole thing is fiddly enough that I now understand why Apple doesn't ship their
[21:37.600 --> 21:45.760]  own wireless headphones yet, but it works well with the watch.
[21:45.760 --> 21:53.280]  It did in my testing, but in real life, what I really want to listen to is podcasts, and
