[00:00.000 --> 00:02.000]  How is sunny California?
[03:21.000 --> 03:24.000]  wow, he might be the best public speaker in the company.
[03:24.000 --> 03:26.000]  Yeah, it was phenomenal.
[03:26.000 --> 03:28.000]  And they had... I'm blanking on her name right now,
[03:28.000 --> 03:32.000]  but the woman who... the vice president of Apple Pay was just phenomenal first time out.
[03:32.000 --> 03:33.000]  Yeah.
[03:33.000 --> 03:34.000]  The person covering you is really good too.
[03:34.000 --> 03:36.000]  I mean, they make jokes about some of our sports illustrated.
[03:36.000 --> 03:39.000]  Phenomenal. And that kind of stuff I'm really eager to see more of.
[03:39.000 --> 03:40.000]  Yeah.
[03:40.000 --> 03:43.000]  So tell me about the store itself.
[03:43.000 --> 03:46.000]  So what I loved about this is that in typical Apple fashion,
[03:46.000 --> 03:49.000]  most companies would just... they would give anything to have a business like Apple Store.
[03:49.000 --> 03:52.000]  Never mind a business like Apple. It's such a valuable property.
[03:52.000 --> 03:55.000]  It does so many billions of dollars in transactions.
[03:55.000 --> 03:57.000]  Really a beloved retail experience.
[03:57.000 --> 04:00.000]  And messing with that is super scary because you do anything wrong,
[04:00.000 --> 04:03.000]  you risk damaging that business. And that's big business for Apple.
[04:03.000 --> 04:07.000]  But they don't just, oh, I think we'll make the Genius Bar three inches longer.
[04:07.000 --> 04:10.000]  We'll change the wood. We'll do all these incremental things to improve them.
[04:10.000 --> 04:12.000]  We'll make the quality of the screens better.
[04:12.000 --> 04:14.000]  They rethought everything from the beginning.
[04:14.000 --> 04:18.000]  So it was Angela Aaron's team and Johnny Ive's team and the companies that they worked with.
[04:18.000 --> 04:20.000]  And they brought everything back to the essence.
[04:20.000 --> 04:23.000]  And it wasn't, you know, do we keep the theaters or do we ax the theaters
[04:23.000 --> 04:26.000]  or do we do something with the Genius Bars?
[04:26.000 --> 04:29.000]  What is our core principle? What governs... what we're going to do with Apple Stores?
[04:29.000 --> 04:34.000]  And she mentioned that Apple Store is the biggest product that Apple ships to customers.
[04:34.000 --> 04:38.000]  And they've had a long history, but Apple Online now does so much.
[04:38.000 --> 04:40.000]  People can just go there and order.
[04:40.000 --> 04:43.000]  And they don't necessarily have to go to stores anymore to do that.
[04:43.000 --> 04:46.000]  And likewise, support.apple.com and Apple Support on Twitter
[04:46.000 --> 04:48.000]  handle a lot of the low-level queries now.
[04:48.000 --> 04:52.000]  So if you just have a software issue or you just need help or how-to information,
[04:52.000 --> 04:57.000]  they handle all that. So it's not necessary for the Genius Bars to do the same load they used to do.
[04:57.000 --> 05:01.000]  So they wanted to figure out what made the Apple Store relevant to customers these days,
[05:01.000 --> 05:03.000]  what would make them actually want to go there.
[05:03.000 --> 05:05.000]  And they settled on this overarching theme of community,
[05:05.000 --> 05:09.000]  that the Apple Store could be the central hub of the Apple community.
[05:09.000 --> 05:12.000]  And it starts with those giant 40-foot doors on both sides that,
[05:12.000 --> 05:14.000]  yeah, make your Apple car drive-through jokes.
[05:14.000 --> 05:18.000]  But they really want to be able to open up the entire store and make it part of that block,
[05:18.000 --> 05:21.000]  almost like an open-air market.
[05:21.000 --> 05:27.000]  Interesting. And I can definitely say here in Philadelphia,
[05:27.000 --> 05:32.000]  I tend to walk by the, you know, it's just in a busy retail area,
[05:32.000 --> 05:35.000]  so no surprise that I end up walking by the Apple Store a lot.
[05:35.000 --> 05:40.000]  And, you know, like most Apple Stores, almost always pretty crowded.
[05:40.000 --> 05:44.000]  And it's definitely not just people who are shopping for things.
[05:44.000 --> 05:47.000]  I mean, there are definitely people who just go in to hang out,
[05:47.000 --> 05:50.000]  check their email and stuff like that.
[05:50.000 --> 05:54.000]  Yeah, and they're taking that whole approach and they're applying it to everything.
[05:54.000 --> 05:56.000]  So there's a giant screen now.
[05:56.000 --> 05:59.000]  And if people remember, there used to be a movie theater at the old Union Square store.
[05:59.000 --> 06:03.000]  But now they have this giant 6K display, and it looked seamless to me.
[06:03.000 --> 06:05.000]  It looked like it was actually one display,
[06:05.000 --> 06:07.000]  and I immediately just wanted to take it home, but they don't sell it.
[06:07.000 --> 06:10.000]  And that's right in the middle of what they call Forum now.
[06:10.000 --> 06:14.000]  And Forum has these little box and ball seats that you can sit on,
[06:14.000 --> 06:18.000]  and they can make it one big room where a developer or an expert can come and give a talk,
[06:18.000 --> 06:20.000]  but they can also split it up into smaller areas.
[06:20.000 --> 06:24.000]  So you can have several people doing smaller talks at the same time.
[06:24.000 --> 06:27.000]  And the screen can be used for presentations, but also just shows information.
[06:27.000 --> 06:32.000]  And all the iconography is exactly like iOS, and it uses San Francisco as a typeface.
[06:32.000 --> 06:35.000]  So it was built to be an Apple product.
[06:35.000 --> 06:38.000]  Like, what would an Apple, what would iOS look like running on a 6K display
[06:38.000 --> 06:41.000]  is exactly what you'd expect with this.
[06:41.000 --> 06:46.000]  Yeah, I think those big displays are part of the, I mean, in every, you know,
[06:46.000 --> 06:50.000]  a lot of these stores have to fit the existing space.
[06:50.000 --> 06:53.000]  They can't just say, here's the dimensions that we want.
[06:53.000 --> 06:58.000]  It's, you know, we're in a historic building here, so, you know, here's what we have to work with.
[06:58.000 --> 07:02.000]  But those big displays are definitely part of the new store design.
[07:02.000 --> 07:05.000]  Yeah, and they took the Genius Bar, and they said, you know, Genius Bar,
[07:05.000 --> 07:07.000]  it's got some negative connotations.
[07:07.000 --> 07:09.000]  Like, it's loud, it's noisy, people are elbowing,
[07:09.000 --> 07:12.000]  everyone's fighting for their chance to get to the Genius Bartender,
[07:12.000 --> 07:14.000]  and it's not the experience they want to give anymore,
[07:14.000 --> 07:18.000]  especially now that a lot of the software and basic help and how-to stuff has moved online.
[07:18.000 --> 07:21.000]  So now they have the Genius Grove, which is right up front in the store,
[07:21.000 --> 07:24.000]  not in the back anymore, and it's part of that area where the forum is
[07:24.000 --> 07:27.000]  with a lot of these open tables and open seating
[07:27.000 --> 07:30.000]  and those trees that people might have seen at the Belgium store previously.
[07:30.000 --> 07:33.000]  And you can just go and sit there and get help with your Mac or iPhone or iPad
[07:33.000 --> 07:36.000]  for hardware issues or other things that they can't solve online
[07:36.000 --> 07:39.000]  and not feel sort of crowded around the little table anymore.
[07:39.000 --> 07:42.000]  Hmm. That's interesting. It's interesting that they would move that to the front.
[07:42.000 --> 07:45.000]  The whole thing was super interesting. They have a boardroom there,
[07:45.000 --> 07:48.000]  and I don't know, they said like some of these features will move to other stores,
[07:48.000 --> 07:51.000]  and some of them they've tried already, but there's something called boardroom,
[07:51.000 --> 07:55.000]  where Apple's approaching enterprise and big business with Oracle partnerships
[07:55.000 --> 07:59.000]  and IBM partnerships, but for smaller businesses, for entrepreneurs,
[07:59.000 --> 08:02.000]  for VCs, for sort of the Kickstarter stuff, they have boardroom now
[08:02.000 --> 08:05.000]  where people can go in and not only get help with that,
[08:05.000 --> 08:07.000]  but also network and make connections.
[08:07.000 --> 08:11.000]  And they were saying that part of San Francisco is so rich with that kind of culture
[08:11.000 --> 08:14.000]  that they wanted a nexus, almost like an Apple-centric nexus for them,
[08:14.000 --> 08:17.000]  and that became the boardroom area.
[08:17.000 --> 08:20.000]  The retail stuff was super interesting too because they have the Avenue now.
[08:20.000 --> 08:22.000]  So the Avenue, they used to have those accessories,
[08:22.000 --> 08:25.000]  but if anyone has seen pictures of the new Infinite Loop store
[08:25.000 --> 08:28.000]  or the new store in New York, and I think the one in Belgium too,
[08:28.000 --> 08:30.000]  they've got these panes.
[08:30.000 --> 08:33.000]  Instead of just having cases, there's cases on shelves,
[08:33.000 --> 08:35.000]  and you see the individual cases.
[08:35.000 --> 08:38.000]  So it's an avenue, and you have almost like little boutiques called windows
[08:38.000 --> 08:40.000]  where there's different sets of accessories like cases
[08:40.000 --> 08:42.000]  and photography equipment and music,
[08:42.000 --> 08:45.000]  and they have a new Apple job there called the Creative Pro,
[08:45.000 --> 08:47.000]  and the Creative Pro's job is to help you.
[08:47.000 --> 08:50.000]  You're supposed to touch everything, try everything, sample everything,
[08:50.000 --> 08:52.000]  and if you need help, they'll show you the basics.
[08:52.000 --> 08:55.000]  If you don't know anything, the basics of photography or music,
[08:55.000 --> 08:58.000]  but they can also go up to and including lessons on Final Cut Pro or Logic Pro
[08:58.000 --> 09:00.000]  if you want to take that next step up,
[09:00.000 --> 09:03.000]  and they really want to make that sort of your introduction to Apple experience,
[09:03.000 --> 09:05.000]  and it really is the whole back of the store.
[09:05.000 --> 09:08.000]  It's just one long run for that.
[09:08.000 --> 09:10.000]  So what do you think? Do you think it's an improvement?
[09:10.000 --> 09:12.000]  It's just an evolution?
[09:12.000 --> 09:15.000]  It's super interesting, because the last thing I didn't mention
[09:15.000 --> 09:17.000]  is that they also have this garden, this neglected area.
[09:17.000 --> 09:20.000]  They've turned into a garden where it's 24-7 Wi-Fi with seating,
[09:20.000 --> 09:24.000]  and it can fit up to 200 people, and it's interesting as an experiment,
[09:24.000 --> 09:27.000]  and I like that Apple is not just doing that incremental thing,
[09:27.000 --> 09:29.000]  that they're willing to take risks with this,
[09:29.000 --> 09:32.000]  that, you know, Johnny Ivan and Angela Irons are passionate about this.
[09:32.000 --> 09:34.000]  It'll be interesting to see how people react to it.
[09:34.000 --> 09:36.000]  Usually you go into an Apple store,
[09:36.000 --> 09:38.000]  and you see dozens of kids around the machine
[09:38.000 --> 09:40.000]  trying to use Facebook or something like that,
[09:40.000 --> 09:43.000]  but this really does seem like a place where people like us,
[09:43.000 --> 09:46.000]  we're really good at handling Apple technology.
[09:46.000 --> 09:48.000]  We only go there if we break our screen or something.
[09:48.000 --> 09:50.000]  We need a logic board to play something.
[09:50.000 --> 09:52.000]  Something really serious happens, but for a lot of people,
[09:52.000 --> 09:55.000]  I feel totally alienated going into a lot of stores.
[09:55.000 --> 09:58.000]  I go into a liquor store, and I've got to text you or somebody for advice.
[09:58.000 --> 10:00.000]  I just have no idea what I'm doing, and I feel bad.
[10:00.000 --> 10:04.000]  I feel anxious and a little bit embarrassed and dumb,
[10:04.000 --> 10:06.000]  and for a lot of people, that's what technology is like,
[10:06.000 --> 10:09.000]  and if they can go to an Apple store and get greeted
[10:09.000 --> 10:12.000]  and get help and get shown things and learn things,
[10:12.000 --> 10:14.000]  and I think it de-stresses all that,
[10:14.000 --> 10:16.000]  and it shows that Apple really is playing the long game still.
[10:16.000 --> 10:18.000]  They don't want to bring you in there and hustle you
[10:18.000 --> 10:20.000]  and force you to buy a case just to get a quick sale.
[10:20.000 --> 10:22.000]  They want to make that Apple brand super important to you
[10:22.000 --> 10:24.000]  so that even if you don't need something now,
[10:24.000 --> 10:27.000]  if you're just curious, you'll think that Apple's just a great experience,
[10:27.000 --> 10:30.000]  and when you do want something, that's exactly where you're going to go.
[10:30.000 --> 10:34.000]  Yeah, I do think, you know, it's funny looking back
[10:34.000 --> 10:40.000]  because at this point, the Apple stores being ubiquitous,
[10:40.000 --> 10:42.000]  I mean, they're pretty much everywhere,
[10:42.000 --> 10:47.000]  and being successful, it's been long enough that we just take it for granted
[10:47.000 --> 10:52.000]  that going back to when they first started it, it was widely panned,
[10:52.000 --> 10:56.000]  and there's a massive file of claim chowder in my bookmarks
[10:56.000 --> 10:59.000]  of people who were predicting doom
[10:59.000 --> 11:01.000]  because every other computer company that had ever tried
[11:01.000 --> 11:04.000]  their own branded stores before failed miserably.
[11:04.000 --> 11:07.000]  I mean, Gateway isn't even a company anymore.
[11:07.000 --> 11:09.000]  No, yeah, totally.
[11:09.000 --> 11:14.000]  And it just gets to the heart of why Apple is not like other computer companies,
[11:14.000 --> 11:21.000]  and part of it is just as simple as the fact that they do hardware and software,
[11:21.000 --> 11:24.000]  which sounds like, well, come on, that's not that big a deal,
[11:24.000 --> 11:28.000]  but it's not necessarily because they do hardware and software.
[11:28.000 --> 11:32.000]  What makes Apple different is why they do hardware and software, right?
[11:32.000 --> 11:35.000]  I would say that the fact that they do the hardware and software
[11:35.000 --> 11:38.000]  is the result of, you know, it's the effect,
[11:38.000 --> 11:41.000]  and that the cause is just the way that Apple approaches this stuff that's different,
[11:41.000 --> 11:45.000]  and their stores are emblematic of that.
[11:45.000 --> 11:48.000]  Absolutely. If you look at Apple, the consistent theme from the Apple II
[11:48.000 --> 11:52.000]  all the way to something like an Apple Watch or an Apple TV
[11:52.000 --> 11:54.000]  is the mainstreaming of computing technology,
[11:54.000 --> 11:58.000]  democratization of access to ubiquitous computing,
[11:58.000 --> 12:00.000]  and the Apple Store is like that.
[12:00.000 --> 12:04.000]  It's a way to reach people, and it's a way to make people want to sort of get,
[12:04.000 --> 12:07.000]  make this, and you've called it this before, like this affordable luxury
[12:07.000 --> 12:10.000]  where technology shouldn't be just kept to a small few people,
[12:10.000 --> 12:13.000]  and it shouldn't be something that's off-putting or inaccessible
[12:13.000 --> 12:15.000]  or something that makes you feel bad about yourself.
[12:15.000 --> 12:17.000]  It should be something that everybody can use to enhance their lives,
[12:17.000 --> 12:20.000]  and Apple, people will debate, is it a hardware company, software company?
[12:20.000 --> 12:22.000]  It's really a product company.
[12:22.000 --> 12:24.000]  Apple products because they want to give you a great experience,
[12:24.000 --> 12:26.000]  and this is absolutely an extension of that.
[12:26.000 --> 12:31.000]  I do think there's, and it's pretty clear that the architectural evolution
[12:31.000 --> 12:36.000]  of the Apple Store has gotten a lot more humane, I would say,
[12:36.000 --> 12:40.000]  where the original design was sort of like being inside a,
[12:40.000 --> 12:42.000]  probably at the time it was a power book.
[12:42.000 --> 12:48.000]  You know, it was sort of like aluminum walls, and it was, you know.
[12:48.000 --> 12:49.000]  Almost utilitarian.
[12:49.000 --> 12:54.000]  Yeah, it was a very, not quite like you're in a sci-fi movie,
[12:54.000 --> 12:57.000]  but futuristic and definitely forward-thinking and a little cold,
[12:57.000 --> 13:03.000]  a little clean, and, you know, utilitarian is a good way to put it.
[13:03.000 --> 13:08.000]  And the stores got warmer when they started going more towards wood
[13:08.000 --> 13:10.000]  and getting away from the metal walls,
[13:10.000 --> 13:15.000]  and I know most or all of the original Apple Stores that had that first look,
[13:15.000 --> 13:19.000]  all of them, I think, have at one point or another been shut down
[13:19.000 --> 13:23.000]  to be renovated to be updated to the more humane look.
[13:23.000 --> 13:28.000]  But this new look, which is sort of like a 3.0, is downright organic.
[13:28.000 --> 13:31.000]  I mean, there are actual plants, you know, on the walls.
[13:31.000 --> 13:33.000]  There's trees in the middle.
[13:33.000 --> 13:35.000]  Right, and if the stores are big enough, they even have trees.
[13:35.000 --> 13:37.000]  And this one has a garden wall.
[13:37.000 --> 13:40.000]  The only thing that was curious to me is they don't have the glowing logo anymore
[13:40.000 --> 13:42.000]  that you were so used to seeing on the stores.
[13:42.000 --> 13:45.000]  They actually have something that's like the embedded stainless steel logo
[13:45.000 --> 13:48.000]  that you'd see on a MacBook or an iPhone or an iPad,
[13:48.000 --> 13:51.000]  and it's big and it's space gray and it's right on the side of the building.
[13:51.000 --> 13:54.000]  So it's not on the front of the building? It's on the side?
[13:54.000 --> 13:57.000]  Well, I'm not sure what is actually the front because you have those two big doors.
[13:57.000 --> 13:59.000]  You have the front and the back door, and those take up the entire wall.
[13:59.000 --> 14:01.000]  They're 40-foot doors.
[14:01.000 --> 14:04.000]  So then in between those on the other side, you have the giant Apple logo.
[14:04.000 --> 14:11.000]  Somebody who's selling big pieces of glass is making a lot of money from Apple.
[14:11.000 --> 14:13.000]  Yeah, especially considering campus too.
[14:13.000 --> 14:14.000]  Exactly.
[14:14.000 --> 14:16.000]  It's higher at this point.
[14:16.000 --> 14:18.000]  Oh, man.
[14:18.000 --> 14:24.000]  I guess my only worry with the Apple Store is that if I have to play devil's advocate,
[14:24.000 --> 14:30.000]  I worry that maybe they're getting a little unfocused.
[14:30.000 --> 14:33.000]  Shouldn't there be a focus to this?
[14:33.000 --> 14:37.000]  And I would say that originally the focus was very simple.
[14:37.000 --> 14:43.000]  It was to let people come in and see and play and touch Apple products because it's the best way.
[14:43.000 --> 14:48.000]  And I think this was a lot more important in the early parts of the last decade,
[14:48.000 --> 14:51.000]  let's say when people called them the iPod company,
[14:51.000 --> 14:58.000]  because people didn't know Apple products because they had relative to now so many,
[14:58.000 --> 15:03.000]  an order of magnitude fewer customers, maybe two orders of magnitude fewer customers.
[15:03.000 --> 15:09.000]  The thing that makes Apple products desirable are things that you really have to see them
[15:09.000 --> 15:12.000]  and use it yourself to see how nice they are.
[15:12.000 --> 15:17.000]  You can say that this iPod is nicer than other music players,
[15:17.000 --> 15:24.000]  but you really have to use it and see how it feels when you spin the click wheel
[15:24.000 --> 15:30.000]  or in the modern time to just load a web page and see how much better the trackpad is
[15:30.000 --> 15:33.000]  than the Windows trackpad you might be used to, etc.
[15:33.000 --> 15:40.000]  You can't just say, hey, Macs have much nicer trackpads than the crappy Windows machine you're used to.
[15:40.000 --> 15:44.000]  You can say it, but seeing is believing.
[15:44.000 --> 15:45.000]  And that was the purpose of the stores.
[15:45.000 --> 15:48.000]  Let people see these things, make it easy to buy them,
[15:48.000 --> 15:51.000]  and once you have them, make it easy to get help with them.
[15:51.000 --> 15:52.000]  And that was it.
[15:52.000 --> 15:55.000]  And now I feel like by making it a community hub,
[15:55.000 --> 16:03.000]  I wonder if they're just, again, to play devil's advocate, is it worrisome that they're maybe losing focus?
[16:03.000 --> 16:05.000]  So I think that's absolutely valid.
[16:05.000 --> 16:09.000]  I'm wondering how much of the community focus is actually the sugar candy coating on this,
[16:09.000 --> 16:12.000]  because you sort of go through those three stages you mentioned
[16:12.000 --> 16:16.000]  where Apple stores became a place where you could go buy Apple products, and that was perfect timing.
[16:16.000 --> 16:19.000]  It was one of the many things that were the confluence that led to iPhone
[16:19.000 --> 16:22.000]  becoming the astronomical business that it was,
[16:22.000 --> 16:24.000]  and Apple made iPhone super available at the Apple stores.
[16:24.000 --> 16:26.000]  But then there was this whole move towards the halo effect,
[16:26.000 --> 16:29.000]  where once you got an iPhone, that was sort of your gateway to Apple,
[16:29.000 --> 16:31.000]  and then there was the back to my Mac event,
[16:31.000 --> 16:33.000]  and once you had an iPhone, you'd go to the Apple store,
[16:33.000 --> 16:35.000]  and maybe you'd get a Mac or you'd get an iPad.
[16:35.000 --> 16:38.000]  But now we're getting to a point where these products are so mature
[16:38.000 --> 16:40.000]  that they have to start looking for extra markets,
[16:40.000 --> 16:42.000]  and that there is Apple Watch and Apple TV,
[16:42.000 --> 16:44.000]  and those sort of become satellites around the iPhone.
[16:44.000 --> 16:47.000]  But now there really is this move, especially with that new avenue set up,
[16:47.000 --> 16:51.000]  towards the things that now that iPhone is built out as a platform,
[16:51.000 --> 16:53.000]  the things that you can build out from the iPhone platform,
[16:53.000 --> 16:56.000]  and that is photography and music and things like cases,
[16:56.000 --> 16:58.000]  which are similar to watch bands for phones.
[16:58.000 --> 17:01.000]  And while the iPhone business might be maturing,
[17:01.000 --> 17:04.000]  it lets Apple build all these other small businesses
[17:04.000 --> 17:06.000]  that aren't as valuable as the iPhone,
[17:06.000 --> 17:09.000]  but taken together might become very, very valuable for Apple.
[17:09.000 --> 17:12.000]  All right, and I can't move on from the store
[17:12.000 --> 17:18.000]  without mentioning the giant doors that easily could accommodate a car.
[17:18.000 --> 17:26.000]  When you look at that front showroom, can you imagine two cars on the floor?
[17:26.000 --> 17:27.000]  Is there room for that?
[17:27.000 --> 17:31.000]  Yeah, it's funny because I went from the Apple store,
[17:31.000 --> 17:34.000]  I went down to Santana Row later where they have a Tesla store,
[17:34.000 --> 17:37.000]  and the Tesla store looks very much like that front of that Apple store.
[17:37.000 --> 17:41.000]  Once that's open, they have room for two Teslas and the bottom chassis there,
[17:41.000 --> 17:44.000]  so three cars in essence for print.
[17:44.000 --> 17:47.000]  And absolutely, if you move those tables out of the way,
[17:47.000 --> 17:50.000]  you can easily see, especially if Apple goes for something small and smart car,
[17:50.000 --> 17:54.000]  you'll see a couple of those right in the front.
[17:54.000 --> 17:57.000]  All right, let me take a break and thank our first sponsor.
[17:57.000 --> 18:00.000]  It is our good friends at Casper.
[18:00.000 --> 18:08.000]  Casper sells obsessively engineered mattresses at shockingly fair prices.
[18:08.000 --> 18:11.000]  Go to casper.com slash the talk show
[18:11.000 --> 18:14.000]  and just use that code the talk show when you check out,
[18:14.000 --> 18:16.000]  and you will save 50 bucks on any mattress.
[18:16.000 --> 18:17.000]  So here's the deal.
[18:17.000 --> 18:20.000]  Casper created one perfect mattress,
[18:20.000 --> 18:23.000]  or at least one technology for the mattress.
[18:23.000 --> 18:27.000]  It is their own custom version of a foam mattress.
[18:27.000 --> 18:35.000]  It is sort of like memory foam, sort of like it's just the right balance.
[18:35.000 --> 18:36.000]  That's the thing.
[18:36.000 --> 18:39.000]  I always say that they're a lot like Apple,
[18:39.000 --> 18:41.000]  where instead of coming into a mattress store
[18:41.000 --> 18:44.000]  and picking between 10 different types of mattresses,
[18:44.000 --> 18:47.000]  seven different types of foam or spring or this,
[18:47.000 --> 18:50.000]  and you want this kind of sink, you want this kind of bounce, no.
[18:50.000 --> 18:51.000]  Forget it.
[18:51.000 --> 18:54.000]  Casper's engineers figured out the right type of foam
[18:54.000 --> 18:57.000]  that's the best for most people, and that's it.
[18:57.000 --> 18:59.000]  And then all you have to do is pick what size you want.
[18:59.000 --> 19:00.000]  That's it.
[19:00.000 --> 19:01.000]  You just pick what size.
[19:01.000 --> 19:02.000]  It could not be easier.
[19:02.000 --> 19:04.000]  And because they sell direct,
[19:04.000 --> 19:07.000]  they're one of these companies that just sells direct.
[19:07.000 --> 19:09.000]  That's why they're doing the podcast ads.
[19:09.000 --> 19:12.000]  That's why I'm talking to you about them, is there's no middleman.
[19:12.000 --> 19:14.000]  That's where all of these savings come.
[19:14.000 --> 19:16.000]  Casper makes these things.
[19:16.000 --> 19:18.000]  They make them right here in the USA, by the way.
[19:18.000 --> 19:20.000]  You go to the website.
[19:20.000 --> 19:21.000]  You pick what size you want.
[19:21.000 --> 19:23.000]  You put the talk show code in.
[19:23.000 --> 19:26.000]  You save 50 bucks, and boom, next thing you know,
[19:26.000 --> 19:28.000]  this box shows up at your house, and you're like,
[19:28.000 --> 19:30.000]  I cannot believe that there's an entire queen
[19:30.000 --> 19:32.000]  or king-size mattress in this box.
[19:32.000 --> 19:34.000]  You take it up to your bedroom.
[19:34.000 --> 19:36.000]  You follow the little directions, very simple,
[19:36.000 --> 19:39.000]  of the right way to open a box, and then boom.
[19:39.000 --> 19:42.000]  All of a sudden, you have a brand-new, very comfortable mattress
[19:42.000 --> 19:44.000]  right there in your bedroom.
[19:44.000 --> 19:45.000]  Could not be easier.
[19:45.000 --> 19:48.000]  Here's how sure they are that you're going to like it.
[19:48.000 --> 19:50.000]  They have a 100-night home trial.
[19:50.000 --> 19:51.000]  You go there. You buy it.
[19:51.000 --> 19:52.000]  Don't forget the code, the talk show.
[19:52.000 --> 19:54.000]  You save 50 bucks, and if you don't love it,
[19:54.000 --> 19:58.000]  within 100 days, you just call them up or go to the website.
[19:58.000 --> 19:59.000]  They don't give you a hard time.
[19:59.000 --> 20:00.000]  They don't try to talk you out of it.
[20:00.000 --> 20:02.000]  They just say, okay, and then they schedule a time
[20:02.000 --> 20:04.000]  to come to your house and pick it up,
[20:04.000 --> 20:05.000]  and they give you a full refund.
[20:05.000 --> 20:08.000]  That's it, and it's like almost nobody does it
[20:08.000 --> 20:10.000]  because the mattress is so good.
[20:10.000 --> 20:11.000]  I've heard from a couple readers.
[20:11.000 --> 20:14.000]  Somebody wrote to me once and said that they did
[20:14.000 --> 20:16.000]  and that they were actually surprised at how, you know,
