[00:00.000 --> 00:10.560]  Ladies and gentlemen, Daring Fireball Productions is pleased to welcome you to mezzanine.
[08:55.760 --> 09:15.760]  Can't go wrong. Go check them out. And they have a special code just for this show. They want to see just how well this show did. If you use the code WWDC. Very easy to spell. You'll save 15% on anything you order. So that's a tremendous deal. So my thanks to Fracture.
[09:15.760 --> 09:36.760]  And last but not least the event itself is sponsored by a small software company in Seattle. They are a company called Microsoft. You guys know that. I mean I write about Microsoft all the time.
[09:36.760 --> 09:52.760]  But no joke. Here's the thing. Has anybody here been to this show before in previous years? So this is their third year sponsoring the live talk show. It's not that odd anymore. It really isn't.
[09:52.760 --> 10:09.760]  And they've really pivoted. They've made major investments in their developer tools and their cloud infrastructure and built it out in a way that is tremendous for iOS, Mac developers, even Android developers.
[10:09.760 --> 10:26.760]  But any platform. They really have grown past being just about Windows. And it's great stuff. We use it at Vesper for sync. Our sync system has never had a problem due to the hosting stuff there. It is absolutely rock solid. I recommend it. Even if they weren't a sponsor I would recommend it.
[10:26.760 --> 10:45.760]  But check them out. They have a special website that they've made. And it's for their appeal to app developers regardless of your platform. And the website is anyappanydev.com.
[10:45.760 --> 11:10.760]  Go check it out. That's their message to you. But they're all over the place this year. They sponsored Dow Rumple's Beard Bash last night. They sponsored Alt Conf. All sorts of great stuff. So my thanks to them.
[11:10.760 --> 11:20.760]  So I have one guest for tonight. And it truly is. I use the words all the time. When Moltz is on the show I say a very special guest. That's not a very special guest.
[11:20.760 --> 11:49.760]  This time I do have a very special guest. And I am very excited to introduce him. Ladies and gentlemen. I shit you not. Phil Schiller.
[11:49.760 --> 12:18.760]  One giant selfie everybody.
[12:18.760 --> 12:34.760]  Wow. And I think Moltz is so funny so I can't believe I got the cheer.
[12:34.760 --> 12:44.760]  So my first question every year at this event is always how did you think the keynote went yesterday?
[12:44.760 --> 13:07.760]  Well they finally introduced all the things I was expecting. I think it went amazing. I was so impressed. And everyone did a great job. From Tim on to Jimmy. A lot of work goes into it. I don't think a company on this earth could have done better.
[13:07.760 --> 13:26.760]  I heard some laughter when you said Jimmy. One person who did not appear on stage was you. Which was highly unusual. How many keynotes in a row had you been on stage prior to that?
[13:26.760 --> 13:38.760]  I have taken part either presenting or demoing over 50 keynotes in a row.
[13:38.760 --> 13:43.760]  So you should have gone for 56. It would have been like Joe DiMaggio.
[13:43.760 --> 13:53.760]  No, no, no. No other reason than it just worked out that way this time. But I worked really hard on it.
[13:53.760 --> 14:10.760]  I thought that the opening with a Bill Hader short film was so great but like so over the top well produced. Like when did the gears get started on doing that?
[14:10.760 --> 14:26.760]  Well a year ago we started thinking we need a really good video next year. Truly. And I think about three weeks ago we came up with the idea. By the way if anyone has a really good idea for an opening video next year.
[14:26.760 --> 14:45.760]  Sugar at Apple dot com. I'll take all suggestions. We do. What's that? My only complaint is that it seemed to me that you cheated at the end because that didn't look like Presidio.
[14:45.760 --> 15:05.760]  So the idea of the video and we knew it would throw some people so you're in that group that it started by saying yesterday's rehearsal and it was meant to be in a secret location where they were rehearsing separate from Moscone so people wouldn't know what the big production was.
[15:05.760 --> 15:15.760]  And that was the reason that it looked different and that's our story and we'll stick to it.
[15:15.760 --> 15:31.760]  I should state up front that the rules for this interview were actually extremely simple. Phil said to me ask me anything. I may not answer everything.
[15:31.760 --> 15:44.760]  This is true. But you know our PR rules. If you ask me some questions I don't like you'll never speak to us again for the rest of your life.
[15:44.760 --> 15:49.760]  Not true.
[15:49.760 --> 15:54.760]  Whoever said yeah doesn't know. I'm not going to use that word.
[15:54.760 --> 16:02.760]  Meanwhile someone from Apple PR is up there with a gun pointed at my head. Like a stun gun.
[16:02.760 --> 16:10.760]  So like if I go down and then Adam is right there ready to come out and take over. So the show will go on.
[16:10.760 --> 16:24.760]  All right. A serious question. Very serious. And it's going to come out differently today a day after the keynote than I maybe expected it to.
[16:24.760 --> 16:38.760]  I'm sure you've noticed it and it's not just this year it's been growing over the last few years is people keeping track of the diversity of the speakers in keynote addresses of various companies at various events.
[16:38.760 --> 16:49.760]  And that one way that Apple has had an imbalance in that regard is the number of women in keynotes.
[16:49.760 --> 17:12.760]  Now yesterday that talking about streaks that streak was over. Jennifer Bailey introduced Apple Pay or the improvements to Apple Pay and Susan Prescott I thought killed it.
[17:12.760 --> 17:20.760]  I honestly think that the I read ESPN for the articles got a bigger laugh than the Bill Hader thing. I mean that.
[17:20.760 --> 17:25.760]  But talk to me about that. Like does that deserve a finally.
[17:25.760 --> 17:43.760]  No. And in fact far honestly far from it. It deserves. That's good. More of it. Not a finally. Yeah. There's clearly there's either some really high pitched guys out there or there are women in the audience so I can't see anything. So that's awesome.
[17:43.760 --> 17:55.760]  There are the. This is clearly a topic that's been growing in technology not just about Apple but all companies and particularly here in the Valley.
[17:55.760 --> 18:05.760]  And it's long overdue and it's been gaining momentum that there are not enough women and minorities both represented across all technology companies.
[18:05.760 --> 18:19.760]  It's time to start counting it paying attention to it. But more importantly doing something proactively to help. And and there are a lot of things that Tim has championed and driven at Apple now under his leadership.
[18:19.760 --> 18:28.760]  And this is one of those things on the list. He cares deeply about diversity at Apple and believes that this isn't just something to do because people tell you to do it.
[18:28.760 --> 18:41.760]  But because ultimately we will make better products and our customers will get better products because you have a diverse group of people all bringing their talents and ideas to making those products and ultimately you'll do a better job and we'll all be happier.
[18:41.760 --> 18:54.760]  And so how do you do that. Well there are a number of things you do. One of them is you present some role models and say look you can be a young girl in technology who wants to learn to become a programmer become a marketing person whatever.
[18:54.760 --> 19:03.760]  And there are people who have gone that path and been successful and you should too look up to that want to be that. And and he cares deeply about it.
[19:03.760 --> 19:12.760]  And so we were really happy with this show that we had both Jennifer and Susan had you know their roles are deeply involved in exactly what they presented.
[19:12.760 --> 19:20.760]  Jennifer's worked on on Apple Pay from the start. I've been working with Jennifer at Apple since early late 80s early 90s.
[19:20.760 --> 19:35.760]  Susan's worked on my team for a good decade now doing product marketing and not only are they really smart great speakers deeply involved and passionate about Apple but those are two vice presidents at Apple.
[19:35.760 --> 19:51.760]  Right. They're in leadership roles. And so that's good. It's a start. It's we want to see more and more of that always. Right.
[19:51.760 --> 20:07.760]  And my take has always been that the gist of it is it has to be more than just the surface level of OK we'll we'll pick a woman or somebody else or a person of color to go on stage because the way you guys do the keynote it's it's the people who are responsible for the thing doing it.
[20:07.760 --> 20:14.760]  And so there needed to be Apple Pay news for Jennifer Bailey to go out and do it.
[20:14.760 --> 20:24.760]  Exactly right. And so that's even better though because it means that there really are in these positions of influence and you know getting shit done.
[20:24.760 --> 20:29.760]  Yes. All right.
[20:29.760 --> 20:35.760]  What kind of deal does Eddie Q have with the devil.
[20:35.760 --> 20:45.760]  He's a Duke fan and they won the championship. He's a Warriors fan. They've never even been in the finals before. Now they're in the finals. What is going on there.
[20:45.760 --> 21:07.760]  Well let me unwind that question because there's two different parts to it. First Duke. It's no secret. Eddie went to Duke. Been a fan since he was in college. He is good friends with Coach K. If you don't know Duke in basketball Coach K is the greatest winning NCAA coach.
[21:07.760 --> 21:17.760]  And and so rooting for Duke like isn't a big gamble that they're not going to win some championships because they can do it whether he roots from or not. But but he has rooted for them since college.
[21:17.760 --> 21:23.760]  So so that's that's not it. You don't need a big deal to make that happen. That's happening.
[21:23.760 --> 21:33.760]  But the Warriors. Eddie has been a fan of theirs for a couple of decades going to games. So he's been through some lean times and he's do.
[21:33.760 --> 21:45.760]  And so so if you know Eddie like I do and we're really great close friends. Eddie is one of the most loyal people you can ever have as a friend or a co-worker and so he's been loyal to his sports teams.
[21:45.760 --> 21:58.760]  And the last thing I'll say on this is if somebody is doing a deal with the devil for the Warriors that's one crappy deal because it's been what 40 years without a championship. You're not a good deal maker.
[21:58.760 --> 22:02.760]  I care.
[22:02.760 --> 22:07.760]  All right. Let's get down to some of the products that you guys talked about yesterday in WWDC.
[22:07.760 --> 22:13.760]  So I think I'll stick roughly to the order. You know go in your order. OS 10.
[22:13.760 --> 22:27.760]  I'm going to mispronounce it. Capitan. You said it well last show.
[22:27.760 --> 22:44.760]  I'm a good guesser. I really did guess. At least one of you did.
[22:44.760 --> 22:53.760]  It is I know there are definitely new features there. Some of the features are very cool. I love the mouse shake thing.
[22:53.760 --> 23:04.760]  I'm serious. I have a giant 5K iMac. I need to know where my mouse is. But there used to be an init way back in like the ancient era that did the same thing.
[23:04.760 --> 23:13.760]  Yes. When the screens were this big. I know. You had a nine inch black and white Mac screen. You had to go like this to find a cursor. What was wrong with us?
[23:13.760 --> 23:23.760]  But in fact I kid you not. I did it this afternoon. I was working on some slides. I'm on a 27 inch iMac and I went oh where's my cursor.
[23:23.760 --> 23:31.760]  And I did the shake like oh I'm not on El Capitan yet on this system. It's not working. It becomes very intuitive very quickly.
[23:31.760 --> 23:38.760]  In large part though. Like I said there are some new features. But it is mostly like a stability and refinement release of OS 10.
[23:38.760 --> 23:44.760]  Or at least in large part that's part of the focus of it. And that was what led me to guess El Capitan.
[23:44.760 --> 23:50.760]  Because it's like there was leopard and then snow leopard which was sort of a hey let's slow down the new features and work on reliability.
[23:50.760 --> 23:59.760]  And then there was lion and mountain lion. And I thought there's no such thing as mountain Yosemite.
[23:59.760 --> 24:11.760]  Very astute. But to your point. No we don't think of it as only a stability and performance release.
[24:11.760 --> 24:20.760]  That is a big part of it. But the features the teams have worked on we think will matter to all of us in our everyday lives using these systems.
[24:20.760 --> 24:27.760]  And they took a lot of work. And some of them will have significant ramifications for a long time.
[24:27.760 --> 24:35.760]  I think most of all with Metal on the Mac on that. It's a huge opportunity for all of us. So I think there's some really important things in this.
[24:35.760 --> 24:44.760]  Yeah I guess that is a big one. And it really does sort of it's like this virtuous circle where you've got all these game developers.
[24:44.760 --> 24:52.760]  Top game developers cranking on iOS games for years. And adopting metal very quickly in the last year.
[24:52.760 --> 25:01.760]  And already having code ready to go. And it really does iOS is really helping the Mac here in terms of elevating the Mac as a gaming platform.
[25:01.760 --> 25:07.760]  Absolutely. Especially in this case. It's this great leverage there. But it's not just for the gaming. I mean that's a big part of it.
[25:07.760 --> 25:14.760]  It's great for pro apps. And we've seen that. Adobe came in and did some work and we're really impressed with what they could do on it.
[25:14.760 --> 25:22.760]  And our own teams have done it with systems as Craig talked about to have graphic software layers from the system starting to get accelerated with it.
[25:22.760 --> 25:26.760]  We see big benefits. So I think it is a system wide opportunity.
[25:26.760 --> 25:31.760]  Well my son just wanted to thank you for the gaming.
[25:31.760 --> 25:45.760]  But there has been in the last year a sort of I don't know if it's a meme but a talking point that gained a lot of yeah me too I agree.
[25:45.760 --> 25:50.760]  The basic gist of it being Apple software isn't as reliable as it used to be.
[25:50.760 --> 26:00.760]  And it got out there. I forget somebody wrote something about that.
[26:00.760 --> 26:09.760]  No no let's let's just deal with the elephant in the room. Marco.
[26:09.760 --> 26:19.760]  So there's a reason many of you read Marco's blog. He's a smart guy and he's a passionate guy.
[26:19.760 --> 26:23.760]  And I read his stuff too. So it's worth it.
[26:23.760 --> 26:31.760]  And so complete respect for your perspective and your belief. Don't share them in this instance but I respect it.
[26:31.760 --> 26:40.760]  And I mean that they're trying to be magnanimous and somehow step in it.
[26:40.760 --> 26:50.760]  So there there's no doubt with every release there's bugs and there's things we hit on and there's things that the team's passionate about getting out there and fixing.
[26:50.760 --> 27:13.760]  But we're also very careful about tracking crash logs and AppleCare calls and Genius Bar visits and we even have a tool that is able to follow a lot of user forms to ascertain what the complaints are and try to really gather a good metric set of metrics on all the issues.
[27:13.760 --> 27:20.760]  And in this case I do think the storyline isn't really accurate with the reality.
[27:20.760 --> 27:27.760]  Not to say there aren't bugs and there aren't things driving some people crazy. There are. Of course there are. But it isn't a change.
[27:27.760 --> 27:40.760]  In fact if there's any change I think the biggest change in Yosemite truthfully over the last year was that we had a faster adoption rate of OS 10 than of any Mac OS in history.
[27:40.760 --> 27:54.760]  And so you saw a larger number of users faster in the release cycle in more diverse networks and environments in different uses and that surfaced even more things that would kind of happen over a slower ramp.
[27:54.760 --> 28:05.760]  And so there were things to chase out and go work on. No doubt about it. But I wouldn't say it's systemic to some issue or some wider thing going on. Not in any way.
[28:05.760 --> 28:15.760]  The feedback I got, it seemed like you guys were taken a little surprised by that because a lot of the things that you measure were all saying this is better than before.
[28:15.760 --> 28:27.760]  We're seeing fewer crash logs per user. We're seeing fewer of certain problems. And I kind of feel like maybe what got lost in the shuffle there is that a lot of the problems people were having were things that don't even generate crash logs.
[28:27.760 --> 28:36.760]  And it's sort of like, you know, like some of this Discover ED stuff. It's just like all of a sudden my printer just isn't connected anymore.
[28:36.760 --> 28:40.760]  But it's...
[28:40.760 --> 28:51.760]  Hey, you get to take the good, the bad. That's okay. Oh, get it out of your system. Let's laugh about it.
[28:51.760 --> 29:01.760]  You know, there's an example where I think everyone should be proud that if we're going to try something, it's great to try things. Sometimes it's okay to take a risk.
[29:01.760 --> 29:10.760]  You don't want everything to stay and never change. But if things aren't perfect and people are telling us they're not happy with how something's working, here we are.
[29:10.760 --> 29:33.760]  We haven't shipped El Capitan yet, already dealing with that within this one-year cycle inside of that to make a big change, to make things better. And I think that's a sign of how much the team is willing to self-analyze what the situation is and do whatever's right.
[29:33.760 --> 29:42.760]  So just for the record, before we move on to the next topic, you guys do read the radars that they file.
[29:42.760 --> 29:46.760]  Yes.
[29:46.760 --> 30:09.760]  Next up was iOS, iOS 9. And there's a lot in iOS 9. And there's the multitasking and the keyboard and the trackpad. All, to me, the gist of it is for a lot of people, this becomes a lot more of a productivity machine than like a huge leap forward for advanced iOS users, iPad users.
[30:09.760 --> 30:27.760]  In particular, the iPad features, the team for the last couple of years has been looking at what we think would be changes in experience. Remember, when we launched the iPad, in the very first iPad, a lot of work went into rewriting all of the applications of the system to take advantage of that big, beautiful screen.
[30:27.760 --> 30:43.760]  And a lot of thought went into that. And then we put that out in the world and saw how people use it. And then we went back to it and said, well, what are the next things we need to do unique for iPad to make it a more productive, more useful product in the things you do?
[30:43.760 --> 30:58.760]  And one of the things was to help you use multiple applications in new ways. And it actually took a couple of years of development to get to this. It wasn't like someone woke up six months ago and said, hey, let's do multi-window multitasking on this.
[30:58.760 --> 31:15.760]  It took a while to, for example, put out last year the size classes and auto layout in iOS so people can develop, essentially, for iPhone 6 and 6 Plus. But we knew that by doing that work, we were laying the groundwork to make this happen with El Capitan as well.
[31:15.760 --> 31:24.760]  So some of these things take multiple years to put everything in place to do it the right way. Because you can rush it out and do it the wrong way, and then we don't all like where we are.
[31:24.760 --> 31:39.760]  I thought it was the, I was sitting not in the middle, but farther back. I was really in the mix with the developers too. And I thought that that got the weirdest reaction, like the most mixed reaction from the crowd was when Craig said, you've already done the work.
[31:39.760 --> 31:49.760]  If you've been listening to us and done this auto layout and the size classes, you've already got it. And there was this really mixed reaction where it seemed like half of the developers were like, yes.
[31:49.760 --> 32:04.760]  And they totally understood how Twitter maybe came in and really did like 50 minutes of work and got it working because they already had it. And then the other half of the developers were like, uh.
[32:04.760 --> 32:10.760]  Like when you guys offer a hint as to what developers should be doing, people should take the hint.
[32:10.760 --> 32:17.760]  I think our batting average is pretty good on that.
[32:17.760 --> 32:23.760]  Wow, that's weird. My next question was about 64-bit carbon.
[32:23.760 --> 32:38.760]  That's an old note from a, this card is very old.
[32:38.760 --> 32:42.760]  This is our audience, Phil.
[32:42.760 --> 32:47.760]  64-bit carbon joke got a laugh.
[32:47.760 --> 32:49.760]  A pained laugh.
[32:49.760 --> 32:53.760]  Yeah, there's probably some angry people out there.
[32:53.760 --> 32:55.760]  It's all good now.
[32:55.760 --> 33:03.760]  Last thing on iOS, and it's a big thing, and I really thought you guys hit it several times. I think you almost couldn't have been more clear on it.
[33:03.760 --> 33:12.760]  And I really think it is the biggest story in the industry this year. It's not like a flash in the pan. I think it's ongoing.
[33:12.760 --> 33:29.760]  But it's hard to summarize. But it's this idea of contextual awareness with your devices and services in terms of telling you if it's going to rain or the Craig's example of knowing you're getting in your car.
[33:29.760 --> 33:35.760]  Traffic patterns, you've got to leave for the airport, all these types of features.
[33:35.760 --> 33:47.760]  And how a company and a platform could implement them with the flip side of, how did you say it? How did you guys say it in the keynote?
[33:47.760 --> 33:53.760]  It was the second most popular mapping app on iOS. Google.
[33:53.760 --> 34:00.760]  But there's this argument going on. And the flip side of it is this privacy issue with data collection. And all sorts of things are coming out at once.
[34:00.760 --> 34:03.760]  And Google is doing features like this. You guys are doing features like this.
[34:03.760 --> 34:12.760]  And just, I think by coincidence, but the Annenberg School of Communication had this widely cited paper that just came out this week. I'm sure you saw it.
[34:12.760 --> 34:23.760]  The gist of it being that typical consumers do care about the privacy and the implications of the information that online companies like Facebook and Google are collecting.
[34:23.760 --> 34:32.760]  They're not comfortable with a lot of it. But they kind of feel helpless about it. And they're like, I guess Google knows where I am all the time.
[34:32.760 --> 34:38.760]  But you guys seem to have a different vision on this. And the flip side of the art, the last part of it, I know this is a very long question.
[34:38.760 --> 34:45.760]  Are you with me so far? Yeah, I'm waiting for the question.
[34:45.760 --> 34:56.760]  The gist of it though is that a lot of people are arguing that to implement these features well, a company has to collect it in an identifiable way.
[34:56.760 --> 35:02.760]  And keep a sort of dossier on you. Otherwise the features don't work. And you guys seem to have a very different stance on that.
[35:02.760 --> 35:15.760]  And obviously this is not new. This is something we've believed for many, many years. And hoped that it would get traction that more and more people would start to care and question the choices they have to make.
[35:15.760 --> 35:26.760]  If ever there's a modern definition of a Faustian bargain, this is it. Which is that if you want to get the features, give us all this information about your life that you'd really rather not.
[35:26.760 --> 35:42.760]  And we've believed for a very long time that that doesn't have to be the case. And so we've built systems and processes all around the idea that in order to help users, you can do things that are surprising and delightful and magical.
[35:42.760 --> 35:54.760]  But we don't know your data. If there's something that has to get through our server, then it's non-identifiable. And if it can be done in any way on your device without going to our server, then that's the better place to do it.
[35:54.760 --> 36:07.760]  And that we think we can deliver great experiences protecting users' privacy. And that has been a belief for many years. And now it's really becoming a much more well-received message.
[36:07.760 --> 36:15.760]  And we're probably talking a little bit louder about it because we think people do want to hear it. But we haven't changed our feeling. This is our feeling for many, many years about it.
[36:15.760 --> 36:23.760]  But it's sort of coming to a head now because it's like, I feel like these features really bring out the difference in the two strategies.
[36:23.760 --> 36:30.760]  We hope so. We hope people will see that I can get the capabilities I want and somebody standing up for my privacy.
[36:30.760 --> 36:39.760]  One of the great things about Apple, I believe, is that our customers trust us. They put trust in the fact that we're trying to make something that's quality.
[36:39.760 --> 36:47.760]  They put trust in the fact that we're going to support them. They put trust in the fact that we're going to respect privacy and security and do everything we can.
[36:47.760 --> 36:52.760]  And I think that these are the features that best demonstrate that today.
[36:52.760 --> 37:02.760]  Okay.
[37:02.760 --> 37:09.760]  I might be getting the next one out of order. It was a long keynote. My notes are a little mixed up.
[37:09.760 --> 37:13.760]  I've been to longer.
[37:13.760 --> 37:20.760]  I was wondering if maybe that wasn't the longest. I always thought that maybe you guys had like a loose rule that you wanted to keep it under two hours.
[37:20.760 --> 37:30.760]  We do, actually. We think that in general, you know, keynotes, people seem comfortable in the 145 to 210 kind of range.
[37:30.760 --> 37:36.760]  But that's never perfect. There's other times when things can be shorter or longer.
[37:36.760 --> 37:46.760]  And in order to get it to the length we did, we cut a lot of things. We were very, you know, very aggressive on turning back on.
[37:46.760 --> 37:54.760]  Yeah. Well, talking, I was thinking more about the power feature in iOS 9 and how we, you know, we didn't even show the UI for that.
[37:54.760 --> 38:00.760]  Or a whole bunch of things that are there that were actually really nice. But we had to, we have to.
[38:00.760 --> 38:07.760]  And even then, you know, some people, nobody seemed to get up and leave, so I think we were okay.
[38:07.760 --> 38:12.760]  All right. But I think next was Apple Watch.
[38:12.760 --> 38:23.760]  Watch OS with a lowercase w. Are you trying to kill me?
[38:23.760 --> 38:32.760]  It's, I think it works really well. I think it's nice. It's ownable. It's special.
[38:32.760 --> 38:40.760]  I think you'll see. Give us time. We've been through many fun naming things. This is an easy one.
[38:40.760 --> 38:45.760]  There have been many fun naming things through the years, some very emotional, some very easy.
[38:45.760 --> 38:51.760]  And most of the time, when all is said and done, you look back years later, people say, yeah, you guys were right.
[38:51.760 --> 38:56.760]  It all made sense together. So I think we're doing the right thing.
[38:56.760 --> 39:04.760]  I'm hoping that it's like, was it the 3GS? Which was the one where you had a lowercase s?
[39:04.760 --> 39:06.760]  The 5S.
[39:06.760 --> 39:10.760]  And then you uppercase the S.
[39:10.760 --> 39:18.760]  As I said, sometimes in the middle of things, we decide we haven't done the right thing and we fix it.
[39:18.760 --> 39:20.760]  All right.
[39:20.760 --> 39:29.760]  Hopefully right in your wheelhouse. But one thing that really struck me is in the run up to the release of the watch.
[39:29.760 --> 39:38.760]  And in the TV spots that ran, it ended with the watch is coming.
[39:38.760 --> 39:44.760]  And then when it launched, I think it probably right around probably timed it April 24th. The watch is here.
[39:44.760 --> 39:47.760]  And I thought that was such a great slogan.
[39:47.760 --> 39:55.760]  But it also conveys the different position Apple is in now than even even 2010 with the iPad.
[39:55.760 --> 39:59.760]  In terms of, you didn't have to say which watch.
[39:59.760 --> 40:05.760]  Well, thank you for liking the marketing. I appreciate that.
[40:05.760 --> 40:09.760]  I don't think of it that way as necessarily different.
[40:09.760 --> 40:17.760]  When you look back with iPhone, you may remember that we started the very first ad for iPhone was a teaser ad during the Grammys.
[40:17.760 --> 40:21.760]  It was just shots of people answering the phone and saying hello from famous movies.
[40:21.760 --> 40:25.760]  And yeah, that was a great ad and we didn't have to say anything about it.
[40:25.760 --> 40:27.760]  Everybody knew that's because iPhones coming. Right.
[40:27.760 --> 40:32.760]  And so it was OK to do something. And we had that freedom to express it that way.
[40:32.760 --> 40:35.760]  So in this case, the whole world was anticipating the watch.
[40:35.760 --> 40:39.760]  They knew about the watch. We had introduced it last September.
[40:39.760 --> 40:43.760]  And so as we were getting closer, there had been a billion stories written about it.
[40:43.760 --> 40:51.760]  So we didn't have to say much more than the watch is coming in and show a lot of the designs and show a lot of the interface,
[40:51.760 --> 40:55.760]  because one of the great things about the watch is the variety of choice you have with it.
[40:55.760 --> 41:02.760]  And so the ad got to show that and it created some energy and some uplifting beats to it to get that sense that,
[41:02.760 --> 41:06.760]  hey, we're building up to a moment of excitement here. The watch is coming.
[41:06.760 --> 41:09.760]  And so I think it worked pretty well at that.
[41:09.760 --> 41:13.760]  All right. Thank you. A developer question.
[41:13.760 --> 41:18.760]  So watch kit was announced last year at the end of the year,
