[00:00.000 --> 00:01.000]  So where to start?
[01:26.080 --> 01:29.520]  but at least in 2013, you can find several instances
[01:29.520 --> 01:33.520]  of ostensibly serious business writers
[01:33.520 --> 01:36.240]  calling either for Tim Cook to be outright fired,
[01:36.240 --> 01:39.680]  or at least calling for Apple's board to like
[01:39.680 --> 01:43.040]  reign him in and have him rejigger the company.
[01:43.040 --> 01:45.280]  But we did have Haunted Empire, I think, earlier this year,
[01:45.280 --> 01:47.440]  which sort of showed that Apple was completely
[01:47.440 --> 01:48.920]  doomed without Steve Jobs.
[01:48.920 --> 01:55.320]  Yeah, I think that's sort of the publication of Haunted Empire.
[01:55.320 --> 01:56.880]  What was her first name?
[01:56.880 --> 01:58.440]  Her last name is Kane, or?
[01:58.440 --> 01:59.960]  Yeah, you could, you could Torrey.
[01:59.960 --> 02:01.040]  Yeah, you could Torrey.
[02:01.040 --> 02:06.440]  Kane, I would say that the publication of her book, Haunted Empire,
[02:06.440 --> 02:08.800]  was sort of the, I was going to say, high watermark,
[02:08.800 --> 02:13.160]  but I would say maybe the low watermark of Apple naysaying.
[02:13.160 --> 02:15.800]  Yeah, when did that come out?
[02:15.800 --> 02:17.600]  That was probably February.
[02:17.600 --> 02:20.240]  Yeah, it was when I was with Jason Snell,
[02:20.240 --> 02:22.640]  which means that it had to be around Macworld time or something.
[02:22.640 --> 02:24.800]  Yeah, which was, I think, February.
[02:24.800 --> 02:27.840]  Yeah, that's true.
[02:27.840 --> 02:31.360]  Yeah, and I could not help but get the feeling when I read it,
[02:31.360 --> 02:36.960]  that it was rushed into publication, because I kind of felt like, at least,
[02:36.960 --> 02:42.320]  if she didn't know, at least her, the editorial team at her publisher sort
[02:42.320 --> 02:47.360]  of got the sense that the time was kicking on that sort of doom and gloom.
[02:47.360 --> 02:51.680]  Which was interesting, because you could probably make an argument for a haunted
[02:51.680 --> 02:55.120]  empire, but they didn't even make an attempt to make it. It was a bunch of pages
[02:55.120 --> 02:57.760]  strung together and nothing resembling a book.
[02:57.760 --> 03:01.000]  Yeah, and a bunch of a couple of anecdotes to string it together.
[03:01.000 --> 03:05.680]  Yeah, I do think, though, like, if there is, I think it was a very bad book.
[03:05.680 --> 03:08.240]  And I think it's already showing its age.
[03:08.240 --> 03:11.880]  And I think it's only going to look worse as the years go on.
[03:11.880 --> 03:16.200]  But on the other hand, I kind of glad the book exists,
[03:16.200 --> 03:25.800]  because it captures that sort of post-Steve jobs, pre-apple watch,
[03:25.800 --> 03:28.280]  negative, Apple perspective.
[03:28.280 --> 03:29.920]  Like an in hindsight, you know what I mean?
[03:29.920 --> 03:32.200]  It's like these years, they always blur together.
[03:32.200 --> 03:38.120]  And four or five years from now, it's like this whole period in between
[03:38.120 --> 03:39.640]  where the Apple watch was announced.
[03:39.640 --> 03:43.800]  And when we actually have it and we have Generation 2 and 3 by, you know,
[03:43.800 --> 03:48.600]  four or five years from now, it'll just, you know, be a blink, you know,
[03:48.600 --> 03:51.200]  we'll snap our fingers and think about these, this interim period.
[03:51.200 --> 03:55.000]  But I feel like her book sort of captures the epitomizes that,
[03:55.000 --> 03:56.920]  that sort of negative viewpoint.
[03:56.920 --> 03:58.280]  Yeah, I think that's absolutely true.
[03:58.280 --> 04:01.160]  We do tend to look back sort of rose-colored glass of the original iPhone,
[04:01.160 --> 04:02.000]  the original iPad.
[04:02.000 --> 04:04.000]  They couldn't do anywhere nearly what they could do now,
[04:04.000 --> 04:06.000]  but we still look at them with fondness.
[04:06.000 --> 04:08.840]  We think of current software updates as being buggy,
[04:08.840 --> 04:11.920]  but you look back at iOS, you know, two points something when everyone
[04:11.920 --> 04:15.760]  was playing a couldn't attach to a 3G network and Apple was rushing out of fix.
[04:15.760 --> 04:18.800]  We have this weird sort of affection, I think, for the past.
[04:18.800 --> 04:19.840]  Yeah.
[04:19.840 --> 04:24.360]  So I do, I think that's 2014 in a nutshell,
[04:24.360 --> 04:29.560]  is that the world at large and the conventional wisdom about Apple and
[04:29.560 --> 04:32.480]  about Tim Cook's leadership have caught up to reality,
[04:32.480 --> 04:37.560]  which is that the company was, you know, Steve Jobs left the company
[04:37.560 --> 04:40.480]  in very good shape and in very good hands.
[04:40.480 --> 04:41.800]  Yes.
[04:41.800 --> 04:44.920]  And it took about two or three years,
[04:44.920 --> 04:48.520]  it seems, for the mainstream financial media sort of concede that point.
[04:48.520 --> 04:50.960]  I would say that almost a full three years, right?
[04:50.960 --> 04:52.880]  Because he died in 2011.
[04:52.880 --> 04:53.720]  Yes.
[04:53.720 --> 04:55.680]  I would say it was a full three years.
[04:55.680 --> 04:58.840]  And Tim Cook, I mean, the company has never been worth more of the stock prices
[04:58.840 --> 04:59.360]  through the roof.
[04:59.360 --> 05:02.240]  They've introduced not only the Apple Watch, but Apple Pay.
[05:02.240 --> 05:03.800]  They have an AX processor.
[05:03.800 --> 05:05.520]  They have a 5K iMac.
[05:05.520 --> 05:08.200]  And you still look at Fortune contributor networks sometimes.
[05:08.200 --> 05:11.320]  And you just want to know how they get published.
[05:11.320 --> 05:12.760]  Yeah.
[05:12.760 --> 05:13.120]  All right.
[05:13.120 --> 05:15.800]  You're in review January.
[05:15.800 --> 05:18.080]  Definitely a slow start, I think.
[05:18.080 --> 05:18.400]  Yeah.
[05:18.400 --> 05:22.160]  Again, for some years, I mean, one year we got the Verizon iPhone in January.
[05:22.160 --> 05:23.960]  One year we got an education event.
[05:23.960 --> 05:26.680]  Previous years we had the introduction of the iPad.
[05:26.680 --> 05:28.680]  We've had Mac world, the introduction of the iPhone.
[05:28.680 --> 05:31.760]  So there was sort of, for a long period of time, there were events that were,
[05:31.760 --> 05:33.640]  there was news in January.
[05:33.640 --> 05:36.600]  And I think last year, there was nothing until WEC.
[05:36.600 --> 05:40.240]  And this year, I think it was almost identical to that.
[05:40.240 --> 05:43.400]  Yeah, I would say so.
[05:43.400 --> 05:48.640]  I mean, there's, you know, now that Apple doesn't make announcements in January, or at
[05:48.640 --> 05:53.840]  least they haven't in recent years, I mean, who knows this year in theory, they might
[05:53.840 --> 06:00.280]  have a watch event, but it's pretty much left to CES, which Apple doesn't take part
[06:00.280 --> 06:03.800]  in for all of the industry news.
[06:03.800 --> 06:12.520]  I don't recall anything from this year, to 2014 CES that ended up mattering a damn bit.
[06:12.520 --> 06:16.080]  No, I mean, I think this year will be different just because of home kit and health kit
[06:16.080 --> 06:19.200]  and car play, but last year, CES was a graveyard.
[06:19.200 --> 06:24.040]  It was just almost like matrix shelf after a matrix shelf of cases and nothing else.
[06:24.040 --> 06:28.480]  Yeah, and I don't think they knew what they were going to, you know, going to the industry
[06:28.480 --> 06:31.560]  as a whole didn't even know what they were trying to make.
[06:31.560 --> 06:33.120]  Yeah, they were making their fitness bands.
[06:33.120 --> 06:38.000]  And I remember one of the worst things I saw at CES was an Android powered car system and
[06:38.000 --> 06:41.640]  it was running gingerbread and the guy told us with a straight face that you could leave
[06:41.640 --> 06:44.400]  it on for five days, but it would drain your car battery.
[06:44.400 --> 06:47.920]  So you had to put it in standby mode, but if you put it, sorry, but if you turned it off,
[06:47.920 --> 06:51.480]  it would take like five minutes to boot again.
[06:51.480 --> 06:55.720]  This was something that they actually had as a press event.
[06:55.720 --> 06:57.280]  Are you going to CES again this year?
[06:57.280 --> 06:58.280]  Yeah, absolutely.
[06:58.280 --> 07:02.200]  Yeah, what's Dan Fromer who was on the show last week is going for the first time this
[07:02.200 --> 07:03.200]  year.
[07:03.200 --> 07:07.880]  Uh, and like I said with him, I always talk about going, but I've never gone, but it's
[07:07.880 --> 07:11.480]  alternatively completely barren or incredibly busy and you never know what's going to happen
[07:11.480 --> 07:14.200]  year to year.
[07:14.200 --> 07:16.840]  So I don't have high faith for it, but I think it, I think this year will be different
[07:16.840 --> 07:18.040]  because we will have a watch event.
[07:18.040 --> 07:19.440]  Maybe we'll see another Apple television.
[07:19.440 --> 07:20.440]  Maybe a bigger iPad.
[07:20.440 --> 07:24.920]  The spring sounds exciting this year, but last year up until, until June, it really was
[07:24.920 --> 07:27.760]  everyone just saying, whereas the new stuff from Apple, whereas the new stuff are the
[07:27.760 --> 07:29.320]  capable of innovating still.
[07:29.320 --> 07:30.320]  Yeah.
[07:30.320 --> 07:31.320]  Why we have to wait.
[07:31.320 --> 07:33.320]  Why do we have to wait for them to be ready with something?
[07:33.320 --> 07:37.360]  Well, that's the thing that I don't understand is do like would anybody have wanted a 2006
[07:37.360 --> 07:38.360]  iPhone?
[07:38.360 --> 07:40.200]  No, because it was not a product yet.
[07:40.200 --> 07:43.280]  And the Apple watch won't be a product until early next year.
[07:43.280 --> 07:46.120]  You don't want them to ship what they have right now.
[07:46.120 --> 07:47.120]  Yeah.
[07:47.120 --> 07:52.520]  And it, you know, to compare and contrast with I think the antithesis of Apple's, you
[07:52.520 --> 07:56.960]  know, we'll let you know when we're ready to show you attitude is Google, you know,
[07:56.960 --> 08:03.040]  who has been, you know, Google Glass was clearly released ahead of its time.
[08:03.040 --> 08:06.720]  I mean, it's still not, it still isn't a retail consumer product, but the fact that they
[08:06.720 --> 08:10.000]  sold it at all to what did they call the people explorers?
[08:10.000 --> 08:11.000]  Yes.
[08:11.000 --> 08:14.720]  You know, is the antithesis of Apple strategy.
[08:14.720 --> 08:21.480]  That would be the equivalent of a Apple head let WWDC explorers start wearing and using
[08:21.480 --> 08:24.400]  an Apple watch, you know, 18 months ago.
[08:24.400 --> 08:27.920]  Being like skank watch software or something.
[08:27.920 --> 08:28.920]  Right.
[08:28.920 --> 08:36.520]  You know, the self-driving cars, so many things that Google does, they show way early.
[08:36.520 --> 08:41.480]  And in some sense, I don't think it's productive.
[08:41.480 --> 08:45.360]  And you know, every time I bring it up, some people mention that the car is in particular,
[08:45.360 --> 08:51.760]  it's impossible to do it without showing your hand because there's no way to road test them.
[08:51.760 --> 08:54.560]  You know, you have to road test them in a public before you can release them and you
[08:54.560 --> 08:57.000]  know, way to keep once it's out in a road, you can't keep it secret.
[08:57.000 --> 09:05.600]  So maybe the self-driving cars is a bit of a bad example, but, you know, the other products
[09:05.600 --> 09:06.920]  they do, they release.
[09:06.920 --> 09:13.400]  And I think it, I think ultimately it's counterproductive because I think it saps away excitement
[09:13.400 --> 09:17.880]  from the real things you actually have available to sell to people.
[09:17.880 --> 09:26.280]  But on the other hand, it absolutely works to satisfy the desires of the tech press as an
[09:26.280 --> 09:29.800]  industry because they, you're giving them something to write about.
[09:29.800 --> 09:30.800]  Yeah.
[09:30.800 --> 09:34.440]  I think that's exactly, I think for the tech press, perception really is reality.
[09:34.440 --> 09:39.840]  So if we see a demo of the Moto 240 or 360 or whatever it is, even though it's not real,
[09:39.840 --> 09:43.400]  even though leaving a screen like that on like what they showed in the video is a complete
[09:43.400 --> 09:46.560]  science fiction fantasy, it sets expectations for that.
[09:46.560 --> 09:49.600]  And it makes people think that Google's really busy in that product is coming and they're
[09:49.600 --> 09:51.640]  innovating and they're doing all these things.
[09:51.640 --> 09:55.480]  And if it comes out, in some cases, you know, it's a complete turd, but everyone's already
[09:55.480 --> 09:56.480]  seen the video.
[09:56.480 --> 09:59.560]  The excitement's already happened and then everything else from then on, is it his appointment
[09:59.560 --> 10:02.360]  even things made by Apple or another company?
[10:02.360 --> 10:07.840]  Yeah, it's, I think mulch has said it best where he's, you know, I think it's mulch.
[10:07.840 --> 10:13.600]  But one of his lines is that, you know, Apple's current products continue to fail when
[10:13.600 --> 10:18.120]  compared to the upcoming products in future years from its competitors.
[10:18.120 --> 10:22.440]  It's like the iPhone 5C was a huge disappointment, even though it was the third most popular
[10:22.440 --> 10:26.680]  phone in the world and the iPad sales are lagging, even though there any company in the
[10:26.680 --> 10:29.120]  world would be happy to have that in their product line.
[10:29.120 --> 10:33.280]  Yeah, or another example I just noticed this week and it's funny, I haven't linked it up yet,
[10:33.280 --> 10:41.040]  but the same day or within 24 hours, there was a New York Times story about the success
[10:41.040 --> 10:48.080]  of Apple Pay and about a whole bunch of nude retailers who've signed up for it.
[10:48.080 --> 10:53.720]  Some big supermarket chains like Windixie, which is real big in the South here in the U.S.
[10:53.720 --> 10:58.880]  I forget who else, but some big, big name retailers have signed up.
[10:58.880 --> 11:02.880]  And companies like Whole Foods who've been on board since it started who've said that
[11:02.880 --> 11:07.600]  it's, you know, it accounts for over 1% of their transactions and an enormous percent of,
[11:07.600 --> 11:13.880]  you know, the digital transactions or what would you call it, cardless transactions.
[11:13.880 --> 11:18.040]  And at the same time, there were like three or four stories that I saw all based on the
[11:18.040 --> 11:24.640]  same analyst report about what, what, what trouble Apple Pay is in because they've woken
[11:24.640 --> 11:31.320]  up the MCX partners and really gotten the MCX partners to really want to do a good job.
[11:31.320 --> 11:35.920]  And so now Apple Pay is in trouble because MCX is, is still coming.
[11:35.920 --> 11:40.200]  It reminds me that article I think it was two weeks ago where someone said Apple Pay,
[11:40.200 --> 11:43.920]  I would probably another one of the Forbes contributor networks, that Apple Pay was a huge
[11:43.920 --> 11:49.240]  disappointment because it was only responsible for a very small amount of transactions worldwide.
[11:49.240 --> 11:52.720]  Nevermind America didn't have a much of equipment for it and it was only available in America,
[11:52.720 --> 11:55.600]  which, which, you know, far behind in terms of NFC.
[11:55.600 --> 11:58.320]  It's amazing what perspective they can bring to it when they try hard enough to put it
[11:58.320 --> 11:59.320]  in a bad light.
[11:59.320 --> 12:00.320]  Right.
[12:00.320 --> 12:05.920]  That there's no other digital, you know, pay with your phone transaction, retail thing
[12:05.920 --> 12:10.520]  that's even close to as popular as Apple Pay, but somehow it's a failure because it's
[12:10.520 --> 12:16.120]  still only 1% of the market, you know, two months in, yeah, in one country, or not even
[12:16.120 --> 12:17.120]  two months, right?
[12:17.120 --> 12:19.920]  It didn't even launch until November, I think, right?
[12:19.920 --> 12:24.520]  October, I think came with iOS 8.1, all right, well, still that's, you know, right about
[12:24.520 --> 12:29.760]  two months, two months.
[12:29.760 --> 12:40.040]  And it's crazy to me too that with the MCX that they don't mention the people who want
[12:40.040 --> 12:43.200]  to promote it, which I think, I think it's not because they actually believe it.
[12:43.200 --> 12:47.720]  I think it's even though they're analysts rather than press, I think it's this idea
[12:47.720 --> 12:54.720]  that you want to present everything as a neck and neck battle, right?
[12:54.720 --> 12:58.920]  You know, and so Apple Pay is threatened by MCX because it's going to be backed by Walmart
[12:58.920 --> 13:05.160]  and whoever else and they have, you know, huge, huge footprint in retail.
[13:05.160 --> 13:13.280]  But they just skip over the most obvious aspects of what has made Apple Pay successful,
[13:13.280 --> 13:20.760]  which is exactly what Tim Cook said on stage when he introduced it, which is, you know,
[13:20.760 --> 13:26.600]  it's one of my biggest recurring mantras about Apple is don't underestimate how often they're
[13:26.600 --> 13:29.240]  not giving you any spin, any bullshit.
[13:29.240 --> 13:34.240]  They're just telling you flat out in plain language exactly why they did what they did.
[13:34.240 --> 13:39.040]  And with Apple Pay, Tim Cook's explanation was, we think everybody else who's tried this
[13:39.040 --> 13:43.480]  to date has failed because they haven't concentrated on the user experience and made that
[13:43.480 --> 13:44.800]  their priority.
[13:44.800 --> 13:46.160]  That's what we've done.
[13:46.160 --> 13:53.160]  We've made it as easy as possible to use, as quick to use and as privacy protecting as
[13:53.160 --> 14:00.680]  we can, all in the name of the user, you know, and if that's all they did, well, then
[14:00.680 --> 14:04.400]  who, you know, what retailer would hook up the equipment, but the other things they did
[14:04.400 --> 14:12.600]  secondary to the user focus is use the established infrastructure for NFC payments and make
[14:12.600 --> 14:22.160]  the banks happy by taking a very minimal cut and by promising significantly increased security,
[14:22.160 --> 14:25.000]  which gets the banks on board because the banks can do the math.
[14:25.000 --> 14:32.600]  And I really do think it works out, which is that Apple's little 0.15% cut of the transactions
[14:32.600 --> 14:37.880]  is less than the cost of fraud per transaction that the banks have been used to.
[14:37.880 --> 14:41.640]  I think that's absolutely a trick, especially when you look at, and the privacy in the security
[14:41.640 --> 14:45.480]  too, when you look at all the data breaches at the targets or the Home Depot's, but I think
[14:45.480 --> 14:48.040]  you nailed it when you said it, it's aligned with my interest.
[14:48.040 --> 14:51.680]  I've gone to Apple Pay terminals, you know, even the demo one set up at Apple when we're
[14:51.680 --> 14:55.120]  at the event, and they read my Canadian NFC credit card.
[14:55.120 --> 14:58.040]  That technology is not going to just benefit Apple, it's going to benefit everybody who
[14:58.040 --> 15:03.240]  uses any sort of NFC transaction, and you compare that to current currency or whatever
[15:03.240 --> 15:07.200]  it's called, and that you have to give the retailer your bank account, you have to have
[15:07.200 --> 15:09.600]  a QR code, you have to scan the QR code.
[15:09.600 --> 15:13.400]  And it is such a horrible experience, and it's not done to the benefit of the consumer,
[15:13.400 --> 15:17.280]  it's done to try to increase the amount of, to save money on transactions that they
[15:17.280 --> 15:20.520]  pay the credit card companies, never mind how long it's going to, how much money is going
[15:20.520 --> 15:24.520]  to cost them in terms of cashier's fees for the incredibly complicated error prone system
[15:24.520 --> 15:25.480]  that they're establishing.
[15:25.480 --> 15:26.480]  Right.
[15:26.480 --> 15:31.980]  You can't prove yet that Tim Cook's explanation for, you know, why they thought Apple
[15:31.980 --> 15:38.800]  Pay would be successful and why it seems to be successful to date are true and that a user
[15:38.800 --> 15:42.560]  focused approach is the way to get it done.
[15:42.560 --> 15:48.480]  And who knows, maybe something like current C will also become popular.
[15:48.480 --> 15:54.040]  I don't know, I have my doubts about currency in particular, but it could be that something
[15:54.040 --> 15:59.160]  that's a lot more retailer friendly as opposed to consumer friendly could work.
[15:59.160 --> 16:04.600]  But the evidence to date suggests, you know, that what Apple said was exactly right.
[16:04.600 --> 16:10.560]  It's also, what benefits the retailer is interesting because me getting through the check
[16:10.560 --> 16:12.800]  out line really quickly benefits the retailer.
[16:12.800 --> 16:16.600]  And I believe it's my understanding that a lot of, they signed multi-year agreements with
[16:16.600 --> 16:20.720]  currency and with MCX when they started, which was a silly thing to do, but they did
[16:20.720 --> 16:24.440]  it, but I believe a lot of those expire pretty early on this year and it'll be interesting
[16:24.440 --> 16:28.040]  for not this year, but in 2015 and it'll be interesting to see how many of those adopt
[16:28.040 --> 16:33.160]  Apple Pay as soon as they are contractually allowed to.
[16:33.160 --> 16:37.360]  And the other thing that I keep thinking about as a technical limitation is the way that
[16:37.360 --> 16:42.640]  there's one thing that Apple Pay has that no other payment system that would work on the
[16:42.640 --> 16:44.080]  iPhone at least.
[16:44.080 --> 16:47.760]  I mean, obviously like what Google could enable on Android or Microsoft with Windows
[16:47.760 --> 16:52.480]  Phone is different, but at least if you want iPhone using customers, the one thing they
[16:52.480 --> 16:58.680]  have that nobody else can do is the way that it works at the system level rather than
[16:58.680 --> 17:00.080]  the app level.
[17:00.080 --> 17:03.720]  And I just can't emphasize enough for anybody out there who hasn't used Apple Pay yet
[17:03.720 --> 17:09.120]  because you don't have a iPhone 6 or because you don't shop at one of the places that
[17:09.120 --> 17:10.520]  supports it yet.
[17:10.520 --> 17:17.440]  But I just can't emphasize enough how, how, how, instead of like feeling like a one step
[17:17.440 --> 17:22.280]  process, it almost feels like a zero step process because you don't have to unlock your
[17:22.280 --> 17:23.280]  phone.
[17:23.280 --> 17:27.480]  You just take the phone, even if it's not on and just get it within an inch of that
[17:27.480 --> 17:33.520]  terminal, put your rest, your thumb on the, on the reader and it's, that's it.
[17:33.520 --> 17:35.960]  It's, it's not like nobody else can do that.
[17:35.960 --> 17:41.160]  Like you, if a current C app on the iPhone, you would have to unlock your phone, open
[17:41.160 --> 17:48.680]  the app and go from there, which is, you know, it doesn't sound like a lot, but compared
[17:48.680 --> 17:50.840]  to Apple Pay, it is a lot.
[17:50.840 --> 17:51.840]  I get upset.
[17:51.840 --> 17:54.920]  Most places here, I can just tap my card and go and when it doesn't work, you feel like
[17:54.920 --> 17:58.360]  an animal having to, you know, put it in and put it in a pin goater or swipe it in.
[17:58.360 --> 18:02.720]  I haven't had to swipe or sign something in the, you know, over a year, but it reminds me
[18:02.720 --> 18:04.320]  of something else and it's a bit of a tangent.
[18:04.320 --> 18:06.280]  But I think, I think it's the same thing.
[18:06.280 --> 18:11.040]  It's, it's, it all goes back to Apple making like the A8 chipset or the 8X chipset in
[18:11.040 --> 18:12.600]  that you take the cameras for instance.
[18:12.600 --> 18:16.040]  I take out my iPhone, I can just take a picture and on nine out of 10 times, it's going
[18:16.040 --> 18:19.240]  to be a perfect, a really good everyday picture.
[18:19.240 --> 18:22.120]  And that's because Apple makes their own image signal processor.
[18:22.120 --> 18:25.880]  When you look at Microsoft, who buys off the shelf chips, they have to put really big
[18:25.880 --> 18:29.360]  glass on the front and collect as much light as they can because they're using, they're
[18:29.360 --> 18:30.920]  using off the shelf chips.
[18:30.920 --> 18:32.480]  There's no advantage to them there.
[18:32.480 --> 18:35.200]  Apple has no idea what hardware or what software is running on their phones.
[18:35.200 --> 18:38.040]  They try to suck it up to the server and do all the auto awesome stuff.
[18:38.040 --> 18:41.360]  But Apple is just making sure that they have a good camera on it.
[18:41.360 --> 18:45.560]  They'll process it in almost any shot you take will be useful for a normal person.
[18:45.560 --> 18:47.000]  And this, that's the same thing.
[18:47.000 --> 18:50.600]  You can't get that advantage unless you own the entire stack the way that they do.
[18:50.600 --> 18:53.240]  And now they're moving that into payments and then moving that into other areas with
[18:53.240 --> 18:54.240]  the iPhone.
[18:54.240 --> 18:55.240]  Yeah.
[18:55.240 --> 18:57.920]  No, you can't underestimate the, the, the advantage that they are.
[18:57.920 --> 19:03.360]  And I think it totally gets written off by these naysaying analysts.
[19:03.360 --> 19:07.720]  What an advantage Apple has by controlling that level of, of the stack.
[19:07.720 --> 19:10.960]  I used to think they were naysaying and I have, I have a friend who was a sell site analyst
[19:10.960 --> 19:11.960]  and he explained it to me.
[19:11.960 --> 19:15.960]  And it's that the press reports analyst as though they're giving comments to readers.
[19:15.960 --> 19:17.520]  And their comments are not meant for their readers.
[19:17.520 --> 19:19.320]  They're meant to manipulate the markets.
[19:19.320 --> 19:22.920]  And what they say is very little to do with what they believe it, it's entirely, they
[19:22.920 --> 19:26.400]  probably told their own client something different two days ago or three days ago.
[19:26.400 --> 19:28.280]  Now they want to produce results for them.
[19:28.280 --> 19:29.280]  So it's so undependable.
[19:29.280 --> 19:31.040]  I don't know why it gets reported.
[19:31.040 --> 19:32.040]  Right.
[19:32.040 --> 19:36.320]  Like an analyst who comes out with a report that seems to be very pessimistic about Apple
[19:36.320 --> 19:41.720]  pays long term prospects might in fact, honestly, privately in terms of where he's putting
[19:41.720 --> 19:45.760]  money and advising his clients to put money being very bullish on the future of Apple
[19:45.760 --> 19:46.760]  pay.
[19:46.760 --> 19:49.160]  It's like that video with Crane from a couple of years ago where he says, you want to make
[19:49.160 --> 19:50.160]  money.
[19:50.160 --> 19:52.000]  You, you spent a rumor saying the iPhone is going to be delayed.
[19:52.000 --> 19:54.440]  You call up and use networks and you tell them it's going to be delayed.
[19:54.440 --> 19:57.440]  And all of a sudden Apple's down and you've shorted all the shares and I think that happens
[19:57.440 --> 19:58.440]  a lot.
[19:58.440 --> 19:59.440]  Yeah.
[19:59.440 --> 20:00.440]  What was that guy's name?
[20:00.440 --> 20:01.440]  Jim Kramer.
[20:01.440 --> 20:02.440]  Yeah.
[20:02.440 --> 20:03.440]  Jim Kramer.
[20:03.440 --> 20:04.440]  That's it.
[20:04.440 --> 20:05.440]  It's baffling.
[20:05.440 --> 20:07.600]  And again, this stuff keeps getting reported as though it's factual accounting on what Apple's
[20:07.600 --> 20:11.400]  doing.
[20:11.400 --> 20:14.440]  What else in the first half of the year?
[20:14.440 --> 20:18.640]  I think there was, I think Angela Aaron's was in early on in the year.
[20:18.640 --> 20:19.640]  Yeah.
[20:19.640 --> 20:20.640]  I do think so.
[20:20.640 --> 20:21.640]  When was she?
[20:21.640 --> 20:22.640]  She was there.
[20:22.640 --> 20:24.640]  February, March.
[20:24.640 --> 20:25.640]  Yeah.
[20:25.640 --> 20:28.080]  Complete turnaround from John Browitt in the previous year.
[20:28.080 --> 20:29.080]  Yeah.
[20:29.080 --> 20:32.760]  And I think that's super interesting because Apple is really doing well in Apple stores.
[20:32.760 --> 20:35.560]  But some people, some people will say that it's a stale experience that they haven't
[20:35.560 --> 20:36.560]  evolved it.
[20:36.560 --> 20:40.600]  Even though it's working, it's hugely successful, but they gave her not only Apple retail
[20:40.600 --> 20:44.600]  but Apple online as well, which used to operate almost as separate businesses.
[20:44.600 --> 20:49.680]  And it's similar to giving Federiki control over both OS 10 and iOS and that those, those
[20:49.680 --> 20:53.920]  sort of artificial walls are falling down and it's providing better service for everybody
[20:53.920 --> 20:54.920]  involved.
[20:54.920 --> 21:03.760]  So Angela, her hiring was announced a year ago in October 2013, but she did not start until,
[21:03.760 --> 21:07.400]  I believe February or March of 2014.
[21:07.400 --> 21:12.320]  I've said this before, and it seems obvious, but it's so clear to me that the reason
[21:12.320 --> 21:17.280]  why they hired her and why she would take the job is because of the watch.
[21:17.280 --> 21:18.280]  Yes.
[21:18.280 --> 21:21.760]  Well, she was CEO of Burberry and that's a huge job and people didn't understand why
[21:21.760 --> 21:25.320]  she would become a senior vice president at Apple, even though the senior vice president
[21:25.320 --> 21:28.800]  of retail and, and then now online as well as a huge job.
[21:28.800 --> 21:32.360]  It's, it's like being a CEO of another company, but it's still, I think you're exactly
[21:32.360 --> 21:33.360]  right.
[21:33.360 --> 21:36.440]  Apple, Apple dangled something in front of her that was a challenge and people like that
[21:36.440 --> 21:37.640]  want a challenge.
[21:37.640 --> 21:38.960]  Yeah, totally.
[21:38.960 --> 21:44.240]  Um, and it does seem, it seems, you know, it's not like we haven't really seen the
[21:44.240 --> 21:49.720]  arts effect on anything in retail yet, but I don't think there's anybody who doesn't
