[00:00.000 --> 00:02.000]  You sound wonderful. Do you have a new microphone?
[04:16.920 --> 04:20.040]  This is great for podcasters that they they cut to me in the audience
[04:20.040 --> 04:23.760]  Oh, yeah, they cut to the whole section of just right everybody being like what?
[04:24.880 --> 04:30.840]  Right. Yeah, I don't know if that app that app if the accessory really makes it easier for podcasters
[04:30.840 --> 04:36.680]  If you have it makes it easier to run your powered microphones sure, but it doesn't actually fix the core
[04:37.200 --> 04:38.640]  podcasting problem on iOS
[04:38.640 --> 04:43.680]  Which is what you were just talking about the fact that like there is really no support for core audio
[04:43.880 --> 04:48.920]  And for background app like multi multi threading audio throughout apps
[04:49.040 --> 04:54.840]  So like if you're going to record if you're gonna do a podcast on an iPad if you're doing it locally
[04:54.840 --> 04:55.800]  It's not a huge deal
[04:55.800 --> 05:01.720]  but especially with that powered adapter because then you can basically just plug your mixer into the powered adapter if it's a USB mixer and
[05:01.720 --> 05:03.800]  Then you've got you've got mics
[05:04.600 --> 05:09.560]  But if you're trying to do a remote show like if we were trying to do this show right now on the iPad
[05:09.560 --> 05:17.000]  Right what I would have to do is I'd have to have my iPad open with either with Skype or with
[05:17.520 --> 05:22.000]  Voice memos or whatever recording thing and then my iPhone
[05:22.000 --> 05:28.880]  Whatever device I wasn't using to run Skype. I'd have to plug my Apogee mic into and
[05:29.680 --> 05:33.600]  Run voice memos from there, so it's basically like you have to use two devices
[05:33.600 --> 05:40.240]  And of course your natural Skype call is gonna sound like shit because you're not actually
[05:40.720 --> 05:44.440]  Recording through the good or you're not actually talking through the good mic right like on a Mac
[05:44.440 --> 05:49.180]  You need two apps so like for example we use I use almost all the 90% of the time
[05:49.180 --> 05:55.200]  I use Skype for the connection, and then and then I use an app called call recorder, which sort of runs as a
[05:56.120 --> 05:58.600]  Extension within Skype, but you could use just about anything
[05:58.600 --> 06:02.640]  There's on any app that can record audio you could I mean lots of people just use QuickTime
[06:02.760 --> 06:08.620]  You can just open the QuickTime player app and say new audio recording pick the same microphone as the input
[06:08.840 --> 06:14.880]  And so like what you hear you know like I don't it's a little inside baseball, but for anybody out there like to me
[06:14.880 --> 06:21.620]  You sound as good to me right now as I'm talking to you as you would if I were just listening to the show after
[06:21.620 --> 06:26.460]  It's being done editing because I hear you through the same microphone that you're recording
[06:26.980 --> 06:33.860]  Whereas so it's two apps one to record one to do the connection and but if you do iOS you have to use two devices
[06:34.140 --> 06:35.420]  Yeah
[06:35.420 --> 06:37.600]  Which is just ridiculous to my guns
[06:37.600 --> 06:38.300]  I mean
[06:38.300 --> 06:40.300]  It's doable like I did it last
[06:40.300 --> 06:45.600]  Last fall when I was on vacation when the iPad Pro first came out. I did a podcast
[06:46.300 --> 06:48.420]  With with Mike Hurley and Jason Snell
[06:48.420 --> 06:54.420]  I was a guest on upgrade and so I did it that way because I literally I only had my iPad my iPhone and an
[06:54.420 --> 06:58.000]  iPad mic so there was no other way like I couldn't just be like I
[06:58.220 --> 07:01.500]  I'm gonna try and use a computer because there was no computer available to me
[07:01.500 --> 07:05.700]  so it's doable if you're in that pinch, but it's definitely not what I would call a
[07:05.700 --> 07:10.620]  A first-rate solution. It's the podcasting is not what you go to iOS for
[07:14.780 --> 07:16.780]  So
[07:17.420 --> 07:24.360]  What is your Apple does your Apple TV remote lost or not lost it is not lost at the moment, thank goodness
[07:25.220 --> 07:29.820]  It is it is sitting on my desk right now next in its studio neat stand
[07:31.140 --> 07:35.300]  You I think was it just today that this came out. Yes. Oh, yeah. Yeah
[07:35.300 --> 07:40.780]  So I saw the headline is this is serenity's article at I'm more it says wish list someday
[07:40.780 --> 07:42.780]  I would like to stop losing my Siri remote
[07:44.460 --> 07:47.640]  Yes, I this came about because I saw
[07:48.740 --> 07:51.620]  Suzy Oaks tweet a macworld story
[07:52.100 --> 07:55.320]  Of I I can't remember who wrote it. I think it was Jared Devine
[07:55.940 --> 08:02.540]  who wrote a story basically being like I've stuck a tile to the back of my Siri remote and now I can find it and
[08:02.540 --> 08:06.380]  Simultaneously, I'm like, that's really smart and oh god
[08:06.380 --> 08:12.980]  Is this what we've really come to like is is the only way that I'm going to be able to find my Siri remote
[08:13.300 --> 08:19.700]  To be able to stick a device that's pretty much half the size of the Siri remote to the back of the Siri remote
[08:19.900 --> 08:24.300]  And do it every year because the tiles only last 12 months
[08:24.940 --> 08:26.940]  yeah, the tiles being the
[08:26.940 --> 08:33.500]  Oh, yeah, it was a Kickstarter project. Yeah. Yeah, there are little Bluetooth trackers that connect to your iPhone
[08:33.820 --> 08:37.900]  So that and then because they're their Bluetooth set and then they have a tiny speaker embedded
[08:37.900 --> 08:44.500]  so it works similarly to the find iPhone button on the on the Apple watch where you just you press the button and then
[08:44.700 --> 08:50.140]  Your your wallet or your keys or whatever ring and I have tiles for my wallet my keys and they're very useful
[08:50.420 --> 08:54.060]  But I don't I wouldn't put it on the the remote is so thin
[08:54.060 --> 09:00.340]  It just looks it looks like I've just stuck a battery pack on my remote for what for for the purposes of the teensiest
[09:00.340 --> 09:06.420]  Little speaker in the world. I love it's one of my favorite Apple watch features is the ability to ping your iPhone
[09:06.420 --> 09:09.980]  I don't lose my iPhone very often or I don't misplace it or forget where it goes
[09:09.980 --> 09:13.420]  but then when you do it'll drive you crazy and be oh my gosh and
[09:13.820 --> 09:16.420]  Being able to ping it from the watch is so much better
[09:16.420 --> 09:21.800]  It's so much more convenient than logging in to find my iPhone to play the sound. It's so much more convenient
[09:21.800 --> 09:25.760]  Yeah, it's a great feature and it just sort of makes sense in the look
[09:26.360 --> 09:28.440]  It's all in the same house or same
[09:28.440 --> 09:33.200]  You know if you assume it's all in the same house and everything's already hooked up to the same network or whatever
[09:33.520 --> 09:39.240]  One of these things should be able to find the other and they can both make noise and they both are you know?
[09:39.600 --> 09:43.140]  Loosely connected at all times. So it makes sense that you'd be able to do that
[09:43.140 --> 09:45.880]  So I feel like there's got to be a solution like this for the remote
[09:45.880 --> 09:48.760]  You should be able to like say like hey Apple TV
[09:48.760 --> 09:51.960]  Where's the goddamn remote and then it will beep the remote?
[09:52.720 --> 09:55.760]  Seriously, I mean I so I kind of I said this in my article
[09:55.760 --> 09:59.880]  but I kind of understand why it wasn't a feature at launch because they I mean they were
[10:00.000 --> 10:04.120]  Rushing to get this thing out the door and the the remote app for the iPhone wasn't even ready
[10:04.200 --> 10:07.360]  So there was you know, if the remote app for the iPhone wasn't gonna be ready
[10:07.360 --> 10:12.760]  there was physically no button for them to be able to press to be like find iPhone and because the
[10:13.400 --> 10:15.400]  because the Siri speaker or the Siri
[10:15.400 --> 10:19.560]  Microphone is built into the remote not into the Apple TV
[10:19.560 --> 10:24.240]  You can't just like shout to the heavens like you might to an Amazon echo being like, where's my remote?
[10:25.040 --> 10:29.800]  Although that would be a cool feature Apple just saying but what I'm kind of hoping for is
[10:30.080 --> 10:34.000]  like the Siri remote just connects to the Apple TV via Bluetooth and
[10:34.880 --> 10:42.360]  Theoretically Apple could design a next-generation remote without having to make us buy an entirely new Apple TV
[10:42.360 --> 10:47.360]  Like they could just sign it and say this works with this Apple TV and then just insert a tiny little speaker
[10:47.360 --> 10:51.240]  It already works via Bluetooth. So it already has the connection inherent
[10:51.240 --> 10:57.120]  You know to to send a ping to the remote to say yo make a sound wherever you are
[10:57.120 --> 11:00.000]  I just don't I don't think there's a speaker in the remote right now. There's only a
[11:01.760 --> 11:06.720]  It's never used for anything if there is it's so hidden that I fix it couldn't even find it
[11:06.720 --> 11:13.000]  But I and again, I always file this under look. I know it's a lot easier for us on the outside to tell Apple
[11:13.000 --> 11:15.000]  Just put another $2
[11:15.640 --> 11:20.600]  Component into this device and that device and it's very easy to say, you know to quickly
[11:21.160 --> 11:23.000]  dissipate Apple's profit margins
[11:23.000 --> 11:29.720]  But I really do think that for the price that Apple charges for Apple for the Apple TV and for the like
[11:29.720 --> 11:34.520]  What what did the extra aren't the extra remotes like 60 bucks? Yeah, there are the extra remote. I think is $79
[11:34.520 --> 11:39.360]  Yeah, so look if it's a $79 remote you can put I'm sorry Tim Cook
[11:39.360 --> 11:43.320]  You can put it you can put a speaker in there. That doesn't have to be high fidelity
[11:43.320 --> 11:48.140]  Just has to be it just needs to be loud enough to be heard through sofa cushions
[11:48.140 --> 11:52.560]  Oh, yeah, all I need is a nice high-pitched like submarine like beep
[11:53.120 --> 11:57.500]  Like it doesn't even have to be pleasant to the ears. I just need to be able to find it
[11:57.500 --> 12:04.000]  Right and yeah, and they could sell that's the thing is like Apple tomorrow could come out with Apple TV remote
[12:04.000 --> 12:08.000]  Now a speaker and theoretically you could just buy it and pair it to your Apple TV
[12:08.000 --> 12:09.520]  Like that's what I want them to do
[12:09.520 --> 12:10.960]  I'm like, yes
[12:10.960 --> 12:16.480]  don't don't worry about releasing it with your next generation Apple TV take take time to like upgrade that hardware, but
[12:17.440 --> 12:21.600]  Just to put a speaker and somehow an asymmetric button arrangement so that you
[12:22.160 --> 12:24.160]  So you can figure out which way is up
[12:24.400 --> 12:31.200]  You know, I do you do you have the remote strap because that's what I eventually I don't like the strap because it's always flapping around
[12:31.200 --> 12:34.240]  What I did is I took a piece of gaffers tape and wrapped it around
[12:34.920 --> 12:37.160]  The bottom. Oh, so you have the texture
[12:37.360 --> 12:37.840]  Yeah
[12:37.840 --> 12:41.760]  And it goes on the side the texture because it's a piece of tape that wraps around
[12:42.000 --> 12:46.160]  All the way around and so I can feel it from the sides and it's a lot easier
[12:46.320 --> 12:53.040]  Yeah, and it doesn't completely degrade the look of it because black gaffers tape blends in. Yeah, I like that. That's smart
[12:54.480 --> 12:57.340]  Yeah, but I still feel like it's ridiculous that I've
[12:57.340 --> 13:02.140]  I've got to jury-rig a design solution to an $80 remote control
[13:02.340 --> 13:07.740]  Well, yeah, exactly. The worst part is I'm picking I just picked up my remote and my remotes upside down right now
[13:07.740 --> 13:09.740]  This is the remote that doesn't have the strap on it
[13:09.820 --> 13:10.980]  and
[13:10.980 --> 13:16.340]  With the like all of the icons are so minimalist that even holding it upside down
[13:16.620 --> 13:19.300]  The only way that you know that you're holding it upside down
[13:19.300 --> 13:25.860]  Is that menu the only the only word on the on the thing is upside down and even when you're first looking at it
[13:25.860 --> 13:30.540]  The you and menu kind of looks like an N and then the N is still right side up
[13:30.540 --> 13:36.100]  So you read like two letters in before you're like before your brain registers. Oh, this is an word
[13:36.100 --> 13:39.860]  Maybe I should flip this around. I don't know. It's it's painful
[13:39.860 --> 13:44.160]  I find that the the longer we go with this remote the more I the more worrisome
[13:44.160 --> 13:51.500]  I consider it as an exhibit in the case against the slight decline of overall design quality coming out of Apple these days
[13:51.660 --> 13:53.980]  You know, that's a long title for the lawsuit
[13:53.980 --> 14:01.700]  but I do feel that it's a pretty good example because it's great technology and I love basic idea and I really love
[14:02.660 --> 14:03.900]  It's time goes on
[14:03.900 --> 14:09.660]  I really really like the the interface that as you use the trackpad and that the way that the
[14:09.780 --> 14:12.700]  Forget the name of it and stunt UI kit, but whatever they call it
[14:12.860 --> 14:15.280]  Yeah on the on the Apple TV, right?
[14:15.280 --> 14:22.140]  But the way that things pop up as there's to indicate what's selected I find it so intuitive really like it
[14:22.140 --> 14:26.060]  I'd like it so much as time goes on the the talk to it thing
[14:26.060 --> 14:28.420]  I know other devices, you know have this now too, but
[14:29.060 --> 14:34.420]  Like my Jonas is going through a friend's bender. He's obsessed
[14:34.420 --> 14:40.460]  He's 12 years old obsessed with the show friends on Netflix and it's so awesome because he's got it timed now
[14:40.460 --> 14:44.700]  He knows exactly when the theme song kicks in exactly how many seconds to jump ahead
[14:46.740 --> 14:48.820]  Skip ahead 30 it's 35 seconds
[14:48.820 --> 14:54.180]  He's got like a and there's like a certain point in the song like to make a line or two in where he does it
[14:54.180 --> 14:59.820]  And it and it finishes exactly with like the the final strum of the theme song
[15:00.580 --> 15:04.120]  And he's always like he likes to nail it so that he doesn't miss a single thing
[15:04.940 --> 15:10.460]  It's a great feature 35 seconds. So in other words a 30 second skip wouldn't be quite right
[15:10.460 --> 15:13.860]  You'd get five extra seconds of the song that you wouldn't want
[15:13.860 --> 15:20.460]  But I still think that the there's so many little details of it that the
[15:20.860 --> 15:27.300]  Getting those details right or though is the whole reason Apple is Apple and yeah that they didn't with this is to me a little
[15:27.700 --> 15:32.220]  Alarming, it's such a small thing to complain about the the Siri remote that comes with Apple TV
[15:32.620 --> 15:37.860]  But it's exactly the sort of little thing that to me that that there should be famous for getting right?
[15:37.860 --> 15:42.100]  Yeah, well, it's the small stuff and I mean there's been plenty of talk about how
[15:42.100 --> 15:48.860]  Despite the fact that this you know box has been in development for four years how rushed this version was out the door
[15:48.860 --> 15:54.740]  And I can't help but feel that the remote was a partial casualty of that because I see
[15:55.380 --> 16:00.860]  like I see where they wanted it to go and I see how it's a natural evolution of the
[16:01.020 --> 16:04.540]  Apple TV remote from the third generation Apple TV
[16:04.900 --> 16:09.260]  but also looking at like looking at the Apple TV and looking what it
[16:09.260 --> 16:13.780]  Was how we work with it and how it's also puts us also supposed to be a game controller
[16:14.620 --> 16:18.020]  I'm just like Apple you didn't need to make it be a stick
[16:18.180 --> 16:21.660]  Like it doesn't have to look like the third generation Apple TV
[16:21.660 --> 16:22.980]  It would have been okay
[16:22.980 --> 16:27.900]  If it was leave like a little bit fatter or a little bit wider or even a different shape
[16:28.300 --> 16:32.820]  Because it's just you know what? I don't need a remote that looks like a nano
[16:32.820 --> 16:39.620]  I need a remote that works and it's functional practically speaking there. There's a cut, you know, a definite conflict between the
[16:40.660 --> 16:42.660]  perceived aesthetic
[16:42.660 --> 16:45.420]  advantage of being symmetric and the
[16:46.460 --> 16:50.100]  Completely undeniable usability advantage of being asymmetric
[16:50.780 --> 16:56.100]  whether that's it like making it a wedge shape sort of, you know in profile like a MacBook Air or
[16:56.740 --> 17:00.700]  Making it a wedge shape like a Star Destroyer where it's more of a triangle
[17:00.700 --> 17:03.540]  I mean, there's all sorts of ways that you could make it asymmetric, right?
[17:04.660 --> 17:09.740]  Or a round type thing. I know a lot of people are big fans of TiVo remotes
[17:09.740 --> 17:13.780]  I actually find TiVo remotes to be very pleasant to hold the peanut shape
[17:13.780 --> 17:20.840]  But the fact that the peanut is symmetric actually has the same problem in my opinion that I feel like a TiVo remote would be
[17:20.840 --> 17:22.580]  better if it was only
[17:22.580 --> 17:24.980]  You know like slightly asymmetric
[17:24.980 --> 17:28.660]  Yeah, you know like a weird, you know, like when you're eating peanuts and you get like a weird one
[17:28.660 --> 17:33.740]  We're like that, you know, there's like the bottom is a little bit oversized. Yeah. Yeah
[17:34.100 --> 17:37.520]  I'm holding the Apple TV or the Siri remote in my hand right now
[17:37.520 --> 17:38.260]  and
[17:38.260 --> 17:41.100]  I'm thinking back to the like the Jeff Daniels
[17:41.140 --> 17:47.580]  Commercial about the 4-inch iPhone and like moving your your thumb from one end of the corner to the other and there's just not enough
[17:47.740 --> 17:52.060]  Like I have relatively small hands and even with relatively small hands and long fingers
[17:52.060 --> 17:59.700]  there's not enough bottom of the Siri remote to grip in order to be able to comfortably place your thumb so that you hit the
[17:59.980 --> 18:04.980]  Like minus end of the volume button and the play pause and also access comfortably the trackpad
[18:05.080 --> 18:06.460]  You're kind of like
[18:06.460 --> 18:12.380]  You're gripping it with like a finger and a half in order to be able to reach down that far and then also reach up
[18:12.380 --> 18:14.380]  like the actual the the
[18:14.820 --> 18:18.900]  Usable area between the buttons and the top of the trackpad is totally thumb reachable
[18:18.900 --> 18:25.340]  but but you can't you just can't hold it comfortably and if you're going to hold it comfortably which is like moving it up in
[18:25.340 --> 18:27.340]  Your hand so that all four fingers are
[18:27.380 --> 18:32.420]  Creaching it and like the bottom left corner of the Apple T or the Siri remote is like comfortably in your hand
[18:32.900 --> 18:38.020]  Then you really have to like go into your hand with your thumb to actually reach the bottom buttons
[18:38.260 --> 18:44.820]  So for my just from a comfortability standpoint and a this is how I am holding a remote. It's just it's awkward
[18:44.820 --> 18:46.380]  It's awkward on your thumb
[18:46.380 --> 18:49.180]  I would be remiss if I do not mention I know and
[18:49.540 --> 18:52.820]  It'll keep some email from coming because I've gotten tons of it from from readers
[18:53.180 --> 18:58.100]  Pointing out asking if I noticed and yes, I did that in the new version of the Apple TV OS
[18:58.100 --> 19:00.620]  I think it's version 2.2. Yeah
[19:01.300 --> 19:05.340]  That they've changed the behavior of the remote trackpad. So that's
[19:06.260 --> 19:07.860]  Thank God, right
[19:07.860 --> 19:13.700]  you know and the change is that the trackpad in terms of being receptive to like
[19:13.700 --> 19:17.460]  fast forwarding or skipping ahead only is
[19:17.980 --> 19:21.220]  Sensitive to that once you've clicked it to pause. Yes
[19:21.220 --> 19:27.700]  so if you're playing video and you pick up the remote and you'd pick it up upside down or the way you pick it up your
[19:28.220 --> 19:35.700]  Finger touches the trackpad. Nothing happens until you click whereas until version 2.2. It was immediately live
[19:36.340 --> 19:41.660]  Which I can see and to me it's just like it just reeks of being designed in
[19:41.660 --> 19:43.060]  an
[19:43.060 --> 19:48.020]  office with the lights on and you're looking at it and you can see it as opposed to being
[19:48.740 --> 19:53.100]  Actually, like play tested in a real living room at night with you know
[19:53.620 --> 19:56.780]  Well, you can't see the remote or you're not paying we have it
[19:56.780 --> 19:56.940]  Yeah
[19:56.940 --> 20:01.940]  You have the lights off or you have your hue lights on to movie mode or whatever and you can't see the remote but moreover
[20:02.340 --> 20:07.420]  the biggest problem to me when I first got the Apple TV remote is I'm I'm the type of person where like we have a
[20:07.420 --> 20:12.220]  That's like a deep couch. So I will usually curl up on the couch to watch something
[20:12.220 --> 20:16.340]  And then the remote will either go on the arm or it will go on the cushion next to me
[20:16.340 --> 20:19.220]  Which also that's probably why I'm losing all of these remotes
[20:19.860 --> 20:21.060]  but
[20:21.060 --> 20:26.140]  What in 9-1 the original, you know version of the Apple TV software?
[20:26.140 --> 20:33.140]  I would move and even touching the the trackpad area with like my leg or my clothing would instantly
[20:33.140 --> 20:41.100]  Start the scrub, right? And there there is a but I think it's the play pause button will like will take you out of the scrub
[20:41.100 --> 20:44.580]  Motion, but for the life of me, I could never remember which button that was
[20:45.100 --> 20:49.900]  When I before I kind of learned the interface and it's just like you're in the scrub and now you're in panic
[20:49.900 --> 20:51.480]  Right because you're like, oh god
[20:51.480 --> 20:57.260]  I've accidentally scrubbed 45 minutes ahead and I don't remember where I am and I can't touch the trackpad
[20:57.260 --> 21:04.040]  Right. And if you're watching with anybody else you immediately get the hey, yeah, what did you do? I'm sorry
[21:04.980 --> 21:06.980]  Yeah, so that that
[21:07.020 --> 21:12.780]  Improvement to 9-2 like there are a lot of really really good improvements in then in the 9.2 software update to Apple TV
[21:12.780 --> 21:14.820]  but that was probably that was the one where I
[21:15.160 --> 21:20.900]  you know got up out of my chair and like raised my hands and like thanks and gratitude because it's
[21:21.020 --> 21:26.020]  Like I would trigger it pretty much every time I watch television and now yes, it's a little bit
[21:26.020 --> 21:30.980]  You know, it's more involved and I under like I get the thinking behind it, right?
[21:30.980 --> 21:34.360]  I the development process where they say oh, yeah
[21:34.360 --> 21:34.820]  well
[21:34.820 --> 21:35.020]  no
[21:35.020 --> 21:41.220]  we we want you to just be able to swipe across it because otherwise the feature isn't discoverable or it's not easy enough and
[21:41.260 --> 21:47.220]  Too many clicks and I get the institutional thinking behind that but in usability, you know
[21:47.220 --> 21:51.700]  I don't mind making the the extra click to scrub and in fact, it's much better
[21:51.700 --> 21:55.420]  It's why you have to try stuff and you can't just think it sounds like a great idea
[21:55.420 --> 21:59.300]  It was totally worth trying it should not have shipped. No
[21:59.820 --> 22:05.100]  Usability, but it but it totally sounds like a good idea. Yeah, don't make me wait. Don't make me wait for a click
[22:05.100 --> 22:11.940]  Just start scrubbing. Oh exactly make it easy, except for the fact that your trackpads don't recognize the difference between a leg and a finger
[22:13.020 --> 22:16.940]  Or picking it up upside down. All right, let me take a break here and thank our first sponsor
[22:16.940 --> 22:20.660]  It is our good friends at igloo. We all struggle with productivity
[22:20.660 --> 22:27.980]  We're all constantly under pressure to accomplish more do it faster and all teams small groups companies have
[22:28.300 --> 22:31.980]  Evolved their own ways to communicate to share data
[22:33.100 --> 22:39.640]  Every everybody's system is different than everybody else's let's face it. Well igloo can help you keep doing things your way
[22:40.300 --> 22:47.100]  Only better. It's the intranet that you will actually like collaboration shouldn't be painful
[22:47.100 --> 22:49.660]  It shouldn't force a whole system on your team
[22:49.660 --> 22:52.020]  And that's the way igloo is designed
[22:52.880 --> 22:55.420]  Go to igloo software comm slash
[22:56.020 --> 22:59.340]  TTS TTS being the initials of the talk show
[22:59.780 --> 23:05.440]  And you'll get a free trial right there at igloo software and you can just start using it right now
[23:05.860 --> 23:08.420]  You get a 30-day free trial for as many people as you want
[23:08.420 --> 23:11.800]  If you have a team of 10 people or fewer, you can just use it for free indefinitely
[23:12.440 --> 23:14.500]  Which is fantastic for a small enough team
[23:14.500 --> 23:19.780]  and here's the thing you can just use the parts of igloo that you need to fill in the gaps in your
[23:19.860 --> 23:22.220]  Collaboration right now and they have got so much stuff
[23:22.220 --> 23:27.860]  They've got stuff like what they call a microblog which think of it as like your own private Twitter just for your group
[23:28.540 --> 23:30.300]  fantastic little feature
[23:30.300 --> 23:32.300]  Great way to share links and stuff like that
[23:32.300 --> 23:37.060]  That might be about like competitors or something like that the type of stuff that you wouldn't want to share on public Twitter
[23:37.100 --> 23:41.500]  But you'd want to have you know be able to tweet to each other in the same way great little feature
[23:41.500 --> 23:43.840]  calendars file sharing
[23:45.080 --> 23:46.240]  things like
[23:46.240 --> 23:49.800]  Read notifications for documents that you've shared with other people on your team
[23:49.800 --> 23:53.060]  If you need that you can use it if you don't need it. You don't have to worry about it
[23:53.060 --> 23:58.240]  Don't turn it on so configurable so many options to choose from really really easy to get started
[23:58.560 --> 24:01.880]  Using it and to set it up and it's even easier to actually use
[24:02.380 --> 24:06.080]  So sign up now at igloo software comm slash TTS
[24:06.080 --> 24:08.080]  Ah
[24:09.200 --> 24:11.440]  So I mean maybe we should get right to the
[24:13.520 --> 24:16.840]  The iPad Pro this is really what I want to talk about is the new
[24:17.200 --> 24:21.560]  9.7 inch iPad Pro, which I've been using since the event and I still haven't written about
[24:23.120 --> 24:27.640]  Because I'm finding it really hard to not hard but it I
[24:27.640 --> 24:34.860]  I I detect on Twitter that this is in some ways to me looking at it objectively the
[24:35.160 --> 24:38.520]  9.7 inch iPad Pro is maybe the most
[24:42.160 --> 24:48.320]  Purist modern like it symbolizes everything that Apple is doing today overall to me. It's like right in the middle
[24:48.520 --> 24:55.040]  It's not small like an iPhone. It's not big like a Mac. It's running their most popular OS iOS 9
[24:55.040 --> 24:57.040]  It's
[24:57.440 --> 25:03.640]  A form factor that has evolved the least of anything from where it started right like the
[25:03.880 --> 25:06.560]  9.7 inch display is exactly what the original iPad had
[25:07.840 --> 25:13.240]  All they've done is make it thinner flatter and lighter over the years and then starting with the iPad airs
[25:13.240 --> 25:15.240]  They got rid of the bezels on the side
[25:16.800 --> 25:22.280]  Very very to me. It's very very similar in so many ways to the original iPad just better much
