[00:00.000 --> 00:02.000]  I've got too many iPads
[02:35.880 --> 02:37.960]  admirably seemingly not
[02:37.960 --> 02:45.480]  Slipped at all even in 2020. It was only arguably weeks late weeks behind
[02:45.600 --> 02:52.440]  Which is just a phenomenal achievement for the company and it makes sense that if you're going to put things in a certain order
[02:52.440 --> 02:54.080]  That would be the order you put them
[02:54.080 --> 03:00.280]  But I think that sort of why did the camera move on this iPad in a way that everybody wanted but didn't move on this
[03:00.280 --> 03:03.920]  Other one that people actually use in a laptop configuration more
[03:03.920 --> 03:10.200]  I have a little bit of a theory which is the theory of Apple's product cycles where they use the same enclosure for a few
[03:10.200 --> 03:13.800]  Years, right because you're not going to introduce people always forget this when this happens
[03:13.800 --> 03:19.800]  But like Apple doesn't introduce a brand new industrial design for every device they introduce, right?
[03:19.800 --> 03:25.920]  they cycle it two or three or four times and I do think that part of having that strategy is
[03:26.040 --> 03:30.200]  that if you've got a product that you're targeting for let's say 2022 and
[03:30.200 --> 03:35.960]  Then at some point in the year leading up to that you realize it's not gonna make it
[03:36.400 --> 03:43.880]  You have a fallback which is we're going to rev the existing product another year and push that off a year, right?
[03:43.880 --> 03:48.360]  So who's to say I mean maybe Mark Gurman knows or Ming Chi Kuo knows or something
[03:48.360 --> 03:53.120]  Somebody else might know but like who's to say that the 2023 iPhone
[03:54.280 --> 03:56.880]  Wasn't and I don't know this either. I'm just saying as an example
[03:56.880 --> 04:04.040]  Wasn't originally targeted for 22 and then in the midst of everything in 2020 and 21
[04:04.360 --> 04:07.440]  At some point they said we can't make that at that point
[04:07.440 --> 04:12.040]  We got a third year of the previous design and they pushed it off
[04:12.200 --> 04:18.080]  It gives you the trapdoor and I look at the iPad Pro now and I think that's basically what they did is they've got
[04:18.360 --> 04:22.280]  Clearly they know what the next iPad Pro is going to be but for whatever reason
[04:22.280 --> 04:28.920]  They looked at this time frame and they're like we can't do it. And so instead we get the fourth go-round
[04:29.360 --> 04:31.640]  essentially of the same industrial design and
[04:32.160 --> 04:38.880]  I think the display analyst Ross Young was saying that you can look for some OLED iPad pros in early
[04:39.320 --> 04:46.360]  24 so it's another 18 month wait for that. Yeah, I again I'm in complete agreement and I do think it's fascinating
[04:46.520 --> 04:48.520]  I think Apple's
[04:49.120 --> 04:50.480]  Hardware
[04:50.480 --> 04:57.200]  Planning and engineering schedule is one of the great untold stories of the company
[04:57.560 --> 04:59.600]  I've always thought this I mean and
[05:00.240 --> 05:05.900]  Apple loves to brag that there and rightfully so very rightfully so I think it is the key
[05:05.900 --> 05:10.700]  It's why you and I have devoted our careers to covering the company. What's it to me?
[05:10.700 --> 05:14.480]  It's what makes them the most interesting is that they're the one company that is
[05:15.520 --> 05:20.320]  Like an optical illusion they do the hardware and the software and you can look at them and say they're a hardware company
[05:20.320 --> 05:26.040]  That does software or they're a software company that follows the Alan Kay axiom
[05:26.040 --> 05:31.980]  That if you really care about software you do your own hardware and at their best. It's truly 50-50 and it
[05:32.600 --> 05:38.840]  Fears but as much as they are both very much both and you can look at them through either prism
[05:39.680 --> 05:40.600]  the
[05:40.600 --> 05:47.800]  The nature of hardware and software is such it that it's profoundly different so that you can do things like cut features
[05:47.800 --> 05:50.800]  from an operating system that were promised and
[05:51.440 --> 05:55.800]  Just deliver them in point one point two point three point four all the way
[05:55.800 --> 05:58.680]  I mean, what are we up to iOS fifteen fifteen point six?
[05:58.680 --> 06:04.740]  I think they got to fourteen point eight last year almost monthly closer to monthly and at least by monthly
[06:04.880 --> 06:11.320]  Dot releases that tend to add these new features and they can adjust that plan on the fly
[06:11.320 --> 06:17.680]  I don't think it was their plan all along for iPad OS not to ship until the end of October
[06:17.680 --> 06:24.720]  I think I ideally it would have like previous years shipped at the same time iOS did for iPhones
[06:24.880 --> 06:28.720]  But they can do things like that hardware. You don't get to do stuff like that
[06:29.640 --> 06:32.200]  You know, you can make you can bail out on something
[06:32.200 --> 06:36.000]  But nobody knows and it happened a year before or it's the whole thing, right?
[06:36.000 --> 06:41.320]  You don't just get to say oh we were kind of gonna do a 48 megapixel
[06:42.000 --> 06:45.560]  Sensor for the main camera, but it's not quite ready
[06:45.560 --> 06:49.560]  So we'll just put another sensor in there and it's like no you don't get to do that at the last minute
[06:49.560 --> 06:53.620]  so I would suspect that if the if there is some truth to that and maybe
[06:55.360 --> 07:02.980]  At the end of 2019 or January and February right before March of 2020 if the idea was for
[07:03.320 --> 07:04.480]  the
[07:04.480 --> 07:10.760]  2022 iPhones to be called the 14 and 14 Pro to be different than what we actually saw
[07:10.760 --> 07:15.800]  That decision to postpone came very early in kovat, right?
[07:15.800 --> 07:20.160]  like yeah, the shutdown happens and that time and I think
[07:21.000 --> 07:23.000]  Tim Cook is seems
[07:23.160 --> 07:27.560]  Wise in such ways right where when the shutdown first happened?
[07:27.560 --> 07:31.680]  I mean remember it was like I have we better you know, we're shut everything down for a couple of weeks
[07:33.720 --> 07:34.840]  And
[07:34.840 --> 07:38.400]  I've I of course thought that I think most people did like yeah
[07:38.400 --> 07:45.280]  This is radical and like a four week five week shutdown of life as we know it to let this pass
[07:45.640 --> 07:49.400]  Seemed radical right that would have that was the most crazy thing
[07:49.760 --> 07:51.920]  disease wise pandemic wise that
[07:52.620 --> 07:56.400]  anybody who's alive has ever experienced right you'd have to go back to the
[07:57.040 --> 08:01.440]  Spanish flu from literally a hundred bizarrely almost exactly a hundred years ago
[08:01.440 --> 08:04.600]  And I remember I think I've told this story on the show
[08:04.600 --> 08:09.840]  but when they first sent the kids home from school the very first day, I think it was a Friday or
[08:10.440 --> 08:14.360]  maybe the Friday was the last day and they're like no more school for a month and
[08:15.800 --> 08:19.600]  Jonas came home and said yeah, we were talking in class with her
[08:19.600 --> 08:24.280]  I forget what class the teacher taught but it wasn't the science teacher which was interesting
[08:24.280 --> 08:30.600]  But the teacher was saying how we'll see in a month and we'll be on zoom and the kids were all like thinking it through
[08:30.600 --> 08:35.320]  And they were like, yeah, we're not coming back this year, you know, and I forget how they thought about it
[08:35.320 --> 08:41.440]  But they've kind of figured it out and their intuitive sense that no if it's bad enough to do this isn't going this isn't gonna
[08:41.440 --> 08:43.960]  Go away in a month and they kind of talked their teacher into it
[08:43.960 --> 08:48.600]  And I was like, you know that that's really insightful because you kids don't have
[08:50.120 --> 08:52.840]  Decades of this is what normal life is like
[08:55.000 --> 08:56.920]  Preconceptions which
[08:56.920 --> 09:02.240]  Overriding your your you've got your priors that you're taking into account that they don't have to take into account and say no
[09:02.240 --> 09:06.640]  Why wouldn't it just take us out for the whole year? Yeah, and he talked me into it
[09:06.640 --> 09:07.920]  I was like damn you're right
[09:07.920 --> 09:13.880]  this is gonna this is gonna be longer and I wouldn't be surprised if Tim Cook sort of had that foresight and Jeff Williams and
[09:13.880 --> 09:18.320]  The other big planners in that very early by let's say the end of April
[09:18.320 --> 09:19.720]  They were like we need to
[09:19.720 --> 09:27.480]  conservatism our plans and make sure that we've got a 2022 iPhone and this that the other whatever products we
[09:27.520 --> 09:32.160]  Absolutely need to ship that we know that we can do even if we're severely
[09:32.640 --> 09:37.400]  Restricted in these ways so I wouldn't be surprised because that would have been and that timeline would work
[09:37.400 --> 09:43.400]  Right, like I think and you could certainly and I don't have any information like that's just pure theory
[09:43.400 --> 09:45.720]  But I think that is always part of their
[09:45.720 --> 09:51.840]  Planning because once you have that situation where you keep a piece of hardware and just do some basic updates
[09:51.840 --> 09:54.800]  And then you you revise it every two three four years
[09:55.320 --> 10:00.920]  It gives you the luxury to say let's do one more cycle before we get that new thing
[10:00.920 --> 10:06.200]  right, and I don't know whether they did that in the iPhone because they have done three year cycles before the
[10:07.080 --> 10:09.680]  iPad Pro I'm gonna say it's possible
[10:09.680 --> 10:14.600]  That was one of those ideas where they're just like look not now is not the time and you end up with everything kind of
[10:14.600 --> 10:18.760]  Out-of-sync like it is I would say the other one that I'll throw it out
[10:18.760 --> 10:24.400]  There is the iMac right where it seems kind of weird that there's only the one iMac and that according to Mark Gurman
[10:24.920 --> 10:31.600]  There's not even gonna be an m2 iMac and they're gonna just leave it for m3 and like that feels like another one of those
[10:31.600 --> 10:40.280]  Things where they probably had a nice chart in 2020 or 2019 that said here is our rolling out of all of our products and
[10:40.280 --> 10:45.600]  Some of that stuff got taken off the board because of kovat and not like we're not gonna do that product
[10:45.600 --> 10:49.920]  But more like that product needs to wait a year or two. And so when you look at these products individually
[10:49.920 --> 10:53.080]  You're like, oh that's a perfectly reasonable product the iPads I'm talking about
[10:53.080 --> 10:59.080]  But then you look at the iPad as a product line and you go. Well, wait a second. Yeah, why I mean
[10:59.080 --> 11:04.280]  There are some weird choices in the individual products that I'm sure we're gonna talk about but like that's the big picture thing
[11:04.280 --> 11:09.080]  It's like why over here and not over there and they're never gonna say but I suspect the answer is
[11:09.080 --> 11:14.600]  Because we didn't revise that product for reasons and so you get to see it here first
[11:14.600 --> 11:18.360]  Yeah, my gut feeling is the iPad Pro definitely or not definitely
[11:18.360 --> 11:23.120]  But it would be the most likely to have suffered such a fate that these new iPad pros
[11:23.120 --> 11:29.800]  I kind of suspect that this year's iPhones probably are exactly as they were planned all along and there are some
[11:29.800 --> 11:35.680]  You know like the dynamic island and that the hole punch cut out the pros getting the a16 the 48 megapixel sensor
[11:35.680 --> 11:39.280]  There's a lot in there. So I kind of think
[11:40.280 --> 11:45.280]  strategically the fact that the iPhone 14 non pro is
[11:45.960 --> 11:52.640]  Much more it truly an incremental up update could be called the 14 s or 13 s
[11:52.760 --> 11:58.840]  Yes for it in previous terms where it really just sort of got what an extra GPU
[11:59.120 --> 12:04.120]  Core didn't even get a new chip, right? And I think strategically that's something they wanted
[12:04.120 --> 12:06.120]  They've been moving towards
[12:06.520 --> 12:13.080]  For a decade trying to get a new super tier and a new phones every year
[12:13.400 --> 12:16.440]  that aren't called Pro, but that are new and
[12:17.440 --> 12:20.760]  But the iPads, I don't know also about the phone
[12:20.760 --> 12:22.760]  I think the most likely thing and we have
[12:22.840 --> 12:27.200]  Occasionally seen something like this is like there are a lot of rumors out there about the next iPhone, right?
[12:27.200 --> 12:31.960]  The iPhone 15 which is ridiculous you often last year. I think it actually lapped to the iPhone 14
[12:31.960 --> 12:37.680]  Yeah, 13 they were talking about the 14 the 13 wasn't out yet, but it you know, and again
[12:37.680 --> 12:41.200]  I'm not saying that it's gonna happen. I don't have any inside information, but like
[12:42.480 --> 12:47.840]  Any time between now and like January there could be a report. That's that says
[12:48.920 --> 12:56.640]  Actually, the iPhone 15 isn't gonna have that periscope camera system and all of that and I would read that as being that
[12:56.640 --> 13:02.320]  Same kind of recalibration which is it's if you have an issue and you're like we can't do it in this time frame and your
[13:02.320 --> 13:06.320]  Apple well, you're not gonna not do an iPhone. So the answer is gonna be what's the fallback?
[13:06.320 --> 13:08.720]  the fallback is another iteration of
[13:09.520 --> 13:12.360]  The 14 hardware and I don't think that's their plan
[13:12.360 --> 13:17.440]  They have been on the last couple of cycles a three year cycle for this stuff
[13:17.720 --> 13:20.800]  But if I'm Apple and if I'm Tim Cook, I want to be prudent
[13:20.800 --> 13:22.280]  You can't not do a phone
[13:22.280 --> 13:28.400]  So you gotta have a fallback and that's the nice thing about this approach of having the same body get reused for a few years
[13:28.640 --> 13:34.300]  It's like the MacBook Air at m2 like it's taken care of there'll be an m3 MacBook Air almost certainly
[13:34.300 --> 13:36.580]  But it's not gonna look any different because they just did that
[13:36.580 --> 13:41.880]  It's good to go for a while and the iPad Pro is is old and it's fine
[13:41.880 --> 13:47.920]  It was so far ahead when it came out. That's fine. But it is for four cycles through now, I think so
[13:47.920 --> 13:52.360]  Yeah, yeah 2018 right the Brooklyn event right is when they introduced it, right?
[13:52.440 --> 13:58.960]  Which was the same one that had the first retina MacBook Air which was the MacBook Air that?
[13:59.240 --> 14:06.360]  Just got replaced exactly. So the MacBook Air got new hardware. I iPad Pro did not did not
[14:06.800 --> 14:10.620]  Alright, let me start by taking a break here and I will get into the details
[14:10.620 --> 14:13.680]  But I want to talk about our good friends at back blaze
[14:13.680 --> 14:18.400]  Back blaze one of my favorite companies one of my most recommended services
[14:18.400 --> 14:22.400]  they honestly they shouldn't be sponsoring the show because I would tell everybody to
[14:23.000 --> 14:24.600]  Use them anyway
[14:24.600 --> 14:30.260]  But they are sponsoring the show and I'm telling you I use it. I recommend you use it
[14:30.260 --> 14:34.780]  I would recommend you using it. Even if they weren't paying to sponsor the show
[14:34.780 --> 14:40.640]  It is unlimited computer backup for Macs and PCs. It costs just seven dollars a month
[14:40.640 --> 14:46.600]  It backs up your documents your music your photos your videos drawings projects all of your data
[14:47.240 --> 14:49.240]  backs it up to their
[14:49.280 --> 14:56.240]  Servers in the cloud off-site out of your facility out of your house. Now. You're backed up files are
[14:56.880 --> 15:00.040]  Available you can get them from iOS and Android apps
[15:00.040 --> 15:05.560]  You can just get like one file like if you're just out and about and you need to get one of your files from your phone
[15:05.720 --> 15:09.160]  Just go to their app. You can get anything that's been backed up right from your phone
[15:09.160 --> 15:16.080]  You want to restore you can do it over the internet if you want, but if catastrophe strikes
[15:16.720 --> 15:20.280]  Computer just absolutely breaks spill water all over it
[15:20.280 --> 15:26.840]  It's shorted out your macbook gets stolen you're lost or something terrible like that happens and you need
[15:27.240 --> 15:32.200]  All of your data back fast. You can get restored by mail not email real mail
[15:32.200 --> 15:37.800]  They'll send you like a flash key or a hard drive with all of your data shipped here
[15:37.800 --> 15:43.560]  door next day delivery, and you can restore from the drive put it on a new machine
[15:44.200 --> 15:47.920]  Copy it over and then you can just send that drive back to them
[15:47.920 --> 15:50.600]  So you're not like on the hook for buying a hard drive
[15:50.600 --> 15:53.400]  You don't need you just send it right back to them within 30 days
[15:53.400 --> 15:57.800]  You get a full refund get your money back for the drive so you can get your data back the next morning
[15:58.520 --> 16:06.520]  Send the drive back and it's just all part of the back play service. That's really just unbelievable now for an extra two bucks
[16:06.520 --> 16:14.280]  A month you can increase your retention history to an entire year so that you can recover files that you've deleted
[16:16.280 --> 16:19.480]  Emptied your trash months go by and
[16:20.040 --> 16:25.560]  Oh my god that file. I deleted a while ago three four months ago. I need to get that file back
[16:25.560 --> 16:30.920]  You can do it for just two more bucks a month to get one year of retention history for your account
[16:30.920 --> 16:36.600]  They have restored over 55 billion files over the years to their customers
[16:36.600 --> 16:43.640]  And you can get a full featured no credit card required trial at backblaze.com
[16:44.840 --> 16:49.320]  The talk show that's backblaze.com the talk show
[16:49.960 --> 16:54.840]  They'll know you came from the show you get that free trial with no credit card required
[16:54.840 --> 17:00.680]  And it's just great also. I would just add it is absolutely terrific mac software
[17:00.680 --> 17:03.960]  Just you install it it brought you don't even know it's running
[17:03.960 --> 17:08.840]  It's never like oh all of a sudden backblaze is doing a backup and everything grinds to a halt on your machine now
[17:08.840 --> 17:12.680]  You just you have no idea that it's running it just boom it's in the cloud
[17:13.480 --> 17:18.760]  You never know it's there. Hopefully you'll never need it, but man you'll even sleep better knowing that your stuff's backed up
[17:18.760 --> 17:20.760]  So my thanks to backblaze
[17:21.240 --> 17:23.240]  One of my favorite sponsors
[17:23.240 --> 17:29.000]  All right, where do we start should we talk apple tv first or do we save it? I mean, that's what everybody's talking about
[17:30.360 --> 17:35.320]  Apple tv 4k maybe we should talk about apple tv 4k first just this is knock it out of the park
[17:35.320 --> 17:41.320]  I will say i'm actually very very happy with all but one aspect of this week's apple tv hardware
[17:42.120 --> 17:48.360]  Number one they have simplified the lineup completely they stopped selling the completely outdated ridiculous
[17:48.360 --> 17:53.720]  1080 version which makes me wonder why they're still calling it apple tv 4k, I guess
[17:54.360 --> 17:59.160]  Because once they started calling the one that does 4k the apple tv 4k
[17:59.800 --> 18:07.160]  And then maybe by calling it apple tv 4k it helps to differentiate it from apple tv the service maybe so yeah
[18:07.480 --> 18:09.480]  And the app that's something
[18:10.600 --> 18:17.000]  So at least for this show I will refer to the hardware as apple tv 4k and they got rid of the other ones right now
[18:17.000 --> 18:23.080]  They're only selling two models. There's a 64 gigabyte model. That is a hundred and thirty dollars
[18:23.720 --> 18:30.200]  129 in apple's parlance i'm rounding up and then for 150 bucks you can get a 128 gigabyte version
[18:30.840 --> 18:31.960]  that
[18:31.960 --> 18:33.080]  adds
[18:33.080 --> 18:38.200]  An ethernet port and this is the part. This is my gripe. It is also the
[18:38.920 --> 18:44.280]  Only the 150 version includes support for the new thread
[18:44.280 --> 18:48.440]  Home automation. I don't know. Would you call it home smart home standard? It's a thread radio
[18:48.440 --> 18:56.360]  So it's part of the it's a thread smart home networking standard basically and i'm i don't know what i'm looking forward
[18:56.360 --> 18:59.720]  To that and this is where I get confused because and I tried to look into it
[19:01.080 --> 19:03.080]  Thread is
[19:03.080 --> 19:06.680]  I don't know what the difference between thread and matter are matter is
[19:07.400 --> 19:12.360]  Do you understand yeah, so some matter is basically a new standard for
[19:12.360 --> 19:17.560]  Device intercommunication that's agreed. It's based on homekit actually, but it's it's an open thing. It's supported by
[19:18.440 --> 19:23.800]  Google and amazon and apple and everybody and the idea is we're not gonna have those wars anymore where it's like
[19:23.800 --> 19:29.080]  Oh, I bought a fan but it only works with alexa and so now I can't use it with my homekit stuff and like
[19:29.080 --> 19:31.080]  That's all gonna go away
[19:31.080 --> 19:36.120]  Thread is a very particular thing thread is a radio and it is
[19:36.680 --> 19:40.840]  Used because not every device wants to be on or needs to be on
[19:40.840 --> 19:58.840]  Wi-Fi, but they do need to talk right if it's a smart home device and you see this a lot historically in all the devices you would buy where you'd have to buy like a little box that you attach to your network via ethernet and plug in and then like I like phillips hugh has those and the lutron casita has one of those
[19:58.840 --> 20:05.880]  Yep, and the idea there is that it's not on your wi-fi network, right? It's got its own little radio network that it's using often more
[20:05.880 --> 20:13.880]  Reliable than your wi-fi to talk to its little devices and go back and forth and act as the middleman with your actual like IP network
[20:14.760 --> 20:24.360]  So thread some of those devices are thread radios like it's and there's like zigbee and there's like a bunch of different things and so thread I believe is the
[20:24.920 --> 20:33.240]  One that everybody sort of agreed is going to be the standard that is used by in the matter world that we're about to enter into for these
[20:33.240 --> 20:49.240]  Communications that are not happening on wi-fi and so that's the idea is you build thread into stuff and it allows you don't have to have a hub with like a thread radio in it, it will do the talking for you and the home pod mini has a thread radio
[20:49.240 --> 20:55.640]  Right, which is kind of interesting. So this is in the and actually the old apple tv 4k hardware had it in it
[20:55.640 --> 21:05.560]  So what really is happening here is they've pulled thread and ethernet out of the apple tv 4k for the lower priced model that 129 model
[21:06.440 --> 21:13.240]  So matter is like the consortium and thread is the wireless protocol from matter
[21:13.240 --> 21:23.000]  A well it's not from matter but it's the one matter uses and it's a wireless protocol right because wi-fi is also a wireless protocol but yeah the idea there is that
[21:23.000 --> 21:41.000]  You have a bunch of devices that I think it's lower power I think it's more reliable I think it might have even have longer range I don't actually know all the details of thread versus wi-fi but that's the idea is they can talk to each other on this thread system
[21:41.000 --> 21:51.000]  And you've got a bunch of devices out there that already support thread radios and so you can talk to them and they don't have to get an ip address and be on your wi-fi instead they kind of like radio back and just say here I am using thread
[21:51.000 --> 22:05.000]  So I have the lutron stuff I think it's caseta because I have the little repeaters I have like two of them I think in the house and we have our lights on lutron and our shades and they work great
[22:05.000 --> 22:31.000]  I would say as a wireless standard it is the most reliable wireless technology I've ever used in my life of and I've got a Euro home network here that I'm very happy with and actually just found out that my original two of my Euro stations are the originals from like when there was only one one Euro base station and they just finally dropped software support for it
[22:31.000 --> 22:49.000]  And you're not going to get software updates so I guess I got to update my network my wi-fi is great and it's really this the having heroes that I have plugged in ethernet around the house have made the group the most reliable wi-fi I've ever had with great performance throughout the house
[22:49.000 --> 23:17.000]  Some bluetooth stuff that I have is starting to get pretty good like my air pods are have been air pods work over bluetooth and have been very reliable for me and I love them they're one of my favorite products that I own period but none of them work as reliably as the lutron stuff I mean I never I've never have rebooted the little repeaters for my stuff ever I've never I don't it's they just run and run and
[23:17.000 --> 23:37.000]  I hate having to install little plastic boxes that use power and are attached to ethernet but I can't argue with the results. So the idea the dream here so I think thread evolved out of Zigbee, which was one of these radio standards but I think that's the idea is you want a more kind of rock solid
[23:37.000 --> 24:06.000]  smart device backhaul that isn't reliant on wi-fi where all your computers are using it something that doesn't need to have that much overhead and that I think thread will also do mesh networking and the idea is that the thread stuff can be put into all sorts of devices like an Apple TV like an Eero I think Eero has that like the home pod mini so that you can talk to all of these devices and they're not hanging around on your wi-fi if they don't have to which is I think actually good for your wi-fi too
[24:06.000 --> 24:30.000]  And you run into problems with these devices as we add more and more devices where it's like how well how do you even get the damn thing on your wi-fi if your wi-fi has a password and I guess thread in addition to just being meant for these small low power devices gets around that too I don't know what the security at you know how do you keep people who walk by your house from screwing around with your thread stuff I don't know but
[24:30.000 --> 24:59.000]  Just like with bluetooth I think there's like some validation that goes into that because right now a lot of these smart home devices get on by bluetooth basically you stand there with your device and running their app and you it says or the bluetooth or wi-fi they make their own like temporary wi-fi network one of those and you basically say here's what my wi-fi network is and here's the password and you send it to it and it says thank you and then it basically reboots attaches to your wi-fi and the setup process continues so I'd imagine it would be pretty similar here but
[24:59.000 --> 25:28.000]  I mean the good news after all this and it's going to be I think it's going to be shaky for a year or more and there's a lot of products that are going to be not quite compatible that are going to be interesting but in the long run I'm so glad that arms race is over right where it's literally like Apple doesn't want to play with Google who doesn't want to play with Amazon and so everybody's products are kind of a Swiss cheese kind of like oh I support this one but not that one and I support this one but not that one it's so frustrating and I think they realize that they were actually going to not be able
[25:28.000 --> 25:44.000]  to sell some of our home products because people got fed up with the incompatibility stuff so I hope that this is all kind of worked out now but it is interesting that then and Apple turns around and says well you don't really need a thread radio in this cheap Apple TV it's fine
[25:44.000 --> 26:13.000]  Well you know it wouldn't be a Jason Snell appearance on the talk show if we don't throw on our old man hats and talk about the 90s but it does remind me of computer networking pre TCP IP taking the title wave that just wiped everything out but this will be bizarre to people who are younger than us but there was a time
[26:13.000 --> 26:36.000]  when all computer networking was proprietary and nothing talked to each other and and the Apple advantage was the same as you'd think it was where it was the easiest where it was local talk and you could just buy things and connect Max together and they saw each other pretty automatically
[26:36.000 --> 26:48.000]  and would show up and would have like normal looking names like your computer Max would have names that had spaces in them and capital letters, and as many characters as you wanted.
[26:48.000 --> 27:02.000]  You know you could set up like a network like at the student newspaper, or something like that and give every Mac, a sensible name, or you could give them playful names like Spock and Kirk and or go Star Wars or something like that, and they just show up but of course
[27:02.000 --> 27:17.000]  if you put a PC on the network had no chance of talking to anything, and vice versa. You couldn't just bring a Mac into a PC environment and there were things like what Nobel, I mean geez there's a company that went away but that was like a career track
[27:17.000 --> 27:33.000]  where you could become a Nobel certified network engineer, and you'd look in the mid 90s you'd look in the one ads, which is how you'd find a job, you'd get the Sunday newspaper.
[27:33.000 --> 27:47.000]  The way you'd find a job is you'd find you'd buy the Sunday newspaper for a new town, which is super thick and would have an entire section that was just not just classified ads but the help wanted ads.
[27:47.000 --> 27:57.000]  And you'd go to the, you're a computer nerd technology section and there'd be all sorts of ads that were required to be a Nobel network certified engineer to take the job.
[27:57.000 --> 28:08.000]  And all of that just, it was a nightmare and there are all sorts of things, other standards remember token ring, there were all these terms and never understood any of that stuff I never understood it either.
[28:08.000 --> 28:20.000]  And then at some point they're like, everybody's doing IP networking, that's what we're doing now, but yeah the my first job at Mac user magazine back in the day we had it was all local talk, we didn't have with file servers and there was Ethernet and all of that
[28:20.000 --> 28:38.000]  but when I started, none of the computers were on the internet, right? You couldn't get to the internet. There was a WAN connection, a wide area network connection, but it was like for our email with the other branches of Ziff Davis.
[28:38.000 --> 28:58.000]  But it was all like they had a line, they probably had like a digital line that went to New York or something, but there was no, there was no internet and I remember when they put in the gateway but like when I started I was still finishing up my grad school at Cal and so I had a dial-up account and I remember very distinctly bringing in my PowerBook and dialing into the internet
[28:58.000 --> 29:12.000]  from my laptop next to my Mac user computer that was not on the internet. That's what it was like. So anyway, are you saying that hopefully when we get through this matter thing everything's going to make more sense and what it's like for the last few years?
[29:12.000 --> 29:30.000]  Yeah, that the interop layer should be open and everybody should just agree to it and it should be good, right? I mean that is a, that sounds obvious but it's a big but, right? I mean there's all sorts of, there have been all sorts of floated standards that are no good
[29:30.000 --> 29:42.000]  and so should be and typically Apple is one of the companies that wouldn't, doesn't want to participate just because it's there and it's a standard and has lots of adherence if it's no good they don't want any part of it. But the way that
[29:42.000 --> 30:00.000]  getting, Wi-Fi is the perfect example, right? The Wi-Fi is just Wi-Fi and yes, it keeps moving forward and there's Wi-Fi 6 and now there's Wi-Fi 6E which only certain devices participate in but on the large part, overall Wi-Fi has been an exemplary open standard, right?
[30:00.000 --> 30:21.000]  Where it keeps evolving, it keeps getting better and if you have a thing, no matter what it is, a computer, a phone, a set-top box that you plug into your TV or a set of lights from Elgato to become a YouTuber and they want to get on your network, it's all just Wi-Fi, right?
[30:21.000 --> 30:45.000]  Your Wi-Fi is my Wi-Fi and as long as the number of your Wi-Fi is compatible, stuff just works, right? Something like that for home networking seems just what the doctor ordered and I guess it's, hopefully it was inevitable but yeah, you're right though that like when you're like buying, oh, I just want to buy, we bought them a couple years ago because as people may know who follow me and my wife on Twitter, my wife likes to have multiple Christmas trees, God help me.
