[00:00.000 --> 00:01.360]  Dieter, it's good to have you here.
[05:22.200 --> 05:33.200]  Uh, but the iPad, you know, Apple has, is very good at pivoting, but the iPad is the greatest portable device ever, blah, blah, blah, blah. You know, I think they could have pulled off some sort of jujitsu on the messaging there.
[05:33.200 --> 05:51.200]  There's a, there's a great line. I love the, uh, the writing books, drunk and white, uh, the elements of style. Um, and as somebody who a long time listeners of this show know, well, I, I've 47 years old, but I've internalized a lot of words.
[05:51.200 --> 05:59.200]  I pronounced the wrong way because I read them as a kid and I took a guess as to how they were pronounced and in my brain, they're, they're just stuck that way.
[05:59.200 --> 06:16.200]  Um, and there's a line in that book where it's strong that the old professor who was at EB whites, English professor at whatever college he went to, his advice to his students was if you're reading out loud and you get to a word, you don't know how to pronounce, say it loud.
[06:16.200 --> 06:26.200]  Don't, you know, instead of mumbling it, if you don't know how to pronounce a word, say it loud. And I kind of feel like, all right, you're not proud of how much the magic keyboards way.
[06:26.200 --> 06:49.200]  Well, put the weight out there and be proud of it, you know, just hang it out there. Um, but anyway, bottom line, the big thing for me, my only regret with my, my review of the iPad magic keyboard is that I didn't put the review out specifically as a review of the 12.9 inch magic iPad magic keyboard.
[06:49.200 --> 07:13.200]  Because now that I have the 11 inch two for my personal iPad pro, which is 11 inch, which size I personally much prefer to, um, I find that they, they're different enough, more different than I expected and different enough that they, they kind of demand to be reviewed as separate products or at least like one and a half different products.
[07:13.200 --> 07:16.200]  Like it's like half the same and half different.
[07:16.200 --> 07:41.200]  So this is really fascinating to me because I, I use so many different sized keyboards in my life because I, I try and make sure that I'm switching platforms regularly enough where I feel like I'm familiar with everything that, um, the, like just from like hand feel, maybe I'm like, I'm numb to like major differences in like keys and keyboards because the 11 feels about the same to me as a 12 is just smaller.
[07:41.200 --> 07:57.200]  For me, it's the, it's not so much about the keyboard being smaller because I'm used to smaller mini keyboards too, including some that are truly, truly micro, like ones that are like little fold up ones that you're supposed to use with a phone, which I don't really do anymore.
[07:57.200 --> 08:12.200]  But it was sort of like a dream of mine to like, and still maybe someday I'll, you know, I'll find a device that'll let me do it, but I've always thought it would be cool to go on vacation or, or just go like on a member when we said have meetings and stuff.
[08:12.200 --> 08:30.200]  Like if I had like, if I had like a Apple briefing or is, you know, some kind of product demo from some company in New York to take the train to New York and take nothing but my phone and a little fold up keyboard and do all of my work just with that and not have to worry about even taking an iPad along.
[08:30.200 --> 08:44.200]  So the fact that the, the A to Z alphabet keys are smaller, I don't know what percentage, let's say it's like 90% layout. I'm fine with that. And my fingers are used to that over the years.
[08:44.200 --> 09:08.200]  I wouldn't want to write as much, you know, like the thing about the 12.9 inch keyboard is it is a full keyboard, right? Like I, if I were going to write a book, I would, wouldn't hesitate to do all of the typing on that iPad keyboard. You know, it's, it is as full size of a keyboard as Apple's desktop Bluetooth Magic keyboard or their laptop, the MacBook ones.
[09:08.200 --> 09:23.200]  It's full size. The keys feel just as good, maybe different, you know, in certain niggling ways, but the smaller 11 inch one is definitely a slightly smaller layout. I wouldn't want to do as much typing on it if I had another option, but I could.
[09:23.200 --> 09:41.200]  Yeah. My complaints are not even complaints, but the, just some of the differences is that some of the other keys are hard to type. Like I find it insane, absolutely insane that the right or left square bracket key is a full size key.
[09:41.200 --> 09:54.200]  And the right one is a half size key, even though they're a pair. Like I think that's insane. I don't know how, I don't know how that past design muster at Apple.
[09:54.200 --> 10:11.200]  It's just seems crazy to me, especially when there's a, there's a backslash key next to it. You could make that one full size and then make the two bracket keys half size just to make them the same. They stay, whatever size you make the bracket keys, they should obviously be the same is what I'm saying.
[10:11.200 --> 10:29.200]  I mean, how, like, how often are using one without the other, right? If you are, you're like leaving your brackets hanging. I find that crazy. And then today I linked to Dan Moore and had a review of the Logitech keyboard that they announced alongside these.
[10:29.200 --> 10:51.200]  It's called the touch something. The Logitech touch something I think is the official name. Anyway, he had a review of that. That's Logitech product designed in conjunction with Apple for the non pro iPads so that there's a cover slash keyboard case with an integrated track pad that connects to those iPad smart connectors.
[10:51.200 --> 11:08.200]  Um, anyway, looking at the pictures of that, the way they did it is they made the two square brackets and the backslash key, uh, like two thirds. All three of those keys are the same width and instead of half and full, they're all like two thirds size.
[11:08.200 --> 11:24.200]  Well, that's a good compromise. Two thirds is a pretty good, pretty good compromise. And then the other key that really is really driving me nuts trying to type it is the dash key. Another or hyphen. I don't know what you call it, but it's the key next to zero in between zero and equals.
[11:24.200 --> 11:31.200]  And it's a half size key on the 11 inch iPad magic keyboard and I keep missing it because it's so small.
[11:31.200 --> 11:41.200]  Yeah. This I noticed because I, um, I'm actually one of the worst people for just using em dashes in lieu of like actual punctuation or other punctuation.
[11:41.200 --> 11:42.200]  I'm right there with you.
[11:42.200 --> 11:55.200]  Yeah. Chris, Chris Welch, one of our, one of our reporters just yells at me every time. Every time he edits one of my pieces, he just just deletes everything. It's that. And then I have to stop using the word pretty. Those are the two things that I need to cut out of my life.
[11:55.200 --> 12:14.200]  So I looked and, and on the Logitech keyboard, what they did, and I think this is pretty clever. I, maybe there's other smaller footprint keyboards that do this and from, and probably there are over the years, I've never really noticed it, but I'm like, well, wait, how is that keyboard, which is for 10.5 inch iPads?
[12:14.200 --> 12:35.200]  So therefore, in theory, perhaps even more space constrained, how do they have a full width hyphen key and an equals key? And the trick is if you squint and look at it, the whole number row on that keyboard is slightly smaller in width than the alphabet keys.
[12:35.200 --> 12:50.200]  So the one, two, three, four, five, six, dot, dot, dot, all the way across there, they're like, I don't know, I didn't take out like Photoshop and try to measure them, but they look like they're all maybe like 85% of the alphabet keys.
[12:50.200 --> 13:10.200]  And so like one, two and three align with Q W E as you'd expect, but by the time you get to eight, nine and zero, they're a little bit further to the left of the alphabet keys underneath them than you're used to. But then that makes room for dash and equals keys that are to the same width as those other number keys.
[13:10.200 --> 13:21.200]  That seems like, since you have to make compromises to get a smaller footprint keyboard, those seem like better compromises than what Apple's made.
[13:21.200 --> 13:36.200]  Oh, for sure. I mean, I would even be willing to have the backspace key be even a little bit smaller because it's, you know, it's like Fitts' Law, but you can reach out there and hit it. And if it's a little bit smaller there, it's less of a pain than the hyphen key being smaller.
[13:36.200 --> 13:55.200]  Yeah, because you can do it. I think it actually is Fitts' Law. I don't think Fitts' Law only applies to software. I think you could, you can just reach up to the corner, right, and just blindly go for the corner. And if you overshoot, you're not going to hit the wrong key. You're going to be off the side or over the top of the delete key. You can hit it.
[13:55.200 --> 14:04.200]  Although on the, it's called the Logitech Combo Touch, apparently. On the Logitech Combo Touch, if you reach over, you will hit the function row, which they have.
[14:04.200 --> 14:20.200]  Well, we'll have to talk about that in a moment. But the other thing I've noticed with the 11-inch Magic Keyboard compared to the 12.9-inch is that the magnets are a little different. It doesn't seem to me as strong a magnetic connection.
[14:20.200 --> 14:21.200]  Yeah.
[14:21.200 --> 14:33.200]  It's easier to take off, which is good when you want to take it off, but it also seems like it's not quite as secure, which maybe isn't as good if you're going to use it on a bumpy train or something.
[14:33.200 --> 14:46.200]  Now, the thing I don't know is I do, I know it's the same thing where it comes off a little bit more easily, but I don't, I'm using my, with the 2018 iPad Pro, the 11-inch, which, you know, are compatible.
[14:46.200 --> 14:55.200]  So I wonder if I had a 2020 11-inch iPad Pro, if it has stronger magnets in it. I kind of doubt it, but it's possible.
[14:55.200 --> 14:57.200]  Yeah, it's possible.
[14:57.200 --> 15:18.200]  I can't compare 11-inch 2018 to 2020 because I don't have a 2020 11-inch, but I can compare the 12.9-inch for both years because I have, my wife owns the 2018 12.9-inch iPad Pro, and my testing with that was that it was magnetically identical.
[15:18.200 --> 15:31.200]  It was, it was, I mean, now I didn't measure it in any way with any kind of tool, but just anecdotally, it just seemed equally strong, exactly the same magnetically as the new one.
[15:31.200 --> 15:39.200]  So I don't know. I can't say that the 11-inch is the same way, but it's definitely a different thing for me going between the 12.9 and the 11-inch.
[15:39.200 --> 15:57.200]  It's just, and I don't think, again, that's the sort of thing I regret about my review, like, because I really went on and on about how magnetically strong it was, and it's not that it is, but it is only for the 12.9, so I wish I had emphasized that.
[15:57.200 --> 16:17.200]  Well, so one thing, and maybe we'll get into this later, but one of the things that's nice about this keyboard, and it sort of applies to smart keyboard, not quite as much, is you can pick it up and walk around with it in a way that, like, with a Surface Pro, to pick up a Surface Pro with the keyboard attached, it's kind of this weird floppy mess, right?
[16:17.200 --> 16:30.200]  You gotta fold it up, but this thing, you can pick it up and hold it in one hand and sort of walk around your house or your apartment with it in a way that, like, with this Logitech keyboard, you can't, you know, because it's gonna flop around.
[16:30.200 --> 16:44.200]  So I really think that the magnets being strong, maybe a little bit less strong on the 11, I don't know, but the thing was designed, I don't know, it feels like it was designed for my home instead of my backpack, and that gets to the weight thing.
[16:44.200 --> 16:49.200]  But it also just, it gets to, like, I feel like, maybe you wrote this, it feels more like a dock than it does a case.
[16:49.200 --> 17:01.200]  Yeah, I did write that, and I do think that. It's like a case, it's a dock that folds up into a case-sized wrapper, not a case with a keyboard that you can type on.
[17:01.200 --> 17:02.200]  Right, yeah.
[17:02.200 --> 17:13.200]  I even turned it upside down, I mean, I was, you know, I'm not reckless with review units, but I am ever so slightly more reckless than I am with the ones I've paid for.
[17:13.200 --> 17:22.200]  Like, I'm not one, like, if they say that, you know, here's a review unit of a new iPhone, it's IP68, water resistant.
[17:22.200 --> 17:32.200]  I don't dunk it in water, I just let other reviewers do it, because I don't want to be the one who shorts one out, and then, it's not because, you know, hey, you're the ones who said it was water resistant.
[17:32.200 --> 17:41.200]  It's not that I'm afraid to call Apple up and say that, I don't want to lose 24 hours to get a new review unit, though, to do it, so I don't.
[17:41.200 --> 17:57.200]  So I'm a little bit cautious, but I took the 12.9 inch in the keyboard and turned it upside down, and it's like, it doesn't come out, and the hinge, I'm not going to say the hinge doesn't move at all, but it stays pretty close to the same angle.
[17:57.200 --> 18:06.200]  It certainly doesn't bend, you know, if it adjusts a degree or two, sure, that's gravity, but you can, like, turn it upside down and it doesn't come out.
[18:06.200 --> 18:12.200]  I'm not sure I would do that with the 11 inch, and I definitely wouldn't do any of that with Apple's smart keyboard.
[18:12.200 --> 18:15.200]  Oh yeah, no, that thing pops off really easily.
[18:15.200 --> 18:25.200]  And you can definitely, you know, I mean, is it ever truly advisable to walk around your house with a laptop of any kind? Probably not.
[18:25.200 --> 18:45.200]  We do it, right? I mean, everybody does it, and you can definitely do that with the Magic Keyboard. It's definitely much more stable than you would think, especially given how similar it looks externally, like from the bottom and top, or not fabric, whatever you call that rubbery material they make.
[18:45.200 --> 18:56.200]  It's weird, right? And it picks up just dust in a weird way. There's something about that material that I'm just not a big fan of. It's grippy, so I'll give them that.
[18:56.200 --> 19:06.200]  But it's grippy in a way that, like, it doesn't, like, you know how some plastic, I don't know, I've used a bunch of random keyboard cases and stuff, like, it's grippy, but then it starts to feel weird and greasy?
[19:06.200 --> 19:25.200]  That never happens to this, really. But it, I don't know, it definitely feels like it's some sort of, you know, custom polyurethane, probably something something plastic that they really believe in because it's grippy and means it won't slip off an airplane tray table.
[19:25.200 --> 19:40.200]  But I'm not a big fan of it. It does, it has two problems that I've seen. One, it definitely picks up dust, or dust sticks to it in ways that it just seems prone to it.
[19:40.200 --> 19:57.200]  And I think it picks up, like, finger and palm grease in a, and it cleans easily, like, so it's not like permanent shiny spots, like, I know what you're talking about. There are some things that pick up permanent shiny spots.
[19:57.200 --> 20:13.200]  They're not permanent, but I'm, I've been using it in pretty clean areas, not really eating around it or, you know, eating like, you know, like a hot dog or something and, you know, with my finger, like eating chicken wings and then touching it.
[20:13.200 --> 20:30.200]  But yet I still have grease spots on it, you know, for lack of a better term. And then, you know, I wipe them off and they clean off, but like with all of Apple's aluminum MacBooks, I never feel like, you know, they, I never feel like I have to clean them every day.
[20:30.200 --> 20:44.200]  Yeah. Yeah. There's, I'm not a fan of this material either. I didn't really get into that in my review, but it's like, I don't hate it. I don't know. It's just so unusual. It almost like, it's almost like somebody needs to write a review of this material.
[20:44.200 --> 20:49.200]  Yeah. Because it's like nothing else. I don't know what to compare it to.
[20:49.200 --> 21:07.200]  Yeah. It's very strange. But I mean, I don't know, it bothers me more on the outside, which honestly I never really see because the thing sits on, sits on my desk. Like I never take it off my desk. I, I now I'm taking the iPad off of it and using the iPad just all by itself without a case on it way more than I have in the past.
[21:07.200 --> 21:20.200]  Like I kid you not like three, four years. Like, I don't, I don't know if I've ever used an iPad this much outside of a case as I do now that I basically have a doc that I can just attach it to, to charge and then take it off to go walk around my house with it.
[21:20.200 --> 21:39.200]  See, I'm the opposite where I just haven't used it in any sort of case for years cause I so dislike the smart keyboard. And so I've used a keyboard with my iPad, but I have been using for years just like regular desktop Bluetooth keyboards and then propping up my iPad in a standalone little tiny little tripod stand.
[21:39.200 --> 22:00.200]  And so it's even easier to pick it up and just walk around with it as, you know, iPad as a tablet. But that's what I like so much about this case is it's so easy to get it out and just do that. Like, oh, I just want to read some comic books at night and I don't want, certainly don't want to have a bulky keyboard case folded around the back to do that.
[22:00.200 --> 22:18.200]  It's so easy to just take it out and walk around. But that's the thing that makes it so weird that I seem to get like greasy spots on it because I'm not even moving it. It's like at the same, I wipe it down, put it on the kitchen counter at my spot and leave it folded open.
[22:18.200 --> 22:30.200]  And then I go to like weigh it or something or, you know, do something, you know, somebody, I pick it up for some reason and look at it. I'm like, well, how did it get so dirty? I haven't even moved it.
[22:30.200 --> 22:34.200]  You got ghosts. Yeah. All right. F keys. We got to talk about the F keys.
[22:34.200 --> 22:51.200]  So I, I think they should have included function keys. I think that having, you know, even the iPad equivalent, so like home button to multitasking button, play, pause, next, last volume, keyboard brightness.
[22:51.200 --> 23:04.200]  It is just way more convenient to just reach up and hit a function key than it is to reach all the way up to the control center or try and hit that tiny little target with the track pad to, to start adjusting those things.
[23:04.200 --> 23:16.200]  And they're, you know, they didn't put it in obviously, and they didn't have it in their previous keyboards. So part of it is I don't think Apple believes in function rows for iPads.
[23:16.200 --> 23:24.200]  But part of it is I just, they decided they wanted a, you know, keyboard dock that had a rock solid base that had this floating screen.
[23:24.200 --> 23:32.200]  And I think there's reasons for that. That makes sense. But it just meant that there was, even if they physically wanted to, it would have been awkward to fit the function row in.
[23:32.200 --> 23:41.200]  Yeah. Depending on the angle, you know, the angle that the screen, if you have an acute enough angle, like closer to 90, then there'd be room for them.
[23:41.200 --> 23:55.200]  But when it's at its widest position, you'd kind of have to, it's like fitting your fingers into a slot, you know, like sneaking in there and you know, you get it with the backlighting, but you know, speaking of backlighting, that's the key.
[23:55.200 --> 24:06.200]  Everybody who mentions this, and it's a good point is that if you want to adjust the backlighting, it's the only way to do it right now is to go to the settings app.
[24:06.200 --> 24:17.200]  Settings, general, let me see if I can even remember settings, settings, general keyboard, keyboard, no hardware keyboard, hardware keyboard, and then backlighting.
[24:17.200 --> 24:26.200]  Yeah. And that is, I mean, you made the point in your review that their default settings for the backlight are excellent.
[24:26.200 --> 24:41.200]  Yeah. They're great. As long as you, as long as you want the backlight there, it's always correct. I've never had to adjust it if I want the backlight on, but the thing about the iPad that I love is that you do more than just use it like a laptop.
[24:41.200 --> 24:53.200]  You watch movies on it, you read, you do other things. And sometimes you want to have the thing propped up with some kind of stand, like this is a perfectly good stand and you don't want the keys lit up.
[24:53.200 --> 25:04.200]  Right. And in order to do that, you got to like hunt through the settings or you got to follow Frederico Fittiti on Twitter and find a shortcut app. You know, it's, it's ridiculous.
[25:04.200 --> 25:15.200]  Yeah. And so my, you know, there's no way they're going to retroactively add backlight keys, hardware keys to this keyboard because the keyboard doesn't get software updates that enable new keys.
[25:15.200 --> 25:21.200]  But so the best we can hope for is getting the backlighting into the control center.
[25:21.200 --> 25:26.200]  Yeah. Well, and there's a perfectly obvious place to do it, which is under like a long press of the brightness in the same way.
[25:26.200 --> 25:31.200]  And because logically you long press the volume and then you get to your AirPod extra settings.
[25:31.200 --> 25:35.200]  So you should long press the brightness and get to your keyboard brightness settings.
[25:35.200 --> 25:40.200]  I was excited because everybody, you know, a lot of people observe this and had it.
[25:40.200 --> 25:53.200]  I had the, the, the, the thought, Hey, let's see if Siri can do this. And I asked Siri to adjust the keyboard backlighting and then it came up with a brightness slider on screen.
[25:53.200 --> 25:57.200]  And I was like, bingo, there it is. I can't wait to publish this tip.
[25:57.200 --> 26:04.200]  And I like went to try it. And as I slid it down, it was my display brightness.
[26:04.200 --> 26:10.200]  So I guess I can't even say that that's, you know, it would be good to add it to Siri too.
[26:10.200 --> 26:20.200]  So you could just say, turn the key, you know, it would be nice as a shortcut to tell Siri to turn the keyboard backlighting off and have the right thing happen.
[26:20.200 --> 26:26.200]  And I guess it's not a bad guess to just, well, here's the only brightness I know how to show you. I'll show it to you.
[26:26.200 --> 26:32.200]  I guess I can't complain about not understanding, but it was a disappointment.
[26:32.200 --> 26:37.200]  The other thing is that because there's no row of F keys, there's no escape key.
[26:37.200 --> 26:45.200]  And we kind of went through this with the MacBooks where the MacBooks that first ship with the touch bar didn't have a hardware escape key.
[26:45.200 --> 26:52.200]  And now with the new one, starting with the 16 inch MacBook Pro, they even made it a bullet point.
[26:52.200 --> 27:00.200]  It's like a selling point of what's so great about the updated keyboard in the 16 inch MacBook Pro is it has an escape key.
[27:00.200 --> 27:05.200]  And it's so cool to see Apple putting that in as a bullet point.
[27:05.200 --> 27:14.200]  You know, and again, with my my person, I know there's people I know that there's this one is polarizing, but I like the upside down T for the arrow keys, too.
[27:14.200 --> 27:18.200]  And I'm glad to see them, you know, making it a selling point.
[27:18.200 --> 27:23.200]  But there is no F key row. And so there is no escape key. And but you get to remap it.
[27:23.200 --> 27:26.200]  You can say, what do you do? Caps lock?
[27:26.200 --> 27:33.200]  Yeah, so every computer that I own, I've remapped caps lock to some kind of universal search.
[27:33.200 --> 27:37.200]  So on my Mac, it goes to Alfred on Windows.
[27:37.200 --> 27:43.200]  I have on Windows. I actually have it open up a new edge browser tab on Chrome OS.
[27:43.200 --> 27:50.200]  It's a new Chrome tab, but you can't remap the caps lock key on the iPad to that.
[27:50.200 --> 28:02.200]  So I remap it to escape because I am so used to hitting the caps lock key to do a search that if I left it on as caps lock, I would end up typing in all caps all the time.
[28:02.200 --> 28:06.200]  So you might as well have it mapped to something. Yeah.
[28:06.200 --> 28:20.200]  Yeah, I have it set to the glow. I have escape map to the globe hardware key because I don't I don't. The only thing the globe does by default is toggle between the hardware keyboard and this on screen emoji keyboard.
[28:20.200 --> 28:32.200]  And you can type control space to do the same thing. And I kind of that comes naturally to me because on the Mac, you type control command space to get the the emoji picker.
[28:32.200 --> 28:39.200]  So that comes naturally to me. So I might as well remap the globe to escape. And it somehow feels OK mentally.
[28:39.200 --> 28:46.200]  I mean, I could do it if I couldn't do the globe. If only caps lock, I would just do caps lock because I don't who uses caps lock. Right.
[28:46.200 --> 28:52.200]  I mean, I don't know. I mean, I guess there's some angry, angry people on the Internet who really, really make use of it.
[28:52.200 --> 29:03.200]  But yeah, I think if you're going to if you're going to use caps lock to yell, you should you should be forced to use the shift keys and like you really mean like the physical effort of typing the capital letters should be more work.
[29:03.200 --> 29:11.200]  You should. But I feel like the people who use it would have would have none of it. Yeah, it is nice. I guess it's not surprising.
[29:11.200 --> 29:21.200]  I mean, and I know it's you know, it's all software at some point, but it is nice that if you remap the caps lock key, the green light no longer goes on and off every other invocation.
[29:21.200 --> 29:29.200]  The green light is tied to the idea that caps lock is caps lock. So that's cool.
[29:29.200 --> 29:40.200]  Oh, actually, if you are a Mac user, they finally added in Catalina the ability to natively remap the caps lock key on Macs without having to use a third party software like carabiner elements.
[29:40.200 --> 29:46.200]  So that's great. And it also does the same thing where if you remap it natively, it doesn't turn on the green light.
[29:46.200 --> 29:57.200]  Yeah. So that's cool. What do you think of the trackpad? Because I, you know, I like I mentioned my review, I use I've used the Surface Pro a lot.
[29:57.200 --> 30:05.200]  And so like this trackpad is almost identical in size. And so it is I'm used to having small trackpads every now and then.
[30:05.200 --> 30:13.200]  But if you're used to a trackpad on a MacBook or used to like a, you know, the trackpad on like an iMac or something, those things are massive.
[30:13.200 --> 30:17.200]  Yeah. So I'm wondering what it's like to go down to such a tiny trackpad for you.
[30:17.200 --> 30:25.200]  All right. I, I, I like it a lot. And I like it a lot more. It makes me wonder why they're so big.
[30:25.200 --> 30:33.200]  I know that that now that the MacBook Pro keyboards in our trackpads in particular have gotten truly expansive.
[30:33.200 --> 30:40.200]  And I joke that it's like the 16 inch one is the size of a New York studio apartment.
[30:40.200 --> 30:52.200]  I know that there have been others who say they're too big. And I know there are some people who who get problems with their palms registering as false touches because they're so big.
[30:52.200 --> 30:57.200]  And I don't run into that for some physiological reason about the skin on my palms.
[30:57.200 --> 31:02.200]  I've I've been using a 16 inch MacBook Pro extensively over the last few months.
[31:02.200 --> 31:08.200]  And I really don't have any problems with it being so big in terms of getting false touches.
[31:08.200 --> 31:17.200]  But on the other hand, now that I am getting by just fine with this comparatively tiny little trackpad, I'm like, I don't know why that's so big.
[31:17.200 --> 31:25.200]  The one thing that it seems like I run into the size problems is if I do try dragging and dropping something, I run out of space.
[31:25.200 --> 31:29.200]  But on the other hand, I don't drag and drop on iPad much.
[31:29.200 --> 31:32.200]  I just don't think it's as much of a thing as it is on the Mac.
[31:32.200 --> 31:39.200]  It's it it I use it much more for just moving the pointer around and it's big enough, even up and down.
[31:39.200 --> 31:44.200]  It's big enough. And for scrolling and for scrolling, you just keep flicking.
[31:44.200 --> 31:50.200]  So, you know, it's not so much going in one continuous movement where you need the size.
[31:50.200 --> 31:55.200]  You just keep flicking two fingers to scroll. And so it's fine. I like it a lot.
[31:55.200 --> 32:05.200]  I think I think it's I want to know how what the black magic is that they've made it equally clickable at the top and bottom.
[32:05.200 --> 32:12.200]  Instead of the diving board effect of all the old, you know, because it doesn't use haptic feedback to fake clicks.
[32:12.200 --> 32:29.200]  It really clicks. But in the before Apple had these haptic magic track pads in the MacBooks, they were these diving board buttons that were way clickier at the bottom than they were at the top.
[32:29.200 --> 32:34.200]  And I don't understand why. If they were able to do this, how come they weren't doing it all along?
[32:34.200 --> 32:42.200]  Yeah, I don't know. The service trackpad is a diving board again. But at first I was like, oh, they did the haptic thing. This is great.
[32:42.200 --> 32:47.200]  And then I realized, oh, no, it is it's actually a full on button all the way top to bottom.
[32:47.200 --> 32:54.200]  You are actually like pushing a thing down and it's clicking. It's really good. I'm really impressed with it.
