[00:00.000 --> 00:02.000]  fashionably late as always.
[01:53.000 --> 01:54.000]  and then you start thinking about it,
[01:54.000 --> 01:55.000]  and you start talking about it,
[01:55.000 --> 01:57.000]  and you know, at least I do.
[01:57.000 --> 01:59.000]  I kind of ramble, and it's like,
[01:59.000 --> 02:00.000]  given time to think about that,
[02:00.000 --> 02:02.000]  like, I think I could say that again better,
[02:02.000 --> 02:03.000]  and then obviously the ultimate is,
[02:03.000 --> 02:04.000]  you know, if I'm actually going to write it,
[02:04.000 --> 02:06.000]  I've got to actually figure out what I really think,
[02:06.000 --> 02:08.000]  but just sort of, you know, anyway,
[02:08.000 --> 02:10.000]  duplication, I don't mind.
[02:10.000 --> 02:12.000]  Give me a second chance to get it right.
[02:12.000 --> 02:13.000]  Yeah, totally.
[02:13.000 --> 02:15.000]  And in a big picture,
[02:15.000 --> 02:16.000]  I was thinking about this.
[02:16.000 --> 02:17.000]  I don't know why,
[02:17.000 --> 02:20.000]  because I guess it's just the way that human mind works,
[02:20.000 --> 02:23.000]  but somehow 10.10 feels like a milestone.
[02:23.000 --> 02:24.000]  You know, it's like 10.
[02:24.000 --> 02:26.000]  Even though it's not, you know,
[02:26.000 --> 02:29.000]  it's actually the 11th major version,
[02:29.000 --> 02:31.000]  and it's the 12th, I guess, that you've reviewed
[02:31.000 --> 02:32.000]  because you did the public beta.
[02:32.000 --> 02:35.000]  How many Mac OS X reviews have you done?
[02:35.000 --> 02:37.000]  So I did developer preview two,
[02:37.000 --> 02:39.000]  developer preview three,
[02:39.000 --> 02:40.000]  developer preview four,
[02:40.000 --> 02:41.000]  or public beta,
[02:41.000 --> 02:42.000]  and then all the releases,
[02:42.000 --> 02:44.000]  and it was also one or two thrown in there
[02:44.000 --> 02:45.000]  that weren't really reviews.
[02:45.000 --> 02:46.000]  It would just like random like,
[02:46.000 --> 02:47.000]  hey, I just went to Macworld,
[02:47.000 --> 02:49.000]  and here's some more stuff you might want to know
[02:49.000 --> 02:51.000]  about Aqua, you know,
[02:51.000 --> 02:53.000]  but if you wanted to go by the releases,
[02:53.000 --> 02:54.000]  I started a DB2,
[02:54.000 --> 02:56.000]  because, yeah, and I don't remember,
[02:56.000 --> 02:58.000]  I think I played with DB1,
[02:58.000 --> 02:59.000]  but I definitely didn't write it up.
[02:59.000 --> 03:02.000]  So I'm thinking about this,
[03:02.000 --> 03:04.000]  and you mentioned this on ATP,
[03:04.000 --> 03:05.000]  I don't want to get all modern,
[03:05.000 --> 03:06.000]  but there's a chance you're thinking
[03:06.000 --> 03:08.000]  that maybe this last one that you just published last week
[03:08.000 --> 03:10.000]  might be the last one you're going to do.
[03:10.000 --> 03:12.000]  You may not do next years.
[03:12.000 --> 03:13.000]  Yeah.
[03:13.000 --> 03:16.000]  I, you know, we can get into that a little bit later,
[03:16.000 --> 03:20.000]  but, you know, just thinking in this nice, even round 10 number.
[03:20.000 --> 03:23.000]  I do think the podcasts in general,
[03:23.000 --> 03:26.000]  and you having been doing one regularly,
[03:26.000 --> 03:31.000]  either ATP or what was your old show called?
[03:31.000 --> 03:33.000]  Hypercritical.
[03:33.000 --> 03:38.000]  It seems like forever,
[03:38.000 --> 03:39.000]  but it's not.
[03:39.000 --> 03:41.000]  When did hypercritical start?
[03:41.000 --> 03:43.000]  I think like 2011, maybe.
[03:43.000 --> 03:44.000]  So it's not that.
[03:44.000 --> 03:47.000]  But to me, there's this huge difference as, you know,
[03:47.000 --> 03:48.000]  and you and I got to know each other.
[03:48.000 --> 03:50.000]  I don't even know when we first started emailing,
[03:50.000 --> 03:52.000]  but it was a long time before we met,
[03:52.000 --> 03:54.000]  but we are at least as email.
[03:54.000 --> 03:56.000]  Before Daring Fireball started,
[03:56.000 --> 03:57.000]  because you were working,
[03:57.000 --> 03:58.000]  you were still working,
[03:58.000 --> 03:59.000]  I've told this story on ATP.
[03:59.000 --> 04:02.000]  You gave me my first copy of BBed it,
[04:02.000 --> 04:04.000]  or whatever the current version was out then.
[04:04.000 --> 04:05.000]  Like previously,
[04:05.000 --> 04:07.000]  I had convinced work to buy it for my work,
[04:07.000 --> 04:09.000]  but you worked at bare bones and said,
[04:09.000 --> 04:10.000]  hey, go, here's a free copy of BBed it.
[04:10.000 --> 04:12.000]  I was like, oh, awesome.
[04:12.000 --> 04:15.000]  I don't wonder I lasted there so long.
[04:15.000 --> 04:18.000]  He's given away this somewhere.
[04:18.000 --> 04:20.000]  Sure fire customers.
[04:20.000 --> 04:22.000]  Yeah, I don't know.
[04:22.000 --> 04:25.000]  We've known each other since before there was even Daring Fireball,
[04:25.000 --> 04:27.000]  and it's, you know,
[04:27.000 --> 04:31.000]  our interests are our common first name.
[04:31.000 --> 04:35.000]  The fact that we're, I think we're exactly the same age,
[04:35.000 --> 04:36.000]  even 1973.
[04:36.000 --> 04:38.000]  Close, you're a year older.
[04:38.000 --> 04:40.000]  I don't look older though.
[04:40.000 --> 04:44.000]  But I feel like the universe was,
[04:44.000 --> 04:46.000]  it was destined for us to know each other somehow.
[04:46.000 --> 04:48.000]  Like it just seems like it,
[04:48.000 --> 04:50.000]  it just seems like no matter what,
[04:50.000 --> 04:52.000]  you know, how the dice had been rolled somewhere,
[04:52.000 --> 04:54.000]  you know, in the intervening years,
[04:54.000 --> 04:56.000]  we were going to get to know each other.
[04:56.000 --> 04:57.000]  It was a small world back then,
[04:57.000 --> 05:00.000]  like for the Mac nerds on the web,
[05:00.000 --> 05:01.000]  it was just like,
[05:01.000 --> 05:03.000]  we were all using IE5
[05:03.000 --> 05:06.000]  and experimenting with CSS and reading Zelda and,
[05:06.000 --> 05:08.000]  like, hoping Apple doesn't go out of business.
[05:08.000 --> 05:10.000]  And before that, we're all reading, you know,
[05:10.000 --> 05:13.000]  Mac Week, what you talked about on the last podcast
[05:13.000 --> 05:15.000]  and Mac user and Mac world.
[05:15.000 --> 05:17.000]  Like it was such a small world.
[05:17.000 --> 05:20.000]  Like if we had both gone to the same Mac world conference,
[05:20.000 --> 05:21.000]  we probably would have bumped into it.
[05:21.000 --> 05:22.000]  Yeah, I think that's almost certain,
[05:22.000 --> 05:24.000]  because it was, it was,
[05:24.000 --> 05:25.000]  they were small and back then.
[05:25.000 --> 05:26.000]  Or it was, you know,
[05:26.000 --> 05:28.000]  you would inevitably meet everybody.
[05:28.000 --> 05:29.000]  You wouldn't have that.
[05:29.000 --> 05:31.000]  Yeah, you would see the same people you're after year.
[05:31.000 --> 05:33.000]  It's not like WWDC,
[05:33.000 --> 05:35.000]  where now it's like so crazy,
[05:35.000 --> 05:36.000]  and you go,
[05:36.000 --> 05:38.000]  and it's like some of your best friends,
[05:38.000 --> 05:39.000]  you don't even see them.
[05:39.000 --> 05:40.000]  And you're like, hey, I didn't even,
[05:40.000 --> 05:42.000]  I didn't even run into some and so.
[05:42.000 --> 05:45.000]  And it's just a very different world.
[05:45.000 --> 05:49.000]  But as someone who's always been a huge fan of your work at ours,
[05:49.000 --> 05:52.000]  these massive book length reviews,
[05:52.000 --> 05:57.000]  it's such a profound change now that you're podcasting.
[05:57.000 --> 06:01.000]  Because it used to be that John Syracuse as a brand
[06:01.000 --> 06:05.000]  was something you got sporadically,
[06:05.000 --> 06:07.000]  almost like on an annual schedule.
[06:07.000 --> 06:09.000]  You had to wait like a year in between,
[06:09.000 --> 06:10.000]  but when you did,
[06:10.000 --> 06:13.000]  it would be like a massive mainline dose.
[06:13.000 --> 06:18.000]  How different it is now that you have a weekly outlet,
[06:18.000 --> 06:20.000]  and we all get plenty of John Syracuse.
[06:20.000 --> 06:22.000]  It's so different.
[06:22.000 --> 06:25.000]  And it's hard to imagine going back to that.
[06:25.000 --> 06:27.000]  Yeah, I had, for a while at ours,
[06:27.000 --> 06:29.000]  when they were doing like staff blogs or whatever,
[06:29.000 --> 06:30.000]  there was a period,
[06:30.000 --> 06:32.000]  and I'm always surprised when I go back and look at it.
[06:32.000 --> 06:35.000]  Like, there was a period where I was blogging,
[06:35.000 --> 06:37.000]  as if you want to call it that,
[06:37.000 --> 06:39.000]  pretty regularly on the staff blog.
[06:39.000 --> 06:41.000]  Like, I'm amazed at the number of things I wrote there.
[06:41.000 --> 06:42.000]  I forget what I even wrote.
[06:42.000 --> 06:43.000]  Like, it's like, you know,
[06:43.000 --> 06:45.000]  it's not the volume that you put out right on a regular basis,
[06:45.000 --> 06:46.000]  but you know how it is,
[06:46.000 --> 06:47.000]  but you can't even remember what the hell you wrote,
[06:47.000 --> 06:48.000]  because it's just too much, right?
[06:48.000 --> 06:49.000]  Yeah, absolutely.
[06:49.000 --> 06:51.000]  And of course I remember all my reviews,
[06:51.000 --> 06:52.000]  because those are big punctuated things,
[06:52.000 --> 06:54.000]  and there's a few special stories in between there
[06:54.000 --> 06:55.000]  and retrospectives,
[06:55.000 --> 06:57.000]  and I did like a game review and all sorts of crap,
[06:57.000 --> 06:59.000]  but I can remember those.
[06:59.000 --> 07:00.000]  But then there was just like,
[07:00.000 --> 07:01.000]  at one point,
[07:01.000 --> 07:05.000]  I was doing one or two pages every couple of weeks for ours,
[07:05.000 --> 07:07.000]  and I look back on that body of work,
[07:07.000 --> 07:08.000]  and I'm happy with it,
[07:08.000 --> 07:09.000]  and I like it.
[07:09.000 --> 07:11.000]  It's just like, it was never,
[07:11.000 --> 07:13.000]  it was, it was neither fish nor foul.
[07:13.000 --> 07:15.000]  It wasn't what I do now,
[07:15.000 --> 07:17.000]  which is just sort of ramble on a weekly basis,
[07:17.000 --> 07:19.000]  where it's just off the cuff or whatever,
[07:19.000 --> 07:22.000]  and it certainly wasn't the big long lead up to a giant,
[07:22.000 --> 07:23.000]  you know, review.
[07:23.000 --> 07:25.000]  It was kind of in between me,
[07:25.000 --> 07:28.000]  and I guess podcasting is totally filled that role now,
[07:28.000 --> 07:30.000]  because I don't have, you know,
[07:30.000 --> 07:33.000]  and plus podcasting have destroyed my ability to blog,
[07:33.000 --> 07:36.000]  not that I had much of an ability to do it to begin with,
[07:36.000 --> 07:39.000]  but I may get back into it if I don't do these big reviews anymore.
[07:39.000 --> 07:42.000]  Yeah, I'm not sure you're meant for it.
[07:42.000 --> 07:43.000]  I don't know.
[07:43.000 --> 07:46.000]  I feel like you've found your thing that is more,
[07:46.000 --> 07:48.000]  it's like, I always say,
[07:48.000 --> 07:50.000]  like to me in everything in life,
[07:50.000 --> 07:51.000]  in this general world,
[07:51.000 --> 07:54.000]  it's the extremes where things are most interesting.
[07:54.000 --> 07:55.000]  Like to me, like at Daring Fireball,
[07:55.000 --> 07:57.000]  the best posts are my linked list ones
[07:57.000 --> 08:00.000]  where I think of just one word to add, or two words,
[08:00.000 --> 08:02.000]  you know, good luck with that, or something like that,
[08:02.000 --> 08:08.000]  or the big long ones, the thousand multi-thousand word pieces.
[08:08.000 --> 08:12.000]  It's when I have a post that's like 300 words,
[08:12.000 --> 08:15.000]  then I know I'm in trouble that I've, you know,
[08:15.000 --> 08:18.000]  I either should be able to make this point much more succinctly
[08:18.000 --> 08:21.000]  or I'm being lazy and I need to go deeper.
[08:21.000 --> 08:24.000]  And I feel like with you, it's, you know,
[08:24.000 --> 08:28.000]  you've found your, you're, you're, I'm not going to spend a lot
[08:28.000 --> 08:31.000]  of time on this format in its podcasting.
[08:31.000 --> 08:33.000]  It's not even that you're not going to spend all the time
[08:33.000 --> 08:35.000]  or it's just sort of more like less prepared.
[08:35.000 --> 08:37.000]  It's like more, more thinking out loud
[08:37.000 --> 08:38.000]  and, you know, going back and forth.
[08:38.000 --> 08:41.000]  And the, the blog format, like if I didn't have an actual
[08:41.000 --> 08:43.000]  regular day job that took my time,
[08:43.000 --> 08:46.000]  I think the thing I like about that is not so much
[08:46.000 --> 08:48.000]  that any individual post is anything special,
[08:48.000 --> 08:50.000]  but that you sort of build up a body of work
[08:50.000 --> 08:52.000]  with like little reference points.
[08:52.000 --> 08:56.000]  Like very frequently I find myself thinking back that,
[08:56.000 --> 09:00.000]  you know, I wish I had something that I could point to
[09:00.000 --> 09:01.000]  about this in podcasting.
[09:01.000 --> 09:04.000]  As you know, it's harder to like, it's harder to ask people
[09:04.000 --> 09:06.000]  to go, oh, go back to this thing and like you have to give them
[09:06.000 --> 09:08.000]  a timestamp and you have to look it up and find out
[09:08.000 --> 09:09.000]  where everything is.
[09:09.000 --> 09:10.000]  Whereas if I could just point to a blog post,
[09:10.000 --> 09:13.000]  oh, I talked about this specific issue in a one-pager
[09:13.000 --> 09:15.000]  and you can get my take on it there.
[09:15.000 --> 09:18.000]  And individual one-pagers, man, not a big deal one or two-pagers,
[09:18.000 --> 09:20.000]  but now that there's, you know, I have a few of them
[09:20.000 --> 09:23.000]  on hypercritical.co, I refer to them frequently
[09:23.000 --> 09:25.000]  and a lot of times I wish the things I had said
[09:25.000 --> 09:26.000]  and worked out in a podcast.
[09:26.000 --> 09:28.000]  Like, I mean, you do the same thing and so does Marco.
[09:28.000 --> 09:31.000]  You know, you either write about it first
[09:31.000 --> 09:33.000]  and talk about it in a podcast or talk about it first
[09:33.000 --> 09:35.000]  and that becomes a post for your websites.
[09:35.000 --> 09:39.000]  And I find it frustrating that I can't point,
[09:39.000 --> 09:43.000]  like the podcasts are so invisible, like they're femoral
[09:43.000 --> 09:45.000]  and then you can't point people into them
[09:45.000 --> 09:47.000]  because it seems like asking more than just having them
[09:47.000 --> 09:50.000]  read a paragraph or two on a web page that you send them.
[09:50.000 --> 09:53.000]  So I do wish I had more time to blog.
[09:53.000 --> 09:55.000]  Who knows if I even, well, I don't know.
[09:55.000 --> 09:57.000]  Like, I'm not forcing myself to do it or whatever,
[09:57.000 --> 10:00.000]  but I think a lot of the reason that, you know,
[10:00.000 --> 10:02.000]  this is kind of where the blog and paneled off.
[10:02.000 --> 10:05.000]  Once the, it always tend to really start coming out yearly,
[10:05.000 --> 10:07.000]  first it was like there would just be a quiet period
[10:07.000 --> 10:08.000]  where I wouldn't write anything
[10:08.000 --> 10:09.000]  because I'm just doing the review
[10:09.000 --> 10:12.000]  and then that quiet period expanded to like fill the whole year
[10:12.000 --> 10:14.000]  and so it was like, well, I guess all I'm doing now
[10:14.000 --> 10:16.000]  is Twitter and worrying about writing my reviews.
[10:16.000 --> 10:18.000]  Yeah.
[10:18.000 --> 10:20.000]  Well said.
[10:20.000 --> 10:25.000]  How do you have you, how many words was your Yosemite review?
[10:25.000 --> 10:27.000]  I think I asked you this last two.
[10:27.000 --> 10:30.000]  It's like the same, you didn't read my about post
[10:30.000 --> 10:32.000]  because you followed too many people on Twitter.
[10:32.000 --> 10:34.000]  It's like the same like this, it was last year.
[10:34.000 --> 10:36.000]  I can't look at the number.
[10:36.000 --> 10:39.000]  It's like 26K, 27K, something like that.
[10:39.000 --> 10:41.000]  Is that a hyper critical?
[10:41.000 --> 10:44.000]  Yeah. Is that a.co.
[10:44.000 --> 10:47.000]  But calm guy wants too much money.
[10:47.000 --> 10:48.000]  Man.
[10:48.000 --> 10:50.000]  Well, that was what we got for the Vesper.
[10:50.000 --> 10:51.000]  We got the.co.
[10:51.000 --> 10:52.000]  Somehow it reads right.
[10:52.000 --> 10:55.000]  I like, somehow there's top level domains
[10:55.000 --> 10:58.000]  or such a weird thing because a, the whole thing is so gross
[10:58.000 --> 11:01.000]  and never should have been exposed to end users anyway.
[11:01.000 --> 11:03.000]  It's like file name extensions.
[11:03.000 --> 11:06.000]  But they've become part of, you know,
[11:06.000 --> 11:08.000]  the world we live in.
[11:08.000 --> 11:11.000] .com is just invisible, right?
[11:11.000 --> 11:15.000]  Somebody has whatever.com and you just,
[11:15.000 --> 11:17.000]  it's like the, the nothing domain.
[11:17.000 --> 11:20.000]  Even though getting a.com is incredible,
[11:20.000 --> 11:22.000]  incredibly difficult because everything,
[11:22.000 --> 11:24.000]  I mean, everything was taken by like the end of the 90s,
[11:24.000 --> 11:26.000]  let alone in the intervening years.
[11:26.000 --> 11:29.000]  Something about.co, which is for people who don't know,
[11:29.000 --> 11:33.000]  it's the nation, Columbia's top level domain.
[11:33.000 --> 11:36.000]  It reads like.com and it's like, you notice it.
[11:36.000 --> 11:37.000]  I always notice it.
[11:37.000 --> 11:40.000]  I always, you know, but it has that same effect
[11:40.000 --> 11:42.000]  of like, you just accept it.
[11:42.000 --> 11:43.000]  Like that's why I couldn't even remember
[11:43.000 --> 11:45.000]  the hyper critical TLD.
[11:45.000 --> 11:48.000]  It's kind of like a, you know, Web 2.0-e,
[11:48.000 --> 11:50.000]  like Flickr where you leave off the R,
[11:50.000 --> 11:52.000]  kind of like com where you leave off the M,
[11:52.000 --> 11:55.000]  kind of tweet sort of precious.
[11:55.000 --> 11:56.000]  It's that version.
[11:56.000 --> 11:58.000]  Maybe it really, I just got it because, you know,
[11:58.000 --> 12:01.000]  all the other extensions were worse.
[12:01.000 --> 12:06.000]  I could get.us, you know,
[12:06.000 --> 12:09.000]  a dot business, not plumbing, whatever.
[12:09.000 --> 12:10.000]  They're so bad.
[12:10.000 --> 12:14.000]  I just, I can't believe some of those.
[12:14.000 --> 12:16.000]  Anyway, if you went to the site,
[12:16.000 --> 12:18.000]  you'll see that this, it's my, like the format
[12:18.000 --> 12:19.000]  I've done for the past three years.
[12:19.000 --> 12:21.000]  It's just like a template and I just changed the numbers,
[12:21.000 --> 12:24.000]  like Mad Libs, and at the bottom they're stats.
[12:24.000 --> 12:26.000]  So 27,000 words.
[12:26.000 --> 12:30.000]  What's the, I think that it's like the average size of a novel
[12:30.000 --> 12:32.000]  is somewhere around 60,000 words.
[12:32.000 --> 12:33.000]  Give or take.
[12:33.000 --> 12:35.000]  So it's, you know, it's truly book length.
[12:35.000 --> 12:38.000]  And yeah, the weird thing to me is that
[12:38.000 --> 12:42.000]  my reviews settled in around this 25, 27K size
[12:42.000 --> 12:44.000]  for the past like three or four.
[12:44.000 --> 12:45.000]  Not through any conscious effort of my own,
[12:45.000 --> 12:47.000]  but it's just, that's how it worked out, you know?
[12:47.000 --> 12:48.000]  Right.
[12:48.000 --> 12:50.000]  It's, you know, it's like that's about how much work
[12:50.000 --> 12:53.000]  they can do on an annual basis on Mac OS X.
[12:53.000 --> 12:57.000]  And it's like, it's more like that's how much I feel like
[12:57.000 --> 12:59.000]  I can or should write.
[12:59.000 --> 13:01.000]  Because there's more I could write about it every time.
[13:01.000 --> 13:03.000]  I always feel like I basically ran out of time
[13:03.000 --> 13:05.000]  and I would like to hold giant sections,
[13:05.000 --> 13:07.000]  but I always like, I prioritize them.
[13:07.000 --> 13:09.000]  I say, well, yeah, I'm interested in that.
[13:09.000 --> 13:12.000]  And I think I could write another few thousand words about it,
[13:12.000 --> 13:15.000]  but would the value it adds to the review
[13:15.000 --> 13:18.000]  and the interest it adds to your would be worth the time I put in,
[13:18.000 --> 13:20.000]  you know, and how much time I've got scheduled for this
[13:20.000 --> 13:22.000]  because really, even though I have so much lead up time to it,
[13:22.000 --> 13:24.000]  it's still kind of compresses at the end.
[13:24.000 --> 13:25.000]  Because there's only so much you can write about
[13:25.000 --> 13:28.000]  when things don't work and they're broken in a beta.
[13:28.000 --> 13:29.000]  And Apple hasn't made final decisions.
[13:29.000 --> 13:31.000]  You gotta, you know, the final bits have to come down
[13:31.000 --> 13:33.000]  and then you have to scramble.
[13:33.000 --> 13:38.000]  Hmm.
[13:38.000 --> 13:42.000]  So if we added them all together, what is it?
[13:42.000 --> 13:45.000]  And I know that the sizes are different for some of the old ones,
[13:45.000 --> 13:48.000]  but it's about 15 reviews, right?
[13:48.000 --> 13:50.000]  If we're talking about the 11th numbered version
[13:50.000 --> 13:53.000]  and you said you did DP2, DP3, DP4.
[13:53.000 --> 13:55.000]  So it's 14 or 15.
[13:55.000 --> 13:58.000]  It's an enormous body of work.
[13:58.000 --> 13:59.000]  It really truly is.
[13:59.000 --> 14:02.000]  And I know that it's not one single piece of work
[14:02.000 --> 14:04.000]  that if you read them all back to back,
[14:04.000 --> 14:07.000]  there's some sort of repetition that would be going on
[14:07.000 --> 14:09.000]  because they follow a certain formula.
[14:09.000 --> 14:13.000]  Um, but I do think I think it's such a,
[14:13.000 --> 14:15.000]  it's such an interesting testimony to have
[14:15.000 --> 14:17.000]  and that like 20 years from now,
[14:17.000 --> 14:19.000]  when the youngans take over,
[14:19.000 --> 14:22.000]  that they'll be out there for them to, to look at
[14:22.000 --> 14:25.000]  and remember, you know, where things are.
[14:25.000 --> 14:26.000]  That's what all people like to think,
[14:26.000 --> 14:28.000]  but young people won't give it to him.
[14:28.000 --> 14:30.000]  They already don't.
[14:30.000 --> 14:33.000]  Yeah, they don't look back on our great works and tremble.
[14:33.000 --> 14:37.000]  Right. How often would we refer to a similarly detailed
[14:37.000 --> 14:39.000]  review of System 2 from 1985?
[14:39.000 --> 14:43.000]  Right. Or that it, you know, the Apple 2 OS's or anything like
[14:43.000 --> 14:46.000]  that are, you know, somewhere somebody would need it though.
[14:46.000 --> 14:48.000]  The thing that's brutal for me though,
[14:48.000 --> 14:50.000]  if I ever go back and look at those old ones,
[14:50.000 --> 14:52.000]  I just, I can't stand it just like it's terrible.
[14:52.000 --> 14:53.000]  I mean, I don't know if you feel the same way,
[14:53.000 --> 14:55.000]  but like I go up to look at my early writing
[14:55.000 --> 14:57.000]  I'm like, holy cow, this is bad.
[14:57.000 --> 15:00.000]  And bad in all ways, like I guess I knew,
[15:00.000 --> 15:02.000]  like it was, it was certainly more casual back then
[15:02.000 --> 15:06.000]  and I was a worse writer and the combination of the two was just,
[15:06.000 --> 15:08.000]  and really, I don't know.
[15:08.000 --> 15:10.000]  Like we didn't know what was important and what wasn't
[15:10.000 --> 15:14.000]  the things I focused on or just seem inane and I have a lot of
[15:14.000 --> 15:15.000]  difficult, a lot of people ask like,
[15:15.000 --> 15:17.000]  oh, you're going to go back and collect all these together
[15:17.000 --> 15:19.000]  into one big thing, the most painful part of it would be
[15:19.000 --> 15:21.000]  that if I was to do that and you start reading it,
[15:21.000 --> 15:24.000]  you're going to start reading it from stuff I wrote in 1999
[15:24.000 --> 15:25.000]  that I think is not good.
[15:25.000 --> 15:27.000]  She's not good.
[15:27.000 --> 15:31.000]  I mean, like I hope I always feel that way.
[15:31.000 --> 15:33.000]  I kind of feel that way, like, you know,
[15:33.000 --> 15:36.000]  get to a certain point and I just think everything I write
[15:36.000 --> 15:38.000]  is crap as soon as I write it and this, you know,
[15:38.000 --> 15:39.000]  I just make it as good as I can
[15:39.000 --> 15:41.000]  and time allotted and move on, but it's like programming.
[15:41.000 --> 15:43.000]  Like if I don't, if I don't look back at the code,
[15:43.000 --> 15:45.000]  I'm writing this year, like 10 years from now,
[15:45.000 --> 15:46.000]  if I don't look back at the code and writing this year
[15:46.000 --> 15:48.000]  and think it sucks, that means I'm not improving.
[15:48.000 --> 15:50.000]  Right, I can totally see that.
[15:50.000 --> 15:54.000]  I look back, I did learn this and there's a,
[15:54.000 --> 15:57.000]  I, I'm going to, I'm going to get it wrong.
[15:57.000 --> 16:00.000]  I think it was, there's one of the great titans
[16:00.000 --> 16:03.000]  of modern computer science, either Kernigan or Ritchie
[16:03.000 --> 16:05.000]  or one of those, you know, Bell Labs guys who said something
[16:05.000 --> 16:09.000]  about that debugging is twice as hard as programming.
[16:09.000 --> 16:14.000]  And so if you write code as cleverly as you possibly can,
[16:14.000 --> 16:17.000]  you'll never be able to debug it because you'll need,
[16:17.000 --> 16:20.000]  you know, you need that in the like twice as great.
[16:20.000 --> 16:22.000]  You need to, you need to write your own code like,
[16:22.000 --> 16:25.000]  like you're a half with so that when you debug it
[16:25.000 --> 16:28.000]  or when you, for me, personally it's when I return to it
[16:28.000 --> 16:31.000]  that I can understand what the hell is going on.
[16:31.000 --> 16:33.000]  Yeah, I, I know that saying, and I understand the sense
[16:33.000 --> 16:35.000]  but behind it, but the logic in the same makes no sense
[16:35.000 --> 16:37.000]  and it's mostly BS in the details.
[16:37.000 --> 16:41.000]  But in broad strokes, trying to say the idea is that, you know,
[16:41.000 --> 16:44.000]  later you will come back to your own code and not understand it
[16:44.000 --> 16:46.000]  and that is entirely true.
[16:46.000 --> 16:48.000]  And so what he's trying to say is to mitigate that,
[16:48.000 --> 16:51.000]  don't try to, don't make your life harder
[16:51.000 --> 16:55.000]  by doing things that are difficult to understand even now
[16:55.000 --> 16:56.000]  when you're in the midst of it.
[16:56.000 --> 17:01.000]  Right. And it totally informed my use of comments is my comments.
[17:01.000 --> 17:04.000]  I used to, I used to only rap, of course,
[17:04.000 --> 17:08.000]  because I was teenager and early 20s.
[17:08.000 --> 17:11.000]  And so of course I didn't want to write any comments at all.
[17:11.000 --> 17:14.000]  And I only did it because when like my CS professors,
[17:14.000 --> 17:16.000]  you know, you had to, if you submitted your work
