[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[05:03.080 --> 05:09.080]  Right, and I think that that feedback that instantaneous access to people is compelling. I have a
[05:10.040 --> 05:12.040]  I'm gonna thinking about this like
[05:12.680 --> 05:15.960]  What does it do? What is the purpose? I mean, I don't know what the purpose is
[05:16.280 --> 05:18.120]  I don't know whether they're gonna be able to monetize it
[05:18.120 --> 05:20.600]  I don't know whether it's a fad. You know, I don't know any of that stuff
[05:20.600 --> 05:25.480]  I'm not trying to predict the future on that, but it does seem interesting to me as a sort of empathy machine
[05:26.040 --> 05:29.320]  Because when you see produced video of a person
[05:29.320 --> 05:30.520]  There's a disconnect
[05:30.520 --> 05:34.840]  You know stuff that's something is not live. It's not immediate and I think that snapchat
[05:35.080 --> 05:39.880]  Mircatt vine a lot of these things that are producing sort of raw or content
[05:40.920 --> 05:47.720]  Those are kind of all along the lines of these empathy machines where they create a feeling of empathy with the person that you're watching and the person
[05:47.720 --> 05:53.480]  That's viewing and so that's an interesting thing to me whether or not it'll last I don't know, but that's that's kind of
[05:54.120 --> 06:01.240]  Something to watch. I think it seems to me my first take I'm late to pick this up like I said
[06:01.240 --> 06:05.320]  I don't even signed up for it yesterday. I think or maybe the day before but
[06:07.240 --> 06:09.800]  It and I get when did it come out like last week
[06:10.760 --> 06:12.520]  Yeah, it's it's kind of a long story
[06:12.520 --> 06:16.040]  They had they had this other thing and then they they stopped doing it because they had a lot of problems
[06:16.040 --> 06:18.760]  But this was an offshoot of that and a couple of weeks ago
[06:19.320 --> 06:22.920]  They put it on product hunt and it just kind of took off from product hunt
[06:23.480 --> 06:24.760]  and a bunch of the
[06:24.760 --> 06:28.120]  Technorati started using it and then you know because that it's
[06:29.160 --> 06:35.080]  It's sort of an incestuous Twitter group everybody started grabbing it and watching with the streams and then creating their own
[06:35.320 --> 06:36.520]  Because like I said, it's one tap
[06:36.520 --> 06:42.280]  So once you open the app you can start streaming immediately. There's no complicated setup now, and it's you know
[06:42.280 --> 06:47.640]  It it does seem like a typical valley venture play because surely that
[06:48.520 --> 06:49.560]  The
[06:49.560 --> 06:53.080]  All this free streaming is costing them money. I mean streaming is not cheap
[06:54.760 --> 07:01.080]  Right, right. Absolutely. It's not it's it's got to take us a nice backbone of server architecture to
[07:01.640 --> 07:04.680]  Execute and Twitter just actually bought an
[07:05.240 --> 07:09.320]  Unlaunched sort of version of me or cat called periscope
[07:09.320 --> 07:15.640]  We we heard that they'd bought it a we could go and I guess somebody else just confirmed it yesterday or whatever
[07:15.880 --> 07:17.880]  But it's it's very
[07:18.440 --> 07:21.800]  Interesting in terms of a Twitter accessory, you know, yeah
[07:22.360 --> 07:26.840]  Well, but that's interesting too though that they Twitter just bought somebody who does the same thing because to me
[07:26.840 --> 07:30.680]  It seems as though mirror cats play is to get bought by Twitter
[07:31.560 --> 07:33.560]  Right because right
[07:33.560 --> 07:38.600]  It's and I don't blame them like in some sense in some ways putting the business aside
[07:38.600 --> 07:43.960]  And who's gonna buy whether you're hoping to IPO or whether you're hoping that's Twitter buys you or somebody it's
[07:44.760 --> 07:50.120]  It's very interesting to me that the one and only way to sign into the thing is Twitter that they're completely
[07:50.440 --> 07:53.640]  Building it as a I mean, and who knows they might change that in the future
[07:53.640 --> 07:57.320]  But at least right now it is completely built on the back of Twitter
[07:57.960 --> 08:03.320]  And like you said the the replies go out as tweets everything is a public conversation
[08:03.320 --> 08:10.120]  Outside of Maricat on Twitter other than the stream itself, which is in Maricat. Yeah, and I think they did that
[08:10.120 --> 08:13.080]  I think the founder said something I was watching a little thread with them
[08:13.080 --> 08:13.960]  I didn't ask him personally
[08:13.960 --> 08:19.480]  But he said that they did it that way because their previous product which was also a streaming product of some sort
[08:20.280 --> 08:25.800]  They had a lot of problems with trolling, you know with people streaming and then people jumping on their creating
[08:25.800 --> 08:27.800]  user names or whatever and and being
[08:27.800 --> 08:34.120]  Acidic or or you know crappy to people streaming and so they they said that the public conversation
[08:35.000 --> 08:39.960]  Actually worked better people were more on on point. I believe you know
[08:40.440 --> 08:47.000]  But and also it also sort of puts the onus on Twitter to handle the creation of throwaway spam accounts
[08:47.800 --> 08:55.480]  Yeah, it's actually know that something Twitter obviously has to be doing anyway. It's not certainly not like they're adding to Twitter's burden
[08:55.480 --> 09:03.800]  No, no, I mean they it's a smart move to offload any of the complexities of creating a commenting structure or
[09:04.200 --> 09:08.040]  Account management to another network as long as your model
[09:09.000 --> 09:11.640]  Isn't hurt by the fact that you're not owning your network
[09:12.200 --> 09:13.880]  And so that's as you mentioned
[09:13.880 --> 09:15.960]  That's one of the key things. It's like what are they trying to do?
[09:16.040 --> 09:22.120]  Well, it seems like they need to be sort of held in the bosom of a larger thing unless they figure out a way
[09:22.120 --> 09:27.880]  To monetize it that doesn't remove the simplicity, you know, what are you gonna do in your cat with like
[09:28.280 --> 09:32.360]  Sponsored by such and such layered over the top of it. I don't know maybe, you know
[09:35.320 --> 09:38.360]  So you did a mere cat from outside the event
[09:39.080 --> 09:43.880]  Yeah, I did yeah, so I pop why I did actually one kind of inside the event just before it
[09:44.520 --> 09:49.160]  You know, they typically get kind of angry at you if you stream the stuff because they're already streaming it or whatever
[09:49.160 --> 09:53.960]  So I just did a little bit before the event to let people see what what was going on inside there
[09:53.960 --> 09:59.000]  And then a little bit from the demo room, and you know kind of let people walk around and and and then I did
[09:59.320 --> 10:03.960]  Did a question Q&A afterwards in the st. Regis, which is
[10:05.160 --> 10:08.920]  Across the street and it was just sat in the lobby there and answered a bunch of questions people
[10:09.640 --> 10:15.080]  Were tweeting me about like the watch and the laptop and stuff just trying to stream a consciousness it. Yeah
[10:15.080 --> 10:24.040]  Yeah, yeah, how many people do you get watching us? Uh, like the the final Q&A did I think I got like 250 or so Wow, that's pretty good
[10:24.760 --> 10:29.160]  Yeah, I mean as a fraction of people as remember this is a synchronous thing, right?
[10:29.640 --> 10:33.640]  It's you cannot it's not asynchronous in any way she performed people have to be fully dedicated
[10:34.360 --> 10:36.600]  Their whole iPhone screen is given over to you
[10:36.680 --> 10:42.200]  This is why by the way these VCs are or salivating right and looking at these apps and going like oh my god, you know
[10:42.200 --> 10:44.760]  Because you're you're actually reaching out and taking over
[10:45.320 --> 10:50.440]  Somebody's complete attention and their entire screen of their iPhone anytime you can do that. I mean
[10:51.000 --> 10:56.680]  That's that's insane, you know, I think that the next five years is going to be a
[10:57.960 --> 11:00.200]  Transition and it's already started yeah, it's to me
[11:00.200 --> 11:06.040]  It started with Instagram when Instagram started iPhone only and that's you know years ago at this point
[11:06.040 --> 11:13.240]  Um, but I feel like Instagram was so far ahead of its time in terms of going app only to launch
[11:13.640 --> 11:19.640]  And I feel like the next five years is going to be a transition in that direction and not even just phone only
[11:19.640 --> 11:23.240]  I mean clearly eventually, you know, you could go watch only at this point
[11:23.240 --> 11:26.280]  I mean as we'll get into over the course of the show, but that
[11:27.240 --> 11:34.680]  Doing a website and making it a web service that anybody can just go to you know, I guess it would be meerkat.com or whatever is
[11:34.680 --> 11:38.920]  A old way of thinking and not that it's a bad not that it's bad
[11:39.480 --> 11:45.000]  And not that there won't be in the future brand new things that start as websites and have success in their appropriate
[11:45.000 --> 11:50.040]  It's just that there are certain ideas and concepts that work
[11:50.920 --> 11:54.040]  Better or best or maybe even only as an app
[11:55.640 --> 11:59.800]  Yeah, yeah, I absolutely agree. I think you're you're sort of unlocking
[11:59.800 --> 12:05.160]  I would have to say most of it is around is built around context, right?
[12:05.480 --> 12:11.800]  Because the mobile device offers there's only really one context for web and that's that somebody's looking at their computer screen
[12:12.280 --> 12:15.480]  Whereas the context for mobile is a lot of things your location
[12:16.120 --> 12:22.440]  Your speed your the weather like there's lots of other things that are coming into play when you have a mobile device
[12:22.440 --> 12:26.920]  It could be literally anywhere in the world at any altitude above the surface of the planet
[12:26.920 --> 12:31.400]  You know or below and all of a sudden you've got a lot of a lot more variety of stuff
[12:31.560 --> 12:35.720]  You know what if somebody's creates a version of mere cat just for spelunkers, right?
[12:36.200 --> 12:39.320]  Oh, I you know, I love spelunking. I want to watch the spelunking
[12:39.960 --> 12:44.120]  Channel, well, it's no longer a channel on a website. It's a that's a bespoke app
[12:44.520 --> 12:46.920]  You know just watching spelunkers go down in caves
[12:47.240 --> 12:50.760]  And I think that there's gonna be a lot of interesting stuff like that whether or not those will scale
[12:50.920 --> 12:53.800]  I don't know, you know, but the other thing too
[12:53.800 --> 12:59.960]  And I think you touched on this a few minutes ago is that it's like with LTE and it's pervasiveness and it's
[13:00.440 --> 13:05.160]  Relative incredible speed is just how far we've come so quickly like
[13:06.120 --> 13:07.640]  You know eight
[13:07.640 --> 13:11.000]  Seven years ago when we had the original iPhone it
[13:11.800 --> 13:13.800]  Didn't even do video
[13:14.200 --> 13:17.800]  And let alone have a front-facing camera had one camera shooting in the back
[13:17.800 --> 13:28.200]  Didn't do video peer-head and had edge cellular networking which really struggled even to load complex webpages
[13:29.880 --> 13:33.560]  And seven years later people are streaming live
[13:34.680 --> 13:39.960]  High definition video from this from the secondary camera on the device
[13:41.080 --> 13:45.480]  Yeah, I mean, and it's it's really good. I mean the video quality is pretty solid
[13:45.480 --> 13:50.360]  I mean, there are some finicky stuff. There's some finicky stuff about it. I think they need to improve but it's
[13:50.920 --> 13:53.240]  I mean, I've watched streams obviously and it's
[13:54.200 --> 13:59.880]  Transportive, you know, you're you're there and that is insane the fact that we can
[14:00.520 --> 14:07.480]  And I've walked around with it and moved and I remember I remember with video streaming they went to this whole period where
[14:08.440 --> 14:09.400]  the
[14:09.400 --> 14:16.440]  Bandwidth was so poor on cellular but just enough but but too poor to really support it
[14:16.440 --> 14:20.280]  Where you would get this bursty thing where it was just like oh, you know, well, it's fine
[14:20.280 --> 14:24.120]  And then it's really really bad for 10 minutes and that that would kill it, right?
[14:24.120 --> 14:27.320]  You would be like I'm not gonna watch this. This is annoying, you know, it's stuttery or whatever
[14:27.560 --> 14:31.080]  So any if any one of those little factors doesn't work then live streaming doesn't work
[14:31.480 --> 14:36.440]  So now we've got all the kind of pieces so it'll be interesting to see if it actually explodes this time. Yeah
[14:36.440 --> 14:38.440]  Yeah
[14:38.440 --> 14:43.560]  I think I'm it definitely caught my eye and the design of the app did too like it is
[14:44.360 --> 14:46.440]  Like you said, it's one tap and to me
[14:46.760 --> 14:50.360]  I know it's like you think like well, they're you know, they have a simple ID it's
[14:50.600 --> 14:57.240]  It's really hard to get there design wise to get into that you can do something like that like this the more brain dead simple
[14:57.880 --> 15:02.760]  Stupid something looks the harder it was to get from the original idea down to that
[15:02.760 --> 15:06.440]  You know one button away from streaming simplicity
[15:07.080 --> 15:10.840]  Right one of the indicators that I see of how easy it is
[15:10.920 --> 15:11.880]  It's actually funny
[15:12.200 --> 15:17.080]  But I've seen this a lot because I've been kind of watching it as I picked it up a couple weeks ago and then and have been
[15:17.160 --> 15:23.960]  Investating other stories about other similar setups as I've been I've been kind of monitoring which people join and when they start streaming
[15:24.600 --> 15:30.200]  And I've noticed that almost everybody you didn't because I got the push notification for you joining
[15:30.200 --> 15:34.840]  But because it basically uses your Twitter network. So you're I'm gonna get a notification for anybody
[15:34.840 --> 15:37.240]  I follow on Twitter joining it, right? Right, but
[15:38.120 --> 15:44.600]  I noticed that almost everybody joins and then immediately starts streaming and I'm convinced it's because they think there's more steps
[15:45.400 --> 15:47.400]  And they hit the stream button
[15:47.880 --> 15:52.840]  And they just start streaming and by the time I see the notification and then I go in they've already stopped
[15:53.320 --> 15:56.120]  And I have an adding to ask somebody who does it next time they do it
[15:56.120 --> 16:01.160]  Did you just do it because you thought there'd be like more setup or more steps? And I think it's because
[16:01.640 --> 16:04.360]  They go, oh, there's got to be more and they just hit the stream button to see
[16:04.360 --> 16:07.720]  Oh, what do I have to do to set this up and boom their cameras on and they're like, oh
[16:07.960 --> 16:09.080]  They shut it off
[16:09.080 --> 16:10.360]  But it's a funny thing too
[16:10.360 --> 16:13.560]  Well, not even funny, but just interesting and to me, you know
[16:14.360 --> 16:18.200]  I'd be shocked if they don't come out with an Android version sooner rather than later
[16:18.200 --> 16:21.480]  I mean I but but going iOS first
[16:21.480 --> 16:26.440]  You in addition to being able to piggyback off Twitter and the social
[16:28.280 --> 16:35.560]  Graph as they call it the social graph that you already inherit by by using that as your thing and yet you don't have to create your own user account system
[16:35.560 --> 16:37.560]  And you don't have to police your own
[16:37.560 --> 16:47.560]  Spam account thing etc, etc, but by going on iOS you also get to piggyback off the built-in support for Twitter account system wide and so you don't
[16:47.560 --> 16:53.400]  You don't have to type your password you just say hey mere cat wants to use your Twitter account is that all right
[16:53.960 --> 16:59.640]  Yes use this Twitter account that I've already configured and you're in and that is huge too
[17:00.120 --> 17:02.600]  Because even if you have a shitty password even if you're not
[17:03.160 --> 17:10.760]  You know doing the right thing and having you know uppercase and lowercase and numbers and punctuation and and all sorts of stuff
[17:10.760 --> 17:16.040]  And it still is always a pain in the ad. It's even a pain in the ass to type in a shitty password truth be told
[17:16.040 --> 17:21.880]  And they totally get to skip that in terms of just getting people on on board
[17:23.160 --> 17:28.520]  Right and that that conversion rate goes way up when you have that access like any shopping cart
[17:28.600 --> 17:33.160]  You know if you're logged into Amazon you're much more likely to buy toilet paper or whatever than if you're not logged in
[17:33.160 --> 17:36.760]  You have to find your password. It's just the same concept. Yeah, and then the well
[17:36.760 --> 17:39.400]  I'm even thinking like just to say somebody's following you and
[17:40.040 --> 17:41.880]  Maybe they've heard of mere cat whatever
[17:41.880 --> 17:46.440]  But then they see that you say you're tweeting from the Apple event and they're like oh shit
[17:46.440 --> 17:49.560]  I would like to see that he's not even goofing around right now. This is something
[17:50.200 --> 17:53.080]  Follow the link download the app launch the app
[17:53.640 --> 17:57.000]  Boom, you're in like you can and like you said it's it's synchronous
[17:57.160 --> 17:59.000]  You know you have to you're you're doing this live
[17:59.400 --> 18:06.680]  But even somebody who hadn't even downloaded the app could catch in and jump into your stream and I would honestly say a minute
[18:06.680 --> 18:11.800]  Right like give it 30 seconds for the app to download and 30 well they have a web experience
[18:11.800 --> 18:14.840]  So they do have a web version. It just doesn't you can't comment
[18:15.000 --> 18:18.680]  You can't see all the stuff, but you can see you can watch the stream on the web
[18:18.760 --> 18:23.960]  So they did provide a web viewer like a barebones viewer, but it runs on flash and it's not great
[18:24.040 --> 18:28.120]  So it's sort of the access a teaser, but yeah, I think you're right
[18:28.120 --> 18:30.520]  I think you could within a minute download the app
[18:31.160 --> 18:34.920]  Log in because of obviously it's pre-logged in for you essentially
[18:34.920 --> 18:38.840]  We just opt in and then start watching the stream
[18:39.000 --> 18:42.520]  Absolutely, yeah, as long as somebody didn't shut down the stream within a minute you'd be watching them
[18:42.520 --> 18:48.760]  Yeah, I think that a lot of people who are gonna join are gonna do it at some point when they see oh here's a stream
[18:48.760 --> 18:55.160]  I'm actually interested in starting right now. I better jump in and you can do it and because of the
[18:55.800 --> 18:58.680]  You know the fact that they're piggybacking off the system
[18:59.880 --> 19:02.600]  User, you know Twitter accounts and etc etc
[19:02.600 --> 19:06.680]  All right, let me take a break before we start talking about the event and
[19:08.840 --> 19:14.760]  I want to talk about our first sponsor. It's our good friends at igloo
[19:15.560 --> 19:23.160]  igloo is an internet you'll actually like you can share news organize your files coordinate calendars and manage projects
[19:23.640 --> 19:26.840]  All in one place their latest upgrade Viking
[19:26.840 --> 19:35.960]  Like the football team from Minnesota Viking revolves around documents and how you interact with them gather feedback and make changes
[19:35.960 --> 19:37.960]  They've even added the ability to track
[19:38.600 --> 19:42.120]  Who has read critical information to keep everyone on the same page?
[19:42.520 --> 19:47.400]  So if you've got like a document that needs approval or needs everybody to sign off on it
[19:47.480 --> 19:50.840]  You can mark it so that hey show me who's seen it and then when you post it
[19:51.720 --> 19:53.720]  To igloo you will get
[19:53.720 --> 19:58.280]  Like effectively read read receipts for who's seen it if you want it
[19:58.600 --> 20:02.440]  It's like read receipts in your email or an iMessage, but less annoying
[20:03.320 --> 20:09.640]  And it helps you track whether your colleagues have read or acknowledged policies to sign off on legal agreements or
[20:10.520 --> 20:14.280]  You know anything like that confirmed the completion of training materials. Whatever
[20:15.560 --> 20:21.800]  If your company if your team has a legacy internet that looks like it was built in the 90s and it probably does
[20:21.800 --> 20:26.440]  You should give igloo a try you can sign up for a free trial
[20:27.240 --> 20:31.640]  Up to 10 people use it for free at igloo software dot com
[20:32.360 --> 20:33.480]  slash
[20:33.480 --> 20:36.280]  TTS like the talk show TTS
[20:36.760 --> 20:41.000]  I think you can also use slash the talk show and that will work as well
[20:41.400 --> 20:43.400]  So my thanks to igloo
[20:43.400 --> 20:48.440]  If you have a team you need an internet go check them out at igloo software dot com slash TTS
[20:48.440 --> 20:51.160]  So the event Monday
[20:51.960 --> 20:53.960]  Mm-hmm. What do you think overall?
[20:55.800 --> 20:59.240]  I thought it was good. I mean there are several standout things for me
[20:59.240 --> 21:02.200]  I mean I think that as usual when they have
[21:02.920 --> 21:06.200]  Said something before and they say it again. Like this happens a lot at WWDC
[21:06.200 --> 21:10.040]  You get a lot of the whole rehashed stuff and people kind of tune out
[21:10.040 --> 21:14.280]  You know until they somebody says something new so there was some of that going on with the watch stuff
[21:14.280 --> 21:20.360]  But I think that there were several key things obviously leading with research kit was a very a big curve ball
[21:20.840 --> 21:21.880]  and I think
[21:21.880 --> 21:24.840]  Anybody in my feed and and people in our back channel were
[21:25.480 --> 21:31.480]  Were definitely like what what what are we talking about? What is this and I think that that was a
[21:32.040 --> 21:35.560]  Smart move to kind of start with that and and say hey
[21:35.560 --> 21:40.520]  We're gonna talk about this cool thing. We're doing instead of maybe at the end where everybody's like, oh, yeah, whatever
[21:40.520 --> 21:42.520]  You obviously put this at the end because nobody cares, right
[21:42.520 --> 21:49.320]  So I think that was interesting the whole research kit thing is I think in an enormous long-term project
[21:49.320 --> 21:51.160]  I thought it was a research kit
[21:51.160 --> 21:53.160]  I number one it was interesting in and of itself
[21:53.160 --> 21:56.040]  But it was interesting in so far is that it completely
[21:56.920 --> 21:58.920]  went against the
[21:58.920 --> 22:00.920]  last two months narrative of
[22:01.400 --> 22:04.840]  Apple is totally backing away from health monitoring and
[22:05.560 --> 22:08.440]  all this like health and you know fitness
[22:08.440 --> 22:13.960]  Trackings to stuff. Mm-hmm. Yeah, I did fly in that face
[22:14.440 --> 22:18.200]  Flying the face of that stuff and I don't think that wasn't calculated
[22:18.680 --> 22:21.560]  If that if that makes sense, I think they probably definitely
[22:22.440 --> 22:27.560]  Acknowledge that it was going on and knew that it was going on and and it didn't hurt that that was right up front
[22:28.120 --> 22:30.920]  The big thing to me obviously when he said it was open-sourced
[22:30.920 --> 22:35.080]  I think everybody kind of was like whoa, you know, and they didn't necessarily expect that
[22:35.080 --> 22:41.160]  But in hindsight, it makes complete sense. So research kit is this framework that allows
[22:42.040 --> 22:44.200]  organizations like hospitals to do
[22:46.040 --> 22:53.960]  Patient research on conditions like Parkinson's and other other conditions and gather feedback essentially from those patients as far as the
[22:54.440 --> 22:56.440]  symptoms and their
[22:56.440 --> 22:58.440]  reactions to treatments and
[22:58.520 --> 23:00.520]  That's a that's an enormous
[23:00.520 --> 23:05.960]  You know, I hesitate to see market, but it's an enormous opportunity. I guess for for hospitals
[23:08.040 --> 23:10.040]  Yeah, it's it's definitely
[23:10.680 --> 23:15.240]  It's clear just from how much time they spent on it in the event that it's a major initiative
[23:15.320 --> 23:18.040]  And it really does seem as though, you know, it's
[23:18.600 --> 23:22.360]  It's all new territory. There's never been anything like this before
[23:23.240 --> 23:30.360]  No, and there the difference they did say this in the keynote that a lot of the research on this is done with very small sample
[23:30.360 --> 23:34.600]  sizes. Yeah, it's done on paper and a lot of stuff like that. And that's all accurate
[23:34.600 --> 23:36.680]  I talked to some people about this and
[23:37.320 --> 23:41.400]  You know, they're they're incredibly excited. You know people that are in this field in the medical field
[23:41.400 --> 23:44.600]  They're like whoa, you know, this is it's gonna be awesome because yeah
[23:45.160 --> 23:49.320]  The iPhone is still a demo right iPhone owners. That's still a demographic
[23:49.720 --> 23:57.240]  So you're not necessarily getting the absolute you know broadest spectrum, but it's way more than a thousand people with pieces of paper
[23:57.240 --> 24:02.600]  You know, so that's it's gonna be back. I think yeah, and with the regarding the open source
[24:02.600 --> 24:05.960]  I saw a lot of cynicism in that regard
[24:07.320 --> 24:10.840]  specifically hardening back to the announcement of FaceTime
[24:12.360 --> 24:15.000]  That's gonna buy that's gonna come back to light them over and over
[24:16.360 --> 24:18.360]  When was that to 2010
[24:18.760 --> 24:22.440]  2010 2011 I don't yeah, I think I don't remember exactly
[24:22.440 --> 24:29.160]  You know, obviously Steve Jobs was still alive because it was Steve Jobs who announced that and we're going to make it an open protocol
[24:29.160 --> 24:33.080]  I don't think he said open source. I think he said we're gonna make it an open protocol
[24:34.920 --> 24:42.600]  So that you know, everybody you know other phone makers could or computer makers whoever could make FaceTime compatible software
[24:43.160 --> 24:45.160]  And obviously that didn't happen
[24:46.120 --> 24:49.960]  Yeah, the quote was we're going to the standards bodies starting tomorrow
[24:49.960 --> 24:57.080]  We're going to make FaceTime an open industry standard. Okay. That was in 2010. That's WWE. So there's a lot of people are like so
[24:57.080 --> 24:59.080]  Yeah, but there's a little bit of movement
[24:59.480 --> 25:04.520]  Right after FaceTime, but so the here's the thing this truly is one of those like
[25:05.400 --> 25:07.080]  Things are different without Steve Jobs
[25:07.640 --> 25:11.080]  Like I've said to people on Twitter Steve Jobs was impetuous
[25:11.560 --> 25:17.720]  And I know for a fact that the FaceTime team found out that they were gonna take it to open standards bodies
[25:17.720 --> 25:20.520]  Exactly when we did when it was announced
[25:21.320 --> 25:26.360]  Like that's brutal. That was something that Steve Jobs decided during rehearsals
[25:27.000 --> 25:29.560]  The week prior to the announcement
[25:29.560 --> 25:34.440]  He was like why not you know, let's do this and didn't talk to the lawyers didn't talk to the team
[25:34.440 --> 25:38.840]  So the source code nothing was written with the idea that it would be an open standard and
[25:40.520 --> 25:45.400]  That I know and then this I don't know, but it's I'm pretty sure
[25:45.400 --> 25:47.720]  Having talked to people over the years about it that
