[00:00.000 --> 00:01.160]  Let's do something unusual.
[01:26.800 --> 01:28.200]  Oh, man.
[01:28.200 --> 01:30.360]  He was absolutely amazing.
[01:30.360 --> 01:32.000]  The outtake, I like the movie.
[01:32.000 --> 01:33.480]  I love the Between Two Thirds.
[01:33.480 --> 01:39.680]  That's Zach Galifianakis' not really fake talk show or interview show.
[01:39.680 --> 01:40.960]  It is real interviews.
[01:40.960 --> 01:44.600]  Hillary Clinton famously did it before the 2016 election.
[01:44.600 --> 01:45.600]  A lot of good at dinner.
[01:45.600 --> 01:47.840]  But maybe, who knows, maybe it helped.
[01:47.840 --> 01:53.440]  But real people with Zach Galifianakis asking absolutely,
[01:53.440 --> 01:55.200]  absurd questions.
[01:55.200 --> 01:56.400]  And very rude.
[01:56.400 --> 01:56.960]  Right.
[01:56.960 --> 01:57.840]  Very rude.
[01:57.840 --> 02:02.000]  And then they made a motion picture of it, which was, it was okay.
[02:02.000 --> 02:03.200]  I thought it was okay too, yeah.
[02:03.200 --> 02:03.600]  Yeah.
[02:03.600 --> 02:04.880]  I enjoyed it well enough.
[02:04.880 --> 02:06.480]  The outtakes were actually.
[02:06.480 --> 02:08.320]  But the outtakes are absolutely the best.
[02:09.440 --> 02:12.640]  It's worth renting, even if you like get into the movie.
[02:12.640 --> 02:14.000]  I don't love the movie.
[02:14.000 --> 02:15.200]  I might just stop.
[02:15.200 --> 02:17.200]  Skip ahead to the credits because they're amazing.
[02:17.200 --> 02:17.520]  Yeah.
[02:17.520 --> 02:19.280]  It's just seeing him break.
[02:19.280 --> 02:22.800]  That's always my favorite part of Saturday Night Live where they break
[02:22.800 --> 02:24.720]  form and start, you know, they can't control themselves.
[02:24.720 --> 02:25.680]  They're laughing so hard.
[02:25.680 --> 02:30.800]  And just seeing him start cracking up and then apologize.
[02:30.800 --> 02:32.320]  Just like, I'm so sorry.
[02:36.000 --> 02:39.840]  Ask Brie Larson if her parents' breakup was her fault.
[02:39.840 --> 02:40.340]  Yeah.
[02:44.240 --> 02:47.520]  Anyway, in the news, we've got Apple results.
[02:47.520 --> 02:54.720]  We've got new betas of macOS 12.3 and iOS 15.4 coming out and anything else.
[02:54.720 --> 02:55.200]  I don't know.
[02:55.200 --> 02:58.000]  I guess we should start with the results because they had one thing.
[02:58.000 --> 03:02.000]  I think that you've been on the show at some point shortly after results before.
[03:02.000 --> 03:07.920]  And I always say, if one thing savvy investors always do is tune into this podcast for their.
[03:07.920 --> 03:09.680]  For their results information.
[03:09.680 --> 03:10.180]  Yeah.
[03:10.480 --> 03:12.720]  Five minute results information.
[03:12.720 --> 03:17.200]  But it is, it's like my quick takeaway that I wrote on Darren Fireball is if you can
[03:17.200 --> 03:23.760]  have as the most profitable company and biggest by market cap in the world, a boring record
[03:23.760 --> 03:28.560]  breaking quarter, Apple has been doing it pretty consistently.
[03:28.560 --> 03:28.720]  Yeah.
[03:28.720 --> 03:29.760]  And I was thinking about that.
[03:29.760 --> 03:36.080]  We used to hang on these results a lot and now they just seem like a non-event to a certain
[03:36.080 --> 03:36.720]  degree.
[03:36.720 --> 03:42.320]  Obviously, sometimes it's a big deal and various things can happen, but I don't feel
[03:42.320 --> 03:46.240]  like it's as dire as it used to be.
[03:46.240 --> 03:50.640]  And maybe that's, that was still a hangover from the days when we thought that Apple might
[03:50.640 --> 03:51.840]  go out of business at some point.
[03:52.560 --> 03:55.280]  I do think what comes up must come down.
[03:55.280 --> 03:58.880]  Eventually Apple is going to not be the biggest company in the world.
[03:58.880 --> 03:59.440]  They will.
[04:00.480 --> 04:02.880]  Is it a five-year thing, a 10-year thing?
[04:02.880 --> 04:08.000]  Is it after you and I are dead 25, 30 years from now, but it will happen, right?
[04:08.000 --> 04:12.400]  I mean, you know, the East India trading company is not that big a deal anymore.
[04:12.400 --> 04:13.600]  How were their results this week?
[04:13.600 --> 04:18.560]  I don't know if they've announced them yet, but it's going to change eventually.
[04:18.560 --> 04:25.520]  But in the near term, it is hard to see how Apple's, they really seem to have a very
[04:26.800 --> 04:29.360]  consistent and solid business.
[04:29.360 --> 04:34.640]  Like their primary things that are driving revenue and profit, the devices, iPhone and
[04:34.640 --> 04:40.560]  iPad and Mac and AirPods and watches and the services is growing.
[04:40.560 --> 04:45.760]  And it's, there just is not that much cyclical fluctuation like there were in times past.
[04:45.760 --> 04:49.680]  And I can't help but think too, that how long are we?
[04:49.680 --> 04:51.760]  We're like, what, just past?
[04:51.760 --> 04:56.240]  Yeah, it was, we were just celebrating Tim Cook's 10 years as CEO, I believe.
[04:56.240 --> 04:58.960]  Yeah, so the end of 2021.
[04:58.960 --> 05:02.560]  So, you know, it's a whole decade, which is a long run.
[05:02.560 --> 05:09.200]  But it's like towards the latter few years of this decade of Tim Cook as CEO, the company
[05:09.200 --> 05:13.360]  has taken more and more of his personality, in my opinion.
[05:14.240 --> 05:21.200]  And in the way that it's like, obviously, what we think of with Steve Jobs and Apple
[05:21.200 --> 05:24.640]  were his product decisions and his taste in the products.
[05:24.640 --> 05:25.760]  And Tim Cook doesn't do that.
[05:25.760 --> 05:29.600]  He doesn't try to, he never pretends like, hey, I'm the genius who's going to come up
[05:29.600 --> 05:30.880]  with the next big thing.
[05:30.880 --> 05:31.200]  Right.
[05:31.200 --> 05:34.080]  But it's like his personality, what is his personality?
[05:34.080 --> 05:40.960]  It's like competent, smart, consistent, and that's the company now, like the company.
[05:40.960 --> 05:47.120]  And I just think about little things, like, remember when Jobs was CEO, I forget what
[05:47.120 --> 05:53.760]  year it was, but there was like a somewhat serious stock option scandal, controversy,
[05:54.480 --> 05:55.040]  where they'd...
[05:56.800 --> 05:58.560]  They backdated a bunch of stock ins for him.
[05:58.560 --> 05:58.960]  Right.
[05:58.960 --> 06:03.840]  They, and for other executives, I think, but I think it was for him too, but it was
[06:03.840 --> 06:08.480]  fishy, you know, and you just say backdated stock options and you already think that doesn't
[06:08.480 --> 06:10.480]  even, that already sounds like it's fishy.
[06:10.480 --> 06:14.960]  It just sort of a fast and loose approach to dealing with it.
[06:14.960 --> 06:18.960]  And it seemed like the long story short of, hey, can we do this?
[06:18.960 --> 06:21.120]  And like, somebody was like, I don't know if we should do this.
[06:21.120 --> 06:22.800]  And they're like, well, Steve says to do it.
[06:22.800 --> 06:23.520]  And they're like, okay.
[06:25.040 --> 06:26.640]  And that's how they got into trouble.
[06:26.640 --> 06:28.800]  Nobody went to jail and they worked it out.
[06:28.800 --> 06:30.720]  And I don't know if they paid a fine or whatever.
[06:30.720 --> 06:35.360]  I can't remember the guy's name, the guy who was the CFO at the time, but he retired
[06:36.080 --> 06:37.280]  not long after that.
[06:37.280 --> 06:40.320]  And I think he ended up, he might've gotten fined or something like that.
[06:41.520 --> 06:45.040]  I probably shouldn't say that because maybe that's not true, but I feel like he was at
[06:45.040 --> 06:45.840]  least interviewed.
[06:46.400 --> 06:48.720]  Like there were some definite concerns about what happened.
[06:48.720 --> 06:53.360]  I'll find a link to the back dating option scandal and we don't have to talk about it.
[06:53.360 --> 06:54.320]  Is it Anderson?
[06:54.320 --> 06:54.720]  Is that the guy?
[06:54.720 --> 06:55.040]  Yeah.
[06:55.040 --> 06:56.000]  It wasn't his name.
[06:56.000 --> 06:56.640]  Yeah.
[06:56.640 --> 06:56.800]  Yeah.
[06:56.800 --> 06:57.200]  That's it.
[06:57.200 --> 06:57.920]  Fred Anderson.
[06:57.920 --> 06:58.400]  Fred.
[06:58.400 --> 06:58.640]  Yeah.
[06:58.640 --> 07:02.880]  He looked like a Fred.
[07:02.880 --> 07:09.600]  I would say in the same way, many people have made this joke, but if you live in Great Britain
[07:09.600 --> 07:17.840]  and you name your son Jeeves, the kid is probably going to grow up to be a manservant or a butler,
[07:17.840 --> 07:18.960]  whatever you call it.
[07:18.960 --> 07:20.640]  You know, I mean, what else has he got?
[07:20.640 --> 07:23.760]  I say, I like a CFO named Fred.
[07:25.680 --> 07:27.600]  Just saying it's a good name for a CFO.
[07:27.600 --> 07:28.720]  It's got the F.
[07:28.720 --> 07:30.000]  It was Fred Anderson.
[07:30.000 --> 07:31.120]  I got it right.
[07:31.120 --> 07:31.520]  Yeah.
[07:31.520 --> 07:33.120]  It wasn't shocking, though.
[07:33.120 --> 07:34.000]  They're going to work it out.
[07:34.000 --> 07:34.880]  It's not that big a deal.
[07:34.880 --> 07:36.880]  It doesn't seem like anybody actually stole anything.
[07:36.880 --> 07:40.320]  It just seems like they didn't dot every I, cross every T, and you're not supposed to
[07:40.320 --> 07:45.280]  do what they did, and you can pay a fine or throw one employee under the bus and you keep
[07:45.280 --> 07:45.840]  going.
[07:45.840 --> 07:48.400]  So yeah, the SEC filed a complaint against him.
[07:48.400 --> 07:50.000]  But it wasn't shocking, right?
[07:50.000 --> 07:54.080]  No, and it wasn't that unusual at the time either, really.
[07:54.080 --> 07:56.240]  There were lots of companies that were doing the same.
[07:56.240 --> 07:57.600]  It's not right.
[07:57.600 --> 07:59.280]  You're not supposed to do it.
[07:59.280 --> 08:02.880]  But there were a number of companies that were doing it during that period.
[08:03.520 --> 08:07.200]  But if it happened under Tim Cook, wouldn't it be it would be shocking?
[08:07.200 --> 08:07.760]  Yes.
[08:07.760 --> 08:09.440]  Yeah, it would be much more shocking.
[08:09.440 --> 08:13.920]  And it's just that he is more of a, I don't know, how would you describe it?
[08:13.920 --> 08:19.280]  Not by the book, but that sort of makes it seem like he's conservative in, you know,
[08:19.280 --> 08:20.720]  lowercase C conservative.
[08:21.280 --> 08:22.880]  And I don't think he is.
[08:22.880 --> 08:26.560]  It's just not in his personality to play fast and loose.
[08:27.200 --> 08:31.360]  Whatever the opposite of fast and loose is, that's Tim Cook.
[08:31.360 --> 08:32.720]  And he's more careful.
[08:32.720 --> 08:35.760]  If he's going to break the rules, he's going to make sure that he covers.
[08:37.200 --> 08:40.960]  And I just think that it just shows in the company's results.
[08:40.960 --> 08:46.000]  They famously had very consistent profit margins, but under Steve Jobs, they had bad
[08:46.000 --> 08:47.120]  quarters and good quarters.
[08:47.120 --> 08:48.640]  And the company was different too.
[08:48.640 --> 08:56.000]  If Jobs hadn't had cancer and had lived longer, it's quite possible that under Steve
[08:56.000 --> 09:00.320]  Jobs still as CEO or as the chairman of the board with Tim Cook as CEO, but still
[09:00.320 --> 09:05.200]  with Steve Jobs around, the company would have gotten more consistent in this way
[09:05.200 --> 09:07.040]  anyway, as they grew bigger.
[09:07.040 --> 09:10.000]  They're so much bigger than they were when Steve Jobs died.
[09:10.000 --> 09:14.960]  It's just absolutely mind boggling how much more money they make and how many
[09:14.960 --> 09:17.600]  more of everything they sell.
[09:17.600 --> 09:25.120]  I look at these results, and it's like huge mind boggling sums of money, and it's
[09:25.120 --> 09:27.600]  just very consistent and somehow predictable.
[09:27.600 --> 09:36.400]  Yeah, I think Microsoft used to get dinged for shuffling around revenue between
[09:36.400 --> 09:40.560]  quarters, like trying to move revenue back and forth in order to smooth out their
[09:40.560 --> 09:41.200]  revenue.
[09:41.200 --> 09:46.800]  And I wouldn't be surprised that Apple does something similar, but much more careful
[09:46.800 --> 09:51.120]  than probably less hamfisted than maybe the Microsoft was doing it.
[09:51.120 --> 09:54.880]  One of the things that they talked about in the conference call was the fact that
[09:54.880 --> 09:59.440]  iPad sales were down, but they blamed constraints.
[09:59.440 --> 10:01.120]  They blamed part constraints, right?
[10:01.120 --> 10:02.640]  Yeah, component constraints.
[10:02.640 --> 10:07.200]  Yeah, but also at the same time, there was that story a few months back about the
[10:07.200 --> 10:10.160]  fact that they were repurposing iPad chips for iPhones.
[10:10.960 --> 10:15.200]  So in a way, I mean, that's a constraint, but you decided that the constraint was
[10:15.200 --> 10:17.120]  going to be on iPads rather than on iPhones.
[10:17.120 --> 10:22.400]  I do think, too, iPad is of the three computing platforms.
[10:22.400 --> 10:27.200]  And I know that Apple Watch is actually a little Unix computer, and there's actually
[10:27.200 --> 10:30.080]  little Unix computers in your AirPods.
[10:30.080 --> 10:31.840]  I mean, everything's a computer now.
[10:31.840 --> 10:35.920]  But the three that we think of as personal computing devices, the phone, iPad, and Mac,
[10:35.920 --> 10:46.400]  iPad has always been weird in its like chart of unit sales and revenue.
[10:46.400 --> 10:52.560]  It's like it had these crazy first handful of go-go years where as a nine-month-old
[10:52.560 --> 10:58.800]  product or as a 18-month-old product, it was ahead of the iPhone from when the iPhone
[10:58.800 --> 11:00.720]  was nine months old or 18 months old.
[11:00.720 --> 11:05.840]  From introduction to now, for years, first a couple of years, the iPad was ahead of
[11:05.840 --> 11:06.640]  the iPhone.
[11:06.640 --> 11:12.480]  And I'll admit to buying into maybe it's just so many more people have been exposed
[11:12.480 --> 11:15.920]  to Apple who never really thought about buying Apple stuff.
[11:15.920 --> 11:20.720]  Maybe this line will keep going, and it's just always going to stay ahead of the iPhone
[11:20.720 --> 11:22.640]  and the iPad's going to be the bigger deal.
[11:23.280 --> 11:24.880]  Turns out that wasn't the case.
[11:24.880 --> 11:30.640]  And eventually, it went from like 20 million per quarter down to like 10 million, 9 million.
[11:30.640 --> 11:33.040]  They don't release unit sales anymore.
[11:33.040 --> 11:34.320]  They just release revenue.
[11:34.320 --> 11:36.160]  But it was weird.
[11:36.160 --> 11:37.520]  It like cut in half.
[11:37.520 --> 11:43.600]  And I really do think it was a simple explanation, which is that iPads last forever.
[11:44.240 --> 11:47.120]  You don't abuse them like you do your phone physically.
[11:47.120 --> 11:48.240]  You don't tend to drop them.
[11:48.240 --> 11:49.360]  They're not in your pocket all the time.
[11:49.360 --> 11:50.960]  They don't go everywhere with you.
[11:50.960 --> 11:57.440]  And what people tend to do on an iPad, it doesn't matter if it's four years old or
[11:57.440 --> 11:57.920]  five years old.
[11:57.920 --> 11:58.240]  Right.
[11:58.240 --> 12:02.320]  Like people just find four or five-year-old iPads to be just as good as the day they
[12:02.320 --> 12:06.240]  bought them, and maybe they'd be pleasantly surprised if somebody replaced their regular
[12:06.240 --> 12:08.160]  coffee with Folgers crystals.
[12:08.160 --> 12:09.360]  Somebody came in and said,
[12:09.360 --> 12:13.520]  ha, the iPad you've been using is actually the new iPad Air.
[12:13.520 --> 12:16.240]  And they'd be like, huh, I thought my home button disappeared.
[12:18.720 --> 12:23.120]  Yeah, I think I roll mine over about as often as I roll my Macs over, I would say.
[12:23.120 --> 12:25.360]  Yeah, and I keep my Macs for years and years, too.
[12:25.360 --> 12:28.480]  I've got like the first 11-inch iPad Pro.
[12:28.480 --> 12:30.240]  Actually, I have it right here with my show notes.
[12:30.240 --> 12:32.960]  So it's like from 2018?
[12:32.960 --> 12:34.560]  Yeah, that's the one I have.
[12:34.560 --> 12:38.320]  I've even reviewed newer ones, because they send them to me and I write reviews.
[12:38.320 --> 12:39.520]  And it's, yeah, these are nice.
[12:39.520 --> 12:45.680]  And I still can't think of a damn thing that would be any better or faster than this.
[12:45.680 --> 12:52.160]  Well, I'm sure you did this as well, but Jason Snell every year asks for people to
[12:52.160 --> 12:53.360]  do a report card.
[12:53.360 --> 12:55.600]  I'll spoil mine a little bit, but for Apple.
[12:55.600 --> 13:01.040]  And the thing that I said about the iPad was the new iPad mini is the coolest device that
[13:01.040 --> 13:04.320]  I just simply have absolutely no reason to buy.
[13:04.320 --> 13:07.680]  I really want one, but I am not going to use it.
[13:07.680 --> 13:13.600]  I have my 11-inch Air, or not Air, 11-inch Pro, and I'm not going to, there's no reason
[13:13.600 --> 13:14.320]  for me to buy that.
[13:14.320 --> 13:18.480]  And yet every once in a while, I'll go onto the website and just look at it and think,
[13:18.480 --> 13:19.520]  ah, man, that'd be cool to have.
[13:20.080 --> 13:22.160]  It was worse for me because they sent me one.
[13:22.160 --> 13:27.680]  I had to review you and I really did enjoy it, but it really did feel to me.
[13:27.680 --> 13:33.040]  I feel like my, I was actually, I actually put this in the show notes that somebody,
[13:33.680 --> 13:39.440]  R. Stevens reminded me that the iPad was introduced 12 years ago, I think yesterday.
[13:39.440 --> 13:41.440]  What was his, he had a little quip about it.
[13:42.000 --> 13:44.480]  Yeah, I think he said he'd only owned three.
[13:44.480 --> 13:46.000]  I've only, I've owned three.
[13:46.000 --> 13:48.000]  I'm still not entirely sure what they're for.
[13:49.360 --> 13:51.120]  And that's still how I feel.
[13:51.120 --> 14:00.800]  Like I still feel like I depend on, need, and love both my iPhone and my MacBook Pro.
[14:01.520 --> 14:08.800]  And if I really could only have one, recreationally, I'd rather have the iPhone, but for work,
[14:08.800 --> 14:10.240]  I'd rather have the MacBook Pro.
[14:10.240 --> 14:14.480]  If I could, if I were sentenced to prison and they said, but you can take one device
[14:14.480 --> 14:16.960]  with you, I would take the MacBook Pro.
[14:16.960 --> 14:22.960]  But both of them feel essential to me and the iPad feels to me like this is very nice
[14:22.960 --> 14:25.200]  to have and I enjoy using it for long.
[14:25.200 --> 14:29.760]  I really enjoy using it to read like a long article or even like an ebook or something
[14:29.760 --> 14:32.080]  like that, but I don't need it.
[14:32.080 --> 14:32.960]  That's interesting.
[14:32.960 --> 14:38.160]  If you included the iPad in that question, like if you could only have one, I might pick
[14:38.160 --> 14:45.440]  the iPad because the iPad with the magic keyboard is pretty good and does most everything and
[14:45.440 --> 14:48.800]  it's more portable and lets me, there's some, there's still some, I guess there's probably,
[14:48.800 --> 14:53.200]  I'm sure you could do it through the website maybe, but like HBO Max and some other ones.
[14:53.200 --> 14:57.680]  And even Amazon just came out with a viewer thing for, not just, but maybe a month or
[14:57.680 --> 14:59.280]  two ago, for the Mac.
[14:59.280 --> 15:04.880]  But it was a little skippy for me when I watched something using their viewer on the Mac and
[15:04.880 --> 15:06.800]  it's much more smooth on the iPad.
[15:06.800 --> 15:09.040]  So I just prefer watching stuff on the iPad.
[15:09.040 --> 15:10.080]  Yeah, that's true.
[15:10.080 --> 15:10.560]  That's true.
[15:10.560 --> 15:11.840]  If you could stream.
[15:11.840 --> 15:12.240]  Yeah.
[15:12.240 --> 15:14.480]  It depends if I wanted to work or be entertained.
[15:14.480 --> 15:17.120]  And it is, if I'm going to jail, I think I want to be entertained.
[15:17.120 --> 15:18.240]  Yeah, what the hell with this?
[15:18.240 --> 15:20.800]  Somebody else, the hell with my family.
[15:20.800 --> 15:22.640]  I'm not writing this website while I'm in prison.
[15:23.920 --> 15:24.800]  Take care of yourselves.
[15:25.600 --> 15:27.280]  I'll be back in five to 10.
[15:27.280 --> 15:34.240]  But it would be preposterous for me to both keep my 11 inch 2018 iPad Pro and get an iPad
[15:34.240 --> 15:39.120]  mini, like, just like a dessert on my dessert device.
[15:39.120 --> 15:44.160]  It doesn't, it just doesn't have a role for me and I don't need to replace my iPad.
[15:44.160 --> 15:48.400]  And if I did replace my iPad, I really would rather have one that's big enough to have
[15:48.400 --> 15:49.520]  a magic keyboard.
[15:49.520 --> 15:52.080]  And so it's not, but it is an adorable device.
[15:52.080 --> 15:58.080]  And I've always loved the form factor of the iPad mini for many, most of the early years
[15:58.080 --> 15:58.960]  of iPad.
[15:58.960 --> 16:01.840]  My personal iPad wasn't mini and I really enjoyed it.
[16:01.840 --> 16:06.080]  Here, let me take a break and we'll get back to the results, but I'll take a break here
[16:06.080 --> 16:08.480]  and thank our first sponsor, our good friends at Linode.
[16:08.480 --> 16:15.280]  Oh, man, go to linode.com slash the talk show and see why Linode has been voted the top
[16:15.280 --> 16:22.720]  infrastructure as a service provider by both G2 and trust radius Linode award winning support
[16:22.720 --> 16:29.200]  offered 24 hours a day, seven days a week, 365 days a year to every level of user.
[16:29.200 --> 16:33.440]  Even if you're on like a five dollar, ten dollar a month account, you still get their
[16:33.440 --> 16:36.640]  award winning tech support, their ease of use and set up.
[16:36.640 --> 16:41.600]  It is clear why developers and people hosting websites have been trusting Linode for projects,
[16:41.600 --> 16:42.880]  both big and small.
[16:42.880 --> 16:48.960]  Since 2003, almost 20 years of Linode, you can deploy your entire application stack with
[16:48.960 --> 16:55.920]  their one click app marketplace or build it all from scratch and manage everything yourself
[16:55.920 --> 16:58.720]  with supported centralized tools like Terraform.
[16:58.720 --> 17:04.800]  They offer amazing the best price to performance value for all compute instances, including
[17:04.800 --> 17:11.360]  GPUs, block storage, Kubernetes and their upcoming bare metal release.
[17:11.360 --> 17:14.880]  They make cloud computing fast, simple and affordable, allowing you to focus on your
[17:14.880 --> 17:17.760]  projects, not your infrastructure.
[17:17.760 --> 17:21.920]  So visit linode.com slash the talk show Linode.
[17:21.920 --> 17:23.440]  That's where I host during Fireball.
[17:23.440 --> 17:26.080]  I would do that even if they weren't sponsoring the podcast.
[17:26.080 --> 17:26.640]  I love them.
[17:26.640 --> 17:31.040]  And you can create a free account at linode.com slash the talk show.
[17:31.040 --> 17:36.640]  You can use your Google ID, your GitHub account, or just use your email address to create a
[17:36.640 --> 17:37.600]  free account.
[17:37.600 --> 17:42.640]  And by going there to linode.com slash the talk show, you get $100 in credit, $100 bucks.
[17:44.160 --> 17:48.080]  So iPad sales were down like 14% year over year, quarter to quarter.
[17:48.080 --> 17:54.000]  I didn't realize there were some things I looked up the last time I was on CNBC for
[17:54.000 --> 17:58.640]  one of those little three minute things that I like three minutes of torture for me.
[17:58.640 --> 18:00.640]  I don't know why I ever agreed to do it.
[18:00.640 --> 18:02.480]  I get so stressed out, but I looked up.
[18:02.480 --> 18:08.480]  I remember it was like right after a bunch of the fall October devices came out and it
[18:08.480 --> 18:12.560]  was like the Apple watch was already back ordered into late November.
[18:12.560 --> 18:16.960]  It feels and again, I think it's one of those like Tim Cook things.
[18:16.960 --> 18:18.960]  We just take Tim Cook for granted.
[18:18.960 --> 18:24.800]  The things that he's the best at and operations and the supply chain stuff for all of the
[18:24.800 --> 18:30.160]  hand wringing that everybody around the world went through for supply chain constraints
[18:30.160 --> 18:35.600]  and shipping boats that were backed up outside Los Angeles, waiting for room at the harbor
[18:35.600 --> 18:37.200]  because everything got all backed up.
[18:37.200 --> 18:39.520]  Most in a canal stuck in a canal, right?
[18:39.520 --> 18:45.440]  Somebody actually, that's exactly what would happen by the way, if I ever got, if they
[18:45.440 --> 18:47.200]  ever said, group, take the wheel.
[18:47.200 --> 18:47.920]  Oh my God.
[18:47.920 --> 18:48.960]  And I'd say, are you sure?
[18:48.960 --> 18:50.960]  And they'd say, yeah, five minutes.
[18:50.960 --> 18:52.320]  What could go wrong?
[18:52.320 --> 18:53.120]  Five minutes.
[18:53.120 --> 18:54.080]  Just take the wheel.
[18:54.080 --> 18:55.040]  I got to hit the head.
[18:55.040 --> 18:56.320]  I'll be back in five minutes.
[18:56.320 --> 18:57.760]  Next team appointed straight.
[18:57.760 --> 19:00.800]  Yeah, next thing, you know, you're in a canal.
[19:00.800 --> 19:01.520]  What could go wrong?
[19:02.080 --> 19:04.080]  I've blocked the Suez canal.
[19:04.080 --> 19:04.880]  That would happen.
[19:04.880 --> 19:05.600]  I guarantee it.
[19:05.600 --> 19:08.400]  I cannot, did you ever drive a rental moving truck?
[19:09.440 --> 19:10.080]  Oh yeah.
[19:10.080 --> 19:10.800]  One time.
[19:10.800 --> 19:13.120]  Oh God, it must've been 1999.
[19:13.920 --> 19:20.080]  Amy was moving from Pittsburgh back to Philadelphia and me and a friend were going to rent a truck
[19:20.080 --> 19:26.640]  here in Philadelphia and then drive out to Pittsburgh, load up her stuff and then hit
[19:26.640 --> 19:27.440]  right back.
[19:27.440 --> 19:31.600]  It's, you know, about a five hour drive, maybe a little longer in a rental truck.
[19:31.600 --> 19:33.920]  They don't go, they don't go my speed.
[19:33.920 --> 19:34.320]  No.
[19:34.320 --> 19:39.520]  So a long day, five hours, one way load up a truck, five hours the other way, unload
[19:39.520 --> 19:40.080]  the truck.
[19:40.080 --> 19:43.200]  It was going to be a long day, but better to knock it out.
[19:43.200 --> 19:49.440]  Anyway, I go into morning, I pick up the rental truck and pull out of the lot and it's, I
[19:49.440 --> 19:50.800]  got to make a right-hand turn.
[19:51.520 --> 19:54.880]  And I took the right-hand turn at a light a little too close.
[19:55.520 --> 19:56.400]  Boom hit.
[19:56.400 --> 19:59.120]  I could hear it, the tire hit the, hit the curb, curb.
[20:00.000 --> 20:05.200]  And by the time I got to the next corner, I could tell I'd blew the tire right out of
[20:05.200 --> 20:05.600]  the lot.
[20:05.600 --> 20:06.160]  No.
[20:06.160 --> 20:09.280]  So I just went around the block pulled right back into the budget.
[20:09.280 --> 20:10.000]  It was a budget.
[20:10.560 --> 20:12.480]  And I said, Hey, what's the deal?
[20:12.480 --> 20:13.760]  You gave me a lousy tire.
[20:14.320 --> 20:15.680]  You gave me a button tire.
[20:15.680 --> 20:17.360]  And the guy is like, Oh, I'm sorry.
[20:17.360 --> 20:18.000]  I'm so sorry.
[20:18.000 --> 20:21.840]  Cause he was the same guy who just gave me the keys about four minutes before.
[20:21.840 --> 20:22.720]  I was like, what the hell?
[20:22.720 --> 20:23.760]  I got to get to Pittsburgh.
[20:23.760 --> 20:24.160]  He's hold on.
[20:24.160 --> 20:25.280]  Let me see what else I got.
[20:25.280 --> 20:28.640]  It gives me another truck, but this one didn't look the same.
[20:28.640 --> 20:32.240]  This one was a number is Suzu.
[20:32.240 --> 20:33.680]  They don't, you don't hear about a Suzu.
[20:33.680 --> 20:34.000]  Oh yeah.
[20:34.000 --> 20:35.120]  Whatever happened to that company?
[20:35.120 --> 20:35.600]  No, I know.
[20:35.600 --> 20:36.720]  I thought about them the other day.
