[00:00.000 --> 00:00.840]  Do you have one?
[11:03.080 --> 11:05.520]  lighting issue with the old firmware you're saying.
[11:06.080 --> 11:08.840]  Yeah, well, but I still feel like the new firmware, that's why earlier I
[11:08.840 --> 11:11.960]  said it looks a lot better to me, but I still feel like they can tweak that
[11:11.960 --> 11:17.640]  more and that there's still a bit of a color saturation light adjustment that
[11:17.640 --> 11:18.160]  can be made.
[11:18.160 --> 11:18.560]  I don't know.
[11:18.560 --> 11:20.880]  There's something still in the picture that just feels a little off to me.
[11:21.160 --> 11:21.960]  It is funny.
[11:22.000 --> 11:26.480]  Ben Thompson and I mentioned it on dithering the other day, but it is funny
[11:26.480 --> 11:31.800]  doing an audio podcast where we're talking about purely visual image quality
[11:31.800 --> 11:36.600]  things, so you'll have to play along with us, but I think the biggest thing
[11:36.600 --> 11:43.600]  I see, and I'm bad at talking about details like this, like I'm also really
[11:43.600 --> 11:45.800]  bad at like describing food.
[11:45.880 --> 11:50.840]  Like I could never be a restaurant critic because I'm just really, really
[11:50.840 --> 11:56.800]  bad at, if I get a dish that I really love, like, Oh my God, this is great.
[11:57.000 --> 11:59.840]  Every single time we come to this restaurant, I'm just going to order this.
[11:59.840 --> 12:02.440]  I don't even care what else is on the menu because this is so good.
[12:03.040 --> 12:06.440]  I couldn't tell you why I couldn't describe what it is that they've done to
[12:06.440 --> 12:06.520]  it.
[12:06.520 --> 12:10.240]  You know, I just know that I like it, which does not make for good criticism.
[12:10.680 --> 12:13.120]  You know, I'm sort of like that with image quality.
[12:13.120 --> 12:17.280]  I'm a little bit, I could talk about it a little bit better than I can with food.
[12:17.600 --> 12:23.000]  To me, it's, it's a con still a contrast issue, especially with skin tones.
[12:23.440 --> 12:23.720]  Yeah.
[12:23.720 --> 12:26.320]  The skin tone is really where you can tell exactly.
[12:26.600 --> 12:26.880]  Yeah.
[12:26.880 --> 12:33.240]  It's, it still looks very flat to me, so I will, I absolutely I will link to at
[12:33.240 --> 12:34.640]  least three different things.
[12:34.640 --> 12:36.960]  Jason Snell's piece, which is terrific.
[12:37.280 --> 12:42.280]  Definitely because the, the thing Snell has that makes it, it's like, there's
[12:42.280 --> 12:47.120]  no point in me spending hours taking example pictures side by side, because
[12:47.120 --> 12:48.920]  I only have one studio display here.
[12:49.320 --> 12:53.800]  And the thing Snell has going on is he still has his review unit.
[12:53.800 --> 12:58.680]  He also has the one that he ordered for himself, because unlike me, he
[12:58.680 --> 13:04.400]  ordered one immediately as opposed to waiting and allowing the backlog
[13:04.400 --> 13:06.160]  to grow to like eight to 10 weeks.
[13:06.200 --> 13:10.440]  So he updated the one that he, I guess the one that he owns, I forget which one
[13:10.440 --> 13:14.440]  he did, but anyway, he's got two identical studio displays, one of which is running
[13:14.480 --> 13:19.320]  the firmware from a month ago that everybody agreed was even Apple agreed,
[13:19.360 --> 13:22.440]  had a bug, had glitches and the new one.
[13:22.440 --> 13:25.920]  So, and he could take side-by-side images in the same lighting and then
[13:25.920 --> 13:27.440]  what, what more could you ask for?
[13:27.800 --> 13:28.360]  No, it was great.
[13:28.360 --> 13:32.000]  What he did was he actually updated his display, the one he bought, and he kept
[13:32.000 --> 13:35.320]  the stock firmware and the review units that way you could have them side by
[13:35.320 --> 13:37.320]  side, truly running different firmwares.
[13:37.320 --> 13:37.840]  It was great.
[13:38.040 --> 13:39.760]  But I might've, I might've done it the other way.
[13:39.800 --> 13:45.640]  Just risk, risk the beta firmware on Apple's, but what's the difference?
[13:45.640 --> 13:46.160]  You know what I mean?
[13:46.480 --> 13:47.320]  But it's all good.
[13:47.360 --> 13:48.400]  It's a great comparison.
[13:48.400 --> 13:49.280]  It's a great comparison.
[13:49.360 --> 13:49.840]  Right.
[13:49.840 --> 13:55.280]  And, and the thing that was confounding originally was that Apple admitted, they
[13:55.280 --> 13:59.240]  said, and it's funny what they will talk about and what they won't, usually what's
[13:59.360 --> 14:03.520]  inside a sealed device they don't, sometimes they're very secretive about,
[14:04.040 --> 14:08.040]  but they, you know, told everybody, you know, it's, it's in the tech specs that
[14:08.040 --> 14:10.480]  the studio display has the A13 chip.
[14:11.160 --> 14:16.440]  And they told, I don't think it's advertised as such, but they told people
[14:16.440 --> 14:22.320]  in the media that the camera system for the webcam is the same camera hardware
[14:22.320 --> 14:29.080]  as the front facing camera in the new iPad air and last year's iPad pros,
[14:29.640 --> 14:35.880]  which is, it's kind of easy to know which, which iPads have this camera system.
[14:35.960 --> 14:39.400]  It's all the ones that support center stage, right?
[14:39.400 --> 14:46.360]  Because center stage is this feature that the front camera is ultra wide.
[14:46.360 --> 14:48.520]  Not just wide, it's like almost fisheye.
[14:48.680 --> 14:53.920]  If you just took the pure image and center stage uses, you know, software
[14:53.920 --> 15:00.160]  intelligence to identify people within this ultra wide fisheye frame and crop
[15:00.760 --> 15:07.600]  to where the face is, or if two people join to expand the frame to include both
[15:07.600 --> 15:11.800]  people, including, you know, if one person is sitting and one standing over their
[15:11.800 --> 15:19.200]  shoulder and it'll, you know, dynamically pan the crop on this ultra wide image
[15:19.440 --> 15:26.440]  sensor to hopefully keep the subjects in frame and generally does a good job of
[15:26.440 --> 15:27.640]  that on the iPad.
[15:27.720 --> 15:31.960]  And so they said it has the same cameras, equal, you know, the same camera
[15:31.960 --> 15:38.160]  hardware as the, the new iPad, but clearly you could take a picture of yourself.
[15:38.240 --> 15:39.120]  I did it.
[15:39.120 --> 15:39.880]  Other people did it.
[15:39.880 --> 15:44.560]  It was a big part of my negative comments in my review of the studio
[15:44.560 --> 15:50.920]  display webcam that it's like, even if I use this iPad, which supposedly has the
[15:50.920 --> 15:55.840]  same hardware here, same, same, you know, taken 10 seconds apart at the same desk
[15:55.840 --> 15:59.480]  in the same light, better image quality, noticeably better.
[15:59.480 --> 16:06.200]  And it, and they said, you know, what I was told unofficially was that they
[16:06.200 --> 16:11.160]  expected that a bug fix to the firmware should at the very least get the image
[16:11.160 --> 16:12.920]  quality up to the iPad level.
[16:12.960 --> 16:14.040]  I would say that's true.
[16:14.320 --> 16:19.000]  I would say that in my experience over the last few days, using the new
[16:19.000 --> 16:25.520]  firmware on the studio display, the image quality is on par, very much on par with
[16:25.520 --> 16:28.880]  the front facing camera on newer iPads.
[16:29.040 --> 16:34.560]  It's, it's not quite apples to apples because pardon the pun.
[16:34.560 --> 16:35.600]  Pardon the pun.
[16:35.840 --> 16:36.560]  I know, right.
[16:36.560 --> 16:43.840]  It's it, or it, but it is different because the, I, it's hard to get a
[16:43.840 --> 16:48.240]  picture that shows the exact same framing.
[16:49.160 --> 16:52.160]  You can't overlay two cameras, the physical objects, right?
[16:52.160 --> 16:52.360]  Yeah.
[16:52.400 --> 16:52.720]  Right.
[16:52.720 --> 17:00.000]  And, and the iPad is, is a device that rotates and the studio display is not.
[17:00.000 --> 17:05.400]  So sometimes the camera is on top and that's when the camera is centered.
[17:05.400 --> 17:05.760]  Right.
[17:05.760 --> 17:11.120]  So like for me, I always think you look best on an iPad front facing camera when
[17:11.120 --> 17:16.280]  you're holding it vertically, like a phone, because then the camera is centered.
[17:16.720 --> 17:21.560]  Whereas, and I know that not to digress onto an argument about where the camera
[17:21.560 --> 17:26.160]  should go on iPads, but there's an awful lot of people who every time these iPads
[17:26.160 --> 17:30.080]  come out that have like a magic keyboard component and you can use them in a
[17:30.080 --> 17:34.080]  laptop configuration, shouldn't the camera be at the top there, because when
[17:34.080 --> 17:40.880]  you have it in laptop configuration, you look off center in the, in the front
[17:40.880 --> 17:41.440]  facing camera.
[17:41.440 --> 17:45.640]  I always felt that camera should be like, it is like on a MacBook Pro where it
[17:45.640 --> 17:47.960]  should be like in landscape mode top.
[17:48.000 --> 17:49.440]  That's where I feel they should have put it.
[17:49.440 --> 17:53.360]  I understand why they didn't because of like hardware plays, but I agree with you
[17:53.360 --> 17:53.760]  completely.
[17:53.760 --> 18:00.160]  But it, but just in terms of comparing the iPad camera to the studio display
[18:00.160 --> 18:03.400]  camera, it would sure make it easier if they had done that.
[18:03.440 --> 18:09.160]  And it makes it hard, but so framing aside, just in terms of lighting and
[18:09.160 --> 18:14.520]  exposure and quality, it's clearly on par, very, very similar.
[18:14.760 --> 18:17.960]  Why do you think, why do you think if it's supposedly the same hardware, same
[18:17.960 --> 18:20.760]  software, same whatever, why do you think it was different?
[18:20.760 --> 18:23.680]  I mean, I, I'd like, I'll give you my input, but I want to hear yours first.
[18:23.720 --> 18:24.880]  I honestly don't know.
[18:24.880 --> 18:26.120]  And I get asked it.
[18:26.160 --> 18:30.200]  It's, it's the, one of the most frequently asked questions I've, I've
[18:30.200 --> 18:35.400]  gotten from friends and just regular readers and listeners of the show in all
[18:35.400 --> 18:37.440]  my years of doing Daring Fireball.
[18:37.960 --> 18:40.680]  The, what do you, how do you think this happened?
[18:40.720 --> 18:42.960]  How did they, how did they ship this?
[18:43.000 --> 18:45.080]  I honestly can't, I still don't know.
[18:45.160 --> 18:45.720]  I really don't.
[18:46.280 --> 18:49.800]  The only guess I have, and this is with all my hardware and software experience,
[18:49.800 --> 18:53.440]  is that even though it's the same off the shelf components and it shares
[18:53.440 --> 18:58.360]  similarities with, you know, we'll call it iPadOS, there's clearly something
[18:58.360 --> 19:03.000]  different, whether it's higher powered, a little bit of a different type of,
[19:03.040 --> 19:06.320]  there's usually, you know, a chip in between, right, the, the, the image
[19:06.320 --> 19:08.200]  processor and the camera, things like that.
[19:08.280 --> 19:11.880]  There's something else I think going on with the hardware structure that's
[19:11.880 --> 19:17.280]  going to possibly unveil another feature, whether it's, I don't know, filtering
[19:17.280 --> 19:21.640]  or boosting, or I don't know what, but I would say if it's really exactly
[19:21.640 --> 19:24.360]  one-to-one, it should have been the same image quality from the beginning.
[19:24.520 --> 19:24.840]  Yeah.
[19:26.040 --> 19:26.760]  It's almost different.
[19:26.800 --> 19:30.600]  Well, it, the other thing though, here's the other thing though, is that it, it
[19:30.600 --> 19:35.640]  was the same image quality inside Apple before it shipped, because that's the
[19:35.640 --> 19:40.000]  thing I heard from a few birdies, you know, friends who work at Apple, who
[19:40.000 --> 19:46.040]  actually had been using studio displays for months before it was announced.
[19:46.040 --> 19:48.600]  You know, late in the game, either, either because they were actually
[19:48.600 --> 19:53.320]  working on it in some degree or, or somehow were brought into the
[19:53.320 --> 19:54.880]  internal group that was testing it.
[19:55.320 --> 20:00.800]  And they were running previous firmwares that were only internal to Apple.
[20:00.920 --> 20:04.560]  And they were like, yeah, mine and, and they, you know, a couple of them said to
[20:04.560 --> 20:08.240]  me, you know, I still have mine right on my desk, I'm running an older internal
[20:08.240 --> 20:13.280]  firmware and my image quality does not look like the one that the pictures
[20:13.280 --> 20:14.520]  you're showing, you know,
[20:14.520 --> 20:18.120]  Do you feel the April 26th firmware, and this is, I wish Jason would have
[20:18.120 --> 20:22.640]  almost done a comparison, do you think if you compare that to an iPad, now it's
[20:22.640 --> 20:24.520]  literally the same or is it still different?
[20:24.760 --> 20:27.120]  I think it's, I think it's close enough, you know?
[20:27.160 --> 20:27.480]  Okay.
[20:27.480 --> 20:27.960]  All right.
[20:27.960 --> 20:30.640]  So you'd say you feel like if it had shipped with this, no one would have ever
[20:30.640 --> 20:31.040]  said anything?
[20:31.040 --> 20:32.840]  Oh, I still think there would have been complaints.
[20:32.840 --> 20:34.880]  That, that's, that's what I meant.
[20:34.880 --> 20:35.280]  Right.
[20:35.280 --> 20:39.720]  And it makes it, to me, it's, I'm going to write about it and I swear, I
[20:39.720 --> 20:40.600]  definitely do.
[20:40.640 --> 20:41.040]  Definitely.
[20:41.040 --> 20:44.640]  I'm, uh, hand, hand on my Mac book.
[20:44.680 --> 20:48.600]  I, by the time this podcast is out, there will be a piece on daring fireball, but
[20:48.600 --> 20:49.840]  it won't be super extensive.
[20:49.840 --> 20:53.600]  Cause I'm just going to, like I said, I'm going to defer to Jason Snell, James
[20:53.600 --> 20:58.720]  Thompson, the author of the absolutely wonderful pcalc calculator, amongst
[20:58.720 --> 21:03.040]  other things, had a tweet with some, some example pictures that I'll talk about.
[21:03.080 --> 21:03.840]  Great examples.
[21:03.840 --> 21:06.560]  In fact, his was the first I saw, he really spelled it out.
[21:06.560 --> 21:06.960]  Well,
[21:07.120 --> 21:10.200]  so I'll just link to them and give my thoughts, but it, the thoughts are
[21:10.200 --> 21:16.920]  it, the thoughts in rough form are there's, there's three, let's say three
[21:16.920 --> 21:20.160]  levels of image quality that I'll, I'll address.
[21:20.400 --> 21:26.840]  There's what actually shipped back in the end of back in March with this studio
[21:26.840 --> 21:30.880]  display with the firmware they originally shipped with, which was really bad.
[21:30.880 --> 21:31.520]  Surprising.
[21:31.520 --> 21:37.080]  It's the worst camera Apple shipped in image quality, Apple shipped in, in, in
[21:37.080 --> 21:38.000]  memory, right?
[21:38.000 --> 21:38.640]  Like I can't
[21:38.640 --> 21:41.520]  agree, not to mention the cropping and like the oddities, right?
[21:41.520 --> 21:43.880]  Like I know you're talking about quality right now, but the, the cropping was just
[21:43.880 --> 21:44.520]  crazy.
[21:44.600 --> 21:44.840]  Yeah.
[21:44.880 --> 21:48.680]  The, the only, the only, the, the last time they shipped a camera with image
[21:48.680 --> 21:55.200]  quality that bad were the Intel Mac books, which didn't have a series systems
[21:55.200 --> 21:59.720]  on chips, but had, and remember they weren't even HD there, or they were like
[21:59.720 --> 22:07.160]  seven 20 P it was like seven, seven 20 P without the a series chip doing any
[22:07.160 --> 22:10.760]  signal processing and they just were really bad and faint, you know, it was
[22:10.760 --> 22:13.680]  sort of like the last big complaint after they fixed the keyboards.
[22:13.680 --> 22:18.080]  The last big complaint people had about the state of Mac books was the built in
[22:18.080 --> 22:20.280]  webcams really had the poor image quality.
[22:20.640 --> 22:29.480]  Then the initial M one Mac book air and Mac book pro shipped in November of 2020
[22:29.880 --> 22:30.280]  yeah.
[22:30.320 --> 22:36.520]  In November of 2020, the first Apple Silicon max shipped and they kept all of
[22:36.520 --> 22:41.920]  the hardware other than the Silicon, the same, the same display, same form
[22:41.920 --> 22:42.680]  factor, right?
[22:42.680 --> 22:49.360]  Like if you held up the last Intel Mac book air next to the first M one, which
