[00:00.000 --> 00:01.000]  Hey, John.
[04:16.000 --> 04:19.000]  but I feel like the reason that he was bragging about it
[04:19.000 --> 04:23.000]  in hindsight was that he knew the pipeline of the A5,
[04:23.000 --> 04:26.000]  the A6, like what they were planning to do year after year
[04:26.000 --> 04:29.000]  and how they were going to take control of their own silicon
[04:29.000 --> 04:31.000]  in the years to come.
[04:31.000 --> 04:33.000]  And the other thing I remember, do you remember this?
[04:33.000 --> 04:34.000]  I think that was the event.
[04:34.000 --> 04:37.000]  I'm like 98% sure that it was the event
[04:37.000 --> 04:40.000]  where he mentioned that Apple was now a $50 billion
[04:40.000 --> 04:41.000]  a year company.
[04:41.000 --> 04:43.000]  Yeah, I think you're right.
[04:43.000 --> 04:46.000]  I do remember being at whatever event that was
[04:46.000 --> 04:48.000]  when he sort of highlighted that for the first time.
[04:48.000 --> 04:49.000]  I do remember that.
[04:49.000 --> 04:50.000]  Right.
[04:50.000 --> 04:52.000]  And he said almost the same thing that, like I said here,
[04:52.000 --> 04:54.000]  it's like, we don't want to talk,
[04:54.000 --> 04:56.000]  we have all sorts of products to talk about,
[04:56.000 --> 04:58.000]  but I just want to take a moment and just mark this
[04:58.000 --> 05:02.000]  that we're now Apple is now a $50 billion a year company.
[05:02.000 --> 05:06.000]  And sort of saying, that's the big boy's club
[05:06.000 --> 05:10.000]  in Silicon Valley, $50 billion a year in revenue.
[05:10.000 --> 05:16.000]  And they did $74 billion in revenue in a quarter.
[05:16.000 --> 05:19.000]  It's five years later, right?
[05:19.000 --> 05:21.000]  And it really was worth marking.
[05:21.000 --> 05:23.000]  It was really was remarkable.
[05:23.000 --> 05:27.000]  Five years ago that Apple was doing $50 billion a year in revenue.
[05:27.000 --> 05:28.000]  That's a huge number.
[05:28.000 --> 05:29.000]  It's a ton of money.
[05:29.000 --> 05:33.000]  It's way more than Apple did for decades,
[05:33.000 --> 05:35.000]  or ever, really, until then, ever.
[05:35.000 --> 05:40.000]  And all of a sudden, that's two-thirds of one quarter.
[05:40.000 --> 05:42.000]  I mean, what are they going to hit this year?
[05:42.000 --> 05:45.000]  So everyone's obviously talking about, in terms of earnings,
[05:45.000 --> 05:48.000]  in terms of profit, they set the record,
[05:48.000 --> 05:50.000]  they eclipsed all those oil companies,
[05:50.000 --> 05:52.000]  including the Russian state oil company,
[05:52.000 --> 05:54.000]  in terms of the amount of profit they're making.
[05:54.000 --> 05:56.000]  But they're also very much on track,
[05:56.000 --> 05:59.000]  this being technically the physical quarter one.
[05:59.000 --> 06:03.000]  They're very much on track to break the all-time yearly record
[06:03.000 --> 06:06.000]  for that, which is also held by all the oil companies.
[06:06.000 --> 06:08.000]  There's an outlier, the Fannie Mae outlier thing,
[06:08.000 --> 06:10.000]  which is on the Wikipedia page,
[06:10.000 --> 06:12.000]  but that's with the government bailout
[06:12.000 --> 06:13.000]  and everything.
[06:13.000 --> 06:16.000]  It's not a fair comparison.
[06:16.000 --> 06:18.000]  So they're probably going to set that record,
[06:18.000 --> 06:20.000]  and in terms of revenue yearly revenues,
[06:20.000 --> 06:21.000]  what's it going to be this year?
[06:21.000 --> 06:23.000]  200 billion, something like that?
[06:23.000 --> 06:25.000]  Obviously, this is the big quarter,
[06:25.000 --> 06:27.000]  but then next quarter should be pretty big.
[06:27.000 --> 06:28.000]  Then it goes down a little bit,
[06:28.000 --> 06:29.000]  and then it'll spike up again,
[06:29.000 --> 06:32.000]  sort of with back to school sales and everything like that.
[06:32.000 --> 06:34.000]  I assume 200 billion, something like that?
[06:34.000 --> 06:37.000]  That seems within reach definitely,
[06:37.000 --> 06:40.000]  because what, 40, 40, 40,
[06:40.000 --> 06:43.000]  you know, gets you pretty close.
[06:43.000 --> 06:45.000]  That's so crazy.
[06:45.000 --> 06:47.000]  And you know, remember,
[06:47.000 --> 06:49.000]  I guess it was a couple years ago,
[06:49.000 --> 06:51.000]  I was also covering this,
[06:51.000 --> 06:53.000]  talking about Apple's market cap,
[06:53.000 --> 06:55.000]  which you can also make an argument,
[06:55.000 --> 06:58.000]  isn't really, it's sort of symbolic
[06:58.000 --> 06:59.000]  more than it's really meaningful
[06:59.000 --> 07:01.000]  what market cap actually means
[07:01.000 --> 07:03.000]  and people always argue about that.
[07:03.000 --> 07:05.000]  It was a big deal when Apple, of course, passed Microsoft,
[07:05.000 --> 07:07.000]  which was, I don't even know now,
[07:07.000 --> 07:10.000]  four years ago, or maybe longer than that.
[07:10.000 --> 07:12.000]  And then Apple was chasing Exxon for a long time,
[07:12.000 --> 07:13.000]  and at one point I remember,
[07:13.000 --> 07:16.000]  they were something like 200 billion behind in market cap,
[07:16.000 --> 07:17.000]  and it just seemed like impossible
[07:17.000 --> 07:18.000]  that they would ever get there.
[07:18.000 --> 07:19.000]  And now there's something,
[07:19.000 --> 07:22.000]  there are over 200 billion ahead of Exxon now.
[07:22.000 --> 07:24.000]  There might be 300 billion ahead,
[07:24.000 --> 07:26.000]  and obviously, Exxon's depressed
[07:26.000 --> 07:29.000]  because of the oil situation going on,
[07:29.000 --> 07:32.000]  their stock is, but it's incredible.
[07:32.000 --> 07:35.000]  I think someone has been tweeting today
[07:35.000 --> 07:37.000]  and showcasing this,
[07:37.000 --> 07:39.000]  that I think Apple's market cap
[07:39.000 --> 07:42.000]  is now just about the exact same as
[07:42.000 --> 07:44.000]  Google and Microsoft's combined.
[07:44.000 --> 07:46.000]  That's insane.
[07:46.000 --> 07:48.000]  Somebody tweeted, I saw yesterday,
[07:48.000 --> 07:50.000]  this was recording on Friday, January 30th,
[07:50.000 --> 07:53.000]  so yesterday, I think at the close of market,
[07:53.000 --> 07:57.000]  that Apple closed with,
[07:57.000 --> 07:59.000]  when the market's closed,
[07:59.000 --> 08:02.000]  at exactly double the market cap of Google.
[08:02.000 --> 08:04.000]  Yeah, I guess that would be great,
[08:04.000 --> 08:05.000]  because Google's actually like yourself.
[08:05.000 --> 08:07.000]  And they're almost neck and neck,
[08:07.000 --> 08:08.000]  they're like very close to one another,
[08:08.000 --> 08:10.000]  so yeah, that's right.
[08:10.000 --> 08:12.000]  I mean, it's almost uncanny
[08:12.000 --> 08:14.000]  how close to exactly double it was,
[08:14.000 --> 08:15.000]  which is, yeah.
[08:15.000 --> 08:17.000]  And again, it's, you know,
[08:20.000 --> 08:22.000]  in years past,
[08:22.000 --> 08:24.000]  and probably years future,
[08:24.000 --> 08:28.000]  you know, when Apple's stock is down,
[08:28.000 --> 08:31.000]  you know, for reasons good or reasons nonsensical,
[08:31.000 --> 08:33.000]  it's, you know, like you said,
[08:33.000 --> 08:35.000]  it's not proof of anything.
[08:35.000 --> 08:38.000]  It's not like market cap is an infallible measure,
[08:38.000 --> 08:41.000]  but it's at least a measure
[08:41.000 --> 08:43.000]  of what people think of the company.
[08:43.000 --> 08:44.000]  Yeah.
[08:44.000 --> 08:45.000]  And I mean, right now,
[08:45.000 --> 08:47.000]  the craziest thing of all this is,
[08:47.000 --> 08:48.000]  you can make a very good argument
[08:48.000 --> 08:51.000]  that Apple is undervalued on the stock market.
[08:51.000 --> 08:53.000]  They're trading at multiples that are way below
[08:53.000 --> 08:55.000]  what some of their peers are trading at,
[08:55.000 --> 08:57.000]  and given the numbers they just released,
[08:57.000 --> 09:00.000]  I mean, it's not so insane anymore
[09:00.000 --> 09:04.000]  to think that they could be the first trillion dollar company
[09:04.000 --> 09:06.000]  if they're able to sort of,
[09:06.000 --> 09:08.000]  I mean, we could talk about what it would take.
[09:08.000 --> 09:12.000]  It would take continuing to grow iPhone,
[09:12.000 --> 09:15.000]  and I think we all agree now, you know,
[09:15.000 --> 09:17.000]  they can continue to do that.
[09:17.000 --> 09:19.000]  They don't have a massive market share still.
[09:19.000 --> 09:21.000]  So there's room for growth,
[09:21.000 --> 09:26.000]  and then China, I think, is the big sort of factor in that.
[09:26.000 --> 09:28.000]  And if they can keep doing that,
[09:28.000 --> 09:31.000]  and if the stock market overall keeps sort of going up
[09:31.000 --> 09:34.000]  and there's no assurances of that, of course,
[09:34.000 --> 09:36.000]  it's possible.
[09:36.000 --> 09:37.000]  It's crazy.
[09:37.000 --> 09:40.000]  Yeah, but it's possible.
[09:40.000 --> 09:45.000]  So the elephant in the room is the right analogy,
[09:45.000 --> 09:48.000]  but it's clearly,
[09:48.000 --> 09:53.000]  almost two thirds, three quarters driven by iPhone.
[09:53.000 --> 09:58.000]  A iPhone has become an enormous chunk of Apple's business.
[09:58.000 --> 10:01.000]  The Mac is historically at an all-time high,
[10:01.000 --> 10:03.000]  but still that's, you know,
[10:03.000 --> 10:05.000]  that's an established market,
[10:05.000 --> 10:08.000]  and it's, you know, 4 million, 5 million units a quarter.
[10:08.000 --> 10:10.000]  iPad is down, which is weird.
[10:10.000 --> 10:12.000]  It's not collapsing.
[10:12.000 --> 10:14.000]  You know, I saw somebody call it gloomy.
[10:14.000 --> 10:15.000]  It's not gloomy.
[10:15.000 --> 10:18.000]  I mean, it sold 21 million iPads last quarter.
[10:18.000 --> 10:20.000]  It's just weird, though, compared to iPhone
[10:20.000 --> 10:23.000]  because it's down 20% year over year.
[10:23.000 --> 10:27.000]  But iPhone is up enormously.
[10:27.000 --> 10:31.000]  It's almost unbelievable how much it's up.
[10:31.000 --> 10:33.000]  Because I think it was 51 million iPhones.
[10:33.000 --> 10:35.000]  They sold a year ago in the holiday quarter
[10:35.000 --> 10:39.000]  and 74 million iPhones this year.
[10:39.000 --> 10:40.000]  Yeah.
[10:40.000 --> 10:42.000]  Yeah, I think it's, if I read the numbers,
[10:42.000 --> 10:45.000]  right, someone broke it down, maybe it was from,
[10:45.000 --> 10:47.000]  or I think they're at 69%.
[10:47.000 --> 10:50.000]  The iPhone is 69% of Apple's business now.
[10:50.000 --> 10:52.000]  I'm not sure if that's revenue or profit,
[10:52.000 --> 10:55.000]  but, you know, it's about, it's roughly probably both.
[10:55.000 --> 10:58.000]  And I mean, it's probably higher actually for profit,
[10:58.000 --> 11:00.000]  but that's crazy.
[11:00.000 --> 11:02.000]  But you're right.
[11:02.000 --> 11:04.000]  If you were to take, of course,
[11:04.000 --> 11:07.000]  the iPhone business away from Apple,
[11:07.000 --> 11:09.000]  they would still be near the top,
[11:09.000 --> 11:13.000]  if not at the top of the biggest sort of business
[11:13.000 --> 11:15.000]  in terms of revenue.
[11:15.000 --> 11:17.000]  And then all of those other businesses,
[11:17.000 --> 11:19.000]  both the Mac, the iPad,
[11:19.000 --> 11:21.000]  and even, you know, increasingly,
[11:21.000 --> 11:24.000]  iTunes and the App Store now are becoming,
[11:24.000 --> 11:26.000]  if you've broke those out,
[11:26.000 --> 11:28.000]  they would each probably be Fortune 500 companies
[11:28.000 --> 11:31.000]  in their own right when you think about it, which is crazy.
[11:31.000 --> 11:34.000]  Right, because the store, you know,
[11:34.000 --> 11:36.000]  the iTunes store, whatever you want to call it,
[11:36.000 --> 11:40.000]  the iTunes Plus App Store, is some number
[11:40.000 --> 11:42.000]  of billion a quarter now, right?
[11:42.000 --> 11:44.000]  Yeah, it just keeps going up.
[11:44.000 --> 11:48.000]  And remember, they used to say specifically about the App Store
[11:48.000 --> 11:51.000]  that, you know, it's basically,
[11:51.000 --> 11:53.000]  they didn't use the word sort of loss leader,
[11:53.000 --> 11:55.000]  but they just said they run it sort of break even, right?
[11:55.000 --> 11:57.000]  And then they, you know,
[11:57.000 --> 12:00.000]  the whole thought was that it was just out there to sell devices,
[12:00.000 --> 12:02.000]  which of course you could still make the argument
[12:02.000 --> 12:04.000]  that's probably the biggest part of it,
[12:04.000 --> 12:07.000]  but they're starting to make a lot of real meaningful money
[12:07.000 --> 12:09.000]  from that store.
[12:09.000 --> 12:11.000]  Yeah, and I think it's always been the case,
[12:11.000 --> 12:14.000]  and this is from years ago when it was the numbers were much smaller,
[12:14.000 --> 12:18.000]  where a lot of what they made was from the float
[12:18.000 --> 12:20.000]  where they collect the money,
[12:20.000 --> 12:23.000]  and it doesn't, you know, they can do stuff with the money,
[12:23.000 --> 12:27.000]  you know, just, you know, they hold it for a little bit,
[12:27.000 --> 12:30.000]  and while they're holding it, they can, you know,
[12:30.000 --> 12:33.000]  do a financial guy thing trickery.
[12:33.000 --> 12:36.000]  Yeah, and makes a little bit of money while you hold it.
[12:36.000 --> 12:39.000]  Like, as that money passes through their fingers,
[12:39.000 --> 12:42.000]  it's good for them because they don't,
[12:42.000 --> 12:45.000]  you know, they don't immediately pass it on to who they're paying out.
[12:45.000 --> 12:48.000]  Right, they get a little bit of what makes Amazon Amazon,
[12:48.000 --> 12:50.000]  sort of that aspect of the business.
[12:50.000 --> 12:52.000]  Right, and anybody who's a developer knows,
[12:52.000 --> 12:55.000]  you don't get paid by Apple until the end of the quarter,
[12:55.000 --> 12:57.000]  or the end of the month, you know, they hold the money.
[12:57.000 --> 13:00.000]  It's not like you get paid every day as people buy your app,
[13:00.000 --> 13:04.000]  you wait, and then, you know, two weeks after the month is over,
[13:04.000 --> 13:06.000]  you get, you get your check from them.
[13:06.000 --> 13:09.000]  In meantime, they're holding that money and making money on it.
[13:09.000 --> 13:13.000]  And now that it's enormous sums of money, it's even more so.
[13:13.000 --> 13:15.000]  Yeah.
[13:15.000 --> 13:19.000]  What do you think about the notion of the,
[13:19.000 --> 13:20.000]  correctly, if I'm wrong,
[13:20.000 --> 13:23.000]  but they win the Apple Watch is released,
[13:23.000 --> 13:26.000]  so they announced, of course, it's going to be shipping in April,
[13:26.000 --> 13:29.000]  when it's released, they're not breaking that out as a separate,
[13:29.000 --> 13:32.000]  that's going to be roped in under something else.
[13:32.000 --> 13:35.000]  I'm not sure what other services or something,
[13:35.000 --> 13:37.000]  but they're not going to break that out in terms of sales,
[13:37.000 --> 13:38.000]  at least to begin with.
[13:38.000 --> 13:39.000]  Correct.
[13:39.000 --> 13:40.000]  So what they said?
[13:40.000 --> 13:41.000]  That's what they've said.
[13:41.000 --> 13:42.000]  Yeah.
[13:42.000 --> 13:45.000]  And everybody's going to try to backwards engineer it clearly
[13:45.000 --> 13:49.000]  from the, you know, whatever it is that they report it under.
[13:49.000 --> 13:50.000]  Right.
[13:50.000 --> 13:52.000]  I think that's, that's, it's sort of interesting to think about it
[13:52.000 --> 13:57.000]  because, so I know, I know you and I know I and many others
[13:57.000 --> 14:01.000]  have long railed it against Amazon for sort of not being transparent
[14:01.000 --> 14:03.000]  with their numbers, whereas Apple is.
[14:03.000 --> 14:06.000]  We still have no idea how many kindles have ever been sold.
[14:06.000 --> 14:08.000]  I think with this, this most recent quarter,
[14:08.000 --> 14:12.000]  which Amazon had, there is some hint that you could finally back
[14:12.000 --> 14:16.000]  into it in a way, but they still have never come out and directly
[14:16.000 --> 14:18.000]  said, you know, what the number is.
[14:18.000 --> 14:21.000]  And with, they also announced that this quarter,
[14:21.000 --> 14:25.000]  that the coming quarter, that they will finally be breaking out AWS,
[14:25.000 --> 14:28.000]  you know, their cloud services infrastructure,
[14:28.000 --> 14:31.000]  they'll be breaking out that revenue as a separate business.
[14:31.000 --> 14:33.000]  And so they'll be reporting on that.
[14:33.000 --> 14:36.000]  And I think that that's smart the way that they've done it.
[14:36.000 --> 14:39.000]  Well, it has been, you know, annoying for anyone who's trying to get
[14:39.000 --> 14:42.000]  some idea of what Amazon is actually selling.
[14:42.000 --> 14:44.000]  If anything, obviously they're selling candles,
[14:44.000 --> 14:47.000]  but fire phones, you know, and those types of things.
[14:47.000 --> 14:51.000]  But I would imagine that Apple is first putting the Apple Watch
[14:51.000 --> 14:56.000]  under sort of this same type of thing that Apple TV is under.
[14:56.000 --> 14:58.000]  Though they do announce the Apple TV numbers.
[14:58.000 --> 15:01.000]  They just announced, you know, whatever it was, 5 million sold.
[15:01.000 --> 15:06.000]  Recently, and I think it's 25 million total or something like that.
[15:06.000 --> 15:10.000]  But I would imagine that they'll keep sort of Apple Watch under wraps
[15:10.000 --> 15:13.000]  until there's something more substantial to talk about
[15:13.000 --> 15:16.000]  if there ever is sort of like what Amazon is done with AWS,
[15:16.000 --> 15:18.000]  where they wrote that into something else.
[15:18.000 --> 15:19.000]  And now that it's substantial,
[15:19.000 --> 15:22.000]  but they're going to break it out and actually talk about it.
[15:22.000 --> 15:26.000]  Yeah, I don't know, you know, for the reputation that Apple has,
[15:26.000 --> 15:31.000]  you know, well deserved, I guess, as being secretive and relatively,
[15:31.000 --> 15:33.000]  they don't like to explain themselves.
[15:33.000 --> 15:35.000]  You know, there's our products and that's it.
[15:35.000 --> 15:37.000]  And they don't like to talk about what they do.
[15:37.000 --> 15:42.000]  They're very forthcoming and have been in the whole, you know,
[15:42.000 --> 15:47.000]  modern era of Apple, very forthcoming in their financial reporting.
[15:47.000 --> 15:50.000]  Yeah. And so, you know, now that I think about it,
[15:50.000 --> 15:55.000]  I can't imagine that we're going to get an Apple Watch launch
[15:55.000 --> 16:00.000]  without a weekend, end of weekend sort of report as to how many units
[16:00.000 --> 16:03.000]  were shipped, sorry, were actually sold.
[16:03.000 --> 16:06.000]  Unless it's, I don't know.
[16:06.000 --> 16:09.000]  I can't imagine that they don't do that, right?
[16:09.000 --> 16:12.000]  I guess it just seems weird, you know,
[16:12.000 --> 16:17.000]  I understand it's almost not surprising because they're secretive
[16:17.000 --> 16:21.000]  and I feel especially the mix of, you know,
[16:21.000 --> 16:23.000]  they don't, and they don't, one thing they don't reveal
[16:23.000 --> 16:26.000]  and have never revealed is the mix of iPhones.
[16:26.000 --> 16:29.000]  So they don't say how many iPhone 6's were sold,
[16:29.000 --> 16:33.000]  how many 6 Plus, how many 5C's, how many 5S's,
[16:33.000 --> 16:35.000]  they've never revealed that.
[16:35.000 --> 16:39.000]  You can kind of get it a little bit because they do reveal
[16:39.000 --> 16:43.000]  their average selling price and so you can kind of create a formula
[16:43.000 --> 16:47.000]  that estimates it based on the prices that they have.
[16:47.000 --> 16:50.000]  But the watch, everybody expects that the watch is going to have
[16:50.000 --> 16:55.000]  an incredibly wide variance in price going from the sport model
[16:55.000 --> 16:59.000]  at 350 to however much the gold one's going to cost,
[16:59.000 --> 17:01.000]  but most people, including me, think it's going to cost
[17:01.000 --> 17:03.000]  at least a couple thousand dollars.
[17:03.000 --> 17:08.000]  Yeah. So, you know, the mix on that is going to be way more
[17:08.000 --> 17:14.000]  a way bigger divide than any other product in Apple's business.
[17:14.000 --> 17:17.000]  Yeah. And I wonder if that sort of plays into the notion of why
[17:17.000 --> 17:20.000]  they wouldn't break out the Apple Watch too because it will be
[17:20.000 --> 17:24.000]  because of the wide spread of prices.
[17:24.000 --> 17:27.000]  It would be sort of maybe easier, maybe not,
[17:27.000 --> 17:30.000]  but, you know, to know, boy, they must be selling a lot of the gold
[17:30.000 --> 17:33.000]  version because look at these numbers or boy, they must be selling
[17:33.000 --> 17:36.000]  basically no gold versions because you're sort of,
[17:36.000 --> 17:40.000]  because if the average selling price is in 450 dollars or
[17:40.000 --> 17:42.000]  something like that. That's right. Yeah.
[17:42.000 --> 17:44.000]  Yeah. I don't know. I'm quite sure. And who knows.
[17:44.000 --> 17:47.000]  Maybe once the business settles down, they will report it.
[17:47.000 --> 17:49.000]  And it's just that they don't know what to expect.
[17:49.000 --> 17:52.000]  I, you know, it's like, you know, new territory.
[17:52.000 --> 17:54.000]  So I don't know.
[17:54.000 --> 17:59.000]  So one other notion about the watch that sort of has been interesting
[17:59.000 --> 18:02.000]  to think about in recent weeks, sort of leading up.
[18:02.000 --> 18:04.000]  So, well, two things.
[18:04.000 --> 18:07.000]  Do you think, are they going to do some sort of other event
[18:07.000 --> 18:14.000]  before April to more sort of put it out there in front of the world
[18:14.000 --> 18:19.000]  one more time with a with a proper unveiling with all functionality
[18:19.000 --> 18:22.000]  that it's going to ship with, you know, working?
[18:22.000 --> 18:25.000]  My assumption all along has been yes,
[18:25.000 --> 18:31.000]  but now that it's like getting close and I'm starting to like,
[18:31.000 --> 18:35.000]  you know, make plans for the next couple of months.
[18:35.000 --> 18:39.000]  And, you know, there's a couple conferences that I might go to.
[18:39.000 --> 18:41.000]  And I'm thinking like, hey, which are these things?
[18:41.000 --> 18:45.000]  Should I maybe not do because I should keep my schedule open?
[18:45.000 --> 18:48.000]  I'm starting to wonder.
[18:48.000 --> 18:51.000]  I've always thought that, yes, they are going to.
[18:51.000 --> 18:54.000]  Because I think that they have to show more of the functionality.
[18:54.000 --> 18:58.000]  I think they have to reveal more of what the watch does
[18:58.000 --> 19:00.000]  with the first party software.
[19:00.000 --> 19:02.000]  It's right out of the box, the stuff that's in there.
[19:02.000 --> 19:06.000]  And how better to do it than at an event?
[19:06.000 --> 19:11.000]  But I kind of also feel like they can't do it if they don't have anything else to show.
[19:11.000 --> 19:13.000]  I think you're right.
[19:13.000 --> 19:20.000]  And I think, so I know now that they are definitely working with some other people,
[19:20.000 --> 19:23.000]  some third parties who you would imagine that they would be working with already
[19:23.000 --> 19:26.000]  to sort of get things ready to go for launch.
[19:26.000 --> 19:31.000]  So that definitely points to, you know, a potential other events
[19:31.000 --> 19:36.000]  and unveiling where they have a few of the major players
[19:36.000 --> 19:41.000]  up on stage sort of showing off what the third party can do with this thing.
[19:41.000 --> 19:42.000]  Right.
[19:42.000 --> 19:44.000]  And I feel like there's like three levels.
[19:44.000 --> 19:46.000]  There's A, the first party software.
[19:46.000 --> 19:48.000]  What the watch does right out of the box.
[19:48.000 --> 19:51.000]  There's the SDK that they've already revealed,
[19:51.000 --> 19:53.000]  which is somewhat limited.
