[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[03:28.840 --> 03:32.620]  We have a new executive producer. She's great. Her name is Nori. She runs her video team
[03:32.620 --> 03:37.820]  she came to one of our shoots just because she wanted to like hear what see what all the hype was about and
[03:38.140 --> 03:42.860]  Now we're like kind of good at she's like this seems pretty calm and we're like, no, this is still as crazy
[03:43.500 --> 03:49.940]  We're just good at it. But I'm I am like very lucky to work at a place where
[03:51.060 --> 03:54.640]  Like so many people are involved in the production of the thing that we do
[03:55.900 --> 04:00.700]  It's just remark every year. This is just a remarkable week for us because we
[04:00.700 --> 04:05.100]  everything that we can do we we do right we take photos doing videos we
[04:05.620 --> 04:11.980]  Do an Instagram thing we have a pot like all of the things all the tools that the verge has
[04:11.980 --> 04:16.140]  we like throw at this project and them and then I don't know if this is like for you, but
[04:16.660 --> 04:19.560]  You would think it would be over like you publish the thing
[04:20.220 --> 04:22.460]  You know throw the bomb over your shoulder and walk away
[04:23.020 --> 04:28.540]  But that's what it feels like when I hit the button you hit the button. It's like do you have that moment?
[04:28.540 --> 04:31.180]  I don't did you get the embargo? I have this one moment of
[04:31.820 --> 04:34.500]  Panic when like the thing goes up at 6 a.m
[04:34.500 --> 04:40.080]  And then you know Twitter's like a little slow so I don't see everybody else's I'm like, oh I fucked that up
[04:40.380 --> 04:44.740]  Like I got there. I'm like I go and then like the Wall Street Journal goes up or something, right?
[04:45.780 --> 04:48.420]  so I have that moment of panic, but then I have a whole day of
[04:48.940 --> 04:53.640]  People reacting and like talking to me about the review and asking questions. So that's another whole day of
[04:53.640 --> 04:58.160]  Work and like really enjoyable work like that's what you live for, right?
[04:58.160 --> 05:04.080]  I I completely agree, but it is completely why I had to pull
[05:04.480 --> 05:10.800]  Two consecutive all-nighters. So yeah, I I'm terrible at deadlines. I almost hit so
[05:11.800 --> 05:17.900]  And I and this is exactly what this podcast is for. I love this inside baseball. So the embargo dates were
[05:18.640 --> 05:21.660]  Tuesday morning 6 a.m. Eastern time
[05:21.660 --> 05:29.420]  for the iPhone 10s and then Wednesday 6 a.m. For the series for Apple watch and
[05:30.300 --> 05:31.660]  I'm
[05:31.660 --> 05:34.540]  Writing my iPhone review and it's I got it
[05:34.540 --> 05:41.420]  It's like I feel it the words are coming out of my fingers really well, but I literally was up all night and I
[05:42.380 --> 05:47.740]  Dosed the caffeine just right, you know, like I wasn't like super jittery, you know
[05:47.740 --> 05:54.420]  But I got it and I think I published at like 7 a.m. I mean it for and for me, that's really close
[05:55.180 --> 05:57.940]  Oh, no, I didn't hit at 7 a.m. Because I
[05:58.900 --> 06:04.980]  the inside story the way behind-the-scenes story is I I felt so good the night before
[06:05.620 --> 06:11.980]  About where I already was and I knew I was gonna get up at 6 whether I was gonna get any sleep or not
[06:11.980 --> 06:14.880]  I was gonna get up at 6 to publish if I was done and so
[06:14.880 --> 06:16.880]  usually
[06:17.600 --> 06:21.600]  My wife Amy takes our son to school and I said, you know what? I'll be up
[06:21.600 --> 06:25.840]  I will take him to school tomorrow. So I was like you can sleep in I got it and
[06:26.640 --> 06:30.000]  It came time to take him to school and I was in I was editing
[06:30.000 --> 06:34.040]  It was like final editing, but I wasn't done yet and I was like, oh geez
[06:34.040 --> 06:36.040]  I was like, we're gonna speed walk to school today kid
[06:36.720 --> 06:39.340]  So I took him to school. So I published around eight. That's right
[06:39.340 --> 06:41.440]  I would have probably published around seven
[06:41.440 --> 06:45.360]  But I it wound up being a little after eight because I took my son to school
[06:45.560 --> 06:52.120]  Yeah, and then I had that day of I I read your review. I read
[06:52.720 --> 06:58.800]  Joanna's I read a couple others. I read panzerino, you know it there's still some I have so many open tabs from
[06:59.280 --> 07:02.280]  Reviews to read I still want to see what other people have to say
[07:03.480 --> 07:05.480]  But I'm taking feedback
[07:05.480 --> 07:12.560]  From people all day. But meanwhile, I know that I've got this 6 a.m. Deadline the next day for the watch
[07:12.560 --> 07:17.120]  and then eventually I go to sleep and I wake up around like 6 p.m. And
[07:18.520 --> 07:22.080]  It's like I got to get going on the watch thing. But in the meantime, I'm
[07:22.960 --> 07:29.440]  Still taking feedback from the iPhone review and and again, like you said it is fantastic. It is exactly
[07:29.440 --> 07:36.800]  Why I do this it is it is it is both the hardest I work all year and by far and away the most
[07:37.000 --> 07:39.480]  Rewarding the only thing that compares is when I do my live
[07:40.480 --> 07:47.040]  Show at the WWDC in terms of being rewarding and feeling like hey, I'm okay at what I do
[07:47.360 --> 07:54.120]  Yeah, no, I'm completely with you that and and for me, it's like both positive and like I want to hear I'm
[07:54.120 --> 08:00.020]  I'm very interested in what people think I got wrong, right? Like me too. That's exactly why I have you on the show
[08:01.080 --> 08:08.480]  Because I thought I felt like our reviews were quite different in terms of the camera and that is exactly you know
[08:08.480 --> 08:12.200]  Like that is exactly I don't want you to tell me what I got right? You don't even have the phone yet
[08:12.200 --> 08:17.880]  I want to know like what I got wrong and I want to know what questions you still have that are unanswered
[08:17.920 --> 08:23.440]  You know and and that's what it's fascinating, you know, and people ask such great questions
[08:23.440 --> 08:26.940]  It's like oh that is a great question. Let me tell you and then meanwhile
[08:27.040 --> 08:31.500]  It's like 11 p.m. And I haven't really started my watch review yet, and I'm like, oh
[08:36.240 --> 08:38.240]  I've started doing this very coy thing
[08:39.120 --> 08:43.800]  Which I you know, I used to be a lawyer. So I believe it's firmly within the letter of the law. I
[08:44.560 --> 08:49.960]  Don't know if it's within the spirit of the law, but you're not supposed to tell people that you have devices under embargo, right?
[08:49.960 --> 08:54.360]  Yeah, that well, it's like the rule. All right, I'm right, right
[08:55.240 --> 09:00.360]  My doorman actually saw the max in my hand in my apartment building. He's like, that's the man. I was like shit
[09:01.480 --> 09:05.760]  You can't it's a huge phone. They can't get away with it. Um, but I've started tweeting
[09:05.760 --> 09:09.200]  What questions do you have like early in the process like the day of the event?
[09:09.840 --> 09:16.440]  Just so I know because people ask questions. I would never think of and to me that's where you like really find
[09:16.440 --> 09:22.120]  Angles in so like one of these days one of these companies they're gonna be like, dude
[09:22.440 --> 09:27.200]  You're just giving it away that you have it, but I'm like, no, but it doesn't say it's just I'm just well
[09:27.200 --> 09:31.540]  I'm just idly wondering what questions you have. So we'll see. We'll see if I get ding for that
[09:31.540 --> 09:35.000]  but to me that if what I'm doing in a review is
[09:35.640 --> 09:39.520]  Answering as many questions as possible then I'm then I'm succeeding you
[09:40.040 --> 09:42.040]  You got that. I got the
[09:42.080 --> 09:44.900]  The gold tennis the gold tennis
[09:44.900 --> 09:51.740]  Max and I got the gold series for a watch. Did you get the same ones?
[09:51.740 --> 09:58.280]  I got the gold again Dieter has the watch right but did he get the gold one? I believe so, right?
[09:58.940 --> 10:03.540]  Well, the thing about getting the gold ones is there's no way to hide that you know
[10:03.540 --> 10:07.260]  I mean like you could put it in a case and then people couldn't tell but even you know
[10:07.260 --> 10:10.980]  If you don't put it in the case, there's no way that you can use it
[10:10.980 --> 10:16.380]  so the letter of the NDA is that you're not supposed to let anybody know other than like
[10:16.520 --> 10:19.980]  people you work with and people in your immediate family, but it
[10:21.100 --> 10:25.840]  You know, I don't see how they can eaters is space gray. We got that wrong, huh?
[10:27.660 --> 10:34.300]  Well, it's still it's like how am I supposed to wear this watch and and if somebody really notices that I'm wearing the gold
[10:34.740 --> 10:38.380]  Series for a watch. I mean, I can't hide it. You can't even put the watch in a case
[10:38.380 --> 10:44.620]  If you know what you're looking for, it's it's immediately obvious that I'm wearing this gold series for a watch
[10:44.780 --> 10:49.780]  Yeah, and it's not like we don't run in circles where knows what we do, right? So
[10:50.340 --> 10:56.020]  Well, there's like a little bit of like I'm gonna trust my friends like they're gonna see this phone and they're just gonna
[10:56.300 --> 10:58.300]  Help me keep the secret. Yeah
[11:02.140 --> 11:06.280]  So I have an inside baseball question for you sir, okay in your watch review
[11:06.280 --> 11:09.360]  Yes, you say you had it before the event
[11:09.960 --> 11:12.760]  Was that no, that's true. No, that's not
[11:13.400 --> 11:17.880]  That's a mistake. If I said that what does the actual review say?
[11:19.000 --> 11:21.000]  Says you absolutely not true. I
[11:21.680 --> 11:26.320]  Need to go find your view now. Here we go. Live live doc saying yeah
[11:27.160 --> 11:29.160]  talk-show, um, oh
[11:29.640 --> 11:31.440]  Here we go
[11:31.440 --> 11:35.700]  You wrote which brings me to the most striking new hardware in the series for the display
[11:35.700 --> 11:41.300]  I cheated a bit when I wrote the following bit and my thoughts and observations piece regarding last week's event
[11:41.380 --> 11:46.860]  Because I'd been wearing this review unit for several days already, right? That meant that all I meant by that
[11:46.860 --> 11:49.260]  I didn't mean that I'd been wearing it before the event
[11:49.260 --> 11:55.100]  I meant that I didn't publish my thoughts and observations on the event thing until Friday. It was like
[11:55.780 --> 11:57.380]  Okay
[11:57.380 --> 12:04.100]  so that's a good call that I'm maybe that sentence was a little unclear, but I absolutely I
[12:04.100 --> 12:10.900]  I have never ever gotten anything before an event. I don't I don't think anybody has I don't think even Walt
[12:10.900 --> 12:14.580]  You know if anybody would have ever gotten anything before an event, it would have been Walt
[12:14.580 --> 12:20.720]  But I don't think anybody has I'll say I did a hundred episodes of a podcast with Walt. I never got him to admit shit
[12:23.300 --> 12:28.900]  Yeah, you're way closer to him than me but I've asked him questions like that and he's very very secret
[12:29.540 --> 12:32.700]  No, Peter and I both read that line and we're like no
[12:32.700 --> 12:34.180]  I
[12:34.180 --> 12:38.060]  Know I will I will try to clarify that after this after we record
[12:38.900 --> 12:43.020]  You should own it man. Keep the ambiguity in there. It's it's your brand. I
[12:46.940 --> 12:53.460]  Have a great great story about having privilege hardware. I forget what year it was
[12:55.660 --> 12:57.660]  But it was you know, maybe around
[12:57.660 --> 13:04.260]  2013 2014 and I got ahead and there was it was an iPad event in California. Yeah
[13:05.260 --> 13:08.460]  Maybe 2012. I don't know and I'm flying on
[13:09.540 --> 13:12.060]  Southwest back home to Philly and
[13:13.060 --> 13:17.860]  Wait, I don't even know why but to me this is all the more amazing because Southwest you you
[13:18.980 --> 13:21.060]  You don't get assigned seats on the plane
[13:21.140 --> 13:25.340]  you you first were on you pick an open seat and you just sit wherever you want and
[13:25.340 --> 13:31.820]  there's a little bit of status involved where you can like pay extra to get on first so you can be more likely to get
[13:31.820 --> 13:33.660]  a good seat whatever and
[13:33.660 --> 13:36.420]  I go on and I got it to me
[13:37.140 --> 13:41.620]  One of the best seats on the plane is in the exit row. There's one of the exit row
[13:42.180 --> 13:44.180]  Sides how only has two seats?
[13:45.060 --> 13:50.740]  And I get one of those seats and it has extra room in front of you. It's like Southwest version of first class and
[13:51.340 --> 13:53.340]  I get this seat and
[13:53.340 --> 13:55.340]  then a
[13:57.020 --> 14:01.180]  Nice young woman sits next to me and I take out this new iPad
[14:02.700 --> 14:06.300]  And immediately she says to me
[14:07.700 --> 14:09.700]  Holy shit, that's the new iPad
[14:11.860 --> 14:18.340]  And I'm like, what do I do and it ends up it's it's Ashley Nelson Hornstein and she's a great speaker
[14:18.340 --> 14:20.300]  I'll put this in the show notes
[14:20.300 --> 14:25.980]  But at the time she worked for Apple. Oh, no. Yeah, she worked for Apple and
[14:26.780 --> 14:31.540]  Well, it turned out great because she worked for Apple. So she knew to keep her mouth shut and I was like, oh
[14:31.540 --> 14:32.980]  I'm John Gruber and she's like, holy shit
[14:32.980 --> 14:37.860]  You're John Gruber and we had like the most amazing like three hour long conversation like nerding out on a plane
[14:37.860 --> 14:42.700]  And in fact, she had never seen the I've she worked on something else at the time while she was at Apple
[14:42.700 --> 14:48.100]  So she hadn't seen it but because she worked at Apple. I was just totally like here take it, you know play around with
[14:48.100 --> 14:49.340]  it
[14:49.340 --> 14:55.060]  And we had like the most amazing conversation for like three hours on this flight and it was amazing
[14:55.060 --> 14:57.820]  But I had this moment of panic when she first
[14:58.660 --> 15:00.700]  Said that I was like, oh shit. What do I do?
[15:01.500 --> 15:05.320]  That's always my fear, you know, cuz we I'm sure you feel this too
[15:06.580 --> 15:11.040]  There's the event and you get the phone and then you have to go home
[15:11.220 --> 15:15.100]  Right, and I the first thing I want to do is put my SIM card in the phone, right?
[15:15.100 --> 15:19.300]  Like without quite I I want to start using this thing. I want to understand it
[15:20.060 --> 15:21.460]  but I can't
[15:21.460 --> 15:25.980]  Use it on a plane. Like I feel very nervous about it. Yeah, and I certainly
[15:26.580 --> 15:33.140]  Cannot open my laptop and write iPhone 10s review and start typing away with somebody sitting next to me
[15:33.180 --> 15:37.420]  so there's this block of you know, five and a half hours flying from
[15:38.080 --> 15:41.740]  San Francisco to New York where I'm just like playing with the thing and
[15:41.740 --> 15:45.220]  Desperately trying to remember everything that happened on like the bad Wi-Fi
[15:45.220 --> 15:48.820]  Yeah, and I'm always like, you know, I should just sleep like what am I doing?
[15:48.820 --> 15:52.420]  This is useless time, but I can never help it and I always display with it
[15:52.420 --> 15:57.860]  Yeah, so yeah, and I there was one time to I forget when what year it was
[15:57.860 --> 16:02.660]  But it was one year to where it obviously wasn't one of the s years
[16:03.980 --> 16:09.380]  Might have been like the iPhone 4. I don't know. Well, cuz I didn't get it. No, I didn't get a review
[16:09.380 --> 16:11.380]  I wasn't on the review thing
[16:11.980 --> 16:13.980]  So probably was like the iPhone 5
[16:15.580 --> 16:19.500]  And I got on the plane and I had it out and like the flight attendant was like, oh my god
[16:19.500 --> 16:21.500]  is that the new iPhone and I just was like
[16:22.100 --> 16:26.920]  Yeah, and I just like put it back in my pocket and I was like, yeah, and I was thinking like you I was like
[16:26.920 --> 16:29.980]  I guess I'll just start playing with this when I get home like
[16:30.260 --> 16:35.060]  Cuz I just I just worried that somebody you know, I mean and it I just worried that you know
[16:35.060 --> 16:40.980]  if I said yeah, and I kept it out somebody's gonna snap a picture and and put it on Instagram or something and you know,
[16:40.980 --> 16:45.220]  Like dude, this guy next to me has an iPhone 5 already and it's like I don't I don't want I don't need that
[16:45.420 --> 16:51.700]  Yeah, I got really lucky this year because the two phones were identical for most part. Yes
[16:52.500 --> 16:54.980]  so in years past I
[16:55.580 --> 17:01.380]  Land in New York and the video team and the photography team want the phone right away
[17:01.380 --> 17:05.540]  Right, like those b-roll shots don't come out of nowhere. They take hours and hours and hours
[17:05.540 --> 17:11.700]  Like if you look watch our video this year, there's all these like beautiful shots of it floating through space
[17:13.380 --> 17:15.380]  Hopefully we took some behind the scenes photos of this
[17:16.220 --> 17:18.700]  That iPhone is mounted on like a robot arm
[17:18.700 --> 17:22.640]  That's like slowly tracking through a room with the camera following it
[17:22.980 --> 17:27.420]  That took a long time to set up and like that's time. I don't get to use the phone, right?
[17:27.420 --> 17:31.460]  So this year I was like, yeah, you could take this little one like whatever will like battery test it later
[17:31.460 --> 17:32.860]  Like have at it
[17:32.860 --> 17:37.260]  Like there's there's nothing I'm gonna miss if I don't have that phone apart from the screen size
[17:37.260 --> 17:43.260]  But like I know the screen size a little one in years past it's this it's literally war
[17:43.260 --> 17:46.860]  I'm like guys I need to review the phone and they're like, yeah
[17:46.860 --> 17:50.700]  But we need to do and we have we're constantly negotiating that time
[17:51.060 --> 17:55.220]  And then I'm always worried like it's my phone like I put my SIM card in it
[17:55.220 --> 17:59.260]  I log into my I do all the things and I'm always like in the middle of one of these shots
[17:59.260 --> 18:01.260]  I'm gonna get a notification. That's like
[18:01.740 --> 18:05.140]  The verge of shutting down, you know, it's something horrible, right?
[18:06.540 --> 18:08.860]  But this year it was it was I come I
[18:09.380 --> 18:16.160]  Fully support two identical phones with different screen sizes because it made it much easier this year to get photos fundamentally
[18:16.160 --> 18:22.620]  I that is absolutely true. And I think it's one of the I think it's one of the best things about this
[18:22.620 --> 18:27.140]  cycle of iPhone and I hope they keep it going forward is that
[18:27.660 --> 18:28.900]  and I
[18:28.900 --> 18:35.420]  Emphasized it as much as I could in my review that it really is like choosing between a medium and large cup of the same
[18:35.420 --> 18:40.900]  Coffee it is, you know, you do get more battery life. There are more it's it's
[18:41.380 --> 18:43.940]  You know that the screen has the same resolution
[18:44.820 --> 18:49.580]  Pixels per inch so you do get more pixels on the larger phone, you know
[18:49.580 --> 18:55.020]  And so in terms of quote-unquote, they're the same phone but different sizes. It's not the same screen scaled up
[18:55.020 --> 18:59.060]  You do get more information, you know more pixels, which I think is the right way to do it
[18:59.060 --> 19:04.180]  But I think people fundamentally understand that and it's a to me a much easier decision
[19:04.180 --> 19:06.800]  It is do you want a bigger phone or a smaller phone and that's it?
[19:06.800 --> 19:11.800]  It's because you get literally the exact same camera and I thought that in the past three four years
[19:12.620 --> 19:13.700]  the
[19:13.700 --> 19:20.860]  The subtle camera advantages of the plus phones were very hard to make a recommendation
[19:21.420 --> 19:23.780]  regarding you know that that they've always had like
[19:25.780 --> 19:29.180]  Like optical image stabilization advantages, you know
[19:29.180 --> 19:34.940]  Like there was one year where only the plus had any optical image stabilization and then the next year
[19:35.220 --> 19:40.540]  The smaller one had it but only for stills and not for video, but the plus had it for video, you know
[19:40.540 --> 19:42.340]  There were always these subtle
[19:42.340 --> 19:46.100]  technical advantages to the plus size phone that made it really hard to make a
[19:46.500 --> 19:51.260]  Sort of recommendation other than your preference for size. Whereas this year it is just
[19:51.820 --> 19:57.380]  Two two phones that are exactly the same in two sizes, and I'm good. I gotta say I'm going back and forth
[19:58.380 --> 20:00.860]  Almost day by day on which which size I prefer
[20:01.460 --> 20:06.140]  And I've been using the max and I'm like used to it and I hold the little one. I'm like pretty small
[20:06.980 --> 20:08.500]  but I
[20:08.500 --> 20:10.540]  think to me if the max had
[20:10.540 --> 20:17.780]  Picture in picture video. Yeah, man, that would that would it would sell it would just absolutely sound like yeah, you know, I saw the
[20:18.820 --> 20:24.420]  The Jets Browns game last night like got interesting the Browns won a game. It's amazing
[20:25.540 --> 20:27.740]  Like the whole I was like, alright, I want to check this out
[20:27.740 --> 20:31.020]  so like figure it out how to watch football on a phone is like
[20:31.700 --> 20:36.340]  Impossible like the NFL app last night told me that if I was using my cell network
[20:36.340 --> 20:42.180]  I could watch it. But if I wanted to watch it on Wi-Fi, I had to log into my cable provider, which makes
[20:42.900 --> 20:47.340]  Zero fucking sense. But anyway, it's like are you on Verizon? Are you on Verizon? I'm an AT&T
[20:47.340 --> 20:53.260]  I thought Verizon had like exclusive NFL rights, but maybe yeah, the NFL took those away this year. Ah, okay
[20:53.260 --> 20:55.860]  So look watching the NFL is like super complicated
[20:55.860 --> 21:01.680]  Yeah, I here's my recommendation to everyone by like buy some TV package like whatever one you want
[21:01.680 --> 21:06.900]  know in your heart that you've spent some money on TV and then watch whatever pirated stream you want because
[21:07.320 --> 21:09.320]  They don't they won't sell it to you
[21:09.340 --> 21:13.780]  So like just morally clear your your mind and then like go forward anyway
[21:13.780 --> 21:19.660]  So I'm like, I'm like on Twitter hearing like this game is crazy. So I go and open the app
[21:19.660 --> 21:23.700]  I watch the thing and I'm like wait, I want to see what people are tweeting about. All right, so yeah
[21:23.700 --> 21:27.820]  It's like and the screen is big enough to support picture-in-picture in it
[21:27.820 --> 21:33.060]  That's like literally the one thing I want from this phone. Just do it the way the iPad does it
[21:33.060 --> 21:37.080]  Yeah, and let me watch two things at once and that then there would be no
[21:37.600 --> 21:42.940]  Literally no competition and you know, you know that technically the phone could do it without breaking a sweat
[21:42.940 --> 21:44.620]  I mean because I did
[21:44.620 --> 21:51.020]  You know if the I if the iPad can do it and the iPad is still the best iPad you can buy today still has
[21:51.020 --> 21:54.900]  The old a 10 processor. Yeah, I guess it's an a 10 X
[21:54.900 --> 22:01.340]  I don't know but it's it's you know, two generations behind the a-12 the a-12 like I use the analogy in my review that it
[22:02.300 --> 22:07.740]  Deals with things like, you know things like this like neo and in the matrix dodging bullets, you know
[22:07.740 --> 22:12.660]  It is like it is like no sweat like no sweat could this phone, you know
[22:12.660 --> 22:18.060]  This phone could probably do like three or four picture-in-picture HD streams. No problem. Yeah, I mean the
[22:19.180 --> 22:21.860]  The Apple TV can do it right if you open the ESPN app
[22:21.860 --> 22:27.500]  You can get right for HD streams going this and that that thing is nowhere near as powerful as the top, right?
[22:27.500 --> 22:30.580]  So yeah, and that's a perfect example like watching live sports
[22:30.580 --> 22:37.420]  Why you want to check up on Twitter is exactly a perfect example of why you might want picture-in-picture
[22:37.740 --> 22:41.860]  It's also why Twitter keeps trying to be a sports video provider
[22:42.340 --> 22:44.340]  It's not a good strategy for them
[22:44.340 --> 22:48.620]  But you see why they like they keep wandering towards it because they know it's a compelling use case
[22:48.620 --> 22:52.300]  But yeah, that's if if it had the picture-in-picture video
[22:52.820 --> 22:55.640]  To me, it would be absolutely no con
[22:55.640 --> 23:00.700]  You should buy the max you I've been getting 12 to 14 hours of battery life on this thing and I'm not a casual
[23:01.020 --> 23:05.740]  Right on use right. So like the advantages are big, you know, there's some size stuff like
[23:06.540 --> 23:10.860]  I put it in my review, you know the old plus funds they had those big bezels
[23:10.860 --> 23:16.540]  So to reach the top was actually not as much of a reach and now it's a really big reach for me
[23:16.540 --> 23:19.060]  So yeah, there's some like handling considerations
[23:19.060 --> 23:24.780]  But if you could if this could just be your computer in that way, it would be no contest to me. I
[23:25.820 --> 23:30.900]  Do you find and it's the weirdest thing and I touched on this in my review and then I kind of
[23:33.620 --> 23:37.000]  Because it's so nonsensical that I didn't want to go into detail on it
[23:37.000 --> 23:38.940]  But it's the weirdest thing to me
[23:38.940 --> 23:46.300]  Is that even though it if you actually look at the technical specs of like an iPhone 8 plus and the iPhone 10s max?
[23:46.700 --> 23:49.700]  The max is like ever so slightly smaller
[23:49.700 --> 23:55.660]  It is like a millimeter narrower and in terms of side to side, but it feels
[23:56.460 --> 24:01.580]  Smaller in hand like like way more than you would think from one millimeter difference
[24:01.580 --> 24:04.660]  It actually to me feels it is way closer
[24:04.660 --> 24:10.980]  This is what I wrote is that it's a way closer call for me than than ever before. I've never really used a plus full-time
[24:11.340 --> 24:14.100]  but the the 10s max feels
[24:14.900 --> 24:18.980]  Somehow feels smaller. I don't know if that's just because it doesn't have the forehead and chin
[24:18.980 --> 24:22.500]  It's like an optical illusion, but it feels better in hand. I
[24:24.020 --> 24:26.860]  Would chalk it up to option like we you know, we measure it we put them
[24:27.980 --> 24:32.220]  To me. I think it's the screen is so good that when you're holding it
[24:32.220 --> 24:37.260]  You just feel like you're you feel like what how they want you to feel which is you're holding a giant screen
[24:37.260 --> 24:41.000]  Yeah, and there's nothing around it. Yeah, and you know, it's also the same
[24:42.080 --> 24:48.140]  Basic size as the note. It's the same basic size as the pixel 2. They're all big like there's no
[24:48.940 --> 24:52.640]  Well, you know when I flip the the max over I'm like, yeah, this looks
[24:53.340 --> 24:56.980]  Virtually the same as the is the old plus phones. I think that
[24:56.980 --> 25:04.720]  Having the camera bump be vertical instead of horizontal really helps it in like a in that optical illusion way like hmm
[25:04.840 --> 25:07.960]  You know, it's like thinning. It's like a thinning. Yeah. Yeah. Yeah
[25:08.680 --> 25:13.000]  But yeah, it's it's I mean I have big hands. I'm like, yeah, this one's pretty big
[25:13.000 --> 25:19.320]  That's what I'm saying day by day. He'd come back and forth, but I end up I end up working on my phone
[25:19.320 --> 25:27.200]  Almost all day long like my job is sometimes I like fear that the only thing I make at the verge is meetings, you know
[25:27.200 --> 25:31.440]  I'm like so I'm like I spent and I try not to take my laptop like I want to be engaged
[25:31.440 --> 25:34.800]  I want to pay attention. I want to be like a helpful boss like that sort of dude
[25:36.120 --> 25:39.400]  and so I only take my phone so I use my phone all day long and
[25:40.560 --> 25:42.480]  to me it's like
[25:42.480 --> 25:44.880]  Yeah, I want to watch things on this thing
[25:44.880 --> 25:50.720]  I want to like see more rows of the spreadsheet or whatever like that's the argument to me is like this is the phone you
[25:50.720 --> 25:53.120]  Can work on all day. It's not the argument is less
[25:54.000 --> 25:55.240]  like
[25:55.240 --> 25:57.900]  You're gonna get a great video experience, right?
[25:57.900 --> 26:03.360]  like I'm still a purist like I want to watch videos on big screen, but the argument to me is as a
[26:03.960 --> 26:06.600]  Primary computer you want a bigger screen? Yeah, I
[26:07.240 --> 26:09.000]  bought the
[26:09.000 --> 26:14.200]  And it is such an amazing cheat to be able to have the phone
[26:14.200 --> 26:17.800]  Both phones for a couple of days before the pre-ordering goes live
[26:18.320 --> 26:22.320]  And you know, you know, we don't have to return these review units right away
[26:22.320 --> 26:27.240]  So if I didn't pre-order right at 3 a.m. Eastern when the thing goes live
[26:27.240 --> 26:31.560]  It's not like I don't have the new phone already. I already have the review unit
[26:32.840 --> 26:38.680]  But I ordered for me personally that the regular tennis I did not get the max but it was a close call
[26:38.680 --> 26:44.720]  I just I just like the smaller size better and it's yeah, it's a good fit for my eyes
