[00:00.000 --> 00:01.680]  Federico
[03:01.320 --> 03:06.160]  And it was like it was like the only place where I could get espresso in San Jose
[03:06.160 --> 03:10.680]  I guess San Jose like the whole place is mysteriously
[03:11.360 --> 03:13.360]  devoid of any sort of
[03:13.400 --> 03:20.760]  Normal coffee place but social policy used to have espresso and it was like five bucks for an espresso like totally insane
[03:21.200 --> 03:26.960]  But it closed and so last year after after the keynote. I had a terrible headache
[03:27.480 --> 03:29.480]  and so the
[03:29.880 --> 03:34.080]  PR tells me like hey, there's a hands-on area. You should go play around with the macro
[03:34.080 --> 03:38.120]  It's like yeah, maybe I will God I was just basically roaming around the convention area
[03:38.120 --> 03:40.640]  I'm just looking for an espresso and I never went
[03:41.440 --> 03:46.160]  And I kind of regret that it was across the street, which is unusual. I know
[03:47.960 --> 03:52.960]  Because a the the San Jose Convention Center is
[03:54.280 --> 03:58.280]  Enormous and you would think there would be plenty of space in there
[03:59.320 --> 04:02.720]  but they did have a truly I
[04:02.720 --> 04:09.800]  Mean, I'm not I don't I didn't really spend enough time in there. So I kind I did go in but I kind of missed out
[04:11.400 --> 04:17.600]  But I can kind of see why they did it across the street and it wasn't gonna be there all week and it was
[04:18.040 --> 04:20.040]  definitely not intended for
[04:20.880 --> 04:28.520]  Developer attendees. It was it was definitely set up as a press hands-on area that required an awful lot of Apple
[04:28.520 --> 04:30.520]  Staffing
[04:31.680 --> 04:35.760]  You know to you know, they had real pros from their real pro teams
[04:36.720 --> 04:41.760]  Talking about the tools, you know, it was not something that they that they intended to staff all week
[04:41.760 --> 04:44.480]  So I can see why they didn't set it up in the convention area
[04:44.480 --> 04:46.440]  But the fact that it was across the street
[04:46.440 --> 04:52.680]  I can kind of see why you didn't make it and and it sounds so funny because it's just quote unquote across the street
[04:52.680 --> 04:58.960]  But that street is a real pain in the ass to cross to because because there's like straight
[04:58.960 --> 05:01.800]  There's like trains that run down the middle of it. You can die
[05:03.720 --> 05:09.160]  It feels like there's hardly any cars which is a very unusual for America
[05:09.400 --> 05:16.960]  But there's trains that come by frequently and don't stop and could easily kill you and then the rest of the traffic are people on
[05:16.960 --> 05:18.960]  those rent-a-scooters
[05:19.280 --> 05:21.560]  Which are not dangerous at all
[05:21.560 --> 05:24.080]  Well, not dangerous to you as a pedestrian
[05:24.840 --> 05:32.480]  those scooters made their way to Europe and Italy specifically like just a few months ago a bunch of cities here started passing regulations to
[05:32.480 --> 05:38.400]  Allow the scooters, but I think we have more regulations that in the United States like more speed control and stuff
[05:39.320 --> 05:42.720]  So they may be less dangerous now, but I'm not sure
[05:43.360 --> 05:46.480]  Philadelphia them again where I live Philadelphia. They are
[05:47.320 --> 05:50.200]  because in America so many things are
[05:50.200 --> 05:52.120]  Left to
[05:52.120 --> 05:58.600]  not just states but cities, you know individual cities have different regulations and the city of Philadelphia
[05:59.120 --> 06:02.800]  qualifies them as motor vehicles and so you need like
[06:03.800 --> 06:05.720]  license plates and
[06:05.720 --> 06:10.120]  Driver's licenses. So we we have none none of them in Philadelphia
[06:10.120 --> 06:16.320]  Although it was funny, you know, these companies are so weird like lime. I think it was lime and
[06:16.320 --> 06:21.240]  Somebody figured out and my wife is one who found it, but she was just on like one of the local news sites
[06:21.240 --> 06:26.560]  You know just like a blog about Philadelphia stuff and you know, I don't know like a year ago. It was like
[06:27.400 --> 06:33.920]  Three limes showed up in Philadelphia. It's like somebody just fired up the lime app and it was like now there's three of them in Philadelphia
[06:33.920 --> 06:35.920]  Just three three scooters
[06:37.040 --> 06:43.280]  First a city of five million people and it was like is this real and it was like that
[06:43.280 --> 06:49.520]  And it was like is this real and it was like that's how like sometimes apparently that's how they like roll it out
[06:49.520 --> 06:53.520]  Sometimes it's like, you know, like I guess it's supposed to create buzz
[06:55.160 --> 06:58.960]  And then the city was like these are illegal and lime was like, oh, yeah
[06:58.960 --> 07:01.680]  We didn't mean to do that and then they took them away and it was like what do you mean?
[07:01.680 --> 07:04.400]  You didn't mean to do it. You know what I mean? Like what like
[07:05.000 --> 07:08.840]  Somebody drove their lime from you know, some other city
[07:08.840 --> 07:13.360]  And dropped it off in Philadelphia
[07:13.800 --> 07:15.440]  But anyway
[07:15.440 --> 07:21.000]  Anyway, I didn't really I didn't spend anywhere near as much time in that hands-on area as I wished that I had
[07:21.000 --> 07:23.600]  I had briefings and a couple other things and the next thing, you know
[07:23.600 --> 07:28.240]  I went to go back and they're like, uh, it's closed dude, and I was like, oh crap. Yeah
[07:28.520 --> 07:32.840]  Yeah, but did it have wheels? Yes, they they had the wheels there
[07:33.320 --> 07:34.440]  and
[07:34.440 --> 07:37.320]  I was actually talking to Jaws
[07:37.320 --> 07:40.840]  there and it was on Monday after the keynote and
[07:42.760 --> 07:48.840]  You know Jaws was on my show later that week too, but I was just chatting with him briefly there and I asked him if I
[07:48.840 --> 07:50.640]  could ride
[07:50.640 --> 07:54.920]  If I could ride the Mac Pro like like a little scooter and he said no
[07:57.440 --> 08:03.440]  But they did have the wheels and I got to play with them and I can vouch that at least at WWDC they were
[08:03.440 --> 08:06.880]  Very nice wheels. So I'm not surprised at all
[08:06.880 --> 08:13.080]  Like it's almost like the the MKBHD problem where it just starts rolling if your desktop or floor is
[08:13.400 --> 08:17.120]  Ever so slightly tilted. It's almost like you'd want them to be worse wheels
[08:17.120 --> 08:21.320]  You know what I mean? So that there'd be a little bit of friction so that you know, you kind of have to push it
[08:22.120 --> 08:27.080]  Yeah, I don't know. It just looks fun though. Like if I were to have a computer like that
[08:27.080 --> 08:31.240]  I would like you to have wheels just for the fun of it, you know
[08:31.240 --> 08:33.240]  Yeah, until it starts rolling away
[08:34.400 --> 08:37.680]  Maybe just get a long extension cable and that's gonna be fine
[08:38.880 --> 08:46.320]  All right, while we're talking about WWDC, let me mention something I'll bet this has come up in your circles as well, but
[08:48.480 --> 08:56.560]  The with this coronavirus that is spreading around there and I know it's only late February right now and
[08:56.560 --> 09:01.200]  WWDC almost certainly is scheduled for early June
[09:01.840 --> 09:07.800]  Which is where it's been every single year except for one for like the last I don't know 15 years
[09:10.000 --> 09:13.200]  And for like the last 10 years it's always been 10 11 12 years
[09:13.200 --> 09:16.720]  It's always been I think 2006 was the weird year where it was in August
[09:18.320 --> 09:19.920]  Is
[09:19.920 --> 09:27.920]  WWDC going to be canceled because of coronavirus is the question on a lot of people's minds and it seems ridiculous in February
[09:27.920 --> 09:35.360]  But I actually think like watching the news. I think that it's got to be I put the odds at around 30 to 40 percent chance
[09:35.360 --> 09:36.400]  Yes
[09:36.400 --> 09:42.800]  WWDC will be canceled. What do you have Facebook just Facebook just canceled their developer conference and they yep
[09:42.800 --> 09:45.800]  They and that's a May conference. That's yeah
[09:45.800 --> 09:53.920]  Yeah, so and I just saw on the news. I mean we're here in Italy the virus spread like super quickly like
[09:53.920 --> 09:59.840]  Yeah, it's weird. It's so weird because I'm like until last Thursday
[10:00.080 --> 10:04.480]  There were no confirmed cases basically. I'm from Friday up until today
[10:05.840 --> 10:11.680]  Like in so in six days we went from two cases to I think it's 600
[10:11.680 --> 10:20.720]  It's wild and I just saw on the news yesterday that California started seeing the first confirmed cases of the virus. So
[10:21.520 --> 10:26.720]  It's starting to look likely and a bunch. I also saw that a bunch of video game companies started pulling out from
[10:27.040 --> 10:30.240]  GDC so the game developers conference, which is in San Francisco
[10:30.640 --> 10:36.800]  Usually in March and it seems very likely that the whole thing is gonna be canceled as well
[10:36.800 --> 10:41.920]  So and I don't know. What do you think will happen if WWDC gets canceled?
[10:43.440 --> 10:48.400]  So if it gets canceled I would and let's assume
[10:50.640 --> 10:54.000]  That we're not looking at a a true
[10:54.880 --> 10:56.880]  global pandemic
[10:56.960 --> 10:59.920]  Right, and I mean, I don't think we can take that off the table at this point
[10:59.920 --> 11:00.960]  I think it's you know
[11:00.960 --> 11:06.960]  I think anybody who wants to be realistic about this can see that this is a very serious situation
[11:08.160 --> 11:10.160]  It's already, you know, I mean there's
[11:10.560 --> 11:15.040]  You know hundreds of people dead thousands tens of thousands sick around the world, especially in China
[11:15.040 --> 11:18.560]  So it's I'm not making light of of the situation right now today
[11:18.880 --> 11:23.120]  but I think anybody being realistic has to look at this and say this might be one of these like
[11:23.920 --> 11:26.240]  once in a generation things that that
[11:26.240 --> 11:32.560]  Truly is a pandemic and in that case, of course, everything's going to get cancelled, right? The whole world's going to be affected
[11:33.200 --> 11:36.480]  if it stays more like it is now right where it's
[11:37.280 --> 11:44.800]  It's still out there. It's still floating about there's still spreading. There's still you know, they're tracking, you know as it moves around the world
[11:45.840 --> 11:46.880]  and
[11:46.880 --> 11:51.520]  You know air travel is still a thing, you know, it's not like airlines and airports are shut down
[11:51.520 --> 11:56.640]  what I would guess Apple would do is hold
[11:57.760 --> 11:58.640]  a
[11:58.640 --> 12:04.240]  I well, I guess what they could do is they could either postpone until August or something like that or
[12:06.240 --> 12:09.920]  Kind of do it virtually I mean this is and you know
[12:10.480 --> 12:16.240]  Me chatting in a group slack with a bunch of friends is you know, just a spitball idea, but the idea would be
[12:16.240 --> 12:21.680]  Maybe what they would do is hold a press event at the steve jobs theater. Just invite media
[12:21.680 --> 12:24.480]  But again, is that even just that is inviting?
[12:25.280 --> 12:31.280]  300 media to a steve jobs theater is is even that problematic. I I don't know
[12:32.480 --> 12:36.960]  But this would be the idea it would be all right. What if they still hold a wwdc keynote?
[12:37.680 --> 12:42.080]  I don't know what they would call it because it's not really wwdc, but they still hold a wwdc
[12:42.080 --> 12:45.760]  I don't know what they would call it because it's not really wwdc
[12:45.920 --> 12:50.800]  But they would still hold the event to do all the stuff they want to announce right because apple likes
[12:52.080 --> 12:55.120]  doing that I think I I don't think that it's like
[12:56.160 --> 12:58.160]  mac world expo of
[12:58.320 --> 13:04.640]  Years gone by where apple eventually got to the point where they were they didn't like having this thing on the schedule
[13:05.120 --> 13:10.720]  In january and whether they're ready to announce anything or not. They have to do this keynote
[13:10.720 --> 13:16.880]  And when they had the opportunity to beg out of it, they they took it, you know, which effectively
[13:17.520 --> 13:22.240]  Canceled the whole conference because without that keynote there it just sort of took the air out of it
[13:22.640 --> 13:29.440]  I don't think they feel that way about wwdc. I think they like wwdc. I think they like having developers there. I think
[13:30.240 --> 13:32.240]  They find it energizing
[13:32.880 --> 13:35.680]  I really do. I know it's you know, it's a lot of work
[13:35.680 --> 13:40.400]  It's a lot of work for the engineers who do it right because the presentations are all
[13:41.040 --> 13:43.680]  done it's not like there's some special team of
[13:45.020 --> 13:50.560]  Wwdc presenters who who create all these sessions, you know if there's a session on
[13:51.980 --> 13:53.980]  Shortcuts what's new in shortcuts?
[13:54.320 --> 14:00.080]  It's presented by somebody or people multiple people right from the shortcuts team
[14:00.240 --> 14:03.600]  It's the people who made it who are the most intimately familiar with it who do it
[14:03.600 --> 14:08.640]  And it's you know, those presentations aren't things they whip together at the last minute, right?
[14:08.720 --> 14:12.960]  I mean, I I would guess they start they're they're starting to work on them now, right?
[14:14.960 --> 14:19.280]  So they could still do all of that work and and you know, I it's a lot of work
[14:19.280 --> 14:21.280]  But I feel like apple, you know
[14:21.360 --> 14:24.880]  It's worth it. Apple wants developers to use new stuff, right?
[14:25.040 --> 14:30.080]  And so without teaching and and having these sessions where you can learn about the new stuff. How are you going to do it?
[14:30.080 --> 14:33.840]  Right, so I don't think they it is a lot of work, but I don't think they resent it
[14:33.920 --> 14:36.500]  I think that they enjoy it. I think they like the opportunity
[14:36.960 --> 14:43.680]  but I guess what they could do if this virus virus makes them or or or they feel like they should even if they don't have
[14:43.760 --> 14:47.520]  To but feel like it's the the safe thing to do is cancel the actual
[14:48.160 --> 14:51.920]  Let's get five thousand people in san jose together is do it virtually
[14:52.560 --> 14:55.840]  And you know, that's how most people around the world actually experience
[14:55.840 --> 15:00.900]  WWDC anyway, right because there's you know, the with the lottery and everything
[15:01.460 --> 15:03.860]  I don't you know, there's five thousand attendees or so
[15:04.500 --> 15:12.660]  And obviously at this point tens of thousands of developers around the world who consume the entirety of WWDC via streaming
[15:13.380 --> 15:18.740]  So what if everybody did it via streaming and they just have the presentations. They still do all the work
[15:18.740 --> 15:20.740]  They would have done if it was going to go on
[15:20.740 --> 15:26.100]  But the entire thing goes through the WWDC app in terms of your experience
[15:26.340 --> 15:31.300]  And then the press event would just be for press only on monday morning and they'd have it at the steve jobs theater
[15:31.380 --> 15:33.380]  That's my football idea
[15:33.860 --> 15:35.860]  They could do that. And I mean they've also done
[15:36.900 --> 15:39.540]  In the past like when a new iphone comes out they have done
[15:40.980 --> 15:46.180]  New presentations for new technical features like new apis about the new camera, for example
[15:46.180 --> 15:51.780]  And they have just posted those on the developer website. So it's not totally new to
[15:52.500 --> 15:56.740]  Talk about new apis and it's just available via streaming, right?
[15:57.380 --> 16:01.620]  I guess the the main downside maybe is that you do lose with the remote event
[16:02.020 --> 16:05.540]  You lose the obviously the personal contact and for a lot of developers
[16:05.620 --> 16:07.620]  That's uh, there's a lot of value in
[16:07.700 --> 16:12.580]  You know being able to go to the labs and actually get your code in front of somebody who works at apple
[16:12.580 --> 16:15.540]  I can give you pointers and suggestions and you lose all of that
[16:15.540 --> 16:20.500]  Uh with a remote event, uh, and I highly doubt that apple would do some sort of
[16:21.140 --> 16:24.020]  chat feature where like a developer can I mean
[16:24.020 --> 16:30.580]  I guess it could be even possible for a developer to talk to somebody directly during WWDC week
[16:30.740 --> 16:36.180]  But I I mean going to the labs in person, um, like physically, uh, go there
[16:36.420 --> 16:41.380]  It's totally different experience and you will lose all of that but also like not having
[16:41.380 --> 16:45.300]  I think they should I I think I agree with you. They should still do some kind of
[16:45.860 --> 16:48.020]  WWDC even if it's just uh
[16:48.020 --> 16:55.700]  Like a like a streaming only one if only because it sets so much of the narrative for the year at least in terms of software
[16:56.100 --> 17:01.380]  Uh, it's it's a as you said it's a way for apple to they like doing this because it's also a way for them to share
[17:01.620 --> 17:07.300]  A story and and a strategy for the next few months. Yeah, and and they really
[17:07.300 --> 17:12.420]  They've always been a company of habits and you know
[17:13.620 --> 17:18.420]  that there's an annual calendar to apple and following apple and
[17:18.980 --> 17:24.580]  It I guess it's never set in stone and never assumed that anything is permanent. Um,
[17:26.260 --> 17:33.060]  You know, but I I do feel though that internally they they clearly feel it's a good idea
[17:33.060 --> 17:38.740]  Clearly feel it's a good idea and you know, I think some of us on the outside
[17:39.300 --> 17:43.700]  Talking about software quality which we can get into as the podcast as the show goes on
[17:44.420 --> 17:48.020]  Might disagree with with this to some degree that it's good
[17:48.500 --> 17:51.860]  But that the annual schedule they have the os's on
[17:52.580 --> 17:56.420]  Is clearly a deliberate strategy on their part. I mean they they
[17:56.420 --> 18:02.260]  Almost come out and say it they very seldom, you know at the executive level like to explain
[18:02.660 --> 18:08.340]  Their thinking they're secretive about why they do what they do. They're just like, you know, here's what we have
[18:08.340 --> 18:10.340]  Here's what we're going to do
[18:10.340 --> 18:14.500]  Well, why why do you like why do you tell us everything that's coming for the next year at wwdc?
[18:14.500 --> 18:20.260]  They don't want to tell you but they clearly, you know, it's so many years in a row where they've been doing it this way
[18:20.260 --> 18:26.660]  And ios has always been on this annual schedule I ever since the original iphone came out there have been
[18:27.460 --> 18:28.980]  major new
[18:28.980 --> 18:34.980]  integer dot o releases of ios, you know, even before ios had a name and
[18:35.540 --> 18:41.140]  You know now that ios and ipad os are two different names. They're still on the same schedule and
[18:42.180 --> 18:44.180]  You know tv os
[18:44.180 --> 18:48.340]  Which is built on ios has the same fundamental version number. It's tv os
[18:48.340 --> 18:50.340]  13.0
[18:50.340 --> 18:54.660]  Uh watch os has been on it has been on the same annual schedule mac os
[18:54.660 --> 18:59.860]  Which in the early years of ios was not on an annual schedule anymore and you know
[19:00.500 --> 19:05.860]  Is now and I feel like it's all very strategic. I think apple thinks it keeps them honest
[19:05.860 --> 19:09.380]  I feel like they feel like this is a way that they can
[19:10.580 --> 19:14.420]  You know and at some level that you know, it's undeniable, you know, we can quibble about
[19:14.420 --> 19:20.900]  Whether they push too fast and do new features faster than they fix bugs et cetera
[19:20.900 --> 19:25.300]  but at some level it obviously keeps them from falling into
[19:26.260 --> 19:28.660]  The trap that I think microsoft fell into
[19:29.540 --> 19:37.220]  Over a decade ago with windows 7, right? I mean, that's that's that's the thing that I think they want to avoid where
[19:38.020 --> 19:40.020]  post
[19:40.020 --> 19:45.620]  What was it windows nt? What was the windows 2000 right windows 2000 came out
[19:46.340 --> 19:51.620]  And was a huge hit. It was probably peak windows in terms of popularity and
[19:52.660 --> 19:54.660]  industry dominance
[19:54.900 --> 19:59.060]  and they came up with the what's next after windows 2000 and they had
[20:00.420 --> 20:02.820]  Sort of a boil the ocean plan with all these
[20:03.540 --> 20:07.460]  You know, they wanted to do so much in the next version and all of a sudden, you know
[20:07.460 --> 20:12.500]  Five six years go by you know, and they hadn't come out with the successor, right?
[20:12.900 --> 20:18.500]  That's what you want to avoid. You don't want to try to bite too much off and these and this annual schedule
[20:19.140 --> 20:24.100]  Kind of keeps everything down to we're gonna keep making incremental progress every year
[20:24.740 --> 20:29.940]  And I think they like it and I think announcing it at wwdc is very strategic
[20:30.660 --> 20:32.660]  yeah, yeah, and also like
[20:32.660 --> 20:40.180]  Unlike other companies like this all these android manufacturers apple controls both the software and the hardware and because of that
[20:40.820 --> 20:46.260]  they can tie the new version of ios to a new iphone right and and only
[20:47.220 --> 20:52.420]  You know apple is one of the very few companies that can do this and and the reason why there's an annual version of ios
[20:52.420 --> 20:54.820]  It's because usually the new iphone also has some
[20:55.460 --> 20:58.500]  hardware feature that is enabled via software and so
[20:58.500 --> 21:06.020]  hardware feature that is enabled via software and so what this virus does though, it's such a new situation because
[21:06.740 --> 21:14.660]  Supply chains are going to be constrained and we're starting to hear all these rumors about all kinds of devices being delayed from
[21:14.980 --> 21:21.220]  Smaller companies like you know bridge. They make the bridge keyboard. They're having issues with their
[21:22.580 --> 21:24.580]  They did a trackpad
[21:24.580 --> 21:32.820]  enabled keyboard which it's kind of funny because we're going to talk about that in a few but that's being delayed and we're hearing that like
[21:33.540 --> 21:41.480]  Sony and microsoft they are preparing the the playstation 5 and the new xbox and now they're also facing issues with the coronavirus
[21:42.100 --> 21:44.100]  So what's going to happen to the iphone?
[21:44.820 --> 21:49.220]  It's it's such an it's something that in my lifetime. I've never
[21:49.220 --> 21:54.100]  Seen anything like this, uh in terms of like a stop to the global economy
[21:54.660 --> 21:59.540]  And yeah, like what does it mean in the in the in the world of apple in terms of?
[22:00.020 --> 22:04.180]  Will there be a new iphone in september and if so, there must be a new version of ios
[22:05.060 --> 22:07.060]  My and I you know, obviously
[22:07.940 --> 22:14.340]  It's one of those things where maybe you know, here's a situation where having tim cook as the ceo of the company is
[22:15.460 --> 22:17.460]  Ideal right like who better
[22:17.460 --> 22:21.540]  It because ultimately it's an operations problem, right? This is
[22:22.420 --> 22:27.220]  Literally operations 101 to have a supply chain disruption
[22:27.940 --> 22:35.300]  This significant and so, you know, it's not like somebody has to come in and explain how the supply chain works to tim cook
[22:35.860 --> 22:38.580]  right, like, you know, it
[22:39.860 --> 22:43.700]  It it you know, you literally could not ask for a better ceo
[22:43.700 --> 22:49.780]  For a crisis like this if it is indeed a crisis, but what and I am not an expert on the supply chain
[22:49.780 --> 22:52.900]  and and the details of the supply chain are
[22:53.620 --> 22:59.780]  Like much at apple a uh, you know, it's like the recipe to coca-cola. It is a very tightly held secret
[22:59.780 --> 23:04.020]  They don't talk about how they're up, you know, they don't talk about how?
[23:04.820 --> 23:08.020]  The supply chain works in detail. It's
[23:08.580 --> 23:11.140]  You know, it's effectively a black box
[23:11.140 --> 23:14.660]  You know, it's effectively a black box in a lot of ways
[23:15.460 --> 23:16.420]  um
[23:16.420 --> 23:19.620]  But one thing reading up on this in in hey
[23:19.700 --> 23:24.580]  How big a deal is this coronavirus in terms of the supply chain and and is the sort of thing that could?
[23:25.460 --> 23:30.100]  You know disrupt apple's obvious plans to have brand new iphones in september
[23:30.820 --> 23:31.700]  um
[23:31.700 --> 23:34.340]  and this makes I think this makes common sense is that
[23:35.380 --> 23:37.780]  Let's say it's a two or three week shutdown, you know
[23:37.780 --> 23:41.140]  And they shut down certain factories and suppliers for two to three weeks
[23:41.460 --> 23:42.980]  Tell everybody to stay home
[23:42.980 --> 23:49.380]  Don't leave your house and then two or three weeks go by and they open back up in china and they're there that doesn't mean
[23:50.420 --> 23:54.900]  That everything that would have happened is just pushed back two or three weeks, right?
[23:55.060 --> 23:59.000]  It's it's like a ripple effect right like a two or three week disruption
[23:59.700 --> 24:01.700]  Could have a months-long
[24:01.840 --> 24:03.840]  disruption in supply
[24:04.020 --> 24:06.020]  because it
[24:06.020 --> 24:08.020]  it it's just that
[24:08.480 --> 24:14.660]  Complicated and there's so many cogs that having you know, one or two cogs stop for a bit
[24:15.140 --> 24:17.380]  Shuts the whole machine down
[24:17.940 --> 24:20.100]  For a while and then has to start back up
[24:20.820 --> 24:21.940]  um
[24:21.940 --> 24:25.700]  And the other thing too you have to keep in mind is like oh well
[24:26.420 --> 24:29.700]  95 of suppliers are back up and running at full steam
[24:29.700 --> 24:37.460]  Um, but what about the five percent that aren't right? Like what if they're not what if the components that those suppliers provide?
[24:38.420 --> 24:39.760]  aren't
[24:39.760 --> 24:44.580]  Obtainable from alternative suppliers or aren't obtainable in sufficient
[24:45.200 --> 24:49.540]  Quantity from other suppliers, right? Like it could be one tiny little screw
[24:49.620 --> 24:54.980]  But if it only comes from one factory, you cannot make the iphone or you have to redesign around it, right?
[24:55.060 --> 24:57.780]  I mean a screw is probably a bad example, but
[24:57.780 --> 24:59.380]  You know
[24:59.380 --> 25:06.260]  It who knows, you know, which how many components from the iphone have some sufficient alternatives to defend against this
[25:06.900 --> 25:10.500]  Yeah, yeah, and in the short term not to mention there's
[25:11.060 --> 25:17.060]  Rumors of a spring event and now that's an even more problematic one because all these all these
[25:19.140 --> 25:21.140]  Issues are happening now like
[25:21.540 --> 25:27.060]  Countries that are saying like, you know, italy and france for example are saying it's probably best if you don't try it
[25:27.060 --> 25:28.580]  If you don't travel right now
[25:28.580 --> 25:34.900]  So what does that mean for any kind of european media that may be invited to an apple event, right? So I
[25:35.780 --> 25:39.700]  I don't know. Do you I mean it's it's do you have any idea before we leave the subject?
[25:39.700 --> 25:41.700]  But I mean what it is
[25:41.780 --> 25:47.620]  I think it's just a fluke but I mean, you know, italy is certainly has a you know, world-class health care system and
[25:48.500 --> 25:50.500]  It just seems it just seems so
[25:50.960 --> 25:53.300]  Anomalous that italy of all countries
[25:53.300 --> 25:57.140]  Has this, you know, 600 person outbreak. I
[25:58.100 --> 26:02.500]  My guess is it's just a fluke and that's just the way things like this go right like
[26:03.220 --> 26:08.260]  Somebody shows up with it and it starts to spread and boom, you know, 600 people have it
[26:08.980 --> 26:10.980]  Yeah, so what they're saying is that um
[26:12.820 --> 26:14.820]  It went unnoticed
[26:15.140 --> 26:20.900]  For 10 days right and in those 10 days is it spread to a lot of people?
[26:20.900 --> 26:27.540]  um, now I actually think that the government actually did a very good job in terms of okay now we need to shut down
[26:27.860 --> 26:35.400]  At least two major areas in northern italy and they did that and they closed offices and schools and public transportation
[26:36.020 --> 26:42.420]  Uh, and it's you know, like right now we're asking those people who live like near milan and near uh venice
[26:42.420 --> 26:48.020]  For example, we're asking them a lot like stay it stay inside and don't leave the house for two weeks
[26:48.020 --> 26:51.060]  But I also think that it's uh
[26:52.500 --> 26:54.500]  It's it's a like it's a
[26:54.980 --> 26:59.540]  mindset problem in the sense that we italians we tend to
[27:00.340 --> 27:02.900]  Take these kinds of things way too lightly
[27:03.460 --> 27:07.460]  We and and like right now there's a whole debate going on
[27:08.180 --> 27:14.580]  Whether the government is actually doing too much because it's just the flu like a lot of people are saying that oh, it's just a flu
[27:14.580 --> 27:19.060]  Whatever. Um, and and I think that's something that we italians do all the time
[27:19.060 --> 27:26.020]  Like we we don't necessarily give as much importance to things that the government says actually look this is important
[27:26.020 --> 27:28.740]  You should care about it. And so i'm seeing a lot of people
[27:29.700 --> 27:33.220]  Simply say well, whatever. It's just a cold. It's just a flu. I don't care
[27:33.780 --> 27:39.300]  It's not a problem. And so I think a lot of people do not go get tested because of that
[27:39.540 --> 27:42.020]  And for that reason it's spreading even more quickly
[27:42.020 --> 27:44.020]  so, um
[27:44.100 --> 27:51.220]  The health the healthcare system here is actually very good. Yeah. Yeah, but one of the things I read was that you have to
[27:51.220 --> 27:56.740]  You have to understand that one of the things we might see is we might see higher
[27:57.380 --> 27:58.980]  rates of
[27:58.980 --> 28:05.780]  infection reported in countries with better health care systems right because they have the better health care system and people will go to the
[28:05.780 --> 28:13.940]  doctor and get identified and that the the danger is that in the countries where where the health care system isn't as good and people
[28:13.940 --> 28:15.060]  You know
[28:15.060 --> 28:17.300]  Don't have access to quality health insurance
