[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[02:08.720 --> 02:14.720]  Yeah, I mean so people who don't live in one of the cities that Virgin America services
[02:14.720 --> 02:19.320]  Which is I'm not even sure what the current number is, but let's say it's 10 might be 12 or something like that
[02:19.320 --> 02:23.960]  It's not very many still started in San Francisco. The company was was headquarters here
[02:23.960 --> 02:28.080]  Obviously was famously, you know started out of Richard Branson's virgin group
[02:29.040 --> 02:31.040]  and
[02:31.120 --> 02:36.440]  So people who don't live in one of those 10 to 15 whatever it is now cities, you know
[02:36.440 --> 02:43.680]  Sort of don't really understand why people who do live in one of those cities and take Virgin regularly are sort of upset about this
[02:43.680 --> 02:48.080]  And the best pushback that I found most amusing was on Twitter
[02:48.120 --> 02:52.240]  You know basically saying but Alaska Airlines is such a great airline, too
[02:52.240 --> 02:56.680]  And you know, I've been on Alaska certainly any flight that goes so like to sort of the Pacific Northwest
[02:57.600 --> 03:03.040]  You know, that's sort of one of the common carriers and it's fine. It's it's a nice airline, you know, it's not United
[03:03.040 --> 03:05.040]  I'm sure we could think about that in a second, but
[03:05.040 --> 03:11.600]  It's it's fine, but it's not Virgin America. You have to be on a Virgin America plane to know what that's like
[03:11.600 --> 03:15.960]  I mean if you think back to when it when it started whenever that was several years back
[03:16.560 --> 03:19.160]  You know the fact that they were all sort of new planes
[03:20.600 --> 03:23.040]  The basic thing that I highlighted it
[03:23.040 --> 03:26.100]  you know in that in that post is I think people don't understand like
[03:26.280 --> 03:31.760]  You got a level of consistency flying Virgin America that you don't get with any other airline because it's a total crapshoot
[03:31.760 --> 03:36.740]  Whether you're gonna get an old rickety plane whether you're gonna get one with like, you know, still cigarette
[03:42.640 --> 03:43.600]  Yes
[03:43.600 --> 03:48.680]  And with Virgin sort of because it was you know a newer airline they had all the same
[03:48.680 --> 03:53.940]  I think it was a 380 planes. No, they three days the big one. Whatever the whatever the Airbus is
[03:54.440 --> 03:59.840]  321 I could might be that yeah, maybe it's one of those, you know, there's sort of standard and smaller
[03:59.840 --> 04:07.560]  Airbus planes and so they were all that they all had Wi-Fi which at the time, you know was was a novelty certainly
[04:07.760 --> 04:13.120]  They all had those televisions in the screen backs not just in first class or anything and all the screens all the seats
[04:13.120 --> 04:18.720]  Sorry had that and you had a very consistent experience. You knew if you're getting on a Virgin America flight it was
[04:19.120 --> 04:20.960]  More likely to be a good flight
[04:20.960 --> 04:24.000]  I mean, I'm sure there, you know, everyone will have a horse story about every airline
[04:24.000 --> 04:26.240]  But it's not like it's not like you hear about
[04:26.240 --> 04:31.360]  United and Delta and some of the other ones that are just you know, constantly a crummy experience
[04:31.360 --> 04:36.360]  This was this was a definitely a notch above we had them in Philly
[04:38.280 --> 04:41.760]  Until about two years ago and we lost them
[04:41.960 --> 04:48.580]  We lost Virgin during the in the aftermath of the American or the merger us air merger
[04:48.680 --> 04:51.800]  I've told this story before but long story short. It's very simple
[04:51.800 --> 04:56.320]  When when US Air and American proposed merging?
[04:56.960 --> 05:02.520]  one of the problem areas was that it gave the combined airline too many gates at
[05:03.200 --> 05:06.880]  JFK in New York that that the F or the federal aviation
[05:06.880 --> 05:11.560]  there's some kind of limit to the percentage of gates that any one airline can have in any Airport and
[05:12.240 --> 05:16.060]  US Air and American both had a big presence at JFK and it was too many gates
[05:16.320 --> 05:18.800]  So they had to get rid of some of the gates and Virgin
[05:18.800 --> 05:26.720]  decided they would rather take more gates at JFK but leave Philly entirely but and they couldn't keep both because one of the problems of
[05:26.720 --> 05:28.720]  Being an airline is it's really hard to get more planes
[05:28.720 --> 05:33.800]  I mean, it sounds silly because you think like oh you just buy, you know, call Boeing up and buy a plane
[05:34.240 --> 05:36.240]  right, you know, I mean like if you and I bought a
[05:36.760 --> 05:42.520]  Started a moving company and and it took off and we needed more trucks. We could just go buy more trucks, right?
[05:42.520 --> 05:47.440]  That's not a problem. But in aviation, it's a you know, you gotta like order an airplane like couple years in advance
[05:47.440 --> 05:49.160]  So that's such a long lead time
[05:49.160 --> 05:51.440]  Yeah, and so I've been off Virgin for a while
[05:51.440 --> 05:55.480]  But I still get the emails like I got the email the other day from Alaska telling me not to worry
[05:55.480 --> 05:57.480]  my points are okay, and it's
[05:57.760 --> 06:01.280]  Right. Yeah. Well, I mean, we'll see of course, you know
[06:02.520 --> 06:06.600]  Alaska's trying to say all the right things, you know in there in the sort of press statement about it
[06:06.600 --> 06:11.680]  They said we're going to be sort of bringing the Virgin experience to Alaska flights
[06:11.680 --> 06:16.280]  And so including the humorous bit about there being mood lighting, you know
[06:16.280 --> 06:22.640]  that's one of the that's like the thing they decided to focus on because Virgin America sort of famously has this this purple-hued mood lighting and
[06:22.640 --> 06:25.480]  So Alaska is gonna do that, but they're gonna have blue mood lighting
[06:25.480 --> 06:30.320]  So it will be it'll be not the exact same but it will be almost as good and we'll see
[06:30.320 --> 06:35.440]  I mean, you know, they said that that basically nothing was going to change and then of course everything's changing
[06:35.440 --> 06:41.920]  So, you know don't have a lot of a lot of hope for it remaining as it was the good news
[06:41.920 --> 06:44.320]  If there is like, you know slight good news
[06:44.320 --> 06:48.200]  It's going to take them a long time to sort of phase in and out those changes
[06:48.520 --> 06:55.320]  and so Virgin will remain operating for for I think at least like a year maybe a couple of years something like that, but
[06:56.280 --> 07:01.640]  Yeah, it'll be it'll be a big change in and as we're seeing this week with the the airline industry
[07:01.640 --> 07:05.880]  This is sort of par for the course just doing anything to screw over customers
[07:05.880 --> 07:08.000]  I think they only had two or three gates and it Philly
[07:09.120 --> 07:13.520]  So it wasn't a lot of flights. It wasn't a big presence and it was a small desk for check-in
[07:13.520 --> 07:18.400]  You know usually like two people so it's not a fair comparison to like
[07:19.120 --> 07:21.120]  American which dominates Philly
[07:22.040 --> 07:23.480]  but
[07:23.480 --> 07:26.360]  Every time I every time I could fly virgin I did
[07:27.080 --> 07:32.200]  And I you know, they had a great non-stop service between Philly and San Francisco
[07:32.200 --> 07:36.280]  Which was it, you know does a very common flight for me for for work
[07:37.200 --> 07:41.360]  Every time I could I did and I never once had to wait like that
[07:41.360 --> 07:48.440]  It's just little things like that the people at the desk were like super efficient and and nice and you'd get up there
[07:48.440 --> 07:53.240]  And they would be like hey, you know, and then you'd you'd give them your ID and then they'd you know
[07:53.240 --> 07:56.000]  Take your bag if you had a bag to check or or give you it, you know
[07:56.000 --> 07:58.000]  and you were gone and that was it and you only had
[07:58.040 --> 08:03.760]  No lines and never and and good service on the plane. My favorite story about Virgin was one time
[08:05.120 --> 08:09.240]  Also, I used to get I got the cheapest upgrades to first class. I don't understand
[08:09.240 --> 08:13.720]  They only had the way every plane. They're probably all the same. They only had like eight first-class seats
[08:13.720 --> 08:19.200]  It was like two rows of two. Yeah, or they still do I guess and every almost every time I flew
[08:19.200 --> 08:24.000]  I could get an upgrade from coach to first class for like a hundred bucks and I'd be like, yeah
[08:24.320 --> 08:30.140]  In general the first guy seats, I mean weren't super expensive when you compare it to what they are on other airlines
[08:30.840 --> 08:32.400]  so yeah, I
[08:32.400 --> 08:37.820]  Flew first class on virgin as a percentage higher than anywhere else and it wasn't because I had the points it was because it was
[08:37.820 --> 08:41.640]  So cheap to upgrade and the service was super terrific. The seats were super comfortable
[08:41.640 --> 08:45.160]  but one time I was up in first class and we actually pulled away from the
[08:45.560 --> 08:51.440]  Gate a little bit and then all of a sudden there was some kind of not a not a unpleasant commotion
[08:51.440 --> 08:54.880]  But like some kind of you know thing with the phone and and they're like, hey
[08:54.880 --> 08:59.440]  Hey, let's go back and they went back to the gate and some poor sap who had a connecting flight. That was late
[08:59.440 --> 09:03.520]  They went back to the gate. I'd say it set us back about three minutes
[09:03.520 --> 09:08.960]  they went back to the gate and let this guy on the plane and this guy this guy looked like he won the lottery because
[09:09.640 --> 09:12.800]  You know, he didn't ever hear about that. I've never seen it before
[09:12.800 --> 09:15.960]  I mean, maybe I've never seen it before because I wasn't in first class
[09:15.960 --> 09:21.120]  But I mean, I think even in coach you can kind of tell if they're I've never seen that if the plane stops backing up
[09:21.120 --> 09:23.120]  And goes forward again
[09:23.160 --> 09:26.160]  And it was a nice thing and I was happy for it because the three minutes
[09:26.160 --> 09:28.400]  What's the difference to the three minutes and coming out of it?
[09:28.400 --> 09:33.780]  Was it coming back from SFO to Philly and so you're probably gonna wait that's a long thing to take off anyway
[09:33.920 --> 09:36.460]  But for that poor guy who almost missed his flight
[09:37.600 --> 09:41.200]  They just it was you know thousands of dollars and happiness for that guy
[09:41.200 --> 09:41.960]  and I mean
[09:41.960 --> 09:47.280]  I've seen I've seen much more of the sort of the opposite version of that story where they get the plane is even pushed back
[09:47.280 --> 09:50.040]  From the gate, but they just closed the door and they will not open it
[09:50.040 --> 09:53.560]  Even though the person's there the plane is still there and the door is closed
[09:53.560 --> 09:58.920]  And so it's just they will not reopen it for those people not with Virgin but with like countless other airlines
[09:58.920 --> 10:04.040]  I've seen that yeah, and they were like in this the flight attendants were so nice. They were like, hey, you're here
[10:04.040 --> 10:07.200]  You're on don't want you don't have to run anymore. Take your time. Go find your seat
[10:07.200 --> 10:12.080]  Do you want us to bring you a drink and they were like he was like, this is amazing. Okay, sure. Yes
[10:12.880 --> 10:14.640]  You know, I'll take a coke, you know
[10:14.640 --> 10:17.600]  And it was but to your point that was sort of like that's also
[10:17.960 --> 10:22.080]  Definitely a part of sort of the overall experience with Virgin and I don't know what it is
[10:22.080 --> 10:24.080]  I don't know if they just if they hired
[10:24.280 --> 10:27.560]  Like from a different crop of people in the industry or whatnot
[10:27.560 --> 10:33.400]  But people generally didn't seem to hate their hate their jobs and hate their lives when they're working at Virgin whereas they do
[10:34.280 --> 10:37.480]  You know very often it seems like on many other airlines
[10:37.480 --> 10:42.900]  Yeah at the big ones and I think Alaska and it's like to your point. I I would compare Alaska to Southwest
[10:42.900 --> 10:47.100]  I haven't flown Alaska a lot. I've flown it. I think at least twice to
[10:47.100 --> 10:52.300]  When there was the XOXO conference in Portland, right? Is it coincided with?
[10:54.060 --> 10:58.320]  XOXO at least for three years coincided with
[10:59.100 --> 11:04.180]  the tail end of the iPhone introduction events in September where just by
[11:04.860 --> 11:08.260]  Somewhat coincidence or I guess not quite total coincidence
[11:08.260 --> 11:15.220]  but Apple targeting like the second week of September for iPhone events and XOXO targeting the end of the second week for XOXO
[11:15.220 --> 11:16.580]  at
[11:16.580 --> 11:18.020]  least twice
[11:18.020 --> 11:19.660]  For me to go to XOXO
[11:19.660 --> 11:26.020]  it made more sense to fly out to San Francisco at the beginning of the week wait and then fly San Francisco to Portland instead
[11:26.020 --> 11:28.340]  Of flying all the way back to Philadelphia and then to Portland
[11:28.860 --> 11:32.940]  And Alaska was like, you know was the best airline, you know had the most flights for that
[11:32.940 --> 11:36.500]  so I've flown Alaska at least twice and I would compare it to Southwest it's
[11:37.340 --> 11:43.020]  It's fine. It's I mean, it's Southwest. I've flown it a lot actually and I like it
[11:43.020 --> 11:46.100]  It's sort of like, you know, it's like a nice
[11:46.900 --> 11:48.620]  Computer bus in the sky, right?
[11:48.620 --> 11:53.060]  Cuz they don't have assigned seats and but you get like sort of these numbers and you stand and then you get on the plane
[11:53.060 --> 11:55.820]  You can just pick whatever seat you want and it's like very simple
[11:56.740 --> 12:01.580]  You know, you always I think you always get the same type of plane. So that that's sort of a similar experience
[12:02.660 --> 12:09.880]  But again, I mean that it's nice but it cannot compare it to what Virgin Virgin America like is like the one that does
[12:09.880 --> 12:15.960]  Was supposedly which I have not been on yet. I wonder if you have is the jet blue mint experience
[12:16.360 --> 12:19.640]  Could we don't have I've not been on that or maybe we do we have jet blue
[12:19.640 --> 12:25.440]  But they don't fly anywhere I go out of Philly. I think yeah, and I think I think San Francisco has jet blue as well
[12:25.440 --> 12:27.440]  but I don't think the mint thing is
[12:27.880 --> 12:31.480]  Currently in play or at least it's not like if I would take jet blues
[12:31.480 --> 12:36.080]  I think I've taken it once before and I've taken it to New York because obviously most of time I would take Virgin
[12:37.080 --> 12:39.080]  But I don't think the mint
[12:39.080 --> 12:44.680]  Service operates between San Francisco and New York. Hopefully they change that maybe with the Virgin News, but it's like LA to New York
[12:44.680 --> 12:50.120]  I think has it and people rave about it when they take that they they say it's at least as good as Virgin if not better
[12:50.120 --> 12:52.100]  I don't really know
[12:52.100 --> 12:58.580]  You know all the all the perks and everything having not taken it before but I guess it's that's one to look forward to potentially
[12:58.680 --> 13:01.840]  hmm, and it's just an industry and and I
[13:02.320 --> 13:05.120]  It's you you've made it in your column
[13:05.120 --> 13:09.160]  You made it a sort of comparison to like Apple and Dell or something like that
[13:09.160 --> 13:13.360]  Maybe you ask is maybe more like Lenovo, you know, we're like, I think that is a nice laptop
[13:13.760 --> 13:20.900]  But it's right. It's not it's not a Mac, you know, it's it's what happens if somebody really tries to make something
[13:21.740 --> 13:23.940]  really good in an industry where
[13:25.640 --> 13:28.480]  That was fine is generally considered good
[13:28.480 --> 13:35.080]  I'm really lucky. You know, my my fight was flying. It was more or less on time
[13:35.080 --> 13:37.080]  we landed more or less on time and and
[13:37.520 --> 13:39.520]  None of my luggage got lost
[13:39.560 --> 13:41.120]  Right. I was it was funny
[13:41.120 --> 13:45.520]  We were I was chatting actually with a in our internal work slack
[13:45.760 --> 13:51.180]  with some people about the news and of course everyone's sort of outraged right when it hits and so like there's this long thread going
[13:51.180 --> 13:54.320]  on and that was the thing that I quoted a co-worker mine Ken was like
[13:54.860 --> 13:56.860]  You know comparing it to who?
[13:56.860 --> 14:01.260]  Yeah, sort of the the PC versus Mac thing, which I thought would be fun because of course that always
[14:02.020 --> 14:04.020]  You know draws
[14:04.060 --> 14:08.400]  Such heated debate on both sides for that and whenever you compare anything to
[14:09.020 --> 14:13.180]  To that situation, but I mean, I think it does feel fairly apt
[14:13.980 --> 14:15.980]  You know having been myself
[14:16.220 --> 14:21.980]  you know a longtime PC user when I was growing up and then switching to the Mac and just like I was PC user and
[14:21.980 --> 14:25.700]  It was fine and like yeah, I would get a faster PC and sometimes
[14:25.700 --> 14:32.800]  You know windows would break down and and that would suck but when it worked it was fine. And then you know, it's
[14:33.500 --> 14:38.700]  It was a totally different experience once I switched over. Yeah, it's I mean do you have air pods on Bob at you do?
[14:38.700 --> 14:43.780]  Oh, yeah, I love the alright, so I do too. It's my favorite my favorite thing in the last few years
[14:43.780 --> 14:47.740]  I think yeah, seriously, I love them so much, but that's it in epitomizes
[14:48.620 --> 14:53.020]  What Apple stands for to me, which is let's try to make this as nice as possible
[14:53.020 --> 14:55.940]  even if it's so such a simple thing is just
[14:56.460 --> 15:01.180]  Putting two earpods in your ear and having them just work when you hit play on your phone
[15:01.460 --> 15:04.340]  yeah, and just taking it to like just
[15:06.020 --> 15:12.860]  Just keep going into tenths of a decimal ninety nine point nine nine nine percent nice ninety nine point nine nine nine percent nice and
[15:12.860 --> 15:17.020]  Sweating right after detail. That's the Apple way and and it's not like apples perfect
[15:17.020 --> 15:23.080]  I'll put my favorite example from recent years of Apple totally falling short on this is the remote control for the new Apple TV
[15:23.080 --> 15:29.160]  Oh, yeah, right, which is like how does how did this ever come out of Apple as okay? Because this is so
[15:30.060 --> 15:36.740]  It is fine and it's not you know what I mean? And it's not right. It's not like it's not like a Comcast remote with
[15:37.740 --> 15:39.180]  127 buttons
[15:39.180 --> 15:44.100]  Right. It is Apple like in certain ways, but it's totally on Apple like in other ways
[15:44.100 --> 15:50.340]  It's Apple like in certain ways although like I feel like everyone who has one has the exact same complaints
[15:50.340 --> 15:54.780]  And that complaint is that you never know if you're holding it right side up or upside down and like how did
[15:55.180 --> 16:00.780]  How did just you know just user testing even with amongst Apple employees? How did that not come up?
[16:00.780 --> 16:03.080]  I mean, that's like the first thing that comes up for everyone, right?
[16:03.380 --> 16:10.640]  But to me virgin was shooting for the air pods like experience from check-in to
[16:10.640 --> 16:17.240]  You know getting off the plane. That's what virgins is still stands for while they while they exist, but and
[16:18.460 --> 16:24.240]  Something like Alaska or Southwest which I'm a fan of I'm a big fan of so I've flown tons of miles on Southwest
[16:24.240 --> 16:29.680]  I don't anymore just because they've sort of dropped non-stop routes between the cities I go to and I'm as
[16:30.320 --> 16:35.840]  The longer and more I fly the more resistant I am to taking anything other than a non-stop
[16:35.840 --> 16:41.760]  But I really I do like them and I know that they're not luxurious
[16:41.760 --> 16:47.640]  But I the main reason I like them is that that they do seem to hire really nice people and the planes are very
[16:47.920 --> 16:54.040]  Consistent the Southwest plane is always clean and always exactly the same, but it's nothing like virgin
[16:54.040 --> 16:59.800]  Which was trying to say let's make this really nice. Let's make being in a coach seat like a decent humane experience
[17:00.440 --> 17:03.300]  And the thing that's really a bummer about it
[17:03.300 --> 17:09.340]  Is you know, so when virgin launched I remember it very well in San Francisco
[17:09.340 --> 17:13.980]  There was a lot of pomp and circumstances there is with many sort of Richard Branson affiliated things
[17:14.540 --> 17:20.740]  But you know deservedly so and the whole criticism at the time though was like, yeah, it's a great experience
[17:20.740 --> 17:24.460]  But they'll never be able to keep this going. They're not going to be able to run it profitably and
[17:25.140 --> 17:27.840]  This is just not the way the airline industry works
[17:27.840 --> 17:34.360]  You know in this day and age and you know, I think they were running unprofitably for a long time
[17:34.360 --> 17:37.600]  I do think that they eventually turn to profit or they were very close to it
[17:37.600 --> 17:43.480]  And so there was some hope you know that like look you can actually build an airline with a great experience that actually makes business
[17:43.480 --> 17:44.920]  Sense as well
[17:44.920 --> 17:51.560]  And then of course that just got thrown out the window and they merged I mean and all airlines continue to constantly merge
[17:51.560 --> 17:59.960]  and continue to constantly charge for more things for overhead storage just adding on fee after fee after fee and that's just the
[17:59.960 --> 18:03.160]  You know, that's the state of the industry and virgin
[18:03.160 --> 18:09.560]  It seemed like was trying to buck that trend and it ultimately, you know, just didn't didn't end up doing it. We'll see how
[18:10.080 --> 18:11.280]  Alaska
[18:11.280 --> 18:13.280]  sort of takes takes the
[18:13.440 --> 18:15.440]  takes the mantle but
[18:15.800 --> 18:17.440]  That's what's the real bummer about it?
[18:17.440 --> 18:21.960]  It just it sort of showcases that I think it just probably can't ever ever work
[18:22.080 --> 18:28.200]  it seems like a lot of people I know and it does make some sense, but it's to me key to the
[18:30.200 --> 18:35.000]  Continuing I don't even know if I want to say success cuz I'm not quite sure how profitable they are
[18:35.000 --> 18:38.080]  But the continuing dominance of the the major
[18:38.960 --> 18:42.120]  mediocre carriers your Americans Delta's United's
[18:42.840 --> 18:44.840]  natural is
[18:44.840 --> 18:52.200]  That they large, you know for obvious reasons they they largely depend on regular frequent fliers, right and
[18:52.760 --> 18:58.440]  People who once you start racking up points on a certain airline so many you're locked in
[18:58.440 --> 19:02.080]  Yeah, so I don't feel that way. I've got platinum status
[19:02.640 --> 19:09.960]  American and which is pretty nice and it gets me a couple of perks and I've got miles I can cash in whatever
[19:09.960 --> 19:16.560]  But every time I book a flight, I still search for other airlines just to look and if I found something
[19:17.240 --> 19:19.760]  Better or cheaper on a on a different airline
[19:19.760 --> 19:25.320]  Like I still check to see if Southwest is restored a couple of non-stops to San Francisco every day
[19:25.320 --> 19:26.920]  I look every once in a while
[19:26.920 --> 19:32.760]  Like I would think about going back to Southwest on certain flights, especially if I can and and or if I could get a better
[19:32.760 --> 19:34.760]  Time of day or something like that
[19:34.760 --> 19:40.240]  Yeah, I I'm I'm in the same boat as you I am not sort of beholden to any sort of point system
[19:40.240 --> 19:43.800]  I have the virgin points, of course, but as we just talked about like they didn't go all that many places
[19:43.800 --> 19:46.440]  so obviously I would have to take out their airlines all the time and
[19:47.280 --> 19:51.240]  So I think I have rewards programs at all of them and I don't have huge status
[19:51.240 --> 19:53.800]  but I've said it's at some of them I would say I fly quite a bit and
[19:54.440 --> 19:57.520]  But I'm not one of those people who you know is so adamant about
[19:58.480 --> 20:03.400]  Maintaining that versus just maintaining a good experience that said I do know people who are the exact opposite
[20:03.400 --> 20:09.640]  I know people who take flights to and from New York City just to maintain their status level
[20:09.640 --> 20:13.400]  Like they don't actually they don't actually stay overnight in a city
[20:13.400 --> 20:20.240]  They just do a round-trip flight on one day just to be able to maintain their status, which sounds absolutely insane. I
[20:22.360 --> 20:27.080]  It's just not that important to me and I just don't get that much for it
[20:27.080 --> 20:30.480]  You know like even as a platinum status person on American
[20:30.480 --> 20:37.560]  Like I still don't get I still have would have to pay to join their quote-unquote admirals club to get into the lounges like
[20:38.560 --> 20:46.440]  And I tend not to need lounges because I tend to just fly non-stop from home to my destination
[20:46.800 --> 20:53.240]  My destination to home and the only time I ever really need or wish I had access to a lounge is when my flights delayed
[20:53.600 --> 20:59.240]  If I get to the airport on time and the flight is significantly donate delayed and I've got you know
[20:59.240 --> 21:02.080]  Two or three hours to burn. Well, then it would be nice to be in a lounge
[21:02.080 --> 21:09.120]  You know some places I can get in the Amex lounge, but other airports don't have one, but it's not I don't even get it
[21:09.120 --> 21:10.780]  I have platinum status and I still don't get it
[21:10.780 --> 21:13.440]  So it doesn't make any sense to me and why people are so loyal like that
[21:13.440 --> 21:15.200]  But it really does seem to screw
[21:15.200 --> 21:21.240]  The upstart airlines like they can't that like one of the reasons they can't get traction as people like I've heard virgin is nice
[21:21.240 --> 21:23.360]  But I've got points on United. So
[21:23.360 --> 21:29.920]  Here I go. Yep. Yeah, it's uh, it's it's quite a racket that they that they run and like, you know, I think
[21:31.160 --> 21:35.480]  You know, there's certain other airlines that go internationally that are that are obviously very nice
[21:36.000 --> 21:41.280]  I'm actually getting ready to go to London and I'm gonna be on Virgin Atlantic. It's sort of sister thing
[21:41.280 --> 21:45.940]  It was like the sister thing, but they weren't exactly, you know affiliated for a long time their points didn't even transfer
[21:45.940 --> 21:50.160]  I think they do now but I think they set it up that way to make it easier to have
[21:50.160 --> 21:55.600]  Happened what actually happened which was the rail to sell one or the other without selling the other
[21:56.240 --> 22:01.320]  yeah, and Branson wrote like, you know a post-mortem or whatever and you know, sort of
[22:02.000 --> 22:04.000]  made some reference to it, you know, like
[22:05.000 --> 22:07.000]  losing a child and
[22:07.640 --> 22:12.880]  but there was all sorts of issues, you know with it with his ownership of it and
[22:14.200 --> 22:18.320]  Whether or not he could have actually blocked anything. It seems like no and so that's what happened
[22:18.320 --> 22:24.200]  I've never flown Virgin Atlantic, but I would love to and my favorite story about that and it relates to the show is way back
[22:24.200 --> 22:26.200]  in the day
[22:26.400 --> 22:31.400]  When Dan Benjamin and I were reviewing all the James Bond movies we were talking I know where you're yes
[22:31.400 --> 22:34.760]  We're talking about quantum of solace. Yes. I was just gonna bring that up. Yep, and
[22:35.840 --> 22:39.400]  Bond is is on on route from England to
[22:40.520 --> 22:45.280]  Where was he going somewhere in South America or the Caribbean right? Yeah, cuz he's with them
[22:45.280 --> 22:49.440]  He's with the the elder gentleman. Yeah. Yeah, and he's like a drink
[22:49.440 --> 22:49.800]  Yeah
[22:49.800 --> 22:56.200]  and and he's bereft and he's he's getting tanked at a there's a bar in the plane and
[22:56.400 --> 23:02.800]  With a bartender and he's sitting at the bar drinking Vesper martinis. He I don't know like 18 of them or something
[23:03.360 --> 23:08.120]  And it's a beautiful looking bar and Dan and I were like, it was a cool scene, you know
[23:08.120 --> 23:13.000]  And it's it's it's kind of unusual to see bond actually get get tank
[23:13.000 --> 23:18.000]  He's always drinking but he's all never seems to be drunk and here he is, you know, drinking himself into a stupor
[23:18.920 --> 23:22.800]  But we were like, how unrealistic is it that there was a nice bar on a commercial air flight?
[23:22.800 --> 23:25.540]  And then all these people wrote to me like oh no, no, they have it. Yeah
[23:25.540 --> 23:31.840]  Yeah, that was actually shot on a real virgin Atlantic. It's like oh my god. I've got to get on that plane
[23:31.840 --> 23:38.040]  I mean, yeah, I've been on them. That's a hundred percent legitimate. They have those bar areas and it's amazing
[23:38.040 --> 23:42.000]  It's not usually as quiet as it was I would say that scene
[23:42.000 --> 23:48.460]  Right, there's usually much more people or activity around it. But yeah, that's that's legitimate. It's it's pretty amazing
[23:49.720 --> 23:55.560]  That was my fit with some of my favorite feedback ever. We were both like totally preposterous who would ever have a commercial
[23:57.520 --> 24:01.760]  It's like something out of the 1960s and and all these people wrote to us they're like, oh yeah
[24:01.760 --> 24:04.500]  It is it is real and it is nice and it's fantastic
[24:04.880 --> 24:08.680]  Yeah, and yeah the thing with virgin is so I rarely virgin Atlantic
[24:08.680 --> 24:15.160]  I rarely take it because it's for some reason it ends up being usually far more expensive than British British Airways
[24:15.560 --> 24:20.020]  And I just we just so happened to find a ticket that was roughly the same price
[24:20.020 --> 24:23.620]  And so we decided to book that because you haven't taken virgin
[24:23.620 --> 24:30.520]  But if you ever go to London in at Heathrow, they have an amazing lounge too. It's probably the best lounge
[24:30.520 --> 24:32.080]  I've ever been in
[24:32.080 --> 24:35.080]  Including you can get a haircut, you know, you can shower you can
[24:35.080 --> 24:40.120]  It's pretty nice they have a spa they have all this amazing stuff there the shower
[24:40.120 --> 24:45.120]  It would be nice because sometimes for whatever reason when you fly cross country, especially for you because you're coming from the West Coast
[24:45.120 --> 24:50.940]  I always feel like it's been like three days since I when I get off the plane like in Europe
[24:50.940 --> 24:54.120]  I always feel like man that felt like it was 72 hours. Yeah
[24:54.700 --> 24:56.700]  Yes
[24:56.880 --> 25:01.200]  So, yeah, I highly recommend that if if you ever going overseas, all right
[25:01.200 --> 25:04.940]  let me take a break here and thank our first friend of the show our good friends at
[25:06.040 --> 25:11.720]  Squarespace you guys know Squarespace. It's the best place to go to make a website register domain anything like that
