[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[09:00.920 --> 09:04.200]  Last year. I actually brought this up specifically as an issue
[09:04.200 --> 09:07.760]  I'm like you got to fix this for the next generation because like this it to me
[09:07.760 --> 09:10.280]  I understand making that kind of compromise on
[09:10.880 --> 09:13.920]  Something like a MacBook Air where it's it's a lower end product
[09:13.920 --> 09:18.240]  You're doing it to hit a price point the buyers might not care as much if the screen is a little bit blurrier than it
[09:18.240 --> 09:20.520]  Could be at its default setting fine. That makes sense
[09:20.560 --> 09:26.400]  But on the MacBook Pro where you care so much about this amazing screen and they talk and they put so much work into the
[09:26.400 --> 09:34.760]  amazing screen they have this amazing color and contrast and detail and the finishing and everything like any possibly higher refresh rates coming down the
[09:34.760 --> 09:39.920]  Road they have they put so much effort into the display and on their highest end laptop
[09:39.920 --> 09:45.640]  They can't make it actual to actual true 2x pixels like that. I don't any argument they have for that
[09:45.640 --> 09:46.440]  I don't think it's a good argument
[09:46.440 --> 09:46.840]  Yeah
[09:46.840 --> 09:48.960]  I don't think so, especially because they do it right on the desktops
[09:49.000 --> 09:52.720]  Right and they have since 2014 when the when the retina iMac came out, right?
[09:52.720 --> 09:58.480]  Well, it's even in the name. They even call it 5k. I mean, yeah, they couldn't call it the retina 5k iMac if
[09:59.560 --> 10:00.560]  5k
[10:00.560 --> 10:05.200]  Pixels exactly. Well, we know they can do it. And so I just I wish they would
[10:06.000 --> 10:11.720]  What else is that? We have news wise. How about these? How you doing with the betas this summer? Oh my god. I
[10:13.760 --> 10:15.760]  Listen to the 80 I listen to ATP
[10:15.760 --> 10:22.960]  I don't know if it was last week or the week before but you'd see you said more or less you're giving up on getting
[10:23.960 --> 10:25.960]  anything other than the
[10:27.480 --> 10:30.160]  iPhone update to overcast out by day one
[10:30.320 --> 10:30.800]  Yeah
[10:30.800 --> 10:38.520]  and and I'm actually I'm doing things like I spent the summer instead of doing like all iOS 13 and catalyst and
[10:39.040 --> 10:43.480]  An independent watch OS stuff instead of rewriting all my stuff in Swift UI and everything
[10:43.480 --> 10:47.240]  Which is like kind of what I thought I would be doing like the first day of WBC when we heard all this stuff
[10:47.240 --> 10:50.600]  I'm like great. This is gonna be a packed summer. I'm gonna be doing all this stuff all the new betas
[10:51.080 --> 10:55.720]  Yeah, then I got the betas and it turns out they're really still pretty rough still pretty early
[10:55.920 --> 11:00.240]  I I don't even want to touch catalyst or Catalina anymore
[11:00.240 --> 11:04.120]  like I did the first two betas of that and like I knew nope, I'm done with that for a little while and
[11:04.800 --> 11:09.120]  And even like even the API stuff iOS 13 is still super rough
[11:09.120 --> 11:12.360]  It's hard to tell like when I when I make something with the UI of it
[11:12.360 --> 11:17.800]  It's hard to tell whether any bugs are my fault or the OSS fault and and so I've just decided you know what?
[11:17.800 --> 11:19.360]  I'm just gonna focus on
[11:19.360 --> 11:25.040]  Underlying like under the hood changes this summer that are preparing the way for me to do more of that stuff in like a month
[11:25.040 --> 11:29.120]  Or two and so like like for instance like last week. I spent most of the past week
[11:30.320 --> 11:32.320]  writing the sync engine differently
[11:32.520 --> 11:39.680]  Because the sync engine the way it's been doing it from like 1.0 until now has some limitations and more importantly it has some really
[11:39.680 --> 11:42.680]  incredibly intense memory usage
[11:43.320 --> 11:49.880]  When you're doing a full resync to the servers when you have a lot of a lot of podcasts and at first I thought well
[11:49.880 --> 11:54.760]  Who's gonna have more than like, you know, 20 30 podcast subscribed and I looked at my own account
[11:54.760 --> 11:59.800]  I already and I have 90 and I'm like, alright, maybe maybe this is a more common than I think and I look
[11:59.800 --> 12:01.440]  You know a lot of you just have like
[12:01.440 --> 12:02.520]  200 300
[12:02.520 --> 12:07.400]  I think the the peak is something like 600 to a thousand Wow and and that that is it isn't like
[12:07.400 --> 12:13.520]  You know one person who has that it's like multiple, you know, it's not that uncommon to have a couple hundred podcast subscriptions and overcast
[12:13.520 --> 12:15.680]  especially after you've using it for like five years, so
[12:16.800 --> 12:21.560]  The problem is that kind of sync engine won't fit in the Apple watches constraints
[12:21.560 --> 12:24.760]  So when I want to make an independent watch app, which I do want to do
[12:24.760 --> 12:27.640]  I can't bring the sync engine over until I change it
[12:27.640 --> 12:32.020]  So now I've spent the last week like doing sync in a pretty different way
[12:32.320 --> 12:35.920]  That should be much better and changing the server to support it and everything else
[12:35.920 --> 12:40.720]  so that's the kind of work I'm doing now because I don't need to be using the beta SDK to do pretty much any of
[12:40.720 --> 12:41.680]  that and
[12:41.680 --> 12:47.920]  once this fall comes around I can actually like install the GM versions of these tools and
[12:48.240 --> 12:51.640]  Hope they're at all ready to go and hope for the love of God
[12:51.640 --> 12:57.120]  Whoever's writing the iOS mail app has gotten their act together. Oh god mail is so bad. Have you using are you me on betas?
[12:57.680 --> 12:59.480]  I
[12:59.480 --> 13:01.480]  Have it on my old iPhone 10
[13:01.480 --> 13:09.160]  And I have it on an iPad mini and it was I got so freaked that
[13:10.120 --> 13:14.960]  Because I saw stories from people who were saying that I won't even running it on my main device
[13:15.320 --> 13:18.840]  But it's screwed up my iCloud or my notes or something
[13:18.840 --> 13:24.360]  Yeah, that's the scariest and so I and I just don't feel it doesn't it's not useful for me to try it with a throwaway
[13:24.700 --> 13:26.400]  iCloud account
[13:26.400 --> 13:32.520]  Like if I'm not actually using my actual data, what's the point? So right. I'm not really doing it. What's wrong with mail on iOS?
[13:33.520 --> 13:39.740]  my understanding is that they rewrote so iOS 13 brought a lot of a lot of new changes to
[13:39.980 --> 13:43.280]  some of the basic UI components that a lot of iOS apps use namely
[13:43.700 --> 13:45.700]  table views and collection views and
[13:45.800 --> 13:51.960]  Like how they manage their data how like when a new item comes in you can animate it in instead of just like refreshing the whole
[13:51.960 --> 13:57.880]  table as like, you know a single frame and they made that easier and it changed the API's around that and and they added introduced a
[13:57.880 --> 14:03.540]  Bunch of new stuff to just make all that stuff better and easier to use and so my understanding is they rewrote mail
[14:04.320 --> 14:06.320]  entirely using collection view and
[14:06.760 --> 14:09.800]  using these some of these new data source methods and
[14:10.560 --> 14:12.480]  It's really early
[14:12.480 --> 14:18.420]  I would say to try to be kind to people writing it like if you use the mail app on the phone
[14:18.420 --> 14:23.520]  I would not recommend installing the iOS 13 betas because there's just all sorts of like bugs that
[14:23.940 --> 14:26.560]  You might have if it was like your very first
[14:27.080 --> 14:30.680]  It's not like the kind of rewrote a lot of that UI from scratch and it shows
[14:31.160 --> 14:33.880]  Because you'll have bugs like like in table views
[14:33.880 --> 14:37.560]  You'll have cell reuse bugs where like as you're scrolling
[14:37.960 --> 14:43.600]  The title of one message will be repeated on all on all the cells in the screen or like they'll all say no sender
[14:43.600 --> 14:48.640]  And instead of the actual sender of the mail or you'll have rows that are inserted that are empty
[14:49.760 --> 14:55.640]  Problems like that. So it's yeah, if you use iOS mail don't install the betas yet. I think it's gonna be interesting because
[14:57.040 --> 14:59.040]  It sounds to me like
[15:02.580 --> 15:04.580]  Apple's behind
[15:04.580 --> 15:12.740]  For where they really should be to ship the iPhone a new iPhone in early September. I mean, we're like five weeks out, but
[15:14.620 --> 15:16.620]  I don't know that they would
[15:18.020 --> 15:19.460]  Hold
[15:19.460 --> 15:25.500]  The iPhone hardware up for an extra two or three weeks of bug polished and finished just to do it
[15:25.500 --> 15:27.940]  Like I wouldn't be surprised if they announced the phone on
[15:28.900 --> 15:33.740]  Schedule, but maybe it doesn't ship until the end of September. They still have the early September event
[15:33.740 --> 15:39.460]  But you know if it's buggy if iOS is buggy that is when reviewers get the phones, right?
[15:39.460 --> 15:41.460]  Yeah, we get them right after the event
[15:42.100 --> 15:44.200]  It just seems like it is
[15:45.780 --> 15:47.420]  You know
[15:47.420 --> 15:51.340]  They're playing with fire this year because that that hardware date is sort of set in stone
[15:51.980 --> 15:56.960]  And I don't even I don't think they would even delay the shipping of the phones for software because you know
[15:56.960 --> 15:58.040]  A lot of their products, you know
[15:58.040 --> 16:03.420]  The volumes that they might sell in additional two weeks in a quarter might not matter so much to their financials
[16:03.420 --> 16:07.420]  But the phone matters a lot like if they miss two weeks of sales because the software is a little bit rough
[16:07.580 --> 16:10.780]  That's gonna hurt them in the financials in ways that are probably not worth it
[16:10.780 --> 16:13.340]  I'm guessing they ship the phone on the same day
[16:13.340 --> 16:18.920]  They were planned to no matter what right and they just make the software as good as they could make it by that day
[16:18.920 --> 16:24.300]  And just hope for the best. Yeah, you know, maybe they're gonna delay the you know Mac OS and
[16:24.940 --> 16:29.300]  WatchOS or TV OS and whatever the heck the HomePod OS is called
[16:29.300 --> 16:35.060]  Like maybe they delay those things a little bit to in order to prioritize iOS getting out the door on that hardware ship date
[16:35.140 --> 16:43.140]  Well, they but they've been doing the new watch hardware at the iPhone event. That's true. And I presume, you know
[16:43.660 --> 16:45.260]  I mean
[16:45.260 --> 16:51.000]  There's so many you'd always so many fewer watch rumors than iPhone rumors, but I presume we'll see
[16:51.780 --> 16:57.820]  Series 5 watches this fall. I mean maybe you know, the watch hasn't been an exactly annual cycle though
[16:57.820 --> 17:02.220]  Hmm, like there's been a couple of little 18-month spans here and there and in between a couple of generations
[17:02.220 --> 17:08.580]  So I think it's most likely we'll see a series 5 but I wouldn't say it's as it isn't as sure of a thing as
[17:08.860 --> 17:14.300]  iPhones every September. Mm-hmm, but I do think it's most likely and and I think again, they're basically gonna like, you know
[17:14.300 --> 17:17.740]  Take the the prey approach to software quality
[17:19.180 --> 17:26.340]  Just try to make the deadline as hard as you can because it's going to come regardless because it's too important with the phone
[17:26.340 --> 17:31.260]  I think they would they literally would not even sell the phone or they wouldn't they wouldn't delay selling the phone for hardware
[17:31.260 --> 17:36.940]  I think with the watch they might like they might announce it that same day and oh, it doesn't ship for three weeks
[17:36.940 --> 17:39.620]  Yeah, we're shipping in October or something. Yeah, right
[17:41.420 --> 17:43.780]  Let me take a break thank our first sponsor
[17:44.380 --> 17:47.820]  You like this that we're having me do the sponsor reads. Oh my god. It's luxurious
[17:47.900 --> 17:51.900]  You don't do them live on the show though. You you you edit those things in yeah
[17:51.900 --> 17:55.820]  I record the sponsor reads right before the show like a half hour before basically like I like
[17:55.820 --> 17:57.820]  Whenever the live stream starts on ATP
[17:57.820 --> 18:02.260]  I just finished doing the sponsor reads basically I do I do it all in a row do the sponsor reads
[18:02.420 --> 18:05.620]  Do the live stream and then this I start the live stream and I go like, you know
[18:05.620 --> 18:07.700]  refill my water cup and you know
[18:07.700 --> 18:09.880]  Make sure I'm like, you know put my kid to bed and I mean, you know
[18:09.880 --> 18:13.060]  Whatever else I might have to do in the meantime, but it's usually about a half hour before. All right
[18:13.060 --> 18:15.020]  Well, let me tell you about fracture
[18:15.020 --> 18:21.220]  Fracture is the company takes your photos prints them directly on glass in vivid color in vivid color
[18:21.220 --> 18:28.180]  Look, I this is that my message for fracture is always the same your phone is probably full of thousands and thousands of photos
[18:28.180 --> 18:35.700]  I think I've got like 28,000 photos in my iCloud library. You've got thousands of photos. You've got family members friends vacations
[18:35.700 --> 18:41.900]  You're probably on big, you know, a lot of a lot of people who don't work at Apple are probably taking vacations in August
[18:43.100 --> 18:50.100]  Apple people we're sorry pick some of your favorite photos get them printed by the folks at fracture hang them up around your house
[18:50.100 --> 18:53.700]  It is it makes your house look better. It'll make you happier and
[18:54.380 --> 18:57.140]  File it away. It's not really gift-giving season yet, but
[18:57.860 --> 19:02.820]  Always always one of the greatest gifts you can give to family members. Nobody ever complained
[19:02.900 --> 19:09.820]  No grandparent has ever complained about getting too many photos of their grandchildren or of dogs and cats and whoever else is in your family
[19:10.060 --> 19:14.820]  They make them right down in Gainesville, Florida from u.s. Sourced materials
[19:14.820 --> 19:20.840]  It's a green company carbon neutral factory. You can go to fracture me
[19:21.360 --> 19:26.060]  Fractured dot me for a special discount on your first fracture order
[19:26.780 --> 19:31.880]  Don't forget at the end of the at the end of your order. They could give you a one question survey
[19:32.420 --> 19:36.540]  Where did you hear about fracture? Just remember to tell them it was the talk show or if you prefer
[19:37.260 --> 19:38.460]  ATP
[19:38.460 --> 19:42.680]  Thank you very much. So my thanks to fracture go check them out of fracture dot me
[19:42.680 --> 19:46.120]  Yeah, they're pretty great houses full of them. They're fantastic. Yeah, I can verify that
[19:48.480 --> 19:51.480]  Got a lot of cereal downstairs I opened my big mouth
[19:52.800 --> 19:58.440]  Talking about ATP, but you guys were talking about grape nuts. Of course Johnson accused of loves grape nuts. So do I they're good
[19:58.800 --> 20:00.800]  It's crunchy bread gravel. I
[20:01.560 --> 20:07.920]  I think grape nuts look like they're delicious. I kind of like like a cinnamony sort of crunchy cereal
[20:08.160 --> 20:11.840]  They look very different. I first time I ever tried grape nuts
[20:11.840 --> 20:15.720]  It was the most surprising taste. I just did not expect it
[20:17.080 --> 20:22.600]  They really just tastes like you're eating sand or kitty litter or something. I feel like in the in the area of
[20:23.440 --> 20:29.080]  Not that sugary cereals, you know, cuz all all breakfast cereal like that. It has a good degree of sugar and carbs and everything
[20:29.080 --> 20:32.800]  It's really not the greatest thing you could be eating but but in the area of cereals
[20:32.800 --> 20:37.200]  There's like there's like the sugary ones like the super sugary ones like, you know, your frosted flakes
[20:37.200 --> 20:39.200]  You're you know, captain kronix that kind of stuff
[20:39.200 --> 20:45.240]  And then there's the ones that have less sugar like Cheerios and grape nuts
[20:45.640 --> 20:52.320]  And I think in the less sugar category grape nuts are they do surprisingly well because usually in that category
[20:53.040 --> 20:58.200]  You just have some kind of like, you know weird like, you know wheat brand thing
[20:58.720 --> 21:03.400]  Compressed into some kind of flake or blob or shape or something and it's it's just really boring
[21:03.400 --> 21:08.400]  Usually grape nuts have a have a really fun texture. Like you really got to work hard
[21:08.400 --> 21:15.240]  You really feel like I'm gonna I'm earning these calories that I'm eating here by like chomping on this gravel in my mouth
[21:15.240 --> 21:18.060]  It's taking forever to chew and and it provides a lot more
[21:18.600 --> 21:24.840]  Texture and and I think more flavor than the other not that sugary cereals like Cheerios basically tastes like nothing
[21:24.840 --> 21:30.280]  Yeah, you know Cheerios are baby food basically. Yeah, and they're quite commonly used for that purpose
[21:30.280 --> 21:33.360]  That's exactly I still associated my son's 15 now
[21:33.360 --> 21:38.560]  But I still associate Cheerios very strongly with when he was learning to eat solid food
[21:38.600 --> 21:45.960]  Oh, yeah, you know and it occupies the kids to perfect kid food because it's not messy. I mean, there's you know powder it does
[21:46.480 --> 21:51.720]  change the smell of a car forever if you if you let your kids eat Cheerios in the car like the
[21:51.960 --> 21:57.080]  The smell like you know how like when you when you walk into somebody's house and they have a cat you can always smell like
[21:57.080 --> 21:58.280]  Oh, there's a cat lives here
[21:58.280 --> 22:01.440]  Even if they're pretty clean people you can always kind of tell oh there's you smell a little bit
[22:01.440 --> 22:05.960]  Okay, I was here right you can always tell if people have kids when you get into their car because it'll smell a little bit
[22:05.960 --> 22:07.240]  like Cheerios
[22:07.240 --> 22:09.440]  Because it's like it's like sand at the beach
[22:09.440 --> 22:12.560]  You can't you can't really get all the Cheerios out of the backseat, right? Exactly
[22:12.560 --> 22:15.720]  It'll always smell a little bit like that and it's you know with the kids, too
[22:15.720 --> 22:21.400]  It's always when they're at that Cheerios age. They're also car seat age and that just makes
[22:22.600 --> 22:28.580]  Way more crevices. Yeah where a straight Cheerio can get and you wouldn't even notice, you know
[22:28.580 --> 22:34.240]  You take get the kid out of the car give an eyeball to the backseat and kind of clean up anything you need to clean
[22:34.240 --> 22:36.240]  Up, but those Cheerios they'll get into every crack in the car
[22:36.240 --> 22:36.480]  Oh, yeah
[22:36.480 --> 22:37.400]  Meanwhile then like, you know
[22:37.400 --> 22:42.160]  The car is being baked in the Sun for the next three years and those Cheerios are just roasting in that car seat crevice that
[22:42.160 --> 22:45.920]  You can't reach that smell does not go away. I'm always interested cuz
[22:47.000 --> 22:53.680]  You know, we're of similar age John Syracuse and I are very close in age very similar backgrounds. We even share a first name
[22:54.760 --> 22:56.760]  And it always is fascinating to me
[22:56.760 --> 22:58.600]  where
[22:58.600 --> 23:02.080]  How much aligned our interests are our perspectives?
[23:02.120 --> 23:07.640]  but then there's other areas where we are totally different and so I thought I was interesting like
[23:08.920 --> 23:13.840]  He was saying that when he grew up, he wasn't allowed to have sugar cereal as we called it. Yeah
[23:14.840 --> 23:18.320]  In my house, I was telling you this last night. It was
[23:19.920 --> 23:23.500]  We weren't big junk food people but my family
[23:23.500 --> 23:27.020]  really bought in completely to the
[23:28.020 --> 23:30.740]  mid mid century post World War two
[23:31.740 --> 23:33.140]  Kellogg's
[23:33.140 --> 23:35.140]  Start your day with a bowl of breakfast
[23:35.300 --> 23:37.300]  So we had like a veritable
[23:37.700 --> 23:39.420]  selection of
[23:39.420 --> 23:46.180]  Cereals we always had Cheerios. My dad was a big Cheerios guy. So we'd have some Cheerios. We'd have the cornflakes was a big one and
[23:46.180 --> 23:52.820]  And then my sister and I could pick out two or three sugar cereals at a time and we'd have them open so I could
[23:52.820 --> 24:00.380]  Have fruit loops one day. I could have frosted flakes another day, but every single day of the week was a sugar cereal day for us
[24:00.900 --> 24:01.940]  That's interesting. Yes
[24:01.940 --> 24:07.020]  See we were we were restricted to only weekends would be like we'd have like crackling oat bran on the weekdays
[24:07.020 --> 24:14.540]  And then the weekends would that was the splurge that way then that's when we could have such crazy innovations as like when I was
[24:14.540 --> 24:17.900]  a kid, that's when the Rice Krispies Treats cereal debuted
[24:18.620 --> 24:20.220]  Remember did not need to exist
[24:20.220 --> 24:20.500]  No
[24:20.500 --> 24:25.700]  And I remember like when we got it thinking like this is gonna be illegal in like a year like there's no this should this should
[24:25.700 --> 24:31.540]  Be illegal already. There's no way this is gonna keep being on the market. And here we are still I used to it would be
[24:31.540 --> 24:35.820]  Something I would look forward to I can't say I went to the grocery store all the time with my mom
[24:35.820 --> 24:38.980]  but you know, maybe like eight nine ten, you you you know, I might have been I
[24:40.360 --> 24:43.780]  Forget when I was allowed to stay home by myself if my mom went to the grocery store
[24:43.780 --> 24:48.460]  But one of the things I like to do at the grocery store would be to pick cereal and in hindsight
[24:49.020 --> 24:53.780]  it's kind of crazy that there's an entire aisle in a giant supermarket filled with nothing but
[24:54.420 --> 24:57.220]  Junk food, that's no accident. That's passed off as a
[24:57.860 --> 25:01.580]  Meal and there's so much about that too. Like like the shape of the boxes is
[25:02.180 --> 25:04.420]  Actually a huge waste of cardboard like oh, right
