[00:00.000 --> 00:01.440]  Hello
[09:36.100 --> 09:37.460]  It's just never I mean
[09:37.460 --> 09:40.480]  I kept having this hope for the first two years like
[09:40.780 --> 09:44.580]  That they would get better and it did get better for a while and then it feels like to me
[09:44.580 --> 09:50.460]  They hit a wall where it's like this is all Apple is ever gonna let Bluetooth generic Bluetooth devices. Do yeah
[09:50.460 --> 09:56.380]  I you know app is a sort of nebulous word and as time goes on it's ever more nebulous
[09:56.380 --> 10:02.500]  But the basic idea because it doesn't really relate to anything like at a low-level computer science
[10:03.340 --> 10:06.180]  term it's a bundle, you know that that
[10:06.900 --> 10:13.920]  Basically means it's a process running on your computer that displays a user interface to the user
[10:13.920 --> 10:18.320]  And it to me. I mean, this is my interpretation of the word. It's it's a word
[10:19.400 --> 10:27.160]  Inherently of the GUI era of computing. It's a thing that no matter which computer you're on that the user looks at and interacts with
[10:29.080 --> 10:35.240]  And I you know even on iOS and and maybe in the early days like 2008 when the App Store first debuted
[10:35.240 --> 10:41.040]  That's really what apps were they were processes that showed a user interface and it had an icon and it
[10:41.040 --> 10:46.520]  it if you were looking at it and it you know, it was running and if you weren't looking at it, it wasn't running and
[10:47.160 --> 10:49.160]  It was really pretty simple
[10:49.320 --> 10:52.180]  And now there's you know as iOS has evolved
[10:52.180 --> 10:58.520]  There's a lot more that can happen in the background and you know apps can stay in memory as long as there's enough memory to
[10:58.520 --> 11:04.420]  Keep a you know, the most read, you know, three four five most recently used apps, you know
[11:04.740 --> 11:08.840]  You can request for background downloads even when you're not running etc, etc
[11:08.840 --> 11:14.440]  But basically to interact with another piece of hardware to have a phone
[11:15.120 --> 11:18.440]  Interacting with and controlling with a watch you don't really want an app for that
[11:18.440 --> 11:21.380]  It has to be part of the operating system and there's you know
[11:21.380 --> 11:25.040]  There's there's no way that third parties get to write parts of the operating system on iOS
[11:25.200 --> 11:25.680]  Yeah
[11:25.680 --> 11:32.080]  You need some sort of feature and it's not like there aren't steps toward this and some of the iOS updates that
[11:32.160 --> 11:38.600]  Have come out over the last few years, but you know for something like pebble you really need like a demon to use Unix terminology
[11:38.600 --> 11:43.360]  you need something that is a process that runs in the background all the time and Apple's not gonna let
[11:43.700 --> 11:49.180]  Apple always has the ability to even even when there is a process running in the background because I was backgrounding
[11:49.180 --> 11:54.920]  You know as apps can run in the background facelessly to do some updates and things Apple is never gonna
[11:56.140 --> 11:59.360]  Give up the option to kill something if it wants to improve
[11:59.560 --> 12:05.020]  The user experience by freeing up memory so that this other app can run and so, you know, somebody like pebble
[12:05.020 --> 12:10.080]  They just can't they can't install something that's running all the time and they can't count on that being there and that you know
[12:10.080 --> 12:14.440]  It limits what they can do. Whereas Apple can can can try to do that
[12:14.440 --> 12:19.320]  We should say because I mean you mentioned it. I I sometimes will put on like a weather complication or
[12:19.840 --> 12:24.160]  Or something like that and it just or the sunset on that
[12:24.160 --> 12:28.040]  What is it the solar face where it calculates out like the sunrise sunset data?
[12:28.200 --> 12:32.540]  I've had that just it gives up and it shows it like it's the equinox because
[12:32.540 --> 12:37.900]  even though it's talking to the phone whatever process updates that data has just died or
[12:38.260 --> 12:43.700]  stalled and so even Apple is struggling with it and they control the operating system and that's you know,
[12:43.780 --> 12:50.940]  If if it could if it made any sense and it doesn't for pebble to be connected to your Mac instead of to your phone
[12:51.700 --> 12:56.780]  It doesn't because you're gonna wander away from your Mac with your watch on and want to have a connection and that's why it
[12:56.860 --> 12:58.900]  Wants to connect to a phone and not to a computer
[12:58.900 --> 13:03.700]  But if it if it made any sense, they could write Mac software that did everything they wanted to do
[13:03.700 --> 13:05.900]  But it wouldn't go through the Mac App Store
[13:05.900 --> 13:07.900]  It would be the sort of thing you download from
[13:07.960 --> 13:15.220]  Get pebble.com and install on your Mac the old-fashioned way because it would have to do things that even in the even on the Mac
[13:15.220 --> 13:18.060]  Through the App Store. You're not allowed to do well at that point
[13:18.060 --> 13:22.140]  I should just have Wi-Fi in the thing and have it just talk to a web service, right?
[13:22.140 --> 13:28.300]  And then only use the phone when it absolutely has to but then it's not really a phone accessory anymore, right?
[13:28.300 --> 13:34.460]  It's just a yeah, or there's a web service that the phone is talking to and that that the watch is talking
[13:34.460 --> 13:38.140]  I mean, it's just a mess. It's not it's not the same product at that point, right?
[13:38.140 --> 13:42.540]  So my review of the pebble which I haven't written and I don't know if I'm gonna write
[13:42.540 --> 13:47.980]  I didn't write a review of the first pebble because it was it and sort of out of good sportsmanship
[13:48.620 --> 13:53.860]  for lack of a better term that it would have been very negative and I didn't feel like that was I
[13:55.100 --> 13:57.380]  Just didn't want to do that. I you know, I
[13:57.380 --> 13:58.660]  I
[13:58.660 --> 14:03.140]  Plenty of other people wrote about it. I just felt like I was I'd be like jumping on the pile
[14:04.220 --> 14:09.180]  With this one. I feel like hey, they're been around long enough and now you know, the market is this
[14:09.180 --> 14:14.500]  It would be fair to write a negative review. So maybe I will maybe I won't but it's short and it's basically a
[14:15.380 --> 14:18.740]  The hardware really does not compare in any
[14:19.380 --> 14:22.840]  Meaningful way to to what you can get with an Apple watch sport
[14:22.840 --> 14:27.640]  So let's just compare it to Apple watch sport for 350 and 399. Yes
[14:27.640 --> 14:31.480]  That's more expensive than the pebble time which starts at 199
[14:32.720 --> 14:38.800]  But it's in the same ballpark, you know to me 199 and 349. It's yeah, it's you know close to half
[14:38.800 --> 14:41.620]  I guess it's half if you compare it to the 42 millimeter version
[14:43.240 --> 14:48.600]  But it feels like way more than the Apple watch feels way more than twice as well made
[14:48.600 --> 14:53.560]  It's and to me aesthetically you can tell just by looking at a picture of the pebble time
[14:53.880 --> 14:57.360]  There's this double bezel effect around the display
[14:57.640 --> 15:00.280]  So the display is what actually lights up and is in color
[15:00.280 --> 15:02.280]  But then around that there's a black
[15:02.480 --> 15:08.280]  Thing that goes around the display and then around that is a piece of plastic that covers the crystal
[15:08.280 --> 15:12.080]  So there's like two bezels around the actual watch face and to me in
[15:12.720 --> 15:15.320]  Photographs it it looks like it is what it is
[15:15.320 --> 15:20.000]  but while I was wearing it it every time I glanced at my wrist it just stuck out and I realized that in
[15:20.640 --> 15:23.100]  I've never seen a watch that has anything like that before
[15:23.560 --> 15:29.000]  Digital analog or otherwise and it really feels like a compromise in terms of engineering
[15:29.440 --> 15:33.920]  So aesthetically and build wise it's real. I thought it was really poor. I
[15:34.840 --> 15:39.200]  know that it sounds like a petty thing, but to me the the the
[15:39.800 --> 15:42.040]  Taptic engine or whatever you want to call it in the pebble time
[15:42.040 --> 15:48.120]  It the fact that it's like a vibrator from your phone and it's very loud. I mean like surprisingly loud is
[15:49.040 --> 15:54.080]  Just a deal-breaker and part of that is just my experience with Apple watch with the tactics being
[15:55.160 --> 16:01.960]  Surprisingly central to the experience of using Apple watch with the pebble time. It's it to me is horrendous
[16:01.960 --> 16:04.920]  I don't even know it may not even be any different than the one from the original
[16:05.640 --> 16:09.360]  pebble but once you got used to Apple watch or I did at least and
[16:09.360 --> 16:12.640]  And it's sort of this subtle tapping that is completely silent
[16:13.640 --> 16:18.920]  That loud jarring like it just feels like the equivalent of holy shit
[16:18.920 --> 16:21.640]  Something terrible is happening that you need to be alerted to right away
[16:21.640 --> 16:26.600]  Well, even if it's like a text message from somebody you're working with who says yes
[16:27.760 --> 16:29.800]  You get like a jolt to your wrist
[16:29.800 --> 16:35.540]  It almost feels like an electric shock and that to me and I'm not judging that in terms of iOS or Android
[16:35.540 --> 16:38.120]  that would be the same no matter what you're using it with and
[16:38.120 --> 16:39.520]  and
[16:39.520 --> 16:43.600]  Lastly the my other big complaint about it. Is that this color screen that they're using?
[16:43.600 --> 16:49.960]  I understand that it gives tremendous battery life and the battery life on pebble is clearly the single best thing about it compared to Apple
[16:49.960 --> 16:50.960]  watch
[16:50.960 --> 16:52.960]  But I can't read the screen in any light
[16:53.880 --> 16:59.240]  Without like getting it real close to my eyes and holding it at a perfect angle whether it's broad daylight
[17:00.280 --> 17:06.040]  Well-lit room indoors or especially in dim lighting and dim lighting I could I can't see it even when it lights up
[17:06.040 --> 17:09.920]  well, it's it it's a really really low contrast screen and
[17:10.720 --> 17:14.560]  Maybe maybe I'm in a bad place on that because of the you know the stuff
[17:14.560 --> 17:16.600]  I've had with the retina and stuff like that
[17:16.600 --> 17:21.120]  But even when I close my bad eye and just look at it with with my perfectly good right eye
[17:21.120 --> 17:27.840]  I really have a hard time reading that screen worse and to me the contrast is the big thing it the contrast is worse than
[17:27.840 --> 17:32.160]  with the original pebble because I even went back and powered up my original pebble to compare and
[17:32.160 --> 17:37.680]  Just for readability to me. It was it's worse. It's really really low contrast
[17:38.160 --> 17:40.160]  Yeah, I wasn't convinced that
[17:40.160 --> 17:44.600]  Given the resolution of it. I wasn't really convinced that the color was even necessary
[17:44.600 --> 17:47.520]  I mean, it's nice to have because they're gonna get mocked if they don't have color
[17:47.520 --> 17:54.000]  But it's it's not like there are you know, beautiful works of art on that display because it's not a very high-res display
[17:54.160 --> 18:01.600]  It really is about getting imparting this information to you and anything you do to junk that up and and it just makes it harder
[18:01.600 --> 18:02.560]  to read
[18:02.560 --> 18:04.700]  I don't know. It's I I'm with you
[18:04.700 --> 18:10.200]  I feel like I want to root for those guys, but you know, even at the time even when I
[18:10.880 --> 18:12.880]  back that Kickstarter I felt like
[18:13.240 --> 18:18.840]  these guys had a very short window where they could come out and I like that they're trying to be something different and
[18:19.160 --> 18:22.560]  Cheaper and you know, maybe they could compete with the Fitbits of the world
[18:22.560 --> 18:28.200]  But instead, you know, I don't know I got the the warning sign I got was when they came out with the pebble steel
[18:28.200 --> 18:33.520]  Because I didn't mind the design of the original pebble. I mean, yeah, it was a big black watch
[18:33.520 --> 18:35.840]  But it was this, you know, it was what it was
[18:35.840 --> 18:40.720]  It was a curved plastic big chunk and it told the time and that was fine
[18:40.720 --> 18:45.440]  I mean ultimately it always told the time and it lasted a week and it did a couple of other neat things
[18:45.440 --> 18:49.400]  So I was fine wearing it as just a watch but the pebble time when it came out
[18:49.400 --> 18:53.760]  It's like more expensive and it's supposed to be fancy. And I mean this did the steel. I mean several steel
[18:53.760 --> 18:55.560]  Yeah, and it was not
[18:55.560 --> 19:01.800]  it was not I didn't like the design of it and I really wondered what they were doing at that point that like it was
[19:01.800 --> 19:03.320]  It was this nice material
[19:03.320 --> 19:09.000]  but like if you ran your finger over the front of it like there were sharp edges at the bezel because of the way they
[19:09.000 --> 19:13.560]  built the steel bezel on top of the screen and so it's kind of like
[19:14.000 --> 19:20.720]  Uncomfortable to touch and yeah at that point I was I was starting to wonder what what are their priorities here and you know
[19:20.720 --> 19:23.600]  do they know that this this freight train is running at them and
[19:23.600 --> 19:28.160]  And pebble time, you know, I think their timing was great for their Kickstarter because it was before
[19:28.960 --> 19:35.120]  You know before Apple watch stuff started to really happen and they tried to get in just before then but I don't know
[19:35.120 --> 19:37.120]  It's just yeah, I feel bad for him. But
[19:38.400 --> 19:42.160]  There was no way that I was gonna buy one. Yes aesthetically
[19:42.160 --> 19:46.960]  I actually think the original pebble is better than either of the subsequent ones. Yeah, I agree
[19:46.960 --> 19:50.320]  It doesn't have that double bezel effect. It is a weird-looking watch
[19:50.320 --> 19:54.280]  it's clearly some kind of smartwatch type thing, but it's not too big and
[19:55.320 --> 19:57.720]  It's to me. It's very honest to itself
[19:57.720 --> 20:01.880]  It looks like a hundred to her hundred and fifty dollar digital watch and it has
[20:02.440 --> 20:06.160]  You know band that it stripped with was a it wasn't great, but it was fine
[20:06.160 --> 20:10.600]  It was a fine, you know, what would you ever call, you know rubber? It was a rubber
[20:10.600 --> 20:13.960]  Yeah, I I I I took that off so fast. I
[20:14.880 --> 20:16.880]  just I made my
[20:16.880 --> 20:23.240]  Wrist sweaty and I got a leather band for it, but there's lots of people who there's lots of other digital watches though
[20:23.240 --> 20:24.800]  That have a band that's very much like that
[20:24.800 --> 20:25.320]  It's fine
[20:25.320 --> 20:27.680]  And but the fact that they picked a standard watch
[20:27.760 --> 20:33.000]  Connector so that it was easy for somebody just as easy to put a new band on it as it is any other standard watch
[20:33.960 --> 20:39.120]  So I've seen yeah, actually a lot of the people who I know who who have a original pebble use
[20:39.120 --> 20:45.400]  You know some kind of other third-party band, you know, I've seen you with yours many times are used to at least
[20:45.400 --> 20:51.000]  Yeah, black leather black leather band from the shopping mall down the street and you know
[20:51.000 --> 20:54.300]  It was easy to put it on and I you know, I like I like that. It was fine
[20:54.300 --> 21:01.320]  It did it served its purpose, but you know, the Apple watch was always hanging over that product and and we're honestly in Google
[21:02.280 --> 21:03.520]  Google's
[21:03.520 --> 21:11.640]  Android wear stuff too because the platform vendors were clearly gonna come in and these these poor little guys were gonna be kind of
[21:11.640 --> 21:18.000]  Squeezed looking at it, too. I'm looking at the just the get pebble homepage where they show all three of their watches
[21:18.000 --> 21:19.160]  And they still sell all three
[21:19.160 --> 21:20.920]  the other thing that really gets me I
[21:20.920 --> 21:25.960]  Think that the steel is truly an ugly watch and I've seen a few people wearing them like not people
[21:25.960 --> 21:28.020]  I know that I've seen people on airplanes
[21:29.120 --> 21:30.400]  wearing them
[21:30.400 --> 21:36.920]  And they they're very very telltale to me. Like there's certain a certain thing about the the three
[21:36.920 --> 21:42.720]  Lugs that stick out at the top and bottom to connect the the wristband to and the way that the
[21:43.480 --> 21:48.880]  Display is almost or not the display but the face is almost a rectangle but not quite
[21:48.880 --> 21:53.040]  It's like a like a looks like a box that you've stuffed too much stuff into when you're moving
[21:53.960 --> 21:58.480]  Like yeah, it doesn't look like it's it doesn't look like it's supposed to be a rounded shape
[21:58.480 --> 22:02.320]  It just looks like you know, they fattened it up on the sides a little bit
[22:02.640 --> 22:06.120]  But the other thing that really gets me about looking at the picture is that they decided to
[22:06.120 --> 22:10.600]  Print the word pebble. It's so bad a black bezel underneath which is
[22:11.720 --> 22:16.840]  I think a horrendous design mistake and it almost like hubris, you know, like
[22:19.560 --> 22:23.120]  You can get into it with phones but to me it's a lot like the way that you know
[22:23.120 --> 22:25.160]  A lot of that, you know, almost all the Android phones
[22:25.160 --> 22:31.400]  I've ever seen always have like Samsung written at the top probably with a Verizon or an AT&T stamped on the glass, too
[22:31.400 --> 22:36.200]  And it's just like a low-rent move and it just however, well it flies in the phone world
[22:36.200 --> 22:41.720]  It flies worse in the watch world. Well, you know, it's not like a Rolex doesn't have a logo on it
[22:41.720 --> 22:45.720]  And but it didn't feel like that to me it feel it felt like yeah
[22:45.720 --> 22:49.760]  It felt cheap to me on the pebble that you know, oh, we know what we're gonna do
[22:49.760 --> 22:54.200]  We're gonna stick our name on there and you're never gonna be able to get it off
[22:54.200 --> 22:55.600]  Yeah, I don't know why they did it
[22:55.600 --> 22:59.800]  It may just have been that the to get the right size bezel and the right size
[22:59.800 --> 23:05.040]  To get the right size bezel and into the size of their screen. Yeah, we got extra space. What do we do?
[23:05.280 --> 23:10.760]  Put our name there. Yeah, I don't know. I don't know bothers me. Yeah, so I my
[23:11.560 --> 23:16.960]  Advice would be I don't think they're I know they're not a publicly-held company, but my advice would be if they were to sell your stock
[23:18.120 --> 23:19.680]  But I am rooting for them
[23:19.680 --> 23:26.800]  so I feel I don't take any pleasure in that really but I feel like they are this is the problem of headed going head to
[23:26.800 --> 23:28.560]  head with
[23:28.560 --> 23:36.080]  Your 200 billion dollar company or yeah, I guess Apple's more like an 800 billion dollar whatever a company with Apple's resources. Yep
[23:37.640 --> 23:41.320]  Let me take a break and I will thank our first sponsor we have
[23:42.720 --> 23:50.880]  We have our good friends at Harry's you guys know Harry's they sell high quality razors and blades for a fraction of the price of
[23:51.560 --> 23:53.560]  the big razor brands
[23:53.600 --> 23:57.600]  It was started by two guys who wanted a better product without paying an arm and a leg
[23:57.600 --> 24:00.480]  But they got really really serious about this
[24:00.480 --> 24:03.920]  This is the thing that always impresses me about Harry's is you hear well
[24:03.920 --> 24:10.220]  It's some startup that's selling razors and stuff and you think that they buy this stuff white label and just buy razor blades
[24:10.880 --> 24:14.040]  Third party and relabel them and package them in their own stuff
[24:14.680 --> 24:15.180]  No
[24:15.180 --> 24:22.280]  What they did is they found an old razor blade factory in Germany that they liked so much. They bought the factory and
[24:22.880 --> 24:24.320]  They make their own blades
[24:24.320 --> 24:27.980]  They're all high-performing German blades crafted right to their own
[24:29.360 --> 24:31.360]  specs and
[24:31.360 --> 24:37.480]  That's the thing that the whole shaving experience starts with obviously before you get to any kind of products before you get to the handles
[24:37.640 --> 24:40.440]  it's the blade that you're rubbing against your skin and
[24:41.280 --> 24:46.400]  Harry's is so focused on that that they bought their own factory truly truly impressive and in my experience
[24:46.400 --> 24:48.660]  It really shows in the product that that they sell to you
[24:48.660 --> 24:53.780]  What they do is they offer this high quality stuff at
[24:54.420 --> 24:59.180]  Factory direct pricing because they don't have a middleman when you buy stuff from Harry's calm
[24:59.180 --> 25:01.820]  It's Harry's who fulfills it and ships it right to you
[25:01.820 --> 25:08.420]  So by getting rid of them the middleman layer by getting rid of distributors by getting rid of third-party stores by getting rid of
[25:08.540 --> 25:13.820]  Drugstores that you have to go to and visit and go through the hassle of asking someone to unlock the case and open it up
[25:13.900 --> 25:15.620]  They just sell it right to you
[25:15.620 --> 25:22.620]  And the starter set is a great great deal really really low price for 15 bucks. You get a razor
[25:23.540 --> 25:27.400]  moisturizing shave cream or gel your choice and three razor blades
[25:28.020 --> 25:33.700]  Then when you need more blades, they're just two bucks each or less. An eight pack is 15 bucks
