[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[03:52.280 --> 03:57.520]  Although I think it was a the way they did that tenth of a digit or hundred digit
[03:57.520 --> 04:04.400]  Whatever you want to call it. The two was what most developers would have called three point three point two not three point thirty two
[04:04.400 --> 04:09.820]  But then they also had our updates. So it was three point three two and I
[04:10.600 --> 04:17.080]  This is perverted because I can't even remember what I had for dinner last night, but I can remember it was three point three two r5
[04:21.240 --> 04:25.480]  Minor minor bug pack. Mm-hmm. I don't even remember how we used to
[04:26.280 --> 04:31.360]  Install them back then I guess we had the internet and we get them over it and and by 95
[04:31.360 --> 04:36.760]  Yeah, maybe yeah and our you know and quark was very you know as the entire, you know
[04:36.760 --> 04:42.980]  Adobe's apps and everybody in the graphic design industry. I mean piracy was rampant, but they had you know, so they had all sorts of anti-piracy
[04:43.820 --> 04:48.720]  You know checks, you know against other copies running on the local Apple talk network and stuff
[04:48.720 --> 04:51.080]  So our student newspaper at Drexel we were totally legit
[04:51.080 --> 04:56.580]  I forget how many how many Macs we had that had quark installed, but every single one of them had a legit license
[04:56.580 --> 04:58.720]  It was totally legit, you know, so I guess it was
[04:58.720 --> 05:03.900]  With a legit license. It was kind of easy and you felt confident installing patches
[05:03.900 --> 05:08.160]  Like with like if you were pirating like Photoshop or something, it was always a bit of a worry
[05:08.160 --> 05:11.640]  Yeah, I'll get to the latest version. So what if they patch the way that
[05:12.360 --> 05:14.880]  Somebody cracked my you know, the serial number etc
[05:15.200 --> 05:19.280]  But anyway, it just is so funny to me that two of the most used apps in my life
[05:19.880 --> 05:23.780]  Stalled for a long time at three point three two. Yep
[05:23.780 --> 05:29.900]  What does it mean? Nothing, but yeah, she means it should be in my passwords
[05:32.660 --> 05:38.580]  So let's look back at the history so net news wire and I know it's been but it has been years
[05:38.580 --> 05:41.020]  So I think it's okay if we rehash this and we've talked about this
[05:41.020 --> 05:46.860]  Oh sure about this on the show but net news wire and daring fireball sort of came about at the same time
[05:47.580 --> 05:49.580]  Daring fireball I started in August
[05:49.580 --> 05:54.520]  2002 and I believe 2002 was when net news wire shipped
[05:54.980 --> 06:01.120]  Yeah, I started working on net news wire in 2002 net news wire light 1.0 shipped maybe that fall
[06:01.760 --> 06:08.680]  And then net news wire 1.0 full version shipped in like February or March maybe the following year
[06:08.680 --> 06:13.860]  Yeah, so but it was all very, you know public betas and all this stuff. So yeah, it was it was very out there
[06:13.860 --> 06:15.520]  I don't and again I
[06:15.520 --> 06:21.600]  As with many of my longest and best internet friends. I really have no memory of how you and I met
[06:24.520 --> 06:30.520]  I think we met by email somehow like we were on yeah, maybe a bbedit mailing list or something. I
[06:31.040 --> 06:36.440]  Somehow I feel like we knew each other online before we met in person, but I don't know. Yeah for sure
[06:36.440 --> 06:41.880]  We must um, yeah. Yeah, we definitely knew each other online because we didn't meet in person for a few years later
[06:41.880 --> 06:45.520]  I don't remember how we met online, but I do remember early
[06:46.400 --> 06:52.760]  And very early in the net news wire days reading this new daring fireball blog and thinking wow this youngster
[06:52.760 --> 06:57.360]  He seems to be doing pretty well real up-and-comer. I think I'll add him to the default feeds list
[06:59.840 --> 07:05.600]  Being on the net news word default the feed list for me at least was a huge boost because I think the overlap between
[07:05.600 --> 07:12.940]  The audience that net news wire appealed to and the people who I think would it would and probably still do enjoy
[07:13.560 --> 07:15.000]  my writing
[07:15.000 --> 07:19.440]  was a large amount of overlap my one of my favorite stories about net news wire and
[07:20.520 --> 07:22.520]  the founding of daring fireball is
[07:23.560 --> 07:25.560]  back in the early 2000s
[07:26.600 --> 07:33.960]  I'm still running movable type of daring fireball, but it movable type was brand new and it was it was a breakthrough because it was
[07:33.960 --> 07:40.760]  Relatively easy to install, you know, so you could just pay five bucks a month at a shared host like dream host or pair
[07:41.400 --> 07:44.080]  Also, you know dream host is still around. I think you're still using them
[07:44.120 --> 07:49.160]  Oh, yeah, I still have an account at pair pairs been around since the 90s great company out of Pittsburgh
[07:49.480 --> 07:55.760]  but you could get you know pay, you know, four five six bucks a month or something like that you get a shared hosting account and
[07:56.560 --> 08:01.280]  you'd have a zip file and you'd move it up to the CGI bin and unpack it and
[08:01.280 --> 08:05.280]  And then you'd edit there'd be like one of the files would be the one you'd edit with
[08:06.200 --> 08:11.440]  You know put a password in there and and you know customize whatever and then boom
[08:11.440 --> 08:15.200]  You've got movable type installed and you could you know a bunch of default templates
[08:16.100 --> 08:22.620]  You know and and I forget when WordPress came out, but it wasn't too long after and there was a predecessor to WordPress
[08:22.620 --> 08:24.620]  I think called gray matter and
[08:25.560 --> 08:29.080]  rings a bell and of course user land had
[08:29.080 --> 08:34.840]  Had the what was the radio the user land? Yeah before that we had Manila
[08:34.840 --> 08:38.360]  Which was a hosted thing Manila is the one that I worked on most
[08:38.800 --> 08:43.200]  But a lot of these, you know, and it really was the it was when blogging
[08:43.920 --> 08:51.160]  Exploded in popularity based and a big part of it was prior to the release of these open source or or and or commercial packages
[08:51.160 --> 08:53.160]  like radio or Manila
[08:53.160 --> 08:59.840]  It you only way you could have a blog was if you wrote your own little system of doing it
[08:59.840 --> 09:02.480]  Or you just hand-edited HTML
[09:02.480 --> 09:08.960]  I mean that's how Zelman for years Jeffrey's elements extremely popular site was just and edited HTML for years
[09:10.520 --> 09:16.640]  Which was aid, you know not an enjoyable experience even if you know HTML and be
[09:16.640 --> 09:23.280]  a sort of required technical expertise that a lot of people who could be should be in our
[09:23.560 --> 09:28.280]  Terrific writers and bloggers don't have and don't want to have all of a sudden with these packages boom
[09:28.560 --> 09:33.040]  You know it opened the door to lots of other people and it's of course only gotten easier since then
[09:33.040 --> 09:37.240]  But one of the things was that was a telltale thing was that you could kind of tell from most people sites
[09:37.240 --> 09:42.560]  What what they were using as their back end because they either stuck to one of the default templates
[09:42.560 --> 09:47.280]  Or they took one of the default templates, and then just sort of tweaked it tweak the colors
[09:47.280 --> 09:52.720]  Maybe added a custom logo at the top or something like that right you could oh, yeah, that was very true
[09:52.720 --> 09:56.920]  Yeah, you could tell a movable type site or instantly yeah, so movable type the others
[09:56.920 --> 10:04.400]  Yeah, one of the weird things about movable type was that it like when I got started like in 2002 the default templates all had
[10:04.920 --> 10:09.800]  Three RSS feeds over on the side. It was like you'd have a link for RSS
[10:09.800 --> 10:16.080]  RSS zero point nine one zero point or one point oh and then RSS
[10:16.080 --> 10:18.280]  I guess RSS 2.0. Wasn't out yet
[10:18.280 --> 10:24.960]  I don't know, but there you know in a weird way that RSS had these weird forks and multiple versions that
[10:25.600 --> 10:31.880]  Weren't really they were more different than each other than the version numbers made it look speaking of version numbers being weird
[10:32.520 --> 10:35.260]  Moveable type just get just by default gave you all three
[10:35.260 --> 10:40.720]  Right right and so it was just you know those were very nerdy days, and yes, somebody thought well
[10:40.720 --> 10:47.860]  Let's give people a choice. Why not right so the way I did daring fireball was I installed it
[10:48.580 --> 10:53.460]  And was torn between whether I should write my own system or use movable type, and it's I always think in hindsight
[10:53.860 --> 10:55.220]  There's what a lot of times
[10:55.220 --> 10:57.260]  I regret not writing my own thing from scratch
[10:57.260 --> 11:05.260]  And then there's other times where I think well that I probably wouldn't have gotten during fireball started until like 2009 if I'd done
[11:05.380 --> 11:08.660]  Tweaking your pearl yeah, I don't know on the other hand I got marked out
[11:08.660 --> 11:11.620]  I got marked on out pretty quick, so maybe I could have yeah, I don't know it's hard
[11:11.620 --> 11:16.300]  It's it's you know one of those mysteries will never have answered, but anyway. I installed it
[11:16.940 --> 11:22.180]  Looked at the default templates. I didn't do anything with it. There's no public remnants of that experimentation left
[11:22.180 --> 11:26.620]  I never told anybody it was just me trying to figure out how it all worked would this suit my needs
[11:26.620 --> 11:30.780]  Is this a better use of my time you know can I customize it can I still customize everything the way?
[11:30.780 --> 11:38.340]  I want it figured out that I could and then in start of starting with a template and tweaking it. I started from nothing
[11:38.340 --> 11:44.540]  I just erased everything figured out how the template system worked and built the way daring fireball looks from scratch and
[11:45.180 --> 11:52.460]  You know and I was you know like one window was my what I was building from scratch from a totally blank slate
[11:52.460 --> 11:55.180]  a literally blank slate gray
[11:56.460 --> 12:02.820]  And on the other was like their default template for the same thing so like here's the default template for your home page of your
[12:02.820 --> 12:07.660]  Block and I'd look at what they had and I'd look at what I wanted and you know I could say oh
[12:07.660 --> 12:09.260]  Here's how you do that. Here's how you get dates
[12:09.260 --> 12:12.620]  I can kind of see how you format dates blah blah blah and I copy and paste it over
[12:13.020 --> 12:16.500]  And I got to the RSS part, and I was like what the fuck is this shit
[12:16.500 --> 12:20.340]  I honestly didn't get it and they called it syndication and the only
[12:20.340 --> 12:27.260]  Syndication the way I thought of the word syndication as a media nerd was like syndicated newspaper columnists
[12:27.260 --> 12:29.260]  Right like you know
[12:29.940 --> 12:35.700]  They can sit on X2 yeah in comics right so like Calvin and Hobbes was syndicated so then you know
[12:35.900 --> 12:41.820]  500 newspapers across the country or the world all had the same comics and there were national
[12:42.540 --> 12:48.180]  Op-ed columnists, so you know not everybody can be the New York Times where they have their own stable of in-house
[12:48.180 --> 12:50.220]  award-winning columnists
[12:50.220 --> 12:56.180]  You know small-town papers would you know and still do I guess have syndicated columnists well?
[12:56.180 --> 13:00.340]  I thought well why would I want to be syndicated? I want people to read my stuff at my site
[13:00.340 --> 13:02.260]  I don't understand this at all doesn't this mean
[13:02.260 --> 13:06.760]  What does this mean if I have this syndication that people can put my articles on their site forget it?
[13:06.760 --> 13:11.180]  I didn't understand. I really didn't understand what the hell it was for why there were three versions
[13:12.340 --> 13:17.700]  Anyway, the whole point of the story is then when net news wire shipped or started shipping
[13:17.700 --> 13:20.060]  And I was started using the betas it all just clicked
[13:20.060 --> 13:24.660]  I was like oh I get it it so you can read all these you can see when there's new articles and read them
[13:24.660 --> 13:29.340]  Right here. Oh, I better quick and then like immediately like pick one within 30 minutes
[13:29.340 --> 13:33.180]  I had an RSS feed on during fireball. Yeah right on
[13:34.860 --> 13:39.340]  But I literally it was net news wire that made art that made me understand
[13:39.340 --> 13:46.260]  What RS that the potential and what it was meant to be I think it was a lot of people's first exposure to RSS
[13:46.260 --> 13:50.740]  The readers before then there hadn't been like a desktop
[13:51.340 --> 13:56.820]  Reader like this right been a number of browser-based ones some that you could run locally even but
[13:57.420 --> 14:01.460]  there hadn't been like an app you could just download and you know start going and
[14:02.280 --> 14:05.740]  Yeah, so for you, and I think a lot of people that was that was their first exposure
[14:06.460 --> 14:13.260]  The other interesting thing and in hindsight and here we are in 2019. It's a very different story, but
[14:13.260 --> 14:17.980]  And it just makes the the complete 17 year
[14:18.980 --> 14:25.900]  storyline so interesting to me is that in 2002 Coco the the you know application programming
[14:26.740 --> 14:28.420]  frameworks
[14:28.420 --> 14:36.200]  That were new with Mac new to the Mac with Mac OS X and came over from next step with Apple's
[14:37.180 --> 14:39.940]  acquisition slash reunification with next in
[14:39.940 --> 14:41.940]  1997
[14:44.100 --> 14:45.980]  Was
[14:45.980 --> 14:50.220]  uncertain like longtime Mac developers were looking at it with a still in
[14:50.460 --> 14:55.620]  2002 even with a quizzical I you know, and there was still open, you know, there were vigorous debates
[14:56.780 --> 15:03.020]  Over the carbon versus cocoa versus the pragmatic. Hey, I'm just gonna do whatever it is that works which is
[15:03.940 --> 15:08.280]  you know, I think the right way to have looked at it all along rather than be
[15:08.280 --> 15:10.880]  religious or dogmatic about one side or the other
[15:12.680 --> 15:16.480]  But part of it part of your inspiration was it wasn't just that you wanted to make a good reader
[15:16.480 --> 15:18.480]  It was that you wanted to make
[15:18.480 --> 15:20.080]  You know
[15:20.080 --> 15:24.680]  You you were intrigued by cocoa and really wanted this. This was something you could really sink your teeth into
[15:25.480 --> 15:32.160]  Yeah, absolutely. I had been coming from working on an app that started on Mac OS 7
[15:32.160 --> 15:35.280]  I guess and had been carbonized for OS 10
[15:35.280 --> 15:39.560]  but I was no longer with that company and I wanted to
[15:40.960 --> 15:45.440]  write something new and at that point it seemed like writing something new and cocoa would be great because
[15:45.880 --> 15:52.240]  It cocoa just did so much more so much more easily than writing everything using them
[15:52.680 --> 15:55.720]  Using the Macintosh toolbox or carbon whatever you want to call it
[15:56.480 --> 15:58.480]  That just left so much
[15:58.640 --> 16:01.600]  So much for you to handle that cocoa just like did
[16:01.600 --> 16:08.160]  And I part of me just couldn't believe it. Like wait a minute. They just up and did all these things for me
[16:08.160 --> 16:12.180]  I don't have to deal with I just found that amazing and yeah
[16:12.180 --> 16:18.200]  So I think it was about 10 months from start to to shipping net news where I won point out
[16:18.840 --> 16:24.200]  And I was learning cocoa. I was brand new to it. But still yeah, it really accelerated the development
[16:24.960 --> 16:30.360]  And was just so much fun and it resulted in something that
[16:30.360 --> 16:31.760]  and
[16:31.760 --> 16:38.700]  I think this is true of net newswire 5 shipping this week that felt so at home with the system
[16:39.200 --> 16:41.800]  Looked felt it's like, you know
[16:43.560 --> 16:44.840]  It
[16:44.840 --> 16:47.440]  It breaks down for a lot of apps in a lot of ways
[16:47.440 --> 16:52.160]  But sometimes it usually it's a compliment if you can say about a third-party app
[16:52.160 --> 16:57.560]  This looks like what it should look like what we would hope it would look like if Apple were to do this
[16:57.560 --> 17:04.560]  Mm-hmm, you know and in a lot of ways that the the one comparison and you know
[17:04.560 --> 17:05.720]  We could get into it later
[17:05.720 --> 17:12.440]  But one obvious comparison and something I'm I know for a fact that you've looked at over the years many times is well
[17:12.440 --> 17:17.440]  How does Apple Mail do blank because yeah reading email and reading RSS?
[17:18.120 --> 17:21.880]  there's a lot of similarities, you know a feed is similar to a
[17:21.880 --> 17:29.360]  mailbox or an account perhaps and then in the account is a bunch of messages and in a feed are a bunch of
[17:29.360 --> 17:32.880]  Articles and you click on an article or you click on a message and then you read the message
[17:33.440 --> 17:35.440]  Or you read the article
[17:36.220 --> 17:38.600]  You know and mail back then had drawers
[17:39.640 --> 17:41.640]  Yes. Yes it did. Yeah
[17:41.920 --> 17:44.560]  That newswire had drawers drawers were very cool
[17:44.920 --> 17:51.800]  Yeah, though to be fair net newswire never put the source list in a drawer where mail actually did in those days
[17:51.800 --> 17:54.160]  Yeah, I do know your mailboxes were in a drawer. Yeah
[17:55.760 --> 18:00.820]  Net news wires drawer was used for a directory of feeds. I remember that right? Yeah
[18:00.840 --> 18:03.600]  Yeah, which was an awful lot of work to maintain
[18:04.840 --> 18:12.680]  So I'm not still doing that though. I kind of wish I did but boy, it's just too much work. It's it's interesting
[18:13.960 --> 18:15.960]  because
[18:15.960 --> 18:17.960]  I
[18:19.880 --> 18:25.220]  There's a you know, and I think a lot of the coverage this week of net news wire is sort of a
[18:26.040 --> 18:31.520]  Hey, it's not just the hey net news wires back. But a hey is RSS making a comeback and
[18:32.720 --> 18:40.680]  In some ways it's warranted because I think the heyday of reading people's blogs via RSS was certainly a decade ago
[18:40.680 --> 18:45.160]  But it's a weird it's also a weird thing because in a way
[18:45.160 --> 18:52.040]  RSS has never ever ever been more popular and continues to grow at a crazy rate because of
[18:52.440 --> 18:55.480]  podcasts and podcasts are all
[18:56.120 --> 18:58.120]  RSS feeds every single podcast
[18:58.640 --> 19:02.320]  Well, maybe not every I guess there's now these weird ones that you have to sign up for a
[19:03.280 --> 19:07.720]  Specific app and and they're tied to a paid service or something
[19:07.720 --> 19:12.720]  But I wouldn't call that a podcast. I wouldn't either. I've argued that I wouldn't you know, it's just a show
[19:12.720 --> 19:17.880]  it's an audio show and we've had audio shows for ever since Edison invented the radio, but
[19:19.480 --> 19:24.240]  You know, but what everybody thinks of as podcasts including my podcasts
[19:25.120 --> 19:29.120]  The Omni podcast that you host, you know that they are
[19:29.800 --> 19:31.800]  distributed to whatever
[19:31.800 --> 19:38.360]  Podcast app you use to listen by RSS and each episode is an RSS entry. So it's
[19:40.200 --> 19:43.160]  Astoundingly popular and even though people don't realize it
[19:44.280 --> 19:49.280]  You know, you have no reason it's it's plumbing in that case. It's right. Yeah. Why you shouldn't have to know, right?
[19:49.280 --> 19:53.560]  I don't know how many you know, the the staggering growth and the listeners of podcasts
[19:53.560 --> 19:58.520]  You know, I'm sure that literally I'll bet ninety-eight percent of them. Maybe ninety-nine percent of them
[19:58.520 --> 20:02.800]  Maybe ninety-nine percent of them have never even heard of the initials RSS, right? And that's fine
[20:02.960 --> 20:10.640]  but one of the things that that that Apple has done as the I think very honorably as the steward of the
[20:10.680 --> 20:12.280]  iTunes
[20:12.280 --> 20:13.720]  podcast
[20:13.720 --> 20:17.360]  App and directory is they've made that directory
[20:17.880 --> 20:23.580]  Open to third-party clients, not just third-party clients on their own platforms, you know, like
[20:23.580 --> 20:31.340]  a Android podcast apps can use the iTunes directory to get what you were trying to do with net newswire, which is like
[20:31.580 --> 20:33.580]  Let's just have a list of as many
[20:34.020 --> 20:38.220]  Good RSS good or even decent, you know anything that's not really what I mean
[20:38.220 --> 20:43.180]  I don't know what your criteria were but for the most part what seems like with Apple is as long as it's not
[20:43.580 --> 20:45.580]  you know hate speech and or
[20:46.620 --> 20:49.940]  like pornography or something that you know, they listed in the
[20:49.940 --> 20:51.940]  The
[20:52.300 --> 20:55.180]  iTunes podcast directory and so third-party apps like
[20:56.020 --> 21:02.500]  Overcast and and whatever else can let can you can search for a feed and they can just find it, right?
[21:02.500 --> 21:06.860]  So you can search for ommi and the Omni shows
[21:08.180 --> 21:12.880]  Is that the name of the podcast the Omni show the Omni show? Yeah, right the Omni show will will show up
[21:12.880 --> 21:20.760]  and so you don't even need to do the tricky thing, which is find a URL to the RSS feed for the Omni show and
[21:21.480 --> 21:25.980]  Paste that and manage a list of URL subscriptions. You could just go to a directory and do it
[21:25.980 --> 21:30.960]  so there's certainly merit there and I think the way that it's worked out with podcasts has certainly shown that there is but
[21:31.560 --> 21:37.280]  You need somebody like Apple at the heart of it to aid who you can trust and be who can do the hard work of
[21:37.280 --> 21:42.920]  Maintaining this ever-growing mountainous database of feeds
[21:43.760 --> 21:45.480]  yeah, and I've
[21:45.480 --> 21:50.000]  Just last night. I was thinking like that would be another great open source project. Hmm
[21:50.000 --> 21:52.000]  No, we could get people, you know involved
[21:52.040 --> 21:58.500]  But then I thought and I've really got my hands full just with menus wire. I would really like somebody else to do this
[21:59.300 --> 22:02.880]  you know, there are a lot of things like that, but that would be so helpful in in
[22:02.880 --> 22:07.240]  Bringing us back to the open web. Another one. I've talked a lot about is
[22:07.880 --> 22:09.760]  Something like Technorati, you know
[22:09.760 --> 22:14.120]  Those these blog search engines the index a bunch of blogs and if I want to go see
[22:14.240 --> 22:17.400]  Who on the blogosphere is talking about net newswire, you know?
[22:17.400 --> 22:22.740]  I have a feed that watches for that. And so I see that from wherever, you know, whenever it comes up
[22:23.360 --> 22:26.360]  We used to have a bunch of this stuff and we don't anymore
[22:27.440 --> 22:28.920]  Yeah, I haven't thought it comes back
[22:28.920 --> 22:35.960]  I haven't thought of Technorati in a long time and there was a time when man was that super useful. Oh sure
[22:35.960 --> 22:41.240]  Yeah, how there were some smaller things like blog bridge and I think yeah who even had a blog search engine
[22:41.240 --> 22:45.040]  And they were all pretty useful. Yeah, but it was definitely an interesting way to find
[22:47.080 --> 22:52.640]  Not just when people were talking about a topic you're interested in but as somebody who had a blog you could find
[22:52.960 --> 22:57.160]  You I would constantly find like I you know interesting
[22:57.160 --> 23:02.320]  Blog posts linking to my own blog posts, you know, you could search Technorati
[23:02.320 --> 23:05.400]  I forget how you did it, but it wasn't too hard and you could search for
[23:06.280 --> 23:10.360]  you know blog posts that they had indexed that linked to daring fireball dotnet and I
[23:10.880 --> 23:13.240]  Frequently found things that I had not seen before
[23:14.160 --> 23:16.480]  Yeah, and that's in those days. That's the way we had
[23:17.200 --> 23:20.060]  Conversations they were just kind of ad hoc across the web
[23:20.720 --> 23:25.400]  And you know, so somebody wrote something linked to me. I might have some kind of reply
[23:25.400 --> 23:31.760]  well, that's another blog post and I would link back to whatever they wrote and you know, that's not as easy as as
[23:32.760 --> 23:36.240]  Twitter but it was more substantial I think
[23:37.400 --> 23:41.220]  I think it was definitely more substantial. I mean and again there's trade-offs
[23:41.220 --> 23:47.000]  it's you know, like with everything I'm not gonna say Twitter's bad or Twitter ruined it and there's a certain convenience and there's
[23:47.600 --> 23:50.840]  There are certain advantages to the centralization of Twitter
[23:50.840 --> 23:58.560]  And knowing that there's just one place where I can look at for at replies to at Gruber and find a bunch of conversations
[24:00.480 --> 24:06.000]  But boy even at 280 characters the modern limit it's it it loses a lot of nuance
[24:06.520 --> 24:09.120]  Yeah, sure does. Yeah, and then there are
[24:09.960 --> 24:12.120]  disadvantages to that centralization, too
[24:14.560 --> 24:17.720]  So I tend to I tend to prefer
[24:17.720 --> 24:23.920]  Decentralized systems up on the on the grounds that even if Twitter were not borderline evil
[24:23.920 --> 24:27.440]  That's just way too much power in the hands of you know
[24:27.960 --> 24:30.920]  Unaccountable people. Yeah. Yeah, I agree
[24:33.480 --> 24:40.000]  Yeah on the whole I would take the trade-offs of the web we had circa 2005 2006
[24:41.240 --> 24:45.520]  Which really you know and it coincidentally was right around when Twitter first popped up
[24:45.520 --> 24:51.720]  I think coincidentally, I don't think Twitter's, you know, I think that even if Twitter itself had never
[24:53.800 --> 24:56.400]  Become popular I still think the same sort of
[24:57.400 --> 25:03.040]  shift away, I mean somebody some other platform would have done the Facebook ization and
[25:03.920 --> 25:05.840]  Twitter is a
[25:05.840 --> 25:07.040]  of
[25:07.040 --> 25:09.840]  And you know centralization of of this sort of thing
[25:10.320 --> 25:13.680]  Yeah in another timeline we have different names for these same things
[25:13.680 --> 25:15.680]  It's just some other companies did it
[25:19.920 --> 25:23.720]  It is interesting though, it does seem like a lot of people are starting to push back on this
[25:23.720 --> 25:26.120]  I saw David Hannah Meyer Hanson had a nice tweet
[25:27.360 --> 25:30.800]  Linking to the suite setups review of net news wire 5
[25:31.920 --> 25:33.920]  And just mentioned one of many
[25:34.160 --> 25:41.240]  Excellent points to be made about getting but if you've gotten away from RSS feed reading like just the fact that you know
[25:41.240 --> 25:46.480]  You don't get tracked. It's not about throwing tracking ads at you and stuff like that
[25:48.120 --> 25:53.680]  Yeah, absolutely, right I said something about corporate surveillance I think yeah, that's you know
[25:54.680 --> 25:56.680]  That's one of the things you can get away from
[25:57.320 --> 26:03.000]  Actually can do it. Have you noticed because then the other thing that is sort of like what's old is new again
[26:03.000 --> 26:08.280]  And I don't think it's a coincidence. I think it's sort of tied to the potential for RSS reading
[26:08.280 --> 26:15.200]  Again, I with my whole aside from five minutes ago about how RSS is more popular than ever because of podcasting
[26:15.720 --> 26:19.880]  Henceforth when I'm talking about RSS reading. I'm really talking about sort of the net news wire
[26:21.080 --> 26:26.600]  Sort of genre of feed reading where you're reading articles mostly from people who write blogs
[26:29.000 --> 26:31.000]  But the other thing that's really
[26:31.560 --> 26:34.360]  Resurged in popularity is email newsletters
[26:34.360 --> 26:41.800]  Yeah, I find that fascinating and in both free and paid and you know, like friend of the show Ben Thompson at Stratecary
[26:41.800 --> 26:45.400]  you know is is doing a fantastic job with his
[26:46.520 --> 26:47.560]  paid
[26:47.560 --> 26:53.400]  subscription daily update newsletter with one free post a week and there's a couple other people in
[26:56.120 --> 27:00.600]  Neil Seibart has above Avalon similar business models
[27:00.600 --> 27:08.600]  I think one reason it's more popular is for those sort of if you want if your business model for doing your writing full-time
[27:09.480 --> 27:11.480]  Is going to be based on
[27:12.280 --> 27:17.240]  Not just on advertising and sponsorships, you know, which is really the same thing
[27:19.240 --> 27:22.280]  Like like mine at daring fireball in here in the talk show
[27:24.280 --> 27:26.120]  If you're gonna go for
[27:26.120 --> 27:33.640]  Reader support I really it really makes sense that you kind of need something
[27:34.760 --> 27:41.160]  Behind a paywall of some sort like you it it doesn't really work to say I'm going to publish everything for free
[27:41.400 --> 27:44.360]  And if you want to pay me pay me, I mean people will pay something
[27:45.240 --> 27:46.440]  but
[27:46.440 --> 27:51.400]  What really prompts people to pay is if they have to pay to read and at a technical level?
