[00:00.000 --> 00:02.480]  Hello podcast fans
[05:28.360 --> 05:29.240]  $12.99 for the 13-inch.
[05:29.240 --> 05:30.120]  Just here to keep you honest.
[05:30.120 --> 05:30.920]  Who invited you?
[05:35.640 --> 05:38.040]  Bigger than 13 slash 14-inch.
[05:41.000 --> 05:48.520]  But now, the 15-inch MacBook Air, $12.99 starting price. And spec for spec, I know that the starting
[05:48.520 --> 05:55.800]  price of the 13-inch is now $10.99, but spec for spec, it's really only a $100 difference
[05:55.800 --> 06:01.880]  to go from 13-inch MacBook Air to 15-inch. And I'm just curious, what took so long?
[06:06.120 --> 06:11.240]  Well, obviously, we love the MacBook Air. MacBook Air is an amazing computer.
[06:12.040 --> 06:15.160]  As we said, it's the world's most popular laptop.
[06:15.160 --> 06:18.840]  And over the years, we've been interested in a larger size and something we've thought about,
[06:18.840 --> 06:25.000]  we've explored. And I think when you're designing products, a great product can come about by making
[06:25.000 --> 06:29.640]  kind of smart trade-offs, right? You're going to have better battery life and put in a bigger
[06:29.640 --> 06:33.400]  battery, but then it's going to be a little bit thicker and heavier. You can add more power to
[06:33.400 --> 06:38.040]  get more performance, but then it's going to be a little bit louder. And I think when we've made
[06:38.040 --> 06:42.120]  models in the past and we thought about a bigger MacBook Air, we just didn't really end up with
[06:42.120 --> 06:47.560]  something that felt like a MacBook Air. But the world's different now. We have Apple Silicon,
[06:47.560 --> 06:55.640]  and Apple Silicon is like a cheat code for system design, right? I mean, we were able to build this
[06:55.640 --> 07:00.920]  system and have all the performance and the battery life and, of course, the incredible thin
[07:00.920 --> 07:06.200]  and light design, and it's every inch a MacBook Air. And so, yeah, that's what took so long. We
[07:06.200 --> 07:10.200]  just had to have the right pieces. It's an amazing system. You've got your hands on it, hopefully the
[07:10.200 --> 07:15.880]  hands-on. I've been using it for a while. I love it. It's a really, really good Mac.
[07:21.880 --> 07:22.920]  Take it down a little?
[07:22.920 --> 07:31.560]  Well, no. But I mean, I totally agree, and I don't mean this to belittle it all. I think
[07:32.760 --> 07:38.440]  it's clearly the most popular Mac. I mean, you even said in the keynote it's the most popular
[07:38.440 --> 07:39.000]  Mac.
[07:39.000 --> 07:41.080]  It's the best-selling laptop in the world.
[07:48.760 --> 07:51.400]  I was going to admonish whoever's spilling their beer.
[07:53.160 --> 07:53.640]  It happens.
[07:53.640 --> 07:54.440]  They're having a good time.
[07:55.960 --> 07:59.160]  This is the early show. Wait till we do the late show.
[07:59.160 --> 08:05.560]  But there's not a lot to say about it. It's the MacBook Air you know and love,
[08:05.560 --> 08:11.800]  and it's a bigger size. I honestly thought if you wanted to condense the keynote further,
[08:11.800 --> 08:17.800]  the part where they just started with a 13-inch MacBook Air and drug the corner up to make it
[08:17.800 --> 08:18.300]  bigger.
[08:19.480 --> 08:21.880]  I just wish that's all it took to actually build it, right?
[08:21.880 --> 08:25.080]  I'm sure. I could have gone home early that day.
[08:25.080 --> 08:33.720]  That's how we do it in marketing. What's the fuss?
[08:37.720 --> 08:48.360]  Looking at the lineup now, though, it seems like the MacBook lineup is very, very clear.
[08:48.360 --> 08:57.480]  There's two sizes. Well, with an asterisk. There's 14-inch MacBook Pro, 16-inch MacBook
[08:57.480 --> 09:03.640]  Pro. Now, there's 13-inch MacBook Air, 15-inch MacBook Air. Do you want to optimize for smaller?
[09:03.640 --> 09:06.600]  Do you want bigger real estate? Are you more comfortable?
[09:09.320 --> 09:17.560]  The exception to that is the 13-inch MacBook Pro, which is the most popular MacBook Pro
[09:17.560 --> 09:25.960]  which is still in the lineup. I'm curious where you think that product fits in the MacBook lineup.
[09:27.960 --> 09:28.600]  Do you want to take that one?
[09:31.080 --> 09:33.080]  Who is that product for?
[09:33.720 --> 09:37.960]  It's still a great product. It really is. It's an entry point to a Mac web.
[09:41.080 --> 09:41.560]  Wow.
[09:41.560 --> 09:48.120]  Wow. You didn't tell me it'd be a tough product.
[09:49.960 --> 09:52.760]  It's still a great product. It's the entry point to the MacBook Pro lineup.
[09:53.640 --> 09:56.280]  We're proud of it. It's good. If you still want Touch Bar, there you go.
[10:01.560 --> 10:05.160]  We're laughing, but my understanding is that a lot of people come into the store,
[10:05.160 --> 10:12.040]  and that is the MacBook that they want. Not for me to tell you how to market it, but
[10:12.040 --> 10:17.720]  if people are coming in and buying it, you should keep selling it to them. Is that the story with
[10:17.720 --> 10:21.000]  the 13-inch MacBook Pro? People are still buying a lot of them, to your point.
[10:22.200 --> 10:29.240]  Moving on to the desktop, which is where more of the news was this week. It seems like the lineup
[10:29.240 --> 10:39.560]  is settled down to where the Mac Mini is the consumer prosumer range, and it does span a
[10:39.560 --> 10:49.640]  significant range of price points to performance points. The Mac Studio is the pro desktop computer,
[10:49.640 --> 10:58.280]  and now that it's back, the Mac Pro seems more like it's for certain specialized niches.
[10:59.720 --> 11:04.040]  I mean, it seemed to... Honestly, I don't even think... It's not my interpretation.
[11:04.040 --> 11:08.760]  I think it's almost the way you presented it in the keynote, that the Mac Studio is
[11:09.480 --> 11:15.880]  the go-to desktop for most Mac Pro users, pro Mac users.
[11:15.880 --> 11:21.080]  Yeah, I think that's absolutely true. It's been really well received. We've now given it
[11:21.080 --> 11:28.120]  its first bump with M2 Max and M2 Ultra. Incredible performance, and it really is...
[11:28.120 --> 11:33.000]  I think it's generated a ton of excitement and enthusiasm, and customers are loving it.
[11:33.000 --> 11:38.920]  The satisfaction is phenomenal, and so yeah, I think it's an amazing system for those pro users.
[11:38.920 --> 11:44.520]  But as we said in the keynote, there are a certain set of customers, certain set of workflows,
[11:44.520 --> 11:51.160]  that really rely on that PCI expansion, and so the Mac Pro solves that problem really, really well.
[11:51.160 --> 11:55.960]  By the way, I would say that the Mac Mini is killing it, right? It's even more than you said.
[11:55.960 --> 12:01.720]  It is consumer. It is prosumer, but even pros use it too, and M2 Pro was a huge part of that,
[12:01.720 --> 12:07.160]  but you see it everywhere from people's home offices to data centers.
[12:07.160 --> 12:11.480]  It is really, as we position it, it's our most versatile Mac. It's used in a lot of places.
[12:11.480 --> 12:16.440]  Yeah, even before the Apple Silicon transition, it seemed to be like a sort of
[12:18.760 --> 12:26.360]  rejuvenation of interest on your part on the Mac Mini, and when you guys were talking about
[12:26.360 --> 12:36.520]  the use cases people had, it's like any and all odd use cases where concerts and they need Macs
[12:36.520 --> 12:43.880]  in the chain for the audio coming in and out, and the smaller the better because it's already
[12:43.880 --> 12:49.240]  a cramped area, and it does fit. I mean, it's hard to imagine a desktop computer fitting into
[12:49.240 --> 12:55.160]  a smaller three-dimensional space. Yeah, and then to your point, studio's just killing it with pros.
[12:55.160 --> 12:59.640]  I mean, it's been a huge success, huge customer satisfaction, and it just got even better.
[12:59.640 --> 13:04.760]  I think on the Mini, I mean, it does kind of fit all those little unique uses,
[13:04.760 --> 13:10.600]  it's also just an amazing, affordable consumer device and a great entry into Apple Silicon.
[13:10.600 --> 13:19.000]  $4.99. Yeah, I mean, it's pretty awesome. So, where does this one fit in for the desktop lineup?
[13:19.000 --> 13:26.280]  My question would be, where does the iMac fit in? And to remind people, if anybody hasn't forgotten,
[13:26.280 --> 13:35.320]  that's one, that's I believe the only Mac still on M1 generation Apple Silicon? It is, it's M1.
[13:35.320 --> 13:40.760]  Look, iMac is in our DNA, it's all in ones, we love all in ones, a lot of our customers still
[13:40.760 --> 13:45.880]  love all in ones. Apple Silicon revitalized that one as well, where it allowed us to do the first
[13:45.880 --> 13:52.200]  new design built around Apple Silicon. It's thin, it's beautiful, that's what I use at home,
[13:52.200 --> 13:59.080]  is my home computer. Well, I use everything, but I use that one, too. And I love it, you know,
[14:00.840 --> 14:06.040]  whether you're a consumer, again, prosumer, enthusiast, you know, it's a great system,
[14:06.040 --> 14:10.680]  and how much easier does it get than being an all-in-one? And it's still, even with M1,
[14:10.680 --> 14:12.920]  it's fast. Remember, Apple Silicon's fast.
[14:12.920 --> 14:19.320]  I had a rough, maybe, first month with the Mac Studio display, not rough, but
[14:24.520 --> 14:26.760]  I've told this story on the show before, but
[14:29.640 --> 14:35.800]  I love it, though. Here I am a year later, and I have no idea what's going on, but it's
[14:35.800 --> 14:44.280]  pretty amazing, isn't it? And people who listen to my show know I have, at certain times of the
[14:44.280 --> 14:50.840]  year, I get tons of sunlight that hits my desk directly, and it's uncanny the way that I don't
[14:50.840 --> 14:56.040]  even notice now. It's not like, oh, I can still use my display when the sun is shining on it.
[14:56.040 --> 15:01.640]  It's like, I don't even notice now. It's not like, oh, I can still use my display when the
[15:01.640 --> 15:04.920]  sun is shining on it. It's like, I don't even know, and then I hold my hand in front of it,
[15:04.920 --> 15:10.600]  and it's like, I'm in Raiders of the Lost Ark, and that beam of light is hitting my hand,
[15:10.600 --> 15:20.120]  and yet when I take it down, I can read my screen. But it does seem, though, that's where
[15:20.120 --> 15:26.680]  I wonder about the need for an all-in-one like the iMac, because now that Apple is fully back
[15:26.680 --> 15:33.320]  in the display game with the studio display and the Pro Display XDR at the very truly professional
[15:33.320 --> 15:42.040]  high end, it just doesn't seem that much more convenient to me to have an iMac with an external
[15:42.040 --> 15:50.600]  power brick that isn't that much smaller than a Mac Mini and a studio display. But do you think
[15:50.600 --> 15:57.240]  that the all-in-one still has legs as a, yeah, this is what some people want. They just want to
[15:57.240 --> 16:02.440]  put it in. I think it totally does. I think the iMac is an incredible consumer desktop,
[16:02.440 --> 16:07.080]  and you showed the power adapter here, but it's probably down on the ground, conveniently near
[16:07.080 --> 16:16.760]  your Ethernet port using that. But I think as you get into the higher levels of performance
[16:16.760 --> 16:22.680]  in the Pro Spaces, I think the benefit of having a Mac Studio solution and a display or a Mac Pro
[16:22.680 --> 16:31.080]  display or a Mac Mini display really resonates with people. All right. Well, that brings us to
[16:31.080 --> 16:41.320]  more about the Mac Pro. I don't know if you're aware of this. There are a lot of fans of the Mac
[16:41.320 --> 16:51.640]  Pro, and a lot of the fans of the Mac Pro seemed, as ever, seems perennially concerned about the
[16:51.640 --> 16:57.080]  future commitment of Apple to the Mac Pro. We just introduced a new one. Two days ago.
[16:58.600 --> 17:05.480]  Well, there were. I said were, past tense. There were t-shirts printed up. I don't know if you're
[17:05.480 --> 17:25.720]  aware of this. We may have seen those. You just gotta believe. But despite outward appearances,
[17:25.720 --> 17:32.040]  and I do think that if you put a 2019 Mac Pro next to this week's brand new Mac Pro,
[17:32.040 --> 17:36.840]  they're very hard to distinguish from each other from the outside. The ports are a little
[17:36.840 --> 17:44.200]  different. I think there's more ports now. More Thunderbolt ports. But you kind of have to,
[17:44.200 --> 17:53.560]  in photography they call it pixel peeping, you kind of have to port peep to tell them apart.
[17:53.560 --> 17:56.360]  You'll notice the difference when you're running software, though. I'll guarantee you that.
[17:56.360 --> 18:06.200]  But internally, it seems like a very different beast from the 2019 Mac Pro. And I'll just start
[18:06.200 --> 18:14.840]  with RAM. The 2019 Intel model went all the way up to what still seems like a staggering 1.5
[18:14.840 --> 18:26.760]  terabytes of RAM. And the new Mac Pro is capped at 192 gigabytes. I almost said megabytes.
[18:26.760 --> 18:39.320]  Which really would date me. Gigabytes. And I'll just point to that as one. That's an eight-fold
[18:39.320 --> 18:44.280]  difference in maximum RAM capacity. And I'll just point to that as one. And I'll just point
[18:44.280 --> 18:46.360]  to that as one. That's an eight-fold difference in maximum RAM capacity. And I'm curious,
[18:52.840 --> 18:54.280]  curious what you have to say about that.
[18:57.480 --> 19:05.400]  Look, I think the world that we're in now with Apple Silicon is different. If you think about
[19:05.400 --> 19:09.960]  PC architectures, they've been the same for decades. And one of the things that I think
[19:09.960 --> 19:15.960]  a lot of people have already found is the way we can leverage memory in our architecture with the
[19:15.960 --> 19:19.560]  bandwidth and the shared memory, the incredible bandwidth of the shared memory architecture,
[19:21.160 --> 19:25.240]  you don't need as much memory for kind of comparable performance as you did in some
[19:25.240 --> 19:30.680]  of those other systems. And with that 192 gigabytes, I mean, you say, yes, it's less
[19:30.680 --> 19:38.120]  than the 1.5 terabytes, but it's way more memory for the GPU than any GPU ever had before. So
[19:38.120 --> 19:43.480]  a lot of it depends on kind of, you get the overall view of the system, look at the workflows
[19:43.480 --> 19:47.480]  and figure out how you're optimizing for things, which means, but of course you could run stuff
[19:47.480 --> 19:52.760]  here. You can run anywhere else. You can't run on the old Mac Pro. You can't run on a PC,
[19:52.760 --> 19:56.200]  you know, that unified memory is a huge advantage for us. Big, big deal for us.
[19:56.200 --> 20:02.760]  Right. I think DaVinci Resolve is one of the ones that comes up as a, this isn't possible,
[20:02.760 --> 20:11.160]  you know, that there are things you can do, you know, and again, not like a made up benchmark,
[20:11.160 --> 20:15.960]  real pro workflows with, you know, it's not a matter of just running faster,
[20:15.960 --> 20:23.320]  you just can't run them anywhere else. Right. But then I guess the other thing,
[20:23.320 --> 20:33.080]  other than the RAM limitation is that it no longer has expandable graphics. Now the difference,
[20:33.080 --> 20:40.040]  the primary difference between the Mac Pro, which has the M2 Ultra and a Mac Studio with the M2
[20:40.040 --> 20:47.080]  Ultra is expandability, right? There's no PCI expansion at all in the Mac Studio because it's
[20:47.080 --> 20:56.360]  a cute little adorable box. It is adorable. It is. It really, who said the cube was a bad form
[20:56.360 --> 21:03.320]  factor? I mean, it's a good shape, right? It's a very nice shape. But even with this PCI expansion,
[21:03.320 --> 21:08.360]  that does not include graphics. And so there are, so certainly there, you clearly didn't design
[21:08.360 --> 21:14.760]  this for nobody. There are people who need this. But, you know, there are people who need this.
[21:14.760 --> 21:23.800]  But graphics is not included. And I'm just curious what some of the use cases,
[21:23.800 --> 21:30.040]  I know one of the examples you guys quoted in the keynote was being able to input 24 streams
[21:30.040 --> 21:36.200]  of 4K video simultaneously. What are some of the other use cases? What is something else
[21:36.200 --> 21:42.840]  where somebody would say, no, I need the Mac Pro, not an M2 Ultra Mac Studio? Well, there's
[21:42.840 --> 21:48.520]  some use cases in audio workflows, some other workflows where just a massive amount of super
[21:48.520 --> 21:54.920]  high-speed storage is really key. And so bringing kind of high-speed storage on PCI can do that and
[21:54.920 --> 22:03.080]  enable things that you'd struggle a bit more to do on a Studio. And some of the color grading
[22:03.080 --> 22:08.440]  workflows on some of the big projects require incredibly fast networking, right? And so custom
[22:08.440 --> 22:13.160]  networking cards to be able to do that. So there's a bunch of different things. And I think, again,
[22:13.720 --> 22:20.440]  the people have built whole workflows and whole infrastructure around PCI cards and all of that.
[22:20.440 --> 22:25.560]  And so what we were able to do here is bring all the benefits of Apple Silicon to that workflow
[22:25.560 --> 22:29.560]  and to that infrastructure. And it'll just plug right in and go. And we've done a ton of work
[22:29.560 --> 22:34.760]  working with the card manufacturers to make sure they're ready to go on day one. And we think,
[22:34.760 --> 22:38.600]  yeah, we think people are gonna be really thrilled with it. Still rack configuration you can do?
[22:38.600 --> 22:44.920]  Yeah. One, I mean, obviously, industry-wide, the theme of the year clearly is AI and
[22:46.520 --> 22:54.520]  AI training. And that whole area, it seems like all of the compute takes place on graphic cards.
[22:56.280 --> 23:02.760]  And so I'm just wondering, with this design, with this new Mac Pro, what is the message to
[23:02.760 --> 23:12.040]  Mac users, Pro Mac users who are looking to experiment, or if that's their work, to do
[23:12.840 --> 23:19.800]  their own AI training? Is the idea that they're best off renting GPUs in the cloud and doing that,
[23:20.600 --> 23:24.600]  that that's not something you envision as something you do on the desktop in front of you?
[23:26.360 --> 23:30.120]  Is the answer that they should buy a Windows PC? I mean, that doesn't...
[23:30.120 --> 23:37.720]  That's never the answer.
[23:37.720 --> 23:40.120]  I mean, I think, Jaws, you can jump in.
[23:40.120 --> 23:45.880]  Yeah. Once again, Jaws. If only Craig were here to help us.
[23:48.760 --> 23:54.120]  Look, NVIDIA is doing a good job with that. There's no doubt about it. We wanted to focus on the
[23:54.120 --> 23:59.160]  things that are most important to our customers, and we do those things well. John talked about it.
[23:59.160 --> 24:03.720]  And the things we can do with our unified architecture and with our M2 Ultra are things
[24:03.720 --> 24:07.800]  that nobody else can do and no other personal computer can do. And so we have our strengths.
[24:07.800 --> 24:13.400]  They have theirs. They're doing a good job. Great for them, but we've got stuff that no one else
[24:13.400 --> 24:22.360]  can do. Are there technical barriers to having expandable graphics through PCI that would be
[24:22.360 --> 24:29.480]  only used for compute as opposed to video? Or is that just a design choice?
[24:30.760 --> 24:35.800]  I think, I mean, fundamentally, we've built our architecture around this shared memory model
[24:35.800 --> 24:41.720]  and that optimization. And so it's not entirely clear to me how you'd bring in another GPU and
[24:41.720 --> 24:47.320]  do so in a way that is optimized for our systems. It just hasn't been a direction that we wanted
[24:47.320 --> 24:51.800]  to pursue. I mean, I guess what I'm hearing is that it basically comes down to that Apple
[24:51.800 --> 25:02.040]  Silicon is such, at an architectural level, is so different from PCs as we know them, including
[25:03.400 --> 25:10.360]  pre-Apple Silicon Macs. I mean, not just Intel ones, but going back to PowerPC or even further.
[25:14.040 --> 25:19.880]  And we're still so early in the Apple Silicon era for desktop computing
[25:19.880 --> 25:24.360]  that we're still seeing where this is ultimately going to go, right? These are the earliest days
[25:24.360 --> 25:29.400]  of Apple Silicon with a long road ahead, but it really is a very different way of thinking
[25:30.280 --> 25:36.040]  where shared memory isn't a, oh, but that's because it's a low-end consumer laptop. That's
[25:36.040 --> 25:41.640]  why there's shared memory between the CPU and GPU. No, in Apple Silicon, shared memory is an
[25:41.640 --> 25:47.800]  incredible performance boost because you're not making copies when something that was being used
[25:47.800 --> 25:53.560]  by the CPU, now the GPU needs to access the same massive amount of data.
[25:53.560 --> 25:59.240]  Yeah, and the CPU can get unbelievable bandwidth and the GPU can get unbelievable capacity of
[25:59.240 --> 26:03.800]  memory and it enables, like we talked about, these workflows, these kind of use cases, workflows,
[26:04.440 --> 26:09.800]  models that you couldn't do before. And I think you said it. We're on our first or second
[26:09.800 --> 26:16.040]  generation of Apple Silicon products across the line. And as we dig in and we work with
[26:16.040 --> 26:20.840]  third-party developers and our own, certainly our internal developers, and we look to drive
[26:20.840 --> 26:25.800]  optimizations, a lot of times when we find performance bottlenecks, sometimes it informs
[26:25.800 --> 26:30.520]  what we want to do on the silicon. Sometimes it's actually, there's some fairly straightforward
[26:30.520 --> 26:34.840]  optimizations that we go do and we see big leaps in performance. And I think a lot of our pro users,
[26:34.840 --> 26:39.160]  I think, have been seeing that in some of these tools. You mentioned DaVinci Resolve and others
[26:39.160 --> 26:44.280]  where it's not stagnant. We're getting better and better even on the same level of performance.
[26:44.280 --> 26:49.240]  We're getting better and better even on the same platform as we continue to find these optimizations.
[26:49.240 --> 26:55.960]  Yeah, one of the things, and again, the 13 minutes of keynote time really went by fast, but
[26:55.960 --> 27:03.560]  the numbers are, it takes me back to my youth of hearing numbers like this, like the original
[27:03.560 --> 27:10.280]  MacStudio with the M1 family of chips was last year. And it's not exactly 12 months. It's more
[27:10.280 --> 27:19.640]  I guess 14 or 15 months, but still calendar year over year, you're quoting performance improvements
[27:19.640 --> 27:29.160]  of 25% for this, 30% for this, 50% for something, something got up to 50%, which just seems bananas
[27:29.160 --> 27:38.040]  to me based on the last decade plus of Moore's law coming to an end for lack of a better term.
[27:38.040 --> 27:42.440]  I mean, performance was growing very slowly. That's one of the reasons we had to make a change.
[27:42.440 --> 27:48.760]  And that's why you see, you're right. I mean, it's 20, 30, 40% improvements year on year,
[27:48.760 --> 27:52.120]  but we still love the improvements of where we were with the previous platform. I mean,
[27:52.120 --> 27:57.720]  we talked about MacBook Air is 12 times faster than the fastest Intel-based MacBook Air we had.
[27:57.720 --> 28:01.240]  That's nuts. That's bananas, right? I mean, that's incredible.
[28:01.240 --> 28:06.280]  So I think, sorry, just one other point on that that I think is worth making is like, for us,
[28:06.920 --> 28:12.360]  one of the reasons why we can do that is because we're looking at this whole thing as a system.
[28:12.360 --> 28:18.920]  It's the software, it's the silicon, it's, you know, we get to like, look at where we want to go
[28:18.920 --> 28:24.040]  and drive these architectures and these solutions. And so it's not just about, you know, do we have
[28:24.040 --> 28:28.040]  more teraflops? Or do we have more of this? Or do we have more of that? It's can we take that
[28:28.040 --> 28:32.120]  particular workflow, that particular job that someone has to do? And can we make that 30%,
[28:32.120 --> 28:37.480]  40%, 50% faster? It's really liberating to be able to work together with the team and go after
[28:37.480 --> 28:46.680]  those specific things. I guess just to wrap up this pro segment, I'll just try to speak
[28:46.680 --> 29:03.720]  from the perspective of the Mac Pro fans. And I think that looking at a Mac Pro that obviously
[29:03.720 --> 29:08.440]  has significant, significant expansion, expandability features. I mean, Matthew
[29:08.440 --> 29:13.080]  Panzareno was telling me yesterday that some of these PCI cards cost like five, six thousand
[29:13.080 --> 29:20.280]  dollars each and people are going to max out all six slots. So if you're putting 35, $40,000 of
[29:20.280 --> 29:28.360]  PCI cards into a machine, a $6,000 machine actually isn't that I have a starting point.
[29:28.360 --> 29:35.000]  I mean, it's a very serious computing needs that these people have. But what if your concern is
[29:35.000 --> 29:44.840]  that what you want is you want Apple to be making the fastest CPUs in personal computing, period,
[29:44.840 --> 29:54.040]  full stop. And I know that Apple Silicon's at the very highest level, the advantage that it has,
[29:54.040 --> 29:59.960]  the profound advantage that seems to, if anything, only be growing is performance per watt and
[29:59.960 --> 30:05.880]  performance at the, you know, at almost every other tier is also good on its own. It's not just,
[30:05.880 --> 30:09.640]  oh, performance per watt is great and you're going to get this great efficiency and battery
[30:09.640 --> 30:14.680]  life. But yeah, it's fast. It's fast, fast, fast. And everything is snappy. But what if what you
[30:14.680 --> 30:20.520]  really want is for Apple to make the race car of computing? Is that still something that you guys
[30:20.520 --> 30:26.440]  are like hungry for? Yeah. And I think I think I mean, we kind of touched on it before. There's
[30:26.440 --> 30:30.520]  you can say you want to make the most performant thing. There's a bunch of different ways to look
[30:30.520 --> 30:35.720]  at that. And, you know, we clearly have examples where we are hands down the most performant
[30:35.720 --> 30:40.760]  solution with M2 Ultra. And so we want to keep pushing on those. We want to find other areas
[30:40.760 --> 30:45.400]  that we can we can make better. But I don't think we want to get, you know, all hung up on
[30:45.960 --> 30:49.960]  kind of the legacy architecture of how many of this do you have? How many of that do you have?
[30:49.960 --> 30:53.320]  Because we're bringing real benefit that's measurable that people can see.
[30:53.320 --> 31:00.840]  All right, now let's, let's talk about some fun. And that's gaming. Yeah. No, I mean, I mean,
[31:00.840 --> 31:03.960]  why else are you playing games? We think it's all fun, John.
[31:08.920 --> 31:16.840]  But there seems to be a bit of with the the segment in the keynote with Death Stranding
[31:16.840 --> 31:24.200]  and Hideo Kojima. Yeah, Kojima-san, how cool is that?
[31:26.200 --> 31:32.120]  Awesome, guys. It looks awesome. And I, you know, I'm not a serious gamer, but I could tell
[31:32.680 --> 31:37.880]  from my perspective in the audience when he came on stage and all these people started clapping,
[31:37.880 --> 31:43.720]  he's like, oh, he must be somebody. He's somebody. He's somebody.
[31:43.720 --> 31:48.200]  But there seems to, there feels to me like a little bit of deja vu with this. Like,
[31:48.200 --> 31:55.880]  I've heard this before. Like, it's not like you guys have suddenly started trying to gain traction
[31:55.880 --> 32:03.000]  in gaming desktop or PC gaming with the Mac this year. It, I've heard this before. And other
[32:03.000 --> 32:08.440]  developers with other games have been featured in keynotes. I'm not sure if you guys have seen
[32:08.440 --> 32:13.880]  this, but I've heard this before. And other developers with other games have been featured
[32:13.880 --> 32:25.640]  in keynotes. And it almost seems like mysterious to me why, whether it's Mac gaming gaining traction
[32:25.640 --> 32:34.200]  or any other company, you know, what games traction that seemingly deserves to and other
[32:34.200 --> 32:40.520]  in the marketplace, but seemingly don't deserve to. It sometimes seems like a mystery and Mac
[32:40.520 --> 32:44.440]  gaming seems like one of those to me. This shouldn't be a mystery. I mean,
[32:44.440 --> 32:50.760]  the physics have changed substantially, right? We used to only have a limited amount of Macs
[32:51.320 --> 32:58.920]  that we made that could really do high-end gaming. And the difference is now every Mac that we sell
[32:58.920 --> 33:03.720]  is capable of doing high-end gaming because of what we've done with Apple Silicon, because
[33:03.720 --> 33:09.320]  we've done with our unified memory, our GPUs. They are, so the economics for game developers
[33:09.320 --> 33:14.840]  has changed substantially, right? And the performance for our users and those game
[33:14.840 --> 33:21.000]  developers has changed substantially. And just like Coach Ma said, and we said, it's a new era
[33:21.000 --> 33:25.560]  for Mac gaming that just truly has never existed before like this. It's a big deal.
[33:25.560 --> 33:35.960]  And there's a lot of excitement internally about it. Yeah, someone's talking. I mean,
[33:35.960 --> 33:39.880]  I think Jaws is right. I think it's a super exciting time for the Mac. It's obviously
