[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[07:51.200 --> 07:54.000]  But my working draft headline for writing about it
[07:54.000 --> 07:58.340]  is store-caught selling services.
[07:58.340 --> 08:01.120]  It has the rights to sell.
[08:01.120 --> 08:03.400]  Yeah, it's like they put someone's software
[08:03.400 --> 08:05.200]  in an end cap at the grocery store
[08:05.200 --> 08:08.200]  and people are saying, oh, wow, wow, what do you think?
[08:08.200 --> 08:10.600]  You can't put their cereal on that end cap.
[08:10.600 --> 08:13.000]  No, that's got to stay on the shelf where it belongs.
[08:14.560 --> 08:17.200]  I don't understand why people think this is outrageous
[08:17.200 --> 08:21.500]  other than that it's presented as outrageous.
[08:21.500 --> 08:24.040]  You know, like the headline itself
[08:24.040 --> 08:27.680]  sort of implies shadiness.
[08:27.680 --> 08:30.320]  I often flag the word finally.
[08:30.320 --> 08:32.560]  I have like, you know, years long running gag
[08:32.560 --> 08:34.840]  on Daring Fireball where somebody will say,
[08:34.840 --> 08:38.680]  you know, like let's say Safari 15.0 comes out
[08:38.680 --> 08:42.760]  and it breaks scrolling on certain websites.
[08:42.760 --> 08:47.120]  And then a month later, 15.0.1 comes out and fixes the bug.
[08:47.120 --> 08:48.680]  And somebody is going to run a headline,
[08:48.680 --> 08:52.360]  Apple finally fixes scrolling bug in Safari 15, right?
[08:52.360 --> 08:53.560]  And it's like, it was a month.
[08:53.560 --> 08:55.000]  You know, what are you talking about?
[08:55.000 --> 08:56.260]  But that's just good fun.
[08:56.260 --> 09:00.120]  But another like word that I feel like is a red flag
[09:00.120 --> 09:02.440]  in a headline is quietly.
[09:02.440 --> 09:03.980]  Apple quietly buying.
[09:03.980 --> 09:05.800]  Number one, it implies they're doing something
[09:05.800 --> 09:09.160]  they want to hide or that they think is shifty or shady
[09:09.160 --> 09:10.280]  or don't want to admit to.
[09:10.280 --> 09:11.160]  But what would it be?
[09:11.160 --> 09:14.520]  What's the non-quiet way of buying Google ads?
[09:14.520 --> 09:16.200]  I don't know.
[09:16.200 --> 09:19.160]  Yeah, it's like what is loudly buying ads look like?
[09:19.160 --> 09:21.080]  When they hit the buy button, they shout.
[09:21.080 --> 09:21.920]  I don't know.
[09:21.920 --> 09:24.720]  Apple is ostentatiously buying Google ads.
[09:24.720 --> 09:26.200]  Like should they have written a post
[09:26.200 --> 09:29.120]  on the Apple newsroom site that says
[09:29.120 --> 09:32.560]  Apple is now buying Google ads for the following terms?
[09:32.560 --> 09:35.040]  Should that have been a news article?
[09:35.040 --> 09:35.880]  I mean, and number one,
[09:35.880 --> 09:38.120]  they would have had to run it five years ago
[09:38.120 --> 09:40.280]  because one of the other aspects of this
[09:40.280 --> 09:42.960]  is that Apple's been doing it for five years.
[09:42.960 --> 09:44.080]  Yeah.
[09:44.080 --> 09:48.080]  And it's, then they're doing what they talk about doing.
[09:48.080 --> 09:48.920]  That's the reality.
[09:48.920 --> 09:51.300]  Like so much of the discussion around the App Store
[09:51.300 --> 09:56.300]  and around why Apple feels justified in their 30% cut
[09:56.320 --> 09:58.320]  or whatever cut they get in the App Store
[09:58.320 --> 10:01.640]  is that they do marketing on developers' behalf.
[10:01.640 --> 10:05.220]  That is something that is fundamental to the relationship.
[10:05.220 --> 10:07.040]  They aren't just a payment processor.
[10:07.040 --> 10:11.720]  They are doing marketing and that's a big part of the deal.
[10:11.720 --> 10:13.600]  And it's like this is just Apple doing that
[10:13.600 --> 10:16.440]  in a more outside the App Store way,
[10:16.440 --> 10:20.780]  but Apple shows app icons during keynotes
[10:20.780 --> 10:24.040]  or they'll, on Apple.com, if you go to the iPhone page,
[10:24.040 --> 10:25.480]  go to the Apple Watch page,
[10:25.480 --> 10:27.180]  they'll talk about third-party apps.
[10:27.180 --> 10:30.520]  And that's just marketing and it's outside the App Store
[10:30.520 --> 10:32.200]  and that's part of the deal here.
[10:32.200 --> 10:34.680]  And it seems to be slightly surprising.
[10:34.680 --> 10:36.800]  It almost feels generous that they're actually
[10:36.800 --> 10:40.560]  spending marketing dollars on developers' behalf
[10:40.560 --> 10:42.960]  and you could spin it in a way that they're trying
[10:42.960 --> 10:46.040]  to capture that subscription revenue
[10:46.040 --> 10:47.980]  by getting people to sign up inside the app
[10:47.980 --> 10:51.200]  rather than signing up on the publisher's website.
[10:51.200 --> 10:54.740]  But it's like in order for Apple to get money from this,
[10:54.740 --> 10:57.140]  the publisher is getting the 70%.
[10:57.140 --> 11:00.300]  So it's not like they're coming out behind
[11:00.300 --> 11:02.660]  as a result of this situation.
[11:02.660 --> 11:05.920]  It seems like only upside and if Apple wants to buy ads
[11:05.920 --> 11:08.920]  for my apps, they can take this as my full
[11:08.920 --> 11:10.640]  and clear permission for them to do that
[11:10.640 --> 11:13.900]  whenever they feel so justified to quietly do that.
[11:13.900 --> 11:17.800]  The implication is if Apple weren't buying these,
[11:17.800 --> 11:19.280]  I'll just mention HBO Max,
[11:19.280 --> 11:21.380]  because I tested that one and I think they mentioned it
[11:21.380 --> 11:23.380]  in the article, but like on an iPhone,
[11:23.380 --> 11:26.640]  when you search for HBO Max, there's a chance,
[11:26.640 --> 11:29.320]  in Google, there's a chance that you're one
[11:29.320 --> 11:31.960]  of the top results will be an ad from Apple
[11:31.960 --> 11:34.360]  that says App Store and it goes
[11:34.360 --> 11:39.080]  to like an apps.apple.com slash HBO Max URL
[11:39.080 --> 11:43.320]  and you go to the App Store and if you tap the link
[11:43.320 --> 11:46.920]  and you either download HBO Max or open it
[11:46.920 --> 11:49.900]  if you already have it and why you were Googling
[11:49.900 --> 11:53.120]  for HBO Max and click the ad in that case, I don't know,
[11:53.120 --> 11:55.640]  but then you get the ad, you sign up in the app
[11:55.640 --> 12:00.040]  and then you sign up via your App Store account
[12:00.040 --> 12:02.620]  and then Apple for the first year gets 30%
[12:02.620 --> 12:05.260]  and then after a year, it's 15%
[12:05.260 --> 12:09.300]  and this poor little small independent developer
[12:09.300 --> 12:14.300]  called AT&T just picking on the little guys Apple is
[12:14.960 --> 12:19.680]  only gets 70 and 85% and I guess the implication
[12:19.680 --> 12:22.120]  of the people who think this is scandalous
[12:22.120 --> 12:25.200]  is that if Apple weren't paying for these ads
[12:25.200 --> 12:28.360]  and you search for HBO Max, even if you have an iPhone,
[12:28.360 --> 12:33.000]  that you would go to the actual hbomax.com site
[12:33.000 --> 12:37.400]  or whatever their domain name is and sign up on the web
[12:37.400 --> 12:40.980]  and then AT&T would get 100% of your money
[12:40.980 --> 12:45.020]  minus credit card fees and that every single person
[12:45.020 --> 12:48.480]  who taps the Apple ad and goes through the app
[12:48.480 --> 12:52.200]  and pays through Apple would have otherwise given all
[12:52.200 --> 12:56.080]  of their money to HBO, which I don't think is true at all.
[12:56.080 --> 12:59.720]  Like, it's, I don't think it, it reminds me
[12:59.720 --> 13:01.640]  of like the argument about software piracy
[13:01.640 --> 13:03.720]  from back in the day, there was like an organization
[13:03.720 --> 13:07.420]  called the Software Publishers of America or somebody
[13:07.420 --> 13:10.840]  and they would publish these press releases every year
[13:10.840 --> 13:14.160]  about like the outrageous cost of piracy
[13:14.160 --> 13:18.180]  and that it's costing the industry some absurdly high number
[13:18.180 --> 13:21.160]  of billions of dollars a year because they would just,
[13:21.160 --> 13:23.680]  they would just act as though every single pirated piece
[13:23.680 --> 13:26.960]  of software out there, if not for piracy,
[13:26.960 --> 13:29.960]  would have been paid for at the full retail price,
[13:29.960 --> 13:31.080]  which isn't true.
[13:31.080 --> 13:33.640]  Like when I was in college and I was pirating Photoshop,
[13:33.640 --> 13:38.640]  it wasn't because otherwise I would have spent $500
[13:38.960 --> 13:41.880]  to buy a copy from Adobe, I didn't have $500,
[13:41.880 --> 13:44.120]  I was in college, it was pirated or nothing.
[13:44.120 --> 13:47.720]  I think that the idea that if Apple weren't buying
[13:47.720 --> 13:50.480]  these ads, every single one of these would be a conversion
[13:50.480 --> 13:53.840]  to AT&T at the full price on the web is ridiculous.
[13:53.840 --> 13:57.440]  And it also discounts the fact, it sort of acts
[13:57.440 --> 14:00.440]  as though the user doesn't know the difference either, right?
[14:00.440 --> 14:05.440]  Like there's no dark pattern here where Apple is masquerading
[14:06.120 --> 14:09.200]  as the HBO Max website, right?
[14:09.200 --> 14:11.880]  Like nobody is confused when they tap that ad
[14:11.880 --> 14:15.840]  and they go to the App Store on their phone or iPad,
[14:15.840 --> 14:18.280]  no one's confused about what has just happened.
[14:18.280 --> 14:21.320]  The article would make more sense with its slant
[14:21.320 --> 14:24.640]  if Apple had somehow set up a bunch of shady websites
[14:24.640 --> 14:29.560]  that look like the HBO Max or Hulu or Disney Plus
[14:29.560 --> 14:32.800]  or whatever other keywords or services they're buying for
[14:32.800 --> 14:36.280]  and set up these websites and like was tricking people
[14:36.280 --> 14:38.400]  into signing up for a thing where they get a cut
[14:38.400 --> 14:40.540]  where there's no trickery here at all.
[14:41.680 --> 14:43.280]  Yeah, and it's in that context too,
[14:43.280 --> 14:46.920]  it's like right below the ad is presumably a link
[14:46.920 --> 14:49.800]  to HBOMax.com and they have two options.
[14:49.800 --> 14:53.040]  They can go to the App Store or they can go to the website,
[14:53.040 --> 14:55.000]  both shown on their screen and they're choosing
[14:55.000 --> 14:57.280]  the App Store, like that's a choice they're making
[14:57.280 --> 15:00.240]  consciously and Apple is just informing them
[15:00.240 --> 15:01.640]  that that's an option for this.
[15:01.640 --> 15:05.360]  It's not like by doing this Apple is making it
[15:05.360 --> 15:08.800]  so that it is impossible to find HBOMax.com.
[15:08.800 --> 15:12.600]  It's still right there in the next item down
[15:12.600 --> 15:13.900]  on the Google search results.
[15:13.900 --> 15:18.600]  So it seems a bit sort of a made up controversy.
[15:18.600 --> 15:20.880]  The article at Forbes doesn't say who complained,
[15:20.880 --> 15:24.600]  it just says developers with subscriptions have complained.
[15:24.600 --> 15:26.080]  Let's just say it's HBO Max.
[15:26.080 --> 15:27.500]  I don't know if they're the ones who complained
[15:27.500 --> 15:30.680]  to Forbes or not, but I'll throw anybody owned by AT&T
[15:30.680 --> 15:32.240]  under the bus, they can take it.
[15:32.240 --> 15:35.620]  But let's just say that HBO Max doesn't wanna give any money
[15:35.620 --> 15:38.320]  to Apple for in-app subscriptions.
[15:38.320 --> 15:41.200]  Well then do what Netflix did and take the in-app
[15:41.200 --> 15:43.680]  subscriptions out of your app, right?
[15:43.680 --> 15:47.120]  Like nobody is signing up for Netflix through these web ads
[15:47.120 --> 15:50.000]  for the word Netflix because Netflix stopped taking signups
[15:50.000 --> 15:52.520]  in app years ago because they didn't wanna give Apple
[15:52.520 --> 15:54.720]  the money, you know, the option's right there.
[15:54.720 --> 15:57.360]  Yeah, this is a choice, I got it.
[15:58.320 --> 16:01.120]  It's like you said, it's like an end cap at the supermarket.
[16:01.120 --> 16:03.560]  Like if they're having like a sale on Coca-Cola
[16:03.560 --> 16:05.980]  at the supermarket for Thanksgiving, right?
[16:05.980 --> 16:07.880]  Drink all the Coke you want at Thanksgiving.
[16:07.880 --> 16:11.280]  It's like Coca-Cola can't be mad that the supermarket
[16:11.280 --> 16:14.320]  is advertising Coca-Cola, you're the one who's selling
[16:14.320 --> 16:15.920]  your product through the supermarket.
[16:15.920 --> 16:17.800]  If you don't want them to, then sell, you know,
[16:17.800 --> 16:20.640]  switch to a direct marketing model and sell it all
[16:20.640 --> 16:23.600]  from Atlanta, you know, shipped to your house.
[16:23.600 --> 16:27.400]  Your apps are subscription-based, or at least the ones
[16:27.400 --> 16:30.360]  that are paid, and maybe you're not the best example
[16:30.360 --> 16:34.840]  because your subscriptions are only in-app subscriptions.
[16:34.840 --> 16:37.440]  Like you can't go to the Widgetsmith website
[16:37.440 --> 16:40.520]  and sign up on the web, it's all in-app.
[16:40.520 --> 16:43.800]  But if it were, hypothetically, if you could sign up
[16:43.800 --> 16:47.160]  for Widgetsmith or Pedometer++ on your website,
[16:47.160 --> 16:51.240]  would you mind if Apple advertised the apps?
[16:51.240 --> 16:53.160]  Hell, I mean, I think I would be thrilled.
[16:53.160 --> 16:54.940]  Like, I mean, because from my perspective,
[16:54.940 --> 16:58.000]  like the hardest part of what I do
[16:58.000 --> 16:59.640]  isn't necessarily the making of the app,
[16:59.640 --> 17:01.180]  it's the finding the customer.
[17:01.180 --> 17:04.020]  And if Apple wants to spend money finding customers
[17:04.020 --> 17:07.220]  for my apps, like, I understand that in this context,
[17:07.220 --> 17:09.120]  it's like if they search for Widgetsmith,
[17:09.120 --> 17:11.560]  getting them in the app store and having them convert,
[17:11.560 --> 17:13.760]  like, that's the end result, that's the goal.
[17:13.760 --> 17:15.920]  And if they, clearly, if Apple is spending money
[17:15.920 --> 17:18.120]  on something like this, and has been doing it for years,
[17:18.120 --> 17:20.640]  it works, that people are going into the app
[17:20.640 --> 17:22.560]  and then converting into customers.
[17:22.560 --> 17:25.080]  And so that's kind of the whole,
[17:25.080 --> 17:27.360]  that's the whole game, is to get people
[17:27.360 --> 17:28.560]  and to make them subscribers.
[17:28.560 --> 17:30.000]  And while they're subscribers, great,
[17:30.000 --> 17:31.320]  people are giving you money.
[17:31.320 --> 17:32.640]  And I'm like-
[17:32.640 --> 17:34.240]  Apple, I don't know if you've heard,
[17:34.240 --> 17:36.160]  Apple is really good at getting people
[17:36.160 --> 17:38.680]  to give them money for products and services?
[17:38.680 --> 17:39.520]  Yeah.
[17:39.520 --> 17:42.400]  And so to have them working on your side
[17:42.400 --> 17:45.240]  under the terms you agreed to.
[17:45.240 --> 17:46.060]  Yeah.
[17:46.060 --> 17:46.900]  You know what I mean?
[17:46.900 --> 17:49.080]  It's not like there's somebody at Hulu
[17:49.080 --> 17:52.920]  who's like, what, we're giving 30% to Apple?
[17:52.920 --> 17:53.760]  You know?
[17:53.760 --> 17:54.600]  Yeah.
[17:54.600 --> 17:57.000]  I could not believe that this was a scandal,
[17:57.000 --> 17:58.500]  but there it is.
[17:58.500 --> 18:00.640]  Let me take a break, thank our first sponsor.
[18:00.640 --> 18:02.340]  Previously, sponsor on the show,
[18:02.340 --> 18:03.520]  hasn't been here for a while,
[18:03.520 --> 18:06.280]  happy to have them back, love their product,
[18:06.280 --> 18:10.200]  it's Hullo Pillow, H-U-L-L-O.
[18:10.200 --> 18:14.040]  Hullo Pillow, they make buckwheat pillows.
[18:14.040 --> 18:16.640]  Now, either you've, you've probably not tried one,
[18:16.640 --> 18:17.800]  if you're in America, this is,
[18:17.800 --> 18:21.120]  they're long, long popular in other countries
[18:21.120 --> 18:22.940]  around the world, like in Asia.
[18:22.940 --> 18:25.900]  They are totally different than the fluffy soft pillows
[18:25.900 --> 18:27.520]  most of us are used to.
[18:27.520 --> 18:30.600]  Hullo pillows are buckwheat filled,
[18:30.600 --> 18:34.240]  sort of, best thought of as sort of like a bean bag.
[18:34.240 --> 18:35.460]  It's a lot heavier.
[18:35.460 --> 18:36.520]  You can feel it in there,
[18:36.520 --> 18:38.640]  it's almost like a pillow full of something
[18:38.640 --> 18:39.960]  that from the outside feels like,
[18:39.960 --> 18:42.280]  maybe like coffee beans or something like that.
[18:42.280 --> 18:45.000]  But they're buckwheat, much, much heavier,
[18:45.000 --> 18:46.200]  very, very different.
[18:46.200 --> 18:48.340]  Why would you wanna do that instead of a soft pillow
[18:48.340 --> 18:49.180]  like you're used to?
[18:49.180 --> 18:51.760]  Because they support your head and neck,
[18:51.760 --> 18:53.520]  unlike traditional squishy soft pillows.
[18:53.520 --> 18:55.500]  If you're the sort of person who likes to use two pillows
[18:55.500 --> 18:57.760]  or even three pillows to get your head propped up,
[18:57.760 --> 19:00.720]  one Hullo pillow will probably do the trick.
[19:00.720 --> 19:03.200]  It'll stay firm all through the night.
[19:03.200 --> 19:05.920]  They also stay cool and dry compared to pillows
[19:05.920 --> 19:07.720]  filled with feathers or foam.
[19:07.720 --> 19:11.360]  A buckwheat pillow will stay cool all night long.
[19:11.360 --> 19:13.180]  So like the whole thing, like middle of the night,
[19:13.180 --> 19:14.840]  you wake up and you flip your pillow around
[19:14.840 --> 19:15.860]  to get a cool side.
[19:15.860 --> 19:18.560]  You don't have to do that with a Hullo pillow.
[19:18.560 --> 19:20.120]  People love this pillow.
[19:20.120 --> 19:23.680]  My wife and son both absolutely swear by it.
[19:23.680 --> 19:25.740]  My wife, even though it's a heavy pillow,
