[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[10:28.960 --> 10:32.880]  And they haven't announced it yet and I think it's gonna look really really bad
[10:33.640 --> 10:40.000]  As soon as Apple unveils whatever it is that they're working on and I think it's almost certain at this point that Apple is
[10:40.000 --> 10:44.800]  Working on something and it's almost certain that it's going to be announced this year and if it is announced this year
[10:44.800 --> 10:49.960]  It'll almost certainly been asked either in September or October
[10:49.960 --> 10:54.840]  I don't know what right and then adding to this was that I don't know if it was published
[10:55.520 --> 10:59.520]  shortly before your post or shortly after but patch koski
[11:00.280 --> 11:01.880]  posted
[11:01.880 --> 11:08.640]  You know sort of citing sources whatever that it's gonna happen in October period
[11:08.640 --> 11:15.360]  The wearable thing. Yeah. Oh, I didn't know that. I thought he posted that back in June. He updated that. I don't know
[11:15.360 --> 11:18.320]  I don't let me look I thought he posted that like June 6th
[11:18.760 --> 11:23.480]  That it that they were shooting for an october date. Oh, maybe that was an old article
[11:23.480 --> 11:27.280]  But someone I am did to me and they're like who's your money on Gruber or
[11:27.760 --> 11:32.400]  Or patch well my money would be on patch koski people seem to think I'm I'm
[11:32.880 --> 11:38.160]  more prescient than then than I am and I know I do know that I have a terrible
[11:38.160 --> 11:41.720]  Terrible guilty habit. I should be I should be guilty about it, but I'm not of
[11:42.880 --> 11:49.280]  When I do have information coily putting it out there without a source as as though it's my own speculation
[11:50.960 --> 11:55.600]  Oh, man, this is from June 6th. Yeah, it's from June. I got punk. I got punk and played
[11:56.240 --> 12:00.920]  I thought it was I thought it was published like at the same time as your right well and if you read it
[12:00.920 --> 12:02.920]  He didn't say
[12:02.920 --> 12:06.680]  Apple is going to announce it in October his June 6th thing said
[12:06.680 --> 12:10.560]  Apple is shooting for october to release it, you know meaning
[12:11.480 --> 12:12.680]  You know
[12:12.680 --> 12:17.600]  Who you know well it was June I mean they still had a lot of work. Whatever it is that they're that they're working on June means
[12:17.600 --> 12:19.600]  They still had a lot of work left to do on it
[12:19.600 --> 12:23.560]  Right and and and like in the last several years
[12:23.560 --> 12:27.520]  They've had basically the September event and the October event and
[12:28.040 --> 12:32.800]  You know right if if it's not ready for September you can do it in October
[12:32.800 --> 12:38.440]  But if it is ready, and if it's you know, this is the kind of thing that is being pitched as an iPhone accessory
[12:38.440 --> 12:43.440]  Basically, then why not show it off in September? I don't know but well anyway
[12:43.440 --> 12:45.080]  Read this if you read the sentence that I wrote
[12:45.080 --> 12:48.880]  I wrote the only way this could get funnier would be if it doesn't even ship until
[12:50.000 --> 12:55.520]  After Apple announces the wrist wearable thing next month, and I when I wrote that I even thought I
[12:55.520 --> 13:02.080]  I should probably put something if they announced it in September instead of October or something like something like that. Yeah
[13:04.400 --> 13:11.400]  But it's anything like that takes the piss and vinegar out of the joke and I didn't write when Apple announces their
[13:11.960 --> 13:15.920]  Risk wearable thing next month because if that was the clause I was thinking about writing
[13:15.920 --> 13:17.920]  I would have used if instead of when
[13:18.240 --> 13:20.640]  If Apple announces the risk wearable thing next month
[13:20.640 --> 13:25.960]  So and the whole thing is also further complicated that I was doing it from my phone, which makes me lazy
[13:25.960 --> 13:30.880]  It does it it makes me lazier to rewrite a sentence whereas if I was at my desk
[13:30.880 --> 13:38.200]  I might you know, I did notice that I noticed that someone could read that as me saying that they're definitely going to do in September
[13:38.200 --> 13:41.680]  And I thought nah, no one will do that everybody knows I'm making a joke about the Moto 360
[13:41.680 --> 13:49.800]  It's like a two and a half hour flight from Orlando back to Philly, and it happened to be a plane with no
[13:50.560 --> 13:51.800]  Wi-Fi
[13:51.800 --> 13:55.200]  So I had no idea I had no Wi-Fi. There was a hashtag John
[13:55.200 --> 13:57.200]  It was has Gruber landed
[13:57.200 --> 14:05.040]  And I get off and it had gone like bananas. It was like top-of-tech meme John Gruber confirms I watch is gonna be
[14:05.040 --> 14:13.080]  Released in September, and I was like no, I didn't and I know more friday's man, right?
[14:13.080 --> 14:17.040]  And then you know it's like 10 o'clock on a Friday and I'm I guess I should
[14:17.520 --> 14:21.880]  Update it and I thought now fuck that. I'm not gonna update it because I didn't say that I don't
[14:22.600 --> 14:26.240]  Let the other people look foolish for reading too much into it. Yeah
[14:26.240 --> 14:34.240]  And there's too much it was like too much to update because I do think I'm certain that they're planning to
[14:35.000 --> 14:37.000]  Announce it either in September or October
[14:37.000 --> 14:40.440]  I don't know that they will anything can happen at the last minute
[14:40.680 --> 14:46.360]  But I think that they'll have two events just be it mainland. This is one thing I often
[14:47.120 --> 14:52.240]  Forget is even people who like read my stuff, you know listen to the I don't know
[14:52.240 --> 14:56.640]  Maybe people listen to the show or more tindim, but there's so many people who read there in Fireball
[14:58.040 --> 15:06.120]  And followed tech period, but who don't seem to pick up on the very to me very obvious patterns of Apple as a company
[15:06.120 --> 15:09.120]  That you know, I say this or a lot of I repeat myself on this
[15:09.120 --> 15:13.200]  But they're a company of annual patterns and they do break them sometimes, you know
[15:13.200 --> 15:16.720]  The iPhone used to be a thing the first few years that came out in June
[15:16.720 --> 15:25.640]  Or early July very early July and then it switched to becoming like a late September thing or announced in early September
[15:26.040 --> 15:28.040]  release two weeks later and
[15:28.040 --> 15:33.600]  Once they switched that that they stuck to that and they've stuck to it ever since and last few years
[15:33.600 --> 15:43.200]  They've had a September event with the iPhone and an October event with the iPad and I just assume that they're probably stick to that this year
[15:43.200 --> 15:47.920]  And therefore that they've got two events one of the and if they're gonna do the wearable thing
[15:48.160 --> 15:52.400]  They'll have to pick one of those two events to to you know included on
[15:53.280 --> 15:57.000]  So I you know, I don't have anybody who's told me that I don't know nobody told me
[15:57.000 --> 15:58.560]  I'm just you know working it out myself
[15:58.560 --> 16:01.040]  I do think it's very in some ways it makes sense
[16:01.280 --> 16:06.120]  Because the other thing too is it's not just that they have to pick one of the two events and find time for it
[16:06.120 --> 16:09.760]  But their events typically have like a narrative that runs through them
[16:09.760 --> 16:14.880]  And if they're announcing more than one thing they figure out some kind of way to tie it together in
[16:15.480 --> 16:21.800]  The show as part of like one story and I kind of feel like like a wearable wrist thing
[16:22.960 --> 16:27.200]  Sounds to me like something that'd be easier to tie in with new iPhones than with the iPad
[16:27.800 --> 16:31.440]  Yes, especially if it requires an iPhone to be
[16:32.080 --> 16:36.240]  Used right well we can talk about that later because that's a question
[16:36.240 --> 16:44.600]  But I do think though that even if or at least if it goes best with it. Yeah, and there others if it's an accessory if it's a two hundred dollar iPhone accessory
[16:45.600 --> 16:52.520]  You know show it off with the iPhone right and the the the the new iPads last year came with the M7 co-processor
[16:52.520 --> 17:01.040]  Two, but it certainly makes a lot more sense that that if the storyline is about health and fitness tracking right the health kit sort of
[17:01.040 --> 17:08.560]  You know going health kit expanding from a little 90-second spot during WWDC to here's why we're doing this
[17:08.560 --> 17:14.440]  You know 90-minute presentation on on health and fitness tracking with a bunch of partners, et cetera
[17:15.280 --> 17:22.600]  It seems to me like that would fit more naturally with the iPhone and new iPhones that also have or I guess maybe have an M8
[17:23.160 --> 17:25.160]  fitness, you know activity tracker
[17:25.160 --> 17:33.920]  Then with the iPad which you know, it's I feel like they included the M7 on the iPad because why not at probably not a very expensive
[17:33.920 --> 17:39.840]  Component, but I don't think tracking your feet based on your iPad is going to give you you know your footsteps is gonna
[17:39.840 --> 17:41.840]  Give you a very accurate count
[17:42.120 --> 17:43.040]  Right, yeah
[17:43.040 --> 17:50.720]  I mean if it and if it needs any sort of Bluetooth connection to a device to sync to the you know to your cloud kit
[17:50.720 --> 17:53.560]  Right or cloud whatever your iCloud account is
[17:53.560 --> 17:59.680]  That's most likely going to be an iPhone and not an iPad. Yeah, but it probably could technically be an iPad
[17:59.680 --> 18:05.360]  but my guess is that the majority of people will sync with an iPhone right and further
[18:05.600 --> 18:11.400]  Complicating this is Yosemite and not complicating it. I would say almost clarifying it is Yosemite which
[18:12.000 --> 18:16.720]  Last year the Mac OS 10 update shipped in October not September
[18:16.720 --> 18:25.560]  And I think the year before right or maybe not. I don't know. Yeah, I know last year did and I know this year
[18:25.560 --> 18:32.600]  It seems to be tracking behind iOS and mark german of nine to five Mac said it was an oct it was gonna come in October
[18:32.600 --> 18:34.600]  Which it's makes a lot of sense
[18:37.360 --> 18:39.360]  And it just doesn't make sense to
[18:40.280 --> 18:45.160]  Assuming, you know, it also even if it were ready. It just doesn't make sense as part of the iPhone
[18:45.160 --> 18:52.440]  Event, whereas it makes more sense as the iPad event because iPads and Macs are a little bit more similar overlapping
[18:53.240 --> 19:01.120]  And so if they're going to do a and that's what they've done in the past few years is sort of repeat the Yosemite thing from
[19:01.480 --> 19:07.960]  WWDC, you know, like here's these 10 features we think you really want to know about in Yosemite and you know for some of us
[19:07.960 --> 19:12.600]  Who pay close attention and remembered the WWDC keynote clearly it's a little bit of a repeat
[19:12.600 --> 19:17.960]  But for people who haven't been paying close attention, which is you know part of the whole message
[19:17.960 --> 19:21.800]  You know whole point of marketing is you know to repeat your message to get it through
[19:23.040 --> 19:27.400]  That's what they do, but I presume that's gonna take up a big chunk of the October event
[19:28.440 --> 19:36.880]  Especially if there's a 12 inch paper thin MacBook Air retina ready to go to yeah, but I don't there runs an AA chip nods
[19:36.880 --> 19:43.120]  I'm gonna have yeah, which I don't expect all right. So I found a post on business insider that says
[19:43.920 --> 19:51.240]  quote Canvas a perfect name for Apple tablets says Apple God John Gruber. I wonder who may have written that post
[19:52.280 --> 19:54.280]  Oh, that was me
[19:56.280 --> 20:01.200]  Anyway, yeah Canvas that was the that's that's in hindsight. That sounds stupid
[20:02.080 --> 20:04.080]  That's why they don't let me name things
[20:04.080 --> 20:09.380]  But but I pad sound it's stupid too. Yeah. Yeah, maybe it's called it Canvas
[20:10.400 --> 20:11.920]  Well, I don't know I
[20:11.920 --> 20:14.840]  Guess the one thing one thing about iPad in hindsight is
[20:15.960 --> 20:19.600]  It somehow makes it feel like a sibling to iPhone
[20:20.600 --> 20:27.480]  In a way that if they'd called it the one thing iPhone and the other thing Canvas that they wouldn't seem like there is aligned
[20:28.320 --> 20:33.440]  Yeah, and especially you know with the notion that they're gonna rename iPhone OS to
[20:33.440 --> 20:34.680]  iOS
[20:34.680 --> 20:39.400]  Which I think was was that before that no was after app because it would have been a giveaway before
[20:40.320 --> 20:42.920]  Well the iPod touch, but yeah, oh
[20:44.440 --> 20:49.320]  Yeah, but they still called it. I they never seemed to hesitate to to
[20:51.320 --> 20:56.520]  To make it clear that the iPod touch despite its name was an iPhone without a phone
[20:57.360 --> 21:01.120]  Yeah, iPhone OS for a name renamed iOS for
[21:01.120 --> 21:03.120]  2010
[21:03.640 --> 21:04.640]  All right
[21:04.640 --> 21:10.360]  So yeah, I go that's truly I mean and circling back to what you said of you know back 10 minutes ago
[21:10.360 --> 21:14.920]  You know, it's true that nobody nope not only do people not know the name of
[21:15.520 --> 21:20.160]  The first iPad in 2010 nobody even really knew
[21:20.880 --> 21:25.920]  There was no confirmation no leaks that it ran iPhone. What was then called iPhone OS
[21:25.920 --> 21:30.040]  Like I it's in a footnote on my piece the tablet
[21:31.640 --> 21:38.560]  Where I wrote I would not be surprised to find out that the tablet uses UI kit AKA Coco touch as its programming API
[21:38.880 --> 21:42.800]  Like I kind of thought it would because it seemed to make sense to me, but no, I didn't nobody knew
[21:43.200 --> 21:45.800]  There weren't any kind of leaked nothing leaked out of them
[21:46.840 --> 21:50.120]  My favorite was an article I think from Nick built in
[21:50.120 --> 21:52.120]  Uh
[21:54.680 --> 21:56.680]  Where he said that
[21:57.640 --> 22:00.280]  The tablet interface would surprise you
[22:01.560 --> 22:07.720]  It was basically like get ready for a big surprise about you will be very surprised by how you
[22:08.600 --> 22:10.600]  Interact with a new tablet
[22:10.600 --> 22:16.960]  I don't know just like I don't know who told him that that doesn't seem. Yeah, I don't know doesn't see my illustration was was a
[22:16.960 --> 22:20.400]  A woman with a with a crazy brain helmet on like a
[22:21.360 --> 22:23.360]  Brain measurement helmet that
[22:24.160 --> 22:29.240]  That would have been a very apt description for the original iPhone, but yeah, it's not you know
[22:29.240 --> 22:35.240]  It was in fact. I guess it's really could really say it's wrong given how many people came out of the iPad intro with I
[22:35.680 --> 22:38.480]  Can't believe we got all excited for that. It's just a big iPhone
[22:40.080 --> 22:42.480]  Exactly, yeah, and and actually did a roundup
[22:43.200 --> 22:45.200]  before the iPad was announced of
[22:45.200 --> 22:48.640]  kind of artist renderings of what it might look like and
[22:50.960 --> 22:57.040]  There's actually one that looks exactly like the current iPad mini by
[22:58.000 --> 23:04.160]  Hey Zeus Diaz of Gizmodo. Oh, yeah, it looks exactly like today's iPad mini
[23:04.960 --> 23:06.000]  I
[23:06.000 --> 23:11.920]  Did not look like the first op iPad, but it was kind of funny so I so some of those renderings of
[23:11.920 --> 23:16.880]  Of whatever I watch is going to be called might be
[23:18.240 --> 23:25.080]  Somewhat accurate someday in the future, but I don't know. Yeah, I do wonder about that. I do have I heard one thing
[23:25.080 --> 23:29.560]  Well, you know what let me take a break about for school answer and and we'll get back to it
[23:30.800 --> 23:34.520]  And let me tell you about our good friends at backplays
[23:35.200 --> 23:38.400]  You guys know backplays. They are online backup
[23:38.400 --> 23:41.800]  Unlimited unthrottle for your Mac
[23:42.800 --> 23:44.400]  computer
[23:44.400 --> 23:51.120]  You sign up for backplays you install their software, which was written by ex Apple engineers totally cool very nice native
[23:51.120 --> 23:54.440]  Mac software little thing and system preferences set it up
[23:54.960 --> 24:00.880]  It stays out of your way just runs in the background and then everything on your Mac even external drives
[24:00.880 --> 24:06.520]  You have plugged in just backs up to backblazes online hosted
[24:06.520 --> 24:08.280]  Servers
[24:08.280 --> 24:10.280]  Takes a while for the first backup
[24:10.680 --> 24:16.200]  Especially depending on your upstream thing. There's no no getting around that might take a while might take a couple days
[24:16.200 --> 24:20.760]  Maybe even a week depending on how much stuff you have to get that up there after that everything's incremental
[24:21.320 --> 24:23.320]  Just stays backed up
[24:23.480 --> 24:25.040]  then
[24:25.040 --> 24:30.280]  You can do whatever you want you can restore one file at a time you can restore all your files
[24:31.000 --> 24:34.840]  disaster strikes or you're across the country, but need your whole system
[24:34.840 --> 24:40.840]  You don't want to do you can get them to put your whole backup on an external drive
[24:40.840 --> 24:45.040]  You have to pay for it, but then they'll ship it right to you get it all right back in your hands right away
[24:45.640 --> 24:50.440]  They have iPhone app so you can access and share any of your files from wherever you are
[24:51.080 --> 24:52.600]  You don't have to
[24:52.600 --> 24:57.480]  Tunnel through anything to get to your own Mac your Mac could be sleeping in your backpack offline
[24:57.480 --> 24:59.480]  You can just use your iPhone and access
[24:59.480 --> 25:07.000]  Backblazes stuff and get any one file that you need send it off send it off from the iPhone app great great software
[25:07.640 --> 25:09.640]  You get a risk-free
[25:09.960 --> 25:14.560]  No credit card required required trial nothing's wrong
[25:14.560 --> 25:18.000]  I don't think with a credit card required trial, but it's of course
[25:18.000 --> 25:22.040]  It's better without one because when you put your credit card in you think that means if I forget
[25:22.440 --> 25:29.120]  When the trials up they're gonna start charging me now you don't have to worry about that you just sign up no credit card required trial
[25:29.120 --> 25:35.320]  At backblaze.com slash daring fireball and get started you get a whole month to see how it works
[25:35.320 --> 25:38.920]  And I guarantee it by the end of that you'll be given them your credit card. You're gonna want to sign up
[25:39.680 --> 25:47.520]  And the whole thing it's it's five bucks a month five bucks a month for each Mac that you want to have in your backblaze account
[25:49.120 --> 25:52.560]  It's the best deal. I've ever heard of for online backup
[25:52.560 --> 25:57.320]  So my thanks to them remember go to backblaze.com slash daring fireball
[25:57.320 --> 26:02.480]  They keep sponsoring a show because people keep signing up. I can't believe everybody hasn't signed up already
[26:03.480 --> 26:05.680]  Actually have a backblaze pro tip
[26:06.560 --> 26:12.960]  Because the first time I you know that first sync obviously is gonna take a long time because there's whatever a terabyte of
[26:13.280 --> 26:16.680]  Data, but it was going so unbelievably slow
[26:16.680 --> 26:17.720]  I didn't know what was wrong
[26:17.720 --> 26:24.760]  It was like you know would maybe do a hundred meg a day and it turned out that my stupid iMac was falling asleep after
[26:24.760 --> 26:30.680]  Whatever 10 minutes each time and that was interrupting the upload process somehow
[26:31.640 --> 26:37.880]  So I turned sleep off and boom it was done in like two days. Yeah, just have it said to display it to sleep your monitor
[26:38.000 --> 26:44.360]  Yeah, so and maybe it's because that's a old old ass. I Mac that you know
[26:44.960 --> 26:47.480]  With the spinning hard drive and all that stuff, but
[26:47.480 --> 26:53.560]  Try that if it's if you need to speed up. I have heard one
[26:54.680 --> 26:59.880]  Whisper, I mean, and this is hardly a this is like third party third-hand
[27:01.080 --> 27:06.600]  Just something floating in the wind, but that the whatever the wearable thing that they have
[27:07.160 --> 27:09.160]  Coming out that it has a square display
[27:10.360 --> 27:13.800]  Hmm, I don't even I would so I would so it has a display
[27:13.800 --> 27:18.640]  That's what I've heard that it has a display which to me is interesting if it's true
[27:18.840 --> 27:20.600]  Because it implies a lot of things
[27:20.600 --> 27:25.920]  I think because if it has a display to me that means it's gonna it may be it is more of a watch type thing
[27:25.920 --> 27:30.040]  I I've declined to call it a watch and I've certainly declined to call it the eye watch
[27:31.520 --> 27:37.840]  Not because I know that it is not a watch and I've seen people on Twitter speculate on that that I call it a
[27:38.040 --> 27:40.040]  risk wearable thing
[27:40.040 --> 27:43.360]  And that doesn't mean that I know that it's not a watch
[27:43.360 --> 27:46.760]  It just means that I don't know what the heck it is and I don't know that it is a watch
[27:46.760 --> 27:48.760]  I just know that they're working on a
[27:49.160 --> 27:50.760]  risk wearable thing
[27:50.760 --> 27:52.760]  Yeah, I've heard that it has a square display
[27:53.640 --> 27:57.800]  Hmm, well, I think that I think it kind of has to well, I don't know
