[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[12:53.680 --> 12:57.960]  a, hey, by the way, that Mac Pro thing we're talking about, that's not really a 2018 thing.
[12:57.960 --> 13:00.120]  That's a 2019 thing.
[13:00.120 --> 13:05.720]  The reaction from a lot of people I know was sort of, why can't they just make a big tower
[13:05.720 --> 13:07.880]  and poop it out?
[13:07.880 --> 13:23.320]  I think you're confusing us with a different computer company.
[13:23.320 --> 13:28.240]  The gist of it being, if this is going to take two years, this better be some fancy
[13:28.240 --> 13:29.440]  frigging hardware.
[13:29.440 --> 13:30.880]  I think that was answered.
[13:30.880 --> 13:35.240]  I think, you know, where have we been spending our time on this was answered in spades on
[13:35.240 --> 13:38.800]  Monday.
[13:38.800 --> 13:45.000]  I have questions though, because I'm still not sure I understand it all.
[13:45.000 --> 13:52.900]  So you do understand the question.
[13:52.900 --> 13:56.400]  This is not like any other computer on earth.
[13:56.400 --> 14:05.160]  This is a lot of custom engineering, like, and the MPX module, that's Mac Pro expansion.
[14:05.160 --> 14:07.680]  Afterburner.
[14:07.680 --> 14:13.720]  Is Afterburner, is that an MPX module or that's its own card?
[14:13.720 --> 14:14.720]  Programmable ASIC.
[14:14.720 --> 14:19.280]  So it can be reprogrammed in milliseconds.
[14:19.280 --> 14:22.800]  Explain to me what that means by reprogramming it.
[14:22.800 --> 14:24.840]  What type of programming stuff?
[14:24.840 --> 14:25.840]  See?
[14:25.840 --> 14:31.040]  Josh revealed to me earlier today that he was a computer engineer in college, so.
[14:31.040 --> 14:35.440]  A long time ago.
[14:35.440 --> 14:37.380]  You saw what we're using it for right now.
[14:37.380 --> 14:45.480]  It literally can process 6 billion pixels a second doing the ProRes and ProRes RAW.
[14:45.480 --> 14:49.800]  It is a burner, hence the name of what actually led to us thinking let's call it Afterburner.
[14:49.800 --> 14:51.480]  Yeah, essentially programmable hardware.
[14:51.480 --> 14:55.160]  So you're programming these gates so that then once you have that going, I mean, things
[14:55.160 --> 14:58.000]  are going through in virtually dedicated hardware speed.
[14:58.000 --> 15:02.880]  So that's what enables this ProRes decoding to happen at such staggering speeds and to
[15:02.880 --> 15:04.840]  offload the rest of the hardware to do everything.
[15:04.840 --> 15:08.840]  Does that mean that at some point in the future somebody could reprogram it to do something
[15:08.840 --> 15:09.840]  other than…
[15:09.840 --> 15:10.840]  Absolutely.
[15:10.840 --> 15:11.840]  Right.
[15:11.840 --> 15:21.400]  So the ProRes working with real size 5K, 8K, 3 streams of 8K, 3 streams of 8K.
[15:21.400 --> 15:26.520]  The way that this is a great breakthrough for people who work with that sort of video,
[15:26.520 --> 15:29.200]  that's just one thing that you're announcing that it can be done with.
[15:29.200 --> 15:30.200]  That's right.
[15:30.200 --> 15:31.200]  All right.
[15:31.200 --> 15:32.200]  Right.
[15:32.200 --> 15:33.200]  There's more to come.
[15:33.200 --> 15:34.200]  Like what?
[15:34.200 --> 15:37.640]  I mean, I'm not going to be announcing anything, but one could imagine.
[15:37.640 --> 15:41.380]  I can imagine quite a lot.
[15:41.380 --> 15:44.840]  And to your point about not being painted in a thermal window, I mean, you saw the stat
[15:44.840 --> 15:45.840]  on this.
[15:45.840 --> 15:50.360]  We literally moved 300 cubic feet of air through there a minute.
[15:50.360 --> 15:52.080]  Yeah, be careful walking by the thing.
[15:52.080 --> 15:54.160]  You're just going to get completely blown out of your office.
[15:54.160 --> 15:58.240]  But think about it, that's a pretty good size room that we can push that entire airflow
[15:58.240 --> 16:03.640]  through in a minute if we need to, and that's what allows us to run this thing at full speed
[16:03.640 --> 16:04.640]  all the time.
[16:04.640 --> 16:05.640]  Right?
[16:05.640 --> 16:07.640]  It doesn't have to throttle.
[16:07.640 --> 16:09.080]  Right.
[16:09.080 --> 16:13.040]  How much are the wheels going to cost?
[16:13.040 --> 16:26.360]  I mean, what really is a perfect wheel worth?
[16:26.360 --> 16:27.360]  How many do you want?
[16:27.360 --> 16:28.360]  I mean, yeah.
[16:28.360 --> 16:29.360]  How many do you need?
[16:29.360 --> 16:31.160]  Well, that's the thing.
[16:31.160 --> 16:33.480]  I'm imagining that they're very nice wheels.
[16:33.480 --> 16:38.840]  I was really sort of hoping that the hand, if there were wheels in the hands-on area,
[16:38.840 --> 16:39.840]  I missed them.
[16:39.840 --> 16:41.160]  I really, I wanted to sit there and.
[16:41.160 --> 16:42.160]  There was one.
[16:42.160 --> 16:43.160]  Yeah.
[16:43.160 --> 16:50.560]  There are installment plans available for wheel purchases, and I'll save up.
[16:50.560 --> 16:56.960]  I have been told by a reliable source.
[16:56.960 --> 17:01.160]  That's that, it cuts out to that.
[17:01.160 --> 17:02.160]  Dark contrast to that.
[17:02.160 --> 17:06.000]  All right, it's coming out in the fall, and you guys like to keep other stuff secret.
[17:06.000 --> 17:09.600]  You're going to show, here's a big unveil, but you're not revealing everything.
[17:09.600 --> 17:16.280]  I have been told that the Mac Pro will ship with the most, quote, insane packaging that
[17:16.280 --> 17:19.080]  Apple has done in a while.
[17:19.080 --> 17:21.080]  So who's your sort?
[17:21.080 --> 17:23.680]  Yeah, exactly.
[17:23.680 --> 17:25.560]  You'll just have to wait to see, John.
[17:25.560 --> 17:26.560]  Yeah.
[17:26.560 --> 17:36.240]  But you can imagine, it won't be shitty packaging.
[17:36.240 --> 17:38.760]  I told this story, and again, maybe I'm just out of touch.
[17:38.760 --> 17:43.440]  I have since been told that there are database servers with massive amounts of RAM.
[17:43.440 --> 17:52.040]  But during the keynote, I was sitting next to someone from Apple, and no, it's Bill Evans
[17:52.040 --> 17:53.040]  from PR.
[17:53.040 --> 17:55.320]  It's no big deal.
[17:55.320 --> 18:03.440]  But when it was announced that you could configure it with up to 1.5 terabytes of memory, I just
[18:03.440 --> 18:08.600]  instantly assumed that it meant storage, like SSD, and I was like, well, 1.5 terabytes isn't
[18:08.600 --> 18:09.600]  even that much.
[18:09.600 --> 18:13.080]  And I said, why are people applauding so much?
[18:13.080 --> 18:15.240]  This is a curious reaction.
[18:15.240 --> 18:18.880]  And I said, he didn't mean RAM, did he?
[18:18.880 --> 18:19.880]  And he goes, yeah, RAM.
[18:19.880 --> 18:20.880]  And I'm like, wait.
[18:20.880 --> 18:21.880]  He said 1.5 terabytes.
[18:21.880 --> 18:27.680]  And he said, just shut up and listen.
[18:27.680 --> 18:28.680]  But that's serious.
[18:28.680 --> 18:29.680]  It's a lot of memory.
[18:29.680 --> 18:30.680]  It's a serious memory.
[18:30.680 --> 18:36.880]  And in my experience, that's just, from my youth onward, that's just not how computers
[18:36.880 --> 18:37.880]  tend to evolve.
[18:37.880 --> 18:44.760]  So iMac Pro, which until Monday was the fastest computer you guys have ever had announced,
[18:44.760 --> 18:50.760]  maxes out at 256 gigabytes of RAM, which to me sounds like enough to open some browser
[18:50.760 --> 18:54.280]  tabs.
[18:54.280 --> 18:59.300]  And so the way computers have always worked my life is things happen like they double,
[18:59.300 --> 19:02.320]  or maybe you add another 128 and go to 384.
[19:02.320 --> 19:03.780]  You get these numbers like that.
[19:03.780 --> 19:08.040]  You don't just go from 256 gigabytes to 1.5 terabytes.
[19:08.040 --> 19:09.120]  That seems crazy.
[19:09.120 --> 19:11.040]  This machine is a sports car computer.
[19:11.040 --> 19:16.760]  Well, and going back to what you said, the conference that we had way back in 2017, we
[19:16.760 --> 19:18.720]  knew we had to create something really special.
[19:18.720 --> 19:22.640]  And that's why this wasn't, if you ever go walking the halls of CES and you see that
[19:22.640 --> 19:27.200]  you can buy these chassis from Taiwan and throw a chip in them and throw an operating
[19:27.200 --> 19:31.000]  system on it and you're in the computer business, that isn't what we were trying to do.
[19:31.000 --> 19:34.680]  We were going to create something that was going to be really, really special and something
[19:34.680 --> 19:38.720]  we thought was really designed for our pro customers, including the display, right?
[19:38.720 --> 19:40.600]  That's just nuts in and of itself.
[19:40.600 --> 19:45.020]  So we knew that was going to take some time, hence why we were trying to set the expectation.
[19:45.020 --> 19:46.320]  Not soon.
[19:46.320 --> 19:51.680]  Well, speaking of the display, the Pro Display XDR is gorgeous.
[19:51.680 --> 19:54.320]  It is incredible.
[19:54.320 --> 19:58.400]  It was funny though, doing some of the behind the scenes stuff with the media and getting
[19:58.400 --> 20:02.560]  to see some side by side comparisons with some competing products and this, they kept
[20:02.560 --> 20:06.120]  calling it the 6K display and I couldn't tell if they were talking about the pixels of the
[20:06.120 --> 20:08.120]  price.
[20:08.120 --> 20:20.600]  I honest to God, I thought, because usually the people from product marketing are very
[20:20.600 --> 20:26.160]  precisely spoken and I've thought, and it was a really good presentation that was really
[20:26.160 --> 20:29.000]  well rehearsed and very, you know, like, yeah, I could see the difference.
[20:29.000 --> 20:34.920]  And I was like, I can't believe she keeps calling it the 6K display, like enough already.
[20:34.920 --> 20:35.920]  Stop rubbing my nose.
[20:35.920 --> 20:42.720]  I like a thousand.
[20:42.720 --> 20:45.240]  The matte finish, which you're not really calling a matte finish, you're calling it
[20:45.240 --> 20:46.640]  a nano.
[20:46.640 --> 20:47.720]  Nano texture.
[20:47.720 --> 20:52.400]  That's because you probably got the briefing, the normal matte that people do, it'll cause
[20:52.400 --> 20:57.200]  us this sparkle or cause us this really weird effect on the screen and this is a process
[20:57.200 --> 21:02.220]  unlike anybody that's done before that etches the glass in a way that if you do the little
[21:02.220 --> 21:07.680]  test and shine a bright light on it, you see that it handles the glare in a way that no
[21:07.680 --> 21:08.680]  one's done before.
[21:08.680 --> 21:13.280]  It's an incredible process that we invented to do that.
[21:13.280 --> 21:18.460]  Make it clear, the standard display has industry leading anti-reflective coating, so it's wonderful
[21:18.460 --> 21:25.360]  in the base config, but if you really want the matte, the nano texture's just nuts.
[21:25.360 --> 21:29.620]  And side by side, I don't know how many people got to see it side by side, but I did.
[21:29.620 --> 21:34.140]  And when you're looking at it straight on with no glare, they look identical.
[21:34.140 --> 21:35.400]  You cannot tell them apart.
[21:35.400 --> 21:36.400]  The color's the same.
[21:36.400 --> 21:37.400]  The brightness is the same.
[21:37.400 --> 21:38.400]  It's remarkable.
[21:38.400 --> 21:41.800]  And then if you angle your head in a way to kind of get like a glare, it is like there
[21:41.800 --> 21:43.840]  is no glare on the matte one.
[21:43.840 --> 21:46.200]  It is really something.
[21:46.200 --> 21:47.360]  It really is a special display.
[21:47.360 --> 21:51.040]  The amount of engineering that went in by our display team is just incredible, everything
[21:51.040 --> 21:58.720]  from the blue LEDs to how the light is literally shaped going through the LCD itself.
[21:58.720 --> 22:02.680]  You get a million to one contrast ratio, and as you heard Colleen, didn't Colleen do a
[22:02.680 --> 22:12.760]  great job on stage, by the way?
[22:12.760 --> 22:16.120]  It's extreme dynamic range.
[22:16.120 --> 22:18.560]  I joke about calling it the 6K display.
[22:18.560 --> 22:20.120]  It is expensive.
[22:20.120 --> 22:25.720]  And I think that from what I've seen in the last two days, I think some people are seeing
[22:25.720 --> 22:32.800]  this wrong, where it fits on the marketplace, that it is not for everybody.
[22:32.800 --> 22:39.400]  It is really, truly meant for people who are doing work that demands these insane specs.
[22:39.400 --> 22:41.640]  It's not like...
[22:41.640 --> 22:45.320]  Well you saw the competitive benchmark, which is the display that we showed in the keynote,
[22:45.320 --> 22:49.200]  the reference, the gold standard, cost $43,000.
[22:49.200 --> 22:55.200]  And what's amazing about it is you see them in that whole lineup you saw, that reference
[22:55.200 --> 23:01.320]  display can only keep the brightness up on that image for a very short period of time.
[23:01.320 --> 23:07.520]  The more white that's in that image, it actually has a hardware light that stays green when
[23:07.520 --> 23:13.200]  it's at brightness, and within sometimes seconds, it has to go amber to tell you no longer trust
[23:13.200 --> 23:14.200]  this image.
[23:14.200 --> 23:16.800]  And that's the reference display at $43,000.
[23:16.800 --> 23:23.280]  So we've blown that away at just over a tenth the price.
[23:23.280 --> 23:28.680]  And the message, it seems very clear that it really will enable that in a lot of seriously
[23:28.680 --> 23:32.520]  professional Hollywood pipelines, there's only one of those displays at the end of the
[23:32.520 --> 23:37.200]  chain, and footage comes out of the camera and starts going process, and isn't being
[23:37.200 --> 23:41.920]  looked at, even by these pros, on a true reference display until it gets to the end, and then
[23:41.920 --> 23:43.560]  all of a sudden you're like, hey, your shirt's the wrong color.
[23:43.560 --> 23:44.560]  Yeah.
[23:44.560 --> 23:45.560]  What are you doing?
[23:45.560 --> 23:46.560]  Totally true.
[23:46.560 --> 23:47.700]  Now everybody in the workflow can have one.
[23:47.700 --> 23:51.680]  So we're super proud of the work our engineers did on that.
[23:51.680 --> 23:52.680]  It's incredible.
[23:52.680 --> 23:53.680]  All right.
[23:53.680 --> 23:54.680]  Let's talk software.
[23:54.680 --> 24:02.600]  All right.
[24:02.600 --> 24:03.600]  Mac OS Catalina.
[24:03.600 --> 24:05.280]  Let's just go Mac to Mac.
[24:05.280 --> 24:07.960]  We'll go hardware to software.
[24:07.960 --> 24:10.440]  Same thing we did in the keynote, by the way.
[24:10.440 --> 24:14.960]  I know I'm going to misspeak here, because the way my brain works, it's like a hashing
[24:14.960 --> 24:16.040]  algorithm.
[24:16.040 --> 24:21.700]  I'm going to confuse catalyst with Catalina probably every time I say it, but I'll try
[24:21.700 --> 24:27.500]  to keep it straight.
[24:27.500 --> 24:31.200]  I think this was the order you introduced, where you talked about the iTunes, and you
[24:31.200 --> 24:36.120]  had a great segment where you went through the history of iTunes and how simple it was
[24:36.120 --> 24:41.200]  in the early days and how it kept taking on more and more weight.
[24:41.200 --> 24:47.920]  And so now we have music, which is just music, but is born from the roots of what we knew
[24:47.920 --> 24:52.440]  as iTunes with the same playlists and stuff like that.
[24:52.440 --> 24:53.440]  Super fast.
[24:53.440 --> 25:03.960]  A podcast app, which is written using catalyst, and the TV app.
[25:03.960 --> 25:06.080]  Is the TV app a catalyst app as well?
[25:06.080 --> 25:07.080]  No.
[25:07.080 --> 25:08.080]  No.
[25:08.080 --> 25:10.920]  Of those three, just podcasts.
[25:10.920 --> 25:13.880]  Of those three, just podcasts.
[25:13.880 --> 25:20.360]  And I will say, I have not installed it, so I can't say that using it does, but getting
[25:20.360 --> 25:27.400]  a demo and seeing it, the podcast app looks like the sibling to the music app.
[25:27.400 --> 25:31.920]  In terms of the concerns that I've had, I know that other people have had, that what
[25:31.920 --> 25:38.400]  we now know as catalyst wasn't going to let you make apps that look like a real Mac app.
[25:38.400 --> 25:42.280]  And I don't think that's true at all, at least in what we see now this year.
[25:42.280 --> 25:43.280]  Oh, sure.
[25:43.280 --> 25:46.960]  No, I mean, catalyst certainly, well, it's UIKit API, so you've got a UI view instead
[25:46.960 --> 25:47.960]  of an NS view.
[25:47.960 --> 25:52.280]  I mean, it's a fully native framework, and we have an appropriate set of controls, and
[25:52.280 --> 25:56.640]  you can take advantage of all the platform features to build a really distinctive experience.
[25:56.640 --> 26:02.200]  So it's definitely the case that if you just push the Mac button in Interface Builder and
[26:02.200 --> 26:07.880]  build the app, that you're going to get some degree of Mac-ification, but it really is
[26:07.880 --> 26:15.240]  for developers to take some care to do the design work to make a great Mac experience.
[26:15.240 --> 26:19.160]  But you don't have to at least rewrite all of your code in order to do that, so you can
[26:19.160 --> 26:25.440]  have one code base and one team who understands one set of frameworks to do that work.
[26:25.440 --> 26:30.560]  But it's a parallel native framework set for the Mac.
[26:30.560 --> 26:37.280]  Can you, like let's say you have an iOS app, and you click the checkbox, add it to Mac,
[26:37.280 --> 26:42.320]  and then you spend some time really Mac-ifying it and doing things that only make sense on
[26:42.320 --> 26:44.880]  the Mac or should be different on the Mac.
[26:44.880 --> 26:53.460]  Can you also call into AppKit, or if you're a catalyst app, you're in UIKit, and there's
[26:53.460 --> 26:54.460]  like a boundary?
[26:54.460 --> 26:56.040]  Yeah, I mean, there's some indirect ways.
[26:56.040 --> 27:00.360]  Like if you have a separate window in the app, and that's Inspector Palette or some
[27:00.360 --> 27:03.320]  other part of your app that you want to use AppKit, you can.
[27:03.320 --> 27:06.840]  You can't blend in the same view hierarchy, both those technologies.
[27:06.840 --> 27:10.840]  They run in the same process today, which is different, as I know some people who've
[27:10.840 --> 27:15.480]  done some teardowns of last year's technology, they ran in.
[27:15.480 --> 27:21.800]  Thank you.
[27:21.800 --> 27:24.120]  Now it's one process model, so it's much, much tighter integration.
[27:24.120 --> 27:26.840]  But still, it's not a blended view hierarchy, but if you have different parts of your app,
[27:26.840 --> 27:27.840]  you could write them.
[27:27.840 --> 27:31.800]  But in loose terms, similar to in the old days when you could have a Cocoa app that
[27:31.800 --> 27:34.440]  called out the carbon APIs in a certain way.
[27:34.440 --> 27:48.520]  I'm not comfortable with that analogy.
[27:48.520 --> 27:54.800]  Design wise, I'm really happy to see some color coming back into the interface, sidebar
[27:54.800 --> 27:58.800]  items with color.
[27:58.800 --> 28:03.240]  I know design trends, like any kind of fashion, they all go through cycles.
