[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[04:25.000 --> 04:38.000]  And he's had some great pieces this week on communication between companies and their customers and their email lists in terms of what to do amidst all of this.
[04:38.000 --> 04:44.000]  And boy, there are a lot of companies who are not botching it, but just sort of wasting.
[04:44.000 --> 04:58.000]  I mean, it's become almost a canard at this point. It's a cliche, people publishing screenshots of the downright goofy emails they're getting from companies.
[04:58.000 --> 05:07.000]  You know what I mean? Like you bought a backpack from some company seven years ago and you're getting a stay safe email from the CEO.
[05:07.000 --> 05:21.000]  But Dan Fromer pointed out a while back that, boy, an awful lot of the talent right now is getting subsumed by the truly biggest names.
[05:21.000 --> 05:45.000]  New York Times company, the Wall Street Journal, a handful of the true long standing generations old, in some cases, like with the Times and the Wall Street Journal, over 100 years of history and culture are suddenly hiring an awful lot of talent.
[05:45.000 --> 05:57.000]  And then in our particular racket, the Apple beat. Apple has hired an awful lot of the people, the best and brightest of our colleagues and former colleagues.
[05:57.000 --> 05:59.000]  Like three of mine.
[05:59.000 --> 06:06.000]  Right. I mean, a long time frequent former guest of the show Serenity Caldwell, now at Apple.
[06:06.000 --> 06:11.000]  Again, not a complaint, just an observation and just sort of the way the world is breaking.
[06:11.000 --> 06:22.000]  But it's fascinating to me and and I know Dan talked about it and it's just it's fascinating to me that as much as you can, you can start to get depressed.
[06:22.000 --> 06:26.000]  Not that Apple is a bad place to work or the New York Times is a bad place to work. The opposite.
[06:26.000 --> 06:29.000]  Those are great companies doing great work.
[06:29.000 --> 06:37.000]  Joanna Stern, now the personal technology columnist at the Wall Street Journal, truly doing a fantastic job.
[06:37.000 --> 06:49.000]  One of my dear friends, a fantastic guest on this show, but just her last couple of weeks of the stuff she's been doing and the videos she's producing from home, just knocking it out of the park.
[06:49.000 --> 06:51.000]  But it's just fascinating to me.
[06:51.000 --> 06:57.000]  It can be depressing, though, to think that that's the only way to go is to go to these biggest of the big names.
[06:57.000 --> 07:06.000]  And to me, it's exciting when like Dan starts the new consumer and now you are starting a brand new YouTube channel from start.
[07:06.000 --> 07:15.000]  It's exciting to me that the exact opposite of the biggest of the big, something a little bit more along the lines of what I do, like, hey, one person.
[07:15.000 --> 07:17.000]  Here I am.
[07:17.000 --> 07:20.000]  Yeah, I think there's I think there's pros and cons to both.
[07:20.000 --> 07:25.000]  And I've done you know, I've done the big, small to big media thing for a decade now.
[07:25.000 --> 07:28.000]  And everyone has its advantages and its disadvantages.
[07:28.000 --> 07:36.000]  And the ability I watch what you do and what Jim does and what Jason does and what Marquez Brownlee, for example, is another really good independent.
[07:36.000 --> 07:42.000]  There's a bunch of independent people who do podcasting, you know, like the relay FM people and the YouTubers.
[07:42.000 --> 07:45.000]  And it's just it's a very different voice.
[07:45.000 --> 07:49.000]  It's hard. It's more liberating in some ways because you can literally do anything you want.
[07:49.000 --> 07:54.000]  There's no corporate policies or guidelines or lanes that you have to stay in.
[07:54.000 --> 07:59.000]  But also you're taking on all the risk and there's no sort of safety net there if you get it wrong.
[07:59.000 --> 08:02.000]  Right. And there's, you know, strength in numbers.
[08:02.000 --> 08:13.000]  Yeah. In some ways. And, you know, relay is a great example of that, where relay is more of a federation of independent solo.
[08:13.000 --> 08:32.000]  Talents who are collectively working just to benefit from things like a unified CMS and the way that they can launch new shows and kind of get off the ground a little quicker with the help of the others.
[08:32.000 --> 08:48.000]  And, you know, and there's a whole bunch of people who have relay shows who are good pals and bounce around each other shows, et cetera, as opposed to, you know, Mike Hurley building a giant conglomerate and hiring all these people.
[08:48.000 --> 08:56.000]  And again, that wouldn't be bad either. You know, it's not you know, there's nothing wrong with getting a full time job at a place, but it's that's not what relay is.
[08:56.000 --> 09:03.000]  And it's, you know, even at my scale, you know, I don't sell the sponsorships for this show by myself.
[09:03.000 --> 09:09.000]  Jesse Char at Neat.fm does. And she also handles the sales for ATP.
[09:09.000 --> 09:25.000]  And so there's a little it's like almost, you know, you as those of you listening, you don't really have to know it, but it's sort of like a little two show network with me and ATP with Jesse handling that and taking an awful lot of stuff.
[09:25.000 --> 09:28.000]  That I was terrible at on my own, off my shoulders.
[09:28.000 --> 09:32.000]  No, it's a similar for me because, you know, I've been working with mutual friend Dave Wiskus's standard.
[09:32.000 --> 09:36.000]  Never heard of him.
[09:36.000 --> 09:44.000]  No, I mean, and it's terrific. It's not like relay. It's really a bunch of independent creators, primarily YouTubers.
[09:44.000 --> 09:58.000]  But, you know, Thomas Frank was very kind to help me out this week and he had me on one of his videos and we go back and forth and just the amount of knowledge that you get from having a network of people you get to talk with and work with is absolutely invaluable.
[09:58.000 --> 10:16.000]  It does seem to me that part of the way that the Internet continues to, as a whole, resist cementing.
[10:16.000 --> 10:28.000]  It is still liquid overall, just the entire, if you zoom out, you know, the entire quote unquote Internet, it still isn't solidified as, oh, here's how you do media.
[10:28.000 --> 10:32.000]  Here's how you become a publication on the Internet.
[10:32.000 --> 10:57.000]  And one of the ways that the whole world is still in flux and it just seems so counter, like when I think back to like the 90s, just go back, you know, 20 years, 25 years and what would have been the most likely to support solo artists or very, very small teams of content producers.
[10:57.000 --> 11:05.000]  You would have thought video would be the hardest of all because it is, it's the meta art form, right?
[11:05.000 --> 11:16.000]  That, you know, that's why I always, I consider movies to be the highest form of art because movies contain all other art.
[11:16.000 --> 11:26.000]  You know, the storytelling and character development of fiction, of printed fiction like novels, that's part of movie making.
[11:26.000 --> 11:44.000]  The acting of theater and the way that good actors actually can just bring a character to life and own the character, you know, take it from the author and just sort of do something to, you know, everybody knows.
[11:44.000 --> 11:45.000]  Bring it to life.
[11:45.000 --> 11:46.000]  Yeah, bring it to life.
[11:46.000 --> 11:49.000]  And it's photography, right?
[11:49.000 --> 12:02.000]  Whatever photography is, cinematography is it plus motion and then there's the art of cinema itself, the way that you cut and frame and time and pace.
[12:02.000 --> 12:07.000]  And of course, music is a huge part of movie making, right?
[12:07.000 --> 12:18.000]  It's all of these art forms at once and therefore that's why as those, it's just idly occurred to me as I've been watching an awful lot more video content recently.
[12:18.000 --> 12:22.000]  How long the credits are at the end of all of these productions.
[12:22.000 --> 12:31.000]  And it's like, you know, I didn't know that like Netflix and other services, you know, like default to like sort of pushing you on to the next episode.
[12:31.000 --> 12:35.000]  But it's like I just paused last night just on a TV, not even a movie, but a TV show.
[12:35.000 --> 12:41.000]  We're watching Ozark season three and just how like when they get to the point where they're like, hey, go to go to episode three.
[12:41.000 --> 12:44.000]  Just how much, how long the credits are.
[12:44.000 --> 12:46.000]  It's no surprise.
[12:46.000 --> 12:47.000]  Anyway.
[12:47.000 --> 12:48.000]  Yeah.
[12:48.000 --> 13:07.000]  It just seems crazy to me and in some sense that an awful lot of the people who are doing the having the most success as solo creatives on the Internet are the video people that, you know, people on YouTube, like, like you said, Marquez Brownlee.
[13:07.000 --> 13:08.000]  Yeah.
[13:08.000 --> 13:09.000]  I mean, the list goes on and on and on.
[13:09.000 --> 13:16.000]  And you actually the whole list is in your video today announcing it.
[13:16.000 --> 13:21.000]  Justina Zarek, a.k.a. iJustine, who's been doing this for a long time.
[13:21.000 --> 13:25.000]  I mean, the list goes on, but it just seems crazy to me.
[13:25.000 --> 13:27.000]  And you're obviously on that list.
[13:27.000 --> 13:31.000]  A lot of that is credit to YouTube because they didn't just make like a hosting.
[13:31.000 --> 13:33.000]  The thing with podcasts is they're great.
[13:33.000 --> 13:41.000]  But if I watch the talk show at WWDC, nothing suggests ATP at WWDC or download at WWDC.
[13:41.000 --> 13:48.000]  I'm stuck within that show where YouTube, if I watch Marquez's video, I'll get it'll suggest Justine's video to me and then a bunch of other things.
[13:48.000 --> 13:54.000]  And that decomposition down to the the show level, I think, is what let iTunes really take off.
[13:54.000 --> 14:00.000]  And I think that's that's what's let YouTube really build an audience generation machine almost.
[14:00.000 --> 14:16.000]  Yeah. And I'm as guilty as anybody of complaining about the failings of YouTube's suggestion algorithm and emphasizing those and not appreciating.
[14:16.000 --> 14:25.000]  And just taking a step back to just appreciate the way that I personally benefit from it and stumble upon videos that I never would have found on my own.
[14:25.000 --> 14:32.000]  Because I started watching A and suggested B and I enjoyed B.
[14:32.000 --> 14:36.000]  And then I got C and C was even better, really good.
[14:36.000 --> 14:39.000]  And it's like, wow, never even heard of this person. Never would have gotten here.
[14:39.000 --> 14:43.000]  This suggests, you know, the algorithm works. And that's true.
[14:43.000 --> 14:52.000]  It's both. And it is when it works. It is. I know that it's overused phrase, but it's win, win, win.
[14:52.000 --> 14:55.000]  Right. Yes. It is a win for the viewer.
[14:55.000 --> 15:02.000]  If you're actually if it is actually suggesting to you stuff that you enjoy and especially B wouldn't have found otherwise.
[15:02.000 --> 15:18.000]  Right. That's the magic of the algorithm. It is great for the creators who are successfully getting an audience that is appropriate for what they've created,
[15:18.000 --> 15:24.000]  including new people and new channels that knew, you know, that it's not too late.
[15:24.000 --> 15:32.000]  Oh, YouTube has already got 20 billion views a day and so many successful channels.
[15:32.000 --> 15:38.000]  And it's you know, it's absolutely positively not too late to start.
[15:38.000 --> 15:41.000]  And I forget who said it. It might have been Roberto Blake.
[15:41.000 --> 15:46.000]  But he said, like, YouTube doesn't find audiences for videos. They find videos for their audience.
[15:46.000 --> 15:55.000]  And that either really entertains their audience or it leads to tabloids, which is the dark side of it, because, you know, people will look at tabloids at the checkout counter.
[15:55.000 --> 15:58.000]  That's that's why they put them there and they'll do the same thing on YouTube.
[15:58.000 --> 16:04.000]  But at its best, anything you want to learn, you can start finding videos on YouTube and it'll recommend better and more and better them over time.
[16:04.000 --> 16:09.000]  And, you know, and the last of the win, win, win is it's good for YouTube. Right.
[16:09.000 --> 16:13.000]  You know, people watch a lot of YouTube for for good reason.
[16:13.000 --> 16:20.000]  So anyway, that's, you know, I guess the last, you know, not last, but I don't want to spend the whole time.
[16:20.000 --> 16:24.000]  And I know I know you. I know you so well. You don't want to spend the whole show talking about yourself.
[16:24.000 --> 16:28.000]  You're probably dying right now. You're probably broken out in a flop sweat.
[16:28.000 --> 16:29.000]  Canadian hives.
[16:29.000 --> 16:33.000]  Yeah, Canadian hives. I'm the same way. I've got the Catholic upbringing.
[16:33.000 --> 16:44.000]  It's, you know, pride is a sin. But I'm curious. A, why YouTube first and B, what your planned.
[16:44.000 --> 16:54.000]  And I know that other people are asking this is what else are you planning and are you willing to talk about your other plans other than your your YouTube channel?
[16:54.000 --> 17:01.000]  Which I should mention, by the way, is just your name, Rene Ritchie. So go to YouTube search for Rene Ritchie and there's boom, your new channel.
[17:01.000 --> 17:04.000]  I think the search is broken. But if you do like YouTube slash Rene Ritchie, it works now.
[17:04.000 --> 17:09.000]  I think the search still shows the old channel, but we'll see how long that takes. Well, propagation is terrible.
[17:09.000 --> 17:13.000]  Google will get good at search someday. One day. Yeah.
[17:13.000 --> 17:17.000]  Yeah. I mean, so I started with YouTube for almost exactly the reasons that you said.
[17:17.000 --> 17:23.000]  It's it's almost the hardest of the things to start with. And it has the most complexity and the most moving parts.
[17:23.000 --> 17:29.000]  And I figured if I start with just one thing, because YouTube has that audience generation capabilities.
[17:29.000 --> 17:38.000]  And I do it OK. I can I can use that to build back up again, because everything I had before is just belongs to future.
[17:38.000 --> 17:44.000]  So I'm starting off from scratch and it's hard to build a Web site on Google these days.
[17:44.000 --> 17:50.000]  Like I have a Web site. I went with Rene Ritchie dot net because like, you know, during fireball dot net, that's just what you do as a human.
[17:50.000 --> 17:57.000]  And I have the YouTube channel and eventually I do want to start a new podcast and I want to try and do some other kind.
[17:57.000 --> 18:05.000]  I bought all this equipment for YouTube and I want to maybe try some documentaries or something a little bit more long form.
[18:05.000 --> 18:14.000]  But I want to be very careful not to bite off more than I can chew at the beginning, because just doing one thing well, I think is the best way to start over.
[18:14.000 --> 18:21.000]  Part of it, too, is is in addition to the Internet, the computerization of everything.
[18:21.000 --> 18:29.000]  And I feel like it's one of the recurring themes of my work now spanning over a decade.
[18:29.000 --> 18:37.000]  And it's so easy to get lost when you're focused on the week to week, month to month news cycle.
[18:37.000 --> 18:58.000]  But so clearly obvious when you take a bigger picture and start looking at years is in addition to the Internet of vacation of everything, the computerization of everything is such an overarching trend of our lifetimes.
[18:58.000 --> 19:08.000]  You know, everything's a computer nowadays for better often, for worse, often, you know, it's a mixed bag like anything.
[19:08.000 --> 19:13.000]  And it's you know, it is what you make of it. But, you know, Apple Watch is no better example.
[19:13.000 --> 19:17.000]  It's a full on Unix computer running on your wrist.
[19:17.000 --> 19:21.000]  And what's that thing? The PC guys won't just walk in here and figure it out.
[19:21.000 --> 19:24.000]  But it turns out right. It's so true, really.
[19:24.000 --> 19:31.000]  And, you know, I often have said and I realize that, you know, that was the phrase from the Palm CEO.
[19:31.000 --> 19:33.000]  What was his name? Ed Colligan.
[19:33.000 --> 19:37.000]  Ed Colligan. And Palm was obviously a computer company.
[19:37.000 --> 19:47.000]  They made, you know, the the old Palm OS, not even talking about Web OS, but the old Palm OS was obviously a personal computing device.
[19:47.000 --> 19:58.000]  And there were other, you know, but to me, the key insight that the iPhone team at Apple had with the iPhone,
[19:58.000 --> 20:04.000]  even though there were other clearly technically this is a computer running as a phone,
[20:04.000 --> 20:12.000]  they were still approaching it as a consumer electronics product and that consumer electronics were trying to get more computery.
[20:12.000 --> 20:18.000]  While at the same time, computers from computer companies were trying to get more consumer electronically.
[20:18.000 --> 20:30.000]  And that is a it's almost impossible for consumer electronics trying to get more computery to even it's like a sandcastle standing against the tide,
[20:30.000 --> 20:39.000]  you know, at the beach in terms of the inevitability of computers becoming more consumer electronically.
[20:39.000 --> 20:44.000]  Yeah, we saw that with Palm, which was a PDA operating system. Blackberry had a Java based operating system.
[20:44.000 --> 20:47.000]  Windows had Windows CE on phones at the time,
[20:47.000 --> 20:53.000]  and it was Linux through Android and Unix through the iPhone that got pushed down into into small computing forms.
[20:53.000 --> 21:02.000]  Well, I just think that and I think that part of that is what is really enabled in terms of like just camera technology
[21:02.000 --> 21:14.000]  is really what's enabled solo and small team artists to produce truly excellent, the highest quality video content.
[21:14.000 --> 21:21.000]  You know, when you when you watch iJustine and you watch Marquez and you watch your videos,
[21:21.000 --> 21:26.000]  the sound is great and the lighting is good and the pacing is good.
[21:26.000 --> 21:35.000]  And it's it and it's funny. It is an interesting contrast right now in the here and now,
[21:35.000 --> 21:47.000]  as the real quote unquote real TV industry is massively disrupted by these, you know, stay at home rules with covid-19.
[21:47.000 --> 21:56.000]  I watch I'm a huge fan of the John Oliver show on this week, this week, last week, tonight on on HBO.
[21:56.000 --> 21:59.000]  And unlike a lot of shows, he hasn't missed one.
[21:59.000 --> 22:04.000]  Two weeks ago, they filmed like just in front of a sort of a Johnny Ive white.
[22:04.000 --> 22:08.000]  What do you call it? A white universe. You know that. Yeah.
[22:08.000 --> 22:12.000]  Whatever universe, whatever. Apple commercials don't really take place in that universe anymore.
[22:12.000 --> 22:18.000]  But they used to I used to think of it as like the universe where Volkswagen's and Apple products live.
[22:18.000 --> 22:23.000]  You know, the white room, the infinite white expanse.
[22:23.000 --> 22:30.000]  And it was like at the last minute, they realized they couldn't have the regular studio and the regular studio,
[22:30.000 --> 22:32.000]  certainly not studio audience, but even their studio.
[22:32.000 --> 22:37.000]  They couldn't even shoot it without their audience in the studio because they shoot, even though it's an HBO show,
[22:37.000 --> 22:43.000]  they shoot in the CBS building in New York. And at the time, you know, 10 days ago,
[22:43.000 --> 22:49.000]  11 days ago, a couple of employees of CBS News tested positive for covid-19.
[22:49.000 --> 22:53.000]  So they had to shut the whole building down. And so at the last minute, they had to shoot somewhere else.
[22:53.000 --> 22:59.000]  And then the show that just aired last night was shot in John Oliver's house.
[22:59.000 --> 23:04.000]  Unlike some of the shows where they're sort of embracing it and just sort of shooting with actual,
[23:04.000 --> 23:07.000]  you know, like it's just Webcams like their iPhones.
[23:07.000 --> 23:11.000]  Yeah, their iPhones. And it's just, you know, typical FaceTime quality.
[23:11.000 --> 23:14.000]  Except that it's, you know, it's Seth Meyers.
[23:14.000 --> 23:20.000]  Yeah, Seth Meyers or it's Stephen Colbert in the bathtub or something like that.
[23:20.000 --> 23:25.000]  They did their best. And it's good. It was a good show with John Oliver.
[23:25.000 --> 23:28.000]  And it was very funny. I highly recommend it. I guess I should put a link in the show notes.
[23:28.000 --> 23:31.000]  It's really good. It's terrific every week.
[23:31.000 --> 23:34.000]  I thought that this one in particular was especially good.
[23:34.000 --> 23:39.000]  And it's it without changing the pace of the show too much.
[23:39.000 --> 23:46.000]  It's so fascinating to me that he's so good at it that he can do it without the audience, even though he's telling jokes like, man, that is hard.
[23:46.000 --> 23:49.000]  And he even said he didn't even have anybody helping him out.
[23:49.000 --> 23:56.000]  It's just him in a room with a white backdrop behind him telling jokes that nobody can laugh at.
[23:56.000 --> 24:05.000]  And his explanation was that he became a standup in Britain.
[24:05.000 --> 24:12.000]  So he's fully aware of what it's like to do standup comedy without a single sound from the audience.
[24:12.000 --> 24:15.000]  But anyway, the thing that got me, it's an HBO show.
[24:15.000 --> 24:18.000]  It's been on for years and he's doing it by himself.
[24:18.000 --> 24:23.000]  And the sound was nowhere near as good as the typical YouTube channel I listen to.
[24:23.000 --> 24:39.000]  Anyway, that's a long way of me saying it blows me away that what you do and Marquez does and what Justine does on a multiple time a week basis has a better production quality value than an HBO show.
[24:39.000 --> 24:43.000]  Now, I bet that next week's show will improve on that, right?
[24:43.000 --> 24:46.000]  They're going to learn fast and they are pros.
[24:46.000 --> 24:53.000]  But it just blew me away in between laughter of watching the actual show and listening to them.
[24:53.000 --> 24:59.000]  It just blew me away at that meta level that, you know, this is not as good as most YouTube channels.
[24:59.000 --> 25:08.000]  And I think Seth Meyer was the one who leaned into it earlier when he said, I realize that what I'm doing right now is worse than what my teenage daughter is doing on TikTok upstairs.
[25:08.000 --> 25:10.000]  Yeah, it's really, really fascinating.
[25:10.000 --> 25:24.000]  And I feel like the computerization of everything really helps in terms of allowing, you know, one person like you, like now you are, you know, a professional videographer, sound person, lighting person.
[25:24.000 --> 25:26.000]  Yeah, editor.
[25:26.000 --> 25:33.000]  And ironically, I learned these skills by watching a ton of YouTube videos and people who tried to learn them before.
[25:33.000 --> 25:41.000]  You know what? I do have to say it's great there are certain things that having how to's on YouTube, it's great because you kind of have to see it.
[25:41.000 --> 25:48.000]  But it's so overwhelming in terms of when you when you search the Web for how do I blank?
[25:48.000 --> 25:50.000]  How many of the answers come up as YouTube's?
[25:50.000 --> 26:02.000]  And it's frustrating because there's a lot of them where I just want the goddamn answer, you know, and having you know, and if it was in print on a Web page, I could find it.
[26:02.000 --> 26:06.000]  And because it's a video, you can't.
[26:06.000 --> 26:10.000]  And even if it's a two minute video, it feels like the slowest thing.
[26:10.000 --> 26:17.000]  It feels some in some ways like going back to the dial up modem Internet where just loading the Web page took over a minute.
[26:17.000 --> 26:20.000]  And you're like, because you have no ability to really scan.
[26:20.000 --> 26:26.000]  You can scan through the timeline and it's slightly better than just pure audio where you can't even see where you're going through a timeline.
[26:26.000 --> 26:30.000]  But for things like cooking and things that are highly visual, I find it invaluable.
[26:30.000 --> 26:34.000]  But for other things like you, I just I would just like a set of steps on a nice text page.
[26:34.000 --> 26:43.000]  Yeah. And, you know, and and again, some of the stuff, even if it's visual, it still would be better with a photograph or be just as good.
[26:43.000 --> 26:47.000]  And then it would be scannable. In other words, here's the here's the thing in the toilet you're looking for.
[26:47.000 --> 26:49.000]  Lift this up. That's how you fix it.
[26:49.000 --> 26:52.000]  I could watch Elton Brown all day, but not everyone is Elton Brown.
[26:52.000 --> 27:00.000]  So all right. Rest of the show, special show, Q&A taken from readers.
[27:00.000 --> 27:04.000]  We've got a bunch of questions. I feel like we can easily fill the show. My thanks to everybody who sent questions.
[27:04.000 --> 27:08.000]  I don't know that we'll get to all of them, even all the good ones.
[27:08.000 --> 27:16.000]  I know you flagged a couple. Hopefully it'll be fun and a nice little break from the monotony before we get started on the questions.
[27:16.000 --> 27:27.000]  So let me ask you, what are your thoughts on the two new hardware products we've gotten recently, the MacBook Air and the iPad Pro?
[27:27.000 --> 27:36.000]  So I think they're very different. I think the iPad Pro mostly exists so that Apple could get LIDAR scanners into the hands of developers before the iPhone gets it.
[27:36.000 --> 27:42.000]  I think that the iPhone got it first. The paucity, like the complete lack of software that really takes advantage of it.
[27:42.000 --> 27:50.000]  They get beaten over the head with it, and rightly so, for weeks, where this way that scanner gets put into the iPad.
[27:50.000 --> 27:56.000]  People who really want it can go get it. They can develop apps for it. They can work on the technology for it.
[27:56.000 --> 28:02.000]  And then by the time the iPhone comes out, it's in a much better position to actually have interesting features,
[28:02.000 --> 28:10.000]  including what I imagine is going to be Apple's new AR camera app, which we've been hearing about for years, and maybe something cool with Maps.
[28:10.000 --> 28:16.000]  I know people make fun of Memoji, but it was an incredibly successful way of really boiling the water,
[28:16.000 --> 28:24.000]  getting people comfortable with having themselves with AR avatars, which is not something everyone would have been agreeable to otherwise.
[28:24.000 --> 28:31.000]  They just let them play around with it. And that's what we need when AR starts going to the back of the camera as well.
[28:31.000 --> 28:39.000]  So I think when people talk about, should you upgrade from the 2018 to 2020, that's sort of missing the mark, because even Apple doesn't expect that.
[28:39.000 --> 28:43.000]  They usually see, I think, people upgrading iPads every three to five years.
[28:43.000 --> 28:52.000]  So if you've got a really old iPad and you want six gigabytes of RAM where you're ready for the new design or something, they want you to be able to get the best one at any possible time.
[28:52.000 --> 28:55.000]  They don't want you to have to have like a two-year-old iPad when you buy a new one.
[28:55.000 --> 29:01.000]  But at the same time, I really think this is the most developer-centric iPad that Apple has ever launched.
[29:01.000 --> 29:14.000]  I think that's a good way to put it. I've long thought that that is the total explanation for the weird overall quarter-by-quarter sales cycle of iPad,
[29:14.000 --> 29:19.000]  where when the iPad first came out, it was growth, growth, growth, faster growth.
[29:19.000 --> 29:31.000]  And even though it only came out three years after the iPhone, it was like, oh, and the iPad's first half year was higher sales than the iPhone.
[29:31.000 --> 29:40.000]  Its first year were faster. It was faster growth than, you know, shifted by three years than the iPhone for a while.
[29:40.000 --> 29:54.000]  Peaked at around 20 million a quarter, I believe, and then started shrinking consistently, but then leveled off at like, you know, nine, 10 million a quarter, which is good.
[29:54.000 --> 30:13.000]  And my ballpark just elevator pitch, what the hell happened, what explains that, is that the iPad debuted in a world without anything like an iPad, filled the need that nobody knew we had.
[30:13.000 --> 30:30.000]  People raced to get them. The whole it's just a big iPhone gave millions, tens of millions of people who had and maybe were skeptical when they got the iPhone, but then grew to love it and thought, well, this is fantastic.
[30:30.000 --> 30:38.000]  I already know how to use it. I can't wait to get one. Then they got one and it just kept working and working and working.
[30:38.000 --> 30:54.000]  And the upgrade cycle is so long, still is, that the overall sales started tapering off because people still had iPads that were great, even though they were three, four, five years old.
[30:54.000 --> 31:03.000]  And then they've leveled off at this point because it's old enough platform now that it's just sort of like, here's the equilibrium.
[31:03.000 --> 31:09.000]  Yeah, it's much more Mac like and phones are becoming that way, too, but it's no longer the early adoption part of the curve.
[31:09.000 --> 31:16.000]  It's now really mainstream. You know, if Apple had called it special developer edition, I think it would've been more appropriate.
[31:16.000 --> 31:20.000]  They might have even sold more by putting that sort of a name on it.
[31:20.000 --> 31:28.000]  But it really is one of those products that for a number of reasons, I think we'll look back on and I hate to jump around, but there was a time when they had the iPad three out.
[31:28.000 --> 31:40.000]  It was a first attempt at getting retina and it had that very hot GPU and they replaced it six months later with the iPad four that just smooths everything back out again.
[31:40.000 --> 31:51.000]  I think they learned from that and they just didn't, maybe not all of these things were ready when the last iPad Pro came out, but they don't want to wait until next year again when they have things like mini led screens.
[31:51.000 --> 31:55.000]  They want to have a good version of the iPad now and the production of those chips.
[31:55.000 --> 32:00.000]  I know some people were complaining that the chipset is essentially the same, but the binning on those chips is much better now.
[32:00.000 --> 32:04.000]  It's just a better overall product for people who want one now.
[32:04.000 --> 32:18.000]  Yeah, I think that that got, again, I'm not a silicon expert insider, but just the lay person's understanding of it, it kind of makes sense where it comes to yields.
[32:18.000 --> 32:34.000]  And so, you know, I think people heard that news that the A12Z is basically the same as the A12X, except instead of having seven GPU cores, it has eight GPU cores, but the A12X has eight GPU cores.
[32:34.000 --> 32:36.000]  It's just that one's disabled.
[32:36.000 --> 32:50.000]  People hear that and they think it was just pure spite and that Apple disabled a core and that they could issue a patch and your 2018 iPad Pro could have a new, you know, could then be an A12Z and it doesn't work like that.
