[00:00.000 --> 00:02.000]  Tough fact to follow
[02:54.480 --> 02:57.200]  That's a root you know, that's hard to do in just a couple minutes
[02:59.280 --> 03:01.280]  It's a very complicated
[03:01.440 --> 03:04.000]  Thing I mean, but both the app store distribution models
[03:05.120 --> 03:08.720]  What adapting existing business models to work on the app store
[03:09.520 --> 03:11.520]  provisioning
[03:11.520 --> 03:15.920]  Like the code signing nightmares. Oh, yeah, and a big one too especially and I don't know
[03:15.920 --> 03:17.120]  I actually don't know
[03:17.120 --> 03:22.160]  I suspect that my audience and the audience that was in the you know in the room for the live show
[03:22.640 --> 03:27.200]  Is skewed a little bit more towards Mac developers than the overall
[03:27.920 --> 03:30.080]  Apple developer community in general
[03:30.400 --> 03:36.000]  But it certainly of interest to me is the whole sandboxing situation with the Mac and
[03:36.000 --> 03:41.600]  I kind of we can kind of get into that was you and I talk about some of the stuff today. I kind of wonder whether the
[03:42.240 --> 03:44.240]  What are they calling this rootless thing
[03:45.520 --> 03:50.560]  System integrity, right? I kind of hope that that might be a way of backing away from sandboxing
[03:51.920 --> 03:53.920]  Could be could be look at there
[03:54.240 --> 03:58.080]  But I do think that I mean you only had an hour. Well, you had less on paper
[03:59.040 --> 04:04.160]  I agree that Mac app store would or even any app store would have been a kind of worms and
[04:04.160 --> 04:09.280]  Frankly, he just couldn't answer anything. Yeah, I that's part of it like I know
[04:09.280 --> 04:13.040]  I mean I know he's the boss of the app stores, but I mean he's not going to make
[04:13.760 --> 04:15.760]  promises on stage to you
[04:16.160 --> 04:18.160]  Like that that's you know
[04:18.800 --> 04:22.080]  As forthcoming as he was with other stuff. He didn't say anything that was
[04:24.080 --> 04:30.800]  Counter to you know, he's very very good. It's job. Yeah, you didn't say anything that was counted to the messaging about one thing the people asked
[04:30.800 --> 04:36.960]  Over throughout the week and so, you know, I love it. I do love WWDC and it's it is weird and different like I went to the
[04:38.160 --> 04:41.440]  The beer bash go to the beer bash this year, but you probably didn't
[04:42.160 --> 04:47.280]  But I went and Dowrymple was there and I always go one of the and I'm always on the fences to whether to go
[04:47.280 --> 04:52.160]  Amy was with me out there all week as you know, and I always feel a little bad going to the beer bash because
[04:53.760 --> 04:55.360]  Actually, I
[04:55.360 --> 05:00.400]  Because you end up leaving and I knew you weren't there because that's who I left her with I
[05:00.960 --> 05:03.680]  Loved her with you now that I think about it, but I go
[05:04.000 --> 05:09.280]  Because it used to be in years past that was the place where I would run into some people from Apple that I know
[05:09.440 --> 05:16.480]  Who I hadn't seen throughout the week if you want to bump into somebody from Apple and whether he we end up talking about anything
[05:16.480 --> 05:19.680]  Interesting or not even if it's you know, just shooting the shit
[05:20.000 --> 05:22.000]  It's a good place to run into them
[05:22.000 --> 05:27.440]  And it's funny. That's what I thought about. That's why I went and it turned out that it was really sort of the opposite
[05:27.440 --> 05:31.440]  It was people coming up to me who wanted to you know say hi and thank me and et cetera, et cetera
[05:32.880 --> 05:38.400]  So you big shot. That's what you tell us. No, not really and I think the reason that it really it was it was
[05:40.160 --> 05:42.160]  It was so
[05:42.160 --> 05:45.280]  Like one person after the other is that I was walking around with Dowrymple
[05:46.000 --> 05:49.360]  What's in these these cuts are rather distinctive figure?
[05:49.360 --> 05:56.800]  A little bit a little bit less less of one. Yeah, definitely. He looks great. There's lots of weight and he looks bad
[05:57.360 --> 05:59.360]  Looks looks younger
[05:59.360 --> 06:02.080]  I mean, yeah, exactly. I mean, he always looked formidable
[06:02.960 --> 06:05.120]  Now it just looks like he definitely mess you up
[06:06.000 --> 06:09.920]  And somehow I swear to God. It's like he you know, but you want to talk about who's influential
[06:09.920 --> 06:12.880]  They only had three beers available at the beer bash and one of them was Heineken
[06:12.880 --> 06:20.560]  I was like today. I was like today ask you or did they just do it in advance? You know, they're no better
[06:23.600 --> 06:27.200]  So went to his beard bash right party and that I
[06:27.920 --> 06:33.280]  Order to Stella not as yeah, it was Stella. I didn't want to touch the Heineken just yeah, your words
[06:33.280 --> 06:36.560]  It's gonna I didn't well, I didn't know which way we're great right like either
[06:36.880 --> 06:41.760]  I'm drinking his beer and he's gonna be pissed or I'm not drinking a Heineken and he's gonna be pissed. That's so
[06:41.760 --> 06:44.960]  Yeah, you had of all the bones every now and then you know
[06:45.760 --> 06:47.200]  um
[06:47.200 --> 06:52.480]  Anyway, we ought to get to it because we have a lot to cover and the whole idea the basic idea that I have for this episode is
[06:53.200 --> 06:55.840]  To cover more or less
[06:56.080 --> 07:02.800]  Loosely the state of the union stuff platforms. What do they call that session platform platform state of the year platform state of the union?
[07:02.800 --> 07:08.400]  Yeah, they used to break it up until like three I think right which is you know the basic structure of Monday at
[07:08.400 --> 07:13.760]  WWDC is sort of remained unchanged since forever, which is in the morning
[07:13.840 --> 07:20.400]  There's the main keynote and that's the one that the press gets led into and that's the one people line up all night for
[07:21.040 --> 07:26.800]  Um, that's the one that anything that's written, you know on my real TV or newspapers the next day
[07:26.800 --> 07:33.120]  All the news from there is what what comes out of it. Then they clear the room people go and have lunch and
[07:33.120 --> 07:38.320]  I think around 230 is when it starts. It's it's a bit later
[07:38.320 --> 07:42.720]  You have like a good two hours for lunch to everybody, but then at that point. It's
[07:44.000 --> 07:51.520]  Real developer badges only you get to come in and then they have it's more or less a second keynote, but it's truly for developers
[07:52.560 --> 07:56.800]  I mean like I was saying, you know, she was very good at its job
[07:56.800 --> 08:04.320]  And I believe he constrained all of his other answers to what was actually in the keynote rather than the rest of the stuff
[08:04.320 --> 08:07.440]  And they've been getting a little bit loosey to see what the NBA stuff so I'm not really
[08:07.440 --> 08:11.280]  Yeah, I don't think that that's I don't even think that that's I don't think there is stuff
[08:11.280 --> 08:14.160]  I don't think there is an NDA because my Apple TV
[08:15.200 --> 08:18.000]  There's a WWDC app and you can just I don't think I put my
[08:18.880 --> 08:21.680]  ADC so yeah, I've been watching that too
[08:21.680 --> 08:23.840]  And I wasn't sure because the the login that I've got
[08:23.840 --> 08:28.240]  Has an Apple ID account like I wasn't sure if maybe it was cleared for
[08:29.040 --> 08:33.840]  Yeah, and they've been doing some stuff to combine the Apple IDs, but it's not the same Apple idea
[08:33.840 --> 08:37.040]  I usually sign in for ADC stuff. I'm pretty sure that that stuff is just non
[08:37.040 --> 08:42.000]  They don't they don't really have an NDA anymore. I think they well, I think they you know what I'm
[08:42.880 --> 08:46.480]  Let's gamble my career, but it's not like I'm keeping my head down
[08:47.520 --> 08:51.760]  I'm pretty sure that the stuff is I just don't think that they're crazy about stuff like that anymore
[08:51.760 --> 08:53.840]  I don't know and it shouldn't be because I mean
[08:55.120 --> 08:56.560]  the
[08:56.560 --> 08:58.560]  Pretty much everything they say is
[09:00.560 --> 09:05.360]  What you don't want to do is say what people say to you in private or in the labs or something right
[09:06.000 --> 09:08.560]  Because that's like oh, yeah, this is broken. Here's a workaround and
[09:09.280 --> 09:13.360]  You know we can't talk about the future stuff that it gets a little bit more on the negative side
[09:13.680 --> 09:18.160]  But in a lot of ways WWDC especially because they sell out every year
[09:18.160 --> 09:23.360]  I don't want to call it but it's not an marketing or advertising thing, but it's
[09:24.640 --> 09:26.640]  it's one of the very few times it's
[09:27.520 --> 09:33.680]  A year of not the only time a year that Apple actually gets to speak to developers and in a way limiting that
[09:34.640 --> 09:36.640]  is kind of productive
[09:37.040 --> 09:42.520]  Because it's not like Google doesn't know what the hell was said in every 80 like WWDC session
[09:42.520 --> 09:45.920]  Yeah, I think it's actually I think it's sort of this shift towards a
[09:45.920 --> 09:50.960]  A more open Apple PR department and I'm not going to pin it all on Katie Cotton
[09:50.960 --> 09:57.120]  But it you know it ties in with her leaving. I mean it started before well, you know
[09:57.760 --> 10:00.480]  Year or two ago. I think when they lightened up on the
[10:00.960 --> 10:06.880]  NDA a little bit and she was still there. Yeah, but it's definitely the shift that they're making and I think it was always about
[10:07.520 --> 10:08.560]  PR optics
[10:08.560 --> 10:10.960]  It was that they don't want people saying
[10:10.960 --> 10:17.200]  Anything in public about the beta version of OS they've shown until they've released the OS
[10:17.840 --> 10:24.600]  But now, you know, they've even you know, there was there was obviously like an embargo on Monday morning where they ceded a bunch of people from the press with
[10:25.680 --> 10:29.440]  Yeah, that's a lot. You know the current developer beta of
[10:30.880 --> 10:32.400]  OS 10
[10:32.400 --> 10:34.240]  El Capitan
[10:34.240 --> 10:38.080]  And let them write about it. I mean and it's you know, I think they emphasize them all in fact
[10:38.080 --> 10:40.960]  I know because they gave me the same copy to I
[10:42.960 --> 10:48.480]  Didn't write anything. I didn't know to I told them I was like there isn't absolutely zero percent chance that I'm going to be ready to write
[10:48.480 --> 10:51.040]  I didn't publish anything by Monday, but they're like well take it anyway
[10:51.840 --> 10:56.600]  But I think they wanted you know, they wanted the people to know that just emphasize that this is a preview
[10:56.600 --> 11:01.840]  It's a beta this you know, you're reviewing the ideas of what we're doing not the current state that they're in
[11:01.840 --> 11:07.840]  And I just think in the past they just wanted the opposite. They did not want anybody writing about them
[11:08.800 --> 11:10.800]  Well, I think they're slowly gluing into
[11:13.200 --> 11:19.680]  Like a comfort zone that they did not have in back in like the late 90's right like they were really on their heels for a while
[11:20.960 --> 11:24.880]  So, you know, you can understand that backs of the world being defensive kind of thing
[11:25.840 --> 11:26.960]  But you know
[11:26.960 --> 11:32.480]  It's a different yeah, and I think you know, and I you know, I think Steve Jobs too was also a lot less
[11:32.800 --> 11:38.560]  Bailing to have people writing about stuff before it came out and you know and the whole idea that stuff can change
[11:39.280 --> 11:40.320]  You know, he won
[11:40.320 --> 11:46.800]  You know, I just to feel like if something changes something that they announced last week ends up not shipping in the fall
[11:47.600 --> 11:51.520]  You know people are gonna call it out, but I don't think that he's gonna
[11:51.520 --> 11:54.560]  You know, I think he was more crazy about stuff. I doubt that Apple is now
[11:54.560 --> 11:58.960]  Yeah, well, I mean, that's made clear and I'd becoming Steve Jobs
[11:58.960 --> 12:03.640]  Yeah, which please everybody read rather than the Isaacson biography
[12:03.920 --> 12:08.560]  Well, we'd both right. They're both worth reading, but if you're only gonna read one reading that one first
[12:09.360 --> 12:11.360]  Yeah, because I mean he's
[12:11.360 --> 12:15.760]  Even at these guys I'm gonna blank on his name, but the author of two whose
[12:16.400 --> 12:18.400]  Experiences it's
[12:18.400 --> 12:24.800]  Two of them, but they'd they'd perhaps like let's let's I forget. I pronounce this lesson. Sure. So now anyway
[12:26.160 --> 12:28.560]  I'm home. I'm sorry. He's not shown us. Yeah
[12:31.600 --> 12:35.600]  There's there's part of that story where he basically just Steve Jobs calls him up and
[12:36.720 --> 12:42.720]  Just yells at him for saying that stuff about Apple and but their friends like their kids hang out together and all that so
[12:43.680 --> 12:45.680]  Brent Slender
[12:45.680 --> 12:47.280]  Slender, okay
[12:47.280 --> 12:52.160]  But so yeah, I think a lot of that came from Steve and even if you were a pal that I don't think he'd be
[12:52.480 --> 12:56.560]  Shut it. Yeah, yeah, but so yeah times of changing Apple is
[12:57.600 --> 12:59.920]  The hugest of companies at this point, so
[13:01.280 --> 13:07.360]  You know, you never want to be punching down, right? So I think I think there's more open attitude
[13:08.400 --> 13:10.640]  benefits
[13:10.640 --> 13:24.240]  But anyway, I who better to have on and I want to talk about some of this developer level news and try to put it in
[13:24.240 --> 13:29.440]  Which is a lot more preparation than I usually do for the show and just looking at it. It's like man
[13:29.840 --> 13:31.840]  Well, I did have a tough act to follow
[13:33.040 --> 13:38.960]  There really is though I know the other takeaway I had from and watching the state of the Union
[13:38.960 --> 13:47.120]  It is that I I feel like Apple is really starting to get better at being a big company and
[13:48.320 --> 13:56.480]  It's and clearly a lot of this stuff has been delegated and it's a lot less is going through one person even like someone like
[13:57.920 --> 14:02.480]  Craig Federigh who obviously is in charge of the engineering teams in charge of
[14:03.360 --> 14:05.040]  both OS 10 and
[14:05.040 --> 14:10.560]  iOS clearly the man has a lot of responsibilities, but there's a lot of stuff that's being delegated
[14:10.560 --> 14:15.680]  I think clearly because it's more stuff is being done year over year than before
[14:17.840 --> 14:21.760]  Seems that way certainly appears that way from the on stage presence
[14:22.240 --> 14:26.320]  That could have been a conscious decision to kind of bring more people on stage
[14:27.120 --> 14:33.440]  I mean, you'd probably know this more than I remember, but it seemed to me that there was like a cast of five people that
[14:33.440 --> 14:41.920]  ran Apple for like 10 years there between 2001 to like let's say 2012 they had like maybe five people on stage
[14:42.400 --> 14:47.840]  With a couple of and you're talking about the regular keynote or the stadium. Yeah, they make you or the basically keynote
[14:47.840 --> 14:50.160]  Yeah, not the state of the Union State of the Union was much better
[14:51.120 --> 14:52.880]  always
[14:52.880 --> 14:58.080]  But this year they seem to broaden both the keynote and the state of the Union and a lot of the sessions. Yeah
[14:58.720 --> 15:02.960]  Well, we mentioned I mentioned it with with the Schiller last week where you know
[15:02.960 --> 15:06.960]  They've broken this street where there weren't any women in the regular keynote now
[15:06.960 --> 15:12.000]  There've been women in the state of the Union. I believe for a while and as a lot of people have brought up
[15:12.720 --> 15:16.000]  For years and years. I in fact as long as I've been going to WWDC
[15:16.000 --> 15:22.560]  This isn't even a new thing in the regular sessions. There have always been plenty of them that were presented
[15:23.600 --> 15:30.160]  By women either as the primary presenter or as one of the secondary presenters who comes up just to demo a certain thing
[15:30.160 --> 15:33.840]  simply because it they're always as long as I've
[15:34.960 --> 15:38.320]  Known anybody at the company. They've always been a ton of talented women in
[15:39.120 --> 15:45.360]  You know in the engineering ranks and that's who presents at WWDC if you're you know if there's a new API
[15:46.080 --> 15:47.360]  for
[15:47.360 --> 15:53.120]  Watch complications whoever worked on watch complications part of the API does the presenting
[15:54.720 --> 15:56.240]  Yeah, there's you know, there's
[15:56.240 --> 16:01.040]  And I like that you brought that up with Shiller early on and then
[16:02.080 --> 16:07.360]  I felt he addressed it well because I mean you said finally and he said well it's a good start which you know
[16:07.600 --> 16:09.120]  I'd totally believe in
[16:09.280 --> 16:12.640]  But there's a lot of really talented women just developers
[16:13.440 --> 16:20.080]  Oh, and and the thing is you write like you party your job if you're an apple at that level is to be able to present
[16:20.080 --> 16:25.440]  And they will spend the time with you and train you if you need it
[16:27.120 --> 16:32.080]  But you know when it's your stuff and you're the your responsible for you expect it to get up and talk about it
[16:32.480 --> 16:35.280]  Either internally which can also be really ever anymore
[16:35.600 --> 16:40.480]  You know in this case external and the one thing I know that they're not going to do in that and Shiller's answer last week
[16:40.560 --> 16:45.600]  Emphasize it's it's people it's still people who are responsible for this so part of you know the real thing isn't
[16:45.920 --> 16:48.400]  Hey, we need to pick more women to be in the morning keynote
[16:48.400 --> 16:53.120]  It's we need to make sure that the talented women in the company are getting promoted
[16:53.360 --> 16:56.320]  When they should be to be to have these areas of responsibility
[16:57.120 --> 17:03.280]  And combined with that I think it's what you mentioned before is that they've just in general
[17:04.000 --> 17:06.000]  Broadened the number of people
[17:06.560 --> 17:10.720]  Regardless of whether they're men women whether you know whatever skin color they have
[17:11.200 --> 17:16.320]  Just that there's more than just the top three or four people will get to present stuff in the keynote and
[17:16.320 --> 17:18.320]  Yeah, I mean, I do think the
[17:19.680 --> 17:25.120]  I forget what that page is but you know the scene of the president's on that page. I mean that's you know predominantly white
[17:26.080 --> 17:28.080]  older men
[17:28.080 --> 17:34.800]  And that's you know, that's not great, but it's also the truth and it's a sad reflection on the state of the industry as as it is evolved
[17:35.840 --> 17:37.040]  not that
[17:37.040 --> 17:42.240]  These people are awesome and good at the judge, but you know to me and like the there is certainly a lag time between
[17:43.360 --> 17:45.360]  Successful women getting up
[17:45.360 --> 17:51.680]  Well, and it's slowly happening and and and it's really nice to see that I'm taking it seriously
[17:52.000 --> 17:57.120]  I don't feel the pain lip service to it because I know that there's a lot of women in
[17:59.120 --> 18:04.160]  And there happened some you know there it is changing in the right direction
[18:04.160 --> 18:09.920]  So Lisa Jackson is now she's not a senior vice president. She's vice president, but she's in charge of their environmental stuff
[18:10.800 --> 18:13.920]  And their human resources chief is a woman. I you know, I've never met her
[18:13.920 --> 18:15.920]  But her name is Denise Janice Smith
[18:16.720 --> 18:18.720]  She's a black woman
[18:18.720 --> 18:26.040]  Lisa Jackson is a black woman or a woman of color or whatever the right terminology is but you know clearly adds to the diversity of that page
[18:26.240 --> 18:32.000]  The one thing that I so many people at readers and listeners of the show have have speculated on ever since
[18:32.480 --> 18:38.160]  She joined the company was that Angela Arntz was going to become a major part of the keynote and I
[18:38.160 --> 18:46.240]  It had a well exactly. I think the re I think what some people thought was hey Apple only lets the SVP's speak
[18:46.800 --> 18:48.320]  on keynotes
[18:48.320 --> 18:49.840]  She's the first
[18:49.840 --> 18:56.080]  Non white guy in this in the SVP's you know the senior vice president. So obviously she's going to speak
[18:56.720 --> 19:02.240]  Whereas the way it works is she's only going to get to speak if there's something about retail that is worth
[19:02.240 --> 19:08.720]  Putting in a keynote like if they do something if there's like a major new redesign of the retail stores and it's worth
[19:08.720 --> 19:14.720]  Hey, you know, let's spend 10 minutes of this keynote explaining this major new initiative
[19:14.720 --> 19:19.040]  We're taking with our retail stores then she'll get to do it because that's her that's her domain
[19:19.040 --> 19:21.040]  But she they're not going to bring her up to talk about
[19:24.160 --> 19:26.160]  The sales figures in media
[19:26.160 --> 19:29.840]  What like revenue or something completely unrelated like
[19:29.840 --> 19:34.400]  Apple pay right they weren't going to have heard. Yeah. Well, no
[19:34.400 --> 19:35.760]  They had to yeah, they had the woman
[19:37.600 --> 19:42.400]  Because that's her domain right and and really what it is is that like and it's like what shoulder said last week
[19:42.400 --> 19:44.080]  It's so Jennifer Bailey
[19:44.080 --> 19:48.960]  She's a vice president of the company. She's not on that page, but she's a vice president and she's in charge of Apple pay
[19:50.480 --> 19:52.640]  She's a better. She's been a little yeah
[19:52.640 --> 19:57.680]  Yeah, definitely has been around for a long time and then Susan Prescott was the other woman on stage in the keynote
[19:57.680 --> 20:03.040]  And she's a vice president in the app's division. So she's high up and she's definitely in charge of you know
[20:03.040 --> 20:05.040]  She did the news thing
[20:05.040 --> 20:07.040]  So she's you know
[20:07.040 --> 20:09.840]  The you know the chief of that I guess you know
[20:09.840 --> 20:13.600]  She the whole news thing is under her so it made sense for her to do the demo
[20:14.160 --> 20:19.520]  But it was only because they're expanding to like other lower levels of the company that they can do stuff like that
[20:19.520 --> 20:21.520]  Which I think is great
[20:21.520 --> 20:23.520]  Yeah, and you know Apple has had
[20:23.520 --> 20:31.680]  Historical you know Ellen Hancock was a chief technical officer when they bought next but that's but holding Ellen
[20:32.160 --> 20:36.320]  I know that yeah holding Ellen Hancock up as hey, there have been women in keynotes
[20:36.320 --> 20:40.240]  It's a bit of it was a bit of a stretch and it was wearing thin. Oh, no, I don't mean to do that
[20:40.240 --> 20:43.840]  I just I just mean that you know to have in the past being
[20:44.400 --> 20:49.840]  Women in high levels, you know sea level executives. Yeah, and obviously they're not doing enough well
[20:49.840 --> 20:56.720]  It's not that they're not enough, but I mean this kind of systemic change takes time
[20:57.520 --> 21:05.760]  Right like I think just cherry picking people to be either appear on the keynote is is is wrong and they're not doing that. They're they are
[21:08.800 --> 21:16.480]  They're building up a good stable of like really effective speakers and and it I'm really happy that they're kind of
[21:16.480 --> 21:18.000]  um
[21:18.000 --> 21:19.680]  Explardening
[21:19.680 --> 21:24.560]  more than like the four to five sort of characters that we used to see like you show her
[21:25.520 --> 21:27.360]  Used not you know used to jump off a roof
[21:28.320 --> 21:35.600]  With a Wi-Fi thing, right? Like they're and you know these were characters and there it seems like they're expanding a little bit beyond that
[21:36.240 --> 21:38.720]  Um, and that's I think that's good for
[21:39.520 --> 21:42.880]  The fapple and good good guys. I think sure we'll go down as well
[21:42.880 --> 21:48.720]  He certainly to this day. The only he might end up being the only person ever who performed an actual stunt
[21:49.760 --> 21:51.760]  Live freak you know
[21:52.000 --> 21:57.840]  Yeah, exactly. I mean Google was still trying to catch up when they did that thing with the GoPro is jumping out of plane onto the top of
[21:57.840 --> 21:59.520]  Yeah, remember that
[21:59.520 --> 22:03.840]  Yeah, guess what when you know when you strap your VP or senior VP of marketing
[22:04.880 --> 22:07.680]  On to a plane and we can talk
[22:08.400 --> 22:11.920]  Let me take also, you know what it's funny because for years he's
[22:11.920 --> 22:15.120]  Surely came across as the youth because you played it that way
[22:15.600 --> 22:17.600]  He is well
[22:17.600 --> 22:19.600]  But it was yeah, definitely
[22:19.600 --> 22:24.000]  You knew that anecdotally, but just your conversation with the musites is no dummy
[22:24.560 --> 22:28.000]  No, absolutely not no, and he's very very quick and you can
[22:28.640 --> 22:31.040]  You know there were a couple of things like he knew I was gonna bring up
[22:31.360 --> 22:35.280]  But there were a couple other things I didn't and I as I was asking the cover in six
[22:35.280 --> 22:43.040]  There's like five people in that room to really get that I saw some tweets afterwards
[22:43.040 --> 22:45.760]  The people who the people who really got that joke really loved it
[22:45.760 --> 22:49.840]  They felt like yeah, maybe that put it and he handled it really just
[22:50.560 --> 22:52.560]  And he gave like a shrug like all right. You got me there
[22:53.440 --> 22:57.920]  Yeah, exactly, but that might be it might be a good example of the last time that apples
[22:58.000 --> 23:01.280]  You know that that that apple pulled the carpet out from anybody
[23:01.280 --> 23:05.360]  You know in terms of that general discussion of hey, we give hints
[23:05.360 --> 23:09.360]  And if you follow our hints, you know your job will be easier going forward
[23:09.760 --> 23:11.920]  Yeah, and he's totally right and you know
[23:11.920 --> 23:14.000]  That's kind of the exception that puts it real
[23:14.640 --> 23:17.440]  Because the year before they'd be encouraging it and then they were like yeah
[23:17.440 --> 23:18.960]  No, we're not gonna do that
[23:19.040 --> 23:21.040]  So that kind of sucked but
[23:21.600 --> 23:24.800]  He said is their track record was pretty good
[23:25.360 --> 23:29.680]  He didn't even say they were banging a thousand to get that right a thousand a thousand would be the best
[23:29.680 --> 23:33.920]  Yes, it's one hundred percent. Okay. You didn't even say that. He said that you know
[23:34.640 --> 23:36.640]  It's pretty good, and it is pretty good
[23:37.600 --> 23:41.120]  So yeah, all right, let me take a break. Thank her. Do you want to thank her first?
[23:42.160 --> 23:45.040]  We actually haven't talked about anything, but we will
[23:46.640 --> 23:51.360]  Our first sponsor is our good friends at Harries. You guys know Harries. They make
[23:52.400 --> 23:54.400]  Really high quality shaving products
[23:54.400 --> 24:00.000]  They've got little kits they here's the deal you go to Harries.com and
[24:00.720 --> 24:07.920]  You can buy it get started you can get a kit it starts it just like 15 bucks you get a razor blade you get a couple a couple of blades
[24:08.800 --> 24:10.400]  Some shaving cream
[24:10.400 --> 24:15.920]  Really really high-end stuff. It's so nice. It's so much better made better designed
[24:16.640 --> 24:21.200]  Then then the stuff from gelat or chic or whatever they help other mainstream brands
[24:21.200 --> 24:26.720]  I just noticed I've got so that the one they have they've they've got one called the Truman set. It's got this orange
[24:27.600 --> 24:31.040]  Like a plastic handle the one I have and it's from years now
[24:31.040 --> 24:32.960]  I mean if anybody's been listening to the show now
[24:32.960 --> 24:34.960]  You know how long harries has been an occasional
[24:35.280 --> 24:41.680]  sponsor of the show and when they got started they sent me this the Winston kit and I still have that it's got a metal handle
[24:41.680 --> 24:46.160]  That's 25 bucks a little bit more expensive because it's made a metal. I was actually looking at mine the other day now
[24:46.160 --> 24:48.160]  I've had it at least two years. I was looking at it
[24:48.160 --> 24:54.160]  And I usually shave in the shower and it always it drops it falls in the tub all the time
[24:54.720 --> 24:59.920]  I was looking at it. It looks brand new like it looks like I could put it back in the box and
[25:00.400 --> 25:04.880]  Sell it back to somebody as mint condition. The stuff is really really made the last
[25:07.280 --> 25:09.360]  Really well designed just sort of a classic look
[25:10.400 --> 25:13.040]  and they'd really take this stuff seriously they
[25:13.040 --> 25:18.800]  The blades they were buying them from some company in Germany their German made blades
[25:18.800 --> 25:23.120]  And they like them so much that they just bought the whole factory and they're make they that's it
[25:23.120 --> 25:28.240]  They make their own blades, so they're not like just putting the harry's brand on you know
[25:29.200 --> 25:34.800]  White label razor blades that they buy from anybody in the commodity market. They make their own blades. They're really good
[25:35.440 --> 25:40.400]  And the whole point of reason they can they can sell this stuff so much cheaper is that they're cutting out the middle man
[25:40.400 --> 25:44.080]  They make this stuff. They package it. They put it in really cool boxes
[25:44.400 --> 25:48.240]  You buy it and then they just ship it right to you free of charge free shipping on everything
[25:49.200 --> 25:54.800]  So there's no mark-up that you get by going through distributors and distributors selling it to drug stores
[25:55.360 --> 26:01.040]  And the drugstore is putting their markup on it and then the drug stores because there's people shoplift stuff like razor blades
[26:01.040 --> 26:06.560]  All the time putting it behind those stupid glass cabinets with a lock and then you got to find an employee none of that
