[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[07:22.520 --> 07:28.160]  You know, you know, it's good maybe in a way that people at that time wouldn't know. It's good. So it feels a little
[07:28.160 --> 07:31.280]  Insulting, you know to have to put all of that on
[07:31.280 --> 07:35.680]  It's not super loud like on some shows like 90 shows where the left track got so loud
[07:35.680 --> 07:36.360]  But yeah
[07:36.360 --> 07:43.320]  But it always felt to me even as a kid and and growing up in an era when all sitcoms had
[07:43.920 --> 07:50.520]  Laugh tracks or as live studio audience and even the ones at live studio audience, you know that they the laughter pretty loud sometimes
[07:50.520 --> 07:51.960]  Yeah
[07:51.960 --> 07:56.960]  It always seemed incongruous because it clearly was not shot in front of the live studio audience
[07:56.960 --> 08:00.280]  It was shot on real, you know, like a soundstage. Yeah
[08:01.880 --> 08:04.640]  You know like, you know in the case of mash it's like they're shooting it outdoors
[08:04.640 --> 08:10.280]  There's not people on bleachers there, right and the production values were always such I mean clearly in hindsight
[08:10.280 --> 08:13.720]  I mean everybody knew it was a smash hit eventually it became a smash hit, you know
[08:13.720 --> 08:15.720]  after a couple seasons and it was you know, like
[08:17.440 --> 08:21.240]  It was always like I think it was always like number one or number two was 60 minutes, you know
[08:21.240 --> 08:25.400]  It was always like a fight which was gonna be the top-rated show of the week and minutes man
[08:25.400 --> 08:30.800]  That was a juggernaut. Remember that was just like almost always it was it was 60 minutes or something else for a little while
[08:30.800 --> 08:33.520]  It was always 60 minutes. Yeah, it was always number one or number two
[08:33.520 --> 08:37.360]  It felt like your civic obligation as an American was some Sunday night at 7
[08:37.360 --> 08:42.400]  Yeah, everybody, you know from 7 to 70 would sit down and watch 60 minutes. Mm-hmm
[08:42.440 --> 08:46.320]  Yeah, and the other thing that's funny about mash is and this is you know
[08:47.040 --> 08:50.960]  It sounds nasty. I don't mean it to be but it's funny the that you know
[08:50.960 --> 08:57.520]  Like three of the stars of that show left because they wanted a better deal or they wanted more attention
[08:57.680 --> 09:01.920]  You know Wayne Rogers as Trapper McLean Stevenson, you know
[09:01.920 --> 09:06.940]  He was done with it and later on Larry Linville had decided he was done with the Frank Burns character and you know
[09:07.560 --> 09:11.560]  None of them ever found anything approaching that again. It's it's such a bummer. Oh
[09:12.400 --> 09:15.560]  Who's the guy who replaced Frank Burns Winchester, right?
[09:15.560 --> 09:19.680]  Oh, yeah, right. Yeah, he was yeah, and he was there was tough
[09:19.680 --> 09:24.860]  It was a tough one cuz what you could tell Winchester was actually a good surgeon. Yes. We knew Frank was uh, you know
[09:28.680 --> 09:33.740]  Yeah, it was a good show it was good yeah, you're it is interesting it's interesting in so many ways
[09:33.740 --> 09:38.880]  It was a good movie that started it and then they you know didn't have any of the character
[09:38.880 --> 09:40.880]  You know any of the same actors from the movie?
[09:40.880 --> 09:45.880]  Come had Gary Burghoff was from in the movie Oh radar radar
[09:45.880 --> 09:52.160]  Yeah, and the first season is much closer in the kind of anarchic spirit
[09:52.160 --> 09:57.720]  Yeah much closer to the first to the film. But yeah, it got you know, like anything though
[09:57.720 --> 10:01.120]  I think they kind of they started, you know, this great thing. There was a great episode
[10:01.640 --> 10:06.400]  Where Hawkeye writes to his dad there's an episode called dear dad. I remember that one. I remember it was really good
[10:06.400 --> 10:10.360]  It's from like I don't know for a second season and but then they did like remember then they had like
[10:10.360 --> 10:13.160]  Dear peg and then they had dear
[10:14.120 --> 10:16.120]  father mokay, he writes and eventually
[10:17.800 --> 10:24.120]  Alan Arbus remember the psychiatrist he's writing to Sigmund Freud at some point like like an open letter or something
[10:24.120 --> 10:26.460]  He got really bananas, but it was a good show
[10:26.460 --> 10:28.280]  I mean it was it was really of its time
[10:28.280 --> 10:33.040]  But by the end it was just it was so insufferable even as a flaming liberal. I can't watch that show
[10:33.040 --> 10:37.200]  It's it's such a pantomime of you know politics. I haven't seen it in a long time
[10:37.200 --> 10:42.720]  I don't remember it it petering out at toward the end. And I remember the last episode was oh man
[10:42.720 --> 10:48.840]  I was a tobacco with the chicken. Oh, I just and Hawkeye still haunts me still haunts me committed or something
[10:48.840 --> 10:53.400]  And yeah, cuz the chicken chicken, I don't know. I was always obsessed
[10:53.400 --> 10:57.280]  that's another like lifelong obsession obsession for me and like a minor one is
[10:57.920 --> 11:03.040]  Final episodes of shows I'll watch the last episode of a show that I've never even watched just to see how they you know
[11:03.040 --> 11:04.680]  I like a last episode
[11:04.680 --> 11:10.420]  Yeah, and I I watched mash. I you know, I watched it. I watched the reruns, you know
[11:10.420 --> 11:15.940]  It was a staple in our household like flipping through the stations like waiting for dinner to be ready
[11:16.320 --> 11:21.680]  Everybody could agree we'd watch mash, you know, and the reruns were you know, like 530 or something like that. So it was
[11:23.120 --> 11:27.880]  You know and the reruns were still were on while the show was still wrapping up I think and absolutely
[11:28.080 --> 11:30.520]  Yeah, and I think their last episode
[11:30.520 --> 11:37.400]  For a long time was the highest rated like non Super Bowl type. Yeah, definitely was. Oh, yeah
[11:37.680 --> 11:40.980]  Yeah, it was like a national event and everybody was like what the hell was that?
[11:43.640 --> 11:51.240]  Kind of went on yeah, how does it play now like watching any of those episodes with Jamie far's character?
[11:52.600 --> 11:54.400]  What was his name?
[11:54.400 --> 12:01.760]  clinger clinger clinger, how could I forget that so clear for anybody who isn't familiar clinger was played by Jamie far and he
[12:02.040 --> 12:04.800]  Did not want to serve in the army. This is
[12:06.360 --> 12:12.800]  Drafted he was drafted with these kids and he knew that there was something that you could get if you were mentally unsound to serve
[12:12.800 --> 12:18.640]  In the army, you could get a dis get a section 8 or something section 8. So he's always angling for a section 8
[12:18.640 --> 12:20.640]  So, how do you convince the army that you're crazy?
[12:21.160 --> 12:23.360]  You dress like Carmen Miranda women's clothes
[12:23.360 --> 12:27.560]  all right, so he wore a woman's women's clothing all the time and
[12:28.440 --> 12:34.600]  You know, it didn't work. Everybody knew what his stick was, but he never let up on it. So he still he still did his job
[12:34.600 --> 12:37.960]  That's right. He showed up dressed like a nurse, but then he was a pretty good nurse
[12:39.480 --> 12:45.040]  That's part of the problem you got I think you should undermine the basic task that you're doing or do them in it's such a bananas
[12:45.040 --> 12:47.520]  Way that it's clear that you're crazy. You know what I'm saying, right?
[12:47.520 --> 12:53.640]  You know, it's it's okay I think the earlier seasons are better, you know, it's so funny with TV shows
[12:53.640 --> 12:58.040]  It always takes them a few episodes or a season to find their legs and then you know
[12:58.160 --> 13:02.960]  Things kind of seem to go for a while. I can't imagine doing a TV show. It just seems so exhausting
[13:02.960 --> 13:06.540]  Oh totally of any kind. Yeah, whether it's you know, like
[13:08.440 --> 13:16.240]  Like like well like the this very day like yes last night was as we record yesterday was the day John Stewart announced it
[13:16.240 --> 13:18.120]  he was going to
[13:18.120 --> 13:23.200]  Step down from The Daily Show and then it's like he said something during the show. Did you watch I watch and it was like
[13:23.200 --> 13:24.000]  No, what'd you say?
[13:24.000 --> 13:28.360]  I think he said he's been doing it for 17 years and I looked at I was watching with Amy and I was like well that
[13:28.360 --> 13:30.840]  Can't be and then I was like thinking about I was like, holy shit
[13:31.200 --> 13:34.440]  And I know and then I'm like, well, of course, he's gonna step down
[13:34.440 --> 13:37.080]  He's been doing this show four days a week for 17 years
[13:37.720 --> 13:43.480]  Yeah, and I know I mean talking to in particular Hodgeman and Rob Corddry about it people
[13:43.480 --> 13:46.200]  I know who've been on that show and work with him all say the same thing
[13:46.360 --> 13:49.560]  Which is that the first of all, he's a very nice guy and you know
[13:50.120 --> 13:56.080]  He's a good guy. But also that he is one of the hard. He's he's the hardest working person in the building
[13:56.280 --> 14:00.680]  So when Hajme won't go on there, he would have like kind of a prepared bit and then I mean, you know
[14:00.680 --> 14:06.680]  He's I don't think he was the showrunner, but he he was involved in like every rewrite up until camp
[14:06.680 --> 14:10.440]  I mean like he was making everybody in the room better on every episode
[14:10.440 --> 14:13.520]  Can you imagine doing that for over 15 years like what that would take out of you?
[14:13.520 --> 14:13.840]  No
[14:13.840 --> 14:17.920]  And I think that I have trouble ordering groceries and and this guy is doing that every single night
[14:18.480 --> 14:19.880]  I
[14:19.880 --> 14:24.000]  think it's very clear to that he you know, and
[14:25.680 --> 14:31.480]  It put it in sports ball terms, he's a good he was like a good passer in basketball like he was not concerned
[14:31.480 --> 14:37.920]  Obviously, he's the host of the show. He's you know, the one who does the whole first half single-handedly on on air at least
[14:37.920 --> 14:39.920]  Obviously with the help of writers
[14:40.020 --> 14:45.980]  but as soon as anybody else is on whether it's a bit at the desk like a Hodgman thing or
[14:46.500 --> 14:49.020]  anything else it's he is so a
[14:49.580 --> 14:55.620]  hundred percent concentrated on making that other person look as good as they possibly can and make sure that
[14:55.780 --> 14:59.980]  They get as many of the laughs as they possibly can. I totally agree
[14:59.980 --> 15:03.920]  And I mean you can look to our hero and it's like the paragon of that. I mean
[15:03.920 --> 15:11.120]  Carson was so good whoever that was like whether that was Burt Reynolds or whether that was
[15:11.280 --> 15:15.040]  Some grandmother that had done something crazy. He was so generous
[15:15.040 --> 15:20.640]  I mean, I think even if he wasn't loving I think Fred de Cordova would be the one who kind of stepped in and go
[15:20.640 --> 15:24.600]  Okay, we're ready to go to commercial Carson was sometimes, you know, give him the hand signal
[15:24.600 --> 15:27.680]  But but he was I mean he was there and fully
[15:27.960 --> 15:32.720]  Committed to whatever was happening and wanted to make that person look good and it made everybody look good
[15:32.720 --> 15:39.480]  Yeah, exactly. All right, so I I was surprised I have to say like just two bits about the whole late-night shuffling
[15:39.480 --> 15:42.640]  I was a little surprised when Letterman announced his
[15:43.240 --> 15:48.920]  Retirement that Jon Stewart didn't get that or maybe he didn't want it
[15:48.920 --> 15:52.040]  I you know, you know if he if he was thinking about stepping down from this
[15:52.640 --> 15:56.740]  You know on a daily basis, maybe that's just that he didn't want to you know
[15:56.740 --> 16:00.320]  He just didn't want to do a daily show anymore. I always thought that the Jon Stewart would be an
[16:00.320 --> 16:02.280]  excellent
[16:02.280 --> 16:05.380]  You know like Letterman style show host
[16:06.120 --> 16:11.640]  Yeah. Yeah, I agree. And you know, it's funny to think about like what the world was like when Letterman started and
[16:12.280 --> 16:14.640]  It would be impossible to explain to somebody today
[16:15.440 --> 16:20.360]  Probably in the same way that Steve Allen like to us Steve Allen seems like an old guy, but Steve Allen's show
[16:21.360 --> 16:26.660]  Broke the mold. I mean, there'd never been anybody on TV quite like Steve Allen who was so kind of you know
[16:26.660 --> 16:34.180]  Cultural and and witty and smart but also so would do such crazy stunts and that had a huge influence on Letterman
[16:34.620 --> 16:39.220]  And then Letterman comes along and you know, they had that crazy deal with Carson, you know about all this right?
[16:39.220 --> 16:44.620]  Like there was they had a very they had a guy from Carson's production team there
[16:44.940 --> 16:49.660]  Who basically made sure that he's like, okay. Here's your show. Here's the rules like you can't book anybody
[16:50.060 --> 16:55.380]  Who's like one of Johnny's regulars, you know, Johnny gets the first bite of any of these particular apples
[16:55.380 --> 16:56.660]  There's all kinds of rules
[16:56.660 --> 17:02.500]  But that was a constraint that he worked and brought in Larry Budd Millman or he brought in Chris Elliott and that made the show
[17:02.820 --> 17:09.460]  So much more fun and so much weirder than if that awkward young David Letterman was trying to interview, you know Madonna
[17:09.460 --> 17:16.180]  Yeah, I think most famously there were restrictions on the length of the monologue. And so oh because that's Johnny's thing
[17:16.180 --> 17:17.340]  Yeah, it was Johnny's thing
[17:17.340 --> 17:19.540]  and so like on the old Letterman show
[17:19.540 --> 17:27.420]  Letterman would come out and do three jokes and they were so perfunctory like the the bit was almost like his complete disdain for
[17:27.420 --> 17:29.820]  The monologue he would just come out and do three
[17:30.540 --> 17:35.660]  Really clipped perfunctory jokes and then it was on to the desk and the rest
[17:35.660 --> 17:41.100]  And you know the part that made it the part that made it funny every night was how terrible he made it seem like he
[17:41.100 --> 17:46.500]  Thought it was like that was a terrible joke and him adjusting his tie and like the kind of face, you know
[17:46.500 --> 17:51.860]  Yeah, that's what made it funny, right? So like they took the restrictions from Carson productions on the monologue and
[17:52.260 --> 17:56.420]  And I think eventually like I think once it settled in and it was very clear
[17:56.420 --> 18:02.720]  I didn't I don't think it took long for Carson and his people to realize that Letterman was no threat to Carson
[18:02.720 --> 18:08.500]  Like there was no way that that Letterman was ever going to steal his job, right?
[18:08.500 --> 18:11.940]  Right, like it's just not that type of person and you know, he was fine
[18:11.940 --> 18:17.020]  You know, I think you know famously he wanted it and when when the time came in when Johnny retired
[18:17.180 --> 18:21.200]  But he was never going to backstab him if his ratings had you know
[18:21.460 --> 18:24.900]  If I never seen he's never seen anything like completely grateful
[18:24.900 --> 18:29.300]  Like when he tells the story and I guess the first time he was on and got called over to the couch
[18:29.420 --> 18:35.180]  Like he honestly he still sounds like a kid like what what a moving moment that was for him to get to do that
[18:35.180 --> 18:40.540]  Yeah, so I think that eventually I don't think it took long where if if he had wanted to do longer monologues
[18:40.540 --> 18:44.820]  I don't really think that the phone was gonna ring and the Carson people were gonna say hey, you know
[18:44.820 --> 18:48.780]  You were you know, you know, you're only supposed to do two minutes a monologue and you did 230 last night
[18:48.820 --> 18:51.020]  But I think that they just embraced to that
[18:51.820 --> 18:55.420]  Anti monologue, you know that that just became part of the signature of the show
[18:55.420 --> 18:57.420]  Oh, yeah, and I mean that's a beat it to death
[18:57.420 --> 19:03.460]  but I think about the stuff that I remember when I would hear somebody was gonna be on I would get so excited and
[19:03.860 --> 19:09.260]  Certainly, there's famous scenes where like Drew Barrymore acted all crazy or Crispin Glover was all you know
[19:09.260 --> 19:11.380]  Nuts that one time I tried to do but like it's gonna kick him
[19:11.380 --> 19:14.820]  Those are famous but what do you really remember from the first three years?
[19:14.820 --> 19:19.380]  I mean you you remember people like Harvey P car you remember people like Charles Grodin
[19:19.380 --> 19:23.180]  I remember you remember people being on there who or like
[19:23.940 --> 19:29.780]  Jeff Jeff Altman, I love Jeff Altman like he would be so very 20-pound butt steak, you know
[19:30.700 --> 19:31.820]  and
[19:31.820 --> 19:35.740]  That's what made the show and then like the prancing fluids and all that stuff
[19:35.740 --> 19:40.100]  That was the product of that privation like is what made the show good
[19:40.100 --> 19:43.600]  It would not have lasted as long if it had been just another show Harvey P car
[19:43.600 --> 19:48.100]  I haven't thought about him in maybe 20 years. So Charles Grodin it was a bit
[19:48.140 --> 19:51.380]  Yeah, whenever Charles Grodin was on Carson or lettering you got that
[19:51.380 --> 19:56.020]  It was kind of a bit but Harvey P car genuinely seemed to hate Dave and hate the idea of being on the show
[19:56.700 --> 20:02.140]  Right and was just a miserable person quite frankly. It was not very attractive either
[20:02.140 --> 20:07.940]  So it wasn't really like, you know people like looking at him. And so I think any normal talk show would be like
[20:07.940 --> 20:12.180]  I don't know who booked him, but they're fired and make sure we never have him back again
[20:12.180 --> 20:17.660]  Where's the letterman people like let's have this guy back on every couple months. Oh, absolutely and it was true for I mean
[20:17.660 --> 20:21.900]  I think Jeff Altman is you know, one of his great repeat guests
[20:21.900 --> 20:25.260]  I mean he would he loved having Jeff Altman on partly because I think I
[20:25.420 --> 20:27.580]  You know, I have to tell you if you don't already know about this
[20:27.580 --> 20:33.580]  I'm cribbing some of this from a podcast. Have you heard the podcast the Carson podcast? No, you should know about this
[20:33.580 --> 20:35.920]  There's a show this guy in LA does this comedian in LA?
[20:35.920 --> 20:39.340]  I think it's called the Carson podcast and the whole podcast is him
[20:39.540 --> 20:45.580]  Interviewing people who have some kind of an interesting relationship with the Carson show. No show. Yeah, it was great
[20:45.580 --> 20:49.900]  So people like Jeff Altman people like, you know, Bob Einstein, you know super Dave
[20:49.940 --> 20:56.580]  Yeah, like just all kinds of people and then and then like George Carlin's daughter was on but it's it's a great insight into
[20:56.580 --> 21:03.140]  What you and I know which is like what an inscrutable person he was. Everybody says the same thing. It was great
[21:03.140 --> 21:09.140]  It was the greatest honor you ever have but nobody is like two or three people who ever felt like they legitimately knew Johnny Carson
[21:09.140 --> 21:12.700]  Yeah, did you read the biography? That is no I saw that we talked about that
[21:12.700 --> 21:18.060]  I think one time we talked about that PBS show. Oh, that was great the PBS Masters episode. Oh, that was terrific
[21:18.820 --> 21:24.180]  That was the best thing and and they didn't really try to get to the person, you know
[21:24.180 --> 21:26.460]  I mean they acknowledged it and they talked to so many
[21:27.860 --> 21:32.600]  So many people it was such a great thing the PBS Masters thing, but it was kind of like
[21:33.300 --> 21:38.140]  Almost like Citizen Kane where everybody like knew of you know had the same regard for this purse
[21:38.140 --> 21:43.720]  But never really felt like they knew what made him tick, you know, and so anyway, you might check out that podcast. It's
[21:44.500 --> 21:47.340]  It's pretty good. The book I forget is
[21:48.180 --> 21:49.940]  Henry something
[21:49.940 --> 21:52.000]  Let me look it up here Carson biography
[21:52.000 --> 21:53.600]  Carson by
[21:53.600 --> 21:55.320]  Henry
[21:55.320 --> 21:59.080]  Let's see. Sounds like he'd you know, he'd wrap the show. He Henry Bushkin
[21:59.760 --> 22:01.080]  Okay, there we go
[22:01.080 --> 22:03.400]  And it's not like he would never talk before the show
[22:03.480 --> 22:07.240]  There would be just a little bit right and was just nobody he would not talk to the guests
[22:07.240 --> 22:09.720]  I mean he would get in the car and drive away and that was it. Yeah
[22:13.400 --> 22:14.800]  The
[22:14.800 --> 22:18.800]  Henry Bushkin book is uncomfortable to me because clearly it's a betrayal of
[22:18.800 --> 22:24.720]  Of trust like there's no way he should be telling the story. I mean, it's unauthorized. Oh, yeah, definitely
[22:25.040 --> 22:27.440]  It's you know, I mean, how could it be authorized?
[22:27.440 --> 22:28.720]  I mean Carson's dead, but I mean
[22:28.720 --> 22:32.020]  I don't think his family would have wanted it and I think if you had asked Johnny while he was alive
[22:32.320 --> 22:38.400]  Would you like Henry Bushkin to you know, write a book about certainly not right, but on the other hand he did write it
[22:38.400 --> 22:42.100]  So I read it, you know, but I kind of felt I did I felt a little icky the whole time
[22:42.320 --> 22:45.760]  but there's some crazy stories in there and there's one story where I
[22:45.760 --> 22:47.320]  I
[22:47.320 --> 22:50.720]  Forget if it was his wife or it was just a girlfriend
[22:50.720 --> 22:54.840]  But I think I might have been his wife and he Johnny thought is one of his you know earlier wives
[22:54.840 --> 22:57.000]  This is when the show was still in New York and he lived in New York
[22:57.560 --> 23:01.840]  He figured out his wife was running around on him and he wanted to break into the
[23:02.920 --> 23:06.940]  Apartment it was her apartment, but he was paying for it. So he said it so it's got to be Lee
[23:06.940 --> 23:08.200]  I'm paying for it. So it's legal
[23:08.200 --> 23:15.240]  we're breaking in and he got Henry but his took his lawyer with him and like two guys who could only really be described as
[23:15.240 --> 23:16.560]  toughs
[23:16.560 --> 23:22.760]  thugs, yeah, and like and Henry Bushkin says in the book that the one guy even had a gun tucked in his belt and
[23:23.440 --> 23:28.520]  They go over there and like break into the place and find, you know find evidence that she was running around on him
[23:30.000 --> 23:33.840]  But you know, it's like stories that you know, you you don't expect your lawyer to write a book about that
[23:34.680 --> 23:39.520]  That's why you take your look. It's his lawyer that wrote the book. Yeah, it's his law. Oh my god
[23:41.360 --> 23:43.360]  That's that's not cricket man
[23:43.360 --> 23:48.940]  No, it's a good read. It's a good quick read, but it's I'm requesting from the library right now
[23:48.940 --> 23:51.580]  Yeah, this is a guy, you know who needed some money, I think
[23:52.460 --> 23:53.580]  sure
[23:53.580 --> 23:57.160]  But he was you know, but he but I guess the thing I would that made me think about it is that
[23:57.860 --> 24:03.160]  He was obvious. He was more than just his lawyer though. He became as close a friend as anybody could to him
[24:03.160 --> 24:05.460]  They played tennis together. They were both tennis nuts
[24:06.140 --> 24:12.300]  And they used to travel to I remember that Johnny did this because I remember I used to watch tennis on TV sometimes
[24:12.300 --> 24:16.420]  but Johnny would always like for years had an annual trip where he would go to Wimbledon and
[24:16.740 --> 24:18.900]  Henry Bushkin and his wife went with him
