[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[03:41.860 --> 03:44.900]  You wouldn't care quite as much right? This is something that you know
[03:44.900 --> 03:46.900]  A friend of the universe Daniel Jockut has always said
[03:46.900 --> 03:51.780]  That he I believe this is still the case that he always answers all of his own support email
[03:52.260 --> 03:58.060]  so that he is both, you know on top of issues as they arise and aware of what people are asking for and
[03:58.320 --> 04:00.320]  so that he is motivated to
[04:00.740 --> 04:05.880]  You know fix problems in the app that cause a lot of support issues so that people don't even have to email it
[04:06.140 --> 04:10.080]  So, you know everyone wins there. So I'm trying it out. I'll see I mean I
[04:11.580 --> 04:14.660]  Don't have any idea what the like stable
[04:14.660 --> 04:15.980]  Email
[04:15.980 --> 04:22.900]  Email rate will be you know, I five weeks from now on a Tuesday, you know, what's what's gonna be the email rate that day?
[04:22.900 --> 04:23.900]  I don't know
[04:23.900 --> 04:26.740]  So I'll see if I can still handle it myself
[04:26.740 --> 04:31.620]  I would like to do as much about myself in the early days as possible like this this initial batch of oh
[04:32.020 --> 04:37.240]  Now it's 1100 got one more this this initial patch of 1100 plus emails
[04:37.740 --> 04:43.140]  I would like to go through myself just so I have some idea like what are people asking for what you know?
[04:43.140 --> 04:45.180]  What what should I be doing differently?
[04:45.180 --> 04:49.120]  What what is confusing people about the app that I should they should you know?
[04:49.120 --> 04:56.100]  Think about rearranging or relabeling or rethinking. I know I know cable Sasser does the same thing with major releases
[04:57.300 --> 04:59.060]  I don't know if he does it with every major release
[04:59.060 --> 05:04.620]  But I know that he's done that like and I don't think he hesitates to dive into the support on a regular basis
[05:04.620 --> 05:08.900]  But like when they launch like coda, you know, I don't know 4.0 whatever the next version is
[05:08.900 --> 05:14.260]  He'll spend like that that like 36 hour manic period of okay. It is out
[05:16.260 --> 05:23.340]  On the front lines of the support queue, you know working through it because he wants that experience he wants to see that, you know
[05:24.020 --> 05:26.740]  Initial feedback and it's true. It's valuable
[05:26.740 --> 05:34.100]  There's there's like an endorphin high of a big release like this that and it to me it it's you know
[05:34.100 --> 05:36.460]  In hindsight, you're gonna look back and say this was a great week
[05:36.460 --> 05:42.820]  If it's you know, as long as the launch is successful and it's not something like holy crap the you know
[05:42.820 --> 05:49.980]  The server actually can't you know take more than 100 users and that I lucked out big time with that because I was that's what I
[05:49.980 --> 05:53.460]  Was most worried about I had forgotten about the the concept of support email
[05:53.460 --> 05:59.460]  I was much more worried about the servers holding up and because I didn't really I couldn't really predict
[06:00.100 --> 06:02.100]  How heavy the load would be on the server?
[06:02.100 --> 06:08.420]  So I went to line ode where all my stuff is a couple days ago and I just added like eight new servers
[06:08.420 --> 06:11.740]  Yes, because because you can add and destroy them whenever you want. They're built hourly
[06:11.820 --> 06:13.140]  So it's like, you know
[06:13.140 --> 06:16.660]  let me just add way more capacity than I think I will need and
[06:16.860 --> 06:19.980]  and make a way that I can easily clone them if I need even more than that and
[06:20.620 --> 06:22.940]  And then you know, I can always take them all down next week
[06:22.980 --> 06:23.480]  Yeah
[06:23.480 --> 06:31.260]  and and you you have the advantage where you've done large scale things before instapaper had a ton of users and you know,
[06:31.260 --> 06:33.260]  you know a lot like
[06:34.260 --> 06:39.440]  Overcast is largely, you know, it's the whole thing is the whole premise is built on this the server
[06:40.860 --> 06:43.820]  Tumblr obviously, I think has a fair number of users a
[06:45.220 --> 06:46.700]  Little bit. Yep
[06:46.700 --> 06:50.700]  And even you know, however much smaller they were when you left tumblr
[06:50.700 --> 06:53.860]  The tumblr was a big-ass website when you left. Yeah
[06:53.860 --> 06:59.620]  I mean when I left if I screwed up I would serve about 1200 error pages per second, right? Well, there you go
[06:59.620 --> 07:05.760]  that's that's kind of pressuring but the thing and so Brent Simmons was in the same boat and I will return to this because one
[07:05.760 --> 07:11.360]  Of the reasons are I'm so interested by overcast is I do see some a fair number of similarities
[07:12.180 --> 07:14.180]  situation wise with Vesper
[07:14.940 --> 07:16.940]  And design wise even but
[07:17.360 --> 07:21.880]  One of the things was that Brent has built large-scale, you know online things, you know
[07:21.880 --> 07:26.020]  There's net news wire syncing some of the other stuff he did at Newsgator
[07:26.020 --> 07:30.460]  So I felt really good being you know, having nothing to do with writing the code
[07:32.020 --> 07:34.220]  Betting on Brent Simmons and it did work out
[07:34.220 --> 07:39.260]  We had a great launch the sync wall went fine and I would have been just as happy betting on you know
[07:39.540 --> 07:43.860]  Overcast and Marco Arman having a good thing because experience really matters
[07:43.860 --> 07:48.020]  But on the other hand and Brent, you know had a couple of these things in mind
[07:48.020 --> 07:56.260]  Especially for online stuff every couple of years the state-of-the-art changes and there's little things that are new and different, right?
[07:56.260 --> 07:58.180]  It didn't used to be that you could go to
[07:58.180 --> 08:03.180]  Li node and say you know what give me a couple of extra database servers. You couldn't do that
[08:03.180 --> 08:09.580]  Oh, yeah, right and so in in in the large part and I think the reason by both his launches went well
[08:09.580 --> 08:11.140]  Those things work really well
[08:11.140 --> 08:16.860]  But you just never know because there might be something there might be something that you overlook because that's what bugs are bugs are
[08:16.860 --> 08:20.580]  Always things that you overlook and you can say here's all that
[08:20.580 --> 08:24.940]  Here's the seven things that have bit me before scaling wise and I'm gonna make sure all seven of these I've handled
[08:24.940 --> 08:29.060]  Well, there might be a new one an eighth one that you don't know about and then all of a sudden
[08:29.420 --> 08:35.500]  You've got a big launch. All these websites are writing about you. You're on the front page of this website that website
[08:35.860 --> 08:41.300]  all sorts of Twitter's going nuts people talking about it and your server is down and
[08:41.300 --> 08:46.500]  And yeah, it would you know, you probably would be a much less happy Marco
[08:46.500 --> 08:47.340]  Oh, yeah
[08:47.340 --> 08:52.520]  and you know because the difference like I mean I did a beta test with about 40 people for about two months and
[08:52.940 --> 08:58.060]  40 people because Apple has not as far as I know it rolled out that new testing thing it that they made test flight
[08:58.060 --> 09:00.860]  Into no, so you're still limited to a hundred device slots
[09:01.060 --> 09:05.760]  So 40 people if you want to leave any room for anyone to get new phones in the fall or anyone to have an iPad
[09:05.860 --> 09:07.860]  That's about as big of a group as you can do
[09:08.220 --> 09:09.420]  and
[09:09.420 --> 09:13.940]  You know III this was the biggest beta I've ever done by a long shot the longest beta
[09:13.940 --> 09:18.580]  I've ever done and the beta uncut didn't cover tons of issues and which I'm very thankful for
[09:19.140 --> 09:20.540]  and
[09:20.540 --> 09:24.980]  yet there were there are still bugs that none of us found because the difference between
[09:25.500 --> 09:27.780]  40 people and you know
[09:28.460 --> 09:34.020]  30,000 people is is substantial and out of the and out of the 40, you know
[09:34.020 --> 09:37.820]  We were mostly it was mostly people I know like you and you know other like tech people
[09:37.820 --> 09:40.820]  so it wasn't a very diverse group and so certain things like
[09:41.060 --> 09:44.500]  We just never ran into because that isn't how we use the podcast app
[09:44.620 --> 09:45.220]  You know
[09:45.220 --> 09:47.900]  Whereas a lot of people do runs that any any
[09:48.060 --> 09:53.060]  that's part of a problem of I'd love to hear an example of that if you can think of one that's good like if there's like
[09:53.060 --> 09:54.580]  already like a
[09:54.580 --> 09:56.420]  frequently
[09:56.420 --> 09:59.020]  Run into oh, yeah sharp edge or something like that
[10:00.520 --> 10:06.100]  What do you think what do you think the average number of podcasts is that somebody subscribes to?
[10:06.100 --> 10:08.100]  three
[10:08.580 --> 10:12.740]  Yeah, right. I mean, you know ruling out anyone who's who does zero, you know, obviously, right
[10:13.980 --> 10:19.140]  So I don't I don't have that number available for overcast yet. However, I have heard from many people
[10:20.260 --> 10:27.180]  Apparently my opml importer is having problems for people who have opml files that have like a hundred feeds in them
[10:27.700 --> 10:30.100]  And there's a lot of these people who keep telling me this
[10:30.100 --> 10:38.420]  and I like I listen to my my feed list is about 35 or 40 long because a lot of those are shows that that are
[10:38.420 --> 10:43.420]  Retired or on a hiatus or a lot of them are shows that I like I had one episode of but I didn't subscribe to
[10:43.420 --> 10:46.460]  The whole show and they they're still on my list. I haven't deleted them
[10:47.140 --> 10:49.780]  And so the number of podcasts I listen to
[10:50.540 --> 10:54.380]  Actively that you know at new that actually produce new episodes every week
[10:54.380 --> 10:58.880]  It's probably about 10 maybe and that I consider myself a heavy podcast listener
[10:58.880 --> 11:00.640]  and
[11:00.640 --> 11:05.280]  But compared to the general public like there are these edge cases out there
[11:05.280 --> 11:11.680]  there are these people who listen to over a hundred one guy complained that his had over 150 and I couldn't import it properly and
[11:12.520 --> 11:14.520]  I just never considered
[11:14.520 --> 11:17.520]  and that also that also creates problems, you know, the my
[11:18.080 --> 11:21.880]  The problem with opml is that there's no way to specify
[11:22.600 --> 11:27.680]  Episodes you can only say which podcast you subscribe to it's in other words in other words
[11:27.680 --> 11:33.920]  It's the the URL of the podcast feed not the URL of the episode, correct?
[11:33.920 --> 11:38.560]  And that's it. And so it the opml standard cannot communicate to be no between apps
[11:38.920 --> 11:43.920]  What you know whether you've heard all the episodes or not, which ones are unplayed how far you've gotten in them
[11:43.920 --> 11:50.600]  It only knows which podcasts you subscribe to a period that's it. Well, that's not and to be pedantic here
[11:50.600 --> 11:52.040]  I'll fill in for Syracuse
[11:52.040 --> 11:59.440]  It's not really a limit of opml in general because I believe opml is a general purpose outliner file format
[11:59.440 --> 12:06.280]  It's it's the specific flavor of opml that is widely understood as the lingua Frank Frank
[12:06.280 --> 12:13.840]  Well, how do you say that lingua Franca? I don't know of sharing person of sharing a list of feeds that you subscribe to
[12:14.200 --> 12:20.680]  And that's right. It's true for RSS readers, too. It's probably the exact same format and and there's actually a very good reason why
[12:20.680 --> 12:29.400]  Nobody's implemented episode exporting and importing it's mostly because there is no good way to uniquely identify the episodes
[12:29.720 --> 12:33.600]  Yeah, I would have mad because GU IDs are not required in the standards
[12:34.280 --> 12:37.680]  So so there's and there's a lot of feeds that do GU IDs wrong
[12:37.680 --> 12:38.040]  anyway
[12:38.040 --> 12:42.880]  and aren't there some feeds that you couldn't even use the URL for the audio file because there's some
[12:43.040 --> 12:49.720]  Aren't there some shows where they'll give it and they'll put two in and they'll say like here's here's two different formats MP3 and m4a
[12:49.720 --> 12:55.640]  Oh, yeah, there's even still some people who put in ogg vorbis and then there's there's a new format called ogg opus
[12:55.640 --> 13:01.040]  I think that I've met I didn't even hear of until yesterday. I I don't know how popular it is. But yeah just to give you
[13:02.080 --> 13:05.000]  I think that tells you how popular it is probably
[13:05.520 --> 13:12.840]  But but yeah, and so like there's and you know now I'm dealing with broken feeds, you know feeds that have clearly broken markup
[13:13.880 --> 13:15.800]  But you know that people are angry about that
[13:15.800 --> 13:18.920]  I don't support and so I have to figure out how to support them and it's a mess
[13:18.920 --> 13:24.100]  But anyway, so the one of the biggest complaints I've gotten is from people who subscribe to a lot of shows
[13:24.840 --> 13:27.760]  my my default behavior when importing opml is
[13:28.160 --> 13:33.520]  I will assume that you want the one most recent episode in every one of those feeds listed
[13:34.680 --> 13:36.680]  That is a bad assumption. Yeah
[13:37.760 --> 13:40.280]  And so when you have 150 feeds
[13:40.280 --> 13:43.640]  I try to immediately download 150 episodes and
[13:43.640 --> 13:49.960]  people are complaining that I'm filling up their phones because all of a sudden they have three gigs of podcast downloaded after their import and
[13:49.960 --> 13:53.040]  They and I don't have like a bulk cancel operation
[13:53.800 --> 13:59.960]  And again, this is something that that is a valid problem. I didn't think of it. It never came up in beta
[13:59.960 --> 14:05.280]  I have to figure out some good way to solve that now, but that is very much a valid problem
[14:05.720 --> 14:11.880]  yeah, and I'm I was a bad tester for that because I don't keep like an archive of
[14:11.880 --> 14:17.480]  Old shows like I don't want I don't have a subscription to hypercritical anymore
[14:17.480 --> 14:22.960]  Just because I want to go back and listen to if I do it might strike me my fancy someday
[14:22.960 --> 14:25.920]  But then I would I wouldn't think I want to have subscription to it
[14:25.920 --> 14:30.260]  I would think I'll go in a directory find it find the episode
[14:30.260 --> 14:32.760]  I want and play and then add it there
[14:32.760 --> 14:37.280]  I would never think I want to even though I understand the mindset that someone would want to do that
[14:37.280 --> 14:42.200]  Here's the 150 podcasts I've ever been interested in and I want to move this file around from app to app
[14:42.520 --> 14:49.200]  My mind that that seems crazy to me a new I kind of like the idea of switching and trying a new podcast
[14:49.200 --> 14:54.460]  App every once in a while just to start clean and say here. Let me find two or three shows
[14:54.460 --> 14:57.580]  I want to listen to I've got a long drive ahead of me, right?
[14:57.580 --> 14:59.820]  And I think it's easier because you know despite those outliers
[15:00.040 --> 15:05.760]  You know like RSS has always had that problem where usually people listen there are people subscribe to
[15:05.760 --> 15:08.720]  Usually a pretty good number of RSS feeds if they use it at all
[15:08.800 --> 15:13.680]  Like I subscribe to probably 200 RSS feeds and again, most of them don't get every day. So it's easy to follow
[15:15.200 --> 15:20.840]  But podcasts, you know, there's there's a limit on how many podcasts you can listen to on a regular basis
[15:20.840 --> 15:24.120]  And so I always assume the numbers would be substantially lower
[15:24.360 --> 15:29.060]  For your number of podcast feeds that most people be subscribed to I assume that would be a very low number
[15:29.880 --> 15:33.200]  And yeah turns out not necessarily a safe assumption
[15:33.200 --> 15:37.960]  Right. So what what they want is they want to be able to maybe even default to zero
[15:38.320 --> 15:43.060]  Downloads per podcast and then go through and then change it from there
[15:43.680 --> 15:48.000]  right, and I think honestly, I mean a safe default might be zero and
[15:48.340 --> 15:51.060]  Just just make people pick one from everything, you know
[15:51.060 --> 15:54.580]  Like I think my assumption that you want the latest one from everything is
[15:55.080 --> 15:59.000]  Probably problematic enough that I should probably change it because I can change that one server-side
[15:59.000 --> 16:04.840]  Yeah, maybe that's a good one that you'd want to do if I add and just a single new subscription in the app
[16:05.560 --> 16:11.800]  Maybe assume I want to get the most recent episode. But if I'm importing an opml file don't assume I want any of the episodes
[16:12.480 --> 16:15.580]  Yeah, I mean that's that is certainly well actually no
[16:15.580 --> 16:20.020]  I think I think my default behavior now is that if you tap subscribe on a new show
[16:20.020 --> 16:24.040]  I download the latest episode if you add it from the directory, which so that I think that is a safe assumption
[16:24.040 --> 16:27.120]  But yeah, I think you're right with opml it I think I think it isn't
[16:27.120 --> 16:29.800]  So yeah, I think maybe I'll change that later tonight after I'm done with you. Yeah
[16:32.880 --> 16:37.280]  That leads directly to another question I've had and I've seen it and I'm not even following
[16:37.800 --> 16:43.360]  Anywhere nearly as religiously as I'm sure you are on Twitter the day one commentary about it
[16:43.360 --> 16:46.680]  But I've seen a lot of people remark about the lack of streaming
[16:47.920 --> 16:50.840]  yes, that that is a big one and I
[16:50.840 --> 16:58.240]  I again, I never really noticed I guess I have because I guess there have been times like I've been trying to
[17:00.320 --> 17:03.400]  To run on a more regular basis and I that's you know
[17:03.400 --> 17:07.040]  One of the times where I do listen to podcasts and it'll be like hey
[17:07.040 --> 17:09.820]  I know that there's got to be a new ATP out
[17:11.320 --> 17:13.320]  Let me go look and
[17:13.760 --> 17:17.620]  There it is and I do I have to wait until I get the whole thing before I go out
[17:17.620 --> 17:21.840]  But I don't have to wait that long that it would ever even have occurred to me to
[17:22.400 --> 17:24.000]  you know write in as a
[17:24.000 --> 17:29.720]  suggestion that I would like to just leave the house and have it stream over LTE or something like that because it doesn't take that
[17:29.720 --> 17:32.860]  Long for you know a hundred and some megabyte
[17:33.800 --> 17:37.720]  File but it seems like lots of people want that what they want is
[17:38.400 --> 17:44.600]  They want it to start downloading and playing at the same time. Oh, yeah and and streaming it's you know
[17:44.600 --> 17:49.000]  It isn't there because it's it's hard to do and I didn't have time to do it and it's going to take months to do
[17:49.000 --> 17:51.000]  It right. That's why it's not there
[17:51.000 --> 17:55.400]  You know, a lot of people assume that I just forgot to add it. It's just some oversight, right? Just just
[17:58.400 --> 18:04.040]  That's what I check box that's what I figured the answer is that the answer is that it's not it's like a lot of these
[18:04.040 --> 18:06.320]  Things it's not easy. It's really hard and
[18:07.120 --> 18:13.080]  And it's harder for me because of my audio engine like it's it's easier for the other players that that don't use the low-level
[18:13.080 --> 18:17.360]  Stuff that I do to do my audio effects. It's easier for them, but it's a lot easier for them
[18:17.360 --> 18:19.360]  The way I'm gonna have to do it is gonna be more
[18:19.560 --> 18:22.420]  manual like I'm gonna have to build more of those parts from scratch, but
[18:23.160 --> 18:29.400]  The main argument for it. I mean first of all, I think the I think the need for it is exaggerated on day one
[18:30.000 --> 18:31.920]  because so many people
[18:31.920 --> 18:35.660]  Want to just jump in and try and try playing it and they have to wait for their files to download
[18:36.120 --> 18:42.120]  Whereas if you just use the app regularly most new episodes you'll get we push to you in the background and you won't even notice
[18:42.120 --> 18:44.680]  Them downloading about time, you know, you launch the app next. They're just there
[18:45.320 --> 18:48.520]  so, you know background download I think removes much of the need but
[18:49.040 --> 18:51.040]  There are still situations where you need
[18:51.720 --> 18:55.080]  where streaming is very nice to have the big two are
[18:55.760 --> 18:59.660]  Immediate feedback like if you just wanted to add an episode and listen to it right now
[18:59.680 --> 19:04.480]  like right as you add it then you want to hear it you can start playing it immediately and then the second big one is
[19:04.880 --> 19:10.520]  if you like a lot of the other clients offer a streaming only mode where
[19:10.520 --> 19:15.280]  Nothing is ever downloaded. You only ever stream things and that way you don't use any disk space
[19:15.760 --> 19:20.600]  See now that that would never even occur to me and it's it's a really good idea and like it
[19:20.600 --> 19:22.240]  You know if you think about you know for me
[19:22.240 --> 19:23.600]  I would never use it because I you know
[19:23.600 --> 19:29.240]  I have I live in an area that has spotty reception and I often you know travel and go upstate or on a plane or
[19:29.240 --> 19:33.640]  Something and so I I want everything to be just downloaded and there and ready
[19:34.800 --> 19:36.960]  But a lot of people don't work that way a lot of people
[19:36.960 --> 19:41.560]  want everything to always only be streamed and leave all the space free on their phone and
[19:41.840 --> 19:45.980]  We'll see what happens like with iOS 8 with the new photo management thing
[19:46.840 --> 19:52.340]  You know, maybe maybe there won't be as much of a space crunch on iOS devices as there used to be who knows
[19:53.080 --> 19:57.040]  But either way I am gonna add streaming. It's just a matter of of doing it
[19:57.040 --> 20:04.000]  We're just gonna probably gonna take a few months. Yeah, it seems like there's that's actually sort of under the radar like one of the big
[20:04.000 --> 20:11.080]  Priorities of iOS 8 is space management because they're doing it. It's a similar thing. They're doing with
[20:12.840 --> 20:14.040]  Messages
[20:14.040 --> 20:20.720]  Where exactly it's defaulting to not keeping the images and it to other attachments that you've been sent
[20:20.720 --> 20:26.000]  And I think part of that is a sort of trend towards privacy in
[20:26.520 --> 20:32.240]  General and you know things like snapchat and stuff like that where it works like that and people seem to like it
[20:32.240 --> 20:35.680]  And maybe it just never occurred to them before but I think another big part of it
[20:35.680 --> 20:39.280]  is that you know, even for me, it was not like a super heavy texture, but
[20:40.640 --> 20:46.120]  Whiskas and I communicate a lot about Vesper. I've got tons of screenshots in my iMessages with him
[20:47.360 --> 20:51.480]  If I look in the usage, I do have a couple of gigabytes
[20:51.480 --> 20:56.880]  I don't know four four four five gigabytes in messages and there's no way to get them to get them out
[20:56.880 --> 21:02.120]  I mean, I think you can go through one by one, but you know that that's that way lies madness, right?
[21:02.120 --> 21:07.600]  Or you can delete the entire conversation with Dave Whiskas and lose that entire history. Yeah, which I don't want to do
[21:07.640 --> 21:14.760]  Yeah, and and it's also the way the weird way iMessage works where I've actually got like seven conversations with Whiskas
[21:14.760 --> 21:21.800]  I don't know if they're based on different, you know, like his phone number to my Apple ID my Apple ID to his Apple ID
[21:21.800 --> 21:23.880]  I don't I don't know quite know how that counts
[21:23.880 --> 21:28.620]  but everyone's you know, that would be less I would probably be easier to delete seven conversations with them, but
[21:28.620 --> 21:34.020]  But you know, who knows how much of those gigabytes is all sorts of other people too
[21:34.020 --> 21:36.940]  And I'd have to keep deleting all those things. I don't know one thing
[21:36.940 --> 21:42.580]  I don't know and I would love to know the answer to maybe somebody who's upgraded their regular phone to iOS 8 betas would know
[21:42.580 --> 21:48.980]  Whether that applies to your old messages like if you upgrade your phone to iOS 8
[21:49.180 --> 21:56.220]  Well that that new world only apply to new messages as they come in or is iOS 8 going to do something smart
[21:56.220 --> 21:59.380]  about your archive of old images
[21:59.740 --> 22:03.580]  That's a tough one because you certainly you can see the other problem is like, you know
[22:03.580 --> 22:06.220]  If if they just default to all right
[22:06.220 --> 22:09.100]  We're just gonna stop keeping all old stuff by default
[22:09.100 --> 22:14.740]  Then as soon as you upgrade to iOS 8 all your old messages get deleted and that's that's kind of bad
[22:15.500 --> 22:18.500]  So I can see the problem there, right? It's one thing if
[22:19.220 --> 22:24.860]  New messages start coming in with that little keep button and you you know, even if you don't quite notice it right away
[22:24.860 --> 22:29.180]  Well, it was there and you had the opportunity to press keep it's another thing to say
[22:29.180 --> 22:29.500]  Yeah
[22:29.500 --> 22:32.820]  all those messages you got over the last three years that
[22:33.220 --> 22:36.020]  You never even had to worry about whether they were going to be kept or not
[22:36.020 --> 22:39.980]  You you knew they were gonna be kept. Yeah, we did you a favor and deleted them, right?
[22:39.980 --> 22:42.100]  I mean, I think what would probably make more sense
[22:42.660 --> 22:48.780]  Would be to treat those attachments just like entries in your photos library
[22:48.780 --> 22:50.980]  Where they are all kept on iCloud
[22:50.980 --> 22:55.780]  And then they can just be pulled down on demand if you if you actually scroll up and go like, you know
[22:55.780 --> 22:58.660]  Three years back in history. They can be pulled off the off the network
[22:58.660 --> 23:01.340]  Yeah, that would make that makes a lot of sense have it use your storage
[23:01.340 --> 23:04.740]  But unfortunately with some people that might use a ton of storage, right? Yeah
[23:04.740 --> 23:09.180]  I was just about to say it the problem is that it for a lot of people a couple of gigs of
[23:10.020 --> 23:16.580]  iMessage images is probably pretty close to the number of gigs they have in in their iCloud storage, right? Exactly
[23:16.580 --> 23:18.820]  Yeah, and there's also a lot of duplication
[23:18.820 --> 23:21.180]  I think like like if you send a picture to somebody
[23:21.780 --> 23:23.780]  Do you not have two copies of that in your storage?
[23:24.620 --> 23:28.260]  Like like the one in your camera roll and when you sent them, I don't know like I don't know how that works
[23:28.260 --> 23:30.260]  Yeah, I do think that
[23:31.140 --> 23:33.140]  That's a good question. I think you might
[23:35.980 --> 23:41.140]  Because it might also I don't even know I actually never even checked whether they like shrink them at all or anything
[23:41.140 --> 23:43.180]  I don't think they do
[23:43.180 --> 23:48.980]  but I don't know that's a good question and when you do get a copy like when you you definitely get a dupe when you
[23:48.980 --> 23:56.180]  Take the photo with your phone and then you switch to your iPad or your Mac or something and the conversation is over there, too
[23:56.180 --> 23:58.900]  That's obviously a copy of the image, right? Exactly
[24:00.180 --> 24:02.180]  Yeah, I don't know. It's a good question
[24:02.180 --> 24:12.900]  Obviously something you have to concern yourself about though. That's one area where you know overcast. I think it's in a unique situation where you
[24:12.900 --> 24:20.340]  Know you some some users might reasonably want overcast to literally take up a majority of the storage on their device
[24:20.580 --> 24:27.180]  You know somebody with a 64 gigabyte iPhone might might actually want a podcast app that that
[24:27.180 --> 24:32.740]  Stores about 40 gigabytes of podcasts, right, you know, especially if you're going on a trip or something
[24:32.740 --> 24:35.140]  And you're gonna be without coverage or you're going international
[24:35.140 --> 24:38.700]  you don't want to use data roaming or or you're just going out for a while and
[24:38.900 --> 24:43.940]  You're in a country where cell coverage or cell data is very expensive, you know, either way
[24:44.500 --> 24:48.180]  you know, there are so many reasons why you want it downloaded and
[24:48.660 --> 24:53.040]  Why you want it to be taking up space in your phone rather than requiring it to be streamed constantly
[24:53.040 --> 24:59.280]  but the other side of that is probably just as frequent which is you have, you know, a 16 gig device and it's full and
[24:59.640 --> 25:03.200]  You want to download some podcast and you don't have enough space and that sucks
[25:03.320 --> 25:06.440]  and so like I can see both sides of the argument, but
[25:07.240 --> 25:09.640]  There's also a problem in having the app
[25:10.360 --> 25:17.960]  offer a very healthy blend of those two things because then everything becomes way more complicated both the both the code and
[25:17.960 --> 25:22.360]  the interface because then you have to you have to like manage these states and offer ways for people to like
[25:22.360 --> 25:25.600]  Transform our stream into a download or you know
[25:25.600 --> 25:32.120]  delete something but leave it streamable and and all these things that really complicate the interface and and the data model and then and even
[25:32.400 --> 25:36.760]  The mental model of the user as to know like do I have this thing or not?
[25:37.400 --> 25:39.400]  That's I'm trying to keep it very simple
[25:40.040 --> 25:41.960]  so that people can
