[00:00.480 --> 00:01.920]  You were at CES.
[03:20.880 --> 03:25.040]  Last year I stayed at the fairly far south end of the strip.
[03:25.040 --> 03:28.640]  And this year, one of my priorities was stay somewhere
[03:28.640 --> 03:29.960]  further closer to the action.
[03:29.960 --> 03:31.720]  So at least you could walk from.
[03:31.720 --> 03:33.800]  South is the airport side, right?
[03:33.800 --> 03:35.200]  Like down by Mandalay Bay.
[03:35.200 --> 03:36.040]  Yeah, Mandalay Bay.
[03:36.040 --> 03:38.680]  It's funny, in my head, I feel like that's up,
[03:38.680 --> 03:42.120]  like that's up the strip, down the strip is down by like
[03:42.120 --> 03:43.080]  the wind. Stratosphere.
[03:43.080 --> 03:44.800]  Yeah, but it's the other way around, right?
[03:44.800 --> 03:45.640]  Right, yeah.
[03:45.640 --> 03:47.560]  And so that was useful.
[03:47.560 --> 03:50.140]  Although a lot of the stuff, a lot of the like
[03:50.140 --> 03:53.480]  official press conferences are at Mandalay Bay.
[03:53.480 --> 03:55.800]  That's crazy though, it's like so far away.
[03:55.800 --> 03:59.400]  I know, I'm in a fortunate position where I could basically
[03:59.400 --> 04:04.400]  pick, you know, Quartz where I work, qz.com is, you know,
[04:04.960 --> 04:08.240]  we're still small enough that we can be picky
[04:08.240 --> 04:09.100]  about what we cover.
[04:09.100 --> 04:12.680]  So I don't have to actually go and live blog
[04:12.680 --> 04:15.640]  an Nvidia press conference or something like that.
[04:15.640 --> 04:17.200]  No one's telling me I need to do that.
[04:17.200 --> 04:20.440]  So I actually got to skip all those official press
[04:20.440 --> 04:21.420]  conference type things.
[04:21.420 --> 04:23.200]  So I didn't actually have to go down to Mandalay Bay
[04:23.200 --> 04:24.040]  this time.
[04:24.040 --> 04:27.360]  But a lot of the action, like the good stuff's going on
[04:27.360 --> 04:32.360]  at cosmopolitan, at the wind and Venetian.
[04:34.600 --> 04:37.840]  So you really want to be hanging out toward,
[04:37.840 --> 04:41.560]  kind of centered in north strip most of the time.
[04:41.560 --> 04:43.080]  So was anybody else from Quartz there
[04:43.080 --> 04:46.640]  or were you the only representative of Quartz there?
[04:46.640 --> 04:49.300]  No, several, I think there were four of us this year,
[04:49.300 --> 04:50.840]  two from our ad side.
[04:50.840 --> 04:53.920]  And then my colleague, Mike Murphy, who's a reporter
[04:53.920 --> 04:58.920]  who writes about, we have a beat called machines with brains
[04:59.940 --> 05:03.020]  and it's drones, robots, AI, and that kind of stuff.
[05:03.020 --> 05:04.360]  And he was very busy.
[05:04.360 --> 05:09.360]  There was a lot, although he came to CES with a cold.
[05:10.000 --> 05:11.020]  You can't do that.
[05:12.760 --> 05:14.240]  Cause you're going to get sick by the end,
[05:14.240 --> 05:15.720]  but you can't show up with a cold.
[05:15.720 --> 05:17.960]  So I felt bad about that.
[05:17.960 --> 05:21.980]  But so yeah, he was there with me and we were basically
[05:21.980 --> 05:24.760]  just doing meetings, hitting the show floor.
[05:24.760 --> 05:27.760]  The show floor is comically extensive.
[05:27.760 --> 05:31.380]  Like you can walk, I had my Apple watch with me.
[05:31.380 --> 05:33.840]  So Wednesday was my busiest day.
[05:33.840 --> 05:38.580]  I think I walked over 14 miles on Wednesday.
[05:38.580 --> 05:41.640]  Whereas on average day, I probably walked like six to eight.
[05:41.640 --> 05:42.640]  Yeah, that's a lot.
[05:42.640 --> 05:43.640]  Anything over 10 is a result.
[05:43.640 --> 05:48.440]  I did 27,000 steps, so that was pretty crazy.
[05:48.440 --> 05:53.440]  In boots too, which was dumb, but it was cool.
[05:53.760 --> 05:56.640]  So it's a recurring theme.
[05:56.640 --> 05:57.980]  And I know we say this every year,
[05:57.980 --> 06:00.580]  but that everybody goes to CES, quote unquote,
[06:00.580 --> 06:03.640]  everybody goes, but, and then all the writers,
[06:03.640 --> 06:05.300]  they all say they hate it.
[06:05.300 --> 06:07.720]  Everybody just, as soon as it hasn't even started yet
[06:07.720 --> 06:11.040]  and Twitter is filled with people in our racket
[06:11.040 --> 06:12.480]  saying how much they hate it.
[06:12.480 --> 06:16.880]  Which always makes me think, well, then why do you go?
[06:16.880 --> 06:19.120]  You know, like, why does everybody go to this thing
[06:19.120 --> 06:19.960]  that they hate?
[06:19.960 --> 06:20.880]  But I'm exactly with you.
[06:20.880 --> 06:25.880]  My temptation to go is it's because I obviously,
[06:26.120 --> 06:27.560]  I could write whatever the hell I want.
[06:27.560 --> 06:30.200]  So I'm not going, and I can skip whatever I want.
[06:30.200 --> 06:32.760]  So, well, I understand that the hatred comes from people
[06:32.760 --> 06:35.340]  who, if you get an assignment from an editor
[06:35.340 --> 06:36.780]  and they're like, here, here's your list
[06:36.780 --> 06:39.560]  of press conferences to go to figure out what's new
[06:39.560 --> 06:43.840]  from LG and Samsung and whoever.
[06:43.840 --> 06:45.360]  And it all just starts to blur together
[06:45.360 --> 06:47.320]  because everybody is making the exact same things.
[06:47.320 --> 06:52.320]  Five inch Android phones and tablets and curved OLED TVs
[06:52.640 --> 06:54.340]  and it all just blurs together.
[06:54.340 --> 06:56.820]  And then you've got a schlep from one end to the other
[06:56.820 --> 06:58.400]  and it's gotta be backbreaking.
[06:58.400 --> 07:01.160]  If you can't pick and choose where you go.
[07:01.160 --> 07:04.340]  One of the things we struggled with was we shot a video.
[07:04.340 --> 07:08.280]  Mike put on this exoskeleton suit that's designed
[07:08.280 --> 07:10.560]  to age you to like a hundred years old
[07:10.560 --> 07:12.880]  or something like that and do various things.
[07:12.880 --> 07:14.840]  It had like VR goggles built in
[07:14.840 --> 07:17.760]  and things that would make your muscles,
[07:17.760 --> 07:20.920]  that basically make your body move more slowly
[07:20.920 --> 07:23.160]  and it would affect your vision and all this stuff.
[07:23.160 --> 07:26.080]  And we took this video of him in this suit
[07:26.080 --> 07:30.000]  and then we realized that we literally didn't have
[07:30.000 --> 07:32.600]  the ability to upload the video to Dropbox.
[07:32.600 --> 07:36.600]  Like we, I'm not gonna tether on my cell phone and do it.
[07:36.600 --> 07:38.160]  Our hotel wifi sucked.
[07:38.160 --> 07:39.000]  We couldn't do it.
[07:39.000 --> 07:41.160]  It's like, okay, we almost have to go to a Starbucks.
[07:41.160 --> 07:42.800]  And I wonder if the press room
[07:42.800 --> 07:45.160]  had a free ethernet connection.
[07:45.160 --> 07:46.640]  We didn't actually go in the press room
[07:46.640 --> 07:49.760]  because it seemed like it was kind of a dump
[07:49.760 --> 07:53.180]  but actually that may have solved our problem.
[07:53.180 --> 07:54.520]  But it's just stuff like that
[07:54.520 --> 07:57.420]  where you're just completely out of your element.
[07:57.420 --> 07:58.260]  But it's amazing.
[07:58.260 --> 08:00.560]  Like you go, one of the things we did
[08:00.560 --> 08:02.480]  is we scraped the list of exhibitors
[08:02.480 --> 08:04.720]  and just did some very basic text analysis
[08:04.720 --> 08:08.760]  to see if there's anything interesting we could find.
[08:08.760 --> 08:11.760]  One thing that was cool was over 500 of the companies
[08:11.760 --> 08:15.240]  had the word Shenzhen in the title of the company.
[08:15.240 --> 08:20.200]  There are aisles and aisles and aisles of tiny booths
[08:20.200 --> 08:23.180]  with one or two people from Shenzhen, from China
[08:23.180 --> 08:25.000]  who come to America once a year.
[08:25.000 --> 08:26.520]  And there they are.
[08:26.520 --> 08:30.640]  And I got a great little tour from a little old lady
[08:30.640 --> 08:34.220]  of her line of perfect GoPro knockoffs.
[08:34.220 --> 08:37.680]  And she's like giving me a demo of these things.
[08:37.680 --> 08:39.760]  The same case, same size,
[08:39.760 --> 08:41.440]  looks exactly like a GoPro
[08:41.440 --> 08:43.960]  but it's $60 or something like that.
[08:43.960 --> 08:47.240]  Was she saying it looks like a GoPro?
[08:47.240 --> 08:50.840]  Or was that, so she was mentioning the word GoPro.
[08:50.840 --> 08:51.760]  Yeah, yeah, totally.
[08:51.760 --> 08:54.160]  Like that's the same case as a GoPro.
[08:54.160 --> 08:56.920]  Actually one of the booths, you probably saw this.
[08:56.920 --> 09:00.600]  One of the booths, one of the hoverboard knockoffs
[09:00.600 --> 09:05.600]  was so similar to this one specific kind of balance board
[09:05.680 --> 09:08.200]  thing that the U.S. Marshals rated it.
[09:08.200 --> 09:09.200]  No, I didn't see this.
[09:09.200 --> 09:10.540]  Oh yeah.
[09:10.540 --> 09:12.200]  I think Bloomberg got tipped off
[09:12.200 --> 09:14.440]  because I think some other sites got tipped off too
[09:14.440 --> 09:15.640]  and they videotaped it.
[09:15.640 --> 09:19.040]  And basically the U.S. Marshals rated a booth.
[09:19.040 --> 09:23.480]  They confiscated all the product and shut these guys down.
[09:25.140 --> 09:26.440]  Yeah, yeah, it was crazy.
[09:26.440 --> 09:29.600]  I mean, there are a lot of knockoff looking things
[09:29.600 --> 09:34.600]  and I believe the Bloomberg article interviewed someone
[09:35.000 --> 09:37.160]  from the people who put together the show
[09:37.160 --> 09:41.200]  and they're kind of, as long as you're not,
[09:41.200 --> 09:44.060]  I forgot what the kind of limitations are
[09:44.060 --> 09:48.100]  but basically like don't be too fake, I think is the line.
[09:49.060 --> 09:52.160]  So in this case, that didn't work out.
[09:52.160 --> 09:54.600]  That's gotta be such a surprise to the vendor.
[09:54.600 --> 09:59.320]  It's like, you know what I mean, it's like there's,
[09:59.320 --> 10:03.880]  the culture of how we value knockoffs
[10:03.880 --> 10:06.200]  is so different between here and China.
[10:06.200 --> 10:09.160]  And it's obviously, the whole concept
[10:09.160 --> 10:10.600]  of intellectual property isn't really
[10:10.600 --> 10:13.980]  like an institutional cultural thing over there.
[10:15.280 --> 10:17.280]  Like there's no way that they would have,
[10:17.280 --> 10:19.120]  that had to be a complete surprise
[10:19.120 --> 10:20.980]  because if they would have thought it's even a possibility,
[10:20.980 --> 10:23.160]  they would have dialed it back.
[10:23.160 --> 10:26.160]  I think so, it seemed like they were surprised.
[10:26.160 --> 10:28.440]  I wasn't there and I actually tried to look for the booth
[10:28.440 --> 10:29.920]  but I couldn't really find it
[10:29.920 --> 10:32.880]  and it wasn't really worth putting a lot of effort into
[10:32.880 --> 10:35.720]  but that's the kind of stuff that goes on.
[10:35.720 --> 10:39.040]  But meanwhile, there's like 40 different drone companies
[10:39.040 --> 10:42.200]  and of all shapes and sizes,
[10:42.200 --> 10:46.640]  a bunch of companies who paid up big bucks for big booths
[10:46.640 --> 10:49.800]  like the size of an Intel booth from China
[10:49.800 --> 10:51.800]  that you really haven't heard of
[10:51.800 --> 10:53.800]  unless you're in the TV industry.
[10:53.800 --> 10:56.680]  So it was really fascinating.
[10:56.680 --> 11:00.240]  You realize how insignificant you are in the world
[11:00.240 --> 11:01.280]  when you're at CES,
[11:01.280 --> 11:04.360]  like there's just so much stuff you've never heard of
[11:04.360 --> 11:07.520]  and there's so many people who are doing stuff
[11:07.520 --> 11:09.780]  that is similar to what you're doing
[11:09.780 --> 11:11.200]  but you've never heard of before
[11:11.200 --> 11:16.200]  and you walk around exhausted, dehydrated
[11:16.300 --> 11:19.560]  and it's cool, I love it, it's great.
[11:19.560 --> 11:22.280]  Why are you dehydrated?
[11:22.280 --> 11:24.740]  Can't you get water?
[11:24.740 --> 11:25.920]  I guess.
[11:25.920 --> 11:28.680]  Yeah, I actually, I joke about this
[11:28.680 --> 11:31.080]  but like I almost set calendar reminders saying,
[11:31.080 --> 11:33.720]  okay, drink water right now, make sure you have lunch
[11:33.720 --> 11:34.920]  because then it's three o'clock
[11:34.920 --> 11:37.560]  and you haven't eaten lunch and you're falling asleep.
[11:37.560 --> 11:40.300]  I was carrying around a kind bar in my backpack
[11:40.300 --> 11:43.620]  just to make sure that if I needed some protein,
[11:43.620 --> 11:44.880]  I'd still be alive.
[11:44.880 --> 11:45.720]  I find that true.
[11:45.720 --> 11:50.000]  I do, I've developed the reflexive habit of always
[11:50.000 --> 11:51.740]  be drinking something in Vegas.
[11:51.740 --> 11:54.740]  So in the morning, you're guzzling coffee
[11:54.740 --> 11:57.360]  or afternoon whenever you wake up
[11:57.360 --> 12:00.080]  but then in the afternoon, it's like at any free moment,
[12:00.080 --> 12:02.360]  if you have an opportunity to put a water in your hand,
[12:02.360 --> 12:04.800]  do it and because it's like really,
[12:04.800 --> 12:09.100]  it's like in addition to the dehydrating effects of alcohol,
[12:10.500 --> 12:13.680]  the desert air really is a thing if you're not used to it.
[12:13.680 --> 12:15.400]  I mean, and it really, even if you weren't,
[12:15.400 --> 12:16.600]  even if you don't drink alcohol,
[12:16.600 --> 12:19.760]  I mean, you're gonna get dried out in Vegas.
[12:19.760 --> 12:22.760]  Shockingly, it was actually raining a couple of the days,
[12:22.760 --> 12:25.640]  which was super weird.
[12:25.640 --> 12:27.520]  Yeah, I remember I saw people completely,
[12:27.520 --> 12:29.560]  and it definitely makes everything worse
[12:29.560 --> 12:32.200]  because any temptation to walk is decreased.
[12:32.200 --> 12:34.380]  People actually dry, I've been out there when it rained
[12:34.380 --> 12:37.960]  and it's like people, the natives, the locals,
[12:37.960 --> 12:39.160]  they don't know how to drive in the rain.
[12:39.160 --> 12:42.860]  It's like just, it's not icy, obviously.
[12:42.860 --> 12:45.800]  It's usually even in the winter, above freezing.
[12:47.420 --> 12:48.840]  But the roads get a little wet
[12:48.840 --> 12:50.560]  and people are slipping and sliding.
[12:50.560 --> 12:52.760]  They don't even know how to drive on wet roads.
[12:53.680 --> 12:58.400]  Yeah, that was weird, but it didn't get too bad.
[12:58.400 --> 13:01.120]  So I brought an umbrella and I didn't have to use it.
[13:01.120 --> 13:02.320]  So it was fine.
[13:02.320 --> 13:03.760]  It was interesting though,
[13:03.760 --> 13:06.640]  and I definitely feel like going back,
[13:06.640 --> 13:08.040]  I'm definitely gonna go back next year
[13:08.040 --> 13:10.840]  from in the position too.
[13:10.840 --> 13:14.860]  I think that, and my advice to you would be,
[13:16.320 --> 13:17.800]  do think a little bit ahead of time
[13:17.800 --> 13:19.880]  and plan way ahead.
[13:19.880 --> 13:23.160]  I booked my hotel in, I wanna say November,
[13:23.160 --> 13:26.040]  and by then every good place was sold out.
[13:26.040 --> 13:28.620]  You really have to do it in August or September,
[13:28.620 --> 13:31.760]  whenever they open up reservations, just book it.
[13:31.760 --> 13:33.960]  And think a little bit ahead of time
[13:33.960 --> 13:36.360]  about what you wanna get out of it,
[13:36.360 --> 13:39.080]  but really save a lot of time to wing it
[13:39.080 --> 13:41.880]  because there's just gonna be stuff that
[13:41.880 --> 13:44.860]  either you don't know about until you get there or.
[13:44.860 --> 13:48.780]  I'm always confused by just the basic schedule of CES.
[13:48.780 --> 13:49.620]  Tell me if I'm wrong.
[13:49.620 --> 13:53.320]  I think the convention itself, the show floor,
[13:53.320 --> 13:55.060]  is Wednesday, Thursday, Friday.
[13:56.600 --> 13:58.400]  Yeah, and it changes.
[13:58.400 --> 14:01.000]  It was different this year though, actually.
[14:01.000 --> 14:02.520]  Maybe that's why I'm confused then.
[14:02.520 --> 14:06.240]  Yeah, I think this year it was Wednesday,
[14:06.240 --> 14:08.220]  Thursday, Friday, Saturday,
[14:08.220 --> 14:10.180]  but I think previous years it was Tuesday,
[14:10.180 --> 14:12.520]  Wednesday, Thursday, Friday.
[14:12.520 --> 14:14.760]  I don't know, it was definitely a day off this year
[14:14.760 --> 14:17.440]  to go later, I think because of the holiday.
[14:17.440 --> 14:19.000]  But everybody who covers it,
[14:19.000 --> 14:20.240]  or almost everybody who covers it,
[14:20.240 --> 14:21.280]  comes a couple days early
[14:21.280 --> 14:24.240]  because there's pre-show announcements.
[14:25.880 --> 14:27.160]  I don't know if they call them keynotes,
[14:27.160 --> 14:32.160]  but there's big keynote addresses that happen this week,
[14:32.160 --> 14:34.640]  like this year on Monday and Tuesday.
[14:34.640 --> 14:37.360]  There are press conferences and then there are keynotes,
[14:37.360 --> 14:39.520]  and they're separate, I guess.
[14:39.520 --> 14:42.200]  I don't know, I remember Steve Ballmer always did
[14:42.200 --> 14:45.280]  what was like the Sunday night warmup.
[14:45.280 --> 14:46.440]  Yeah, the kickoff.
[14:46.440 --> 14:48.760]  I don't know, this year there were some things,
[14:48.760 --> 14:50.920]  we were gonna go on Sunday,
[14:50.920 --> 14:53.040]  and then I think there may have even been some stuff
[14:53.040 --> 14:56.000]  Saturday, or at least Sunday,
[14:56.000 --> 15:00.160]  and we decided to fly in on Monday and then leave Friday.
[15:00.160 --> 15:03.160]  We did miss some stuff that had happened Monday,
[15:03.160 --> 15:06.760]  but Tuesday, the show floor was not open yet,
[15:06.760 --> 15:09.960]  although we got in to do a couple meetings.
[15:09.960 --> 15:12.960]  They escorted us in, and it was crazy.
[15:12.960 --> 15:15.760]  A lot of the booths were barely half-finished
[15:15.760 --> 15:17.440]  like the day before,
[15:17.440 --> 15:19.640]  and people were definitely there all night
[15:19.640 --> 15:20.780]  working to set stuff up.
[15:20.780 --> 15:24.340]  And it's absolutely like you could get killed
[15:24.340 --> 15:26.040]  by a machine any second.
[15:26.040 --> 15:28.480]  There were just lots of stuff going on.
[15:29.440 --> 15:33.200]  And then Wednesday is when it was totally open
[15:33.200 --> 15:35.280]  and just chaos.
[15:35.280 --> 15:38.120]  I had a guided tour of the Samsung booth,
[15:38.120 --> 15:41.700]  but it was really not useful for any of us
[15:41.700 --> 15:44.120]  because there were just so many people
[15:44.120 --> 15:46.320]  standing between you and the refrigerator
[15:46.320 --> 15:48.660]  with the TV on it that you could barely even see it.
[15:48.660 --> 15:50.860]  It was just absolute chaos.
[15:52.360 --> 15:53.840]  And most of that stuff was at
[15:53.840 --> 15:55.560]  the Las Vegas Convention Center,
[15:55.560 --> 15:57.960]  or was it split, like the show floor is literally split
[15:57.960 --> 16:00.680]  between the convention center and the Sands?
[16:00.680 --> 16:01.520]  Split.
[16:01.520 --> 16:06.120]  And I bet there's some sort of theme to it.
[16:06.120 --> 16:08.360]  So the basement of the Sands
[16:08.360 --> 16:11.240]  has a lot of very small booths.
[16:11.240 --> 16:14.560]  And that's actually one of the best things I did
[16:14.560 --> 16:18.120]  was I met up with a couple guys from Kickstarter,
[16:18.120 --> 16:21.880]  and they took me on a tour of the little,
[16:21.880 --> 16:23.860]  like the interesting startups
[16:23.860 --> 16:26.480]  that had all either done Kickstarters
[16:26.480 --> 16:28.480]  or were going to be doing Kickstarters.
[16:29.440 --> 16:30.700]  And that was actually really cool
[16:30.700 --> 16:32.800]  because there was a bunch of stuff I had never heard of,
[16:32.800 --> 16:34.940]  and it was all pretty good.
[16:34.940 --> 16:36.880]  There's just a lot of garbage everywhere.
[16:36.880 --> 16:38.920]  So you have to try to find the good stuff.
[16:38.920 --> 16:41.640]  That's the thing that I miss about Macworld.
[16:41.640 --> 16:43.640]  And Macworld was, you know, and it's,
[16:43.640 --> 16:45.400]  I've said that, you know,
[16:45.400 --> 16:46.720]  I'll say it again next year too,
[16:46.720 --> 16:49.000]  but the whole reason I never got into the habit
[16:49.000 --> 16:52.480]  of going to CES was that it overlapped with Macworld,
[16:52.480 --> 16:53.640]  and I went to Macworld.
[16:54.700 --> 16:56.140]  And then even when Macworld,
[16:56.140 --> 17:01.140]  like after like Macworld's multi-year slow demise
[17:01.600 --> 17:05.760]  from being a thing to being literally nothing,
[17:05.760 --> 17:08.120]  started with them moving the date around
[17:08.120 --> 17:10.400]  where they moved it to the end of January.
[17:10.400 --> 17:11.320]  And then there was the one year
[17:11.320 --> 17:14.560]  where they had a Super Bowl weekend, which was stupid.
[17:14.560 --> 17:16.840]  I forget, it went into February,
[17:16.840 --> 17:19.120]  I think before they finally pulled the plug.
[17:19.120 --> 17:21.200]  But even then when it wouldn't overlap,
[17:21.200 --> 17:22.800]  it just felt, that felt like too much.
[17:22.800 --> 17:24.800]  Like it felt like I don't want to go to two of these things
[17:24.800 --> 17:25.620]  if I don't have to.
[17:25.620 --> 17:27.040]  So I'll just keep going to Macworld.
[17:27.040 --> 17:29.220]  But that's one of the reasons I didn't get in the habit of it
[17:29.220 --> 17:31.820]  but one of my favorite things about going to Macworld
[17:31.820 --> 17:34.880]  without question was talking to the little booths.
[17:34.880 --> 17:37.480]  The little booths were always way more interesting
[17:37.480 --> 17:38.320]  than the big ones,
[17:38.320 --> 17:41.320]  because usually you get to talk to the actual principals.
[17:41.320 --> 17:44.040]  And there would always be, you know,
[17:44.040 --> 17:45.960]  at least a couple of booths that were like,
[17:45.960 --> 17:48.520]  wow, I did not even know that that was possible
[17:48.520 --> 17:50.640]  type products.
[17:50.640 --> 17:52.800]  Yeah, one of them I saw that was pretty cool
[17:52.800 --> 17:56.320]  was a very small booth of a company
[17:56.320 --> 17:58.680]  that makes this clip on camera
[17:58.680 --> 18:00.400]  that just kind of goes on your lapel.
[18:00.400 --> 18:02.840]  And it's not recording video all day.
[18:02.840 --> 18:06.540]  It's constantly doing image analysis and recognition
[18:06.540 --> 18:09.680]  and making a text list via API
[18:09.680 --> 18:11.760]  of all the stuff that you've seen that day.
[18:11.760 --> 18:12.600]  So.
[18:12.600 --> 18:13.920]  Wow, that's crazy.
[18:13.920 --> 18:15.080]  Yeah, it was very cool.
[18:15.080 --> 18:16.160]  I actually have to write it up.
[18:16.160 --> 18:17.600]  I took some photos of it
[18:17.600 --> 18:20.120]  and I'll write up a post about it.
[18:20.120 --> 18:22.900]  But, you know, and it's, this is the kind of thing
[18:22.900 --> 18:24.940]  where it's like, this is really cool technology.
[18:24.940 --> 18:27.020]  This could be a cool product in a couple of years
[18:27.020 --> 18:29.040]  or in a year, or it could be nothing,
[18:29.040 --> 18:31.000]  but here these guys are, you know,
[18:31.000 --> 18:35.840]  they got kind of a, you know, an okay looking booth
[18:35.840 --> 18:39.680]  and this really interesting technology that, you know,
[18:39.680 --> 18:40.680]  and it's actually kind of cool.
[18:40.680 --> 18:42.920]  Like, you know, and of course,
[18:42.920 --> 18:46.480]  with any camera that's always on privacy concerns,
[18:46.480 --> 18:49.380]  but you could maybe train it to your LinkedIn account.
[18:49.380 --> 18:51.200]  So it could tell you who you're looking at
[18:51.200 --> 18:52.920]  at a party or something like that.
[18:54.660 --> 18:56.280]  I don't know, it was interesting.
[18:56.280 --> 18:58.620]  And it was one of those things where it was like,
[18:58.620 --> 19:00.260]  all right, this is kind of the value
[19:00.260 --> 19:01.560]  of coming to a show like this
[19:01.560 --> 19:03.880]  because I never probably would have met
[19:03.880 --> 19:05.040]  these people otherwise.
[19:05.040 --> 19:07.620]  And it's not like you're standing
[19:07.620 --> 19:10.160]  in the gigantic Intel booth, not one, you know,
[19:10.160 --> 19:12.600]  wondering what you're doing there.
[19:12.600 --> 19:14.400]  So that was pretty cool.
[19:14.400 --> 19:17.620]  I saw there was an episode of,
[19:17.620 --> 19:19.960]  I mean, it's not a new idea,
[19:19.960 --> 19:24.560]  but the BBC show Sherlock, I think it was Sherlock,
[19:24.560 --> 19:28.140]  but there was like a billionaire magnate,
[19:29.280 --> 19:30.760]  bad guy sort of person.
[19:30.760 --> 19:34.520]  And he had like, he had just had regular wire rim glasses,
[19:34.520 --> 19:37.220]  but when they showed his first person perspective,
