[00:00.000 --> 00:03.000]  Hello there. Hello.
[04:08.000 --> 04:16.000]  I remember that there was a period in the early 2000s when the Giants were, I think they played like five or six years
[04:16.000 --> 04:19.000]  where they had like three games where they were eliminated.
[04:19.000 --> 04:26.000]  And most of those years, you know, the Giants have, I think, never won the division two years in a row, ever.
[04:26.000 --> 04:32.000]  But there was something good about that that they, they would get eliminated the last week of the season.
[04:32.000 --> 04:39.000]  And even if they didn't win the division of the wildcard, they, they weren't playing meaningless games to late September.
[04:39.000 --> 04:43.000]  And I realized that's in some ways a low bar, but I do kind of like that.
[04:43.000 --> 04:48.000]  The idea that you're always around and maybe some years you fall short and your five games out or whatever at the end.
[04:48.000 --> 04:59.000]  But, you know, when, when that all sort of fell apart and there were a couple of years there where they were out in like the end of August, it felt really strange because that's the thing you get used to is, you know, at least we're in it.
[04:59.000 --> 05:05.000]  We might not make it, but we're in it till almost it's the end of the, you know, it's the football season.
[05:05.000 --> 05:06.000]  It doesn't matter anymore.
[05:06.000 --> 05:07.000]  Yeah.
[05:07.000 --> 05:11.000]  I actually, that was actually one of the reasons I think as a boy that I became a Dallas Cowboys fan.
[05:11.000 --> 05:23.000]  And one of my favorite things about my, the Tom Landry era Dallas Cowboys was that I believe the number is 20 that they had 20 consecutive winning seasons where they won at least nine out of the 16 games.
[05:23.000 --> 05:24.000]  Right.
[05:24.000 --> 05:28.000]  And during that era, clearly the dominant team of that era was the Pittsburgh Steelers.
[05:28.000 --> 05:38.000]  The Steelers, I don't think, you know, the, the Cowboys I think took one from the Steelers, but the Steelers beat the Cowboys more than the, the, you know, the other way around and they won four in a row.
[05:38.000 --> 05:52.000]  And, you know, you, you could argue then that afterwards that the 49ers supplanted the Cowboys, the, the Joe Montana era 49ers and literally in one game, you know, there was like a passing of the torch with the catch.
[05:52.000 --> 05:59.000]  But the thing about that, that 20 consecutive winning seasons to me is that's, that's an incredible thing.
[05:59.000 --> 06:01.000]  You know, that's like an amazing consistency.
[06:01.000 --> 06:08.000]  And I think with Jeter, I, and again, I'm just talking off the cuff here, but I believe, and at one point I know it was true.
[06:08.000 --> 06:11.000]  Don't count last year because he only played 17 years because of the ankle.
[06:11.000 --> 06:17.000]  But in all the, all the seasons he said, full seasons with the Yankees, he's, he's only played one meaningless game.
[06:17.000 --> 06:24.000]  One time the last, and it was the last ever game at Yankee Stadium, the old Yankee Stadium.
[06:24.000 --> 06:25.000]  So it wasn't even meaningless.
[06:25.000 --> 06:32.000]  It was that that was the one game where they were now they're technically out of the playoffs, but it was the last game at the house that Ruth felt.
[06:32.000 --> 06:34.000]  So you could argue that it wasn't meaningless.
[06:34.000 --> 06:43.000]  It was actually very emotional and Jeter gave a speech to a completely sold out, completely, you know, emotional crowd.
[06:43.000 --> 06:49.000]  That's the magic of, yeah, I think there's, I think there's something we said for being in it.
[06:49.000 --> 07:02.000]  And, and like I said, that was a great era for the Giants when they, when you could count on, on maybe one hand, the number of meaningless games that they played over, of course, like four or five years.
[07:02.000 --> 07:03.000]  And they didn't win.
[07:03.000 --> 07:06.000]  Actually, you know, they got to the World Series one of those years and the rest of them.
[07:06.000 --> 07:08.000]  I think they, they went to playoffs once and the rest of them.
[07:08.000 --> 07:12.000]  They didn't even make the playoffs, but it was that thing of like you weren't playing out the string.
[07:12.000 --> 07:16.000]  You were, you were, the games were meaningful and even if you ended up on the wrong side of them, they were meaningful.
[07:16.000 --> 07:21.000]  And that, I know that sounds strange for, especially if you're like, well, a championship is the only thing that'll, that'll do.
[07:21.000 --> 07:30.000]  But there is something to going to a game and saying, hey, maybe something magical could happen here versus like literally these are two teams that are going nowhere and don't care anymore.
[07:30.000 --> 07:31.000]  Yeah.
[07:31.000 --> 07:32.000]  That's the worst.
[07:32.000 --> 07:33.000]  It's just absolute.
[07:33.000 --> 07:36.000]  That's the Astros playing the Padres and, yeah.
[07:36.000 --> 07:43.000]  But it's, you know, that's baseball, you know, and that's, that's, you know, it's a sport where, and, you know, we can get into complaints about the wild card and everything.
[07:43.000 --> 07:49.000]  But it's still, even with the wild card and even with the expansion of the wild card, it's still a sport we're just making it to the postseason special.
[07:49.000 --> 07:56.000]  I can't, I can't, I can't fathom the sports like the NBA where it's almost hard not to make the playoffs.
[07:56.000 --> 08:01.000]  Yeah, where it's just about seating and like clearing out the absolute drags.
[08:01.000 --> 08:02.000]  Right.
[08:02.000 --> 08:05.000]  And then you all play, you know, then, then you're in a tournament.
[08:05.000 --> 08:10.000]  You might as well, there's that one year where I think the NHL came back from a strike and they literally just did a tournament.
[08:10.000 --> 08:11.000]  Yeah, I do remember that.
[08:11.000 --> 08:13.000]  It's like we give up.
[08:13.000 --> 08:15.000]  Who needs a season?
[08:15.000 --> 08:17.000]  Oh, anyway, busy weekend.
[08:17.000 --> 08:19.000]  It's gonna be huge.
[08:19.000 --> 08:21.000]  I don't even know where to start.
[08:21.000 --> 08:25.000]  I think it's, so we're recording Sunday night.
[08:25.000 --> 08:27.000]  We're going to error this tomorrow.
[08:27.000 --> 08:28.000]  People will be listening on Monday.
[08:28.000 --> 08:32.000]  I think this is probably one of those episodes where people won't, won't wait around.
[08:32.000 --> 08:35.000]  If you did, and you waited around, then you're listening to it after the fact.
[08:35.000 --> 08:41.000]  But those of you listening on Monday, the end of September 2014.
[08:41.000 --> 08:51.000]  We're talking the prelude to Apple's big, well, we don't know what event, but we can make some pretty good guesses.
[08:51.000 --> 09:01.000]  It's gone for everybody thought it was going to be an iPhone event and maybe something else to it's quickly zeroed into iPhones and,
[09:01.000 --> 09:03.000]  quote unquote, a wearable.
[09:03.000 --> 09:04.000]  Right.
[09:04.000 --> 09:08.000]  Which is funny, because this is the event we always think of as the iPhone event.
[09:08.000 --> 09:10.000]  And the iPhone is Apple's biggest product.
[09:10.000 --> 09:12.000]  And this is by any measure.
[09:12.000 --> 09:16.000]  And I can only look at, like, I know what the mackerel traffic is like for the last few years.
[09:16.000 --> 09:19.000]  And people talk about, oh, Apple events are big.
[09:19.000 --> 09:21.000]  The iPhone event is of a scale.
[09:21.000 --> 09:26.000]  In terms of just general interest on the web, that is beyond any other Apple event of the year.
[09:26.000 --> 09:33.000]  The iPhone event always pins the needle in a way that an iPad event or a WWDC keynote,
[09:33.000 --> 09:35.000]  just doesn't.
[09:35.000 --> 09:39.000]  And so it's fascinating that everybody's suddenly, like, talking about the wearable thing,
[09:39.000 --> 09:43.000]  because without it, this would still be the biggest Apple event of the year.
[09:43.000 --> 09:46.000]  Yes, that's absolutely true.
[09:46.000 --> 09:55.000]  And I think what's weird about that, I was just talking offline with Dave off the show,
[09:55.000 --> 09:59.000]  not on the show, but with my friend Dave Whiskis about this over the weekend.
[09:59.000 --> 10:05.000]  And we were talking about with this, the rumors that there's going to be a wearable announcement.
[10:05.000 --> 10:07.000]  Call it the watch or whatever kind of thing it is.
[10:07.000 --> 10:09.000]  It doesn't really matter.
[10:09.000 --> 10:12.000]  But the rumor is that they're going to announce it.
[10:12.000 --> 10:16.000]  And then it won't, it may not ship right away.
[10:16.000 --> 10:18.000]  It may not even ship in calendar 2014.
[10:18.000 --> 10:21.000]  It might just be for whatever reason.
[10:21.000 --> 10:27.000]  And we got to speculating, well, why would they pre-announced something if it wasn't ready to go on sale yet.
[10:27.000 --> 10:31.000]  And in 2007, when the only time they really, I can remember them ever doing that,
[10:31.000 --> 10:35.000]  like a significant lead time, was with the original iPhone.
[10:35.000 --> 10:36.000]  Yeah.
[10:36.000 --> 10:37.000]  Yeah.
[10:37.000 --> 10:38.000]  Yeah.
[10:38.000 --> 10:41.000]  Whether that was the Macworld Expo in January and it didn't ship to July.
[10:41.000 --> 10:44.000]  Or was it June 27th?
[10:44.000 --> 10:45.000]  It was summer.
[10:45.000 --> 10:48.000]  It was, and it was late June, if it was June.
[10:48.000 --> 10:49.000]  I think it was like June 28th.
[10:49.000 --> 10:50.000]  And to June.
[10:50.000 --> 10:51.000]  Right.
[10:51.000 --> 10:52.000]  This is why we need a chat room.
[10:52.000 --> 10:55.000]  Because of course, there's somebody out there who is, you know, going.
[10:55.000 --> 11:00.000]  I remember that because my family and I were going to summer camp and we'd made the reservations like a year in advance.
[11:00.000 --> 11:03.000]  And I got the iPhone the day we were supposed to leave for summer camp.
[11:03.000 --> 11:05.000]  And so I reviewed the iPhone in a tent.
[11:05.000 --> 11:07.000]  I, you know what's funny?
[11:07.000 --> 11:14.000]  I, I went with Amy and, and her, some of her family to the shore in.
[11:14.000 --> 11:16.000]  We are my family.
[11:16.000 --> 11:18.000]  My family, I always goes to Jersey Shore.
[11:18.000 --> 11:22.000]  This was Ocean City, Maryland, where I'd never even been before the next day.
[11:22.000 --> 11:25.000]  Like I had stayed up all night and wrote like a first thought.
[11:25.000 --> 11:27.000]  And then we went to the shore.
[11:27.000 --> 11:33.000]  And I was, I have to, I think I, I try to be a good, you know, vacationer.
[11:33.000 --> 11:40.000]  You know, don't, don't stay, you know, attached to the internet and, you know, the stuff I usually do when I'm with my family.
[11:40.000 --> 11:43.000]  But with a brand new iPhone, it was, it was impossible.
[11:43.000 --> 11:47.000]  It was impossible to think of anything other than the iPhone that was in my hand.
[11:47.000 --> 11:52.000]  Yeah. Oh, yeah. I had a, we, and we had no cell service at the, at the camp.
[11:52.000 --> 11:58.000]  So I had to actually, I had to drive like 40 minutes down the mountain side to, to test like the phone part of it.
[11:58.000 --> 12:00.000]  But, but it was definitely summer.
[12:00.000 --> 12:06.000]  It was one of those things that like Apple was ruining every, every buddy's summer vacation because that was late June and yeah.
[12:06.000 --> 12:11.000]  Yeah. And if you were going to extend like a weekend trip to like the 4th of July, it was right smack dab there.
[12:11.000 --> 12:13.000]  Yeah, but that's six months, six full months between.
[12:13.000 --> 12:15.000]  I remember your review.
[12:15.000 --> 12:19.000]  When you say you had no cell service, you don't mean like, it was like one bar, whatever.
[12:19.000 --> 12:20.000]  It was like, no surface.
[12:20.000 --> 12:22.000]  You know, the little thing that says no surface.
[12:22.000 --> 12:24.000]  Right. Didn't even have the AT&T look.
[12:24.000 --> 12:27.000]  No, no, it was a complete, complete empty void.
[12:27.000 --> 12:38.000]  And so yeah, I went down the mountain about 25 minutes and sat pulled over by the side of the road basically when I had like a bar and made a couple of calls and did some data.
[12:38.000 --> 12:40.000]  Just, it was ridiculous.
[12:40.000 --> 12:45.000]  But that was, that was how I can always remember that it was summer vacation right around the end of June, beginning of July.
[12:45.000 --> 12:48.000]  And, and that was despite the fact that the event was Mack World Expo.
[12:48.000 --> 12:49.000]  So that was early January.
[12:49.000 --> 12:50.000]  So there's a huge process.
[12:50.000 --> 12:52.000]  But that allowed them to keep it secret, right?
[12:52.000 --> 12:56.000]  Which I think is the scenario here with this wearable is that we all know.
[12:56.000 --> 13:00.000]  I mean, not to get into more anecdotes, but like, I remember you went to New York.
[13:00.000 --> 13:05.000]  I was, since I'm in California, I went to Cupertino, but they did those briefings for mountain lion.
[13:05.000 --> 13:06.000]  Yes.
[13:06.000 --> 13:13.000]  And everybody walked into those briefings and basically was like, what the hell are you guys talking about?
[13:13.000 --> 13:17.000]  Because there have been no rumors about it that there was going to be a new version of OS 10 that soon.
[13:17.000 --> 13:19.000]  And I remember running into MGC glare afterward.
[13:19.000 --> 13:21.000]  And we looked at each other in both kind of mouth.
[13:21.000 --> 13:23.000]  Oh my God, right?
[13:23.000 --> 13:26.000]  And that's because, you know, Cupertino is pretty locked down.
[13:26.000 --> 13:30.000]  And so the iPhone was pretty locked down because it wasn't in the supply chain yet.
[13:30.000 --> 13:34.000]  And so many of these leaks like about the iPhone 6 come from the supply chain.
[13:34.000 --> 13:36.000]  And this wearable isn't in the supply chain yet.
[13:36.000 --> 13:40.000]  And people talk about FCC approvals, leaking things.
[13:40.000 --> 13:46.000]  And that may be true, but also like, if you announce it early enough, it's not outside Cupertino.
[13:46.000 --> 13:50.000]  And maybe, you know, some theoretical parts are.
[13:50.000 --> 13:52.000]  But the whole product is not in production.
[13:52.000 --> 13:54.000]  And that means they can make that splash.
[13:54.000 --> 13:55.000]  You can only do that once.
[13:55.000 --> 13:56.000]  Right.
[13:56.000 --> 14:00.000]  Yeah, that's exactly the point that I was making over the weekend.
[14:00.000 --> 14:05.000]  And privately is that Steve Jobs, and this is what was thrown in my face was,
[14:05.000 --> 14:10.000]  well, Steve Jobs said in 2007 that the reason they were pre announcing the iPhone was FCC.
[14:10.000 --> 14:13.000]  They didn't want to have it come out through FCC regulations.
[14:13.000 --> 14:15.000]  They're going to announce it now.
[14:15.000 --> 14:17.000]  They're going to put it through the regulatory process.
[14:17.000 --> 14:21.000]  They're going to put it through the carrier testing process with singular.
[14:21.000 --> 14:23.000]  And that would spoil the secret.
[14:23.000 --> 14:24.000]  And they wanted to show it to us now.
[14:24.000 --> 14:25.000]  And it's not quite finished.
[14:25.000 --> 14:29.000]  Software wise, but we'll be ready in six months.
[14:29.000 --> 14:35.000]  And that that wouldn't apply to a wearable because a wearable wouldn't need to get all the same regulatory stuff that a cell phone was.
[14:35.000 --> 14:37.000]  Which I don't know is true actually.
[14:37.000 --> 14:41.000]  I think maybe it does if it has, I don't know what the regulations are.
[14:41.000 --> 14:42.000]  I think it's got radios in it.
[14:42.000 --> 14:44.000]  It has to get some sort of process.
[14:44.000 --> 14:51.000]  Yeah, if it has, you know, this NFC or Wi-Fi or Bluetooth or it has to have some kind of connectivity presumably.
[14:51.000 --> 14:53.000]  But I think it's more than that though.
[14:53.000 --> 14:58.000]  See, here's, I think there's a huge difference between 2014 and 2007,
[14:58.000 --> 15:00.000]  which is in 2007.
[15:00.000 --> 15:04.000]  As big a deal as Steve Jobs' keynotes were to guys like me and you,
[15:04.000 --> 15:08.000]  people who listen to this show, people who read Mac world and they're in fireball.
[15:08.000 --> 15:09.000]  Right.
[15:09.000 --> 15:10.000]  We still hung on keynotes, right?
[15:10.000 --> 15:17.000]  We got up and gotten line to get in the keynotes at WWDC or we'd, you know, listen to the live feed and stuff like that.
[15:17.000 --> 15:18.000]  Yeah.
[15:18.000 --> 15:21.000]  But it was not that many people compared to today.
[15:21.000 --> 15:24.000]  And there was no, even all of the speculation,
[15:24.000 --> 15:28.000]  and there were so many rumor sites, there were tons, always have been Apple rumor sites.
[15:28.000 --> 15:32.000]  And Apple rumor sites have always been trying to, you know, get the goods on upcoming stuff.
[15:32.000 --> 15:39.000]  But there was nothing like the market of speculation for, for new iPhones and this pressure.
[15:39.000 --> 15:46.000]  And I think it's, you know, it's clearly financial pressure that there's money exchanging hands to get these
[15:46.000 --> 15:53.000]  prototypes and mockups and shell casings and screens and home screen buttons.
[15:53.000 --> 15:55.000]  And, you know, everything has leaked.
[15:55.000 --> 15:57.000]  I'm not saying that we know everything that the phone's going to do,
[15:57.000 --> 15:59.000]  but at least the parts have all leaked.
[15:59.000 --> 16:02.000]  I mean, there'll be updates somebody will find literally like,
[16:02.000 --> 16:05.000]  here's the volume buttons of the new iPhone.
[16:05.000 --> 16:06.000]  Yeah.
[16:06.000 --> 16:08.000]  And, you know, in the last couple of years,
[16:08.000 --> 16:10.000]  the first couple of years when that started happening, everybody was like,
[16:10.000 --> 16:12.000]  ah, it's got to be fake, fake, fake.
[16:12.000 --> 16:15.000]  And it ends up, it's like, yeah, that, you know, that was actually right.
[16:15.000 --> 16:17.000]  Well, the supply chain just, I mean,
[16:17.000 --> 16:21.000]  I think the economics of, of the people working in the supply chain,
[16:21.000 --> 16:25.000]  which is almost entirely in Asia, almost entirely in China.
[16:25.000 --> 16:29.000]  You know, there are so many people involved and, you know,
[16:29.000 --> 16:33.000]  culturally, it doesn't take that much for somebody who's not being paid very much
[16:33.000 --> 16:40.000]  to get paid a bribe basically to slide one of the 15 samples they've got to somebody else.
[16:40.000 --> 16:42.000]  And I think that's how business gets done.
[16:42.000 --> 16:46.000]  I mean, I really, I'm trying not to judge this because I think by their,
[16:46.000 --> 16:50.000]  their cultural standards, it's not that big a deal that's sort of how business gets done.
[16:50.000 --> 16:52.000]  And how competition happens.
[16:52.000 --> 16:56.000]  But from Apple's perspective, it's, you know, antithetical to what they want to do.
[16:56.000 --> 16:58.000]  Right. And so they have to do.
[16:58.000 --> 17:00.000]  And they can't do it now.
[17:00.000 --> 17:02.000]  They see they can't pre-enounce the iPhone.
[17:02.000 --> 17:08.000]  Let's just say, I've been avoiding the term, the iPhone 6 because I don't know what Apple's going to call it.
[17:08.000 --> 17:14.000]  And I, you know, that they, I certainly didn't predict that they would stop numbering iPads, right?
[17:14.000 --> 17:17.000]  They said iPad, iPad 2, and then they just went back to iPad.
[17:17.000 --> 17:20.000]  Right. New iPad.
[17:20.000 --> 17:22.000]  And then iPad Air and iPad Mini.
[17:22.000 --> 17:28.000]  So I'm, you know, they've stuck with this numbering and then stick an S after the number system for a while,
[17:28.000 --> 17:31.000]  but I am not making any predictions as to name.
[17:31.000 --> 17:34.000]  But I'll just say iPhone 6 as short hand.
[17:34.000 --> 17:36.000]  Yeah, short hand.
[17:36.000 --> 17:42.000]  They couldn't, they can't announce the iPhone 6, 6 months in advance to avoid these supply chain links,
[17:42.000 --> 17:45.000]  be leaks because they have to avoid the Osborne effect.
[17:45.000 --> 17:46.000]  Exactly.
[17:46.000 --> 17:50.000]  Even the iPad was a two month window between announced and ship.
[17:50.000 --> 17:54.000]  It's same deal because they weren't cannibalizing some other product when they did it,
[17:54.000 --> 17:58.000]  but now that once that product starts, once the clock starts ticking,
[17:58.000 --> 18:04.000]  then you've got a, you got to ship it fast because nobody's buying it between the day you announce and the day you ship it.
[18:04.000 --> 18:09.000]  Right. Because so, for example, and I'm sure I've spoken to Apple store employees
[18:09.000 --> 18:13.000]  and people who've worked at Apple stores, you know, have written to me during a firewall,
[18:13.000 --> 18:17.000]  that people come in all the time and they're like, Hey, I hear there's a new iPhone coming out.
[18:17.000 --> 18:18.000]  It's going to be bigger. What do you get?
[18:18.000 --> 18:21.000]  And they can honestly say, we don't know anything about it.
[18:21.000 --> 18:23.000]  They don't tell us stuff like that. We don't know.
[18:23.000 --> 18:26.000]  Here's the iPhones we have today. I can tell you all about them.
[18:26.000 --> 18:32.000]  If they pre announce it in June and then somebody comes in in July and says,
[18:32.000 --> 18:34.000]  I hear there's going to be a big iPhone coming out.
[18:34.000 --> 18:37.000]  I'd like, that sounds interesting to me. To be honest, they would have to say,
[18:37.000 --> 18:43.000]  yeah, you're right. It's, you know, we've pre announced that it's coming in September.
[18:43.000 --> 18:47.000]  I'll lay away plan for you. Yeah. We'll see you then.
[18:47.000 --> 18:52.000]  And they can't do that. You know, so I think, and as big as the iPod was,
[18:52.000 --> 18:57.000]  and I often win a money's podcast, I often start mixing up my iPod's and pads,
[18:57.000 --> 19:00.000]  but the iPod, really, the music player.
[19:00.000 --> 19:04.000]  As big as it was and as much as it kind of made Apple,
[19:04.000 --> 19:08.000]  the household company outside the Mac community, you know,
[19:08.000 --> 19:12.000]  that it became a decade ago, you know,
[19:12.000 --> 19:15.000]  we all used to make jokes when Apple first started opening retail stores,
[19:15.000 --> 19:18.000]  and you'd be walking through the mall and you'd hear a kid say,
[19:18.000 --> 19:21.000]  mom, I want to go to the iPod store. Right.
[19:21.000 --> 19:25.000]  I mean, I heard that several times from, you know, not from the same kid.
[19:25.000 --> 19:29.000]  The iPod was nothing like the iPhone.
[19:29.000 --> 19:34.000]  I, there was no, no market like this for,
[19:34.000 --> 19:40.000]  oh my God, here's the pre release, you know, screen of the new iPod,
[19:40.000 --> 19:43.000]  or the, here's the, here's the new circle rocker.
[19:43.000 --> 19:45.000]  What do we call that? What was that thing called?
[19:45.000 --> 19:48.000]  The click wheel? Yeah, the click wheel.
[19:48.000 --> 19:52.000]  Yeah, you know, the people, even people who think they follow this stuff,
[19:52.000 --> 19:55.000]  don't always understand the scale of the iPhone that like,
[19:55.000 --> 19:59.000]  I think, okay, this is going to be wrong, but like I think your,
[19:59.000 --> 20:05.000]  your run of the mill brand new iPhone model probably sells more than the entire iPod line has ever sold.
[20:05.000 --> 20:07.000]  Probably in just a couple of months. I mean,
[20:07.000 --> 20:10.000]  the scale is, it's not even the same number scale.
[20:10.000 --> 20:17.000]  The iPhone is so much more popular a product than even the iPod was in its heyday.
[20:17.000 --> 20:21.000]  Yeah, it's just unfathomable and this pressure is to, and you know, like from that,
[20:21.000 --> 20:26.000]  I think it's largely from, it's not from the,
[20:26.000 --> 20:30.000]  I think, I don't think it's from the rumor sites,
[20:30.000 --> 20:33.000]  the people who publish these leaks.
[20:33.000 --> 20:40.000]  I don't think that the money that they get from the page views that come in from the reports
[20:40.000 --> 20:43.000]  comes close to covering the sort of,
[20:43.000 --> 20:45.000]  I know it's like you, I don't want to pass judgment,
[20:45.000 --> 20:50.000]  but effectively the bribery that's going on and theft in some cases.
[20:50.000 --> 20:55.000]  It's the, I think it's the case makers.
[20:55.000 --> 20:56.000]  Yeah.
[20:56.000 --> 21:00.000]  Because there, there's so much pressure to get your case to market and Apple
[21:00.000 --> 21:05.000]  isn't going to tell them the measurements of the new phone until it's out.
[21:05.000 --> 21:09.000]  And yeah, and I get, I mean, we see,
[21:09.000 --> 21:12.000]  there are cases like for the new iPhone that are being,
[21:12.000 --> 21:14.000]  I get PR sometimes from people who say,
[21:14.000 --> 21:19.000]  we've got the new iPhone case weeks before the new iPhone has even been announced because they're confident.
[21:19.000 --> 21:22.000]  And in that business, I think there's this feeling like,
[21:22.000 --> 21:28.000]  if I can make 5,000 silicone cases based on these dimensions that I think are accurate,
[21:28.000 --> 21:31.000]  and I can ship them into the channel in advance,
[21:31.000 --> 21:34.000]  then the data that phone drops will be there.
[21:34.000 --> 21:37.000]  And if, and somebody's going to be there and it better be us,
[21:37.000 --> 21:39.000]  because if we wait to make sure it's right,
[21:39.000 --> 21:41.000]  somebody is going to beat us to the punch.
[21:41.000 --> 21:43.000]  And so they're motivated to get it right,
[21:43.000 --> 21:46.000]  and I'm sure there are times when they don't get it right,
[21:46.000 --> 21:49.000]  if they gamble because if their intel is right,
[21:49.000 --> 21:55.000]  and the mold that they've made based entirely on parts and hearsay and whatever,
[21:55.000 --> 21:59.000]  if it fits, then they can immediately ship it to the channel and sell those
