[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[02:40.440 --> 02:42.480]  So we lost a little bit today. That was good
[02:42.480 --> 02:47.400]  Like depth wise if I look outside a small child would still be buried
[02:48.400 --> 02:51.400]  Like we got it. We got a good couple two three four feet
[02:52.720 --> 02:54.720]  It's crazy
[02:55.200 --> 02:59.600]  Which also doesn't help when you need to get a fridge in and it's you know, like I'm saying this whole thing
[02:59.600 --> 03:03.880]  It's not like I'm I'm just saying no I refuse to buy a new fridge. I'm trying to buy a new fridge
[03:04.520 --> 03:06.520]  It's still a whole headache
[03:06.520 --> 03:12.080]  It's just one of those things you just never really anticipate and having to do without
[03:12.880 --> 03:18.120]  No, exactly. I've never and I've never had to buy one either. I've never bought appliances before for example
[03:18.120 --> 03:23.320]  Imagine like if you're give your toilet stopped working like that could happen, right? Especially
[03:24.360 --> 03:25.000]  You know
[03:25.000 --> 03:28.760]  I think it's a lot more likely that let's say if you live in a small apartment with only one
[03:29.040 --> 03:34.120]  Toilet that it could break and then you know, you obviously you would you would accelerate, you know
[03:34.120 --> 03:38.440]  You call your plumber and explain the situation and hopefully get it expedited service
[03:38.440 --> 03:43.920]  But in the meantime, I feel like it would it would never stop you. You just every 15 minutes
[03:43.920 --> 03:47.080]  You'd forget and you'd go to pee just go and use the toilet again
[03:47.080 --> 03:51.360]  Well, not that you would actually use it. I'm sure that by time, you know, you look at the broken toilet
[03:51.360 --> 03:53.360]  you realize ah crap, but it's like
[03:54.520 --> 03:59.160]  What would you do? I mean, I guess you'd like pee in a jar or something. I don't know. I guess I don't know
[03:59.160 --> 04:01.520]  I hopefully that doesn't come up. We got a couple bathrooms
[04:01.520 --> 04:05.280]  So that one I should be good on that one, but only got one fridge, right?
[04:05.280 --> 04:10.520]  But it's the same, you know, you just take modern, you know, these modern luxuries for granted
[04:10.520 --> 04:15.120]  We don't even think of them as luxuries, but they are. Oh, yeah. Well, it's funny. I was talking to my grandmother
[04:16.240 --> 04:19.960]  She's 90 years old and she used to have an icebox like a literal icebox
[04:20.280 --> 04:23.360]  Where they would put a piece of ice in there to keep things cold
[04:24.440 --> 04:28.760]  right, it's just like a big steel box and then a guy would come once a week with like a
[04:28.760 --> 04:35.200]  A chunk of like 20 pound block of ice. Yeah, like a microwave oven sized block of ice, right and drop it in there
[04:35.200 --> 04:37.200]  and then that would yeah, you'd keep your
[04:37.600 --> 04:41.760]  Keep your perishables in there. Well, the thing she told me is that you you had to drain it all the time
[04:41.760 --> 04:46.380]  We're obviously ice melt. That's that's a huge pain in the ass. You're draining your fridge once a day, right?
[04:47.400 --> 04:49.400]  It's crazy
[04:49.400 --> 04:59.040]  But we take it for granted. I have a new appreciation for the goddamn refrigerator. Yeah. Well, I'll trade you problems. I
[04:59.040 --> 05:04.520]  Don't know. Yeah. Oh, I would trade you in a heartbeat. You could have my toilet and my
[05:05.400 --> 05:08.840]  Well, do I have to start from scratch or do I start from where you are now?
[05:08.840 --> 05:14.840]  I just start from where I am now and and you start from where I am cuz like I feel like I'm I'm near in the
[05:14.840 --> 05:20.320]  End. Oh, you could I'll go back to the beginning of yours all the way. I don't know. I don't know
[05:20.320 --> 05:24.600]  I had I had a lot of 8 a.m. Wake-up calls for this John the service people try and come at 8 a.m
[05:25.280 --> 05:27.280]  You wouldn't like that. Ah
[05:27.320 --> 05:34.480]  You know I had I had 8 a.m. Follow-up with my surgeon. All right. All right. So what's the difference?
[05:34.760 --> 05:37.300]  So here's the thing. I got to talk about it. So
[05:37.820 --> 05:41.880]  because it's gonna come out within the next week because I'm missing the Apple event so a week ago I
[05:41.880 --> 05:47.120]  Suffered a detached retina in my left eye, which is not good
[05:49.200 --> 05:55.440]  This that's like a you can't see type of situation they're supposed to say just to stay attached. All right, so that was
[05:56.240 --> 05:57.640]  Tuesday
[05:57.640 --> 06:03.160]  Wednesday one day later. I had surgery at the Wills Eye Hospital right here in Philadelphia
[06:05.520 --> 06:07.880]  And ours on Yelp five stars
[06:07.880 --> 06:14.620]  They do advertise themselves as the world's finest eye hospital. So I've got that going for me
[06:16.960 --> 06:18.440]  But the
[06:18.440 --> 06:25.120]  This is not a a quick recovery. This is a long slow recovery and in the procedure that I had involves a
[06:26.440 --> 06:28.040]  gas bubble
[06:28.040 --> 06:30.400]  injected in the back of my eye that that
[06:30.400 --> 06:37.280]  It holds the repaired retina in place. So like right in front of the guy went in
[06:37.280 --> 06:39.280]  He repaired my retina
[06:39.280 --> 06:40.600]  then
[06:40.600 --> 06:45.840]  At the very end of this procedure, they put a gas bubble back there and that's crazy, right?
[06:45.840 --> 06:50.820]  I mean it you told me this it's it's when they told me I thought they were making it up
[06:52.040 --> 06:57.840]  It's like a little guy is pushing the retina all the time though, right a little bubble a little bubble
[06:57.840 --> 07:02.120]  But it's like it's like you got a little dude in there. Just keeping everything in place. Yeah, keeping it in place
[07:02.120 --> 07:05.120]  So it is I was very confused at first
[07:05.120 --> 07:10.400]  I I thought it was that they were saying that it was like a sack or like a balloon filled with gas or something
[07:11.040 --> 07:14.560]  And then I thought this sucks cuz then you know, obviously at some point
[07:14.560 --> 07:18.360]  I'm gonna have to go back and they're gonna have to take this thing out. But no, it's just a gas bubble
[07:18.360 --> 07:21.360]  They just inject the gas and my eye will naturally
[07:21.360 --> 07:28.520]  Absorb it over the course of six to ten weeks and it will shrink it'll shrink in my field of vision
[07:29.560 --> 07:31.560]  but anyway long story short
[07:32.240 --> 07:34.240]  one of the one of the
[07:35.520 --> 07:38.480]  Results of this is that while I have this gas bubble in my eye
[07:38.480 --> 07:43.440]  I cannot step foot on an airplane or at least I can't step foot in an airplane that is up in the air
[07:43.880 --> 07:48.880]  And you're probably not supposed to climb mountains. No, I well that's record recommended against
[07:48.880 --> 07:50.200]  Okay
[07:50.200 --> 07:55.960]  Altitude changes. So another way it was explained to me is absolutely positively. No, no airplanes
[07:56.960 --> 07:59.640]  If you can avoid it, don't go to the Poconos or anything like that
[08:00.400 --> 08:01.860]  Okay
[08:01.860 --> 08:07.820]  What about Denver or like well, I would ever I would presume if if the Poconos are are out Denver
[08:07.820 --> 08:09.820]  We Denver's definitely Denver's definitely out
[08:10.840 --> 08:16.040]  And you know, how would I get to Denver and you know, I'd have to be a long drive long drive. Yeah
[08:16.040 --> 08:23.560]  So I will miss the Apple event which is seven we're recording right now on Monday March 2nd seven days from now
[08:23.560 --> 08:28.800]  I will not be able to to make that but they got a live stream. Yeah, I hope so. I don't know
[08:28.800 --> 08:30.400]  It'll be weird. It's sort of like the old days
[08:30.400 --> 08:34.400]  I mean, it's you know, at least for the first half of the run at daring fireball
[08:34.400 --> 08:38.560]  I never went to the press events. So I got it back out
[08:39.240 --> 08:45.360]  Unfortunately of the wool conference too, which is at the end of the month. I said you should just cruise over to Ireland
[08:45.360 --> 08:49.040]  Yeah, that would be the option. So that that conference is in Ireland
[08:49.040 --> 08:55.260]  I guess my only I think that would be my only option would be to to cruise there. I looked it up
[08:55.260 --> 08:59.280]  I think it's like an eight-day each way cruise, which you would have to do and
[08:59.960 --> 09:05.800]  I don't know that they run them until like April or May because it's pretty cold out there right now
[09:06.040 --> 09:08.560]  Right because it wouldn't even be enough to get to
[09:09.360 --> 09:12.440]  England because you know you think you know
[09:12.440 --> 09:17.600]  like when you're booking flights to Ireland or something like that if it goes through Heathrow or something you don't really give it any second
[09:17.600 --> 09:19.160]  thought because it's like
[09:19.160 --> 09:25.340]  It like a 15-minute flight, you know, I mean, right, but if you can't get in an airplane, you know
[09:25.340 --> 09:27.800]  like the difference between England and Ireland is actually
[09:28.760 --> 09:31.060]  Pretty significant. It's decent. Yeah
[09:31.800 --> 09:37.880]  Like it never really it never really matters when you're flying everywhere that Ireland is actually, you know an island
[09:37.880 --> 09:42.000]  But once you can't get in a plane, yes, it's better. Well
[09:42.720 --> 09:48.100]  So you've you've had to bail on you're bailing on the watch event. Unfortunately, you're bailing on this conference
[09:48.840 --> 09:52.960]  Yeah, are you are you just in a bed? What do you have to do? Do they let you walk around?
[09:53.060 --> 09:57.760]  Yeah, I am allowed, you know, obviously, I mean there's been no disruption on
[09:59.840 --> 10:01.840]  During fireball I
[10:01.880 --> 10:07.480]  Even I was posting it was so it's just weird with the way modern anesthesia works. It's just crazy
[10:07.480 --> 10:09.380]  It's like at
[10:09.380 --> 10:13.340]  Eleven o'clock. I was high as a kite. They didn't fully put me under
[10:14.200 --> 10:16.960]  Which is terrifying and I know like for anybody who's out there
[10:16.960 --> 10:22.120]  It sounds absolutely positively terrifying that you're awake for some kind of operation on your eye
[10:22.240 --> 10:25.440]  But you're poking at your eye. You're so far out of it
[10:26.480 --> 10:31.700]  That it it really I actually found it to be rather enjoyable like and and modern
[10:32.400 --> 10:33.840]  anesthesia
[10:33.840 --> 10:38.200]  You know, I've had unfortunately, you know more of it than I would like lately
[10:39.680 --> 10:45.520]  They've really gotten good at making not just putting you under not just making sure that you're out or whatever
[10:45.520 --> 10:47.760]  But actually like making your mood
[10:49.280 --> 10:56.040]  Euphoric like these guys during or after during okay, like when you're in the operating room they at least
[10:56.560 --> 10:58.560]  with the fine
[10:58.800 --> 11:00.800]  Anesthesiologists at Wills Eye Hospital
[11:00.800 --> 11:07.520]  You you feel good. So now you're kind of wishing that they had to go back in there and pull this little sack out
[11:08.040 --> 11:10.040]  Well, no, I wouldn't go that far
[11:11.520 --> 11:13.520]  Wasn't that good. No, it wasn't that good
[11:14.320 --> 11:16.320]  But there were moments when I was you know
[11:17.600 --> 11:24.320]  Sort of kind of they're like aware of my what I was going on and I have to say it was sort of a euphoria
[11:24.320 --> 11:29.440]  It was it was a very good feeling but I so the procedure was like an hour long or so
[11:29.440 --> 11:35.840]  You know, so 11 to 12. I'm in there. They're operating. I'm out of it for the most part but not unconscious but
[11:36.600 --> 11:39.800]  And there were moments where I could hear my surgeon talking
[11:41.360 --> 11:47.940]  And you know, it was bizarre it's it's but it's you're so high so crazy crazy high
[11:48.400 --> 11:50.400]  It you know
[11:50.720 --> 11:56.040]  Do you remember anything? He said like should he should he be careful about what he's saying when he's working on you?
[11:56.040 --> 12:01.520]  Yeah, obviously I'm at one point he was talking about some kind of fold and it was very very clear to me
[12:01.520 --> 12:04.800]  And he was it was a very reassuring. It was it was like
[12:05.320 --> 12:08.480]  he an air of competence and
[12:08.840 --> 12:16.340]  Okay, precision that was inspiring but it was he was and he was clearly talking to his fellow like
[12:18.300 --> 12:20.400]  You know, I don't know if they call him resident anymore
[12:20.400 --> 12:24.920]  They call them fellows but in other words a young doctor who's like his padawan effect
[12:24.920 --> 12:30.200]  Okay, his practice. It was clear that he wasn't talking to anybody else in the ER. He certainly wasn't talking to me
[12:30.240 --> 12:32.240]  He was talking to his
[12:32.840 --> 12:34.840]  fellow
[12:35.120 --> 12:37.120]  And it was something about a
[12:37.120 --> 12:42.360]  Fold like in the corner or something something something fold and that you don't want to do it like that
[12:42.360 --> 12:44.720]  You want to do it like this and it was you know
[12:45.160 --> 12:49.140]  Super bait did they give you like a little I talked did they do a little work while you were under?
[12:49.880 --> 12:52.600]  No, no the retina. It was definitely about the retina
[12:52.600 --> 12:56.760]  It was all right at the some part of the torn proportion of the retina
[12:56.760 --> 12:59.840]  I don't know that it was folded under I don't know something about a fold
[12:59.840 --> 13:03.140]  I don't know. Maybe they throw in a little plastic surgery while you're under
[13:04.120 --> 13:06.800]  Well, I don't know if so, that didn't really help me much
[13:09.080 --> 13:12.360]  But anyway, so you were out and then and then you're back to work
[13:13.180 --> 13:19.040]  By 3 o'clock. I'm you know, I like noon 11 to 11 to noon is like my surgery
[13:19.040 --> 13:26.140]  You know 1230 or so is when I remember seeing Amy in the recovery room
[13:28.240 --> 13:32.880]  You know, so apparently I was still out for maybe a half hour after the procedure was over and
[13:33.600 --> 13:39.940]  I was definitely, you know unsteady not right, you know, it's good. It's a good thing that they made they make you have like a
[13:41.000 --> 13:43.440]  They don't sign you out on your own like Amy
[13:43.440 --> 13:50.000]  Yeah, yeah, um, but we literally I mean this is I mean obviously this whole situation is a
[13:50.680 --> 13:53.720]  very unfortunate run of bad luck, but there's all sorts of
[13:54.560 --> 13:56.560]  it's mixed in with little bits of
[13:57.120 --> 13:58.760]  Good luck
[13:58.760 --> 14:02.960]  Like just by pure coincidence. We certainly didn't pick our house because of it
[14:02.960 --> 14:08.720]  But we literally live four blocks away from Wills Eye Hospital. It's less than a five-minute walk
[14:08.720 --> 14:14.640]  It isn't we live incredibly close. So we walked home, you know, and did you walk there and back? Yeah
[14:15.360 --> 14:21.040]  All right. I mean, it's we lives. It's so close that it wouldn't there's no better way to do it, right?
[14:21.400 --> 14:25.080]  You know if the way if it were raining or something, I guess we could take a cab, you know
[14:25.080 --> 14:27.440]  But it would it would make zero sense to drive. I
[14:28.320 --> 14:31.920]  Mean, there's I mean, I think some people you know, they do have a parking garage
[14:31.920 --> 14:34.240]  so it would be closer than our house, but it's I
[14:34.240 --> 14:38.720]  Think by the time you waited for the elevator in the parking garage and it's all said and done
[14:38.720 --> 14:41.960]  It probably takes about the same amount of time to walk in the front door as it does for my house
[14:43.120 --> 14:46.760]  So we walked home and by like three o'clock I was writing and reading
[14:47.400 --> 14:53.120]  Working during fireball. It's crazy. But now what day was this? Cuz maybe we should look at this and yeah, maybe that was
[14:54.320 --> 14:59.440]  Wednesday, so it would have been Wednesday. It's the 25th. I think yeah, I
[14:59.440 --> 15:06.080]  I love to check and see if it if any of it makes sense. That did actually occur to me
[15:07.520 --> 15:09.640]  Maybe I should maybe I shouldn't have done
[15:10.680 --> 15:13.160]  Were there any odd posts on Wednesday? I don't know
[15:13.920 --> 15:16.000]  Let me see here. I'm scrolling down
[15:17.440 --> 15:20.920]  Uh, I don't think so. It looks pretty normal
[15:22.960 --> 15:25.160]  All right, they do give you a piece of paper
[15:25.160 --> 15:29.480]  I think I sent this to you because I knew that you would enjoy it. Yeah, here's Wednesday. I
[15:29.880 --> 15:32.600]  Don't think I was very busy here. Got far had managed you
[15:33.120 --> 15:35.120]  Google plans new headquarters
[15:38.040 --> 15:42.240]  Yeah, I think it was you know was obviously I was not a prolific but
[15:43.520 --> 15:46.840]  You know, I could read and write. All right
[15:50.080 --> 15:52.080]  What were we saying or is it I
[15:52.080 --> 15:55.960]  Were just talking about how you've got a you know, you got a bail on this stuff
[15:55.960 --> 15:58.160]  But and I'm sharp as a tack that there's no long-term
[15:59.080 --> 16:01.240]  repercussions of the sedatives that they had me
[16:01.680 --> 16:05.000]  You know, I mean it's the basics just though when they first told me that though
[16:05.000 --> 16:08.080]  I I you know, you hear what you want to hear and my thought is well
[16:08.560 --> 16:12.400]  You know, I'm not supposed to fly but I guess I can still do it. But no, it's not like
[16:12.960 --> 16:19.360]  You know, maybe you shouldn't fly. This is you you go blind if you fly. Yeah, I hear gas bubble in the eye
[16:19.360 --> 16:24.480]  I think probably probably don't want to change my my elevation too much. Yeah
[16:24.480 --> 16:28.120]  Well, you know like when you take a sealed bag of chips on a plane like you buy it at the airport
[16:28.320 --> 16:32.320]  You buy a bag of chips and you take them on the plane and then when you open it up mid-flight
[16:32.320 --> 16:36.760]  It's puffed out like a balloon because you can change an air pressure. You don't want that in your eyeball
[16:36.760 --> 16:41.560]  No, that would I mean, I think that's exactly what would happen. I'm not sure that my eye would burst but
[16:42.200 --> 16:46.040]  It's it doesn't seem like it's out of the question. I
[16:46.040 --> 16:51.640]  I wouldn't risk it. It would be like that. What was that stupid commercial where the guy was like
[16:53.160 --> 16:58.400]  The guy's getting on an airplane and it's like his back hurts and he's oh it's like a Tylenol or something commercial
[16:58.400 --> 17:03.600]  Yeah, no, but she's like we have aspirin and he goes aspirin. I'm not having not having a heart attack
[17:03.760 --> 17:06.560]  I'm not having a heart attack my back hurts. I
[17:08.600 --> 17:10.600]  Think that guy was a real racist, don't you?
[17:12.520 --> 17:14.520]  Why why a racist
[17:14.520 --> 17:20.500]  Because it was clearly an international flight and she was I think I think was a Japanese airline and she's
[17:20.920 --> 17:23.720]  He's talking to her as if like she doesn't understand English
[17:25.000 --> 17:31.400]  Like no, no, I'm not having a heart attack. It's my back. She's like, yeah dumbass. Here's some aspirin
[17:31.400 --> 17:37.520]  I didn't read it to that. I just got that like at bear they've had a meeting where they've been so successful
[17:38.360 --> 17:42.200]  With this, you know the way that the aspirin is now prescriber, you know
[17:42.200 --> 17:46.720]  Like if people over a certain age is supposed to pop one aspirin a day and it just somehow
[17:47.400 --> 17:52.840]  Reasons they you know don't understand don't really know but they just clinical studies show if pop an aspirin a day
[17:52.840 --> 17:59.960]  There's less chance of heart attack or something. I guess it's something like that. But you know aspirin I've read about it a while ago
[17:59.960 --> 18:05.480]  Like nobody really has any idea how aspirin works like aspirin was just some because it's ancient, you know, we're not right, right?
[18:05.480 --> 18:09.520]  It's like 5,000 years old. We just know it works. I don't even know if it's 5,000 but it's you know
[18:09.520 --> 18:13.960]  It certainly was was widely used like, you know in the 1800s or at the end of the 1800s
[18:13.960 --> 18:18.880]  And and you know, it was like in the snake oil era and it was something that actually did work
[18:18.880 --> 18:20.880]  You know, it does actually decrease pain
[18:23.440 --> 18:24.840]  But I
[18:24.840 --> 18:25.440]  You know
[18:25.440 --> 18:31.920]  You just know the meeting that they had where they're like well now everybody's forgotten that you can take aspirin for pain relief. Nobody's forgotten
[18:33.080 --> 18:35.200]  No one thinks it's only for a heart attack
[18:35.200 --> 18:42.040]  Well, could you imagine can you imagine like hitting that little thing to call the flight attendant ding and come by?
[18:42.040 --> 18:46.040]  I'm holding my eye and I'm like, do you have any aspirin my my eyeball just burst?
[18:49.760 --> 18:56.920]  Is it in your hand or is it what are you picturing I'm picturing just like a water balloon that pops like it's just gone
[18:56.920 --> 19:02.040]  It's just gone and I've just and maybe a couple wet naps to clean up around. Yeah
[19:02.040 --> 19:04.040]  Oh
[19:04.060 --> 19:09.580]  Also, can you imagine like if you know if you somebody was sitting next to me and
[19:10.800 --> 19:18.100]  Having to apologize because your your eyeball just burst all over them. Well, you just hold the air sick bag up to your face. Yeah, I
[19:19.080 --> 19:21.080]  guess
[19:21.980 --> 19:25.420]  Well, anyway, I'm not gonna find out good plan good plan
[19:25.420 --> 19:31.180]  All right, 1853 is when we discovered aspirin I thought it was older than that
[19:31.180 --> 19:35.820]  Yeah, I knew it wasn't ancient, but I knew it was like, you know, like a Wild West you're a you know
[19:35.820 --> 19:41.540]  right discovery and it just it's crazy because I don't I it might be the one and only medical treatment from
[19:41.900 --> 19:43.900]  1853 that it's still in here
[19:49.420 --> 19:53.060]  Let me take a break and thank our first sponsor why not
[19:53.060 --> 19:59.740]  Since we're talking about eyeballs. Why not? Talk about our good friends at Warby Parker. Yes, is it really it is
[20:01.260 --> 20:03.260]  Oh, it's a jackpot
[20:05.020 --> 20:08.540]  Go on I'm sorry our next sponsor by the way is bear
[20:09.820 --> 20:14.440]  No, it's our good friends at Warby Parker. You guys know Warby Parker
[20:14.440 --> 20:19.860]  This is where you go online and you buy eyeglasses and they've got a whole bunch of cool styles to pick from
[20:19.860 --> 20:25.320]  Really great prices the whole idea is that the guys who founded the company, you know
[20:25.320 --> 20:30.320]  They're like, how come eyeglasses cost like $800 when you go to like a place to get good-looking eyeglasses
[20:30.320 --> 20:32.320]  Well, guess what? They don't have to
[20:33.200 --> 20:35.600]  Warby Parker's progressives start at
[20:36.360 --> 20:38.360]  295 including frames
[20:39.000 --> 20:41.280]  It's for the the older people out there
[20:41.460 --> 20:46.900]  Who've got your distance prescription at the top and a transition to a reading lens near the bottom
[20:46.900 --> 20:51.580]  To 95 that's unheard of it's way less than what you'd pay at the retail places
[20:53.740 --> 21:00.500]  They use what's called a digital freeform lens, which is the most advanced progressive technology
[21:00.500 --> 21:06.180]  It's applied digitally with a computer. So the design is far more precise than traditional models of progressives
[21:07.140 --> 21:12.020]  It also provides a larger field of vision. So it's just it looks better
[21:12.020 --> 21:14.660]  You don't see the line between the lenses like you used to in the old days
[21:14.660 --> 21:18.840]  And it gives you a better bigger field of vision
[21:20.180 --> 21:22.620]  The other big thing that Warby Parker does huge
[21:22.620 --> 21:27.680]  This is absolutely huge every time you buy a pair of prescriptions glasses from Warby Parker
[21:27.900 --> 21:31.360]  They send a pair to someone in need around the world
[21:32.000 --> 21:36.060]  millions and millions of people around the world who don't have access to
[21:37.740 --> 21:39.740]  You know corrective vision
[21:40.060 --> 21:41.820]  huge problem
[21:41.820 --> 21:46.700]  Just imagine if everything you went around you couldn't see anything sharply terrible
[21:47.260 --> 21:52.460]  Well, guess what Warby Parker is helping to solve that because every time you buy glasses from them
[21:52.460 --> 21:54.460]  They send one to someone in need
[21:55.780 --> 21:59.100]  Here's the crazy thing I know it's when I first heard about Warby Parker years ago
[21:59.100 --> 22:04.260]  I thought well this sounds great, but I how in the world you gonna buy glasses something that you're gonna wear like every single day
[22:05.460 --> 22:07.460]  Something that goes right on your face
[22:07.460 --> 22:12.940]  Without trying them on first like even if you look at the web page and you say well those look cool
[22:12.940 --> 22:14.220]  But how do you know they're gonna look on you?
[22:14.220 --> 22:18.980]  I mean, it's crazy like every time I've ever bought glasses, you know, even right there in the store
[22:18.980 --> 22:23.420]  You look at some you say well those look cool. Then you try them on you're like, wow, I look like an idiot in these
[22:24.660 --> 22:30.280]  They have a great try at home program you pick like I think it's up to five you get five five picks
[22:30.500 --> 22:33.580]  Find five that you think you like pick pick a variety
[22:33.580 --> 22:37.900]  They send them to you without the lenses, you know, the corrective lenses at first
[22:38.540 --> 22:40.540]  Send them to you at home
[22:40.540 --> 22:44.860]  you try them take a couple days ask your friends ask your
[22:45.740 --> 22:48.980]  You know friends and family which ones they like take a look in the mirror
[22:49.740 --> 22:54.780]  And then you pick the one you like the best you send the whole thing back to them. It's all pre shipping
[22:54.780 --> 22:56.060]  It's all pre labeled, you know
[22:56.060 --> 22:59.260]  You don't have to do any kind of work other than just hand it off back to the UPS guy
[22:59.900 --> 23:00.940]  and
[23:00.940 --> 23:05.860]  Boom like a couple days later your glasses brand new glasses come with the actual lenses
[23:06.580 --> 23:08.300]  Could not be easier
[23:08.300 --> 23:12.500]  We I don't even I've lost count of how many Warby Parker glasses
[23:12.500 --> 23:15.540]  We've got laying around the house now between between me and Amy
[23:16.100 --> 23:18.100]  Great great stuff. They do sunglasses
[23:19.980 --> 23:24.740]  All sorts of styles to pick from really could not be easier it's a it's a great thing
[23:25.500 --> 23:28.920]  Once people once you start buying glasses from Warby Parker, you're not gonna go back
[23:28.920 --> 23:33.120]  Where do you go to find out more go to their website Warby Parker?
[23:33.880 --> 23:35.640]  calm
[23:35.640 --> 23:41.480]  slash the talk show and then you'll know that they'll know that you came from here and
[23:43.000 --> 23:47.120]  Use that code, I think they send you I think it's expedited shipping
[23:47.400 --> 23:54.720]  You'll give you free three-day shipping on your glasses if you use that that code Warby Parker calm
[23:55.680 --> 23:57.680]  slash the talk show I
[23:57.680 --> 24:03.960]  Was hoping I went there I was hoping maybe I could get a designer eyepatch. Oh, I was just looking for monocles
[24:03.960 --> 24:11.080]  They do not sell monocles currently. Yeah, see that's it could be a problem for me if this doesn't I mean a prognosis is good
[24:11.080 --> 24:16.480]  I mean it's and everybody, you know, if anybody I hope I made that clear that you know after this procedure
[24:16.480 --> 24:17.040]  I had last week
[24:17.040 --> 24:22.600]  I went back the next day and they took a look and they said it looks quote unquote great for day one
[24:22.640 --> 24:25.920]  So, you know, I have a good prognosis here. I don't want anybody
[24:25.920 --> 24:28.040]  I'm only I hate even going public with it
[24:28.040 --> 24:31.120]  but I have to because I feel like I have to explain why I'm not at the Apple event and
[24:31.200 --> 24:36.200]  I absolutely have to explain why I won't be speaking as scheduled at all. I
[24:37.960 --> 24:41.800]  Feel like if you just drop out of a speaking event people are gonna think you're a flake, you know
[24:41.800 --> 24:45.840]  And I want people right you got it. You got a pretty good excuse that you'd prefer to keep both your eyeballs
[24:48.560 --> 24:53.720]  Don't know that there's anybody who's that dedicated that they would voluntarily go blind blind in one eye to make it
[24:53.720 --> 24:55.720]  a
[24:56.080 --> 24:59.180]  Really good conference. I've heard good things about all but oh my god
[24:59.180 --> 25:04.000]  Can you imagine how uncomfortable that would be if that was the subject of my talk? I hope you like this talk. I
[25:06.600 --> 25:08.680]  Went blind to be here
[25:09.880 --> 25:13.400]  You get quite a round of applause at the end. No, I think people would feel terrible
[25:13.400 --> 25:18.640]  I think that you everybody I mean because it would it would be such a sign that you're you know mentally ill
[25:18.640 --> 25:26.400]  All right, maybe all right like watching somebody destroy themselves would be terrible
[25:28.560 --> 25:31.880]  All right, I think you made the right call, you know, I mentioned I should go back
[25:31.880 --> 25:35.040]  I'm the worst but with the Warby Parker, you know that
[25:35.840 --> 25:40.380]  The 295 is for the progressives. They're regular ones if you don't need progressives, by the way
