[00:00.000 --> 00:01.740]  Jason, how you doing?
[01:58.840 --> 02:01.160]  or whatever, I don't know if I have any disorder.
[02:01.160 --> 02:03.240]  I just get bummed.
[02:03.240 --> 02:05.720]  Yeah, yeah, I mean, me too.
[02:05.720 --> 02:08.340]  I mean, so I grew up in Wisconsin
[02:08.340 --> 02:11.200]  and was fine with it as a kid.
[02:11.200 --> 02:12.740]  I never remember being bummed out.
[02:12.740 --> 02:16.520]  And even when I lived in New York from,
[02:16.520 --> 02:21.200]  how long was it, 2002 to 2016, I guess,
[02:21.200 --> 02:23.620]  it didn't really bother me a whole lot there either.
[02:23.620 --> 02:25.720]  And then when I moved up here,
[02:25.720 --> 02:27.760]  like the first winter was okay
[02:27.760 --> 02:30.320]  and the second one just totally just kicked my ass.
[02:30.320 --> 02:32.520]  I was just like, what the hell happened?
[02:32.520 --> 02:34.080]  I feel like I got hit by a freight train.
[02:34.080 --> 02:37.500]  I also do notice though, the flip side of it
[02:37.500 --> 02:42.480]  is I do notice the expanding daylight hours more.
[02:42.480 --> 02:44.440]  So it's like, I get more bummed.
[02:44.440 --> 02:48.160]  I do, I really get more bummed in November and December.
[02:48.160 --> 02:51.640]  I find January and February, or at least early February
[02:51.640 --> 02:54.400]  to be dreary, but right around now, late February
[02:54.400 --> 02:58.200]  or recording on March 3rd, it's like looking up.
[02:58.200 --> 03:02.280]  And I also find that when daylight savings time
[03:02.280 --> 03:07.280]  finally kicks back in, it's like the best gift
[03:07.760 --> 03:08.600]  of the year to me.
[03:08.600 --> 03:10.520]  I mean, no offense to my family
[03:10.520 --> 03:13.920]  and all the actual gifts they give to me.
[03:13.920 --> 03:16.720]  But the day where I look at my watch
[03:16.720 --> 03:18.760]  and it's six o'clock, seven o'clock
[03:18.760 --> 03:20.520]  and it's like still plenty of light outside,
[03:20.520 --> 03:21.960]  I'm like, woo!
[03:23.300 --> 03:24.520]  Yeah, it's amazing.
[03:25.600 --> 03:29.320]  Here in Vermont, like I've noticed the last few winters,
[03:29.320 --> 03:33.480]  like the first day where it's sunny
[03:33.480 --> 03:36.400]  and the thermometer's pushing like 65, 70,
[03:36.400 --> 03:38.960]  it feels like nothing else.
[03:38.960 --> 03:43.120]  I will go outside in like shirt sleeves and shorts
[03:43.120 --> 03:46.040]  and I work outside and I'm just like, this is awesome.
[03:46.040 --> 03:48.880]  And I can't believe I was this depressed
[03:48.880 --> 03:50.240]  for the last three months.
[03:50.240 --> 03:51.080]  Right, you mean like just-
[03:51.080 --> 03:52.240]  Yeah, you feel like a million bucks.
[03:52.240 --> 03:53.720]  Right, you're sitting there working on cocky,
[03:53.720 --> 03:55.840]  the laptop, you know, outside
[03:55.840 --> 03:59.440]  and breathing that fresh air.
[03:59.440 --> 04:01.080]  Exactly, yep.
[04:01.080 --> 04:03.480]  And there's like literally like still probably
[04:03.480 --> 04:06.060]  like three feet of snow out in the yard or whatever,
[04:06.060 --> 04:08.120]  but it's because we have global warming now,
[04:08.120 --> 04:09.840]  every once in a while in March, you know,
[04:09.840 --> 04:10.880]  like mid-March or whatever,
[04:10.880 --> 04:12.760]  it's oh, it's gonna be 70 degrees for a little bit.
[04:12.760 --> 04:14.400]  And then it goes back to, you know,
[04:14.400 --> 04:17.800]  we're gonna have an ice storm three days later, so.
[04:17.800 --> 04:19.200]  Yeah, we had that a few weeks ago
[04:19.200 --> 04:21.800]  where there was a stretch here in February,
[04:21.800 --> 04:24.100]  which is always the worst month from New York.
[04:24.100 --> 04:26.280]  It's way worse than January, in my opinion.
[04:26.280 --> 04:28.160]  We had a couple of days in the 60s.
[04:28.160 --> 04:31.680]  I've lived my whole life either outside Philadelphia
[04:31.680 --> 04:33.560]  growing up or in Philadelphia
[04:33.560 --> 04:35.820]  other than two years up in Massachusetts,
[04:35.820 --> 04:39.200]  but I'm super familiar at this point
[04:39.200 --> 04:42.880]  with the annual temperature, what's a nice day,
[04:42.880 --> 04:45.360]  what's a bad day for any day of the year.
[04:45.360 --> 04:50.360]  And it's like even if I didn't know logically,
[04:50.680 --> 04:52.240]  if I had never read the news
[04:52.240 --> 04:54.280]  and had never heard of climate change,
[04:54.280 --> 04:56.560]  I would know something is up.
[04:56.560 --> 04:57.400]  You know what I mean?
[04:57.400 --> 05:00.760]  It's like you could literally be a hermit,
[05:00.760 --> 05:03.120]  you know, like a Ted Kaczynski living in a shack
[05:03.120 --> 05:05.120]  with no internet, no newspapers,
[05:05.120 --> 05:07.040]  and you'd be like, hey, what's up with the weather?
[05:07.040 --> 05:09.400]  Am I wrong about what date it is?
[05:09.400 --> 05:11.520]  I've been coming up here to Vermont
[05:11.520 --> 05:14.660]  since, I don't know, 2003, something like that.
[05:14.660 --> 05:17.040]  And you can tell by the ski areas
[05:17.040 --> 05:20.000]  and you can tell by how much snow there is at the ski areas
[05:20.000 --> 05:22.700]  and how much they're able to be open
[05:22.700 --> 05:25.960]  and when they can open for the season initially
[05:25.960 --> 05:28.060]  and when they close at the end of the season.
[05:28.060 --> 05:30.480]  And it's that season is just getting shorter.
[05:30.480 --> 05:33.640]  And you get these weird warmups in the middle of January,
[05:33.640 --> 05:34.480]  in the middle of February,
[05:34.480 --> 05:38.200]  where it rains and it's 55 degrees.
[05:38.200 --> 05:40.560]  And you just get fewer days
[05:40.560 --> 05:44.800]  and you get fewer people coming up and doing things
[05:44.800 --> 05:46.480]  and spending their money here and stuff like that.
[05:46.480 --> 05:50.000]  And it's just, yeah, you would totally be able to tell,
[05:50.000 --> 05:53.600]  even if you had never heard of climate change or whatever.
[05:53.600 --> 05:54.440]  It's just different.
[05:54.440 --> 05:56.540]  I should know this as a long time,
[05:57.560 --> 05:58.800]  as we're about to get to,
[05:58.800 --> 06:01.360]  very long time, reader of your website.
[06:02.520 --> 06:04.240]  I feel like I should definitely know this
[06:04.240 --> 06:07.080]  because it seems like total Kottke fodder,
[06:07.080 --> 06:11.280]  but are you at daylight savings time year round, man, or not?
[06:11.280 --> 06:13.720]  I mean, I don't think they should switch back and forth.
[06:13.720 --> 06:14.880]  So which one do you think?
[06:14.880 --> 06:16.840]  I mean, obviously, if they're only gonna have one,
[06:16.840 --> 06:18.240]  it's gonna be daylight savings time
[06:18.240 --> 06:21.640]  because we're already at eight months, four months.
[06:21.640 --> 06:25.480]  And the legal proposals are only for,
[06:25.480 --> 06:28.620]  nobody's proposing we go standard time year round,
[06:28.620 --> 06:29.460]  I don't think.
[06:29.460 --> 06:33.160]  Right, no, I mean, yeah, I would choose that, yeah.
[06:33.160 --> 06:37.240]  It's awkward for me, or at least unexpected,
[06:37.240 --> 06:39.560]  because I forget who it is who's sponsoring the bill.
[06:39.560 --> 06:41.800]  It's either Marco Rubio or Ted Cruz,
[06:41.800 --> 06:43.960]  but it doesn't matter which one.
[06:43.960 --> 06:45.120]  It doesn't matter.
[06:45.120 --> 06:47.860]  The point is, I can't believe I'm here on the side
[06:47.860 --> 06:50.760]  of legislation being proposed by whoever it is,
[06:50.760 --> 06:52.760]  but yeah, the switch sucks.
[06:52.760 --> 06:57.760]  But also, it's like, F you morning people.
[06:58.040 --> 07:01.240]  And it's the morning people who bitch and moan about,
[07:01.240 --> 07:04.280]  well, but if we switch to daylight savings time,
[07:04.280 --> 07:07.920]  it'll be so dark until like 8.30 or nine in the morning,
[07:07.920 --> 07:09.680]  you know, in the middle of winter.
[07:09.680 --> 07:11.880]  And they always bring up the kids
[07:11.880 --> 07:13.920]  at the freaking bus stop, right?
[07:13.920 --> 07:15.480]  What about the kids going to school?
[07:15.480 --> 07:17.480]  But that circles back to my point
[07:17.480 --> 07:20.280]  about the way we raise children today.
[07:20.280 --> 07:23.520]  Kids aren't unsupervised at bus stops anymore, right?
[07:23.520 --> 07:25.120]  Like when we were kids,
[07:25.120 --> 07:26.900]  your mom wouldn't even get dressed in the morning.
[07:26.900 --> 07:29.080]  Your mom would still be, you know,
[07:29.080 --> 07:31.640]  whatever she slept in and just get you out the door.
[07:31.640 --> 07:33.960]  And you know, whether you were going to a bus stop
[07:33.960 --> 07:36.840]  or walking to school or whatever, you were on your own.
[07:36.840 --> 07:38.320]  Nobody does that anymore.
[07:38.320 --> 07:39.960]  It's not a good excuse.
[07:39.960 --> 07:41.880]  The switchover is insane.
[07:41.880 --> 07:44.260]  The thing about early school times anyway,
[07:44.260 --> 07:46.360]  like we should just move the school time.
[07:46.360 --> 07:47.200]  Yes.
[07:47.200 --> 07:49.380]  Not futz around with actual time.
[07:49.380 --> 07:51.580]  Just like school should start later
[07:51.580 --> 07:53.380]  because like it's better for kids.
[07:53.380 --> 07:55.160]  Yeah, absolutely.
[07:55.160 --> 07:56.560]  There is actual research.
[07:56.560 --> 07:59.520]  This is not just me spouting off with my personal opinion
[07:59.520 --> 08:01.040]  and my vivid memories.
[08:01.040 --> 08:05.240]  My vivid memories from high school of being a total zombie.
[08:05.240 --> 08:06.900]  Yeah, exactly, exactly.
[08:06.900 --> 08:08.840]  My best friend and I in high school,
[08:08.840 --> 08:13.080]  we both mastered the technique of sleeping in class
[08:13.080 --> 08:15.000]  with your head, not on your desk,
[08:15.000 --> 08:17.520]  but like a certain pose where you could like
[08:17.520 --> 08:20.720]  get your chin on your palm.
[08:20.720 --> 08:24.280]  And we would choose seats in the back,
[08:24.280 --> 08:26.380]  not just, I always say I like to sit in the back
[08:26.380 --> 08:28.520]  for most of my classes just so I could screw around,
[08:28.520 --> 08:30.600]  but you had to go back corner
[08:30.600 --> 08:32.180]  and then you could like kinda turn your head
[08:32.180 --> 08:33.740]  away from the teacher.
[08:33.740 --> 08:36.720]  I got solid sleep in classes my whole,
[08:36.720 --> 08:39.800]  like probably junior and senior years.
[08:39.800 --> 08:41.120]  But it's, because it's terrible.
[08:41.120 --> 08:43.920]  I mean, we used to have to, I think it was like 8 a.m.
[08:43.920 --> 08:47.280]  And it's like the real world doesn't start at 8 a.m.
[08:47.280 --> 08:48.300]  The adult world.
[08:48.300 --> 08:49.140]  Yeah, exactly.
[08:50.060 --> 08:52.960]  Anyway, well, as I hinted,
[08:52.960 --> 08:54.740]  we are here to talk about the fact
[08:54.740 --> 08:57.020]  that you've been writing your website for,
[08:57.020 --> 08:59.640]  well, let's just say it, 25 fuckin' years.
[09:01.760 --> 09:03.920]  Yes, 25 fuckin' years.
[09:03.920 --> 09:05.760]  When is the official anniversary?
[09:05.760 --> 09:06.880]  Do you know the date?
[09:08.320 --> 09:10.240]  Yeah, so it's March 14th.
[09:10.240 --> 09:11.760]  All right, so we'll be out before.
[09:11.760 --> 09:14.800]  We're a little ahead of your anniversary, but.
[09:15.760 --> 09:18.360]  I'll just start by saying congrats.
[09:18.360 --> 09:21.280]  I mean, I don't know what more to say.
[09:21.280 --> 09:23.000]  I mean, I'm glad you're at it.
[09:23.000 --> 09:24.960]  I was looking as research.
[09:24.960 --> 09:27.800]  I actually did some actual homework for this show
[09:27.800 --> 09:29.480]  on every other episode of this.
[09:30.920 --> 09:32.280]  All three.
[09:32.280 --> 09:34.760]  All 369 preceding episodes.
[09:34.760 --> 09:36.280]  Right, this is the first one.
[09:36.280 --> 09:39.400]  I found your 10th anniversary post.
[09:39.400 --> 09:41.260]  Well, I found, like it's hard to find.
[09:41.260 --> 09:45.500]  But you said see you in 2008, or no, 2018.
[09:45.500 --> 09:47.460]  So let me start by saying this.
[09:47.460 --> 09:48.680]  Let me ask this.
[09:48.680 --> 09:53.680]  In the early years, when you first started kaki.org,
[09:55.720 --> 10:00.600]  did you have a sense that even then that you'd be doing it?
[10:00.600 --> 10:03.040]  If all things go well, knock on wood,
[10:03.040 --> 10:07.520]  health stays up, nuclear war doesn't happen,
[10:07.520 --> 10:09.320]  the internet stays open,
[10:09.320 --> 10:11.640]  that you'd still be doing this now?
[10:11.640 --> 10:13.420]  I would say no.
[10:13.420 --> 10:14.980]  There's rarely been a plan.
[10:14.980 --> 10:17.900]  I think the whole thing has just happened really organically.
[10:17.900 --> 10:20.360]  I started it because like, oh,
[10:20.360 --> 10:22.800]  I wanted to have a place to write things down.
[10:22.800 --> 10:25.280]  And so at the time I was doing this other website
[10:25.280 --> 10:28.480]  called Oscillate, and that was more sort of visual
[10:28.480 --> 10:29.960]  and it was like episodic.
[10:29.960 --> 10:33.680]  Like every few weeks I would release a new episode.
[10:33.680 --> 10:35.500]  But people had started blogging
[10:35.500 --> 10:38.000]  and there were online diaries and all this sort of stuff.
[10:38.000 --> 10:41.740]  And I decided, oh, I want to try this out.
[10:41.740 --> 10:44.760]  And people read it and liked it.
[10:44.760 --> 10:48.440]  And so I kept writing and it became slowly
[10:48.440 --> 10:52.040]  sort of like more and more of kind of my online life.
[10:52.040 --> 10:54.600]  And even the decision to like,
[10:54.600 --> 10:57.820]  I went full-time like as a job in 2005.
[10:57.820 --> 11:01.160]  And even that wasn't, that was like a few months before
[11:01.160 --> 11:03.940]  I had lunch with Anil Dash.
[11:03.940 --> 11:06.040]  And we were just talking about this and that.
[11:06.040 --> 11:07.400]  And he sort of like,
[11:07.400 --> 11:09.700]  I can't remember what we were talking about exactly,
[11:09.700 --> 11:11.680]  but he was kind of like,
[11:11.680 --> 11:13.240]  I bet if you really wanted to do it,
[11:13.240 --> 11:15.720]  like you could do your website as a full-time job,
[11:15.720 --> 11:16.960]  like you could find advertising
[11:16.960 --> 11:19.440]  or get people to pay or whatever.
[11:19.440 --> 11:21.240]  He's like, I bet you could do it.
[11:21.240 --> 11:22.560]  And I was like, huh.
[11:22.560 --> 11:25.740]  And then I was thinking about it after that.
[11:25.740 --> 11:27.920]  And I was like, wait a minute, that might be cool.
[11:27.920 --> 11:31.680]  So yeah, so there was never any drive to be sort of
[11:31.680 --> 11:34.700]  long lasting or anything like that.
[11:34.700 --> 11:37.200]  It just sort of, it's just sort of what's happened.
[11:38.160 --> 11:41.240]  That's interesting because
[11:41.240 --> 11:46.240]  I wouldn't say immediately when I started Daring Fireball,
[11:46.960 --> 11:48.580]  but maybe very close.
[11:48.580 --> 11:53.280]  I at least had the hope when I started
[11:54.280 --> 11:56.760]  that maybe I could eventually figure out,
[11:56.760 --> 11:59.100]  immediately figure out a way that I could do this
[11:59.100 --> 12:01.680]  as a living and had a sense
[12:01.680 --> 12:05.760]  that I think I could do this forever.
[12:05.760 --> 12:10.100]  And by the time I went full-time in 2006,
[12:10.100 --> 12:12.700]  it was largely inspired.
[12:12.700 --> 12:15.980]  Well, I mean, it was my plan before, but sort of.
[12:17.180 --> 12:20.380]  I don't know that I would have taken the jump though in 2006
[12:20.380 --> 12:22.260]  if you hadn't already done it.
[12:22.260 --> 12:24.220]  You made me, you doing it full-time
[12:24.220 --> 12:28.820]  made me so insanely jealous that it did.
[12:28.820 --> 12:31.300]  It really did, but in a good way
[12:31.300 --> 12:35.700]  where it broke through my natural procrastination.
[12:35.700 --> 12:39.340]  Like the reason Daring Fireball's 20 as of last August,
[12:39.340 --> 12:41.020]  so five years behind you.
[12:41.020 --> 12:44.040]  But it's funny because, let me put it this way,
[12:44.040 --> 12:48.660]  for a very long time, I felt like I was a newcomer
[12:48.660 --> 12:50.340]  and you were established
[12:50.340 --> 12:53.140]  because I started five years after you, right?
[12:53.140 --> 12:57.940]  So when you're five or six, seven years old into kotki.org
[12:57.940 --> 13:00.240]  and I'm one or two years into Daring Fireball,
[13:00.240 --> 13:02.020]  it feels like I'm the newcomer.
[13:02.020 --> 13:06.260]  And when you start comparing 20 to 25,
[13:06.260 --> 13:09.540]  it feels like, yeah, what's the difference?
[13:09.540 --> 13:12.140]  We're both like last people standing
[13:12.140 --> 13:15.220]  and old men and stalwarts.
[13:15.220 --> 13:19.140]  But when I started,
[13:19.140 --> 13:21.700]  I was hoping this is like a thing that would stick.
[13:21.700 --> 13:25.980]  And I remember I had like a list of 10 or 12 articles
[13:25.980 --> 13:27.380]  that I felt like these are,
[13:27.380 --> 13:29.420]  here's 10 or 12 things I knew I wanted to write.
[13:29.420 --> 13:31.840]  Cause I didn't have my short form links at the time.
[13:31.840 --> 13:33.940]  All I had were full posts,
[13:33.940 --> 13:38.940]  more every post is an article sort of blogging,
[13:39.980 --> 13:41.140]  which was more typical.
[13:41.140 --> 13:42.980]  Well, you know, there's a mix back then.
[13:42.980 --> 13:47.620]  But I had 10 or 12 and I felt like I could keep this going.
[13:47.620 --> 13:50.340]  And I forget where I kept the list.
[13:50.340 --> 13:53.060]  It was probably already, well, I'm not sure
[13:53.060 --> 13:54.820]  which app I had it in.
[13:54.820 --> 13:58.420]  But the list kept growing faster
[13:58.420 --> 14:00.000]  than I was writing articles.
[14:00.000 --> 14:03.080]  There've always been more ideas for posts
[14:03.080 --> 14:04.540]  or even things I wanna link to
[14:04.540 --> 14:06.500]  than things I actually linked to, right?
[14:06.500 --> 14:11.500]  It's, you know, and it's so weeks into it,
[14:11.620 --> 14:15.300]  I realized, you know, at least in terms of having things
[14:15.300 --> 14:18.500]  I want to write about, this seems 100% sustainable
[14:18.500 --> 14:21.340]  because that's, you know, I'm always coming up
[14:21.340 --> 14:23.500]  with more things that I could or would write about
[14:23.500 --> 14:25.860]  than I actually have time to or actually get to.
[14:26.780 --> 14:31.080]  And it really did not take me long to realize
[14:31.080 --> 14:33.020]  that I would like this to be my life's work.
[14:33.020 --> 14:36.540]  So I'm, you know, and I, you know,
[14:36.540 --> 14:39.720]  at least I've always subscribed to the strong ideas
[14:39.720 --> 14:43.520]  loosely held mantra for everything in life.
[14:43.520 --> 14:45.240]  So I mean, I've all, you know,
[14:45.240 --> 14:48.420]  it wasn't like I would have bet the house on it
[14:48.420 --> 14:50.340]  even though of course I didn't own a house back then.
[14:50.340 --> 14:53.220]  But figuratively wouldn't have bet the house on it
[14:53.220 --> 14:56.060]  because I would have been open to new ideas and wonder.
[14:56.060 --> 14:57.820]  But I had that sense though
[14:57.820 --> 14:59.940]  that this is what I was meant to do.
[14:59.940 --> 15:04.300]  And in hindsight, I find it interesting
[15:04.300 --> 15:05.980]  that you didn't have that sense early on
[15:05.980 --> 15:08.420]  because it seems to me very clearly
[15:08.420 --> 15:11.020]  that what you're doing is what you were meant to do.
[15:13.420 --> 15:15.340]  Yeah, I mean, at the time, like I was, you know,
[15:15.340 --> 15:16.860]  I was still doing web design stuff
[15:16.860 --> 15:19.600]  like back in the early 2000s.
[15:19.600 --> 15:23.380]  And, you know, that was the thing that was really, you know,
[15:23.380 --> 15:26.300]  capturing my sort of imagination back then.
[15:26.300 --> 15:27.900]  And like that, you know, that started to change.
[15:27.900 --> 15:31.180]  I feel like, you know, I had this very corporate
[15:31.180 --> 15:33.500]  web design job in 2000,
[15:33.500 --> 15:35.100]  like right after I moved to New York actually,
[15:35.100 --> 15:36.940]  like 2003, 2004.
[15:36.940 --> 15:40.260]  And, you know, and that was during a time where, you know,
[15:40.260 --> 15:43.360]  like not everybody that I knew had a job then
[15:43.360 --> 15:45.940]  because of the whole.com bust,
[15:45.940 --> 15:48.060]  the sort of the hangover from that, you know,
[15:48.060 --> 15:49.600]  but it was this really corporate job.
[15:49.600 --> 15:51.620]  And I was just sort of like, you know,
[15:51.620 --> 15:52.900]  I would go to work and, you know,
[15:52.900 --> 15:56.380]  I would, the work was fairly easy.
[15:56.380 --> 15:58.480]  You know, I'd spend like a couple hours a day blogging,
[15:58.480 --> 15:59.460]  like just at work.
[15:59.460 --> 16:02.540]  And I'm sure that this is something that will resonate
[16:02.540 --> 16:04.140]  with, you know, early bloggers too.
[16:04.140 --> 16:06.820]  You know, they just stole time here and there
[16:06.820 --> 16:10.060]  from their day jobs to write on their sites.
[16:10.060 --> 16:12.100]  You know, and at a certain point I was just like,
[16:12.100 --> 16:15.440]  oh, like this is the thing that I'm actually interested in.
[16:15.440 --> 16:18.540]  Like, why don't I try and do this for a while?
[16:18.540 --> 16:21.700]  You know, and it just, you know, it was,
[16:21.700 --> 16:23.460]  and after a while it was so,
[16:23.460 --> 16:25.300]  it just worked really well, I think.
[16:25.300 --> 16:28.380]  And it worked really well for a number of different reasons.
[16:28.380 --> 16:31.600]  You know, it's, you know, the most flexible job
[16:31.600 --> 16:32.440]  in the world.
[16:32.440 --> 16:34.980]  You just move your time around almost, you know, infinitely,
[16:34.980 --> 16:36.980]  which is like fantastic, you know,
[16:36.980 --> 16:39.100]  when you've got a lot going on
[16:39.100 --> 16:41.020]  or you want to do different stuff in your life,
[16:41.020 --> 16:43.140]  or you've got little kids and you want to be home
[16:43.140 --> 16:45.300]  for dinner every night and all that sort of stuff.
[16:45.300 --> 16:47.040]  And it just fit really well.
[16:47.040 --> 16:50.100]  And like it had momentum and I just, you know, let it go.
[16:50.100 --> 16:55.340]  It dragged me along almost instead of the other way around.
[16:55.340 --> 16:58.100]  Well, and I feel that I've always been naturally suited
[16:58.100 --> 16:59.620]  to that aspect of it.
[16:59.620 --> 17:02.700]  I've never been a nine to five person at all.
[17:02.700 --> 17:04.940]  Infamously bad with deadlines.
[17:04.940 --> 17:08.660]  Even now, I mean, my iPhone reviews are always hours
[17:08.660 --> 17:12.340]  after everybody else has come out, if not end of day,
[17:12.340 --> 17:16.820]  you know, and like, and it's come full circle
[17:16.820 --> 17:21.820]  where there's a flourishing independent publishing
[17:24.020 --> 17:27.180]  of the last few years, a resurgence,
[17:27.180 --> 17:32.180]  but it's all, or at least mostly in the newsletter space.
[17:32.600 --> 17:37.600]  And my friend and dithering colleague,
[17:38.060 --> 17:41.060]  co-host Ben Thompson is coming up on 10 years
[17:41.060 --> 17:43.100]  at Stratechery, which blows my mind.
[17:43.100 --> 17:47.180]  Cause I also think of his Stratechery as being new,
[17:47.180 --> 17:50.320]  but I love his work.
[17:50.320 --> 17:54.060]  He loves doing it, but I couldn't do what he does
[17:54.060 --> 17:56.860]  because he's effectively got a deadline
[17:56.860 --> 17:59.380]  for like 8 a.m. Eastern every day,
[17:59.380 --> 18:01.640]  even though he's writing from Taiwan,
[18:01.640 --> 18:05.620]  he's got a deadline where his subscribers
[18:05.620 --> 18:10.620]  on the East coast expect today's issue of Stratechery
[18:10.620 --> 18:13.700]  in the morning, you know, as they have their coffee
[18:13.700 --> 18:15.580]  and breakfast and before they get to work.
[18:15.580 --> 18:19.900]  And I just, I say couldn't all the time
[18:19.900 --> 18:21.660]  for all sorts of things in my life,
[18:21.660 --> 18:25.580]  which means wouldn't, but I wouldn't enjoy it.
[18:25.580 --> 18:29.820]  And it really, you know, and then I would grow resentful.
[18:29.820 --> 18:32.060]  Right, that's one thing that's never happened to me
[18:32.060 --> 18:35.340]  is I've never grown resentful of the work
[18:35.340 --> 18:37.660]  and my obligations, the pressure,
[18:37.660 --> 18:40.600]  whatever pressure I feel to keep going publishing
[18:40.600 --> 18:42.020]  and do this or that.
[18:42.020 --> 18:43.480]  Whereas if I had that,
[18:44.460 --> 18:46.940]  everybody expects a newsletter at blank time.
[18:46.940 --> 18:48.660]  Doesn't matter what time of day it is, right?
[18:48.660 --> 18:51.140]  Even if I send them out at midnight or whatever,
[18:51.140 --> 18:53.500]  eventually I would be like, well, this is irritating
[18:53.500 --> 18:56.420]  because I wanna, you know, go out with friends tonight.
[18:56.420 --> 18:57.960]  I don't wanna, and I'm not finished yet,
[18:57.960 --> 19:01.260]  but I have to sit here and finish, you know.
[19:01.260 --> 19:02.620]  All right, let's go back to oscillate.
[19:02.620 --> 19:06.080]  It was spelled with a zero,
[19:06.080 --> 19:08.740]  S-I-L, and then the digit eight,
[19:08.740 --> 19:12.140]  which I'm not mocking, but just for people Googling it
[19:12.140 --> 19:13.420]  and looking for it.
[19:13.420 --> 19:18.420]  But that sort of trickery was very, feels a little 90s.
[19:19.820 --> 19:23.020]  Oh yeah, very 90s, very 90s.
[19:23.020 --> 19:27.420]  Right, and so when did oscillate start?
[19:27.420 --> 19:29.660]  And now that the website is defunct, right?
[19:29.660 --> 19:34.020]  It's like, I looked it up, it's the domain's gone, right?
[19:35.020 --> 19:37.340]  Well, so I still own the domain,
[19:37.340 --> 19:40.020]  but it went on, I can't even remember when it went offline.
[19:40.020 --> 19:41.580]  It was, I mean, it was years and years ago,
[19:41.580 --> 19:45.740]  like more than, probably more than 15 years ago already
[19:45.740 --> 19:47.020]  that it went offline.
[19:47.020 --> 19:48.980]  Again, I should have done more research.
[19:48.980 --> 19:52.220]  Are there old episodes still in the wayback machine
[19:53.500 --> 19:54.340]  on the internet archives?
[19:54.340 --> 19:55.260]  I don't actually know.
[19:55.260 --> 19:57.420]  I don't know that I've actually looked.
[19:57.420 --> 19:59.420]  Well, there might be.
[19:59.420 --> 20:02.580]  We'll leave that as a surprise for the show notes.
[20:02.580 --> 20:03.780]  Right. Sounds good.
[20:03.780 --> 20:05.920]  All right, but you mentioned
[20:05.920 --> 20:09.300]  that it was episodic, and literally the URLs
[20:09.300 --> 20:11.420]  were like oscillate, was it.com?
[20:11.420 --> 20:13.780]  I forget what the domain was.
[20:13.780 --> 20:17.620]  Yeah, oscillate.com slash like episodes slash,
