[00:00.000 --> 00:00.840]  What time you got?
[01:31.840 --> 01:37.480]  were talking about when he said today, um, it's, I use it for notifications only.
[01:37.480 --> 01:38.480]  And I don't know that.
[01:38.480 --> 01:41.600]  I guess that's kind of true on both of us is, although I was talking about the Mac,
[01:41.600 --> 01:46.520]  not, not iOS, but, uh, it's kind of true on both of us is where I've always got it
[01:46.520 --> 01:50.040]  on notifications, not, uh, today.
[01:50.040 --> 01:51.040]  Yeah.
[01:51.040 --> 01:57.000]  No, it's, it's interesting because, um, I don't know, you, you could almost see that
[01:57.000 --> 01:58.920]  as being, being a shift, right?
[01:58.920 --> 02:04.200]  Like, I mean, almost with everything is, is more, almost responsive in real time.
[02:04.200 --> 02:08.520]  Whereas today, that's like, that's like a plan and, I don't know, maybe it's, we're
[02:08.520 --> 02:13.720]  hardly authorities to talk about, uh, having a set schedule and, uh, marching through
[02:13.720 --> 02:14.720]  the day.
[02:14.720 --> 02:16.040]  So we're, we're probably outliers.
[02:16.040 --> 02:19.280]  Yeah, I've seen some people who wanted who've requested they wish that there was a way
[02:19.280 --> 02:23.840]  to make, at least on the Mac, I think only on the Mac would make sense on iOS, but on
[02:23.840 --> 02:28.440]  the Mac that they could make that persistent and like, just say, like, take those two
[02:28.440 --> 02:31.800]  inches on the right side of my screen and just always make it today.
[02:31.800 --> 02:36.480]  And, you know, I've got a big 30 inch iMac here or something, you know, big, uh, Thunderbolt
[02:36.480 --> 02:37.480]  display.
[02:37.480 --> 02:38.680]  I don't need the whole screen for this.
[02:38.680 --> 02:42.440]  Just treat my screen as what's left and give me that today view over there.
[02:42.440 --> 02:44.640]  So I've got like a permanent agenda.
[02:44.640 --> 02:45.640]  Oh, totally.
[02:45.640 --> 02:50.200]  I, I, I did something similar to that when, um, like when, when I was at Microsoft and
[02:50.200 --> 02:55.680]  Windows 8 and you can mix like the regular desktop and then like, uh, Windows 8 apps and
[02:55.680 --> 02:58.360]  like a, in like a sliver on the side of the screen.
[02:58.360 --> 03:03.640]  And so I put my calendar there, um, for that exact reason, uh, it was, it, it, it worked
[03:03.640 --> 03:04.640]  out perfectly.
[03:04.640 --> 03:08.560]  And then I just had a quick view was going on, um, people have done that, people have done
[03:08.560 --> 03:14.040]  that virtually or, or in a mismatch of digital and analog for as long as they've been using
[03:14.040 --> 03:18.440]  computers in their office, if you think about like sticky notes on the side of a, of a
[03:18.440 --> 03:19.440]  monitor.
[03:19.440 --> 03:20.640]  Oh, no, totally.
[03:20.640 --> 03:21.640]  Totally.
[03:21.640 --> 03:25.760]  And I think that's, that's something that's, uh, like, what was the, were you talking linked
[03:25.760 --> 03:26.760]  to this?
[03:26.760 --> 03:29.360]  Like there's like that new accessory, like an iPad where you can actually like have it
[03:29.360 --> 03:32.560]  as a secondary display or whatever.
[03:32.560 --> 03:36.640]  Um, to me, though, the, the compile case, if you have an iPad, your desk is just, yeah,
[03:36.640 --> 03:39.920]  just have, have, have it there for your calendar and stuff like that.
[03:39.920 --> 03:42.440]  I mean, it's, yeah, I didn't link to that.
[03:42.440 --> 03:45.520]  I know it's when I forget the name of the thing you're talking about, but I know exactly
[03:45.520 --> 03:46.520]  what you're talking about.
[03:46.520 --> 03:49.480]  And I've been looking at, I've been thinking about trying that out, but I, I, I wouldn't
[03:49.480 --> 03:50.480]  use it again.
[03:50.480 --> 03:56.760]  I would not use it as a, like a, I wouldn't put an app over there, any app, but I could,
[03:56.760 --> 04:01.480]  I would think about using it exactly like you said, like as a sort of, uh, like a pay
[04:01.480 --> 04:02.480]  sport.
[04:02.480 --> 04:03.480]  I don't know.
[04:03.480 --> 04:04.480]  Like a bulletin board.
[04:04.480 --> 04:05.480]  Yeah.
[04:05.480 --> 04:07.760]  I, I, I, I, I, I'm a screen maven.
[04:07.760 --> 04:10.520]  So I have, I mean, I have, I have three screens on my desk.
[04:10.520 --> 04:13.840]  So, um, I don't know if I did, even if room for an iPad.
[04:13.840 --> 04:14.840]  Yeah.
[04:14.840 --> 04:15.840]  What's the name of that thing?
[04:15.840 --> 04:18.240]  Is it reflector or is that a different thing?
[04:18.240 --> 04:23.280]  No, I think, I, I want to say sort of an L, but I, I might be totally making that up.
[04:23.280 --> 04:26.680]  Um, but the idea is, I think it was built by a former Apple guy or something.
[04:26.680 --> 04:30.800]  So it, like, and apparently it, it actually, it actually works quite well.
[04:30.800 --> 04:34.600]  See, air display.
[04:34.600 --> 04:35.600]  Do that?
[04:35.600 --> 04:36.600]  No.
[04:36.600 --> 04:37.600]  Do what?
[04:37.600 --> 04:38.600]  I think that's it.
[04:38.600 --> 04:39.600]  Do that display.
[04:39.600 --> 04:40.600]  Yeah.
[04:40.600 --> 04:41.600]  There we go.
[04:41.600 --> 04:43.520]  I will put it in the show notes.
[04:43.520 --> 04:45.720]  We'll look at it for next week.
[04:45.720 --> 04:46.720]  Yeah.
[04:46.720 --> 04:47.720]  Yeah.
[04:47.720 --> 04:48.720]  First first, yeah.
[04:48.720 --> 04:49.720]  First school response.
[04:49.720 --> 04:50.720]  Do it display.
[04:50.720 --> 04:51.720]  X Apple engineer's turn your iPad into an extra screen.
[04:51.720 --> 04:56.080]  So they, they, and that, that's their, that's actually their, their page title for
[04:56.080 --> 04:57.080]  Google.
[04:57.080 --> 05:01.040]  So they're definitely playing up the, uh, the X Apple engineer angle.
[05:01.040 --> 05:04.080]  So it effectively, because that's, that's what I remembered.
[05:04.080 --> 05:05.080]  That's interesting.
[05:05.080 --> 05:09.560]  I wonder, I wonder how that plays at the company because the other thing,
[05:09.560 --> 05:18.080]  too, is that part of the reason that very few former Apple engineers or, you
[05:18.080 --> 05:22.680]  know, people, any, you know, who've had any kind of involvement managers, too.
[05:22.680 --> 05:26.680]  They don't talk about their experience at Apple, even when they leave is because so many
[05:26.680 --> 05:27.680]  of them go back.
[05:27.680 --> 05:28.680]  And they know.
[05:28.680 --> 05:29.680]  Yeah.
[05:29.680 --> 05:30.680]  It's like a revolving door.
[05:30.680 --> 05:31.680]  Right.
[05:31.680 --> 05:35.960]  It's like, uh, Steve, Joe, one of the things Steve Jobs did when, when, when he came
[05:35.960 --> 05:40.440]  back to the company is get rid of the, uh, sabbatical program.
[05:40.440 --> 05:44.000]  They used to be, I forget how many years, but I gave me five years, you got like a couple
[05:44.000 --> 05:50.800]  months sabbatical, uh, and he got rid of that because he, you know, it, I forget the various
[05:50.800 --> 05:54.360]  reasons, but one of them was that an awful lot of the time people would take a sabbatical
[05:54.360 --> 05:56.440]  and then at the end of the sabbatical, they'd quit.
[05:56.440 --> 06:02.280]  Um, but there's sort of a de facto sabbatical where if you feel burned out, you just quit,
[06:02.280 --> 06:06.600]  you can leave and, you know, as long as you're on good terms, it's like the easiest way
[06:06.600 --> 06:10.440]  to get a job at Apple is to have been a successful Apple employee before.
[06:10.440 --> 06:14.520]  I can't tell you how many people I know who've left and come back within.
[06:14.520 --> 06:15.520]  Sometimes a year.
[06:15.520 --> 06:16.520]  Sometimes it's actually pretty quick.
[06:16.520 --> 06:18.520]  Sometimes three, four years, but they do.
[06:18.520 --> 06:24.320]  But one of the things you could do that would ruin that would be to, you know, uh, you
[06:24.320 --> 06:26.360]  know, blab about the company in the intern.
[06:26.360 --> 06:27.360]  Yep.
[06:27.360 --> 06:28.360]  No, totally.
[06:28.360 --> 06:32.000]  No, it's, it's a very like, at this point, it's, I mean, everyone kind of knows about it.
[06:32.000 --> 06:38.560]  I think, um, even Apple internally, like they, they, it's, it's, it's like it's totally
[06:38.560 --> 06:42.880]  accepted and, and kind of the assumption, yeah, you could burn out, uh, yeah, only, only
[06:42.880 --> 06:48.040]  at Apple, do you get burned out and go work at a startup to relax and then you come back.
[06:48.040 --> 06:49.040]  Right.
[06:49.040 --> 06:55.480]  It gives you an idea of what the, uh, what the, what the pace and, uh, expectations are.
[06:55.480 --> 06:56.480]  Yeah.
[06:56.480 --> 06:59.200]  But it is, you know, it's, it's, it's, I think it's, you know, it's an interesting way to
[06:59.200 --> 07:00.200]  do sabbatical.
[07:00.200 --> 07:02.200]  Quit.
[07:02.200 --> 07:03.200]  Come back.
[07:03.200 --> 07:04.200]  Yeah.
[07:04.200 --> 07:06.200]  I mean, it works for them.
[07:06.200 --> 07:10.200]  I'm not sure that it's something that other companies want to adopt as, as, as a policy.
[07:10.200 --> 07:11.200]  Yeah.
[07:11.200 --> 07:14.200]  Did Microsoft have a sabbatical policy?
[07:14.200 --> 07:15.200]  Uh, I don't think so.
[07:15.200 --> 07:18.200]  Um, at least not that, not that I remember.
[07:18.200 --> 07:22.200]  Um, I mean, I wasn't, I wasn't really there long enough to, to have it matter for me.
[07:22.200 --> 07:27.200]  Um, but I, I've heard of people taking sabbaticals, but I don't think it was like a formal thing.
[07:27.200 --> 07:30.160]  I think it was those things where if you're, you know, if you're in good standing and,
[07:30.160 --> 07:35.160]  the other, I think what Microsoft is, um, in part because of, of where they're located,
[07:35.160 --> 07:40.160]  I mean, there, there are more and more, you know, tech jobs in, in Seattle and, and startups
[07:40.160 --> 07:41.160]  and stuff.
[07:41.160 --> 07:45.400]  But in general, it's more of a big company town with Microsoft and Amazon and no one from
[07:45.400 --> 07:49.640]  Microsoft wants to work at Amazon for the most part, um, because, you know, everyone thinks
[07:49.640 --> 07:53.640]  that, you know, they, they, they work in say, an hours and no campaign or anything.
[07:53.640 --> 07:58.920]  Um, so it's kind of a plus in Microsoft, it's a plus in that, like, there's still a lot
[07:58.920 --> 08:00.200]  of really good employees there.
[08:00.200 --> 08:04.280]  Whereas if they had been in the valley, like, you take him to like HP or, or Yahoo, especially
[08:04.280 --> 08:09.200]  before, or American back, and they just lost, they lost so many people, you know, in, they're,
[08:09.200 --> 08:11.320]  just like, how do you come back from that?
[08:11.320 --> 08:14.960]  Um, whereas Microsoft, I think, uh, one of the advantage of being there is that they,
[08:14.960 --> 08:17.360]  they, they're still a lot of like really strong people there.
[08:17.360 --> 08:21.120]  Um, it's a disadvantage though, because you get people that are just kind of there and they're
[08:21.120 --> 08:26.200]  not particularly pleased with being there and they're kind of a drag, um, so it cuts both ways.
[08:26.200 --> 08:32.760]  Um, I think, I do recall people, you know, taking some time off and, you know, it being
[08:32.760 --> 08:38.440]  okay because they're valuable employees and, you know, people appreciate that sometimes
[08:38.440 --> 08:41.040]  you need to unplug for a bit.
[08:41.040 --> 08:45.600]  It used to be, I mean, this is ancient history, but it was, you know, when I wasn't getting
[08:45.600 --> 08:54.640]  out of college in 96, I mean, Microsoft was, I don't know, notorious, infamous, famous for
[08:54.640 --> 08:57.880]  being like the hardest place in the world to get hired.
[08:57.880 --> 09:01.560]  It was, you know, that there was the play, I think they practically invented the sort
[09:01.560 --> 09:07.200]  of gimmicky, you know, you know, off the top of your head, how many marbles would fit
[09:07.200 --> 09:11.520]  in a, you know, beer barrel or a Volkswagen bug, right?
[09:11.520 --> 09:17.120]  Of interview question, uh, why, why is a manhole cover around?
[09:17.120 --> 09:23.320]  And, and, and also, but tough like whiteboarding questions too for programmers.
[09:23.320 --> 09:30.840]  Yeah, I think that, that, that's probably, I mean, any, any company that's on top tends,
[09:30.840 --> 09:32.680]  I mean, it shifted to Google, right?
[09:32.680 --> 09:37.800]  And it's, uh, you know, some people have the nature or they want to like get on the next
[09:37.800 --> 09:42.440]  big thing, but for a lot of people, the idea of being at the market leader and knowing,
[09:42.440 --> 09:44.520]  you know, that, that's, that's attractive a lot of people.
[09:44.520 --> 09:48.040]  And those people are valuable too because you need, those are the kind of folks that kind
[09:48.040 --> 09:52.040]  of provide long-term stability because, you know, once, once they're set, they're set.
[09:52.040 --> 09:56.280]  I mean, you, you do need the people that really take risks and push forward, but, um, it,
[09:56.280 --> 10:01.240]  it's always a balance and it can create a certain arrogance, though, like an institutional arrogance,
[10:01.240 --> 10:06.360]  because the gist of it is then it creates this, it created a culture, I think, where the assumption
[10:06.360 --> 10:12.200]  was any, you have to be really smart to work at Microsoft and, and therefore everybody here is
[10:12.200 --> 10:18.200]  like the smartest people in the world. And at the time, Microsoft had this extraordinary success
[10:18.200 --> 10:23.000]  that seemed to back up the idea that the company was staffed with all of the best programmers
[10:23.000 --> 10:29.160]  in the world. Absolutely. No, it's definitely a problem. And, and you get, it's a problem on a
[10:29.160 --> 10:37.160]  few levels. One, you definitely get arrogance or arrogant. Um, two, it also kind of breeds, uh,
[10:37.160 --> 10:41.640]  a little bit of a, a bad culture in that everyone, everyone is all, it's like the first time a
[10:41.640 --> 10:45.000]  lot of these people have gotten to a place where they're not for sure the smartest person in the
[10:45.000 --> 10:49.800]  room. And so everyone's very eager to show that they are the smartest person in the room.
[10:49.800 --> 10:54.200]  And like people trying to show that they're smart is not conducive to, you know, a collaborative,
[10:55.640 --> 11:01.880]  collaborative work or, you know, it is conducive to having a very doggy dog sort of culture,
[11:01.880 --> 11:09.080]  which Microsoft is very famous for. Um, and, and I think that's, that's probably plays into it.
[11:09.080 --> 11:14.680]  Yeah. And I think Google is the inheritor of that. I do think Google, I mean, Google is
[11:14.680 --> 11:20.520]  so much like Microsoft. I mean, just in so many respects, I mean, I've written from just from a
[11:20.520 --> 11:24.920]  big picture, like strategic perspective, I think that they're, they're right now in a place
[11:24.920 --> 11:29.000]  similar to Microsoft, you know, around around 2000. Obviously, that's somewhat controversial,
[11:29.000 --> 11:33.640]  but not even that, but just the way they hire the way they, the way they treat employees,
[11:33.640 --> 11:37.800]  their status and the valley, the way people look at them. I mean, for sure, they're, they're
[11:37.800 --> 11:43.400]  the inheritor. Even, even, and I think you can agree with that, even if you like Google and hate
[11:43.400 --> 11:48.040]  Microsoft or vice versa. Right. And it's, it's just a function of being kind of the big dog.
[11:48.040 --> 11:52.120]  And like, of course, Apple is, is the biggest quote unquote from market perspective,
[11:52.120 --> 11:57.000]  but they've always, Apple's always been very, it's Apple's of the valley, but they're separate
[11:57.000 --> 12:02.280]  from the valley. Like all the startups and all the people like all work towards Google and people,
[12:02.280 --> 12:06.520]  bottoms after that, just as they previously did Microsoft, and Apple's always been kind of a bit of
[12:06.520 --> 12:11.400]  an aberration, um, from a culture perspective, from the product development perspective,
[12:11.400 --> 12:16.920]  and obviously, you know, there's something to that. I think it's also, and from a personality
[12:16.920 --> 12:21.160]  perspective, I think that the, that the, I mean, and I know, I think I've talked about this before
[12:21.160 --> 12:28.760]  in the show. I know people who have gone between Google and Apple, but not very few, fewer than any
[12:28.760 --> 12:34.600]  similar companies that I know of, like they just, the two companies tend to draw very, very different
[12:34.600 --> 12:40.520]  personalities. No, for sure. And I think you can see this from a social perspective, um, you know,
[12:40.520 --> 12:47.240]  I think Apple people tend to hang out with Apple people, whereas Google and, and kind of this whole
[12:47.240 --> 12:53.160]  startup culture is much more, um, much more of a group and goes back and forth. And you see a
[12:53.160 --> 12:58.680]  tons of, you know, people from Google going into going into startups and coming back and stuff
[12:58.680 --> 13:03.320]  like that. And you do see it at Apple, but I think to a much lower degree, I think you, you have more
[13:03.320 --> 13:11.240]  long term employees at Apple. Um, I mean, it's hard to say, I mean, we're, we're, we're probably both
[13:11.240 --> 13:16.120]  definitely have always felt that, you know, the value company is Google. Yeah. Even though Apple's
[13:16.120 --> 13:20.920]  the biggest just Apple is kind of it's in its own world and kind of always has been. Yeah. I also
[13:20.920 --> 13:26.600]  the personality wise, I think a lot of the people who I've gotten to know at Apple, who are very
[13:26.600 --> 13:30.600]  smart though, but they're not the type of smart person who wants to assert that they're the smartest
[13:30.600 --> 13:35.400]  person in the world or in the room that they're and they'd be happy not to be because they think
[13:35.400 --> 13:40.280]  cool. Now I've got these other smarter people and almost like to if you want to bring some
[13:40.280 --> 13:46.280]  uh, sports ball into it, it's, you know, what do you do if you've always been the star basketball
[13:46.280 --> 13:52.680]  player? But now you're only the third or fourth best. Are you happy? Because holy, holy shit,
[13:52.680 --> 13:57.400]  now I've got three guys on the team who are even better than me and I'll settle into a smaller
[13:57.400 --> 14:03.720]  role and we're going to win. Or are you, you know, are you upset and going to complain about
[14:03.720 --> 14:10.600]  how many shots you're getting and stuff like that? No, totally. And I mean, I think of, I'm very
[14:10.600 --> 14:15.560]  vociferous in my, uh, you know, I love the NBA. I love basketball. And one of the reasons I love
[14:15.560 --> 14:21.080]  it is because I think it's, it's a sport that it's one of the hardest sports to kind of figure out
[14:21.080 --> 14:25.320]  right. I mean, I think we might have talked this last time, you know, like baseball is at the end
[14:25.320 --> 14:31.000]  kind of a one on one game. Whereas basketball, the interaction, both on offense and especially on
[14:31.000 --> 14:36.920]  defense is, is so important to it. And it's, and it's not, it's not, you can't distill it to a
[14:36.920 --> 14:40.920]  spreadsheet. It's just one of those, there's a lot of feel to it. If that makes sense. Right. And
[14:40.920 --> 14:47.080]  with only five players on the court at any time, one new player is a significant difference.
[14:47.080 --> 14:53.240]  I mean, I think maybe the canonical example would be when, um, when King James went to the heat
[14:53.240 --> 15:01.160]  and they already had a lineup of all star players and they added, um, you know, almost in
[15:01.160 --> 15:06.200]  arguably the best player in the league, that's not necessarily, that wasn't necessarily going to work
[15:06.200 --> 15:12.840]  out. There wasn't, you know, it was certainly a talent injection, but it, it isn't necessarily,
[15:13.560 --> 15:18.120]  it wasn't, it wasn't fate that it was going to lead to success. Right. It was a fascinating
[15:18.120 --> 15:24.600]  thing. He's received a replay out, right. And then it's arguably going, going worse than it did that
[15:24.600 --> 15:30.360]  time. Um, so no, it was with the Cavaliers. Yeah. Yeah. Totally. So the other thing that's interesting
[15:30.360 --> 15:36.040]  about Apple that I've always found very fascinating is, um, if you look at kind of the executive board
[15:36.040 --> 15:42.040]  of most big companies, it's like Stanford Stanford, MIT, Stanford, Stanford. Um, but that's
[15:42.040 --> 15:47.320]  never been the case for, for Apple. I mean, you look at it right now. I mean, you have, um, you know,
[15:47.320 --> 15:53.880]  Tim Cook went to Auburn, uh, and Angela Aaron's went to, went to ball state, uh, Eddie Q went to,
[15:53.880 --> 15:58.520]  uh, Eddie, he went to Duke, which obviously, um, you know, that, that's a pretty just school, but
[15:58.520 --> 16:01.960]  yeah, but it's not a valley school, right? It's not, it's not a valley school. Um,
[16:01.960 --> 16:08.280]  Shiller was a Boston college, right? Yeah. I think so. Um, and at least it, well, if he's not,
[16:08.280 --> 16:13.400]  he's, for whatever reason, he's a huge fan of their sports. Yeah. I, I think he is, um, I just,
[16:13.400 --> 16:17.480]  I just opened a couple of them here, um, the University of Massachusetts, Amherst, Dan
[16:17.480 --> 16:26.360]  Riccio, uh, Phil Schiller is Boston college. Yeah. Um, and I, I think that's, uh, Jeff Williams,
[16:26.360 --> 16:32.200]  North Carolina state. I mean, like state schools, right? I mean, good schools, uh, solid schools,
[16:32.200 --> 16:39.160]  um, but not very different than the, than, than a lot of the valley. And I think, I think it's
[16:39.160 --> 16:44.440]  a big deal. I think it matters. And, um, I'm biased in this regard. I went to a state school. Uh,
[16:44.440 --> 16:50.840]  I mean, uh, it was no Drexel University, but, um, Drexel is like Drexel is like the public school
[16:50.840 --> 16:57.400]  for people who were otherwise going to end up in a state school. Um, but, uh, yeah, I think,
[16:58.200 --> 17:04.360]  it's, I don't know. I, I, I, I'm not objective in the slightest in this because when I was, um,
[17:04.360 --> 17:12.200]  when I was getting my MBA, uh, the, I had a very hard time getting a job. And because I had this
[17:12.200 --> 17:16.920]  very kind of non-traditional background, I had been living abroad. I'd teaching English, um,
[17:16.920 --> 17:22.360]  traveling the world, stuff like that. And lots of companies were like, people telling me,
[17:22.360 --> 17:25.960]  oh, it's very interesting, but I would never make the comfort interview. If I got a first interview,
[17:25.960 --> 17:29.800]  it would never make it to a second one, even if I thought the interview went very well. Um,
[17:29.800 --> 17:35.880]  and kind of the one exception was, was Apple, uh, where everything went fantastically,
[17:35.880 --> 17:41.960]  got in, you know, relatively, you know, quite easily. And, and the interview told me right
[17:41.960 --> 17:45.240]  about, or, and I was fortunate because the, like the interview was sick, so I interviewed with the
[17:45.240 --> 17:49.960]  high-end director, like my first interview, so that probably accelerated things. But she's like, um,
[17:51.400 --> 17:56.920]  like, I wanted to hire you to say a resume because it was so off the wall. Like that's,
[17:56.920 --> 18:01.160]  that's the sort of person that we're looking for. And you go there and you meet lots of people and
[18:01.160 --> 18:05.400]  I believe it because most of the people I met, yeah, there were some Stanford people and there were
[18:05.400 --> 18:11.800]  some, you know, MIT people and stuff like that. But, uh, a lot of people had really weird backgrounds
[18:11.800 --> 18:17.720]  and did lots of strange stuff. And they were super smart, but they were the weird, weird people smart.
[18:17.720 --> 18:23.960]  And I think that's, I don't think that's an accident. Yeah. Uh, I know a lot of engineers at Apple,
[18:23.960 --> 18:27.240]  or at least a couple, I shouldn't say a lot. I know a couple at least who don't have any degree at
[18:27.240 --> 18:34.440]  all. Um, and I would say I know a lot who have degrees and things other than computer science,
[18:34.440 --> 18:40.520]  you know, physics, a lot of physics. I mean, I, I don't know how many, both indie and people at Apple,
[18:42.520 --> 18:45.960]  you know, people who went to school for physics and were programming on the side,
[18:45.960 --> 18:50.840]  and then just got sucked into it. And it just was irrelevant to their job prospects at Apple that
[18:50.840 --> 18:56.200]  they didn't have a computer science degree or, you know, whatever school. Wasn't there
[18:56.200 --> 19:04.680]  a thing in Nick Carlson just new book on, on Marissa Meyer where she was, uh, I forget who she was
[19:04.680 --> 19:10.200]  dismissive of because she didn't have a college degree. I don't remember. I haven't read
[19:10.200 --> 19:14.840]  it yet. I've read the excerpt. There was something though where she was, you know, she's sort of
[19:14.840 --> 19:21.320]  just turned her nose up at somebody else just because the person had didn't have a college degree.
[19:21.320 --> 19:29.080]  I mean, for, by all, you know, Google is, is kind of notorious for having a very strong bias towards,
[19:29.080 --> 19:34.200]  um, you know, towards your degree in your GPA, in particular, if you're from Stanford. And I think
[19:34.200 --> 19:39.240]  a lot of the, a lot of the valley is. And it's one of those things where I think the problem with it
[19:39.240 --> 19:43.640]  is, is it raises the floor for who you hire, like you're going to get someone that's smart and
[19:43.640 --> 19:48.680]  capable. But anytime you raise the floor, you're also lowering the ceiling because you're kind of
[19:48.680 --> 19:54.520]  constraining, uh, constraining your options. And if someone fits in a box, like you're not going to
[19:54.520 --> 20:00.440]  get out of the box thinking. I mean, it's, it's, and I think Apple, at least in my personal experience
[20:00.440 --> 20:04.360]  and from people that I saw there and for I talked to and this is something that we did talk about
[20:04.360 --> 20:11.560]  in a university like the way Apple thinks about hiring, um, putting much more value on non school
[20:11.560 --> 20:17.800]  stuff and, and, and if they're smart and if they're kind of weird and they've done interesting
[20:17.800 --> 20:23.480]  things, then that's someone that we're interested in. Um, and if they spent their whole day going,
[20:23.480 --> 20:30.680]  going to schools and having a high GPA, it might be useful, but, um, it's almost more of a,
[20:30.680 --> 20:36.680]  more of a challenge in some respects. Yeah. Um, the other thing too, and you like that whole,
[20:36.680 --> 20:41.240]  like asserting who's the smartest person in a room, like I've heard this from other people too,
[20:41.240 --> 20:45.800]  but this is like even personal experience, like way back when probably close to 10 years ago,
[20:45.800 --> 20:52.120]  like about like eight years ago, when I was a joint, we had a meeting with Apple. Um, just, uh,
[20:52.120 --> 20:55.160]  hey, we, you know, we're interested in what you guys are working on. This is when
[20:55.160 --> 21:03.000]  joint was not a hosting company when we were doing like a web-based, uh, email calendar,
[21:03.000 --> 21:10.600]  contacts, notes, syncing type thing. Um, and it was a, you know, it was a pleasant meeting.
[21:10.600 --> 21:15.480]  It was, you know, maybe like 30, 40 minutes, uh, but it was like the opposite of anybody
[21:15.480 --> 21:19.880]  trying to assert who is the smartest. All they wanted to do was listen. That's it. They had,
[21:19.880 --> 21:24.840]  they had questioned, but there was absolutely no, it was the opposite. It was almost like creepy
[21:24.840 --> 21:30.840]  how much they were just observing and listening to us and revealing nothing about themselves.
[21:31.960 --> 21:36.680]  Yeah. Well, if you want, I mean, if you want to get into like, uh, wait, read way too much into this,
[21:36.680 --> 21:40.760]  like we probably already are, but if you want to, if you want to take it full speed ahead, um,
[21:40.760 --> 21:44.280]  one of the best things about being an intern at Apple is they have this, like this intern lecture
[21:44.280 --> 21:49.800]  series where basically the executive team at different members of this executive team for lunch,
[21:49.800 --> 21:53.960]  they come in for an hour and they, and they talk some, some, some just talk the whole time, some
[21:53.960 --> 21:58.040]  give presentations. Others just do Q and A. So it was, I mean, so you got an hour Steve Jobs,
[21:58.040 --> 22:04.600]  an hour Tim Cook, an hour with Phil Schiller, like Ron, uh, with Ron Johnson, like it was an
[22:04.600 --> 22:10.680]  incredible experience, like worth the internship alone. Um, but, uh, there was one that was
[22:10.680 --> 22:18.680]  really interesting because this person came in and he was obviously the smartest person in the
[22:18.680 --> 22:24.360]  room. And he was also determined to make sure that everyone knew who's the smartest person in the
[22:24.360 --> 22:30.760]  room. It is the person is the person no longer at the company. I'll give you one guest as to who
[22:30.760 --> 22:35.480]  this person was. I'm guessing it was Scott Forstahl. It was, it was like, I, I walked out of the
[22:35.480 --> 22:39.320]  meeting and I told him, and I told a friend of mine and we, we, we talked to this right after he
[22:39.320 --> 22:45.160]  left Apple, like we, because we talked about right afterwards, like it was so, it was jarring. Um,
[22:45.160 --> 22:52.040]  I mean, he was so clearly brilliant. Um, but it, like his, it was just such a turnoff to listen to him
[22:52.040 --> 22:58.200]  talk, um, especially relative to, to some of the other executives and, um, and if you were
[22:58.200 --> 23:01.000]  trying to get, you know, we're going to really piss off all the Stanford listeners, but yeah,
[23:01.000 --> 23:08.200]  there's your Stanford guy. Um, and, uh, and, um, I don't know, like I wasn't, it was one of those
[23:08.200 --> 23:15.320]  things where when he left, I was shocked, but I was not surprised, uh, because of that, that lecture
[23:15.320 --> 23:19.320]  that I heard from him. Well, I mean, there wasn't just that. There was, I mean, I had heard stuff,
