[00:00.000 --> 00:04.400]  No, seriously, do you do you do you wear polarized sunglasses? I have sunglasses
[08:47.300 --> 08:49.700]  I I also got contact. So most of the time
[08:50.580 --> 08:52.580]  I I didn't look different but
[08:53.140 --> 08:57.060]  Um, you know, I just you know, you don't want to be mature about it. You don't want to act like a fifth grader
[08:58.180 --> 09:01.380]  But like within a day or two it turned out that he didn't have prescription glasses
[09:01.380 --> 09:06.420]  He he he just had glasses and he and he literally said I think they make me look smart
[09:06.420 --> 09:12.180]  And then we just tore into him. I mean, of course. Oh, it's like off to the races because all of a sudden instead of making fun
[09:12.180 --> 09:16.020]  Of somebody for having you know, yeah a legitimate problem you can yeah
[09:16.580 --> 09:20.260]  Well, i've had bad eyesight since fourth grade. So, you know, I don't want to hear it
[09:20.740 --> 09:24.900]  Like I've you know, i've had to live with i've had to live with this pain for a long time
[09:25.780 --> 09:31.540]  You're gonna just wear them because you think they look good. I've told this story before this is one of the this might be the funniest
[09:31.540 --> 09:33.540]  Thing that ever happened to me in my life, you know
[09:33.540 --> 09:39.140]  I think i've told this story on this show before but I bet it was years ago. So why not rehash it? It was sixth grade
[09:40.260 --> 09:42.580]  And this kid dwayne i'll name him dwayne
[09:43.380 --> 09:49.940]  Dwayne, and I got sent down to the nurse together for the annual kids go down two by two and you got to get your eyes checked
[09:50.500 --> 09:55.940]  Right and you I don't know why they send you two by two. I don't think the nurse was very good with children
[09:55.940 --> 09:58.100]  So she couldn't handle very many at the time
[09:58.980 --> 09:59.940]  and
[09:59.940 --> 10:06.020]  so I the lights are real low in the room because it's set up for like eye exams and there's a chair to wait and it's
[10:06.020 --> 10:10.980]  About halfway like between there's like a piece of tape on the ground where you stand and then there's a standard eye chart
[10:12.420 --> 10:17.700]  And she said, you know who wants to go first and dwayne dwayne went first I took a seat I took a seat
[10:17.700 --> 10:23.220]  I'm halfway to the sign and I thought well, you know what this would be so easy to cheat because it means the way my brain
[10:23.220 --> 10:24.740]  works is
[10:24.740 --> 10:29.300]  Look i'm halfway there. I got to go down to the nurse. I got to go down to the nurse
[10:29.300 --> 10:31.620]  I'm halfway there. I can just memorize the bottom line
[10:32.500 --> 10:34.500]  um
[10:34.820 --> 10:38.980]  I don't know. That's all that's so i'm thinking about you know, how why wouldn't they you know?
[10:39.380 --> 10:42.180]  Proctor this exam a little bit more on the up and up
[10:42.900 --> 10:44.420]  In the meantime and remember how they used to do it
[10:44.420 --> 10:47.620]  They'd like have you have you read and it was the same thing every year
[10:47.620 --> 10:51.460]  You have you know, see which line you can read cover the other eye do it with the other eye
[10:51.940 --> 10:57.540]  And then they at our school they used to give us a pair of glasses and they were they're like they look like warby parkers
[10:57.540 --> 10:59.060]  now they're like
[10:59.060 --> 11:03.060]  I guess you know, they're like what looks cool now like black chunky glasses, but like in the 80s
[11:03.140 --> 11:07.540]  They were the worst glasses you can imagine and they were real thick and it was the same pair
[11:07.540 --> 11:11.140]  They just put them on and then what do you see and when you know when i'd put them on?
[11:11.300 --> 11:15.380]  It's like you could almost see nothing. I mean like the whole world just it's like vaseline on your eyes
[11:16.180 --> 11:20.740]  And you know, this is the sixth grade same school all six years. So it's like the sixth time i've done this
[11:21.380 --> 11:25.940]  And i'm sitting there and i'm you know bored and i'm listening and and she's like what about this row?
[11:25.940 --> 11:32.100]  What about this row and dwayne can't see any of the rows. He couldn't even see the big e at the top
[11:34.340 --> 11:38.740]  And I started giggling and then then she had him cover his other eye
[11:39.460 --> 11:43.540]  And it was the same thing. He he couldn't read a damn thing on the eye chart
[11:44.180 --> 11:46.980]  And I I was just dying. I was like, oh my god
[11:50.660 --> 11:52.500]  He's like blind
[11:52.500 --> 11:56.740]  And then she goes what if you try these on and she gives him this pair of glasses that everybody had to try
[11:57.220 --> 11:59.220]  And he goes, oh wow
[12:02.100 --> 12:05.940]  And I just died I just like fell out of my chair laughing and
[12:11.300 --> 12:13.300]  Wayne has not seen the the board
[12:13.300 --> 12:21.460]  Right three years and the nurse turns to me and she goes do you think something's funnier and I said he can't see anything
[12:25.140 --> 12:29.220]  And he had dwayne had good parents, you know, I think his mom was even a nurse, you know
[12:29.300 --> 12:35.540]  And nurses kids are always you know, it's not like he didn't have health care or anything. I just like never reported it
[12:35.620 --> 12:37.220]  He never like noticed
[12:37.220 --> 12:42.420]  And somehow he I don't know if he had had a really bad year between fifth and sixth grade if he'd you know
[12:42.420 --> 12:45.140]  Been absent the year before when they did the same thing
[12:46.260 --> 12:50.980]  But lo and behold like two days later. Dwayne comes in wearing the thickest glasses
[12:55.620 --> 12:57.460]  Oh my god, yeah
[12:57.460 --> 12:59.460]  hank's got glasses, too
[12:59.460 --> 13:05.780]  Um, he doesn't have to wear them that much as it's I say it's pretty pretty good. It's just mild but uh, is it distance or close?
[13:06.580 --> 13:07.620]  distance
[13:07.620 --> 13:08.980]  and
[13:08.980 --> 13:13.380]  Man, the first the first pair that he got were uh was with spider-man glasses
[13:14.020 --> 13:17.780]  Oh, I remember seeing a picture of him with those. That's a cool. Yeah, they were they were and they were awesome
[13:17.860 --> 13:19.700]  They were very subtly spider-man
[13:19.700 --> 13:26.520]  The case was was kind of spider-maned up, but the uh, the glasses themselves looked like sort of warby parker-ish
[13:26.980 --> 13:29.940]  except they just had a little like spider web on the uh,
[13:30.740 --> 13:32.740]  on the things on the side
[13:33.220 --> 13:34.740]  I thought oh man, i'd wear those
[13:34.740 --> 13:40.180]  I see a lot more kids at jonas's school wearing glasses than when I was a kid when I was a kid it
[13:40.660 --> 13:45.780]  It just seemed pretty rare. There were only a handful of kids who wore glasses. Yeah, it seems pretty common
[13:45.860 --> 13:50.020]  I can't even wait to see what happened to these kids. You know, they say that standing, you know being a
[13:50.980 --> 13:54.740]  Foot away from a glowing computer screen for hours a day is bad for your eyes
[13:55.140 --> 13:57.860]  Can you even imagine how much worse it's going to be for these kids?
[13:58.500 --> 14:03.540]  I can't even imagine. Yeah, our kids are going to need corrective surgery because I feel like with us like we were
[14:03.540 --> 14:06.180]  I mean even when we were playing video games like in an arcade or something
[14:06.260 --> 14:11.060]  I mean the the the crts were so fuzzy you didn't really have to focus that what that closely
[14:11.380 --> 14:13.220]  Yeah, I think that was good for us
[14:13.220 --> 14:15.220]  And you couldn't afford to play for you know
[14:15.700 --> 14:17.700]  As long as they can now
[14:20.020 --> 14:24.020]  I always think of that. I do think of that whenever the people complain about the in-app purchases
[14:24.020 --> 14:28.740]  It's like do you realize how much money it cost me to play video games? I worked as a teenager
[14:28.740 --> 14:35.780]  I worked at a video arcade and oh man, man, I just I spent I spent everything you peeked early the place
[14:36.420 --> 14:41.220]  But the cool thing was I had the key to the place left without a paycheck every week
[14:41.860 --> 14:45.940]  Yeah, basically, but I had the key to the place and so like on saturday night
[14:46.020 --> 14:47.540]  I would take my friends
[14:47.540 --> 14:50.340]  and when it was closed and we would just go down and open it up and
[14:50.660 --> 14:55.140]  Lock the door and just stand there and play video games. What was your favorite video game in that arcade?
[14:55.140 --> 15:00.740]  Uh, what my favorite of all time. I'm not sure if it was in that one or not was tempest. Oh, that's a good game
[15:01.300 --> 15:05.700]  I loved all the ones still love that all the vector of vector art games. Yeah
[15:06.900 --> 15:09.700]  Yeah, those were all good. Yeah star wars
[15:10.580 --> 15:12.900]  Yeah, the star wars one battle zone
[15:13.540 --> 15:17.060]  Battles and was it? Yeah, I guess asteroids was vector graphics, too
[15:17.700 --> 15:22.900]  Uh, never really thought about that. But now that I think about the way that asteroids looked it. I think it was yeah
[15:22.900 --> 15:25.940]  And there were a number of asteroids rip-offs that were pretty good, too. Yeah
[15:27.940 --> 15:31.540]  Uh, I remember my favorite neighborhood arcade growing up
[15:32.500 --> 15:35.940]  uh had spy hunter always a favorite and uh
[15:36.500 --> 15:38.500]  Yee are kung fu
[15:38.500 --> 15:45.380]  That that that's that I know dan benjamin and I talked at length about yee are kung fu years ago on on the show
[15:46.260 --> 15:52.100]  He was a big fan. You remember that game. I don't because I missed that phase. Yeah, that's what I remember
[15:52.100 --> 15:54.100]  Yeah, that whole that whole fighter
[15:54.740 --> 16:00.100]  Thing came a little bit after my time yee are kung fu was like one of the first ones you
[16:00.820 --> 16:08.100]  Google it after the show and you'll see from the graphics quality that it was it was pre like street fighter. Yeah
[16:09.460 --> 16:13.220]  It was a lot more like pac-man era graphics
[16:13.860 --> 16:14.820]  um
[16:14.820 --> 16:19.940]  Even had like the I know it was made it might have been made by the same company as as pac-man because it had that same
[16:19.940 --> 16:21.940]  Same exact same high score font
[16:22.660 --> 16:24.660]  um
[16:24.900 --> 16:30.660]  Same basic idea though where you fight, you know, two guys fight side by side, but it was it was an older older version of it
[16:31.060 --> 16:33.060]  great game
[16:33.620 --> 16:35.620]  Oh, man arcades
[16:36.660 --> 16:38.580]  Anything going on this week
[16:38.580 --> 16:40.260]  No, I don't think so
[16:40.260 --> 16:43.060]  All right. Let's i'll take a break. Let's get it out of the way. Let's do a sponsor
[16:43.780 --> 16:47.620]  One of our great friends. Let's let's talk about backblaze
[16:47.620 --> 16:49.140]  Long time sponsor of the show
[16:50.100 --> 16:56.660]  What do they do easy unlimited unthrottled backup for your macintosh computers?
[16:57.780 --> 17:00.260]  Uh, what do you mean unlimited doesn't matter how much you have to store
[17:00.820 --> 17:04.980]  If you can get it through the internet to their servers, you can back it up
[17:05.300 --> 17:09.220]  Might take you a couple weeks took me a couple weeks to get my whole thing backed up. It's all right
[17:09.380 --> 17:13.860]  It'll it for me. There's like a 30-day free trial no credit card required
[17:13.860 --> 17:15.860]  No credit card required. Um
[17:16.580 --> 17:18.580]  You'll probably if you have any kind of decent bandwidth
[17:18.580 --> 17:22.180]  You'll get it up before the end of the you'll get everything up before the end of the 30 days
[17:22.740 --> 17:26.500]  Uh doesn't matter but then once you do once you have that first backup up
[17:27.140 --> 17:29.940]  Uh, everything else is incremental. Of course doesn't take long
[17:30.820 --> 17:36.660]  And while it's backing up you can uh, you can even use it. You can start to use it with whatever
[17:36.740 --> 17:38.740]  It's already been backed up
[17:38.740 --> 17:44.340]  Uh, but what about getting it back? Here's the thing. This is one of the stats that they've given me
[17:44.420 --> 17:51.220]  They've just crossed the six billion files restored mark in other words in the aggregate users of backblaze
[17:51.700 --> 17:56.340]  Have restored six billion files. It's amazing
[17:57.220 --> 18:00.180]  They have over 100 petabytes of data backed up
[18:00.980 --> 18:07.860]  One petabyte is a thousand terabytes and a terabyte is huge. So they've got tons of storage
[18:07.860 --> 18:09.620]  They've restored tons of files
[18:10.260 --> 18:12.340]  Uh, and it's great software you can
[18:12.980 --> 18:17.540]  You can restore one file or all your files. You can do it over the web
[18:18.020 --> 18:22.100]  You can pay them to put everything on to a hard drive and ship it to you
[18:23.380 --> 18:25.380]  Anything you'd think that an online
[18:26.180 --> 18:33.460]  Has everything backup system could do backblaze does founded by ex-apple engineers. It's really great native software
[18:33.460 --> 18:40.660]  For your mac, there's no add-ons. No gimmicks. No additional charges five bucks a month per computer
[18:41.300 --> 18:45.540]  Five bucks a month. I've been talking about this for a while. This is the best five bucks a month you can spend
[18:46.420 --> 18:50.840]  Great great service. Here's where you go to find out more go to backblaze.com
[18:51.860 --> 18:55.060]  Slash daring fireball. They'll know you came from the show
[18:56.900 --> 19:01.380]  And you know just start no credit card required just just go there sign up
[19:01.380 --> 19:03.380]  backblaze
[19:04.420 --> 19:12.180]  So what have we crossed off the list so far polarized sunglasses yes arcade arcade games oh and pres by opiate
[19:15.460 --> 19:17.460]  Well, here's the weird thing I didn't know this
[19:18.100 --> 19:24.180]  Is um, so like with my left eye it's if I close my right eye, I actually really I ought to be honest
[19:24.180 --> 19:27.380]  I can't read my iPhone anymore if it's just with my left eye
[19:27.380 --> 19:30.820]  If I close my left eye, I can read it with my right eye just like i've always
[19:31.540 --> 19:35.860]  Done before and for some odd reason with both eyes open. It looks even better
[19:35.860 --> 19:40.580]  I don't know at some I don't know how that works even though my left eye can't focus it
[19:41.300 --> 19:44.260]  It somehow looks better in my head with both eyes open
[19:46.580 --> 19:51.300]  But obviously if it just happened in my life if it's happened in my left eye in the past year my right eye is probably uh,
[19:51.700 --> 19:53.700]  I don't know whatever it is in there in there
[19:53.700 --> 20:01.220]  Whatever mechanism it is in there that lets you focus both at long distance and short range. It's it's probably all rusted out
[20:02.740 --> 20:05.300]  It's like a like one loose screw in there
[20:08.740 --> 20:11.220]  Yeah, it's like the millennium falcon hyperdrive
[20:14.260 --> 20:15.060]  I
[20:15.060 --> 20:19.540]  I had no idea but I thought too I would the thing is is that a distance my left eye
[20:19.540 --> 20:24.020]  Was also a little blurry. Um, and I thought oh, I just need a new prescription
[20:24.260 --> 20:26.740]  And so I went to the eye doctor and got in there like yep
[20:26.740 --> 20:30.580]  Your left eye got a little worse since last year. You need a new prescription. Here you go
[20:31.300 --> 20:38.980]  Here's a sample contact lens. Try this out tried it out and and close distance stuff got worse like way worse and I was like
[20:39.300 --> 20:40.100]  Uh-oh
[20:40.100 --> 20:43.860]  So I went back and needed it takes a lot for me to go back to a doctor and I was like
[20:44.020 --> 20:48.500]  Uh, I didn't I just thought I had to go back to a doctor and I was like, uh, I didn't I just thought
[20:48.500 --> 20:53.140]  I didn't I just thought everything was blurry and and I got this new thing and I have to tell you I see great at a
[20:53.140 --> 20:55.140]  distance with this new contact lens
[20:55.140 --> 20:58.260]  but like reading is worse and the eye doctor looks at me and he's like
[20:58.740 --> 21:00.740]  Uh, yeah
[21:01.300 --> 21:03.140]  He's like that's how it works
[21:03.140 --> 21:08.740]  Like the stronger the stronger the near-sighted, uh prescription is the worse it makes the
[21:09.860 --> 21:10.820]  the
[21:10.820 --> 21:13.220]  Inability to focus at close levels, right?
[21:13.220 --> 21:19.460]  So now i'm so old that I have to choose between uh, what I want to be able to see
[21:20.020 --> 21:21.140]  Yeah
[21:21.140 --> 21:24.340]  It's pretty sad. I just I know just I they at this point
[21:25.300 --> 21:27.300]  and any
[21:27.300 --> 21:32.260]  Any native culture worth its salt would have just piled some sticks around me and just left me there
[21:33.300 --> 21:35.300]  Continued on without me
[21:36.580 --> 21:38.580]  Just left a little marker
[21:38.580 --> 21:41.860]  Just so I could pass away peacefully without being eaten by the animals
[21:46.420 --> 21:51.780]  So yet here I am i'm 41, uh, I think yeah 41, uh,
[21:53.060 --> 21:58.900]  And i've always felt I felt so good for years that derek jeter is still playing now derek jeter's one year younger than me
[21:58.900 --> 22:04.020]  He's 40, but he's still the starting shortstop for the new york yankees and he's retiring after this year
[22:04.740 --> 22:06.740]  I cannot however
[22:06.740 --> 22:08.740]  I cannot however
[22:09.460 --> 22:14.580]  Much better, you know physical condition derek jeter has always been in me as
[22:15.220 --> 22:18.980]  Him being a world-class athlete and me being a guy who sits in a chair
[22:23.700 --> 22:30.660]  The the difference at age 40 41 is profound he's still the starting shortstop for the yankees and I can't read my iphone
[22:30.660 --> 22:32.660]  So
[22:34.660 --> 22:40.100]  Like I really feel like this is the beginning of the part where you just everything you I just start falling apart
[22:40.900 --> 22:45.060]  Yeah, i'm turning an age this year. So I uh, I decided to
[22:45.700 --> 22:47.700]  If I was ever going to get back in shape
[22:48.740 --> 22:52.660]  Or get in shape of any kind it was 10 years ago start. I need to start
[22:52.740 --> 22:54.100]  Yes, I need to start a long time ago
[22:54.100 --> 22:59.700]  But now like that's now for sure I need so I started exercising again and and I went to the doctor
[22:59.700 --> 23:07.380]  And I had everything i'm having everything done. Wait, you did have every possible every possible test is being is being run
[23:08.260 --> 23:10.980]  some of them some of them will take you know months to
[23:12.100 --> 23:15.540]  Complete can we do a special episode of the talk show with a camera for this?
[23:17.300 --> 23:22.740]  Nobody wants that nobody wants that I think this could be a very special doctor doesn't want to be there
[23:22.740 --> 23:27.780]  Nobody I don't want to be there your listeners definitely don't want to be there
[23:29.700 --> 23:34.420]  Did you see that saturday night live skit this year about the guy who asked his doctor if he could check if he has a
[23:34.420 --> 23:36.420]  Darth vader up his up his butt
[23:39.220 --> 23:46.660]  I don't want to spoil it. It's just it's worth it though. Just honestly i'm just gonna write down here at google. Uh, yeah
[23:47.700 --> 23:49.700]  Snl darth vader up my butt
[23:49.700 --> 23:54.980]  Speaking of star wars. Oh, man, going to doctors is fun. Yeah. Yeah speaking of star wars
[23:56.100 --> 23:57.620]  new x-wing
[23:57.620 --> 24:01.380]  Which is what everybody's talking about even though that the whole thing was supposed to be about a charity
[24:02.020 --> 24:09.220]  Exactly. I thought of that too after I leaked it. Hey, look at the x-wing and it really sounds like a great cause like a truly great cause
[24:14.660 --> 24:16.660]  I think it's awesome
[24:16.660 --> 24:21.620]  I think that these little teasers where they're shooting them on these practical sets and I know that they said
[24:22.180 --> 24:25.940]  You know, it was a thing. They said when they announced they were going to do episode seven
[24:26.580 --> 24:30.500]  And they were going to you know with jj abrams directing and they even said right up front
[24:30.500 --> 24:31.540]  We're going to you know
[24:31.540 --> 24:37.140]  We're going to dial a little back on the computer graphics and dial it back up a little bit on the practical special effects
[24:37.700 --> 24:41.860]  But actions speak louder than words and just seeing something like a little bit of a
[24:41.860 --> 24:49.460]  practical special effects, but actions speak louder than words and just seeing something like a real full life-size x-wing is
[24:50.100 --> 24:52.100]  awesome, right
[24:52.660 --> 24:55.060]  Because I remember a story when we were kids
[24:55.780 --> 24:58.340]  And I don't know if it was after all three movies
[24:58.900 --> 25:03.940]  Or just after you know somewhere in the run when star wars was you know, the original trilogy was being made
[25:03.940 --> 25:08.020]  I remember seeing a story in a magazine about a guy, you know, and they built, you know practical sized
[25:09.380 --> 25:11.060]  x-wings
[25:11.060 --> 25:17.000]  And it might have been like like 19, you know after the 77 1977 original and some guy in california
[25:17.220 --> 25:19.460]  Bought one of them and put it in his backyard
[25:19.620 --> 25:25.240]  He like, you know, he just like bought it and there was a guy who had like a life-size x-wing in his backyard
[25:26.100 --> 25:28.100]  And I as a kid
[25:28.100 --> 25:31.300]  All I could think is that is the coolest thing i've ever heard in my life and I
[25:31.540 --> 25:34.500]  If I had that I would go in and sit in the x-wing every day
[25:35.060 --> 25:36.100]  Yeah
[25:36.100 --> 25:38.180]  Now as an adult I look back and I think
[25:38.180 --> 25:40.900]  Like I can see being stupid enough to buy it
[25:43.220 --> 25:47.780]  If I had a backyard that could fit it and I could see being stupid enough to pay someone to put it there
[25:48.660 --> 25:53.620]  And then the next day I would wake up and think what the hell am I going to do with the x-wing in my backyard?
[25:53.700 --> 25:57.060]  Because it doesn't but oh, what did I buy last night?
[25:59.220 --> 26:02.020]  So a couple of years ago or maybe a little bit more
[26:02.500 --> 26:06.980]  There was a project going on to build a full-size millennium falcon
[26:06.980 --> 26:10.500]  And oh, I saw that they were like building it in the forest or someplace
