[00:00.000 --> 00:02.320]  How's your week? Oh my god
[05:06.960 --> 05:13.680]  I don't know 4.0 whatever the next version is he'll spend like that that like 36 hour manic period of okay
[05:13.680 --> 05:15.680]  It is out
[05:16.320 --> 05:19.200]  On the front lines of the support queue, you know
[05:19.200 --> 05:23.360]  Working through it because he wants that experience. He wants to see that, you know
[05:24.080 --> 05:26.800]  Initial feedback and it's true. It's valuable
[05:26.960 --> 05:32.880]  There's like an endorphin high of of a big release like this that and it to me it
[05:32.960 --> 05:36.480]  It's you know in hindsight you're gonna look back and say this was a great week
[05:37.040 --> 05:44.320]  Um if it's you know as long as the launch is successful and it's not something like holy crap the you know the server actually can't
[05:44.640 --> 05:46.640]  You know take more than 100 years
[05:46.640 --> 05:50.640]  And that I looked at a big time with that because I was that's what I was most worried about
[05:50.640 --> 05:53.440]  Oh, I had forgotten about the the concept of support email
[05:53.440 --> 05:59.440]  I was much more worried about the server's holding up and because I didn't really I couldn't really predict
[06:00.080 --> 06:02.120]  How heavy the load would be on the server?
[06:02.120 --> 06:05.920]  So I went to line out where all my stuff is a couple days ago
[06:05.920 --> 06:11.760]  And I just added like eight new servers just because you can add or destroy them whenever you want their build hourly
[06:11.840 --> 06:15.840]  So I was like, you know, let me just add way more capacity than I think I will need
[06:15.840 --> 06:20.000]  And and make a way that I can easily clone them if I need even more than that and
[06:20.560 --> 06:26.240]  And then you know, I can always take them all down next week. Yeah, and and you have the advantage where you've done
[06:26.640 --> 06:31.280]  large-scale things before insta paper had a ton of users and you know
[06:31.840 --> 06:33.840]  You know a lot like
[06:34.240 --> 06:39.520]  Overcast is largely, you know, it's the whole thing is the whole premise is built on this the server
[06:40.480 --> 06:43.600]  Tumbler obviously I think has a fair number of users
[06:43.600 --> 06:45.600]  a
[06:45.600 --> 06:46.800]  little bit yeah
[06:46.800 --> 06:53.200]  And even you know, however much smaller they were when you left tumbler the tumbler was a big ass website when you left
[06:53.400 --> 06:59.600]  Yeah, I mean when I left if I screwed up I would serve about 1200 error pages per second right. Well, there you go
[06:59.600 --> 07:04.400]  That's that's just kind of pressuring but the thing and so Brent Simmons was in the same boat
[07:04.400 --> 07:09.440]  And I will return to this because one of the reasons I'm so interested by overcast is I do see some
[07:09.440 --> 07:13.600]  Fair number of similarities situation wise with Vesper
[07:15.280 --> 07:17.280]  and design wise even but
[07:17.520 --> 07:22.640]  One of the things was that Brent has built large-scale so you know online things, you know, there's net news
[07:23.040 --> 07:26.080]  Why are sinking some of the other stuff he did in his gator?
[07:26.960 --> 07:30.720]  So I felt really good being you know having nothing to do with writing the code
[07:32.160 --> 07:36.360]  Bedding on Brent Simmons and it did work out. We had a great launch the sink all went fine
[07:36.360 --> 07:41.960]  And I would have been just as happy betting on you know overcast and Marco armant having a good thing
[07:42.440 --> 07:48.040]  Because experience really matters but on the other hand and Brent, you know, I had a couple of these things in mind
[07:49.960 --> 07:56.040]  Especially for online stuff every couple of years the state-of-the-art changes and there's little things that are new and different
[07:56.040 --> 08:01.960]  Right it didn't used to be that you could go to line out and say you know what give me a couple of extra database service
[08:02.360 --> 08:04.760]  You couldn't do that. Oh, yeah, right and so
[08:04.760 --> 08:10.760]  In in in large part and I think the reason by both of those launches went well those things work really well
[08:11.240 --> 08:16.360]  But you just never know because there might be something there might be something that you overlook because it's that's what bugs are
[08:16.360 --> 08:22.360]  Bugs are always things that you overlook and you can say here's all the here's the seven things that have bit me before
[08:22.360 --> 08:25.080]  Scaling wise and I'm gonna make sure all seven of these I've handled well
[08:25.320 --> 08:29.240]  There might be a new one an eighth one that you don't know about and then all of a sudden
[08:29.400 --> 08:32.520]  You've got a big launch all these websites are writing about you
[08:32.520 --> 08:35.480]  You're on the front page of this website that website
[08:36.280 --> 08:40.920]  all sorts of Twitter's going nuts people talking about it and your server is down and
[08:41.880 --> 08:46.520]  Yeah, it would you know you probably would be much less happy Marco
[08:46.920 --> 08:49.240]  Oh, yeah, and you know because the difference like I mean
[08:49.240 --> 08:52.520]  I did a beta test with about 40 people for about two months and
[08:53.000 --> 08:58.680]  40 people because Apple has not as far as I know rolled out that new testing thing at the bay made test flight into no
[08:58.680 --> 09:05.240]  So you're still limited to a hundred device slots. So 40 people if you want to leave any room for anyone to get new phones in the fall or anyone to
[09:05.240 --> 09:07.880]  Have an iPad that's about as big of a group as you can do and
[09:08.840 --> 09:13.960]  You know, I I this was the biggest beta I've ever done by a long shot the longest beta
[09:13.960 --> 09:18.680]  I've ever done and the beta and cut didn't cover tons of issues and which I'm very thankful for
[09:19.240 --> 09:20.760]  and
[09:20.760 --> 09:25.160]  Yet there were there are still bugs that none of us found because the difference between
[09:25.720 --> 09:27.400]  40 people and
[09:27.400 --> 09:29.640]  You know 30,000 people is
[09:30.360 --> 09:33.160]  Substantial and out of the and out of the 40
[09:33.640 --> 09:36.920]  You know, we were mostly it was mostly people. I know like you and you know
[09:36.920 --> 09:40.840]  They're like tech people so it wasn't a very diverse group and so certain things like
[09:41.320 --> 09:44.520]  We just never ran into because that isn't how we use the podcast app
[09:44.840 --> 09:49.480]  You know, whereas a lot of people do or into that any any that's part of a problem of
[09:49.480 --> 09:53.880]  I'd love to hear an example of that if you can think of one that's good like if there's like already like a
[09:54.600 --> 09:56.600]  frequently
[09:56.600 --> 09:59.160]  Run into oh, yeah sharp edge or something like that
[10:00.760 --> 10:06.120]  What do you think? What do you think the average a number of podcasts is that somebody subscribes to
[10:07.400 --> 10:08.600]  three
[10:08.600 --> 10:12.760]  Yeah, I mean you're ruling out anyone who's who does zero, you know, obviously, right?
[10:14.200 --> 10:16.920]  So I don't I don't have that number available for overcast yet
[10:16.920 --> 10:19.480]  However, I have heard from many people
[10:20.120 --> 10:26.040]  Apparently my opml importer is having problems for people who have opml files
[10:26.040 --> 10:30.120]  That have like a hundred feeds in them and there's a lot of these people who keep telling me this
[10:31.160 --> 10:35.240]  And I like I listen to my my feed list is about
[10:35.480 --> 10:41.800]  35 or 40 long because a lot of those are shows that that are retired or on hiatus or a lot of them are shows that I like
[10:41.800 --> 10:43.960]  I had one episode of but I didn't subscribe to the whole show
[10:44.520 --> 10:46.520]  And they they're still in my list. I haven't deleted them
[10:47.480 --> 10:49.720]  And so the number of podcasts I listen to
[10:49.720 --> 10:58.840]  Actively that you know that that that should produce new episodes every week. It's probably about 10 maybe and that I consider myself a heavy podcast listener
[10:59.720 --> 11:01.720]  but
[11:01.720 --> 11:05.320]  Compared to the general public like there are these edge cases out there
[11:05.320 --> 11:10.840]  There are these people who listen to over a hundred one guy complained that his had over 150 and I couldn't import it properly
[11:11.560 --> 11:17.560]  And I just never considered and that also that also creates problems, you know, the my
[11:17.560 --> 11:19.560]  The problem with opml
[11:20.280 --> 11:22.280]  Is that there's no way to specify
[11:22.600 --> 11:27.720]  Episodes you can only say which podcast you subscribe to it's another way in other words
[11:27.720 --> 11:33.080]  It's the the URL of the podcast feed not the correct URL of the episode
[11:33.560 --> 11:38.600]  Correct, and that's it and so it the opml standard cannot communicate to you know between apps
[11:39.160 --> 11:43.960]  What you know whether you've heard all the episodes or not which ones are unplayed how far you've gotten in them
[11:43.960 --> 11:50.600]  It only knows which podcasts you subscribe to period. That's it. Well, that's not and to be pedantic here
[11:50.600 --> 11:52.040]  I'll fill in for a circusa
[11:52.200 --> 11:59.480]  It's not really a limit of opml in general because I believe opml is a general purpose outlineer file format
[11:59.640 --> 12:05.480]  It's it's the specific flavor of opml that is widely understood as the lingua Frank
[12:05.960 --> 12:07.480]  Prankua. How do you say that lingua?
[12:07.480 --> 12:16.760]  Franka of sharing of sharing a list of feeds that you subscribe to and that's it's true for RSS readers too
[12:17.240 --> 12:20.680]  It's probably the exact same format and and there's actually a very good reason why
[12:21.800 --> 12:29.400]  Nobody's implemented episode exporting and importing. It's mostly because there is no good way to uniquely identify the episodes
[12:29.960 --> 12:33.560]  Yeah, I would imagine because GUI. These are not required in the standards
[12:33.560 --> 12:40.920]  So so there's and there's a lot of feeds that do GUI these wrong anyway and aren't there some feeds that you couldn't even use the URL
[12:41.080 --> 12:47.120]  For the audio file because there's some aren't there some shows where they'll give it and they'll they'll put two in and they'll say like
[12:47.120 --> 12:50.720]  Here's here's two different formats mp3 and m4a. Oh, yeah
[12:50.720 --> 12:55.000]  There's even still some people who put in ag vorbus and then there's there's a new format called ag
[12:55.240 --> 12:57.720]  Opus I think I didn't I didn't even hear of until yesterday
[12:58.280 --> 13:01.080]  I don't know how popular it is, but yeah, just to give you
[13:01.080 --> 13:08.360]  I think that tells you how popular it is, but yeah, but yeah, and so like there's and you know now
[13:08.360 --> 13:12.840]  I'm dealing with broken feeds, you know feeds that have clearly broken mark-up
[13:14.040 --> 13:18.920]  But you know that people are angry about that. I don't support and so I have to figure out how to support them and it's a mess
[13:18.920 --> 13:24.120]  But anyway, so the one of the biggest complaints I've gotten is from people who subscribe to a lot of shows
[13:24.120 --> 13:33.520]  My my default behavior when importing of a PML is I will assume that you want the one most recent episode in every one of those feeds listed
[13:34.680 --> 13:36.680]  That is a bad assumption
[13:36.680 --> 13:40.320]  Yep, and and so when you have a hundred and fifty feeds
[13:40.320 --> 13:43.160]  I try to immediately download a hundred and fifty episodes
[13:43.160 --> 13:48.200]  And people are complaining that I'm filling up their phones because all of a sudden they have three gigs of podcast
[13:48.200 --> 13:54.280]  Downloader after their import and and I don't have like a bulk cancel operation and
[13:54.280 --> 13:59.960]  Again, this is something that that is a valid problem. I didn't think of it. It never came up in beta
[13:59.960 --> 14:05.320]  I have to figure out some good way to solve that now, but that is very much a valid problem
[14:06.040 --> 14:12.040]  Yeah, and I'm a I was a bad tester for that because I don't keep like an archive of
[14:12.040 --> 14:17.480]  Old shows like I don't want I don't have a subscription to hyper critical anymore
[14:17.560 --> 14:22.920]  Just because I want to go back and listen to if I do it might strike me my fancy someday
[14:22.920 --> 14:25.880]  But then I would I wouldn't think I want to have subscription to it
[14:25.880 --> 14:28.840]  I would think I'll go into directory find it
[14:29.400 --> 14:32.760]  Find the episode I want and play and then add it there
[14:32.760 --> 14:37.240]  I would never think I want to even though I understand the mindset that someone would want to do that
[14:37.240 --> 14:42.280]  Here's the hundred and fifty podcasts. I've ever been interested in and I want to move this file around from app to app
[14:42.840 --> 14:49.640]  My mind that that seems crazy to me a new I kind of like the idea of switching and trying a new podcast app
[14:49.640 --> 14:56.680]  Everyone's in a while just to start clean and say here. Let me find two or three shows. I want to listen to I've got a long drive ahead of me
[14:57.240 --> 14:59.960]  Right, and I think it's easier because you know despite those outliers
[15:00.360 --> 15:05.720]  You know like RSS has always had that problem where usually people listen there are people subscribe to
[15:05.720 --> 15:11.560]  Usually a pretty good number of RSS feeds if they use it at all like I subscribe to probably 200 RSS feeds and again
[15:11.560 --> 15:13.720]  Most of them don't update every day, so it's easy to follow
[15:15.320 --> 15:23.080]  But podcasts, you know, there's there's a limit on how many podcasts you can listen to on a regular basis and so I always assume the numbers
[15:23.080 --> 15:29.080]  Would be substantially lower for your number of podcasts feeds that most people will be subscribed to I assume that would be a very low number
[15:29.720 --> 15:33.520]  And yeah turns out not necessarily a safe assumption
[15:33.520 --> 15:41.760]  So what what they want is they want to be able to maybe even default to zero downloads per podcast and then go through and then
[15:42.160 --> 15:43.680]  Change it from there
[15:43.680 --> 15:50.840]  Right, and I think honestly, I mean a safe default might be zero and just just make people pick one from everything
[15:50.840 --> 15:57.720]  You know, like I think my assumption that you want the latest one from everything is probably problematic enough that I should probably change it
[15:57.720 --> 16:03.160]  Because I can change that one server side. Yeah, maybe that's a good one that you'd want to do if I add and just a
[16:03.160 --> 16:04.840]  Single new subscription in the app
[16:05.560 --> 16:11.760]  Maybe assume I want to get the most recent episode, but if I'm importing an OPML file don't assume I want any of the episodes
[16:12.440 --> 16:15.560]  Yeah, I mean that's that is certainly well actually no
[16:15.560 --> 16:20.040]  I think I think my default behavior now is that if you tap subscribe on our new show
[16:20.040 --> 16:24.040]  I download the latest episode if you add it from the directory which so that I think that is a safe assumption
[16:24.040 --> 16:29.440]  But yeah, I think you're right with OPML it I think I think it isn't so yeah, I think maybe I'll change that later tonight after I'm done with you
[16:29.440 --> 16:31.440]  Yeah
[16:32.960 --> 16:37.520]  That leads directly to another question I've had and I've seen it and I'm not even following
[16:37.920 --> 16:42.000]  Anywhere nearly as religiously as I'm sure you are on Twitter the day one
[16:42.480 --> 16:46.840]  Commentary about it, but I've seen a lot of people remark about the lack of streaming
[16:47.920 --> 16:50.960]  Yes, that that is a big one and I
[16:50.960 --> 16:58.480]  Again, I never really noticed I guess I have because I guess there have been times like I've been trying to
[17:00.400 --> 17:07.040]  To run on a more regular basis and I that's you know one of the times where I do listen to podcasts and it'll be like hey
[17:07.040 --> 17:09.880]  I know that there's got to be a new ATP out
[17:11.320 --> 17:13.320]  Let me go look and
[17:13.720 --> 17:17.600]  There it is and I do I have to wait until I get the whole thing before I go out
[17:17.600 --> 17:21.760]  But I don't have to wait that long that it would ever even have occurred to me to
[17:22.480 --> 17:27.120]  You know right in as a suggestion that I would like to just leave the house and have it stream over
[17:27.120 --> 17:32.800]  LTE or something like that because it doesn't take that long for you know a hundred and some megabyte
[17:33.840 --> 17:37.720]  File, but it seems like lots of people want that what they want is
[17:38.440 --> 17:41.520]  They want it to start downloading and playing at the same time. Oh
[17:41.920 --> 17:43.920]  Yeah, and streaming it's
[17:43.920 --> 17:49.080]  You know, it isn't there because it's it's hard to do and I didn't have time to do it and it's going to take months to do it
[17:49.080 --> 17:50.840]  Right, that's why it's not there
[17:50.840 --> 17:54.720]  You know a lot of people will assume that I just forgot to add it of just some oversight, right, just
[17:58.640 --> 18:04.280]  Checkbox that's what I figured the answer is that the answer is that it's not it's like a lot of these things
[18:04.280 --> 18:11.240]  It's not easy. It's really hard and and it's harder for me because of my audio engine like it's it's easier for the other players
[18:11.240 --> 18:14.760]  That that don't use the low-level stuff that I do to do my audio effects
[18:15.080 --> 18:19.080]  It's easier for them, but it's a lot easier for them. The way I'm going to have to do it is going to be more
[18:19.640 --> 18:22.440]  Manual like I'm going to build more of those parts from scratch, but
[18:23.320 --> 18:25.320]  the main argument for it
[18:25.320 --> 18:31.360]  I mean first of all, I think the I think the need for it is exaggerated on day one because so many people
[18:31.960 --> 18:35.880]  Want to just jump in and try some and try playing it and they have to wait for their files to download
[18:35.880 --> 18:41.360]  Whereas if you just use the app regularly most new episodes you'll get we push to you in the background
[18:41.360 --> 18:44.720]  And you won't even notice them downloading about time. You know you long see the app next. They're just there
[18:45.400 --> 18:50.920]  So you know background download. I think removes much of the need, but there are still situations where you need
[18:51.640 --> 18:53.640]  Where streaming is very nice to have
[18:53.880 --> 18:59.680]  the big two are immediate feedback like if you just want it to add an episode and listen to it right now
[18:59.760 --> 19:04.440]  Like right as you add it then you want to hear it you can start playing it immediately and then the second big one is
[19:04.440 --> 19:05.680]  is
[19:05.680 --> 19:08.240]  if you like a lot of the other clients offer a
[19:08.640 --> 19:15.320]  Streaming only mode where nothing is ever downloaded you only ever stream things and that way you don't use any disk space
[19:15.760 --> 19:17.560]  See neither that would never be going to hurt me
[19:18.120 --> 19:22.280]  And it's it's a really good idea and like it you know if you think about you know for me
[19:22.280 --> 19:23.600]  I would never use it because I you know
[19:23.600 --> 19:29.560]  I have I live in an area that has spotty reception and I often you know travel and go up state or on a plane or something
[19:29.560 --> 19:33.640]  And so I I I want everything to be just downloaded and there and ready
[19:33.640 --> 19:36.960]  But a lot of people don't work that way a lot of people
[19:37.800 --> 19:41.360]  Want everything to always only be streamed and leave all the space free on their phone
[19:41.360 --> 19:45.960]  And we'll see what happens like with iOS 8 with the new photo management thing
[19:46.760 --> 19:52.320]  You know, maybe maybe there won't be as much of a space crunch on iOS devices as there used to be who knows
[19:53.080 --> 19:55.800]  But either way I am gonna add streaming. It's just a matter of
[19:55.800 --> 20:04.000]  Of doing it because you get probably gonna take a few months. Yeah, it seems like there's that that's actually sort of under the radar like one of the big
[20:05.640 --> 20:11.240]  Priorities of iOS 8 is space management because they're doing it to similar thing. They're doing with
[20:12.720 --> 20:14.080]  messages
[20:14.080 --> 20:21.400]  Where it's defaulting to not keeping the images and other attachments that you've been sent and I think
[20:21.400 --> 20:27.240]  part of that is a sort of trend towards privacy in general and
[20:27.720 --> 20:33.200]  You know things like snapchat and stuff like that where it works like that and people seem to like it and maybe it
[20:33.200 --> 20:37.280]  Just never occurred to them before but I think another big part of it is that you know even for me
[20:37.280 --> 20:39.280]  It's not like a super heavy texture, but
[20:40.480 --> 20:46.080]  Whiscus and I communicate a lot about Vesparo. I've got tons of screenshots in my eye messages with him
[20:46.080 --> 20:51.480]  If I look in the usage, I do have a couple of gigabytes
[20:51.480 --> 20:56.800]  I don't know for four four five gigabytes in messages and there's no way to get them to get them out
[20:56.800 --> 21:01.640]  I mean, I think you go through one by one, but you know that that's that way lies madness
[21:01.640 --> 21:06.360]  Right, or you can delete the entire conversation with Dave Whiscus and lose that entire history. Yeah
[21:06.600 --> 21:11.120]  Which I don't want to do. Yeah, and and it's also the way the weird way
[21:11.120 --> 21:16.720]  I message works where I've actually got like seven conversations with Whiscus. I don't know if they're based on different
[21:16.720 --> 21:21.920]  You know like his phone number to my Apple ID my Apple ID to his Apple ID
[21:21.920 --> 21:26.000]  I don't I don't know quite know how that counts, but everyone you know that would be less
[21:26.000 --> 21:28.640]  I would probably be easier to delete seven conversations with him, but
[21:30.320 --> 21:34.000]  But you know who knows how much of those gigabytes is all sorts of other people too
[21:34.000 --> 21:35.760]  And I'd have to keep deleting all those things
[21:35.760 --> 21:40.600]  I don't know one thing I don't know and I would love to know the answer to maybe somebody who's upgraded their
[21:40.600 --> 21:46.600]  Regular phone to iOS 8 betas would know whether that applies to your old messages
[21:46.680 --> 21:53.960]  Like if you upgrade your phone to iOS 8 well that that new world only applied to new messages as they come in or
[21:53.960 --> 21:58.080]  Is iOS 8 going to do something smart about your archive of
[21:58.600 --> 21:59.720]  Fold images
[21:59.720 --> 22:05.320]  That's a tough one because you certainly you could see the other problem is like you know if if they just default to
[22:05.640 --> 22:09.060]  All right, we're just gonna stop keeping all old stuff by default
[22:09.060 --> 22:13.340]  Then it's you need to upgrade to iOS 8 all your old messages get deleted and that's
[22:13.540 --> 22:15.540]  That's kind of bad
[22:15.540 --> 22:18.580]  So I can see the problem there right it's one thing if
[22:19.140 --> 22:23.300]  New messages start coming in with that little keep button and you you know
[22:23.300 --> 22:24.980]  Even if you don't quite notice it right away
[22:24.980 --> 22:29.220]  Well, it was there and you had the opportunity to press keep it's another thing to say
[22:29.220 --> 22:32.860]  Yeah, all those messages you got over the last three years that
[22:33.300 --> 22:36.020]  You never even had to worry about whether they were gonna be kept or not
[22:36.020 --> 22:38.980]  You you knew they were gonna be kept. Yeah. We did you a favor and delete them
[22:39.700 --> 22:42.180]  Right, I mean, I think what would probably make more sense
[22:42.980 --> 22:49.140]  Would be to treat those attachments just like entries in your photos library where
[22:49.700 --> 22:55.540]  They are all kept on iCloud and then they can just be pulled down on demand if you if you actually scroll up and go like
[22:55.540 --> 23:00.420]  You know three years back in history. They can be pulled off the off the network. Yeah, that would make that makes a lot of sense
[23:00.420 --> 23:01.540]  Have it use your storage
[23:01.540 --> 23:07.620]  But unfortunately with some people that might use a ton of storage right. Yeah, I was just about to say the problem is that it for a lot of
[23:07.620 --> 23:13.620]  People a couple of gigs of I message images is probably pretty close to the number of gigs
[23:13.620 --> 23:15.620]  I have in in their iCloud storage
[23:15.860 --> 23:21.220]  Right exactly. Yeah, and there's also a lot of duplication. I think like like if you send a picture to somebody
[23:21.940 --> 23:23.940]  Do you now have two copies of that in your storage
[23:24.900 --> 23:30.260]  Like like the one in your camera roll and then when you sent them I don't know like I don't know how that works. Yeah, I do think that
[23:30.260 --> 23:33.020]  Well, that's a good question. I think you might
[23:36.020 --> 23:41.300]  Because it might also I don't even know I actually never even checked whether they like shrink them at all or anything
[23:41.300 --> 23:43.220]  I don't think they do
[23:43.220 --> 23:48.260]  But I don't know that's a good question and when you do get a copy like when you you definitely get a dupe when
[23:48.500 --> 23:54.740]  You take the photo with your phone and then you switch to your iPad or your Mac or something and the
[23:54.740 --> 24:02.020]  Conversation is over there too. That's obviously a copy of the image. Right exactly. Yeah, I don't know. It's a good question
[24:03.060 --> 24:08.180]  Obviously something you have to concern yourself about though. That's one area where you know overcast
[24:08.180 --> 24:10.180]  I think it's in a unique situation where
[24:13.060 --> 24:20.340]  You know you some some users might reasonably want overcast to literally take up a majority of the storage on their device
[24:20.340 --> 24:29.260]  You know somebody with a 64 gigabyte iPhone might might actually want a podcast app that that stores about 40 gigabytes of
[24:29.460 --> 24:30.740]  Podcasts, right
[24:30.740 --> 24:34.060]  You know, especially if you're going on a trip or something and you're gonna be without coverage
[24:34.060 --> 24:39.980]  You're going internationally. You don't want to use data roaming or you're just going out for a while and you're in a country
[24:39.980 --> 24:43.980]  Where cell coverage or cell data is very expensive, you know, either way
[24:44.500 --> 24:48.140]  You know, there are so many reasons why you want it downloaded and
[24:48.140 --> 24:53.020]  Why you want it to be taking that space in your phone rather than requiring it to be streamed constantly
[24:53.260 --> 24:59.340]  but the other side of that is probably just as frequent which as you have you know a 16 gig device and it's full and
[24:59.780 --> 25:05.740]  You want it down its podcast and you don't have enough space and that sucks and so like I can see both sides of the argument
[25:05.940 --> 25:07.220]  but
[25:07.220 --> 25:09.700]  There's also a problem in having the app
[25:10.380 --> 25:17.660]  offer a very healthy blend of those two things because then everything becomes way more complicated both the both the code
[25:17.660 --> 25:22.380]  and the interface because then you have to you have to like manage these states and offer ways for people to like
[25:22.980 --> 25:24.980]  transform or stream into a download or
[25:25.100 --> 25:32.140]  You know delete something believe it's streamable and all these things that really complicate the interface and and the data model and then and even
[25:32.420 --> 25:36.780]  The mental model of the user as to to know like do I have this thing or not?
[25:37.420 --> 25:39.500]  That's I'm trying to keep it very simple
[25:40.060 --> 25:42.060]  so that people can
[25:42.060 --> 25:47.300]  Can know what what's happening. They can know what they have by looking at it. They can see they can tell okay
[25:47.300 --> 25:53.180]  I have this file and they can be kind of assured of that and they can depend on that, you know, but it's it's hard
[25:53.180 --> 25:56.260]  This and this is why podcasts after so challenging to make I think because
[25:56.780 --> 26:01.660]  It's one of those categories like to do lists where like it seems simple at first and then you start getting
[26:02.260 --> 26:07.500]  Request from people and you start realizing wait a minute. There is not only is there no way to satisfy all of them
[26:07.500 --> 26:11.820]  No, like like any change you make is going to satisfy this group, but anger this other group
[26:12.580 --> 26:15.740]  But also that the problem space is so
