[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[04:44.160 --> 04:50.700]  It's like you you look like you've been smoking bongs all day because your eyes, you know halfway shut and it's like right
[04:51.240 --> 04:54.440]  Or like I like the the person was, you know
[04:54.440 --> 04:58.600]  They know that you're taking a couple of photos and they were trying to hold their eyes open for the first one and then it
[04:58.600 --> 05:02.500]  Just feels like there's something in there. So they make like a weird blink to like clear their eyes
[05:02.500 --> 05:07.020]  Hopefully before you shoot the next shutter, but in fact, it's mid shutter and they just look not so
[05:07.020 --> 05:10.600]  I don't think that's Tim Cook in this scenario. It looks to me
[05:13.740 --> 05:19.340]  That that's that that would you know, that is how I would feel in that situation I don't you know, it's like
[05:19.980 --> 05:21.980]  And it's it's you know
[05:23.020 --> 05:24.320]  Ben
[05:24.320 --> 05:28.500]  Thompson made a good thing in his a good point in his newsletter and that
[05:28.500 --> 05:35.300]  That really struck me was that Trump is saying, you know, oh we want to help you all
[05:36.060 --> 05:37.240]  well
[05:37.240 --> 05:40.760]  There's a flipside to that right? What happens if he does?
[05:41.900 --> 05:50.180]  Not want to help you, right? He's he's he's already ever the what is it last week or maybe earlier this week?
[05:50.980 --> 05:56.800]  Where he put out that tweet about canceling a Lockheed order and their stock tanked. Yep
[05:56.800 --> 05:58.800]  and
[06:00.320 --> 06:02.320]  He's got some power now and
[06:03.160 --> 06:04.840]  You don't want
[06:04.840 --> 06:05.960]  that
[06:05.960 --> 06:07.960]  power to affect your
[06:08.160 --> 06:10.400]  shareholder value the week before he
[06:10.920 --> 06:16.720]  was complaining about an Air Force one order for or Air Force order for a
[06:17.240 --> 06:21.240]  New Air Force one, you know the current the current Air Force one
[06:21.240 --> 06:27.360]  And you know if you're like a this is one of those things that I knew but I find fascinating
[06:27.360 --> 06:32.980]  I find Air Force one to be a fascinating thing. It's like a history geek and I'm you know, just someone who's a
[06:34.400 --> 06:39.440]  That's about to say I am I'm a proud American and I like certain aspects of it and Air Force one's a cool thing
[06:39.440 --> 06:44.920]  But one of the things I've always known is that Air Force one is not an airplane a single airplane
[06:44.920 --> 06:46.920]  It's actually right. I think there's two of them
[06:46.920 --> 06:53.800]  Yep, but it's Air Force one is the official designation of the one that's carrying the president
[06:53.920 --> 06:59.560]  So right like if the president and the United States is like sitting in the Oval Office. There is no Air Force one
[07:00.200 --> 07:02.840]  There are two planes that could be Air Force one
[07:02.840 --> 07:08.840]  but it becomes Air Force one when the president of the United States is on the plane and then it gets that official designation and
[07:08.840 --> 07:10.840]  That the two that they have right now
[07:10.920 --> 07:12.760]  were
[07:12.760 --> 07:18.820]  Commissioned under the Reagan administration and I believe George HW Bush was the first to fly them
[07:18.820 --> 07:20.820]  So these are these planes have been in use for
[07:21.440 --> 07:24.240]  the original George Bush Bill Clinton
[07:25.720 --> 07:27.720]  George W Bush and
[07:27.800 --> 07:31.720]  Barack Obama and they will be the the ones that Trump gets they
[07:32.480 --> 07:35.640]  The new ones that the Air Force is looking to Commission
[07:36.640 --> 07:42.280]  Would not be ready until either the very very very tail end of an eight-year Trump administration
[07:42.280 --> 07:45.600]  Which let's face it whenever, you know, if we get eight years at Trump, we ain't gonna make you know
[07:49.040 --> 07:53.240]  His successor and anyway Trump bitched about the cost of these planes and
[07:55.080 --> 07:57.080]  And Boeing's stock
[07:57.600 --> 08:03.840]  Tanked, you know not tanked it didn't recover, but he tweets and stocks move that it's a fact
[08:03.840 --> 08:08.120]  I mean like we in between the joking about it and you know, the the partisanship of it
[08:08.120 --> 08:12.740]  I mean, there's just no denial that when the president United States comes out and says he's you know
[08:12.740 --> 08:18.600]  Like to cancel the five billion dollar order for Air Force One. Yeah, that's gonna have an effect on that company
[08:18.600 --> 08:26.460]  yeah, I read the other day that that on Bloomberg now the Bloomberg terminals that that the that the market uses to keep track of
[08:26.460 --> 08:31.580]  News has Trump's tweets on it. Now. They just feed Trump's tweets into the Bloomberg terminals
[08:32.160 --> 08:35.560]  Because it's important, you know about immediately exactly it moves the economy
[08:35.560 --> 08:37.560]  It's like
[08:40.560 --> 08:42.560]  Jesus
[08:42.800 --> 08:44.680]  So
[08:44.680 --> 08:47.840]  No, I let me read from this cuz I actually wrote to Ben
[08:47.840 --> 08:52.160]  You know Ben's on the show all the time and he's a friend and I told him I thought his take was excellent
[08:52.160 --> 08:54.360]  it was I filed it under the I
[08:55.680 --> 08:57.680]  Wish I had
[08:57.960 --> 09:03.720]  Thought of it, but that exactly what you said that that the hey, I'm here to help you folks do well
[09:03.720 --> 09:09.120]  That's actually an actual quote from him. I'm here to help you folks do well, and we're gonna be there for you
[09:10.280 --> 09:16.180]  Yeah, it's it's a massive violation of economic reading from Ben's email
[09:17.040 --> 09:18.640]  Government ought to be set
[09:18.640 --> 09:23.960]  Setting and enforcing the rules of the game not actively helping one of the teams. It's a recipe
[09:24.720 --> 09:26.720]  for not just
[09:27.120 --> 09:30.400]  Corporate ocracy and the inevitable corruption that comes with it
[09:30.400 --> 09:35.560]  Parentheses, this is where I note that Trump's children attended the meeting and parentheses
[09:36.120 --> 09:44.400]  But the closing off of opportunity to the unknown companies that might challenge those large enough to be quote helped
[09:44.960 --> 09:50.760]  This should be of particular concern to the startup ecosystem and I can't say it any better than that. I think it's exactly right
[09:51.960 --> 09:53.120]  that
[09:53.120 --> 09:58.520]  It's that's you know, and again you say, you know, there's there's positives and negatives to every system of
[09:58.520 --> 10:01.200]  of government, but you know part of the gist of
[10:01.760 --> 10:03.200]  a
[10:03.200 --> 10:04.960]  democratic
[10:04.960 --> 10:09.360]  capitalist nation is that the role of government I
[10:10.760 --> 10:14.400]  Think this is you know, again this I don't think this is a partisan viewpoint
[10:14.400 --> 10:18.760]  I think it is it's just a statement of fact that kids learn in elementary school
[10:18.760 --> 10:23.980]  The role of the government is to let keep a fair level playing field. Yeah, it's all about fairness
[10:24.800 --> 10:26.800]  exactly, it's all about fairness and
[10:26.800 --> 10:28.720]  and that's
[10:28.720 --> 10:29.840]  the
[10:29.840 --> 10:32.360]  Discussion about diversity too. It's about fairness
[10:33.120 --> 10:38.960]  right, you know protecting the idea that the role of the president is to protect the ten biggest corporations in tech is
[10:39.320 --> 10:44.280]  The opposite of it because the whole point is that it's healthy for for example
[10:44.280 --> 10:50.680]  You know like in if this meeting had been held in 1981 AT&T would have been one of the would have been the probably the company
[10:50.680 --> 10:52.680]  Right. Yeah
[10:52.680 --> 10:56.960]  You know in the fact that they yeah and it goes against competition right, you know
[10:56.960 --> 11:01.560]  You look at Apple Maps is getting better because it's competing against
[11:02.440 --> 11:04.440]  Google Maps and
[11:04.760 --> 11:08.480]  Android is getting better because it's competing against the iPhone, right?
[11:08.480 --> 11:14.560]  It's a competition and having that competition be fair is what makes it work
[11:15.160 --> 11:19.400]  Right if somebody comes along and says, you know, well, hey Tim Cook, you know
[11:20.240 --> 11:21.680]  He's gay
[11:21.680 --> 11:23.960]  hmm, maybe Google's better
[11:24.960 --> 11:26.960]  right
[11:27.840 --> 11:31.840]  What did you're not competing on a fair playing field at that point
[11:32.560 --> 11:37.160]  And I think everybody in tech would have a problem with that ever. In fact, hopefully
[11:38.160 --> 11:40.380]  Everybody in the u.s. Would have a problem with that
[11:41.240 --> 11:44.080]  Yep, that's the road that we're heading down right now
[11:45.320 --> 11:47.320]  most
[11:47.320 --> 11:51.920]  Most people in tech this has been noted before this meeting that most of the industry
[11:54.000 --> 11:56.000]  Was
[11:56.240 --> 11:59.000]  You know on the side of Hillary Clinton in this election
[12:00.680 --> 12:05.800]  On for several reasons, but certainly largely on on immigration
[12:06.400 --> 12:12.720]  And on social issues like, you know gay rights and stuff like that. Yeah
[12:12.720 --> 12:14.720]  One
[12:16.240 --> 12:20.240]  Of the people though, I believe this CEO of Oracle
[12:21.320 --> 12:27.120]  What's her name? She's actually in the same picture with with yeah, she looks very happy to be there
[12:28.760 --> 12:32.720]  She's very enthusiastic in her remarks before the the meeting and
[12:33.600 --> 12:35.960]  And then after the meeting it was announced that she's joining
[12:35.960 --> 12:42.280]  His transition team in some form right and she's good. There's obviously some people there and selling databases
[12:43.840 --> 12:45.840]  But my question is
[12:47.520 --> 12:52.240]  There's a large number of people and I think it has to be addressed who
[12:55.000 --> 12:57.940]  Who think that the people like Tim Cook
[12:59.240 --> 13:00.680]  Satya Nadella
[13:00.680 --> 13:02.240]  from Microsoft
[13:02.240 --> 13:07.240]  Larry Page from Google should not have attended this meeting. They should have declined the invitation and
[13:07.920 --> 13:15.280]  on the basis that it was just dog-and-pony show and it was just a photo opportunity for Trump and his children and his
[13:15.800 --> 13:19.960]  Transition team to have these people parade in front of the media
[13:19.960 --> 13:23.980]  I mean there's a reason why the media was there and that the photographs were taken and it wasn't you know
[13:23.980 --> 13:27.280]  Certainly could have been held privately if they wanted it to it was not it was held publicly
[13:28.280 --> 13:30.280]  certainly not for the benefit of
[13:30.280 --> 13:35.680]  Those who were invited it was certain, you know only for the benefit of Trump and his transition team
[13:35.680 --> 13:39.000]  I don't see how that's disputable, right? Should they have declined the invitation?
[13:39.600 --> 13:45.240]  On the basis of of it being a form of protest against Trump and what he you know
[13:45.240 --> 13:48.200]  What he campaigned on and what he's you know, trying to do. I
[13:49.040 --> 13:53.320]  Think that they're playing a longer game here. Yes, it is a PR opportunity
[13:53.320 --> 13:57.560]  In fact, they you know, they use that PR opportunity to take a swipe at Twitter, right?
[13:57.560 --> 14:01.080]  yeah, just for the whole Crooked Hillary thing and
[14:03.200 --> 14:05.200]  Yeah, I don't think you want to
[14:06.080 --> 14:08.080]  it's it's not a matter of
[14:08.840 --> 14:10.400]  agreeing with him at this point
[14:10.400 --> 14:16.200]  I think it's pretty safe to say Oh Oracle CVEO is named saffron cats, by the way
[14:16.200 --> 14:21.940]  I want to get that out there. So before the meeting saffron cats the one who has joined his transition team
[14:22.520 --> 14:25.580]  While remaining at Oracle CEO, I should add
[14:25.580 --> 14:32.420]  Her quote was I plan to tell the president-elect that we are with him and will help in any way
[14:32.420 --> 14:38.500]  We can and my take on during fireball was that that sounds a lot like I'm ready to spit sign spit shine his shoes
[14:40.700 --> 14:46.940]  Because ready to help in any way we can is and and with him are pretty unequivocal
[14:46.940 --> 14:54.780]  A statements of support which I don't think are supporting and compare and contrast that and I pointed this out on during fireball. I
[14:55.460 --> 14:57.460]  think Tim Cook and
[14:58.060 --> 15:02.340]  unsurprisingly so was very very precise in his
[15:03.380 --> 15:05.380]  on the record
[15:05.980 --> 15:10.700]  Remarks, so what they did is they started the meeting by going around the table and introduced themselves and hit Tim Cook
[15:10.700 --> 15:18.140]  All he said was Tim Cook very good to be here. Not very glad very good to be here and I look very
[15:18.660 --> 15:23.420]  Forward to talking to the president-elect about the things that we can do to help you achieve
[15:24.060 --> 15:28.220]  Some things you want. Mm-hmm end of statement
[15:28.860 --> 15:36.180]  He's not raising, you know, he's not using it. He's not raising a stink. It's it's all polite on the surface
[15:36.180 --> 15:41.580]  I'm sure in the moment as it went around the table it it went on but if you think about those words precisely in particular
[15:42.020 --> 15:47.300]  the difference between we're with you and ready to help in any way we can from Oracle versus
[15:49.980 --> 15:52.020]  Help you achieve some things you want
[15:52.020 --> 15:57.220]  Like I said, they're playing a longer game here, right and they've played they've played games with the federal government before
[15:57.220 --> 16:01.300]  All right, the last year with the you know, the whole iPhone FBI thing, right? They're
[16:01.300 --> 16:05.700]  You know, they know that this is not just gonna end, you know
[16:07.540 --> 16:15.300]  Now that there are the it's inevitable now that they are the biggest we are at least for now the biggest company by market cap
[16:15.300 --> 16:18.820]  And you know, there's only a handful of companies within
[16:19.360 --> 16:23.260]  Spitting distance, you know alphabet being being I think number two
[16:23.820 --> 16:27.340]  Exxon Mobil looks like they might have a good eight years four years at least
[16:27.340 --> 16:29.340]  Mm-hmm
[16:29.860 --> 16:36.220]  But now that they're big now that they're big they're now that they're big though, they they're obviously in the crosshairs of
[16:38.020 --> 16:41.300]  Antitrust type stuff which we saw with the iBooks thing
[16:41.300 --> 16:47.860]  Which I roll my eyes at because of the whole fact that the iBook store was never the dominant seller
[16:48.020 --> 16:53.820]  They were yeah, they were at every point along the way way smaller than Amazon
[16:53.820 --> 16:57.140]  But I would almost point that as that was Amazon
[16:57.140 --> 17:02.020]  it was Amazon who played the Justice Department and it was apples like sort of
[17:03.060 --> 17:08.840]  Disinterest in uninvolvement in the that game that let them be painted in that corner
[17:08.840 --> 17:13.860]  I think that's where they started realizing that Washington is a game. Right? Right. That's
[17:14.580 --> 17:20.380]  Because it's true. It's beyond you know that what Amazon had the Justice Department's ear and I'm not saying it's
[17:20.380 --> 17:26.460]  Corrupt, I'm saying no. It was a mistake. We're we look at that situation purely from technical a technical
[17:27.060 --> 17:30.000]  Point of view right, you know, we're engineers, right?
[17:30.000 --> 17:36.540]  We we see who's making what money and what you know kind of money they're charging and you know
[17:36.540 --> 17:38.540]  how the system works and and
[17:39.820 --> 17:43.100]  That's not how Washington works at all. It's it's more
[17:44.100 --> 17:48.060]  emotions and politics and leverage and that kind of thing
[17:48.060 --> 17:55.660]  So yeah, that's in fact, that's probably what this this, you know, they went into this meeting with you know, it's like, okay
[17:56.740 --> 17:58.620]  How am I gonna?
[17:58.620 --> 18:03.340]  Survive what's going on here, right? Let's let's let's you know number one
[18:03.340 --> 18:08.500]  I mean did everybody who attended that meeting know who else was gonna be there? I don't know. So yes
[18:08.500 --> 18:11.180]  yeah, you know and it's it's
[18:11.180 --> 18:17.420]  It's interesting especially since it was such a small small and invitation list. Yeah, I found it interesting
[18:17.940 --> 18:20.820]  That you know of the invites three of them were women
[18:21.740 --> 18:24.780]  Ginny Romedy the the CEO or girl and
[18:25.380 --> 18:26.980]  Sheryl Sandberg
[18:26.980 --> 18:30.460]  All right. All right Zuckerberg did not attend Sandberg
[18:31.160 --> 18:33.160]  attended as the representative
[18:34.500 --> 18:37.820]  Which I think is I don't even think it was
[18:37.820 --> 18:39.820]  Just
[18:40.540 --> 18:44.500]  To seat a woman at the table, I think that my understanding again
[18:44.500 --> 18:48.440]  I don't follow Facebook anywhere near as closely as I do Apple or some other companies
[18:50.420 --> 18:53.780]  But I think it's representative of her role there
[18:53.780 --> 18:59.460]  I think I think it's very fair to say that she's she is to suck what cook was to Steve Jobs
[18:59.580 --> 19:05.460]  Yep, you know that more than a lot more than a typical CEO more of a partner
[19:05.460 --> 19:12.340]  I've said this many times on the show many many times, but I believe it as much now as I ever did that
[19:13.460 --> 19:14.740]  during
[19:14.740 --> 19:20.620]  Especially I would say like from the iPhone on especially like but at some point I believe
[19:21.340 --> 19:28.340]  well, maybe even before that I you know, but at some point cook clearly had jobs as trust and I really do think that if
[19:28.340 --> 19:35.260]  You described Tim Cook's day-to-day activities at Apple to somebody who didn't know the company and you said what position do you think?
[19:35.260 --> 19:41.980]  this person has that most people would say well that sounds like he's the CEO that Steve Jobs was really more like a day-to-day head of
[19:41.980 --> 19:43.980]  product and
[19:44.020 --> 19:51.460]  Tim Cook ran the company and I think Sheryl Sandberg has that same role where Zuckerberg can focus his his time entirely on
[19:51.540 --> 19:53.540]  product and she handles
[19:54.180 --> 20:00.860]  yeah, this other stuff that needs to be handled when you're as big and influential as Facebook and the advantage for those people who are
[20:00.860 --> 20:07.860]  charged with the innovation and developing the products is that they get to think about things that that are important to them and
[20:08.620 --> 20:12.080]  you know, there's a lot of stuff that about running a company that that
[20:12.900 --> 20:14.900]  People like that don't want to do right?
[20:14.900 --> 20:21.160]  So yeah, they're they're essential in that regard right that they you know that you know
[20:21.160 --> 20:23.160]  they're the ones that keep the machine running and
[20:24.860 --> 20:26.860]  You know, that's probably a more
[20:26.860 --> 20:31.740]  Appropriate person to send to a meeting with Trump then, you know somebody who's
[20:33.060 --> 20:35.540]  innovative and passionate and
[20:36.940 --> 20:40.500]  Potentially gonna say something that's damaging to the company
[20:41.300 --> 20:48.380]  This so that I I wrote this and I don't like to trot out the what if Steve Jobs were still around thing too often
[20:48.380 --> 20:50.380]  Because I think it can be so overused
[20:51.020 --> 20:53.020]  But I do
[20:53.020 --> 20:55.300]  Have been beautiful well
[20:56.660 --> 21:02.500]  I had I had an interesting discussion with on Twitter about it and I you know, I think everybody I was it was
[21:03.060 --> 21:05.220]  me and Matt grants and
[21:06.220 --> 21:11.260]  Dr. Wave from Pixar a couple other people and I think we were all in complete agreement
[21:11.940 --> 21:16.140]  That if Steve Jobs in the alternate universe were Steve Jobs, you know
[21:16.140 --> 21:18.060]  It was still healthy and it was still at Apple
[21:18.060 --> 21:24.820]  If if he were at that meeting, it would have been fascinating at least as soon as the press left the room
[21:25.780 --> 21:27.340]  and
[21:27.340 --> 21:28.660]  Then there were reports
[21:28.660 --> 21:35.940]  I will add that there were reports that that two of the attendees Cook and Musk got private meetings with Trump afterwards
[21:35.940 --> 21:42.580]  So maybe the fireworks would have happened in that meeting if Steve Jobs had a private meeting with Trump
[21:42.580 --> 21:45.340]  But there is absolutely no way I don't
[21:45.340 --> 21:52.060]  You know, damn the torpedoes. There is no way Steve Jobs was kowtowing to Trump
[21:52.060 --> 21:55.820]  No, and I don't think kowtowed either. No, I think the difference
[21:55.820 --> 22:02.400]  I think the difference though is that cook could bite his tongue and Steve Jobs couldn't I think that's what I'm saying
[22:02.500 --> 22:06.420]  That's what I'm saying about the you know, the passion that's involved with innovation, right?
[22:06.420 --> 22:12.820]  That's a much harder thing to hold it back Tim Cook, you know, he's a guy who negotiates contracts and stuff
[22:12.820 --> 22:18.140]  He knows when to shut up, but I think there's a good chance and and dr. Wave and France
[22:18.140 --> 22:21.980]  I think agreed that even in the alternate universe where Steve Jobs is still at Apple
[22:22.220 --> 22:26.300]  Cook was the one who would go to that meeting. Yeah, same way that Sheryl Sandberg exactly
[22:26.300 --> 22:28.980]  Yeah, no, no doubt in my mind that that would have me because you know
[22:29.060 --> 22:33.860]  Steve Jobs is was self-aware enough to know that yes, he had that streak and
[22:34.740 --> 22:36.740]  that streak
[22:36.740 --> 22:44.520]  Can be used for good. It can also be used for evil, right and you know, that's well
[22:46.100 --> 22:48.620]  Caution on the part of Apple and then on the other hand
[22:48.620 --> 22:53.760]  I also think it would have been a strategic way to not give Trump what he wanted
[22:53.760 --> 22:58.580]  Which is that I mean Tim Cook is a well-known. I mean, yeah, he's yeah
[22:58.580 --> 23:03.900]  Yeah, he's the biggest, you know the company he's very well known but he is nowhere near as famous as Steve Jobs
[23:03.900 --> 23:07.860]  Yeah, no way. Yeah the day before Kanye West was having a meeting with them, right?
[23:07.860 --> 23:11.860]  That's that's the level of person that he wants to be associated with right?
[23:11.860 --> 23:16.320]  It's if you paid gallop to you know, go around the country and and get a you know
[23:16.380 --> 23:21.620]  10,000 random people and ask them who Tim Cook is you I don't know what the awareness is
[23:21.980 --> 23:26.020]  It's certainly higher than most people and most CEOs
[23:26.020 --> 23:31.020]  But if you ask them who Steve Jobs is it's you know, it's practically up at like Walt Disney levels, right?
[23:31.020 --> 23:36.920]  Yeah, they could describe when it looks likes and yeah, it's it's just yeah, that's I think not
[23:37.740 --> 23:44.340]  Not sending Steve Jobs would have been a way to sort of lessen Apple's involvement in the dog-and-pony show of it
[23:44.340 --> 23:48.620]  We're sending Tim Cook doesn't really right. Yeah, it doesn't really do anything in that way
[23:48.620 --> 23:52.380]  It's a little bit of a way to give Trump the finger to write, you know, just you know
[23:52.380 --> 23:55.620]  No, we're not sending our best person. We're sending our second best person
[23:57.100 --> 23:59.100]  Bezos with Bezos was there
[23:59.100 --> 24:01.940]  The Jenny you said Jimmy Jimmy Rometty from IBM
[24:02.980 --> 24:06.580]  Larry Page to Google had two people well alphabet
[24:07.020 --> 24:08.180]  whatever
[24:08.180 --> 24:14.340]  Larry Page and what's his name Schmidt Eric Schmidt? Yeah, and Microsoft had to
[24:15.820 --> 24:18.660]  Satya Nadella and then Brad whatever his name is their
[24:19.420 --> 24:20.740]  COO
[24:20.740 --> 24:27.220]  It was weird that Microsoft got and Google got to and Apple only got one and I wonder if that was by choice if Apple
[24:27.220 --> 24:30.620]  You know had you know cook was like no, we don't need another one
[24:31.420 --> 24:32.940]  Yeah
[24:32.940 --> 24:39.260]  That's why I say I was interesting to know if you know how that list of people was chosen, right?
[24:39.260 --> 24:44.620]  It's you know, did they sort of self choose or were they asked like quickly?
[24:45.220 --> 24:49.020]  Companies companies get an invitation and they got to choose who to go or were the end of
[24:49.460 --> 24:52.660]  Invitations to people probably just to the companies. I think well
[24:52.660 --> 24:56.220]  It looks like there were a fixed number of seats around that table and that table
[24:56.220 --> 24:58.220]  kind of dictated
[24:59.260 --> 25:01.260]  How many people were gonna be there?
[25:01.420 --> 25:06.460]  So, you know, maybe that's it. Maybe that's why Jack Dorsey wasn't there. They're just you know, wasn't in another seat
[25:07.060 --> 25:11.420]  You know, you don't know I suspect not though. It's the vindictive
[25:12.180 --> 25:14.420]  Angle, well, there's two things though
[25:14.420 --> 25:19.740]  There's a cup there's a couple angles on that one the angle in favor of Dorsey being there would be that
[25:19.860 --> 25:23.600]  Trump has made more use of Twitter far more than he did Facebook
[25:23.600 --> 25:27.100]  I mean and it's I mean, I don't even think it's close. I don't know if he'd
[25:27.680 --> 25:32.680]  You know, his campaign has it the president's on on Facebook, but personally he's all Twitter
[25:33.300 --> 25:39.040]  His his Facebook feed is not on Bloomberg. His Twitter feed is on Bloomberg. That's it. That's the bottom line
[25:39.780 --> 25:41.780]  right
[25:41.980 --> 25:48.260]  But the other thing too is it does seem there's a case to be made I think Gabe Gabe Rivera made it first
[25:48.260 --> 25:52.800]  He's Gabe is the guy who runs the excellent tech meme a news aggregator
[25:52.800 --> 25:58.240]  That it seems as though the invitation list was sorted in order of market cap
[25:59.000 --> 26:03.760]  That it was it's not you know in terms of who got invited or not. It's the you know
[26:04.200 --> 26:10.040]  Six or seven biggest by market cap tech companies and by that measure Twitter isn't even close because their stock is
[26:10.960 --> 26:15.160]  Deeply depressed. I mean there it's there. They're not even in the ballpark if
[26:15.160 --> 26:22.360]  They're market cap and in their remarks in in Trump's own remarks at the meeting. He even mentioned that
[26:22.880 --> 26:27.760]  You know his way of bragging about the meeting was that he said he didn't want to talk about the he wasn't going to mention
[26:27.760 --> 26:30.720]  The hundreds of companies that called asking for a seat at this table
[26:31.600 --> 26:36.280]  And that there were ones and that Peter meaning Peter Thiel kept saying no, they're too small
[26:36.280 --> 26:42.160]  They're too small that that and small meaning market cap, I think, you know, so that was how they measured
[26:42.160 --> 26:44.160]  Alright
[26:44.240 --> 26:49.540]  So I don't by that measure Twitter had no chance yeah, so they weren't measuring by influence they were measuring by
[26:50.200 --> 26:52.360]  Money, but is that smart? I don't know
[26:53.320 --> 26:56.400]  Kind of goes back to the bin Thompson's point, right?
[26:56.400 --> 26:56.680]  You know
[26:56.680 --> 27:02.180]  It's like the smaller companies are often the ones that didn't do more interesting stuff and the stuff that affects the future
[27:02.180 --> 27:08.200]  Yeah, and that drives the economy forward over well and the government certainly shouldn't play a central role in determining that
[27:08.200 --> 27:12.720]  yeah, anyway, the other story that came out was that the Twitter did not get invited because of a
[27:14.560 --> 27:16.680]  Dispute from the summer that
[27:17.800 --> 27:20.440]  Twitter sells these things called branded emoji
[27:20.440 --> 27:26.360]  Well, they call branded emoji and we can I can go on our side grand about the use of emoji in that context in a
[27:26.360 --> 27:28.560]  moment, but the gist of it is that a
