[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[13:10.000 --> 13:16.000]  And then once you do it, you're like, yeah, I've got this automation thing. But so often it's just like, yeah, I'm not going to bother.
[13:16.000 --> 13:23.000]  It's close enough and it's not enough annoyance for me to break out an hour to try and figure it out. So you just leave it.
[13:23.000 --> 13:35.000]  I actually, you know, it's funny to say that I actually did a couple of those things last week as a sort of get my mind off of other things, you know, get my mind off the Internet.
[13:35.000 --> 13:45.000]  And I found it very difficult to to write, honestly. I'll tell you what, I read a thing.
[13:45.000 --> 13:52.000]  You know, let's just keep going meta here. And I know Merlin and I talked about this last week extensively, you know, blah, blah, blah.
[13:52.000 --> 13:59.000]  The election and hard feelings. But I saw a couple of other people with sight. Stephen Levy had a good thing on his back channel.
[13:59.000 --> 14:10.000]  He was just a day after the election. But I have a half of me says I should just charge ahead and write some, you know, typically daring fireball topic stuff.
[14:10.000 --> 14:25.000]  Because other people who read during fireball, I'm sure would more than even usual love to have their mind occupied by this, you know, to get it off thoughts of the election and President Trump.
[14:25.000 --> 14:33.000]  But then there's another half of me that says that is it's it's so it's inappropriate, right?
[14:33.000 --> 14:45.000]  That something this, you know, seismic level happens. It's just it's just foolish to write something that is so off topic.
[14:45.000 --> 14:52.000]  And so I found myself unusually jammed last week in terms of actually getting anything written.
[14:52.000 --> 14:58.000]  So what I did is I occupied myself by doing a couple like AppleScript things that I'd been meaning to write for myself.
[14:58.000 --> 15:03.000]  And it really it helped. I this is sort of thing where I once I start like writing an AppleScript.
[15:03.000 --> 15:11.000]  And I mean, because half of it would for me always with AppleScript is what the hell is the syntax for black?
[15:11.000 --> 15:17.000]  I find myself like an hour can go by and I haven't had any thoughts of the election.
[15:17.000 --> 15:22.000]  And I'm and it's like the best hour of my day was writing. What is it here? I've got it.
[15:22.000 --> 15:29.000]  Just opened it. It's a AppleScript that creates a new text file at the current right in the current finder window.
[15:29.000 --> 15:36.000]  That's nice. I mean, I've it's funny that we're talking about this because as we record this,
[15:36.000 --> 15:47.000]  I think that the news kind of broke today that Sal Segoian, who is the automation and AppleScript product manager at Apple for years, is no longer employed by Apple.
[15:47.000 --> 15:51.000]  I did not know that. Oh, yeah. Yeah. That just he just mentioned that he did.
[15:51.000 --> 16:01.000]  He did a presentation at the Mac Tech conference today. And and I'm not I have to say I'm sad, but I'm not really surprised because I'm not sure Apple's eye has been on that particular ball for a long time.
[16:01.000 --> 16:09.000]  But, you know, and it's not for everybody. And when I talk, people know that I do automation stuff and they're like, oh, you know, it's hard to get into.
[16:09.000 --> 16:15.000]  And and that's all true. But then, you know, every and again, I do leave things for a long time.
[16:15.000 --> 16:21.000]  And sometimes it's like, oh, well, you know, I should automate that. But every time I do one of those, I finally put in that work.
[16:21.000 --> 16:27.000]  Not only is it kind of a pleasure to solve the problem, I and I think to myself, this must be what computer programmers feel all the time.
[16:27.000 --> 16:34.000]  But, you know, once it's done, I can hand it to other people sometimes if they want it. I've done that a little bit.
[16:34.000 --> 16:38.000]  And, you know, things get passed around and it can make it just can make your life better.
[16:38.000 --> 16:43.000]  Like I have a bunch of things now that are they're not even Apple scripts.
[16:43.000 --> 16:49.000]  They're they're shell scripts that run inside a service.
[16:49.000 --> 16:54.000]  So basically, you know, you basically make an automator thing that says do the shell scripts.
[16:54.000 --> 16:59.000]  Yeah. And and then you wire that to the current selection as input and pass it to the script.
[16:59.000 --> 17:15.000]  Yeah. And so I do that for like I've got I've got all these scripts that either I'm I'm, you know, clicking on something in the finder and doing a keyboard shortcut or I'm I'm choosing it from the contextual menu to do all sorts of like audio processing and stuff for podcasts.
[17:15.000 --> 17:18.000]  And I just do it in in it's it's all scripts running in the background.
[17:18.000 --> 17:24.000]  And I got a lot of these scripts from Marco Arment, who is very comfortable with the command line and just issues all these things from the command line.
[17:24.000 --> 17:30.000]  I'm like, I'm not going to do that. I'm going to put it in a little, you know, I'm going to wrap it in an automator and just hit a keyboard shortcut and do it.
[17:30.000 --> 17:43.000]  And it's great. And every time I do one of those things, I think to myself, I can't believe I went months where I was bringing up the terminal and dragging in folders to get the path names and then issuing the the shell scripting commands and all of that.
[17:43.000 --> 17:51.000]  And now all I do is point and click. I mean, that's the that's the great thing about Mac automation stuff. And iOS, too, really is once once it's done, you know, it's out of the way.
[17:51.000 --> 18:01.000]  All you do is go boop and magic things happen. And, you know, that's that's that's that's the abstracted computer user interface in a nutshell right there is you shouldn't know what the steps are.
[18:01.000 --> 18:05.000]  You should be able to build the steps and then put it aside and just keep doing your work.
[18:05.000 --> 18:13.000]  And some of the utilities, you know, that are along those lines, like text expander and keyboard maestro, I think you might start does this.
[18:13.000 --> 18:21.000]  I'm almost certain text expander does is there's a way if you go to like the about box or something, it shows you how much time you've saved since you've been using it.
[18:21.000 --> 18:31.000]  And if you've been using I've got some of these utilities where I somehow it's like I look and it tells me I've saved, you know, like 10 hours of time over so many years.
[18:31.000 --> 18:37.000]  But that's like at each little step. I get one of them for me. I've published this somewhere. I don't know.
[18:37.000 --> 18:45.000]  It's I think it's a gist or something like that. I've written about on during Fireball, but I have a very particular style of title casing I use on during Fireball.
[18:45.000 --> 18:59.000]  Where there's it's, you know, every, you know, big word gets an uppercase letter and then there's a specific set of little words that are not like of a and.
[18:59.000 --> 19:08.000]  And it can be tricky, though, to do it to to automate it, because you can be fooled by things like.
[19:08.000 --> 19:16.000]  Quotes in the text that's being selected, because then the should be capitalized if it's the first word in the quote, because it's like the title of the thing.
[19:16.000 --> 19:30.000]  So I've packed together a script years ago that gets it right. Ninety nine point nine percent of the time. And I have it exactly like, you know, like you said, it's an automator script or service with that shell script running in it.
[19:30.000 --> 19:35.000]  And I have it mapped to shift shift command T for title case.
[19:35.000 --> 19:39.000]  And there are some I think about how much time that has saved me over the years.
[19:39.000 --> 19:49.000]  And it's it's just unbelievable. And but before I wrote it, even though I've been using it for years, I think, well, all those years I was like arrow, arrow, arrow shift, you know, retype the letter, arrow, arrow.
[19:49.000 --> 19:57.000]  It's crazy. Yeah, it's it's well, I mean, that's a keyboard. Meister tells me I've saved seven hours, by the way. I just looked.
[19:57.000 --> 20:06.000]  It goes back to regular expressions, right? I mean, you did you write the chapter in the BB edit manual about regular expressions? Was that you know?
[20:06.000 --> 20:17.000]  No, but the second half of it is. So I think this is fair to say I don't want to take too much credit. The regular expression chapter in BB edit was there when I started.
[20:17.000 --> 20:27.000]  But BB edit was using a very old regular expression library. It was really a derivative of the like the original Unix one.
[20:27.000 --> 20:38.000]  A guy named Henry, somebody, somebody wrote it and it only had like the basic regular expression syntax. It was almost more like a glorified wildcards.
[20:38.000 --> 20:47.000]  Yeah. And all the fancy stuff that you can do when you read that chapter and you're like, holy crap, was added when I was there.
[20:47.000 --> 20:59.000]  And so I wrote the, you know, the added onto the chapter to write all the PCRE stuff. All right. Yeah, that's anyway, that's I tell people about grep, about regular expressions.
[20:59.000 --> 21:04.000]  And they have that same look as when I talk about Automator or if you talk about shell scripting, which is like, I don't want to learn it.
[21:04.000 --> 21:14.000]  I don't understand it. I don't know. And like I get I get that. But like, especially when I when I would talk to writers and editors about grep, I'd be like, you don't understand.
[21:14.000 --> 21:23.000]  Text is what you do for a living. I am telling you, if you like, buy Jeff Friedl's book, you know, or read the BB edit chapter.
[21:23.000 --> 21:30.000]  There are things in there that, you know, you if you learn it, all of a sudden you'll be sitting there thinking, oh, man, I can't believe I need to do this.
[21:30.000 --> 21:37.000]  This is going to take me an hour. And if you know the language of grep, if you know those symbols, you can do it in two minutes.
[21:37.000 --> 21:46.000]  And it only needs to happen once. And you realize that it is, you know, it is a life skill that you need to have.
[21:46.000 --> 21:54.000]  I'll tell you the truth. There's a true story. I didn't learn regular expressions while I was in college, even though I was a BB edit nerd, comp sci major.
[21:54.000 --> 22:04.000]  I just look I mean, I think the furthest I ever got was like dot plus and dot star, which is, you know, just more like like old dots wildcards.
[22:04.000 --> 22:09.000]  Find everything. And I just never saw the need for it.
[22:09.000 --> 22:24.000]  And like a year or so after college, I got a temp job at the Philadelphia Inquirer in the advertising department where they had a bunch of Excel spreadsheets with all of the ad rates for everything.
[22:24.000 --> 22:36.000]  And it was each department had their own thing. And each one had like seven pages or 12 pages of ads in a, you know.
[22:36.000 --> 22:41.000]  A matrix, you know, so keeping them in Excel as where the business people set them made total sense.
[22:41.000 --> 22:47.000]  And then, you know, there would be graphic designers who turn them into a book that they could send out to people.
[22:47.000 --> 22:51.000]  So I got hired to do these books because I could do graphic design. And so I did the first one.
[22:51.000 --> 22:58.000]  And this is how everybody did it. But there was all sorts of gibberish in columns that wasn't public.
[22:58.000 --> 23:05.000]  You know, and it was it must have made sense for the business people who'd use the Excel spreadsheet, but it didn't need to go in there.
[23:05.000 --> 23:12.000]  And so the way that every you know, it was done before and the way I did the first book was I just went in and edited each column by hand.
[23:12.000 --> 23:18.000]  And it was just, you know, tab, delete, tab, delete and just pages and pages and pages and pages.
[23:18.000 --> 23:26.000]  And, you know, a couple of days work easily or maybe a week's work for the whole book, mostly just deleting crap.
[23:26.000 --> 23:29.000]  And I thought there's got to be a better way. And I thought about that.
[23:29.000 --> 23:32.000]  I think this is the sort of stuff regular expressions are supposed to solve.
[23:32.000 --> 23:38.000]  And so I wrote I just spent like a day writing like just a couple of regular expressions and BB edit.
[23:38.000 --> 23:48.000]  And then so I went from Excel to text BB edit to just run a couple of saved grip patterns, import it into the document.
[23:48.000 --> 23:57.000]  And I was done. And I mean, it literally turned like a week's work of work for each book into about like two hours.
[23:57.000 --> 24:06.000]  And so I just but I acted as though I didn't write the script and just sat there, you know, browse the web.
[24:06.000 --> 24:12.000]  It's that's actually going out of Excel is that's like a pro tip for for all this stuff, too.
[24:12.000 --> 24:16.000]  It's like I can't tell you how many times I've had something in Excel that's been a disaster.
[24:16.000 --> 24:22.000]  And I just select it and paste it into BB edit. It comes in as tab delimited and or you save it out as a tab delimited file.
[24:22.000 --> 24:28.000]  And you do all of the crazy text stuff and you just make sure that there are tabs between the fields and you bring it back into Excel.
[24:28.000 --> 24:32.000]  And you're like, look, it was it was it was in Excel all along, but it wasn't.
[24:32.000 --> 24:42.000]  You know, you completely take it out in times where I've taken multiple columns in Excel and I pulled them out and then kind of like mix them and match them and reassembled them in the right way.
[24:42.000 --> 24:48.000]  And then you paste them back in. And it's like, you know, it's like they never left Excel, but they totally came out of Excel.
[24:48.000 --> 24:54.000]  And it's not like you can't do some wildcard stuff in Excel, but and you probably can write visual basic scripts that do things, too.
[24:54.000 --> 25:02.000]  But for me, it was just like, can I get this back to text and can I can I write a couple of pattern matching search and replaces that solve this problem?
[25:02.000 --> 25:06.000]  And usually the answer is, yeah, and you can take an hour of work and do it in 10 minutes.
[25:06.000 --> 25:14.000]  Five minutes. I mean, it literally turns off the Web, literally turn weeks, weeks of work into hours of work.
[25:14.000 --> 25:20.000]  And I just got paid for weeks of work. I felt like I deserved it.
[25:20.000 --> 25:25.000]  Yeah, I will just say this one last thing. It was a long time ago. It must have been 2001 or so when I wrote that.
[25:25.000 --> 25:40.000]  The second half of the BB Edit chapter, I would still say is one of the pieces of writing that I am most proud of in my entire life, because people have told me many times when they find out that I wrote it, they're like, oh, my God, that was the first time regular expressions ever made sense to me.
[25:40.000 --> 25:49.000]  And I can't take credit for the whole chapter. But I did take a pass through the early part just because that was my goal is I do feel like I have a knack for regular expressions.
[25:49.000 --> 26:01.000]  It's the one area of programming where I'm better than almost anybody. I really am good at figuring out how to create the syntax to match what I want to match.
[26:01.000 --> 26:06.000]  And it ends up creating these things that most people look at and they're like, what the hell?
[26:06.000 --> 26:14.000]  Yeah, I think that's the big problem with regular expressions is readability. Like, people see them and they think, it's nonsense, I can't do it.
[26:14.000 --> 26:22.000]  And it's like, no, no, no, if you learn it, it's actually fairly straightforward, not all of them, but most of them, but they look like nonsense.
[26:22.000 --> 26:30.000]  Well, I just thought, you know, but this is something, this is like a perfect combination for me because I have a knack for explaining things and I have a knack for regular expressions.
[26:30.000 --> 26:39.000]  And in hindsight, I still feel, you know, what is it, 14, 15 years later, I still feel it's one of the best things I've ever written.
[26:39.000 --> 26:52.000]  Yeah, I love that chapter. I mentioned Jeff Friedl's O'Reilly book about this. It's great, but it's from the possession of a, you know, long-time Unix guy and he talks about scripting a lot in that, like, shell and Perl scripting.
[26:52.000 --> 27:05.000]  And for me, the most direct application was BB edit. So, the BB edit chapter is a much more distilled, clear approach to this than, I love that Friedl book and I use, I reference it all the time,
[27:05.000 --> 27:09.000]  but the BB edit chapter is just a much more simple, gentle introduction.
[27:09.000 --> 27:17.000]  Yeah, I love it. I love the Friedl book too. And I've read both editions, maybe three editions. I think there might be a third. I don't know. Every time there's a new edition, I buy it.
[27:17.000 --> 27:18.000]  There is a third.
[27:18.000 --> 27:23.000]  And I have all three copies and I've read them all cover to cover.
[27:23.000 --> 27:41.000]  It is, but it's, I would definitely say it is, this Friedl book is so comprehensive and so well done that it's, I don't know that I've ever read any book on any subject where you could say, well, there's no need for anybody else to ever write a book on this again.
[27:41.000 --> 27:45.000]  But I would honestly say that that's the case with Friedl's book on regular expressions.
[27:45.000 --> 28:00.000]  I just can't see how anybody else would say, well, I'll take the time to write a technical book, which is really hard on this subject when there's a book that covers it both perfectly and extensively.
[28:00.000 --> 28:21.000]  All right, maybe I'll take a break. How about I take a break here and thank the first friend of the show. It's our good friends, good friends at Casper. Casper, they make obsessively engineered mattresses at shockingly fair prices. Go to casper.com slash the talk show and use code the talk show and you'll save 50 bucks towards your mattress with one exception.
[28:21.000 --> 28:40.000]  Hold on. I'll tell you what that is. Um, so here's the deal. I've told you this before. I'll say it again. Casper has created one perfect type of mattress. It's, it's a combination of like memory foam and um, you know, some other stuff that's just the right blend of types of things.
[28:40.000 --> 28:57.000]  So you don't have to pick between six different types of mattresses. How do you know what the difference is? These guys, it really is sort of like the apple attitude taken to mattresses. Trust us. We'll do all the work. We'll make one type of mattress and then all you have to do is pick the size. That's it.
[28:57.000 --> 29:12.000]  That is, it's just sings to me, this is how a mattress company should do it. Now, in addition to that, because they sell, they make them, they right here in the United States in fact, and they sell them directly to you. You just go there.
[29:12.000 --> 29:37.000]  Uh, they cut out the middleman and it enables them to keep their prices incredibly lower than the mainstream big brand mattresses you find in traditional mattress stores. Uh, premium mattresses often start at well over 1500 Casper mattresses costs just 500 for twin, 750 for full, 850 for queen and just 950 for a king.
[29:37.000 --> 29:55.000]  So you can get a king from them for less than like a twin from a lot of the other big brands. Crazy. Uh, and like I said, they're made right here in America. Now, biggest thing you think, how am I going to buy a thousand dollar mattress and not even try it?
[29:55.000 --> 30:08.000]  You don't have to worry about it. They have a hundred night home trial. If you don't love it, they will pick it up at your house, give you a full refund, no hard sell. It's not like trying to cancel your cable. It's something like that. You just say, I want to send it back.
[30:08.000 --> 30:16.000]  And they say, okay, when, you know, and then somebody shows up and they take the mattress away and you get your money back and that's it. I've had readers. Casper has been a sponsor long enough.
[30:16.000 --> 30:29.000]  I've gotten emails from readers who've done that and they said, I couldn't believe how, you know, couldn't believe how easy it was to actually just send it back because they actually, you know, they didn't believe that it was going to be easy because that just sounds too good to be true.
[30:29.000 --> 30:34.000]  But that's how confident Casper is in their mattress.
