[00:00.000 --> 00:02.000]  Hello there
[02:09.260 --> 02:16.060]  Just so bad if they were if the New York Yankees this year were the Minnesota Twins or the
[02:16.060 --> 02:22.060]  The Cleveland Indians or name any other team from you know, somewhere in the middle of the country. No offense to those teams
[02:22.060 --> 02:29.460]  I'm just saying a team that's not a perennial powerhouse and they had this record and they had this lineup and these starting pitchers and
[02:29.660 --> 02:35.100]  Nobody would be paying any attention to them all it would be a curiosity that they're theoretically still in the wildcard race
[02:35.100 --> 02:40.820]  Yes, but nobody would even know there wouldn't be like nightly updates on ESPN about their where they are in the wildcard race
[02:40.820 --> 02:46.060]  It's just because of the Yankees and because there's one particular guy on the roster named Derek Jeter
[02:46.900 --> 02:52.860]  Right, which was the I mean, that's kind of the point of today. So, you know, but it's true. They're they're not
[02:53.380 --> 02:54.500]  They're one of those teams
[02:54.500 --> 02:59.320]  I noticed that the Padres are like six games out or something in the wildcard and it's like the
[02:59.620 --> 03:04.740]  technically in it still kind of category where people aren't really paying attention, but
[03:05.700 --> 03:09.500]  Something magical could happen, but probably won't but could yeah
[03:09.500 --> 03:11.300]  um
[03:11.300 --> 03:13.220]  Yeah, probably not. I'm a little worried
[03:13.220 --> 03:17.100]  I got a little worried by the end of the game that it's because I think they're five games over
[03:17.420 --> 03:21.500]  500 and I actually think that that's a remarkable achievement given what's happened to them
[03:21.500 --> 03:23.900]  They've had four out of their five starting pitchers on opening day
[03:25.120 --> 03:31.060]  Had like season ending injuries or almost as an ending injuries Panetta was out. I don't know four months
[03:31.460 --> 03:35.940]  Well, it's remarkable that the team with four out of their five starting pitchers having season ending
[03:35.940 --> 03:42.340]  Would possibly career ending in the case of CC. Sabathia injuries is five games over 500. That's remarkable
[03:42.340 --> 03:48.060]  but here's the thing I the the takeaway I came from today where I was I left the Yankee Stadium very depressed and my thought is
[03:48.980 --> 03:51.700]  Everybody's hoping that Jeter at least gets to finish the season
[03:52.140 --> 03:53.860]  May be chasing down a wild card
[03:53.860 --> 03:59.860]  My fear is that he's gonna finish the season chasing down the first ever losing season that he's had as a Yankee
[03:59.860 --> 04:05.060]  It could happen but they you know that again they could be you know, sometimes
[04:05.820 --> 04:10.300]  Again, it depends on what your what your expectations are. I remember that there's a period in the
[04:11.740 --> 04:19.300]  Early 2000s when the Giants were I think they played like five or six years where they had like three games where they were eliminated
[04:19.300 --> 04:25.260]  And most of those years, you know, the Giants have I think never won the division two years in a row ever
[04:25.260 --> 04:31.420]  But there was something good about that that they they would get eliminated the last week of the season and
[04:31.740 --> 04:33.740]  Even if they didn't win the division of the wild card
[04:33.900 --> 04:40.100]  They they weren't playing meaningless games to late September and I realize that's in some ways a low bar
[04:40.100 --> 04:45.180]  But I do kind of like that the idea that you're always around and maybe some years you fall short and you're five games
[04:45.180 --> 04:46.180]  Out or whatever at the end
[04:46.180 --> 04:52.380]  but but you know when when that all sort of fell apart and there were a couple years there where they were out in like
[04:52.380 --> 04:57.620]  The end of August it felt really strange because that's the thing you get used to is, you know, at least we're in it
[04:57.620 --> 05:03.580]  We might not make it but we're in it till almost. It's the end of the you know, it's the football season
[05:03.580 --> 05:07.420]  It doesn't matter anymore. Yeah, I actually that was actually one of the reasons
[05:07.420 --> 05:13.340]  I think as a boy that I became a Dallas Cowboys fan and one of my favorite things about my the Tom Landry era
[05:13.340 --> 05:17.740]  Dallas Cowboys was that I believe the number is 20 that they had 20 consecutive
[05:17.740 --> 05:23.980]  Winning seasons where they won at least nine out of the 16 games, right? And during that era clearly
[05:23.980 --> 05:29.900]  The dominant team in that era was the Pittsburgh Steelers the Steelers. I don't think yeah, you know the the Cowboys
[05:29.900 --> 05:34.700]  I think took one from the Steelers but the Steelers beat the Cowboys more than the you know
[05:34.700 --> 05:37.580]  the other way around and they won four in a row and
[05:38.460 --> 05:44.780]  You know you you could argue then that afterwards that the 49ers supplanted the Cowboys the the Joe Montana era
[05:44.780 --> 05:51.820]  The Joe Montana era 49ers and literally in one game, you know, there was like a passing of the torch with the catch
[05:52.260 --> 05:58.400]  But the thing about that that 20 consecutive winning seasons to me is that's that's an incredible thing
[05:58.580 --> 06:02.540]  You know, that's like an amazing consistency. I think with Jeter I again
[06:02.540 --> 06:05.460]  I'm just talking off the cuff here, but I believe and at one point I know it was true
[06:05.660 --> 06:08.900]  Don't count last year because he only played 17 years because of the ankle
[06:08.900 --> 06:15.780]  But in all the game all the seasons he's had full seasons with the Yankees. He's only played one meaningless game
[06:16.620 --> 06:20.580]  One time the last and it was the last ever game at Yankee Stadium
[06:21.420 --> 06:24.620]  The the old Yankee Stadium, so it wasn't even meaningless
[06:24.620 --> 06:28.600]  It was that that was the one game where they were now they're technically out of the playoffs
[06:28.900 --> 06:34.300]  But it was the last game at the house that Ruth built so you could argue that it wasn't meaningless
[06:34.300 --> 06:37.260]  it was actually very emotional and Jeter gave a speech to a
[06:37.260 --> 06:41.900]  Completely sold-out completely, you know emotional crowd
[06:42.740 --> 06:46.660]  That's why didn't it and that's a 20-year career. That's the magic of yeah
[06:46.660 --> 06:50.820]  I think there's I think there's something we said for being in it and and like I said
[06:51.740 --> 06:56.340]  That was a great era for the Giants when they when you could count on on
[06:56.860 --> 07:02.460]  Maybe one hand the number of meaningless games that they played over a course of like four or five years and they didn't win
[07:03.100 --> 07:06.020]  Actually, you know, they've got to the World Series one of those years and the rest of them
[07:06.020 --> 07:09.220]  I think they went to playoffs once and the rest of them they didn't even make the playoffs
[07:09.220 --> 07:13.660]  But it was that thing of like you weren't playing out the string you were you were at the games were meaningful
[07:13.660 --> 07:15.500]  And even if you ended up on the wrong side of them
[07:15.500 --> 07:21.500]  They were meaningful and that I know that sounds strange for especially if you're like well a championship is the only thing that'll that'll do
[07:21.500 --> 07:24.140]  But there is something to going to a game and saying hey
[07:24.140 --> 07:30.820]  Maybe something magical could happen here versus like literally these are two teams that are going nowhere and don't care anymore. Yeah
[07:30.820 --> 07:38.860]  That's the worst. It is. Absolutely. It's the Astros playing the Padres and yeah, but it's you know, that's baseball, you know
[07:38.860 --> 07:41.180]  And that's what that's, you know, it's a sport where and you know
[07:41.180 --> 07:43.720]  We can get into complaints about the wild card and everything
[07:43.720 --> 07:47.660]  But it's still even with the wild card and even with the expansion of the wild card. It's still a sport
[07:47.660 --> 07:53.180]  We're just making it to the postseason a special like I can't I can't I can't fathom the sports like the NBA
[07:53.700 --> 07:56.340]  Where it's almost hard not to make the playoffs
[07:56.340 --> 08:01.380]  You know where it's just about seeding and like clearing out the absolute dregs, right?
[08:02.260 --> 08:05.620]  And then you all play, you know, then then you're in a tournament you might as well
[08:05.620 --> 08:09.620]  There's that one year where I think the NHL came back from a strike and they literally just did a tournament
[08:10.980 --> 08:13.500]  We give up who needs a season
[08:15.740 --> 08:17.540]  Anyway busy week ahead
[08:17.540 --> 08:21.200]  It's gonna be huge. I don't even know where to start. I think it's
[08:21.200 --> 08:28.280]  So we're recording Sunday night. We're gonna air this tomorrow. There's people be listening on Monday
[08:28.280 --> 08:34.280]  I think this is probably one of those episodes where people won't won't wait around if you did and you waited around then you're listening
[08:34.280 --> 08:40.100]  To it after the fact, but those of you listening on Monday the 9th of September to 2014
[08:41.840 --> 08:44.400]  We're talking the prelude to apples big
[08:44.400 --> 08:50.280]  Well, we don't know what event but we can make some some pretty good guesses
[08:51.160 --> 08:57.140]  It's gone for everybody thought it was going to be an iPhone event and maybe something else too. It's quickly zeroed into
[08:59.080 --> 09:01.080]  iPhones to iPhones and
[09:01.640 --> 09:03.640]  quote-unquote a wearable, right
[09:04.240 --> 09:06.160]  Which is funny because this is the event
[09:06.160 --> 09:07.640]  we always think of as the
[09:07.640 --> 09:12.680]  iPhone event and the iPhone is Apple's biggest product and this is by any measure and I you know
[09:12.680 --> 09:16.840]  I can only look at like I know what the Mac world traffic is like for the last few years and
[09:17.460 --> 09:19.600]  People talk about Oh Apple events are big
[09:19.600 --> 09:23.600]  The iPhone event is of a scale in terms of just general interest on the web
[09:23.880 --> 09:26.480]  That is beyond any other Apple of out of the year
[09:26.480 --> 09:32.720]  The iPhone event always pins the needle in a way that an iPad event or a WWDC keynote
[09:33.520 --> 09:38.720]  Just doesn't I mean and so it's fascinating that everybody's suddenly like talking about the wearable thing
[09:38.720 --> 09:45.120]  Because without it, this would still be the biggest Apple event of the year. Yes. That's absolutely true
[09:46.120 --> 09:47.240]  and
[09:47.240 --> 09:53.000]  I think what's weird about that. I was just talking offline with
[09:53.840 --> 09:58.720]  Dave off the show not on the show, but with my friend Dave whiskus about this over the weekend and
[10:00.080 --> 10:06.060]  We were talking about with with this the rumors that there's going to be a wearable announcement called the watch or whatever
[10:06.060 --> 10:12.420]  Kind of thing it is. It doesn't really matter. But the the rumor is that they're going to announce it and then
[10:13.820 --> 10:18.060]  It won't it may not ship right away may not even ship in calendar 2014
[10:18.220 --> 10:21.940]  They might just be for whatever reason and we've got to speculating
[10:21.940 --> 10:25.280]  Well, why would they pre announced something if it wasn't ready to go on sale yet?
[10:26.140 --> 10:27.980]  and in
[10:27.980 --> 10:34.540]  2007 when the only time they really I can remember them ever doing that like a significant lead time was with the original iPhone
[10:34.540 --> 10:40.740]  Yeah, yeah, whether where that was the Macworld Expo in January and it didn't ship till the July
[10:41.380 --> 10:48.220]  Or was it June 27th? It was summer. It was it was and it was late June if it was June
[10:48.220 --> 10:50.620]  I think it was like June 28th or so into June, right?
[10:50.820 --> 10:54.300]  This is why we need a chat room because of course, there's somebody out there who's you know
[10:54.300 --> 10:57.980]  I I remember that because my family and I were going to summer camp and we made the
[10:58.020 --> 11:02.500]  Reservations like a year in advance and I got the iPhone the day we were supposed to leave for summer camp
[11:02.500 --> 11:04.580]  And so I reviewed the iPhone in a tent. I
[11:05.540 --> 11:12.060]  You know, what's funny? I I went with Amy and and her some of her family to the shore in
[11:14.140 --> 11:17.420]  We are my friend my first side of the family always goes to Jersey Shore
[11:17.420 --> 11:21.220]  This was Ocean City, Maryland where I'd never even been before the next day
[11:21.220 --> 11:28.020]  so it was like I had stayed up all night and wrote like a first thought and then we went to the shore and I was
[11:28.020 --> 11:31.900]  I have to I think I try to be a good, you know
[11:32.820 --> 11:38.620]  Vacationer, you know don't don't stay, you know attached to the internet and you know the stuff
[11:38.620 --> 11:43.220]  I usually do when I'm with my family, but with a brand new iPhone it was impossible
[11:43.220 --> 11:48.620]  It was impossible to think of anything other than the iPhone that was in my hand. Yeah. Oh, yeah
[11:48.620 --> 11:52.100]  I had to we and we had no cell service at the camp
[11:52.100 --> 11:58.580]  So I actually I had to drive like 40 minutes down the mountainside to test like the phone part of it
[11:58.580 --> 11:59.780]  But but it was definitely summer
[11:59.780 --> 12:05.900]  It was one of those things that like Apple is ruining every every buddy's summer vacation because that was late June and yeah
[12:05.900 --> 12:10.820]  Yeah, and if you were gonna extend like a weekend trip to like the 4th of July, it was right smack dab there
[12:10.820 --> 12:13.340]  Yeah, but that's six months six full months, right?
[12:13.340 --> 12:16.740]  I remember your review your review when you say you had no cell service
[12:16.740 --> 12:20.420]  You don't mean like it was like one bar or whatever. It was I don't know surface
[12:20.420 --> 12:25.260]  You know the little thing that says no surface right didn't even have the AT&T logo. No, no
[12:25.260 --> 12:27.620]  It was a complete complete empty avoid
[12:27.620 --> 12:28.300]  And so yeah
[12:28.300 --> 12:34.180]  I went down the mountain about 25 minutes and and and sat pulled over by the side of the road basically when I had
[12:34.500 --> 12:36.420]  like a bar and
[12:36.420 --> 12:39.940]  Made a couple of calls and did some data just it was ridiculous
[12:39.940 --> 12:45.620]  but that was that was how I can always remember that it was summer vacation right around the end of June beginning of July and
[12:45.860 --> 12:49.620]  And that was despite the fact that the event was Mac World Expo. So that was early January
[12:49.620 --> 12:52.620]  So there's a huge process but that allowed them to keep it secret, right?
[12:52.620 --> 12:55.900]  Which I think is the scenario here with this wearable is that we all know
[12:56.460 --> 13:00.860]  I mean not to get into more anecdotes, but like I remember you went to New York
[13:00.860 --> 13:05.660]  I was since I'm in California. I went to Cupertino, but they did those briefings for Mountain Lion and
[13:06.820 --> 13:09.580]  everybody walked into those briefings and basically
[13:10.460 --> 13:15.380]  was like what the hell are you guys talking about because there had been no rumors about it that there was gonna be a new
[13:15.380 --> 13:21.060]  Version of OS X that soon and I remember running into MG Sigler afterward and we looked at each other and both kind of mouthed
[13:21.060 --> 13:25.940]  Oh my god, right and that's because you know, Cupertino's pretty locked down
[13:25.940 --> 13:32.260]  And so the iPhone was pretty locked down because it wasn't in the supply chain yet and so many of these leaks like about the iPhone
[13:32.260 --> 13:37.720]  6 come from the supply chain and this wearable isn't in the supply chain yet and we people talk about FCC
[13:37.720 --> 13:45.080]  Approvals leaking things and that that may be true. But also like if you announce it early enough, it's not outside
[13:45.600 --> 13:47.120]  Cupertino and
[13:47.120 --> 13:51.640]  Maybe maybe you know some theoretical parts are but the whole product is not in production
[13:51.800 --> 13:56.200]  And that means they can make that splash and that you could only do that once right? Yeah
[13:56.200 --> 14:02.640]  That's exactly the point that the I was making over the weekend privately. Is that Steve Jobs? This is and this is
[14:02.640 --> 14:10.200]  What was thrown in my face was well Steve Jobs said in 2007 that the reason they were pre-announcing the iPhone was FCC
[14:10.200 --> 14:14.400]  They didn't want to have it come out through FCC regulations. They're gonna announce it now
[14:14.400 --> 14:19.860]  They're gonna put it through the regulatory process. They're gonna put it through the carrier testing process with with singular
[14:20.520 --> 14:26.560]  And that would spoil the secret and they wanted to show it to us now and it's not quite finished software wise and but well
[14:26.560 --> 14:28.560]  You know, we'll be ready in in six months
[14:28.560 --> 14:32.360]  and that that wouldn't apply to a wearable because a wearable wouldn't need to
[14:32.480 --> 14:36.800]  Get all the same regulatory stuff that a cell phone was which I don't know is true
[14:36.800 --> 14:42.120]  Actually, I think maybe it does if it has I don't know what the regulations I think it's got radios in it
[14:42.120 --> 14:43.640]  It has to write some sort of process
[14:43.640 --> 14:50.480]  Yeah, if it has, you know this NFC or Wi-Fi or Bluetooth or has to have some kind of connectivity presumably
[14:50.680 --> 14:54.800]  but I think it's more than that though see here's I think there's a huge difference between
[14:55.480 --> 14:57.480]  2014 and
[14:57.480 --> 14:59.120]  2007 which is in
[14:59.120 --> 15:03.080]  2007 as big a deal as Steve Jobs keynotes were to
[15:03.400 --> 15:08.520]  Guys like me and you people who listen to this show people who read Macworld and during fireball, right?
[15:08.520 --> 15:10.160]  We still hung on keynotes, right?
[15:10.160 --> 15:15.160]  We got up and got in line to get in the keynotes at WWDC or we'd you know
[15:15.160 --> 15:16.840]  Listen to the live feed and stuff like that
[15:16.840 --> 15:20.440]  but it was not that many people compared to today and
[15:20.440 --> 15:28.360]  There was no even all the speculation and there were so many rumor sites that were ton always have been Apple rumor sites and Apple
[15:28.360 --> 15:31.780]  Rumor sites have always been trying to you know, get the goods on upcoming stuff
[15:31.920 --> 15:37.840]  but there was nothing like the market of speculation for for new iPhones and
[15:38.120 --> 15:45.920]  This pressure and I think it's you know, it's clearly financial pressure that there there's money exchanging hands to get these
[15:45.920 --> 15:53.860]  Yeah prototypes and mock-ups and shell casings and screens and home screen buttons and you know
[15:54.440 --> 15:59.120]  Everything has leaked. I'm not saying that we know everything that the phone's gonna do but at least the parts have all leaked
[15:59.120 --> 16:05.440]  I mean there'll be updates somebody will find literally like here's the volume buttons of the new iPhone. Yeah, and
[16:06.360 --> 16:09.640]  You know in the last couple of years the first couple of years when that started happening
[16:09.640 --> 16:14.740]  Everybody was like ask gotta be fake fake fake and ends up. It's like yeah that you know, that was actually right
[16:14.740 --> 16:18.480]  well, the supply chain just I mean, I think the economics of
[16:19.180 --> 16:24.740]  The people working in the supply chain, which is almost entirely in Asia almost entirely in China
[16:25.560 --> 16:29.920]  You know, there are so many people involved and you know culturally
[16:29.920 --> 16:36.840]  It doesn't take that much for somebody who's not being paid very much to get paid a bribe basically to slide
[16:37.060 --> 16:42.240]  One of the 15 samples they've got to somebody else and I and I think that's how business gets done
[16:42.240 --> 16:45.620]  I mean, I really I'm trying not to judge this because I think by their
[16:46.220 --> 16:52.160]  Their cultural standards. It's not that big a deal. That's sort of how business gets done and how competition happens
[16:52.300 --> 16:56.420]  But from Apple's perspective, it's you know antithetical to what they want to do, right?
[16:56.900 --> 17:01.980]  And so they have to do and they can't do it now. They see they can't pre-announce the iPhone
[17:02.060 --> 17:09.100]  Let's just say I've been avoiding the term the iPhone 6 because I don't know what Apple's gonna call it and I you know
[17:09.100 --> 17:14.160]  That they I'd certainly didn't predict that they would stop numbering iPads, right?
[17:14.160 --> 17:18.780]  They said iPad iPad 2 and then they just went back to a new iPad right new iPad
[17:19.900 --> 17:23.380]  And then iPad air and iPad mini so I'm you know
[17:23.380 --> 17:28.100]  They've stuck with this numbering and then a stick and s after the number system for a while
[17:28.100 --> 17:35.360]  But I'm not making any predictions as to sure name, but I'll just say iPhone 6 as shorthand. Yeah shorthand
[17:35.360 --> 17:44.000]  They couldn't they can't announce the iPhone 6 6 months in advance to avoid these supply chain links be leaks because they have to
[17:44.000 --> 17:50.060]  Avoid the Osborne effect exactly even the iPad was a two-month window between announce and ship
[17:50.280 --> 17:54.240]  It's same deal because they weren't cannibalizing some other product when they did it
[17:54.240 --> 17:58.720]  but now that once that product starts once the clock starts ticking then you've got a
[17:58.840 --> 18:04.040]  You got a ship it fast because nobody's buying it between the day you announce and the day you ship it
[18:04.040 --> 18:11.640]  Right because so for example, and I'm sure I've spoken to Apple store employees and people who've worked at Apple stores
[18:11.640 --> 18:15.680]  You know have written to me at during fireball that people come in all the time and they're like, hey
[18:15.680 --> 18:17.680]  I hear there's a new iPhone coming asking sir
[18:17.680 --> 18:22.640]  What do you get and they can honestly say we don't know anything about it. They don't tell us stuff like that
[18:22.640 --> 18:24.760]  We don't know. Here's the iPhones we have today
[18:24.760 --> 18:29.160]  I can tell you all about if they pre-announce it in June and
[18:29.160 --> 18:33.960]  And then somebody comes in in July and says I hear there's gonna be a big iPhone coming out
[18:33.960 --> 18:37.860]  I'd like that sounds interesting to me to be honest. They would have to say yeah, you're right
[18:37.860 --> 18:40.520]  It's you know, we've pre announced if it's coming in
[18:41.880 --> 18:45.880]  September a layaway plan for ya. Well, we'll see you then
[18:47.160 --> 18:48.280]  They can't do that
[18:48.280 --> 18:54.600]  You know so I think and as big as the iPod was and I often when I'm on these podcasts
[18:54.600 --> 18:59.640]  I often start mixing up my iPods and pads but the iPod really the music player as
[18:59.960 --> 19:07.000]  Big as it was and as much as it kind of made Apple the household company outside the Mac community
[19:07.040 --> 19:10.080]  You know that it became a decade ago
[19:11.320 --> 19:11.940]  You know
[19:11.940 --> 19:16.880]  We all used to make jokes when apples first started opening retail stores and you'd be walking through the mall and you'd hear a kid
[19:16.880 --> 19:18.880]  Say mom, I want to go to the iPod store
[19:19.760 --> 19:21.940]  Right. I mean I heard that several times
[19:21.940 --> 19:24.540]  From you know, not from the same kid
[19:26.460 --> 19:31.280]  The iPod was nothing like the iPhone I pop there was no no
[19:32.020 --> 19:36.140]  Market like this for oh my god. Here's the pre-release, you know
[19:37.260 --> 19:39.260]  screen of the new
[19:39.460 --> 19:46.180]  iPod or the here's the here's the new circle rocker. What do we call that? What was that thing called the click wheel?
[19:46.180 --> 19:47.780]  Yeah the click wheel
[19:47.780 --> 19:55.300]  Yeah, you know that people even people who think they follow this stuff don't always understand the scale of the iPhone that like I think
[19:56.340 --> 19:57.500]  Okay, this is gonna be wrong
[19:57.500 --> 20:04.300]  But like I think you're you're run-of-the-mill brand new iPhone model probably sells more than the entire iPod line has ever sold
[20:04.540 --> 20:06.620]  And probably in just a couple of months
[20:06.620 --> 20:10.220]  I mean the scale is is it's not even the same number scale
[20:10.220 --> 20:16.180]  The iPhone is so much more popular a product than even the iPod was in its heyday
[20:16.180 --> 20:22.380]  Yeah, it's just unfathomable and and this pressure is to end, you know, like from that. I think it's largely from
[20:24.220 --> 20:26.100]  It's not from
[20:26.100 --> 20:32.140]  The I think I don't think it's from the rumor sites the people who publish these leaks
[20:32.860 --> 20:33.940]  I
[20:33.940 --> 20:39.940]  Don't think that the money that they get from the page views that come in from the reports
[20:40.060 --> 20:42.940]  comes close to covering the sort of I
[20:42.940 --> 20:49.820]  I know it's like you I don't want to pass judgment but effectively the bribery that's going on and theft in some cases
[20:51.180 --> 20:54.940]  It's the I think it's the casemakers
[20:55.460 --> 21:03.020]  Yeah, because there's so much pressure to get your case to market and Apple isn't going to tell them the measurements of the new phone
[21:03.020 --> 21:05.020]  until it's out and
[21:05.020 --> 21:12.980]  And and yeah, and I get I mean we see there are cases like for the new iPhone that are being I get PR
[21:12.980 --> 21:15.420]  Sometimes from people who say we've got the new iPhone case
[21:15.620 --> 21:20.540]  Weeks before the new iPhone has even been announced because they're confident and and and and in that business
[21:20.540 --> 21:22.900]  I think there's this feeling like if I can make
[21:23.660 --> 21:28.620]  You know five thousand silicon cases based on these dimensions that I think are accurate and I can ship them
[21:28.740 --> 21:31.940]  Into the channel in advance then the day that that phone drops
[21:31.940 --> 21:36.540]  Will be there and if and somebody's gonna be there and it better be us
[21:36.860 --> 21:42.620]  because if we wait to make sure it's right somebody is gonna beat us to the punch and so they're motivated to get it right and
[21:42.820 --> 21:45.100]  I'm sure there are times when they don't get it right
[21:45.100 --> 21:48.860]  but I think they take the gamble because if the if their Intel is right and
[21:49.020 --> 21:53.020]  the the mold that they've made based entirely on parts and
[21:53.780 --> 21:55.780]  hearsay and whatever if it fits
[21:56.100 --> 22:01.100]  Then they can immediately ship it to the channel and sell those and strike while the iron is hot
[22:01.100 --> 22:03.300]  And so they're motivated to do it. Yeah, exactly
[22:04.300 --> 22:05.660]  and
[22:05.660 --> 22:07.660]  You know at the other one I
[22:08.380 --> 22:12.740]  Linked them up last week. I think their name is Feld and Voss
[22:13.460 --> 22:16.620]  The heck is it it's this room. I think they're Russian
[22:18.540 --> 22:20.540]  Felden Volk vol K
[22:21.580 --> 22:26.940]  Go to felled the voc.com fe LD vo lk.com and they don't make cases
[22:26.940 --> 22:31.240]  What they do is they take iPhone 5 s's I guess new ones
[22:31.700 --> 22:38.460]  Anodize the aluminum to new colors. They cut back and put in like actual not like a wood case
[22:38.460 --> 22:42.820]  they actually put like a wood panel in the back or you know like a flower pattern and
[22:42.940 --> 22:49.740]  They take out the volume buttons and replace them with 18 karat gold volume and silence rocker buttons
[22:51.060 --> 22:52.340]  right and
[22:52.340 --> 22:59.660]  Sell them resell them for like nine thousand dollars. Uh, and I heard from people and I'd never heard of them before I mean
[23:00.380 --> 23:01.460]  It just seems crazy
[23:01.460 --> 23:08.940]  But apparently it's a big thing like in Moscow like all the the oligarchs are into these things because they're it's like a culture
[23:09.220 --> 23:14.920]  You know where these crazy billionaire Russians want people to know they have ten thousand dollar iPhones
[23:14.920 --> 23:17.600]  But isn't that better than that crazy?
[23:17.600 --> 23:23.760]  Luxury I can't even remember the name of it, but you know the virtue virtue virtue
[23:23.760 --> 23:28.680]  I mean, this is like a competitor that where it's like it's a real iPhone, but we've actually taken the parts
[23:28.680 --> 23:33.720]  But again, there's that you've got then you really want to know what the shape of the parts are in advance
[23:33.720 --> 23:37.040]  So you can start working on it, right and they had a super high-quality
[23:37.680 --> 23:43.840]  Video like sure they made like a commercial because their clients really want the new iPhone when it comes out, right?
[23:43.840 --> 23:49.120]  Which they've got to have their molds done in advance, even though that's impossible, right?
[23:49.240 --> 23:52.440]  So right this supply chain is a logical place to go
[23:52.440 --> 23:56.080]  I also think perhaps that there are competitors, you know Apple's competitors want to know
[23:56.160 --> 23:56.640]  Yeah
[23:56.640 --> 24:02.520]  They're doing and so they're paying but all this stuff then eventually it just sort of leaks around the edges and you end up with
[24:02.520 --> 24:08.700]  These YouTube videos that are like somebody speaking not in English posted on a YouTube site or even like on a Chinese
[24:08.700 --> 24:16.940]  Social network. I there was an iPhone 6 video on on one of the Chinese social networks that got reposted to YouTube and you know
[24:16.940 --> 24:22.060]  Yeah, it's not Mac rumors paying these people. It's not mark. Mark Gurman isn't paying these people
[24:22.060 --> 24:27.180]  It's a it's it's the it's the people paying like who are much more closely attached to the supply chain
[24:27.180 --> 24:30.620]  And they just they really there's a business advantage to knowing in advance
[24:31.780 --> 24:33.580]  Yeah, definitely
[24:33.580 --> 24:37.380]  And it's crazy. It's it's really kind of nutty
[24:37.380 --> 24:43.620]  Yeah, it does wood iPhones with gold volume rockers. Yeah, let me take a sponsor break and I'll come back
[24:43.620 --> 24:44.980]  But the point I want to come back to you
[24:44.980 --> 24:49.100]  I want to tell you in advance because I often forget by the time I get to the end of a sponsored break though is
[24:50.380 --> 24:55.180]  That most of them don't turn on but then all of a sudden like in the last two days
[24:55.180 --> 24:58.780]  We're starting to see ones. Like you said there's like apparently a fully working
[24:59.740 --> 25:05.620]  4.7 inch one that actually turns on and runs iOS 8 which is crazy, right?
[25:05.620 --> 25:07.300]  I
[25:07.300 --> 25:09.300]  Gonna tell you about our friends at igloo
[25:09.900 --> 25:11.900]  longtime sponsors of the show
[25:12.220 --> 25:15.660]  igloo is the intranet that you'll actually like
[25:16.500 --> 25:22.660]  And they have a super exciting release. That's brand new. It's called unicorn
[25:24.340 --> 25:28.300]  We've talked about their unicorn update on the show before it has a ton of new features
[25:28.420 --> 25:35.040]  But the best is integrated task management that will change how you stay on track with your work
[25:35.040 --> 25:40.640]  It glue tasks can be assigned in different ways depending on the way on the work
[25:40.640 --> 25:45.960]  You're doing one of the coolest ways to use tasks is creating them directly on your content
[25:46.960 --> 25:54.000]  So you're requesting updates on a graphic that somebody on your team is working on or a text correction in a word document
