[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[03:36.060 --> 03:39.660]  Yeah, and also the talking point after all the events is oh there was no surprises
[03:40.180 --> 03:44.580]  Sort of like reading the script to Star Wars and then complaining you didn't get surprises in the movie
[03:44.700 --> 03:50.860]  but that ends up being the buzz after the event and this one the Android events are weird to me just coming from an
[03:50.860 --> 03:57.260]  Apple background because more and more and I think Google maybe for the first time the event starts and then the hands-on
[03:57.300 --> 03:59.300]  Embargo drops because they bring people in
[03:59.300 --> 04:05.100]  before the event even to show them the phone and they shoot video and then they put up their videos and I don't know what
[04:05.100 --> 04:10.100]  To watch like I'm watching the event and I see like a like an MKB HD video come out or a verge video come out
[04:10.100 --> 04:14.520]  And then I don't know where to put my attention anymore. And I think it makes it harder to follow the the events
[04:16.660 --> 04:18.980]  Yeah, I think so too
[04:20.260 --> 04:25.220]  Did you didn't go to the pixel event, right? No, I had my colleagues go but I did order one
[04:25.220 --> 04:31.740]  I ordered the orange one during the event. I ordered the white one and nice in the process of selling my pixel 3
[04:32.580 --> 04:33.860]  Which is in mint condition
[04:33.860 --> 04:40.100]  I have to say I did keep it in a case most of the year mainly because it was always sort of a secondary camera and
[04:40.100 --> 04:41.020]  so
[04:41.020 --> 04:45.220]  but there were you know were you know, and I'm I don't baby my iPhones, but you know
[04:45.220 --> 04:48.020]  the one of the knocks against last year's pixel 3 was that the
[04:48.020 --> 04:54.780]  The matte finish glass was easily scratched that you know as easily scratched as
[04:55.500 --> 04:58.220]  Like your fingernail and people would be like, well, that's not scratch
[04:58.220 --> 05:03.460]  That's just calcium from your fingernail rubbing off and people were like no no, no, it's actually the glass
[05:03.460 --> 05:07.820]  I don't know big one or the small one. No, I always get the small one because I tried to I
[05:08.820 --> 05:11.020]  Tried to as best as I can
[05:11.620 --> 05:12.500]  by the one
[05:12.500 --> 05:15.580]  you know that I would get if I were going to use it and
[05:15.580 --> 05:18.620]  I you know, I still prefer the smaller of the iPhone
[05:20.140 --> 05:24.300]  10 series phones and I still would prefer the
[05:25.140 --> 05:28.380]  smaller pixel 4 now again, I saw the initial
[05:29.340 --> 05:33.900]  Reviews, you know even Dieter's not even I don't mean that that Dieter pointed out
[05:33.900 --> 05:36.600]  I mean in the even in the sense that I've only read one
[05:37.060 --> 05:42.300]  Yeah, even the one review I read which happens to be Dieter's mentions that has it very, you know
[05:42.300 --> 05:47.620]  It gives it gives a different rating to both phones and and one of the reasons that the XL gets a better rating is that?
[05:47.620 --> 05:48.900]  the battery is
[05:48.900 --> 05:52.740]  Average in his terms. Whereas the battery life on the smaller one is poor
[05:53.900 --> 05:59.180]  Site for the first time said that they couldn't recommend the small pixel just based on but I don't remember them ever not recommending a
[05:59.180 --> 06:02.100]  Pixel before I don't know why
[06:03.100 --> 06:05.100]  The battery life is worse though
[06:05.900 --> 06:10.420]  I'm not quite sure given how limited my my review depth is
[06:10.420 --> 06:14.740]  Are people saying it's worse than the pixel 3 smaller one last year and if so
[06:14.740 --> 06:20.680]  I can't understand why it's worse because I pixel 3 was terrible. The pixel 4 is a small battery
[06:20.680 --> 06:24.500]  But also they have a 90 Hertz display, which is sucking down more power
[06:24.500 --> 06:29.840]  Yeah, I'm doing a lot more of the ML on device which is sucking down more power. Yeah, those might be the explanations
[06:29.840 --> 06:35.960]  I thought that the battery life on the pixel 3 was fine and you know using mostly using the camera which should be a battery
[06:35.960 --> 06:38.260]  you know a draw because the displays on and
[06:38.260 --> 06:45.780]  Yeah, it's reading and writing but we'll see what I think about the pixel 4 but I bought the white one because I
[06:47.420 --> 06:53.940]  Bought the black one last year and it was too it's too hard to tell apart from all my black eye
[06:55.180 --> 06:58.740]  and so I I needed to buy a color that would be
[06:59.860 --> 07:05.020]  Easily distinguishable while they're in front of me and because I wind up doing things
[07:05.020 --> 07:08.700]  it's more than just like two phones side-by-side like when the
[07:09.660 --> 07:11.060]  I
[07:11.060 --> 07:17.820]  Mean, I'm just a mess in September and October really. I'm just sort of coming down from it because I'm testing
[07:18.620 --> 07:21.100]  multiple new iPhones now from Apple and
[07:21.780 --> 07:25.700]  And I you know, as I mentioned talking to Ben Thompson
[07:26.220 --> 07:30.420]  on my last episode of this show, I really didn't even spend much time with the
[07:30.420 --> 07:37.860]  The 11 Pro Max just because I I did enough to trust to verify
[07:38.180 --> 07:42.980]  That Apple what Apple was saying that this is the same phone just bigger and once I verified it
[07:42.980 --> 07:48.940]  Then all I did was test the 11 and the 11 Pro because it's just too much, but I've still got it out
[07:48.940 --> 07:53.940]  It's laying around on my desk, you know, so I've got like new three two or three new iPhones
[07:53.940 --> 07:58.660]  I've got my year-old iPhone that I'm using as like a baseline to measure year over year
[07:58.660 --> 08:03.940]  And then I've just got the pixel three out to like measure. Well, how's this night sight compared with their night sight, etc?
[08:04.140 --> 08:06.620]  So you're having them all be black was just terrible
[08:07.060 --> 08:08.180]  So I got the white one
[08:08.180 --> 08:13.740]  I think it has a nice stormtrooper II look which is what I sort of think about like the addition
[08:14.340 --> 08:17.180]  Apple watch the the ceramic edition Apple watch
[08:19.540 --> 08:23.740]  And I it's funny like the orange seems to be
[08:23.740 --> 08:30.060]  In certain photographs, I love orange and black I went to a high school with colors that were orange and black
[08:30.060 --> 08:33.780]  I think orange and black are underrated colors on sports teams. I
[08:34.500 --> 08:37.220]  Do I think they go very well together? Yeah, they do
[08:39.060 --> 08:44.100]  They're the colors I use for vector it's it's a underused combination I really like it
[08:44.100 --> 08:49.380]  I think you know, I've orange is sometimes difficult to get right and but when you do it can look great
[08:49.380 --> 08:54.620]  But I there's sort of a different photograph show the orange in different light, you know
[08:54.620 --> 08:58.420]  Some of them look a lot more coral and some of them don't look coral at all
[08:58.540 --> 09:01.580]  And I don't really care for coral so I didn't go that way. I got white
[09:01.580 --> 09:03.020]  I'm just a sucker for new color
[09:03.020 --> 09:08.300]  So I'll almost always get whatever color is new the thing that surprised me in Dieter's review though is what you know
[09:08.300 --> 09:14.500]  Google made that big pitch about they have the pixel neural core now and they can do live preview and what I didn't realize it
[09:14.500 --> 09:21.900]  Was just for HDR plus and I really wanted it for portrait mode. Yeah, and then Dieter responded on Twitter that Google
[09:21.900 --> 09:26.580]  Doesn't think that preview on portrait mode is any good and a mutual friend Matthew fans
[09:26.580 --> 09:32.180]  We know if TechCrunch had a mini a mini stroke episode Twitter right after that. I see I missed all of this
[09:32.180 --> 09:35.140]  This is all context that I have missed. I
[09:35.660 --> 09:39.300]  do know I did that is an interesting philosophical difference between
[09:39.300 --> 09:46.140]  Google's internal pixel camera team and Apple's and Apple real Apple's internal team is
[09:46.660 --> 09:51.620]  Very very keen about doing everything live and it's religious
[09:51.620 --> 09:56.340]  Yeah, and in fact that makes the exception that is deep fusion
[09:57.440 --> 10:03.960]  Notable, even though it's in my testing. It seems to be well under a second
[10:04.500 --> 10:06.660]  usually but noticeable like
[10:06.660 --> 10:10.460]  Long longer enough that you wouldn't call it instantaneous
[10:10.460 --> 10:14.980]  But generally less than a second and you can sort of see a little update in the you know
[10:14.980 --> 10:20.240]  You snap your picture the deep focus post-processing takes place and then the preview little
[10:21.020 --> 10:23.120]  Avatar icon whatever you want to call it updates
[10:25.860 --> 10:28.140]  So that's not live in the camera
[10:28.140 --> 10:32.180]  But just about everything else is and and Apple even goes to great lengths now
[10:32.180 --> 10:39.940]  They can't it's it's Matt, you know, the definition of the feature means that night night night mode is can't be done
[10:39.940 --> 10:43.820]  Live because it's it's a multiple second exposure from when you begin it
[10:44.020 --> 10:48.660]  So without the ability to travel into the future a few seconds
[10:48.660 --> 10:50.080]  There's no way to do it
[10:50.080 --> 10:58.020]  But yet that the lie what you do see in the viewfinder on the iPhone 11 and 11 Pro for night mode is
[10:58.020 --> 11:05.120]  is a remarkably close to what you end up getting yeah, I don't not quite sure even how they do that whereas that is
[11:05.860 --> 11:09.900]  Absolutely been I don't have a pixel for yet and and I've pre-ordered will be here soon
[11:09.900 --> 11:16.820]  But the pixel 3 as much as they deserve kudos for their night sight last year the live version of it was garbage
[11:17.060 --> 11:18.100]  Yes
[11:18.100 --> 11:19.460]  Yeah, it was really bad
[11:19.460 --> 11:21.820]  I mean you really for portrait mode because I can
[11:22.020 --> 11:24.380]  With it if it's messing around with the glasses or the ears
[11:24.380 --> 11:29.460]  I can just move it a little bit and it fixes it before I waste time taking photos. You could use it for
[11:30.340 --> 11:35.260]  Composition, but it was absolutely useless in terms of finding out
[11:35.320 --> 11:42.260]  What is what is the end result going to look like now that it was it better to have the feature than not have it
[11:42.260 --> 11:44.260]  Sure, you know it
[11:44.300 --> 11:47.420]  But I can also see why and that state Apple wouldn't have shipped it
[11:47.420 --> 11:54.820]  Apple would say that's that's not ready to go because we want it to be a reasonable representation. Uh, anyway
[11:54.820 --> 11:56.820]  I thought that the whole framing of
[11:57.420 --> 12:04.620]  Dieter's review my take on the pixel all along ever since they they rebooted their internal
[12:05.020 --> 12:10.300]  This this is the Google and this is Google's Android phone from the Nexus line to the pixel line
[12:10.300 --> 12:15.900]  And I think it's worth treating as a new line like they changed
[12:15.900 --> 12:19.980]  Philosophically in my opinion not just it wasn't just in
[12:20.580 --> 12:22.500]  Rose by any other name
[12:22.500 --> 12:25.100]  Like they took a lot more in-house
[12:25.740 --> 12:32.420]  It really wasn't it's the pixel phones are a lot more than just pure Android which is what the Nexus phones were
[12:33.180 --> 12:39.400]  They really are Google's version of Android by taking Android and googling it up with extra degrees
[12:40.220 --> 12:42.980]  I've always felt that at a basic level
[12:42.980 --> 12:44.980]  the pixels are
[12:47.380 --> 12:50.580]  Android phones for people who like iPhone hardware
[12:51.740 --> 12:55.060]  That it's not that they're copies, you know
[12:55.060 --> 13:00.100]  But they are the pixel phones have always been a lot more iPhone like putting aside
[13:00.900 --> 13:06.740]  What you see in the software, which is the iOS versus Android, but just treating them as hardware devices
[13:08.500 --> 13:11.620]  Boy they're very iPhone like their iPhone like in dimension
[13:11.620 --> 13:15.060]  their iPhone like in feel sort of
[13:15.940 --> 13:24.180]  Varying the earlier ones were very similar in design. Yeah, you know, they've always put the camera in the upper left corner of the back
[13:25.220 --> 13:31.620]  Which seems like a little thing but an awful especially three four years ago a lot of high-end Android phones still had the camera centered
[13:31.940 --> 13:36.500]  In the back many of them still do they still do, you know, and that those are all you know, uh,
[13:36.500 --> 13:43.380]  You know diff, but it's just you know at a basic level. It just sort of looks like boy if you could just run iPhone on an
[13:44.180 --> 13:46.180]  Android on an iPhone
[13:46.260 --> 13:48.660]  That's sort of the pixel aesthetic
[13:49.140 --> 13:55.380]  so for me, they've always been curious because my understanding is that there was a sort of a shake-up in Google leadership and
[13:56.420 --> 13:59.140]  One of the people in charge really wanted an iPhone
[13:59.140 --> 14:04.660]  They just wanted Google to have an iPhone and they started putting a lot of the elements in place from the back
[14:04.660 --> 14:11.700]  They started putting a lot of the elements in place from internal design groups. They bought HTC. Well, they brought HTC design inside in-house
[14:12.340 --> 14:13.780]  They started working on their own silicon
[14:13.780 --> 14:17.380]  They started doing a lot of things to make an iPhone but at the same time
[14:17.940 --> 14:22.020]  They never made the same kind of choices Apple would like they never or even Huawei or Samsung
[14:22.020 --> 14:27.220]  They never put great camera hardware on there because they figured their camera software was so great
[14:27.460 --> 14:32.340]  They could do with it, you know a less capable camera and they would you know, they had a lot of trouble with screens
[14:32.340 --> 14:37.860]  They didn't make the manufacturing choices that Apple would make but they still sort of wanted an iPhone
[14:38.260 --> 14:41.860]  And then over the last year some of those initiatives didn't really work out the way they hoped
[14:42.100 --> 14:48.020]  So now it just feels like they want a platform to showcase the best of Google algorithms and software
[14:49.540 --> 14:54.420]  Oh and they're definitely keen on the camera angle. I mean, there's no doubt about it and they deserve it but
[14:56.420 --> 14:58.420]  You know you it
[14:58.420 --> 15:03.460]  Sort of feels this year too. And again, I didn't read all the reviews. So I'm not sure what what they're gonna say
[15:03.460 --> 15:07.940]  but it it seems like yet last year was a real high point for
[15:08.580 --> 15:10.580]  their ability to do stuff
[15:12.340 --> 15:13.380]  Computationally
[15:13.380 --> 15:19.620]  You know night sight in particular would be the the shining and super zoom was another good example super zoom was another good example
[15:20.220 --> 15:26.580]  Where they do digital zoom, but by taking multiple exposures and running it through a neural net
[15:26.580 --> 15:27.780]  and
[15:27.780 --> 15:29.940]  It's a great to me. It's a great example of
[15:30.740 --> 15:34.420]  how this AI stuff really does deserve to be treated as a
[15:35.260 --> 15:37.000]  different sort of
[15:37.000 --> 15:39.140]  computing yeah than
[15:42.420 --> 15:48.620]  You know what I mean, it's it's yes, it's like there's all sorts of algorithms that are supposed to make things seem smarter
[15:48.700 --> 15:52.220]  You know, is it AI no not in a classical sense, you know
[15:52.220 --> 15:57.260]  But using a more efficient sorting algorithm when you have to sort something if it makes you know
[15:57.260 --> 16:04.560]  Your spreadsheet faster when you're reordering 10,000 columns of data by having a more efficient sort algorithm
[16:04.560 --> 16:08.580]  You know, that's just classic computer science of being faster stuff like this. Whereas
[16:09.540 --> 16:14.980]  The way that they're doing the super zoom isn't really a human thinking
[16:14.980 --> 16:20.140]  Well, if this pixel is this color and this next pixel in it in a tenth of a second later
[16:20.140 --> 16:28.340]  exposure is within 9% then do this and that it really is just sort of feeding this into a machine learning model and
[16:29.140 --> 16:32.700]  You know by telling it this looks better this looks worse and then you feed these
[16:33.140 --> 16:36.820]  Things in there all of a sudden they come out with a way to very quickly
[16:38.060 --> 16:40.060]  Using the end of the dedicated chips for this
[16:40.740 --> 16:47.900]  Do a digital zoom that is just seemingly way way better than you could expect to get out of a digital zoom
[16:47.900 --> 16:49.900]  Yes, absolutely
[16:50.460 --> 16:57.060]  But it feels like this year. They're on a downside even though they've added, you know extra hardware by adding a
[16:57.780 --> 17:00.760]  2x telephoto lens and going beyond one
[17:02.340 --> 17:05.140]  Camera lens on the back so they've definitely added hardware
[17:05.260 --> 17:08.980]  It just feels like this is a down year for their sort of will
[17:09.340 --> 17:15.580]  Will do most most of the benefit will come from our computational stuff and we don't have to worry so much about the actual hardware
[17:15.580 --> 17:16.560]  like
[17:16.560 --> 17:19.220]  Ideally you want both and I feel like absolutely
[17:20.100 --> 17:22.860]  Because you also mean you can tweak solid Apple is adding
[17:24.460 --> 17:30.860]  Deep fusion and they can tweak battery algorithms and they can tweak but you can't go to everybody's house and put a better
[17:31.080 --> 17:32.300]  Camera system on their phone
[17:32.300 --> 17:35.620]  You can't go to everybody's house and stick a bigger battery and you need a baseline
[17:35.820 --> 17:40.520]  The better the hardware the better the software is gonna work and that's the balance. They seem to be struggling with
[17:40.520 --> 17:47.960]  And you know and Apple is really doing some impressive stuff with video. I mean and that's always been the
[17:48.960 --> 17:54.560]  The weak spot Android wide but pixel in particular, you know that the video stuff just how it you know
[17:54.560 --> 18:00.960]  Whatever you want to wherever you want to argue they rank on still mobile phone photography on video it
[18:01.440 --> 18:03.440]  Everything from Android is way behind
[18:04.160 --> 18:06.080]  iPhone I
[18:06.080 --> 18:08.080]  mean nobody else does
[18:08.080 --> 18:12.600]  The 4k 60 yet or maybe with some I think Samsung done
[18:12.600 --> 18:17.880]  Yeah, maybe something they do the interleaved extended dynamic range. Yeah, I put an asterisk there and it's okay
[18:17.880 --> 18:19.880]  Maybe they do but it's not great
[18:20.160 --> 18:25.080]  Like you pointed I got it from you and gave you credit when I linked to it, but Jonathan Morrison, you know, well-known
[18:25.680 --> 18:27.320]  Yeah
[18:27.320 --> 18:30.200]  Twitter or not Twitter, but YouTube personality
[18:30.200 --> 18:36.760]  Who does great work and usually shoots with you know, really truly professional camera rig? Yeah
[18:37.880 --> 18:45.520]  An Arri Alexa mini which is like I think $85,000. It's just you know, as good as it gets. Yeah, you know, it's super pro
[18:47.080 --> 18:53.120]  Filmmaker style kit had a video with his first thoughts on the pixel 4 and he shot the whole thing
[18:53.120 --> 19:01.120]  Not just with the iPhone 11, but with the iPhone 11 front-facing camera, and it's clearly 60 frames per second
[19:02.080 --> 19:06.680]  It probably clearly 4k, but I looked at it on a 13 inch Mac book
[19:06.680 --> 19:13.000]  So, I don't know if I could I'm not a hundred percent sure that I could peg moving video is 4k versus 1080 on a screen
[19:13.000 --> 19:15.960]  That's ice but you can definitely tell 60 frames per second. Yeah
[19:16.640 --> 19:17.800]  and
[19:17.800 --> 19:19.800]  You know just totally
[19:19.800 --> 19:22.200]  I if I didn't know in advance
[19:22.200 --> 19:24.960]  I don't think I would have guessed and and then at the very end of his video
[19:24.960 --> 19:30.880]  He had some like meta shots showing him shooting at showing that he shot it with the front-facing camera. Like I don't see how
[19:31.560 --> 19:36.560]  He was joking on Twitter when Google announced that he's at there the iPhone selfie camera now shoots better video than the main
[19:37.000 --> 19:41.720]  Camera on the pixel it really does. I mean, it's actually I mean at least by some measure
[19:41.720 --> 19:45.400]  There may be some ways that the that the bigger sensor on the rear-facing camera
[19:45.400 --> 19:52.920]  there might be some scenarios where you get better video on the rear-facing you have really good like their algorithms for color and balance and for
[19:54.120 --> 19:56.920]  Stabilization are amazing like they have again amazing algorithms
[19:56.920 --> 20:02.640]  But today I think they put out a statement saying they didn't do 60 frames per second because they thought they thought it was a waste
[20:02.640 --> 20:04.000]  It was too much storage
[20:04.000 --> 20:08.380]  And that's my biggest problem with pixel in general is that Google doesn't have a strong opinion
[20:08.480 --> 20:13.000]  They in the first pixel they said we don't need a camera bump second year like oh, we need a camera bump
[20:13.000 --> 20:15.200]  We don't need new camera. We don't need two cameras
[20:15.200 --> 20:18.560]  Oh, we need two cameras, but we don't need a wide angle and you just know next year
[20:18.560 --> 20:23.960]  They're gonna add a wide angle and it's the same we have a we have a chin and a forehead because we want to front-facing
[20:23.960 --> 20:25.960]  Speakers that's really important to us and this year
[20:25.960 --> 20:30.340]  they put the speaker right where the iPhones is and it it feels like they sort of go halfway and then
[20:30.480 --> 20:34.180]  rationalize it and then change their mind the next year and I just want them to be super
[20:34.400 --> 20:37.360]  opinionated about what they want a phone to be yeah, I
[20:38.480 --> 20:43.200]  Would have I would have encouraged them to go notchless last year as well
[20:43.200 --> 20:48.680]  Yeah, like I feel like what they've done this year where they instead of having a notch it
[20:49.280 --> 20:54.900]  Just goes across the top and so there's you know in that chin forehead terms. They have have a forehead
[20:55.720 --> 21:01.520]  small by historical forehead sizes, but still a forehead that's effectively the height of
[21:02.120 --> 21:09.400]  You know what a notch would be on an iPhone 10 or any of the other phones that have curiously come out with notches since
[21:09.400 --> 21:11.400]  the iPhone 10
[21:11.400 --> 21:12.760]  It
[21:12.760 --> 21:19.000]  Has a bit of a chin but not it's not anywhere close to the height of the forehead so iPhones have always
[21:19.560 --> 21:24.680]  Been symmetrically designed so that when you hold them sideways the chin if it has a chin and forehead it it
[21:25.200 --> 21:29.560]  Matches and if it doesn't have a chin or forehead, it's the same bezel size all the way around
[21:30.440 --> 21:32.240]  I
[21:32.240 --> 21:38.360]  Think that that's a better design than the weird ugly-ass notch that that the pixels had last year
[21:38.360 --> 21:42.360]  And last year the notch was only on the bigger one the smaller one didn't have a notch
[21:42.360 --> 21:44.440]  So like did they have an opinion on notches, right?
[21:44.440 --> 21:48.160]  Did they do one with a notch just because they wanted to support it in Android and figured they had to do it themselves
[21:48.160 --> 21:50.520]  I don't understand their opinion still
[21:50.520 --> 21:55.760]  Yeah, and they obviously didn't spend a lot of work last year on the corner radius of the rounded off
[21:56.920 --> 22:00.200]  Sort of like a first pass shibbit and this year it's gestures
[22:00.200 --> 22:04.080]  I mean, they're sort of like the iPhone but they don't work the same as the I'm and they just end up confusing
[22:04.080 --> 22:08.180]  It's it's always a little bit of halfway. Yeah, I gotta say I'm not I mean
[22:08.180 --> 22:10.580]  I'll try and I want to prejudge it but the
[22:11.300 --> 22:15.240]  The what they're doing the radar stuff with does not interest me really
[22:15.240 --> 22:20.920]  I don't really I can't imagine I it's so they have a feature now that you can wave your hand without
[22:20.920 --> 22:24.400]  Touching the phone and do a couple things one of them is sense
[22:24.400 --> 22:29.980]  You can fast forward tracks if music is playing by just passing your hand over it
[22:31.120 --> 22:32.840]  you can
[22:32.840 --> 22:41.320]  it the useful one seems to be that it'll sense when your hand gets near and fire up their face recognition sensors
[22:42.080 --> 22:44.360]  So that before you're even pointing it at your face
[22:44.800 --> 22:49.240]  they're already looking because they know your hand has entered, you know, the little sphere of
[22:50.040 --> 22:52.040]  three-dimensional space above the phone and
[22:52.040 --> 22:58.920]  I guess you can tickle your Pokemon or something on your home screen by just waving at it, which really seems weird
[22:58.920 --> 23:04.000]  Is that the whole thing in there was odd to me, too? I think it's a good idea to warm up the camera
[23:04.000 --> 23:05.180]  if it detects you but
[23:05.180 --> 23:11.700]  Apple had the iPhone 11 event and they have a u1 chip in the iPhone 11 and they didn't mention it because there's no compelling
[23:12.120 --> 23:16.480]  User-facing feature yet on their product page at the bottom. It says yeah, it'll help you with airdrop
[23:16.480 --> 23:21.480]  But the the obvious front face the also a the obvious computer consumer facing feature hasn't shipped yet
[23:21.480 --> 23:29.240]  So they stayed mum where with this it feels like they don't it's nothing like the early demos early demo showed people doing very fine-grained
[23:29.880 --> 23:33.800]  Controls of radios video and all these things and none of that is ready
[23:33.800 --> 23:39.800]  So I would have just completely downplayed it just not mentioned it very much at all and everyone left being disappointed
[23:39.800 --> 23:41.920]  Like oh, it wasn't as good as the demo, right?
[23:41.920 --> 23:46.800]  It was the their their white papers on the technology or I don't know if that's their official term
[23:46.800 --> 23:49.280]  but they've you know, they've talked about the technology for years and
[23:49.280 --> 23:55.240]  And they make it sound as though it's as fine-grained as like the touchscreen itself, right?
[23:55.240 --> 23:59.240]  So like in the way showing it. Yeah, so like, you know you can
[23:59.920 --> 24:06.040]  If you're adjusting the volume on your phone by using the slider and your finger and you have this incredible fine-grained control
[24:06.440 --> 24:10.480]  They're showing it that you could just hold your finger above the phone and get the same thing
[24:10.480 --> 24:12.480]  Whereas all they really have here is simple
[24:13.120 --> 24:18.480]  Broad-stroke fast-forward next track which aren't working consistently if you look at the reviewers somewhere
[24:18.480 --> 24:20.560]  I think Marquez was saying it worked 10% at first
[24:20.560 --> 24:26.240]  He's figured out how to make it work 60% of the time and that's not a flagship feature. No, but that's terrible
[24:26.240 --> 24:30.360]  I think anything that's less than 100% is terrible and it gets me to I
[24:30.680 --> 24:34.160]  Mean I have complaints about Apple stuff that works like that. Yeah, you know same
[24:35.720 --> 24:37.720]  Trying to think of of a good one
[24:39.800 --> 24:45.960]  I mean a lot of the stuff with iOS 13 is just still kind of busted. Yeah, I'm trying to think of it
[24:45.960 --> 24:48.600]  I have off the top of my head. I can't think of it, but
[24:49.120 --> 24:55.300]  Maybe some some Apple TV type interactions are pretty good. Like it's it I even though I use Apple TV all the time
[24:55.820 --> 24:58.960]  Me using that little remote to move the selection around the screen
[24:58.960 --> 25:03.120]  I'm still not as precise as I think I should be that's a that's for example one
[25:03.120 --> 25:09.520]  You know one example a big one for me on Apple TV is apparently the longer you press it's whether it'll shoot you back to
[25:09.760 --> 25:13.720]  The episode selector or all the way back to the screen and I could never get that right
[25:13.720 --> 25:16.200]  So I would just always try to go no wrong episode try to go back
[25:16.200 --> 25:21.480]  I'm back on the home screen play the episode again on back on the home screen. It was like a random frustration generator
[25:21.480 --> 25:23.880]  Oh, I could think of a good example. A good example is the
[25:25.000 --> 25:31.760]  Keyboard problems people are having on MacBooks. Yeah, where even if your keyboard isn't completely failed like if it's just that like, you know
[25:33.000 --> 25:36.080]  one time out of 50 you'd hit the e key and get
[25:36.880 --> 25:42.120]  Two E's instead of one E and it's only one out of 50. That's terrible. That's absolutely unacceptable
[25:42.120 --> 25:46.400]  It has to be every time like when you click an OK button in the dialogue. It has to click every time
[25:46.640 --> 25:47.120]  Yeah
[25:47.120 --> 25:52.920]  So like trying to do next track with a gesture and the gesture only works 60% of the time that
[25:53.400 --> 25:57.080]  You'll you'll I mean 60% is so low that you'll stop using the feature
[25:57.080 --> 26:02.600]  There's no way even just like Siri still like if I tell it to call my mom 9 out of 10 times is perfect the 10th
[26:02.600 --> 26:04.600]  time it recommends a
[26:05.480 --> 26:09.480]  Sorry veterinarian, yeah cross town from me. Yeah, you have learned helplessness
[26:09.480 --> 26:14.200]  Yeah, Siri's a perfect example of that too where there's two and there's just stuff and and to me the bar
[26:14.400 --> 26:17.320]  for that is a little bit different than
[26:18.160 --> 26:19.880]  a
