[00:00.000 --> 00:02.000]  How are you?
[02:04.220 --> 02:06.620]  With a keyboard in it and I don't use that
[02:06.620 --> 02:06.940]  well
[02:06.940 --> 02:09.700]  it doesn't even make sense for me to use it with any of my
[02:09.700 --> 02:17.140]  Mac's because when I'm not gonna use a separate keyboard with a MacBook and I've got my beloved extended Apple extended
[02:17.260 --> 02:19.860]  keyboard to on my iMac, which it's I
[02:20.700 --> 02:22.980]  Mean, I guess in theory I could someday find a keyboard
[02:22.980 --> 02:25.180]  I like better than an Apple extended keyboard too
[02:25.180 --> 02:30.100]  But until I do I won't but I just feel like you need to be doing some groundwork now for that day
[02:30.100 --> 02:34.540]  We're where the last Apple extended keyboard falls apart, right?
[02:34.980 --> 02:38.500]  You can just plug in something new and be like, alright, I can just keep on writing
[02:38.500 --> 02:40.500]  Well, I've mentioned before that
[02:40.900 --> 02:42.900]  There's a decent chance
[02:43.100 --> 02:45.980]  That it depends when I replace my iMac
[02:46.740 --> 02:49.340]  I mean because the thing is with the iMac
[02:49.700 --> 02:54.060]  It'll probably be one of the last computers that Apple ships that still has the old style
[02:54.140 --> 02:57.420]  USB a port in the back because there's plenty of room
[02:57.940 --> 02:59.940]  right, but surely
[03:00.540 --> 03:02.540]  Within a handful of years
[03:02.900 --> 03:04.900]  It'll be USB C
[03:04.940 --> 03:06.340]  everywhere
[03:06.340 --> 03:12.700]  Adapt adapt to your adapter and you just keep on going. I I've got I have I have at one point I adapted
[03:13.940 --> 03:15.940]  mini firewire
[03:16.100 --> 03:20.820]  400 the the i-link sony stuff to proper firewire 400 to firewire
[03:21.100 --> 03:25.380]  800 to thunderbolt 2 to thunderbolt 3
[03:25.580 --> 03:29.020]  Wow, that's actually worked it actually worked
[03:29.020 --> 03:31.860]  So, you know, there's no end to the number of adapters
[03:31.860 --> 03:35.180]  You can just stack on top of that extended keyboard to keep it going, you know
[03:35.180 --> 03:40.020]  But you know someday if I want to use my extended keyboard to on a USB C only machine
[03:40.020 --> 03:45.980]  I'll have to go from ADB to my ADB to USB a
[03:47.540 --> 03:51.260]  The I made Griffin I made adapter right of which I have
[03:52.100 --> 03:57.980]  Yeah, I was gonna say that may die before your keyboard does I have two mint condition backups, but my original which I bought in
[03:57.980 --> 04:04.940]  In cheese probably like 1998 or something. I would think yeah, you know and it's well maybe 99
[04:04.940 --> 04:08.940]  But it's you know, it's if anybody has never seen a Griffin. I'm I believe they were all the same
[04:09.820 --> 04:13.620]  Color they were the iMac style Bondi blue
[04:14.540 --> 04:18.460]  Translucent plastic, you know as everything was after 1998
[04:19.780 --> 04:24.080]  But I'm still on my first one. It is a very durable little adapter
[04:24.080 --> 04:28.180]  But eventually I'll have to plug that into a USB to USB C
[04:28.720 --> 04:34.520]  Adapter which you know is nowhere near the chain that you just said you put together for data and this is only for typing
[04:34.520 --> 04:41.120]  But anyway, I have the Mattias that you have I do like it. It is certainly the favorite hardware keyboard
[04:41.120 --> 04:43.120]  I've ever used with an iPad
[04:43.120 --> 04:53.120]  And I wish I knew which stand I have I have a stand that I don't know that I've ever seen anybody recommend but it's from
[04:54.880 --> 04:58.260]  Cheese I could go upstairs and get it but I have to interrupt the show and I don't want to do it
[04:58.260 --> 05:01.320]  But it's you know, I'll just put it in the show notes, but I think it's from
[05:02.400 --> 05:09.200]  Belkin and it just is a little foldy thing and it doesn't raise the iPad at all because I don't really I'm fine with
[05:09.200 --> 05:14.320]  because I only pretty much use it on like a kitchen counter and it's already sort of like I'm sitting on like a
[05:14.960 --> 05:21.100]  You know a not quite barstool height, but you know more than a floor seat, you know, like a kitchen counter seat
[05:22.000 --> 05:27.820]  So I don't mind that the iPad isn't raised off the thing and it folds and it has several it's not like you can
[05:28.560 --> 05:32.400]  Bend it to any angle. It has like a bunch of incremental steps
[05:32.720 --> 05:37.820]  But there's enough of them that it's always there's always a good one and it's an excellent excellent little stand
[05:37.820 --> 05:39.980]  because when you fold it all the way up it
[05:40.820 --> 05:42.820]  it's very small and
[05:43.760 --> 05:50.260]  When it's open, it's very sturdy because it clicks and so it's in addition to being a good stand for popping up an iPad for
[05:50.260 --> 05:54.660]  Typing it is an outstanding. It is the best stand I've ever used in
[05:55.220 --> 06:00.660]  What close to 10 years 10 years for iPad for watch using it as like a little TV. I guess that's cool. I
[06:01.640 --> 06:04.540]  Swear to god, I'll put it in the show notes, but it's a nice little stand
[06:04.540 --> 06:11.020]  I like the Matthias, but I don't love it. It's mushy. It bothers me. It's always bothered me
[06:11.020 --> 06:17.500]  How many little glyphs Matthias puts on the key caps like they did I guess some people would like it
[06:17.500 --> 06:22.020]  But like they'll put little things up in the right corner to show you that option
[06:22.780 --> 06:23.820]  left
[06:23.820 --> 06:25.300]  gives you
[06:25.300 --> 06:31.000]  Exactly a curly quote and that option shift bracket gives you a double curly quote and vice versa
[06:31.000 --> 06:37.280]  Yeah, it's overkill. I get that some people really get off on the idea that like literally every character
[06:37.280 --> 06:42.440]  You can make with that keyboard is labeled on the keys, but that seems like overkill to me, too
[06:42.440 --> 06:44.720]  No, I I am right there with you
[06:44.720 --> 06:48.080]  I have yet to find a perfect solution to any of this
[06:48.080 --> 06:53.200]  But I'm always on the lookout because I do like I do like not
[06:53.680 --> 06:58.520]  always being at my desk and being able to go to the bar in my kitchen and take an iPad and just
[06:58.720 --> 07:00.720]  Sit there and write a little bit
[07:00.720 --> 07:04.760]  It's a great change of pace. And so I like that and having a good keyboard for that
[07:05.000 --> 07:09.560]  I've gone through all sorts of different kinds and I've the Matthias is the one that's stuck so far
[07:09.560 --> 07:14.340]  But it's definitely not perfect and I would love to get something else. I could attach some of my
[07:14.920 --> 07:17.480]  Good mechanical keyboards of which I have too many
[07:18.000 --> 07:22.640]  With USB, but the problem there is that like the command and option are flipped because a lot of them are
[07:23.120 --> 07:28.960]  Windows keyboards and some of them have like dip switches that let you flip them the other way and some of them aren't and it's
[07:28.960 --> 07:30.960]  Yeah, it's too much. So
[07:31.600 --> 07:34.640]  Maybe there'll be a new iPad Pro that'll solve all of these things by
[07:35.440 --> 07:37.280]  Something I don't know what on the Mac
[07:37.280 --> 07:42.520]  It's not a problem using those keyboards, right because you can use the system preference thing to change exactly
[07:42.520 --> 07:45.920]  And iOS doesn't doesn't do that. At least not yet, you know and
[07:46.800 --> 07:53.260]  My second last episode Marco Arment was on and we were talking about keyboards and Marco has this tip
[07:55.200 --> 07:56.800]  For
[07:56.800 --> 08:02.120]  Using that you go to the keyboard system preferences thing. It's not you know, third-party stuff at all
[08:02.120 --> 08:06.000]  It's all supported by the system and you can switch a bunch of modifiers
[08:06.000 --> 08:07.960]  It's helpful if you have a third-party keyboard
[08:07.960 --> 08:14.800]  But with even with the standard keyboard you can switch caps lock to you to be escape or control some people love
[08:15.000 --> 08:20.960]  there's like a bunch of Unix people who there's all sorts of Unix commands that use the control and on on an
[08:21.160 --> 08:24.540]  Apple keyboard controls this little fiddly thing to to the left of
[08:24.540 --> 08:29.900]  Of Z if caps lock is, you know, one of the easiest keys on the whole keyboard to hit so, you know
[08:29.900 --> 08:36.560]  Either way, but using caps lock for escape is pretty interesting as you know, and we'll get into this later
[08:36.560 --> 08:40.780]  I guess talking about MacBook Pros, but with you know without the escape key on MacBook Pros
[08:41.380 --> 08:43.700]  Yeah, exactly right. No, that's a that's a smart thing
[08:43.700 --> 08:47.020]  I'm so happy that Apple did that there was for the longest time you always had to download weird
[08:47.020 --> 08:54.800]  Software in order to do some like slight keyboard modifications. Yeah, and now you just don't I mean there are so many different things
[08:54.800 --> 08:59.360]  That that are just built into the keyboard a little keyboard system preference. It's great
[08:59.680 --> 09:03.080]  There was in years past there was some truly sketchy
[09:05.400 --> 09:06.680]  Level
[09:06.680 --> 09:12.420]  unsupported and they in addition even when you found one that was like rock-solid and it never did never didn't seem to cause any
[09:12.420 --> 09:16.820]  Problems you'd upgrade to the new version of Mac OS X and it would just do nothing
[09:16.820 --> 09:19.700]  It would just be like ah, and it's like you go to the right
[09:19.700 --> 09:23.860]  What's where's the web page and you go to the web page and it hasn't been updated in six years and it's like ah
[09:24.420 --> 09:26.860]  Well, and there's the overkill factor too that I always felt
[09:26.860 --> 09:32.420]  It's like I literally need to flip two keys on my keyboard and I've got this whole piece of software that usually did like
[09:33.180 --> 09:34.940]  9,000 other things and it's like no no
[09:34.940 --> 09:38.580]  No, I just I do this with keyboard maestro now for some things where it's like yeah
[09:38.580 --> 09:43.860]  At least I use keyboard maestro occasionally for actual automation of stuff and it's really great for that
[09:43.860 --> 09:46.100]  It doesn't apps don't have to be scriptable
[09:46.100 --> 09:51.020]  It's amazing the stuff that you can get it to do but I always feel a little bit bad saying I really just want to
[09:51.020 --> 09:57.700]  Map key a to be key B and vice versa. It's like what a waste but you got to do it, right?
[09:57.700 --> 09:59.700]  You got to get the keys to be what I want them to be
[10:00.220 --> 10:04.700]  I've been talking more about keyboard maestro lately and I've been using it more lately. I
[10:04.700 --> 10:08.740]  I just did a thing. Here's an example. I really I meaning to
[10:09.420 --> 10:12.980]  Once like the news stuff psychs comes down this fall
[10:12.980 --> 10:15.740]  Like I'm queuing up a bunch of ideas for keyboard maestro stuff
[10:15.740 --> 10:23.020]  but the the idea and and it goes with my sort of recurring theme of here's why I love the Mac and
[10:23.540 --> 10:30.920]  Can't really imagine switching to iOS full-time. Not that there's anything wrong with iOS, but you could never do this on iOS file
[10:30.920 --> 10:32.920]  You know, that's the tag category
[10:32.920 --> 10:34.920]  Yeah for these articles
[10:36.160 --> 10:43.440]  For for reasons that aren't worth going into I use an app called Mars edit to edit during fireball
[10:43.440 --> 10:49.440]  It's a great blog editor from red sweater software friend of the show Daniel jalkin. I've been using it for years
[10:50.280 --> 10:52.280]  Don't know quite what I would do without it
[10:52.880 --> 10:54.880]  really don't
[10:55.360 --> 10:57.360]  And
[10:57.360 --> 11:04.040]  The way I have movable type setup it writes every file every time I write a posted during fireball
[11:04.280 --> 11:11.680]  movable type generates two static files one of them with a dot text extension the plain text version of the file one with a
[11:11.680 --> 11:14.560]  dot PHP, so if I write an article called
[11:17.920 --> 11:19.920]  The talk show
[11:19.920 --> 11:26.920]  Episode 229 there'll be a file in the file system with the date and I'll say the talk show 229 dot t
[11:27.040 --> 11:30.820]  Ext and one with the same little slug dot PHP
[11:31.000 --> 11:36.880]  But then I have everything set so that the public URL that everybody sees doesn't have any file extension at all
[11:37.480 --> 11:43.040]  Right, and I have a patchy setup my web server on the server setup with the thing called multi views
[11:43.080 --> 11:46.560]  So there is no actual file in the file system that matches
[11:46.560 --> 11:53.600]  The URL and what multi views does is just make the best guess possible and it defaults to the PHP version
[11:54.120 --> 11:59.000]  Which is what you want, which is what I want and you see a little web page and so you get the right version
[11:59.160 --> 12:03.240]  there's no file extensions visible to the user and
[12:03.960 --> 12:09.560]  Even if you go to the dot PHP version I have also have a patchy set to redirect you to the one without the PHP
[12:09.680 --> 12:10.440]  version
[12:10.440 --> 12:17.360]  Right, and then you can go to the dot text version and see my raw markdown source for any article just by adding dot
[12:18.000 --> 12:22.480]  Txt to any article on during fireball nice little like an easter egg
[12:24.040 --> 12:27.640]  Now for reasons that aren't worth explaining in in Mars edit
[12:27.680 --> 12:33.160]  there's a it's sort of like a mail app and I can go to any article and I can control click on it and I can
[12:33.160 --> 12:35.160]  copy the published URL and
[12:35.160 --> 12:42.600]  And in most blogging systems, or if I had movable types set up so that my public URLs had those dot PHP extensions
[12:42.600 --> 12:47.320]  This would all be fine. But what Mars edit copies has dot PHP at the end and
[12:48.120 --> 12:50.520]  So, you know a couple times a week
[12:50.520 --> 12:55.380]  I want to copy I want to get the URL for a recent article for daring fireball and the easiest way for me to do
[12:55.380 --> 13:00.340]  It at least in my mind is to go to Mars edit not go to daring fireball and page down looking for it
[13:00.340 --> 13:04.380]  Because it might be you know, three four or five days ago, but in Mars edit
[13:04.380 --> 13:08.080]  It's just one, you know, I can go three four or five days down just by looking with my eyeballs
[13:08.400 --> 13:15.060]  so I control click I copy and I either paste it into another article or I paste it into a tweet or whatever and then
[13:15.060 --> 13:20.300]  You know for 15 years, I've been pasting and then delete delete delete delete
[13:21.760 --> 13:22.880]  Sure
[13:22.880 --> 13:29.040]  And after 15 years of being annoyed by that every single time because I want to delete that dot PHP
[13:29.040 --> 13:36.200]  Extension, even though I know that I have it set up so that if you go to that URL, it'll automatically redirect you
[13:36.200 --> 13:42.080]  I just it bothers me on aesthetic grounds. It's the anal retentive side of John Gruber
[13:42.900 --> 13:45.840]  After 15 years of being annoyed by this. I finally thought you know what?
[13:45.840 --> 13:48.640]  There's got to be a way I could fix this in keyboard maestro
[13:48.640 --> 13:53.440]  And of course it took me like I don't know two minutes to solve it
[13:53.440 --> 13:56.960]  I just have a global shortcut that looks for command V
[13:56.960 --> 13:58.960]  in every app and
[14:00.760 --> 14:07.840]  Before it actually pastes keyboard maestro looks at the clipboard sees if it sees if it matches the the regular expression
[14:08.480 --> 14:10.160]  starting with
[14:10.160 --> 14:12.240]  HTTP as staring fireball
[14:12.800 --> 14:14.800]  ending with dot PHP and
[14:15.040 --> 14:21.320]  If it matches strip the PHP from the clipboard and then no matter what whether it matched or didn't match
[14:21.320 --> 14:27.800]  Actually paste whatever was on the clipboard and I've there's the old fuddy-duddy in me who thought well, wait a minute
[14:27.800 --> 14:29.040]  You don't want to slow down
[14:29.040 --> 14:32.040]  Pasting system-wide just so that once or twice a week
[14:32.040 --> 14:36.960]  You don't have to manually delete it. And of course, it's instantaneous on a modern computer takes, you know
[14:36.960 --> 14:42.480]  It obviously is technically slower, but it's slower by like a thousandth of a second imperceptible
[14:44.160 --> 14:46.160]  And I'm so happy so proud of myself
[14:46.840 --> 14:47.560]  That's great
[14:47.560 --> 14:52.560]  I was thinking is there a utility out there that just watches your clipboard and acts on it in different ways
[14:52.560 --> 14:54.160]  But you're right. You could just do it at paste
[14:54.160 --> 14:55.520]  Well, that was my first chain
[14:55.520 --> 14:59.800]  You could chain a whole bunch of different things like oh if the active app is this then do this other thing right based on
[14:59.800 --> 15:01.480]  The contents or whatever. Yeah, right
[15:01.480 --> 15:06.320]  There's also I'm sure of other people have way more complicated things out there that modify their clipboard
[15:06.320 --> 15:13.440]  but anyway keyboard maestro is one of the most essential utilities to my life that I can ever imagine and
[15:13.440 --> 15:17.640]  And you know, I have other ones that are more important. This is like a minor annoyance
[15:17.640 --> 15:23.280]  But to me eliminating those minor annoyances is a big deal. What's the brand the other brand of mechanical keyboard?
[15:23.280 --> 15:26.120]  I do you have a couple I a couple of years ago
[15:26.120 --> 15:31.800]  I was talking about one and I almost bought one of their keyboards and it was the big problem was they had too many
[15:32.040 --> 15:37.800]  Too many options it paralyzed me, but even on this show I talked about it. They have like a little
[15:37.800 --> 15:45.880]  So the WASD keyboards, yeah, that's it. Yeah, and they've got their own keyboards and they've got the code keyboards as well
[15:45.880 --> 15:51.680]  and then they've got the different sizes and then you can choose which kinds of labels you've got and what colors your keys are and
[15:51.680 --> 15:57.380]  What the key switches are because they use cherry key switches and and yeah, I I have one of those
[15:57.720 --> 16:02.240]  And it's it's really nice. Although I don't usually use it because they it's too big
[16:02.240 --> 16:08.280]  I really have gotten into these super compact keyboards there is I want my trackpad as close to my keyboard as possible
[16:08.280 --> 16:13.620]  And that means like the smaller so the opposite of the extended keyboard. I wanted to like the least width possible
[16:14.400 --> 16:16.720]  But but WASD has some really nice keyboards
[16:16.720 --> 16:19.440]  But there are a lot of them and it's a tyranny of choice because it's like oh
[16:19.440 --> 16:23.960]  I want the blue switches the brown switches the red switches and do I want the the ANSI layout or do I want the do?
[16:23.960 --> 16:27.160]  I want the ten keyless or do I want to have the number pad and well, you know
[16:27.160 --> 16:31.280]  Do I want the black keys or the or the white keys and it just goes on and on?
[16:31.280 --> 16:36.560]  Here's how bad my memory is getting Jason and possibly yours as well
[16:36.560 --> 16:42.940]  I just did a search on daring fireball for WASD keyboards. Uh-huh instantly came up. It was
[16:43.580 --> 16:47.660]  The talk show episode 198 with special guest Jason Snell
[16:50.000 --> 16:54.960]  I just want to point out to listeners of the talk show that I could have mentioned baseball and I didn't oh god
[16:54.960 --> 16:59.640]  I just mentioned bit. Let's not talk about that. That's the kid. That's a show killer. Yeah, I don't think so
[16:59.640 --> 17:04.440]  I think we got to stay away from that. Yeah, it's too too. We did a nice bit about keyboard maestro there
[17:04.440 --> 17:07.640]  I was gonna even throw in the thing that blew me away about keyboard maestro
[17:07.640 --> 17:14.640]  Is that it literally because it'll drive the UI you can put you can like take a screenshot of like a part of the interface
[17:14.640 --> 17:16.640]  and say
[17:16.760 --> 17:21.700]  Find this and then click and you can say like and then click 20 pixels to the right
[17:22.600 --> 17:25.920]  And like with that you could literally it will drive anything
[17:25.920 --> 17:31.340]  It'll do keyboard commands. It'll click on things and you can you can get it to automate
[17:31.920 --> 17:39.120]  Anything you can ever imagine in Mac OS which is amazing and I have used that because I have some apps that are completely unscriptable
[17:39.120 --> 17:44.440]  I had no idea had that look at the screenshot and click on this. It's amazing like
[17:45.000 --> 17:49.360]  It's radio buttons that have some text on them in an app that I don't use anymore
[17:49.360 --> 17:55.080]  But I use for a very long time which was nice cast from rogue amoeba and it wasn't scriptable and had a drawer
[17:55.080 --> 17:58.480]  That's how old the UI was at a drawer with a radio button in it
[17:58.480 --> 18:00.800]  and I took a little screenshot of the radio button and
[18:01.060 --> 18:07.400]  the text next to it and said find this and then click the radio button and it totally worked but
[18:07.880 --> 18:11.680]  Yeah, I mean, it's sort of sad that it came to that but it did it. It's amazing
[18:11.680 --> 18:13.320]  This is really rather uncanny though
[18:13.320 --> 18:18.520]  This episode with you was literally to 25th of August last year and as we record
[18:18.520 --> 18:22.400]  It's the 23rd and this show will probably come out. It was a Friday though
[18:22.400 --> 18:25.540]  So I it was Friday the 25th of August when it was published
[18:25.540 --> 18:31.180]  This show will almost certainly be published on Friday the 24th of August and I'm gonna have the new minnows Oreos episode
[18:31.220 --> 18:37.500]  Yeah, my favorite side result of that episode a year ago was I linked not just to WASD keyboards
[18:37.500 --> 18:42.880]  But was he has a thing called the keyboard tester and it's just it's not an electronic device. It's just a little
[18:43.740 --> 18:49.640]  Little thing strips six key little strip six keys wide with one of the each of the six
[18:49.640 --> 18:56.360]  Cherry key switches they offer and it's in addition a nice way to sort of get a basic idea of
[18:56.520 --> 19:01.600]  What the different key switches are although some of them are so subtly different it is. Yeah
[19:03.200 --> 19:07.320]  But it also makes for one of my favorite desk toys of all time
[19:07.760 --> 19:12.400]  It is one of the greatest desk toys of all time. I've I've had it on my desk ever since and
[19:12.400 --> 19:18.320]  The funny side effect of that is I got an email from like the CEO of WASD keyboards
[19:18.320 --> 19:22.080]  Like like a week or two later and he was like I had no idea what was going on
[19:22.080 --> 19:24.080]  We sold out of the keyboard testers
[19:24.680 --> 19:29.880]  We sell like we sell like three a week and all of a sudden we sold out of all of them in a day
[19:29.880 --> 19:35.040]  And I I thought we were hacked and then I've somebody figured out that it was your podcast
[19:35.040 --> 19:39.000]  You know and he was very nice and he was like, you know, that's fantastic
[19:39.000 --> 19:42.920]  You know, so thank you so much for linking to it. Would you like me to send you a keyboard?
[19:42.920 --> 19:47.600]  What would you like like so he offered me a free keyboard and I wrote back and thanked him for that
[19:47.600 --> 19:53.040]  I said, let me think about it, but I never wrote back because I couldn't decide. Yeah
[19:53.760 --> 19:55.680]  Yeah, there are a lot a lot of decisions
[19:55.680 --> 20:01.400]  they ordering the keys and the the fact that they can do custom like any kind of key labeling you want on it too so
[20:01.400 --> 20:03.640]  they can like make one that looks like the
[20:03.640 --> 20:09.240]  Your extended keyboard or they've got ones that are super modern. They've you know that that goes into it, too
[20:09.240 --> 20:11.240]  But yeah, they're very nice people
[20:11.440 --> 20:16.560]  And that you can order custom keys from them and stuff and the tester is great. I've it that also has solved my problem
[20:16.560 --> 20:19.380]  I did figure out which key switches I preferred and that was great
[20:26.080 --> 20:30.420]  So I'm looking at you're gonna love this because I know that it's something that you wanted to follow up about
[20:30.420 --> 20:34.660]  From the Marco episode. I'm looking at my pictures from the antenna gate press conference
[20:36.780 --> 20:40.180]  And you have never seen three more unhappy people
[20:40.980 --> 20:46.420]  Then Steve Jobs Tim Cook and Bob Mansfield in these pictures. They are just miserable
[20:47.540 --> 20:50.300]  Nobody wants to be there. It's amazing
[20:50.820 --> 20:55.380]  Well, the follow-up aspect of it is that on the show with Marco we were talking about that. I forget how it came up
[20:55.380 --> 21:02.460]  But the fact that I it was the fact that I asked the question of whether you know that there was it seemed to me
[21:02.460 --> 21:07.660]  like the way that questions were going in the Q&A period that people were starting to take the tack of
[21:08.180 --> 21:10.180]  Apple is saying the solution to this
[21:11.820 --> 21:17.700]  That's just Jason's photo just popped into my note and they definitely do not look happy
[21:18.900 --> 21:23.760]  The I could see the narrative forming in the questions that people were starting to say
[21:23.760 --> 21:29.700]  Okay, Apple says the answer to antenna gate is that they're gonna give everybody a free bumper and everybody should use it to avoid
[21:29.700 --> 21:34.580]  The problem and I asked the question whether of any of the people on stage, you know, you guys having problems
[21:34.580 --> 21:36.500]  Do you need a bumper or you know?
[21:36.500 --> 21:38.060]  I forget exactly how I phrased it and
[21:38.060 --> 21:43.540]  instead of saying anything all three of them just took their iPhone fours out of their pocket and held them up and showed that they
[21:43.540 --> 21:47.300]  Were bumper free and it it it lightened the mood in the room
[21:47.300 --> 21:54.780]  But anyway the miss I misremembered I thought it might have been I knew Mansfield was there. I thought it might have been Jobs
[21:55.540 --> 21:57.240]  Mansfield and Phil Schiller on stage
[21:57.240 --> 22:04.300]  But it was not it was from left to right Tim Cook Steve Jobs and Big Bob Mansfield from left to right who were on stage
[22:04.540 --> 22:10.960]  For the Q&A after that, so that's a correction from two episodes ago. Good good. Good memories. Good night
[22:10.960 --> 22:13.420]  I was happy to look up my pictures of that
[22:13.420 --> 22:19.660]  Yeah, cuz yeah, nobody Steve Jobs. I think came back from a Hawaii Hawaiian family vacation. Yes that press conference
[22:19.660 --> 22:26.300]  He did not want to be there. No, he did not but it was it was a master stroke in a PR management
[22:26.300 --> 22:28.300]  it was it was very
[22:28.700 --> 22:31.860]  as arrogant as Apple can be I think they I think they
[22:32.700 --> 22:39.180]  Accurately assessed that the narrative that the iPhone 4 had a crippling antenna problem was spinning out of control
[22:39.180 --> 22:41.180]  And they needed to nip it in the bud
[22:41.180 --> 22:43.180]  Yep
[22:43.460 --> 22:48.340]  The other correction from the same episode is we were talking about that trick of what do you do?
[22:48.340 --> 22:50.340]  If you really miss the hardware escape key
[22:50.860 --> 22:57.240]  And I said something to the effect of maybe what I wish you could do and that the keyboard sort the keyboard
[22:58.260 --> 23:03.900]  System preference panel doesn't let you do is map that tilde key to escape
[23:05.060 --> 23:10.160]  You know the little backtick tilde key, which I forget what I said about it that I don't use Tilda much
[23:10.160 --> 23:12.160]  but I know I use backticks for
[23:13.220 --> 23:18.700]  Code blocks in markdown, which is in turn a problem for that. I never foresaw it
[23:19.300 --> 23:26.500]  When I created markdown because like certain keyboards around the world don't have a easily access backtick character
[23:28.060 --> 23:32.620]  But anyway, I think it was actually Daniel jock it I mentioned twice already in this episode who?
[23:33.180 --> 23:36.540]  Texted me after listening and said I'll bet you use Tilda all the time
[23:36.540 --> 23:41.100]  You use command tilde to cycle through windows and I in fact do and I'd forgotten about that
[23:41.780 --> 23:45.980]  But anyway, I thought that would be a good tip just to mention out there for people because it might be one of those little
[23:45.980 --> 23:53.140]  Things that people don't know but on the Mac you can in a window in an app with multiple windows open you can use the
[23:53.940 --> 23:55.940]  Tilde key command tilde and
[23:56.780 --> 23:58.780]  cycle through the open windows
[23:58.860 --> 24:03.660]  Yeah, I use that all the time in fact speaking of mechanical keyboards. I had a really weird mechanical keyboard
[24:03.660 --> 24:06.560]  I used for a while that did not have the backtick
[24:06.860 --> 24:12.940]  Key or at least didn't have it in the right place and I had to do some keyboard maestro again using a giant tool
[24:12.940 --> 24:14.700]  For a really stupid job
[24:14.700 --> 24:20.300]  To remap it to I think maybe command escape because I think the escape key was in that same
[24:20.940 --> 24:22.100]  and
[24:22.100 --> 24:26.840]  That was dumb, but it I really needed it because I suddenly couldn't cycle through windows
[24:26.840 --> 24:36.260]  Or type or type of code block and markdown which I do from time to time and and then it was just like somebody cut
[24:36.260 --> 24:38.260]  off one of my fingers
[24:38.640 --> 24:43.040]  All right. Let me take a break here before we really get going on. Thank our first sponsor. It's our good friends at
[24:43.880 --> 24:45.880]  Squarespace
[24:46.040 --> 24:48.040]  Look next time you need to make a website
[24:48.480 --> 24:54.240]  Start at Squarespace. It is the easiest way and they've got it. I mean, what's the phrase soup to nuts?
[24:54.240 --> 25:01.460]  You can do everything from registering your domain name to picking a template to editing the template to
[25:01.840 --> 25:06.540]  Dragging and dropping little components out like, you know and rearranging them on screen
[25:07.440 --> 25:09.440]  and
[25:10.280 --> 25:14.120]  Make your own brand like if you have you know, you know
[25:14.760 --> 25:19.560]  Let's say you're you're creating a restaurant website and your restaurant has you know
[25:19.560 --> 25:25.840]  Logo and stuff like that. You can all that stuff you can put in there just because you start with a template doesn't mean you're
[25:25.840 --> 25:27.200]  stuck with
[25:27.200 --> 25:29.200]  Something that isn't easily and fully
[25:29.800 --> 25:33.600]  Branded to your company or your brand or whatever it is
[25:33.600 --> 25:37.560]  or if it's a personal site and you're making a little portfolio to show your work or
[25:38.040 --> 25:43.280]  you're making a store where you're gonna sell stuff Squarespace handles all the really hard stuff like that the
[25:43.280 --> 25:50.400]  a security and the credit card transactions and all that stuff it really is an amazing service and
[25:51.240 --> 25:53.240]  They do have
[25:53.440 --> 25:54.320]  award-winning
[25:54.320 --> 25:56.320]  24 hour a day technical support
[25:56.880 --> 25:58.880]  It's it's truly phenomenal
