[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[11:25.680 --> 11:30.720]  The MCX partners and really gotten the MCX partners to really want to do a good job
[11:30.720 --> 11:35.520]  And so now Apple pays in trouble because MCX is is still coming
[11:36.320 --> 11:39.800]  It's reminds me that article. I think it was two weeks ago where someone said Apple pay
[11:40.280 --> 11:47.360]  probably another one of the Forbes contributor networks that Apple pay was a huge disappointment because it was only responsible for a very small amount of
[11:47.360 --> 11:52.640]  Transactions worldwide never mind America didn't have a much of equipment for it and it was only available in America
[11:52.640 --> 11:58.280]  Which which is far behind in terms of NFC. It's amazing what perspective they can bring to it when they try hard enough to put
[11:58.280 --> 11:59.760]  It in a bad light
[11:59.760 --> 12:05.800]  Right that there's no other digital, you know pay with your phone transaction retail thing
[12:05.800 --> 12:12.520]  That's even close to as popular as Apple pay but somehow it's a failure because it's still only 1% of the market, you know
[12:12.520 --> 12:19.560]  Two months in yeah in one country or not even two months, right? It didn't even launch until November. Yeah, I think right
[12:20.080 --> 12:26.240]  October I think it came with iOS 8.1. All right. Well still that's a you know, right about two months. Yep, two months
[12:28.720 --> 12:32.600]  And it's crazy to me too that
[12:35.520 --> 12:37.520]  With the MCX that
[12:37.560 --> 12:40.600]  They don't mention the people who you know who want to promote it
[12:40.600 --> 12:45.320]  Which I think I think it's not because they actually believe it. I think it's even though they're analysts rather than press
[12:45.320 --> 12:47.160]  I think it's this this
[12:47.160 --> 12:52.920]  Idea that you want to present everything as a neck-and-neck battle, right?
[12:54.200 --> 13:01.200]  You know and so Apple pay is threatened by MCX because it's gonna be backed by Walmart and whoever else and they have you know
[13:01.200 --> 13:03.400]  huge huge footprint in retail
[13:04.680 --> 13:06.680]  But they just skip over
[13:06.680 --> 13:10.520]  the most obvious aspects of what has made Apple pay
[13:11.640 --> 13:12.800]  successful
[13:12.800 --> 13:14.560]  which is
[13:14.560 --> 13:18.640]  exactly what Tim Cook said on stage when he introduced it, which is
[13:19.800 --> 13:25.340]  You know, it's one of like my biggest recurring mantras about Apple is don't underestimate how often
[13:26.040 --> 13:28.880]  They're not giving you any spin any bullshit
[13:28.880 --> 13:34.760]  They're just telling you flat-out in plain language exactly why they did what they did and without will be
[13:34.760 --> 13:35.860]  a
[13:35.860 --> 13:40.740]  Tim Cook's explanation was we think everybody else who's tried this to date has failed because they haven't
[13:41.000 --> 13:45.420]  Concentrated on the user experience and made that their priority. That's what we've done
[13:45.620 --> 13:48.780]  we've made it as easy as possible to use as
[13:49.760 --> 13:55.620]  Quick to use and as privacy protecting as we can all in the name of the user
[13:57.860 --> 14:03.260]  You know and if that's all they did well then who you know what retailer would hook up the equipment
[14:03.260 --> 14:08.260]  But the other things they did secondary to the user focus is use the established
[14:09.300 --> 14:11.300]  infrastructure for NFC payments and
[14:12.100 --> 14:17.380]  Make the banks happy by taking a very minimal cut and by promising
[14:18.140 --> 14:20.140]  significantly increased security
[14:21.720 --> 14:26.380]  Which gets the banks on board because the banks can do the math and I really do think it works out
[14:26.380 --> 14:28.380]  Which is that Apple's little?
[14:28.380 --> 14:34.900]  zero point one five percent cut of the transactions is less than the cost of fraud per
[14:35.580 --> 14:37.580]  transaction that the banks have been used to I
[14:37.860 --> 14:39.180]  Think that's absolutely true
[14:39.180 --> 14:43.860]  Especially when you look at and the the privacy and the security to when you look at all the data breaches at the targets or the
[14:43.860 --> 14:47.860]  Home depots, but I think you nailed it when you said it it's aligned with my interests
[14:47.860 --> 14:50.020]  I've gone to Apple pay terminals, you know
[14:50.020 --> 14:54.580]  Even the demo one set up at Apple when we're at the event and they read my Canadian NFC credit card
[14:54.580 --> 14:59.640]  It that technology is not going to just benefit Apple's gonna benefit everybody who uses any sort of NFC
[15:00.220 --> 15:06.760]  Transaction and you compare that to current car currency or whatever it's called and that you have to give the retailer your bank account
[15:06.760 --> 15:07.860]  You have to have a QR code
[15:07.860 --> 15:13.380]  You have to scan the QR code and though it is such a horrible experience and it's not done to the benefit of the consumer
[15:13.380 --> 15:17.140]  It's done to try to increase the amount of to save money on transactions
[15:17.140 --> 15:18.380]  They pay the credit card companies
[15:18.380 --> 15:19.140]  Never mind
[15:19.140 --> 15:22.220]  How long it's gonna how much money is gonna cost them in terms of cashiers fees?
[15:22.220 --> 15:25.900]  For the incredibly complicated error prone system that they're establishing, right?
[15:25.900 --> 15:30.600]  You can't prove yet that Tim Cook's explanation for you know
[15:30.600 --> 15:37.720]  Why they thought Apple pay would be successful and why it seems to be successful today are true and that cut
[15:37.720 --> 15:44.860]  You know that a user focused approach is is the way to get it done and who knows maybe something like currency
[15:44.860 --> 15:47.620]  Will also become popular. I
[15:47.620 --> 15:52.540]  Don't I don't know I have my doubts about currency in particular, but you know
[15:52.540 --> 15:58.300]  It could be that something that's a lot more retailer friendly as opposed to consumer friendly could work
[15:58.620 --> 16:02.660]  But the evidence to date suggests, you know that what Apple said was exactly right
[16:03.460 --> 16:05.460]  It's it's also
[16:06.060 --> 16:08.820]  What benefits the retailer is is interesting because?
[16:09.440 --> 16:15.700]  Me getting through the checkout line really quickly benefits the retailer and I believe it's my understanding that a lot of they signed multi-year
[16:15.700 --> 16:20.860]  Agreements with currency and with MCX when they started which was a silly thing to do, but they did it
[16:20.860 --> 16:24.460]  But I believe a lot of those expire pretty early on this year and it'll be interesting
[16:24.460 --> 16:24.980]  Sorry, not this year
[16:24.980 --> 16:30.020]  but in 2015 and it'll be interesting to see how many of those adopt Apple pay as soon as they are contractually allowed to
[16:31.340 --> 16:32.780]  and
[16:32.780 --> 16:39.340]  The other thing that I keep thinking about as a technical limitation is the way that there's one thing that Apple pay has that no
[16:39.340 --> 16:40.840]  other
[16:40.840 --> 16:43.420]  Payment system that would work on the iPhone at least
[16:43.420 --> 16:48.500]  I mean obviously like what Google could enable on Android or Microsoft with Windows Phone is different
[16:48.500 --> 16:54.060]  But at least if you want iPhone using customers the one thing they have that nobody else can do
[16:54.740 --> 16:59.220]  Is the way that it works at the system level rather than the app level?
[16:59.380 --> 17:04.580]  like and I just can't emphasize enough for anybody out there who hasn't used Apple pay yet because you don't have a
[17:05.060 --> 17:09.880]  iPhone 6 or because you don't shop at one of the places that that supports it yet
[17:09.880 --> 17:14.440]  but I just can't emphasize enough how how how
[17:15.240 --> 17:17.880]  Instead of like feeling like a one-step process
[17:17.880 --> 17:22.480]  It almost feels like a zero step process because you don't have to unlock your phone
[17:22.480 --> 17:27.880]  You just take the phone even if it's not on and just get it within an inch of the terminal
[17:28.160 --> 17:32.320]  Put your rest your thumb on the on the reader and it's that's it
[17:33.080 --> 17:35.800]  It's like nobody else can do that
[17:35.800 --> 17:41.760]  like you if a current see app on the iPhone you would have to unlock your phone open the app and
[17:44.160 --> 17:50.040]  Go from there, which is you know, it doesn't sound like a lot but compared to Apple pay it is a lot I
[17:50.720 --> 17:52.520]  Get upset I most places here
[17:52.520 --> 17:56.120]  I can just tap my card and go and when it doesn't work you feel like an animal having to you know
[17:56.120 --> 18:00.200]  Put it in and put in a pin goat or or swipe it and I haven't had a swipe or sign something in the in
[18:00.200 --> 18:01.680]  over a year
[18:01.680 --> 18:04.000]  But it reminds me of something else and it's a bit of a tangent
[18:04.000 --> 18:08.360]  But I think I think it's the same thing. It's it's all goes back to Apple making like the a8
[18:09.000 --> 18:13.480]  Chipset or the 8x chipset in that you take the cameras for instance. I take out my iPhone
[18:13.480 --> 18:15.640]  I can just take a picture and all nine out of ten times
[18:15.640 --> 18:22.520]  It's gonna be a perfect a really good everyday picture and that's because Apple makes their own image signal processor when you look at
[18:22.920 --> 18:24.600]  Microsoft who buys off-the-shelf chips
[18:24.600 --> 18:29.240]  They have to put really big glass on the front and collect as much light as they can because they're using custom
[18:29.240 --> 18:31.760]  They're using off-the-shelf chips. There's no advantage to them
[18:31.760 --> 18:35.080]  They're Google has no idea what hardware or what software is running on their phones
[18:35.080 --> 18:37.560]  They try to suck it up to the server and do all the auto awesome stuff
[18:37.560 --> 18:41.020]  But Apple is just making sure that they have a good camera on it
[18:41.020 --> 18:45.080]  They'll process it and almost any shot you take will be useful for a normal person
[18:45.080 --> 18:46.760]  And this that's the same thing
[18:46.760 --> 18:52.120]  You can't get that advantage unless you own the entire stack the way that they do and now they're moving that into payments and then
[18:52.120 --> 18:56.120]  Moving that into other areas with the iPhone. Yeah. No, you can't underestimate the
[18:56.120 --> 19:01.120]  The advantage that they and I think it totally gets written off by these
[19:01.760 --> 19:06.920]  Naysaying analysts what an advantage Apple has by controlling that level of the stack
[19:06.920 --> 19:11.780]  I used to think they were naysaying and I have I have a friend who was a sell-side analyst and he explained it to me
[19:11.780 --> 19:17.420]  And it's that the press reports analyst as though they're giving comments to readers and their comments are not meant for their readers
[19:17.420 --> 19:21.520]  They're meant to manipulate the markets and what they say is very little to do with what they believe it
[19:21.520 --> 19:26.200]  It's entirely they probably told their own clients something different two days ago or three days ago
[19:26.200 --> 19:30.360]  And now they want to produce results for them. So it's so undependable. I don't know why it gets reported
[19:31.080 --> 19:38.560]  Right like an analyst who comes out with a report that seems to be very pessimistic about Apple pays long-term prospects might in fact
[19:39.080 --> 19:45.920]  Honestly privately in terms of where he's putting money and advising his clients to put money being very bullish on the future of Apple pay
[19:46.120 --> 19:50.840]  It's like that video with crane from a couple years ago where he says you want to make money you you spread a rumor saying
[19:50.840 --> 19:52.960]  The iPhone is gonna be delayed you call up the news networks
[19:52.960 --> 19:56.480]  You tell them it's gonna be delayed then all of a sudden apples down and you've shorted all the shares
[19:56.480 --> 20:01.340]  I think that happens a lot. Yeah, what was that guy's name? Jim Cramer? Yeah, Jim Cramer. That's it
[20:02.880 --> 20:07.580]  It's baffling but and again this stuff keeps getting reported as though it's factual accounting on what Apple's doing
[20:10.900 --> 20:12.900]  What else in the first half of the year I
[20:14.240 --> 20:17.920]  Think there was it was Angela. I think Angela errands was in early on in the year
[20:17.920 --> 20:23.440]  Yeah, I do think so. When was she definitely February March?
[20:23.800 --> 20:27.720]  Yeah, that's a complete turnaround from John Broward from the previous year
[20:27.720 --> 20:32.400]  Yeah, and I think that's super interesting because Apple is really doing well in Apple stores
[20:32.400 --> 20:36.900]  But some people some people will say that it's a stale experience that they haven't evolved it even though it's working
[20:36.900 --> 20:42.000]  It's hugely successful, but they gave her not only Apple retail but Apple online as well
[20:42.000 --> 20:48.920]  Which used to operate almost as separate businesses and it's similar to giving Federiki control over both OS 10 and iOS and that those
[20:49.200 --> 20:54.080]  Those sort of artificial walls are falling down and it's providing better service for everybody involved
[20:54.440 --> 21:01.100]  So Angela aren't the her hiring was announced a year ago in October 2013
[21:01.100 --> 21:05.320]  but she did not start until I believe February or March of
[21:06.320 --> 21:09.680]  2014 I've said this before but and it seems obvious
[21:09.680 --> 21:16.440]  But it's so clear to me that the reason why why they hired her and why she would take the job is because of the watch
[21:16.840 --> 21:17.880]  Yes
[21:17.880 --> 21:20.040]  Well, she was a CEO of Burberry
[21:20.040 --> 21:23.800]  That's a huge job and people didn't understand why she would become a senior vice president at Apple
[21:23.800 --> 21:28.560]  Even though the senior vice president of retail and on and then now online as well as a huge job
[21:28.560 --> 21:33.200]  It's a it's like being a CEO of another company, but it's still I think you're exactly right Apple
[21:33.660 --> 21:37.000]  Apple dangled something in front of her that was a challenge and people like that want a challenge
[21:37.000 --> 21:39.000]  Yeah, totally
[21:40.360 --> 21:47.080]  And it does seem it seems, you know, it's not like we haven't really seen the arts effect on anything in retail yet
[21:47.600 --> 21:51.480]  But I don't think there's anybody who doesn't think that that's coming. Yeah
[21:52.240 --> 21:54.240]  you know, I think that there's
[21:54.600 --> 21:58.440]  half of it I think is that changes like that take a lot of time because
[21:59.240 --> 22:03.960]  It or not a lot of time but a lot of time compared to our industry, right?
[22:03.960 --> 22:09.080]  because you can't do it digitally you can't just you know have a new store and
[22:09.880 --> 22:14.560]  You know, you know like they do with the online store put up a sticky note for 15 minutes
[22:14.560 --> 22:21.160]  And then when you come back, it's an all-new store, you know, this brick-and-mortar stuff takes visit, you know actual time and
[22:21.960 --> 22:27.520]  You know to take a store down and put it back up is time when you're not to making sales
[22:28.320 --> 22:29.920]  You know so like in San Francisco
[22:29.920 --> 22:34.360]  I don't know if the new store is open yet, but they're not putting the new store on the same spot as the old store
[22:34.360 --> 22:36.760]  They're putting it like on the other corner around
[22:37.840 --> 22:39.960]  What's the name of that part Union Square? Yep?
[22:42.240 --> 22:47.960]  You know and you can't do that everywhere where Apple has a retail store, you know, most of the ones that are in
[22:48.680 --> 22:50.000]  shopping malls
[22:50.000 --> 22:56.880]  You could I guess get another spot in the mall, but who knows if there's one, you know, it all depends on availability
[22:56.880 --> 23:00.080]  That's outside the control of Apple and they're not like a carrier company
[23:00.080 --> 23:04.200]  It was gonna just put a little kiosk out front while the store is closed behind it. All right, exactly
[23:07.640 --> 23:12.680]  Yeah, I think you're right I think as the watch starts to deploy into the stores and as the other products are coming online for
[23:12.680 --> 23:17.360]  Next year, we're gonna see the stores sort of transform today. I don't know if fashion is the right words
[23:17.360 --> 23:20.480]  I think Apple is doing something really interesting where technology is meeting fashion
[23:20.480 --> 23:24.360]  But it's gonna be an Apple store that that has to be different than it was in the past
[23:24.360 --> 23:27.840]  Yeah, let me see anything else. I don't really see these ones
[23:28.480 --> 23:32.760]  Beats I think was announced earlier on in the year because they had Dre on the stage for WBC
[23:32.760 --> 23:39.640]  So it must have been May 2014 Apple to acquire music beats music and beats electronics. I
[23:40.480 --> 23:42.040]  it's I
[23:42.040 --> 23:46.800]  Don't know that that's major news, but it's because it's not a huge
[23:46.800 --> 23:50.280]  It's a it's a much bigger transaction than Apple has made
[23:50.280 --> 23:56.840]  You know famously, you know, it's the biggest acquisition since they acquired next which of course, you know
[23:57.400 --> 24:01.420]  Is the you know turned into like the backbone of the country of the company?
[24:03.000 --> 24:04.260]  But
[24:04.260 --> 24:11.000]  You know a 500 million dollar acquisition in 1997 was less was seriously about the company acquisition
[24:11.360 --> 24:17.680]  Whereas a you know, three billion or whatever it cost acquisition to get beats is pocket change
[24:17.680 --> 24:20.860]  Absolutely. Yeah three hundred billion three billion dollars
[24:21.480 --> 24:24.960]  You know, I mean you don't want to make a three billion dollar acquisition
[24:24.960 --> 24:30.320]  That doesn't turn out well, but it certainly isn't gonna have any meaningful if it turns out to be a complete bust
[24:30.320 --> 24:31.880]  It's not gonna hurt the company
[24:31.880 --> 24:37.200]  I think more interesting than the beats acquisition was just the reactions to it from it was almost like everyone went through the the five
[24:37.200 --> 24:43.640]  Stages of grief with denial and anger and they just couldn't believe it and it turns out it does make some sense
[24:43.640 --> 24:49.680]  There are you know selling headphones at Apple stores makes a lot of sense and sort of a synergy between iTunes radio and beats music
[24:49.680 --> 24:51.680]  Whatever it ends up being labeled makes a lot of sense
[24:52.440 --> 24:54.440]  yeah, and I think I
[24:56.040 --> 24:59.200]  Don't know I I still don't think overall it makes ton of sense
[24:59.200 --> 25:03.440]  I'm still waiting for the other shoe to drop on it, but it's in some sense
[25:03.440 --> 25:07.680]  It does where it's the only other iconic headphone company I can think of
[25:07.680 --> 25:11.880]  I mean it has nothing to do with you know, Marco Arment style
[25:11.880 --> 25:13.880]  Quality
[25:14.320 --> 25:21.480]  Analysis but rather you're out on the sidewalk and you see somebody walking while they're listening to their device and you know
[25:21.480 --> 25:26.400]  Those white earbuds that Apple's been making ever since 2001 are truly iconic
[25:26.400 --> 25:33.280]  I mean they even had for years an ad campaign that was kind of based on that right with the silhouettes dancing silhouettes
[25:33.640 --> 25:37.360]  Who you know have white earbuds and a white why?
