[00:00.000 --> 00:02.000]  Do you watch football?
[06:20.880 --> 06:26.480]  in part to with the express purpose of wearing down the defense so that you can you know
[06:26.480 --> 06:32.500]  Pull off those plays, you know later in the game and like just I mean the fundamental nature of it is so tied into
[06:33.400 --> 06:35.020]  You know like
[06:35.020 --> 06:37.020]  getting a physical advantage
[06:37.020 --> 06:44.220]  That yeah, it's I mean and the other thing too is the trend I what you say makes sense intellectually
[06:44.220 --> 06:51.580]  But the actual trend of the game is yes as right guys getting bigger and stronger and faster and hitting right
[06:51.580 --> 06:59.120]  I fully acknowledge the wistful wishful thinking aspect of my make it more like flag football and a basketball type
[06:59.120 --> 07:07.120]  Athletic game I fully acknowledge that it really contrasts and is in the opposite direction of what is actually going on with the league
[07:07.120 --> 07:09.920]  What did they say they said the one of the most interesting stats?
[07:10.640 --> 07:15.040]  So there was they were making a big celebration about the fact that this was Super Bowl 50 and it's a nice round number
[07:16.080 --> 07:21.240]  Cam Newton the quarterback for the Carolina Panthers is 6 5 and
[07:22.360 --> 07:23.840]  245 pounds
[07:23.840 --> 07:32.040]  He he's bigger than every single player who is on the championship Green Bay Packers team from Super Bowl one
[07:32.960 --> 07:34.960]  the quarterback
[07:35.600 --> 07:40.040]  The quarterback was bigger than everybody on a legendary
[07:40.880 --> 07:47.080]  Legendarily great and and sort of rough-and-tough big, you know running, you know, three yards and a cloud of dust
[07:47.640 --> 07:49.640]  Green Bay Packers team
[07:49.640 --> 07:54.400]  It's kind of unbelievable. Yeah, it is unbelievable. Yeah, I thought and and again
[07:54.400 --> 07:59.720]  I think part of what makes football so appealing too is that the strategy is is very easily
[07:59.960 --> 08:06.760]  Apparent to the lathe layperson fan that specific tactics aren't right like the exact nature of what?
[08:06.960 --> 08:09.960]  the precision of the play and the complexity of a given play is
[08:10.400 --> 08:14.360]  You know, obviously it's if you've ever seen like the size of an NFL playbook
[08:14.360 --> 08:16.880]  Although I guess now they're all the size of a surface tablet
[08:16.880 --> 08:22.000]  But back when they were in a you're on brand back when they were in a binder
[08:22.000 --> 08:23.760]  They were just like phone book size
[08:23.760 --> 08:28.360]  But the you know the there it's complex tactics and very simple strategy
[08:28.360 --> 08:32.360]  And I thought the Super Bowl really this Super Bowl was a perfect example of it. Yep
[08:33.520 --> 08:40.480]  Yeah, no, it's I mean we're we're we're I don't know if this is better or worse than baseball baseball talk
[08:40.480 --> 08:45.560]  But um, it's you got to talk about the Super Bowl. Yeah. No, it was um
[08:45.560 --> 08:52.400]  You know, I I'm so I'm so it it's it's so one of those things. I mean, it's a perfect example of
[08:54.360 --> 08:56.440]  You know
[08:56.440 --> 09:04.420]  It's a reminder of about standing in judgment on everyone about on anything to anyone because I've there's no question
[09:04.420 --> 09:09.020]  I'm a total hypocrite and I like to say I'm less of hypocrite because I don't watch that many games or something like that
[09:09.280 --> 09:14.960]  But then actually that's just a matter of circumstance by being honest with myself. Yeah, if you want to think about it
[09:14.960 --> 09:16.840]  Here's the long-term the long-term
[09:16.840 --> 09:24.920]  Pessimist strategy about the NFL and football in general the NFL from the top down at the professional level is a they're very successful
[09:24.920 --> 09:29.080]  They're and they're very effective, you know, like in terms of PR and they have good lawyers
[09:29.080 --> 09:31.720]  I mean, I mean they've got effectively their lawyers are so good
[09:31.720 --> 09:37.480]  They've gotten everybody who doesn't pay them a fortune to refer to the game as the big game instead of the Super Bowl
[09:37.480 --> 09:39.640]  I know that was crazy. It's
[09:39.640 --> 09:47.220]  It's absolutely nuts how bad or not bad but how effective they are at having gotten rid of anybody using those
[09:47.360 --> 09:51.760]  the two words Super Bowl without paying them and it just shows how
[09:52.000 --> 09:56.760]  Unbelievable the brand is for the Super Bowl that they want to do that right like most like the NBA
[09:56.760 --> 09:58.760]  I don't think the NBA Finals is so
[10:00.000 --> 10:02.780]  Or the World Series is anywhere near as as
[10:03.360 --> 10:07.860]  Litigious about that because they want people talking about the World Series or they want people talking about the finals
[10:07.860 --> 10:12.540]  Or is the Super Bowl the NFL is like we know you're talking about the Super Bowl. So you're gonna pay us for those words
[10:14.700 --> 10:18.980]  No, I think it's from the bottom up where the game collapses which is that
[10:19.980 --> 10:24.140]  High schools and youth leagues are gonna start getting sued more and more
[10:25.060 --> 10:29.820]  And I feel like lawyers and insurance companies are gonna start telling
[10:29.820 --> 10:33.640]  I don't know if this is like a next few years thing or if it's a ten years from now thing
[10:33.640 --> 10:39.160]  But I think it's absolutely within the next 15 years that you know insurance companies are going to start telling schools
[10:39.160 --> 10:42.600]  We you can't have a football team. Yep, and
[10:45.600 --> 10:51.520]  More and more even without that I think you've got more and more parents who are saying to their athletic
[10:52.220 --> 10:54.880]  Children and let's just face it quite frankly their sons
[10:54.880 --> 11:01.000]  I mean, there's obviously, you know, there's a few girls who play here and there but it's usually quite notable, you know
[11:01.000 --> 11:02.800]  You
[11:02.800 --> 11:04.200]  Can't play football, you know
[11:04.200 --> 11:08.600]  You're gonna play soccer in the fall and basketball in the winter and you can play baseball in the spring
[11:08.600 --> 11:10.520]  But you're not playing football
[11:10.520 --> 11:13.920]  And I think with good reason I don't I don't think I would let my kid play
[11:14.280 --> 11:16.560]  In fact, I know I wouldn't definitely wouldn't let him play football
[11:18.000 --> 11:23.400]  And I think it's gonna happen more and more and you start hearing it now from football players like Troy Aikman
[11:23.400 --> 11:25.400]  I said he wouldn't let his kids play football
[11:25.400 --> 11:34.080]  And once that starts happening and fewer and fewer athletic kids even play football the kids who are who are the
[11:34.520 --> 11:40.560]  Extraordinary athletes who might go pro are gonna end up in different leagues. You know, they're gonna end up pitching in baseball or playing basketball
[11:42.080 --> 11:45.180]  Maybe well, maybe we'll finally have a have a good US soccer team
[11:45.180 --> 11:50.440]  I mean not that we have another team, but you know, we get if we get the the best athletes, all right
[11:50.440 --> 11:54.380]  I'm on board with that. The other thing too is because the football is such a
[11:54.380 --> 12:00.540]  You American sport like unlike baseball has lost a lot of particularly in like the inner cities
[12:00.860 --> 12:05.700]  And certain parts of the country baseball has really fallen off, but it's been
[12:06.540 --> 12:10.300]  From Latin America in particular. There's been a huge influx of talent
[12:10.300 --> 12:15.020]  That is that is really, you know picked up pick up the pace, but football is not gonna have that
[12:15.340 --> 12:20.460]  And so once once it loses the the American pipeline, that's that's the only pipeline
[12:20.460 --> 12:26.260]  Yeah, I think the long-term path is that it devolves into a regional sport in the u.s. South
[12:27.260 --> 12:28.980]  Yep
[12:28.980 --> 12:30.980]  Curious nice plays out
[12:31.340 --> 12:36.380]  It's it's um, I mean it is a mate amazing how
[12:37.260 --> 12:40.680]  Popular and pervasive it is. I mean even on something like, you know, like
[12:41.220 --> 12:45.560]  Detect circles that we we tend to you know, live in and circulate in
[12:45.560 --> 12:52.420]  I mean, there's a lot of football fans far more than than basketball or baseball or any other sport, you know every Sunday
[12:52.520 --> 12:55.220]  You know, even if you only follow tech people on Twitter and you know
[12:55.220 --> 12:56.860]  All the people are gonna complain about this podcast
[12:56.860 --> 13:01.220]  You know are I'm sure are are grimacing because they know exactly what I'm talking about
[13:01.620 --> 13:06.900]  But everyone's talking about the the play and and what's going on. It's it's really quite remarkable
[13:06.900 --> 13:11.620]  I still think but in that Super Bowl just has this weird gravity. I mean, it really does and I know it's corny
[13:11.620 --> 13:15.440]  It's almost a cliche that people say well, I'll just watch it for the commercials, but it's true
[13:15.440 --> 13:18.300]  And cuz people have parties, you know, I mean somebody says hey come over to my house
[13:18.300 --> 13:20.620]  I'm having a dozen people over we're gonna have you know
[13:21.860 --> 13:24.740]  You know big platters of food and lots of beer
[13:25.860 --> 13:30.160]  People come over and if you're not really into the game you take your bathroom breaks when the game comes back on, you know
[13:31.160 --> 13:34.980]  Yep, well a lot of those commercials this year were awful. I
[13:35.700 --> 13:39.340]  Don't know if you got the same commercials that we did. No, I did. I got all the same commercials
[13:39.340 --> 13:44.660]  I mean, I think they they're usually always awful. It's it's this weird sort of um
[13:45.460 --> 13:46.980]  Every year it's the worst year ever
[13:46.980 --> 13:52.140]  and then but it's just one of those things the one that stuck out to me the most was
[13:53.380 --> 13:59.580]  The one for diarrhea medicine where the star of the commercial was a walking human bowel
[14:01.380 --> 14:03.380]  Abdominal pain
[14:03.380 --> 14:09.500]  Yeah, they made a CGI human bowel with eyes and little legs and he's at the game
[14:10.020 --> 14:15.080]  And he's he's got diarrhea and the line to the bathroom is too long
[14:15.080 --> 14:18.340]  And now he doesn't know what to do because he's about to
[14:19.540 --> 14:25.780]  Wait doesn't have pants. He's not gonna he's not gonna shoot his pants. I guess he's just gonna go all over the floor
[14:26.900 --> 14:31.000]  Like where's what do you well made it even funnier is that was the second?
[14:31.000 --> 14:33.000]  That was the second
[14:35.800 --> 14:40.920]  There was already one for constipation in the first half right they had a constipation one in the first half
[14:41.580 --> 14:46.600]  With the guy walking around watching people poop, but he saw a dog poopy on the street
[14:46.600 --> 14:52.740]  All right whimsical if you need an opioid to manage your chronic pain you may be so constipated
[14:53.540 --> 14:58.140]  It feels like everyone can go except you and he was jealous
[14:58.140 --> 15:01.620]  No, he was it was like a dog was enjoying a nice
[15:02.380 --> 15:09.100]  Nice nice dropping. It's like I used to be like that. He's like like some old man watching the youngins, right?
[15:09.100 --> 15:11.740]  I remember when I could enjoy a nice crap
[15:13.500 --> 15:15.420]  Boy those were the days
[15:15.420 --> 15:19.100]  There's not a good ad not a fun ad longing for a change
[15:19.100 --> 15:28.060]  Have the conversation with your doctor about oh, I see and ask about prescription treatment options. I
[15:28.060 --> 15:33.580]  Don't know like, you know, and it just followed right up by just you know, here's some kids having fun with a coke. Oh
[15:36.380 --> 15:38.380]  My god
[15:40.340 --> 15:45.600]  Real one so speaking of the Super Bowl the other tie-in to to our usual beat is
[15:45.600 --> 15:50.400]  Tim Cook was at the Super Bowl and I'm sure you saw this right that
[15:52.480 --> 15:54.040]  The so
[15:54.040 --> 15:58.440]  The game is over. I guess he had really good seeds look like he had like sideline seeds, you know
[15:58.440 --> 16:00.760]  I know he was in a box. I saw some photos later
[16:01.520 --> 16:09.080]  The photo so what happened is the game is over Tim Cook decides to tweet Congrats to the the championship Denver Broncos
[16:09.080 --> 16:13.120]  and he took a picture of like the celebration on the field like fireworks going off and and
[16:13.120 --> 16:16.320]  You know the on I don't know how that happens
[16:16.320 --> 16:21.240]  But like at the Super Bowl when the game is over there's seemingly like 1,500 people who stormed the field
[16:22.280 --> 16:24.280]  So pandemonium on the field
[16:25.360 --> 16:30.280]  And he posts a photo to Twitter and it's you know, it's not a great photo
[16:30.280 --> 16:36.960]  It's dark and it's blurry and I mean dark meaning like it's nighttime there and there was they turn the lights down
[16:36.960 --> 16:41.120]  So you could see the fireworks and so there's camera blur because it's you know
[16:41.120 --> 16:43.120]  There's not enough light to take a sharp picture
[16:44.600 --> 16:46.980]  It I you know and then and then he got
[16:47.880 --> 16:50.000]  Excoriated on Twitter it seemed like you know
[16:50.000 --> 16:57.680]  And and people in the press were picking up on writing stories that Tim Cook took a terrible photo at the Super Bowl
[16:59.360 --> 17:03.280]  Yeah, I mean, I'm sure there was there was you know
[17:03.880 --> 17:08.440]  Exploited perfectly fine reasons for it to be blurry. I thought it was I thought it's pretty hilarious
[17:08.440 --> 17:16.480]  The the virgin like Casey Newton at the verge had a funny post talk about people being mean mean to mean to Tim Cook
[17:16.480 --> 17:20.440]  And I think he sees a disease for his opening paragraph, which was hilarious and super mean
[17:21.440 --> 17:26.920]  But I mean whatever if you're if you're if you're the if you're a Tim Cook, I think you can deal
[17:27.760 --> 17:31.060]  Okay, so he ended up deleting the tweet
[17:31.760 --> 17:34.720]  Right and then he posted a much better picture a few minutes later
[17:34.720 --> 17:38.160]  But people still were making jokes
[17:38.160 --> 17:43.480]  I guess the joke everyone to make was they were sticking his photo is buried sort of a little slightly up
[17:43.760 --> 17:46.400]  not quite squared up photo into
[17:47.760 --> 17:50.300]  Shot with iPhone 6 billboards. Yes
[17:51.160 --> 17:57.000]  Yes, that's exactly it. I got an email. Here's in the actual actual email from an actual
[17:58.440 --> 18:03.320]  Actual reader I will not mention his name. No subject, of course
[18:03.320 --> 18:05.320]  this
[18:05.880 --> 18:12.520]  Is the entire email I got from a daring fireball reader not a word about the shitty photo you are a pig
[18:15.920 --> 18:17.920]  Doesn't even mention Tim Cook
[18:17.920 --> 18:20.380]  That's all email not a word about the shitty photo
[18:21.160 --> 18:26.520]  Return return you are a pig. So I just wrote back to him and said your message made my day. Thank you
[18:28.160 --> 18:32.560]  That was that was graceful of you I like to pretend when I get an email like that
[18:32.560 --> 18:38.800]  I like to pretend that I just answer every email as though it's I love your website and it's the best thing
[18:38.800 --> 18:39.760]  I've read all day
[18:39.760 --> 18:45.960]  It's my first thing I read every day and that's exactly how I write back to the people who write something like that. I
[18:47.160 --> 18:48.800]  thought
[18:48.800 --> 18:50.160]  that
[18:50.160 --> 18:51.920]  it I
[18:51.920 --> 18:58.680]  Wonder what happened. I kind of I like the idea that that Tim Cook sometimes tweets like that
[18:58.680 --> 19:05.280]  Just like a normal person right like, you know, he's excited. He's a sports fan. He's at the Super Bowl
[19:06.240 --> 19:08.880]  He takes a picture. He's not a professional photographer
[19:09.600 --> 19:14.920]  Whatever however much you want to praise the iPhone 6. I don't know what he's probably what do you think?
[19:14.920 --> 19:17.080]  He is a 6x. I think he's a plus guy. I
[19:19.080 --> 19:22.440]  Know idea I wonder well, it's a 50-50 chance easy
[19:22.440 --> 19:26.720]  They got the success or the success plus if he had the pull probably the six because it doesn't matter
[19:26.720 --> 19:30.280]  It's right. Maybe that's what he maybe he needs the image stabilization
[19:30.280 --> 19:38.160]  but either way even with the image stabilization as fine as the camera as it is and arguably easily arguably the best of any cell phone and
[19:39.000 --> 19:43.520]  Inarguably among the best of any phone. I think that's fair to say
[19:44.120 --> 19:46.120]  It is going to struggle in
[19:46.480 --> 19:52.780]  Certain lighting conditions and on the field that the Super Bowl is certainly after the game at nighttime is certainly one of them
[19:52.780 --> 19:57.660]  I thought it it I thought that there was a tangible realness to it
[19:57.660 --> 20:02.580]  And no, this is not the type of photo. You're gonna put on a billboard a shot with iPhone 6, but it
[20:03.180 --> 20:04.740]  The photo itself wasn't great
[20:04.740 --> 20:10.420]  But I thought that the whole hell even the CEO of Apple takes tweets after an exciting thing like this is
[20:10.740 --> 20:15.720]  Was an interesting angle, you know, and it may and I I think he shouldn't have deleted it
[20:15.720 --> 20:21.000]  Like he should have like it could have been a hilarious like segue in like the next Apple presentation or something. Yes
[20:21.000 --> 20:27.680]  yes, like own it let it play out and then and then and then you could you know,
[20:27.680 --> 20:30.440]  You can make a joke about it and a subsequent event
[20:31.080 --> 20:38.040]  Right. No exactly exactly like people that's like that's what Twitter does Twitter Twitter is run on snark
[20:38.840 --> 20:46.080]  Unfortunately, he can't quite pay the bills or snark yet. Anyway, but I know I mean it's it's people are gonna make fun of it
[20:46.080 --> 20:52.320]  That's what people do and yeah, I I think the the real mistake was was in was in deleting it
[20:52.320 --> 20:54.520]  And and then you just look yeah
[20:54.520 --> 20:59.280]  Cuz then it reinforces it it takes away the credibility from things you say in the future
[20:59.280 --> 21:04.160]  Like if you do something like that, like you said it makes you look real makes look human. We've all taken crappy photos
[21:04.920 --> 21:07.040]  and and
[21:07.040 --> 21:08.400]  you know
[21:08.400 --> 21:16.320]  there's a benefit to to a long-term benefit even if it's very slight to being a regular guy and not being a you know,
[21:16.320 --> 21:19.520]  Feeling like everything is run through PR and control and all that sort of stuff
[21:20.320 --> 21:23.960]  Yeah. Yeah, that's exactly what I would like to you know
[21:23.960 --> 21:30.120]  Avoid or I feel like the collect that collectively and we can't I can't nobody's gonna listen to me
[21:30.120 --> 21:56.600]  Just cuz I'm saying it on the show and I'm not saying you know, poor Tim Cook can't take it, but I just feel like collectively Twitter's group behavior forces people in higher profiles to be as guarded on Twitter as they are anywhere else, you know, whereas Twitter could be a place where you know, somebody like the CEO of the biggest company in the world could
[21:57.280 --> 21:59.040]  Have a little fun
[21:59.040 --> 22:00.680]  But it's like yeah
[22:00.680 --> 22:03.800]  It's like we have to ruin everything and it's like I'm sorry
[22:03.800 --> 22:08.400]  And I'm not trying to make excuses for it just because it's an iPhone and I mean it was not a great photo
[22:08.400 --> 22:15.080]  But it wasn't horrible. It wasn't like ridiculous. And if you don't understand that that's a tough condition to get a photo. I
[22:16.520 --> 22:21.800]  Mean it's it's like I don't know what to tell you. Yeah. No, I mean there is a
[22:21.800 --> 22:25.600]  Yeah, I mean it this is this is one of those things where
[22:26.600 --> 22:30.600]  People, you know people like they have people like to be outraged and they like to they like to
[22:31.440 --> 22:35.240]  Make a big deal out of stuff that that probably really isn't that big a deal and
[22:36.240 --> 22:43.360]  And I think there's there's a sense particularly for someone like Tim Cook or anyone that has relatively high profile like there. There's a there's a
[22:43.360 --> 22:51.160]  Dehumanization that kind of occurs to it. And again, I don't think that I don't think that Tim Cook was losing sleep
[22:51.800 --> 22:54.960]  because people were making fun of his photo, but you know, it's like
[22:55.960 --> 23:00.200]  Unfortunately, that's just the reality of being a public forum. And I think this is you know
[23:00.200 --> 23:02.840]  It's a real this is a real a real challenge for Twitter
[23:02.840 --> 23:09.080]  I mean beyond Twitter's all of other Twitter's problems, but is this it's the the virtue is that
[23:09.080 --> 23:14.080]  All of other Twitter's problems, but is this it's the the virtue is being public
[23:14.080 --> 23:20.920]  The virtue is the fact you can connect and talk to anyone right and that is the downside in spades, right?
[23:23.400 --> 23:29.800]  How long after he posted that tweet do you think he's phone jingled and looks down and it says Steve Dowling
[23:34.240 --> 23:35.680]  You totally
[23:35.680 --> 23:39.520]  Envisioned how this happened, right? So he was I think he was in the box. He's down the field
[23:39.600 --> 23:42.980]  It's very like I'm sure it's very exciting the stuff we were on takes a picture
[23:42.980 --> 23:45.320]  He probably just posted with barely even looking at it
[23:45.920 --> 23:46.960]  and
[23:46.960 --> 23:48.960]  Yes, I call
[23:49.840 --> 23:55.680]  It started without ever having been even I've never been in this stadium for a Super Bowl
[23:55.680 --> 24:00.540]  but just watching on TV, which I think almost makes it seem more sane because like they have
[24:00.540 --> 24:08.020]  Cameras that are high up that are that are stable and the cameramen on the field are truly truly amazing professional
[24:08.140 --> 24:12.140]  Photographers that it it's controlled barely controlled pandemonium
[24:12.840 --> 24:15.340]  you know with no not not overstating it and
[24:16.660 --> 24:19.560]  You just know that like ten minutes later Dowling out of column
[24:21.860 --> 24:27.020]  And I bet it was a tough call I bet it was like yeah, you know, I bet it wasn't like a clear-cut call
[24:27.020 --> 24:30.460]  Yeah, I don't know. I thought it was funny
[24:30.460 --> 24:34.920]  I I just wish he should have owned it like he said like it would have made a hilarious
[24:35.340 --> 24:43.420]  Like I mean as hilarious as such things can be but sort of like ten second interlude at the WWDC or something
[24:43.420 --> 24:46.840]  Yeah, like we're the next iPhone introduction, you know
[24:46.840 --> 24:52.480]  Like we're we're or the 5 SC or whatever. It comes with X amount of camera on good lord. Do I need it?
[24:52.480 --> 24:57.940]  You know, I mean, I think the problem is that and maybe the problem is that the timing doesn't work because new iPhones aren't gonna
[24:57.940 --> 25:02.680]  Come till September and they have at least two events between now and then and then it'll be old news by September
[25:02.740 --> 25:04.740]  Well, whatever you could still
[25:05.020 --> 25:08.520]  It would be perfect if they had like new high-end, you know
[25:09.460 --> 25:11.820]  Phones coming next month. It would be perfect
[25:11.820 --> 25:17.100]  it would almost would have been suspicious that they planned it right people would be you know, all of a sudden that would be the
[25:17.660 --> 25:18.900]  you know
[25:18.900 --> 25:22.660]  The conspiracy theories have come out that they faked it on purpose
[25:24.100 --> 25:26.100]  Rubbed rub that they rubbed
[25:27.940 --> 25:33.580]  You know rubbed some kind of grease all over the camera lens, yeah, so you saw this photo I actually took two
[25:33.660 --> 25:35.960]  Here's the one I took with the new iPhone 7
[25:38.900 --> 25:43.660]  Anyway, let me take a break and thank our first sponsor it is our good friends at
[25:44.380 --> 25:45.520]  Squarespace
[25:45.520 --> 25:49.620]  Start building your website today at Squarespace
[25:50.680 --> 25:53.740]  Com and you enter the offer code
[25:54.620 --> 25:59.580]  Gruber that's my last name when you check out if you're buying and you get 10% off
[26:00.340 --> 26:06.980]  Now your needs vary that's why Squarespace recently launched three new website products each catered to the needs of different
[26:07.820 --> 26:09.460]  creative people
[26:09.460 --> 26:11.140]  Now one of them is cover pages
[26:11.140 --> 26:16.420]  This is a single page website that is perfect for when your idea is just starting out and there's an awful
[26:16.420 --> 26:18.940]  It's a great. I way it's just I've seen this a lot
[26:18.940 --> 26:22.280]  It's a big trend for new things things that are just coming out things you want to unveil
[26:23.620 --> 26:26.660]  Just do it in one page right you do one big page
[26:26.660 --> 26:32.660]  You got big artwork at the top you explain your main points next and then you can get the details that just scroll down the page
[26:32.660 --> 26:36.280]  Well, that's what cover pages are in Squarespace. They make it really really easy to set that up
[26:36.280 --> 26:41.760]  Do you have something to sell your products to sell Squarespace commerce is robust enough to be both?
[26:42.400 --> 26:48.880]  An online storefront and your business manager for tracking inventory and sales and the numbers and stuff like that
[26:49.680 --> 26:51.240]  for something in between
[26:51.240 --> 26:57.680]  Squarespace websites provide beautiful versatile templates and a really wide variety of templates
[26:58.000 --> 27:00.120]  Almost it's almost staggering to me
[27:00.120 --> 27:05.000]  I if you haven't looked at Squarespace in a while go check them out and and just check out just the
[27:05.000 --> 27:09.000]  the incredible variety of starting points that you can start from
[27:10.080 --> 27:14.320]  They've got all these templates, and they help you create the online home that you have always wanted
