[00:00.000 --> 00:01.720]  Mg
[06:40.080 --> 06:44.240]  Yeah, it's you know, just only compares to the gas and oil companies, yeah
[06:45.120 --> 06:46.960]  And it's kind of funny because we grew up
[06:46.960 --> 06:50.560]  You know, I mean I've even people who are significantly older than us
[06:50.560 --> 06:57.200]  I think grew up in a world where it's just well, of course the gas and oil companies are the biggest companies in the world
[06:57.200 --> 07:04.400]  Right. It's just it's just like that's the world whereas I it's like I'm old enough now to sort of and you know with all the
[07:04.960 --> 07:08.000]  climate change stuff and and all you know
[07:08.000 --> 07:13.440]  the the interest in renewable energy everybody's looking at that, you know and questioning it and and
[07:14.720 --> 07:19.120]  You know, it's no longer taken as a given that this is just the way it is right but
[07:21.120 --> 07:25.120]  I did the math when with all the skepticism with Apple's, you know
[07:25.680 --> 07:29.280]  Quote-unquote bum quarter last quarter and it really was true
[07:29.280 --> 07:32.640]  I think I forget if it was revenue or profit. I think I was looking at profit and yeah
[07:32.640 --> 07:37.680]  It was profit because that's why I I took I took Amazon and I think I think I think I think I think
[07:37.680 --> 07:44.320]  I took Amazon out of the equation because they don't try for profit. So it's right, you know, it's almost like it's like you're
[07:45.280 --> 07:49.680]  You're stacking the deck in the in the favor of Apple by comparing Amazon
[07:49.680 --> 07:56.000]  But I think it was like Google Microsoft and Facebook combined that they had more profit than right, which is just yeah insane
[07:56.960 --> 08:02.880]  Especially like with Microsoft who who and Google too. I think one thing you could Google's often, you know
[08:03.520 --> 08:06.320]  Largely, it's tried for profits, but Microsoft famously
[08:06.320 --> 08:12.480]  You know, it was the most profitable company in the in the industry. Yeah. Yeah. I remember when
[08:13.840 --> 08:18.560]  You know thinking back to I don't even remember how long ago it was six seven years ago or something sort of when I was
[08:18.560 --> 08:22.720]  at tech crunch looking trying to cover sort of the day-to-day of
[08:23.120 --> 08:28.800]  putting into context like just how fast Apple's growing and how big it is relative to some of the other tech companies and
[08:29.440 --> 08:35.360]  I remember both putting it in the context of Microsoft at the time and Microsoft was still leaps and bounds ahead both
[08:35.360 --> 08:40.400]  Certainly in profit and I think in still at revenue at that point
[08:40.400 --> 08:42.640]  But the other one I remember is HP like
[08:43.360 --> 08:48.960]  HP was so far ahead in revenue that it seemed like Apple would never be able to surpass something like that
[08:48.960 --> 08:54.960]  And then you know, it's like 18 months later. It was it was so far in the rearview mirror that it was it was insane
[08:56.080 --> 09:01.120]  Even the even the HP branded iPods couldn't change that. That's right
[09:01.120 --> 09:06.640]  They somehow didn't didn't write the ship and now it's like now HP's been spun out or it's got split up once, right?
[09:06.640 --> 09:09.200]  And I think they just sold a separate
[09:09.840 --> 09:14.640]  Part of the enterprise version that was spun out. So it's like three separate companies
[09:14.640 --> 09:18.800]  Now that was the the one behemoth at that point that seemed seemed like, you know
[09:18.800 --> 09:22.880]  A tech company could never topple those those types of revenues and now it's funny
[09:23.760 --> 09:28.880]  Yeah, and it's like HP is one of those companies. It's not like I ever had a great interest in Hewlett-Packard
[09:28.880 --> 09:31.520]  You know, I mean, but they were at least
[09:31.520 --> 09:37.760]  Relevant to the sphere of things that I read and now it's almost like when an article comes up with a review of like an HP
[09:37.760 --> 09:42.320]  Laptop or something. I'm like, wow HP. I haven't thought about them in like a year. Yeah
[09:42.320 --> 09:44.320]  Yeah, I'm the same way just don't even think about it
[09:44.320 --> 09:50.800]  It's basically only when I like see on tech meme the the earnings report of HP and that's like the only time
[09:50.800 --> 09:52.640]  I'll see like the headline of like yeah
[09:52.640 --> 09:59.600]  They they beat or they slightly missed or whatever on on their their targets for the it's like and it's it's such a
[10:00.240 --> 10:07.040]  Mind-numbing, you know headline to read like just don't have time to really care that much anymore about HP
[10:09.280 --> 10:11.280]  What's the name of Microsoft's tablet
[10:11.840 --> 10:12.960]  Surface
[10:12.960 --> 10:20.080]  Surface surface so I just saw a review the other day where where HP came out with like more or less their
[10:20.080 --> 10:22.800]  competitor to the surface and
[10:23.520 --> 10:27.680]  It's it's like it's just like a surface and and they're advertising it
[10:27.680 --> 10:33.520]  But you can open it up and like, you know replace the RAM and you can do this and that and you know
[10:33.520 --> 10:35.520]  It's like all this stuff. That was like
[10:35.840 --> 10:38.720]  The things people wanted to do with their PCs like ten years ago
[10:38.720 --> 10:43.200]  But then like the bottom line is so it's just like a surface and out of the box. It's thicker and heavier
[10:45.280 --> 10:48.400]  That's great good good job good luck with that. Yeah, I
[10:48.400 --> 10:52.080]  But so it's just it's a tablet that with it with the keyboard thing
[10:53.440 --> 10:59.760]  Yeah, I'll try to find the review and I'll put the link in the show that show notes it's I it's I it's just like yeah
[10:59.760 --> 11:04.560]  I don't know some division of HP is still making these things in it. You know squeaked out the side, but it's like
[11:05.360 --> 11:06.880]  It's not surprised
[11:06.880 --> 11:08.320]  Yeah, there it's you know
[11:08.320 --> 11:14.640]  It's the office space guy with the red stapler in the basement who's just doing this and no one realizes it. Yeah
[11:14.640 --> 11:20.960]  Exactly, right. He's still down there making laptops and he's like looking around the industry and he's like, well, I guess that's the new form factor
[11:21.680 --> 11:24.400]  And that's what he made. Yeah, that's exactly it. Yeah
[11:27.280 --> 11:31.120]  You are a I think a a a
[11:36.400 --> 11:38.640]  You've been bullish on uber
[11:38.640 --> 11:44.240]  Right. Yeah, sure. And I mean, you know GV is a pretty big investor, right? Yeah, right
[11:44.240 --> 11:50.240]  So it's you know, you know, let's just go Lowe's and every time GV is an investor right and somebody right but
[11:51.280 --> 11:57.120]  I feel like that again, you know not having had you on the show in a long time that to me that
[11:57.760 --> 11:59.440]  the ride-sharing
[11:59.440 --> 12:02.560]  and you know, it doesn't have to be uber in particular, but it's it's
[12:02.560 --> 12:11.200]  It it seems to be accelerating at a at a at a almost crazy rate and I could be wrong
[12:11.200 --> 12:16.000]  Maybe like one thing I'd a couple years ago. I don't know because about 10 years ago
[12:16.000 --> 12:21.360]  There were a lot here in philly, especially their zip cars was was pretty common. Yeah, and
[12:22.080 --> 12:25.120]  You'd see them and I always noticed it because I noticed that
[12:25.120 --> 12:32.000]  branding and stuff that you know, the cars all had zip cars printed on the side and I knew where all the parking lots were where
[12:32.000 --> 12:37.360]  Where they were and it was something that when we were shopping for a car 10 years ago
[12:37.360 --> 12:41.040]  We considered it. We've really strongly thought maybe we don't have to buy a car
[12:41.040 --> 12:44.640]  maybe we could just do the zip cars thing, but it's like we we kind of like
[12:45.840 --> 12:49.360]  Pretended, you know, like well, let's pretend that we were shopping for a car
[12:49.360 --> 12:55.360]  So we didn't we didn't go for it. We bought a car but I've noticed and this is totally anecdotal
[12:55.360 --> 13:01.360]  But I don't see anywhere near as many zip cars in philadelphia as I used to like it seemed like that got popular
[13:01.360 --> 13:06.960]  And now it's less popular and I can't help but think that it's it's the ride-sharing
[13:06.960 --> 13:14.960]  Well said it's bet so how I think about it. I think it's it's it's it's it's it's it's it's it's it's
[13:14.960 --> 13:22.400]  Ride-sharing. Well said it's bet so how actually I the last time I haven't been in philadelphia in a long time
[13:22.480 --> 13:29.440]  Certainly well well before uber and lyft and whatnot existed. So is uber pretty ubiquitous. Like is that how people yeah people get around well
[13:30.480 --> 13:37.360]  I can't speak for the whole city of philadelphia, but philadelphia center city philadelphia is you know, the downtown part of philadelphia is all centralized
[13:37.440 --> 13:39.180]  It's one contiguous
[13:39.180 --> 13:43.280]  rectangular block and within center city philly it's you know, it it
[13:43.280 --> 13:48.240]  It never more than a five-minute wait for a black car or an suv and uh
[13:49.360 --> 13:53.280]  I don't really do the uber x but it's I think it's even less for that and you know
[13:53.520 --> 13:59.520]  Yep, it's really really and just does philly have public good public transportation or really bad public transportation
[14:00.640 --> 14:02.640]  I would I would qualify it as
[14:03.500 --> 14:08.080]  Mediocre we have two subway lines one that goes east west and one that goes north south
[14:08.160 --> 14:10.560]  So it's just effectively just like a plus
[14:10.560 --> 14:14.240]  That goes right through the center, you know, right through the center of the city
[14:14.720 --> 14:16.080]  so like
[14:16.080 --> 14:22.960]  In the sporting complex all this the the phillies the eagles the sixers all of their stuff is all in one big area
[14:23.440 --> 14:26.800]  Way down in south philly so it's easy from that like if i'm going to a game
[14:27.280 --> 14:32.480]  I just walk to the what we call the broad street line the one that goes north south hop on that and go south
[14:32.560 --> 14:33.760]  And it's great
[14:33.760 --> 14:34.720]  um
[14:34.720 --> 14:38.960]  If you want to go anywhere off that plus grid, it's not so great. I mean there's buses but
[14:38.960 --> 14:45.280]  Yeah, yeah, no, I mean even in the cities now with great public transportation new york, obviously london being another
[14:46.000 --> 14:52.720]  Uh, it's still you're still seeing uber lift and and all all the rest sort of just taking over and becoming huge
[14:52.720 --> 14:56.800]  In all these markets just because I mean, I think there's a number of things at play
[14:56.800 --> 14:59.600]  but but the convenience factor, of course, like just
[15:00.160 --> 15:05.440]  Dialing up something and it and it being there right at your doorstep and taking you exactly to where you need to go
[15:05.440 --> 15:12.240]  Um, uh, you know just makes sense for a lot of people you you talked about your your wife and yourself sort of thinking about
[15:12.240 --> 15:18.080]  If zipcar would make sense, you know when megan my wife and I moved over to london. We sold our cars
[15:19.280 --> 15:24.720]  Here in san francisco. And so when we came back, um, you know, we we thought about what what should we do
[15:25.280 --> 15:28.880]  And right now we still don't have cars. It's been almost a year neither one of us have a car
[15:29.600 --> 15:32.480]  And we do use uber to get everywhere basically
[15:32.480 --> 15:38.480]  A few times we've rented a car like if we're going, um, you know for an extended trip up north or down south
[15:40.080 --> 15:46.720]  But for you know, 99 of our our travel now is with uber and I want to preface that a little bit because I know i'll sound
[15:46.720 --> 15:52.640]  Like the you know that I sound like a silicon valley perhaps stereotype. Um, yeah, we can get everywhere
[15:52.640 --> 15:57.680]  We need to go on uber but like the reality is in a lot of I think metro areas now
[15:57.680 --> 16:03.200]  It can be cheaper depending on
[16:04.160 --> 16:06.560]  Your situation and depending on what you need to do
[16:06.560 --> 16:13.680]  It's obviously a little bit different if you have children and and some other life situations, but uh for the situation that we're currently in
[16:14.240 --> 16:19.680]  It's definitely cheaper for us to to use something like uber and uber x and now uber pool like, you know
[16:19.680 --> 16:26.240]  The uh, the carpooling version of it to get around a city versus owning a car having to pay insurance having to pay for gas
[16:26.240 --> 16:29.120]  Having to pay for parking and everything else that's included
[16:30.640 --> 16:34.800]  Yeah, and it's just it's just one of those things that like it's really opened my eyes to
[16:36.320 --> 16:40.080]  Just I I think I know it sounds so obvious it sounds such a duh
[16:40.080 --> 16:41.680]  But it's like good god
[16:41.680 --> 16:46.960]  Look at all these cars that are parked everywhere and and I know that this is part of the just the basic argument
[16:46.960 --> 16:50.080]  but it's that that the industry is ripe for transportation, but
[16:50.720 --> 16:54.640]  when you're in a city and you just see cars parked everywhere and you see
[16:54.640 --> 16:56.640]  Everywhere and you see, you know
[16:56.960 --> 17:02.960]  buildings that are just parking garages just stacked with cars and you just think all these cars are just sitting here for hours and
[17:02.960 --> 17:05.200]  hours and hours and you think like, you know, and
[17:05.840 --> 17:06.880]  an uber
[17:06.880 --> 17:08.880]  Uh is you know
[17:08.960 --> 17:10.160]  Is always in motion? Yeah
[17:10.160 --> 17:14.720]  I mean, I think that that's a good point and it's something that that gets talked about a little bit but not enough
[17:14.880 --> 17:20.000]  And I think it will be talked about more and more as this becomes more of the reality in more places
[17:20.080 --> 17:22.080]  but you're exactly right like
[17:22.080 --> 17:29.300]  Imagine the future, you know, whether it's it's uber and lift or the eventual sort of self-driving car elements
[17:29.780 --> 17:31.780]  Uh where all of a sudden
[17:32.020 --> 17:37.860]  All of these spaces and cities are unlocked that are just used as you said to sort of like house cars that just sit
[17:37.860 --> 17:39.620]  There all day, which is ridiculous
[17:39.620 --> 17:41.620]  So much so much of city life
[17:41.780 --> 17:48.500]  Is uh taken up by these giant parking garages and when you can unlock that and you no longer need those like cities become
[17:48.500 --> 17:54.020]  You know much better as a result of having all that space sort of freed up and you can put any number of things there
[17:54.020 --> 17:58.260]  Anything you want all these, uh, you know, who knows how much square footage is out there
[17:58.260 --> 18:01.300]  That's that's just devoted to parking but it is a ton
[18:02.820 --> 18:06.260]  Yeah, it's it's you know, and when you think about it and you just don't
[18:06.820 --> 18:11.060]  You know like again, it's like, you know when I first came to philly, you know
[18:11.620 --> 18:15.780]  For college in the early 90s it I just assumed that the city would be full of cars
[18:15.780 --> 18:19.860]  So that's just the world as I knew it. But as I you know question it now, it's
[18:20.420 --> 18:22.420]  This seems ridiculous
[18:22.820 --> 18:24.820]  Yeah, I still do wonder so
[18:25.220 --> 18:30.980]  I grew up in a suburb outside of cleveland. Um, and you know, it's a fairly typical
[18:32.260 --> 18:34.740]  You know midwestern like suburb. Um
[18:35.540 --> 18:36.500]  and
[18:36.500 --> 18:42.820]  There obviously it's not super dense and you had to drive everywhere. And so i've been home a few times
[18:42.820 --> 18:46.260]  um, you know in the past few years and uh, it's
[18:47.220 --> 18:51.700]  They have uber and I do take it but it's not nearly
[18:51.860 --> 18:57.380]  Of course as ubiquitous as it would be in the city like even in downtown cleveland. It would be a lot more ubiquitous. Of course
[18:58.420 --> 19:04.020]  And so I do wonder for like the the suburbs and outside regions like how long that will take to tip
[19:04.020 --> 19:09.460]  But I still think it will like it's just it just I think it will spill out from the cities
[19:09.460 --> 19:13.860]  Into that and it's just a matter of having enough. Um, you know cars
[19:14.420 --> 19:18.580]  On the roads that are that are performing those tasks to be able to do it in a suburban
[19:18.820 --> 19:20.980]  Area as well. Like I know a lot of people still think
[19:21.620 --> 19:23.860]  Um in the suburbs, it's just not feasible
[19:23.860 --> 19:28.580]  You have to go grocery shopping, you know and do all these things that are sort of always a drive away
[19:28.580 --> 19:33.300]  But again at scale i'm not so sure that that's totally unreasonable
[19:34.020 --> 19:36.020]  I was listening to
[19:36.020 --> 19:40.420]  Um one of bill simmons podcast recently and he
[19:42.580 --> 19:49.700]  He I think only half in jest he has a theory that because of uber there are more people having
[19:49.940 --> 19:51.940]  accidental third kids
[19:51.940 --> 19:53.620]  because
[19:53.620 --> 19:57.300]  uber the existence of uber makes it so much easier for
[19:57.940 --> 20:02.500]  Like parents with kids to go out and have a couple drinks at dinner
[20:02.500 --> 20:07.140]  Yeah, than they would in the past like if you had to drive some one of the two of you would have to yeah
[20:07.540 --> 20:12.260]  You know would have to abstain and if both of you know, if you just take an uber to dinner you can both
[20:12.260 --> 20:16.980]  You know, you can both drink and so his theory there's gonna be a lot more families with three kids instead of two
[20:16.980 --> 20:20.980]  That's pretty funny. I like that the the uber boom, you know, like of uh, right
[20:22.260 --> 20:27.700]  Uber's helping the world, uh in in uh in families with families. That's what it's all about
[20:27.700 --> 20:33.140]  But there it's it seems funny because it's you know, it's just a funny idea that people are going to
[20:34.020 --> 20:38.580]  Have extra babies, but but there's a certain logic to it. Yeah. Yeah, I do think it's I mean, don't you?
[20:39.140 --> 20:42.180]  You know, it's sort of the the flip side of that just in general
[20:42.180 --> 20:47.540]  Isn't it great to know like with when you go out in a city or or not anywhere really?
[20:48.180 --> 20:52.580]  You know when you want to have a few drinks like you just do not have to worry about it
[20:52.580 --> 20:57.940]  And that just was not the reality 10 years ago, of course
[20:57.940 --> 21:00.100]  Right, and there's parts of of philly. Um
[21:00.900 --> 21:06.820]  You know, there's I mean it doesn't matter. It doesn't mean anything to if you're not here but like an area we call fish town and and
[21:07.460 --> 21:12.820]  It's like the the gentrified area like the part that was really kind of sketchy even 10 15 years ago
[21:12.820 --> 21:17.620]  And there's all it's sort of like the that's where all the hipster stuff is but there's lots and lots
[21:17.620 --> 21:20.020]  I mean because of that there's it's all sorts of
[21:20.020 --> 21:23.300]  new restaurants that open up open up in that area and it's
[21:24.340 --> 21:31.620]  Always even now that it's more popular grossly underserved by cabs so like you can get a cab to go there easily
[21:31.620 --> 21:34.980]  But then when you want to leave you are, you know
[21:35.700 --> 21:39.060]  Good luck, you know you can and it's actually the type of thing where you you know
[21:39.220 --> 21:43.620]  You'd actually like call a cab company which you know seems like such an old-timey thing to do
[21:43.620 --> 21:47.540]  But then you you know, you wait right and it's like every time I remember from you know
[21:48.100 --> 21:51.860]  In the old days before uber and stuff like that if I did call for a cab
[21:52.500 --> 21:55.300]  You know, you could wait half an hour and then they don't come. Oh, yeah
[21:55.300 --> 22:01.140]  I mean that was that was very much the reality of the situation when I got to san francisco almost 10 years ago
[22:01.780 --> 22:07.060]  And of course this is you know, the everyone knows the thing now like part of the reason why uber came into existence
[22:07.060 --> 22:08.900]  I mean the main story was that
[22:08.900 --> 22:14.100]  They were in uh, paris and and sort of at a at a tech conference and sort of talking about you know
[22:14.100 --> 22:16.180]  Like wouldn't it be cool to have a black car service or whatever?
[22:16.740 --> 22:19.220]  But the reality is that when they got back to san francisco
[22:19.620 --> 22:24.980]  Everyone was living in this reality where san francisco public transportation was awful and it still is awful outside of uber
[22:25.140 --> 22:27.380]  You know muni is the the line here
[22:27.380 --> 22:33.460]  That's um, the public transportation that goes down all the time and is always running late and it's it's a constant joke
[22:33.460 --> 22:38.660]  If you follow like matt honan on on twitter, it's like 50 of his tweets are complaining about muni
[22:39.540 --> 22:45.540]  And then we have the bard system, which is we have all these like sort of half-baked, uh, public transportation things
[22:45.700 --> 22:48.900]  But when I moved to san francisco, I lived in an area called russian hill
[22:49.220 --> 22:54.900]  Uh, which was not connected to any or near any of the public transportation aside from the cable cars
[22:54.900 --> 22:57.940]  Which I would take every once in a while, which is sort of ridiculous
[22:57.940 --> 23:04.260]  Because it's very much, you know, like a tourist thing. And so i'm on there with you know, 50 tourists and i'm trying to take this
[23:04.260 --> 23:10.420]  To commute, uh into soma. Um, and it takes forever because it goes slow to to appreciate the view or whatever
[23:11.060 --> 23:16.980]  But that was the reality, uh of public transportation for me when I moved to san francisco and yeah
[23:16.980 --> 23:20.100]  So like you would see a cab every once in a while
[23:20.100 --> 23:24.020]  But if you if you would have to get lucky to get a cab every once in a while
[23:24.020 --> 23:29.460]  But if you if you would have to get lucky to sort of spot one out there and that was even still like a better
[23:30.340 --> 23:36.820]  Situation than trying to call one. I mean I remember I would call them from my apartment in russian hill and and it would be
[23:36.820 --> 23:40.900]  Often like a 45-minute wait and and about half the time they just wouldn't show up at all
[23:40.900 --> 23:44.500]  So you couldn't trust it and so like when people are talking about, you know
[23:44.500 --> 23:50.260]  like like there's just simple things that led to the rise of of services like uber and they just
[23:50.260 --> 23:55.540]  Why the the cab companies get all mad like, um, you know that that this is happening to them. It's like
[23:56.340 --> 23:58.340]  I mean, they really did do it to themselves
[23:59.140 --> 24:05.140]  Yeah in philly it's again a long story short but the cab situation here is i've told this story on the show before but
[24:05.460 --> 24:07.460]  It really is true philly's cabs are
[24:08.340 --> 24:11.460]  Really lower less regulated in terms of like in
[24:12.020 --> 24:16.580]  Just the I mean we have it's just like new york and other big cities where you have to have a taxi medallion
[24:16.580 --> 24:18.980]  And they limit the number of medallions, you know
[24:19.620 --> 24:26.740]  So it's like artificial scarcity, but the actual cars themselves don't have very high inspection standards and new york
[24:27.140 --> 24:33.860]  Does and so most of the cabs on the road in philadelphia are cabs that failed?
[24:34.660 --> 24:41.700]  Regulate, you know inspection. Oh, that's funny. I just ship they just ship them down the jersey turnpike and sell them to cab companies in philly or
[24:41.700 --> 24:47.460]  Police cruisers, uh, uh, the last time I couldn't remember the name of the car crown victoria's just uh,
[24:47.780 --> 24:53.140]  and and some of them you if you actually pay attention to the crown vic cabs in philly you can actually still see the ones that
[24:53.380 --> 24:54.820]  Have the police
[24:54.820 --> 25:00.840]  In the back. They just they just paint them. They just paint over that's funny and they're just and everybody knows that police officers
[25:01.380 --> 25:05.140]  abuse their cars their cars, you know, they drive them up curbs, you know, they're
[25:05.780 --> 25:09.940]  They're you know, they're in action. And then once the police are like, oh my god, they're in action
[25:09.940 --> 25:14.100]  And then once the police are like, wow, this isn't even good enough to use for a police cruiser anymore
[25:14.180 --> 25:20.020]  Then they just sell them to a cab company in philly and they're just really again. This is a total white wine
[25:20.100 --> 25:23.220]  This is absolutely coming from a position of privilege
[25:23.780 --> 25:30.820]  Um, but the the cap most of the cabs in philly, they're just gross. They're just grossed as beer. They don't smell good. Um,
[25:31.940 --> 25:33.860]  The air conditioning is a lot of them
[25:33.940 --> 25:38.100]  Especially the crown fix and then the crown fix are they're there because they're not making them anymore
[25:38.100 --> 25:41.220]  And so slowly but surely they're getting off the roads and they're being replaced
[25:41.780 --> 25:43.620]  by
[25:43.620 --> 25:47.620]  Newer cars, um, but like the crown fix they all have the um
[25:48.580 --> 25:50.580]  the safety style
[25:50.580 --> 25:55.620]  Divider between you and the the cab driver, you know with plexiglass and most of them
[25:55.700 --> 26:00.100]  There's just like this gross. I swear to god like a two-inch diameter tube
[26:00.580 --> 26:05.620]  Down on the floor coming from the front which is where the heater air conditioning gets sent to the back
[26:05.620 --> 26:06.900]  Yeah
[26:06.900 --> 26:10.980]  Oh, that's great. I guess at first I thought you were going that's where sort of the uh,
[26:11.220 --> 26:15.540]  The the driver discharges, uh when they've been driving for a long time, so that's slightly better than that
[26:15.620 --> 26:17.620]  But yeah, it's slightly better. It's definitely better
[26:18.420 --> 26:21.460]  Um, but yeah, like imagine like an accordion style
[26:22.260 --> 26:24.260]  Tube, you know like a plastic tube like this
