[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[06:07.660 --> 06:15.120]  But the thing for me was that they didn't have the ability to play podcasts through third-party apps over the watch to air pods
[06:15.480 --> 06:21.120]  Working quite right yet, you know, and I know Marco Arman is working on it with overcast. Like that's my podcast app
[06:21.920 --> 06:28.500]  So like the dream would be for me to be able to go jogging with just the watch and air pods with no
[06:28.500 --> 06:36.220]  phone hmm, like yeah in a goofy I like when I do take it I put it in a goofy fanny pack that I tuck under my
[06:36.220 --> 06:40.020]  You know, I put it under my shirt, but I still feel ridiculous even just knowing it's there
[06:41.400 --> 06:44.380]  So that's my dream and I might so I might use cellular
[06:44.380 --> 06:49.100]  But I feel like if it warms up and that problem still isn't solved the next time I buy a watch
[06:49.100 --> 06:51.100]  I'm not going to get the cellular
[06:51.460 --> 06:58.180]  And yeah, I just like I did retest it and obviously, you know, I had my issues with the series 3 cellular
[06:58.180 --> 07:02.300]  So it's very I know they corrected all of them since my original review of that
[07:02.300 --> 07:06.180]  But so I tested it on the series 4 and I was just like it's not worth the extra money for me
[07:06.180 --> 07:09.240]  Yeah, I just don't I just personally don't know I'm paying for it
[07:13.780 --> 07:18.220]  But actually I had to call Verizon earlier this week and then I asked about that and like oh sorry
[07:18.220 --> 07:22.640]  We need to transfer you to another section and then I was like on hold for 10 minutes and I had another meeting come up
[07:22.640 --> 07:24.640]  So I just hung up on customer service
[07:24.640 --> 07:28.440]  So and cuz I can't cancel it through the Verizon app for some reason. Oh
[07:29.720 --> 07:31.720]  For the reason that you can never do anything
[07:32.280 --> 07:35.000]  Yeah, but that's true. So true, right? They've
[07:36.280 --> 07:41.400]  definitely want you to have to suffer and then maybe give up but before you do anything to
[07:41.960 --> 07:47.240]  To do that and they've accomplished it. Yeah, I had a terrible time. I
[07:48.960 --> 07:53.640]  Have what was my story? I think I've told this on the show before so I'll try to keep it short and I now forget
[07:53.640 --> 07:56.800]  The details but I had an absolutely horrible time
[07:57.960 --> 07:59.280]  getting an
[07:59.280 --> 08:04.000]  Apple watch replaced like I I I think it's this one
[08:04.000 --> 08:07.560]  I have this series 3 like so at some point last year the one that I bought
[08:08.400 --> 08:13.760]  Broke I forget what happened, but it was clearly like a software. It just it just was dead. That's right
[08:13.760 --> 08:16.820]  Hmm, I think I had like a water problem or something
[08:16.820 --> 08:22.680]  I was we were on vacation and I was just in like the pool was literally like
[08:22.680 --> 08:28.880]  It was I was actually talking to my family that the pool wasn't even deep enough for me to feel like I could
[08:29.280 --> 08:32.200]  You know even sit and get wet. It was like a baby pool
[08:33.080 --> 08:35.480]  So I clearly didn't exceed the limit
[08:35.760 --> 08:41.000]  You know the depth limit for the Apple watch and I looked at my Apple watch and it was just black and touching it didn't
[08:41.000 --> 08:42.740]  Do anything and I thought it was cuz my hand was wet
[08:42.740 --> 08:48.600]  But it never turned on again and plugging the charger and even after charging it, right? Right even if you get the snake
[08:48.600 --> 08:51.520]  Did you get the snake thing? No, nothing nothing on screen
[08:51.520 --> 08:55.720]  Mm-hmm, you know, it's just completely dead. I mean and because I was in a pool
[08:55.720 --> 08:59.360]  It's clear that there was some kind of water got in and shorted it out and it was dead
[08:59.360 --> 09:03.720]  I took her store and you know, they had no questions asked replaced it
[09:03.720 --> 09:11.240]  Although the thing that was annoying was that they didn't give me one on the spot like in the Apple store
[09:11.240 --> 09:17.040]  It was like, okay, you know, we you know, we totally agree that this is you know, and it's well within the warranty
[09:17.040 --> 09:22.040]  We'll send you a new one and I had a wait, you know, wait like three days. Yeah, that seems weird
[09:22.040 --> 09:26.680]  It seems like they should just give me one from the back from the store. Yeah, because I could buy one, you know
[09:27.800 --> 09:33.660]  But I guess they don't stock them and and the replacement came in the most adorable little package because all they sent me was the watch
[09:33.660 --> 09:40.760]  Not the bands not the bar and no box right? No, not the traditional long. No, it's the just it's it's a box
[09:40.760 --> 09:44.300]  Just an adorable little box. That's just big enough to hold an Apple watch
[09:44.300 --> 09:49.920]  Um, it's funny that you mentioned the box. Well go on and I'll tell you why well, the problem was that
[09:50.940 --> 09:58.780]  it was like that it was like my phone still remembered my old watch that I had given that's dead and I had given to Apple and
[09:59.500 --> 10:02.580]  I set up the new one and like
[10:03.660 --> 10:09.860]  it's like that whole process of like restoring from a backup with the watch is just crazy to me right and
[10:09.860 --> 10:15.500]  And and and hopefully the one they sent you did have watch OS 5
[10:16.020 --> 10:22.340]  Yeah, but it because that that is one of the most frustrating things I've encountered with Apple in the last year
[10:22.340 --> 10:25.140]  It is trying to update the right a watch OS
[10:25.500 --> 10:31.380]  Full version number is like it can take days right the bottom line of restoring it
[10:31.380 --> 10:34.220]  I forget what I wound up doing if I restored or just set up new
[10:34.220 --> 10:39.380]  I think just setting it up new every time is the better way to go because there's really nothing on the watch that that's worth
[10:39.380 --> 10:40.420]  keeping
[10:40.420 --> 10:45.820]  Activity data should sync right like you could still have that in your iCloud your and it's on our phone
[10:45.820 --> 10:51.020]  Yeah, it's on your phone in your in your history. So, you know, I don't think you need I mean settings, right?
[10:51.220 --> 10:57.120]  You have to re customize your watch faces. Actually, that's true because I just did this too. I got a new iPhone 10r
[10:57.740 --> 11:01.300]  needed to pair it with the watch my watch and
[11:02.340 --> 11:05.100]  Did the same thing and set it up as new and was like, oh, you know
[11:05.100 --> 11:11.260]  I spent so long customizing this watch face with my colors and my little yeah, you know complications. Yeah, and
[11:11.780 --> 11:14.580]  I think it's neat that they give you so many colors, you know
[11:14.580 --> 11:16.420]  Like there's some of these watch faces where it's like, all right
[11:16.420 --> 11:20.460]  You can pick the color of the seconds hand and and it's like a list of like 40 colors
[11:21.260 --> 11:27.180]  It's like the color of the rainbow for the I do the I don't even know the name of it the one that's like I put
[11:27.180 --> 11:33.260]  Something in each corner a complication in each corner and then there's the one in the in the center right at the time in the center
[11:33.260 --> 11:34.500]  but
[11:34.500 --> 11:38.740]  I actually so I did this big massive send back of all my review units and
[11:39.020 --> 11:42.820]  I had a number of watch review units and they just kind of had been sitting here and
[11:42.900 --> 11:47.500]  For those interested the reason I keep a lot of these review units is like I usually try to
[11:47.780 --> 11:53.780]  Test the new version against last year's version even though I don't use the models that are around I buy my own
[11:54.380 --> 11:55.380]  They sit here
[11:55.380 --> 12:00.980]  And so I was packaging up a ton of these Apple watches and I was just thinking like the box is like the most
[12:00.980 --> 12:03.460]  inefficient Apple packaging I think ever
[12:04.780 --> 12:07.700]  Because the phone is so compact you have a small box
[12:07.700 --> 12:12.180]  Yeah, the MacBooks are as compact as they I feel like they can be because you've got the you know
[12:12.180 --> 12:20.320]  The chunky charger below it, but the watch is like the the the box height is like five times the height of the watch
[12:20.460 --> 12:25.100]  Yeah, yeah, that's true. And it's yeah and they ship it long the long way
[12:25.100 --> 12:33.380]  yeah, and I guess that makes sense for certain of the straps like I guess maybe you I don't know the strap is so narrow in
[12:33.380 --> 12:35.380]  The little in in there, right?
[12:35.380 --> 12:41.440]  Like why not ship it sort of like already like rolled up, you know
[12:42.020 --> 12:48.340]  Yeah, the length of the box too is quite long for what you like if it's like it is a giant wrist if you need
[12:48.340 --> 12:54.020]  A that length of a bands. Yeah, you know, it's a different conversation. We should have
[12:54.020 --> 12:57.740]  Yeah, well anyway, here's the thing when I got that replacement watch the biggest problem I had
[12:57.740 --> 13:00.860]  So setting it up the Apple aspect of it was sort of annoying
[13:01.460 --> 13:05.920]  Replacing it and having my phone still think it knew the old watch and I was just like forget about that watch
[13:05.920 --> 13:10.980]  I can't you know and it was like it the phone wants to connect to the old watch to wipe it and it's like it
[13:10.980 --> 13:14.540]  Can't it the phone is dead and I don't even have it anymore or the watch is dead
[13:14.540 --> 13:15.420]  I can't don't even have it anymore
[13:15.420 --> 13:20.380]  Anyway solve that the biggest problem was the new watch wasn't on my cellular account
[13:20.380 --> 13:26.440]  Like it and and I had been told at the Apple Store that down out you just set it up restore it and it'll take
[13:26.440 --> 13:31.440]  Over the the cellular spot that the old one had so I was paying still paying for the old one cellular
[13:31.480 --> 13:35.320]  had a new replacement cellular watch and couldn't do it and I I
[13:35.840 --> 13:40.440]  Spent a long time trying to do it myself on Verizon's website couldn't do it
[13:41.160 --> 13:46.080]  Called them and I got the nicest woman. She was so great
[13:46.080 --> 13:50.760]  She was just a really really nice woman, but I could tell as we were talking to her
[13:50.920 --> 13:52.480]  She understood the problem
[13:52.480 --> 13:55.400]  But I could tell that she was just going through the Verizon website
[13:55.680 --> 13:59.840]  Like as she was describing what she was doing and I was like, I don't think that's gonna work
[13:59.840 --> 14:04.120]  But you know, maybe you'll find something I didn't and I swear I timed it like cuz you know
[14:04.120 --> 14:07.860]  You're the one thing about yeah phones is they tell you how long the call is
[14:07.860 --> 14:14.200]  I was on the phone for like 57 minutes and it wasn't because I was on hold. It was a 57 minute phone call
[14:14.200 --> 14:20.580]  Where you know, she did have to put me on hold eventually and go talk to like, I don't know somebody
[14:21.240 --> 14:28.000]  Else and eventually it got taken care of but it literally took me 57 minutes on the phone with Verizon just to get my replacement
[14:28.320 --> 14:31.540]  Watch to take over the cellular spot that I was already paying for
[14:32.160 --> 14:37.200]  Yeah, I feel like actually that's sometimes more frustrating when you've got someone nice who's trying to help
[14:37.200 --> 14:41.280]  Yeah, doesn't know the answer. She was mean, you know, you're like
[14:41.280 --> 14:48.560]  You try and yeah, like I'm sure many of the listeners to your podcast who feel many times like we feel
[14:48.560 --> 14:51.240]  We're like we know more than you probably
[14:51.440 --> 14:55.440]  Yeah about some of this and that you try not to come off like that
[14:55.440 --> 14:58.600]  And I mean, maybe I'm the only one who tries not to come off that way
[14:58.600 --> 15:02.360]  but I'm like I hear you but maybe you can try this and
[15:03.020 --> 15:07.800]  You just end up feeling like you're gonna you're never gonna get off the phone and your problems never gonna be solved
[15:07.800 --> 15:10.360]  Yeah, so here's another thing I wanted to talk to you about
[15:10.360 --> 15:16.400]  Have you have you used the walkie-talkie feature? I used it when I was testing
[15:16.400 --> 15:17.880]  Yeah, not anymore
[15:17.880 --> 15:24.700]  So Jonas had a series zero Apple watch in other words when the first one that came out we got him
[15:25.120 --> 15:29.340]  And he's worn it and like everything he's taking care of, you know
[15:29.340 --> 15:35.520]  Taking care of it and but it's like it that thing did not get software updates. Yeah. Yeah, it's it
[15:36.120 --> 15:38.600]  Didn't support walkie-talkie. It's all sorts of stuff
[15:38.600 --> 15:42.280]  I don't even know if it got watch OS updates anymore. It doesn't yeah
[15:42.280 --> 15:49.640]  And those things didn't get good battery life to start and four years in he really couldn't get through a day
[15:50.320 --> 15:58.100]  Yeah, but he wore it. He liked it. So for his birthday was last week and we got him a new Apple watch
[15:59.040 --> 16:02.720]  And he was series four. Yes series four
[16:03.200 --> 16:08.360]  Actually got the Nike one because I like the Nike ones just because they come with the extra watch faces
[16:08.360 --> 16:14.560]  The the Nike ones which I think are cool and they're the same price as this regular aluminum ones
[16:14.880 --> 16:19.120]  And if you don't like the Nike stuff, you don't you don't see it, you know
[16:19.120 --> 16:23.360]  There's no Nike logo on the actual watch. If you don't like the Nike strap, you don't have to wear it
[16:24.000 --> 16:28.960]  But that strap is cool. It looks like Swiss cheese. I like those those I like the holes
[16:28.960 --> 16:33.000]  I like the ones with the holes better than the the regular Apple ones that don't have the holes
[16:33.000 --> 16:35.000]  Yeah, if you don't like them swap them out
[16:35.920 --> 16:38.080]  So now he's got a new Apple watch. He was very happy with it
[16:38.080 --> 16:42.760]  but had to decide do we get cellular or not and I thought you know, it's like a hundred bucks more and
[16:43.320 --> 16:47.760]  $10 a month and I just it's not wasn't like I was trying to cheap out on it
[16:47.760 --> 16:49.760]  But I honestly don't think it's worth it
[16:50.320 --> 16:55.960]  Because he's never without his phone like I can't imagine the scenario where I mean
[16:55.960 --> 17:02.520]  I guess theoretically if his phone was stolen or lost, you know, and he still has watch on that might be convenient but it
[17:03.400 --> 17:07.600]  You know, I don't know it just seems like I I I just don't see the use case for it
[17:07.600 --> 17:12.280]  But anyway, now he's got walkie. He's got a watch that supports walkie-talkie. It's so much fun
[17:12.480 --> 17:19.080]  Is he bothering you all the time? No, no, but it's like in school and he's under his desk being like no
[17:19.080 --> 17:23.360]  I haven't come in. I haven't got one from school yet, but I'm waiting for dad come in
[17:24.760 --> 17:26.760]  But it's a really fun feature and
[17:27.240 --> 17:32.640]  We have a house where we're stacked. It's a townhouse and you just can't you know, like from the living room
[17:32.640 --> 17:35.400]  You can't yell to his bedroom and expect him to hear you
[17:35.400 --> 17:39.140]  But being able to walkie-talkie to him that like hey dinners dinner in two minutes
[17:39.880 --> 17:44.000]  It's really super convenient. That's where we have the same situation now
[17:44.000 --> 17:48.040]  We have just working on well on one floor to another floor. I have the Alexa
[17:49.120 --> 17:51.120]  conference set up
[17:51.920 --> 17:52.560]  But yeah
[17:52.560 --> 17:54.680]  I didn't think about the watch and the other
[17:55.080 --> 17:58.840]  The other problem with walkie-talkie and the reason I've only discovered the fun of it
[17:58.840 --> 18:10.560]  Other than just testing that it worked in the review period is that Amy did have? does have a series-3 watch that is walkie-talkie capable and she refused to accept my invitation
[18:11.480 --> 18:13.480]  She's like she doesn't want to be bothered
[18:14.440 --> 18:16.440]  exactly
[18:17.760 --> 18:24.360]  Yeah, I mean it's I mean there's stuff built it right you go back and forth so it like you initiate and then you're connected and
[18:24.360 --> 18:25.240]  You can go back and forth
[18:25.240 --> 18:31.580]  So I guess she couldn't like you couldn't interrupt her during a time where she doesn't even just didn't even want to try it
[18:32.000 --> 18:35.160]  Yeah, I understand. I'm on team Amy
[18:35.760 --> 18:37.760]  Yeah, no, I mean
[18:37.960 --> 18:44.920]  Maybe that's a better solution. It's my wife both where the Apple watch instead of getting another Amazon indirect. Um, yeah
[18:45.760 --> 18:48.880]  It really works well for that feature. I mean I it's
[18:49.800 --> 18:54.600]  It's really fun. I really it I was unconvinced that it wasn't a gimmick
[18:54.600 --> 18:58.920]  You know, I technically I tried it in a work, but I find that it's really cool
[19:00.480 --> 19:06.720]  Yeah, I guess if you're like at a play like a concert or something you like want to keep well a concert be hard
[19:06.720 --> 19:09.000]  Cuz you wouldn't be able to hear it loud. Yeah, or like
[19:09.800 --> 19:12.000]  Yeah, you kind of need to text at a concert
[19:12.000 --> 19:16.320]  But the other thing though that I find myself doing because I do use Siri dictation a lot
[19:16.320 --> 19:21.120]  You know where I'll dictate a text, you know, if I'm especially in the winter, you know
[19:21.120 --> 19:26.780]  What it might have gloves on or something like that. And when I'm talking to Jonas on the walkie-talkie thing, I find myself
[19:27.520 --> 19:31.200]  almost on the cusp of like saying period or
[19:31.720 --> 19:33.720]  question mark
[19:34.600 --> 19:40.880]  Like I'm so used to if I'm talking into my watch I'm I'm I need to spell out the punctuation
[19:41.480 --> 19:47.720]  That's that's actually really funny because it's like I I do I whenever I think to do the text-to-speech
[19:47.720 --> 19:51.200]  I never remember to do the punctuation and
[19:51.760 --> 19:55.880]  Like I because I it's just not part of my like it's not part of my habit
[19:55.880 --> 20:00.520]  And so I'm always like oh crap and I like delete it and then do it again with the punctuation, right?
[20:00.560 --> 20:06.240]  So it's like so ingrained in your muscle memory to do that. It's just not in mine. Yeah
[20:08.360 --> 20:15.160]  All right, maybe I should take a break here before we get really started you have a bunch of stuff to talk about right I
[20:15.160 --> 20:16.560]  I
[20:16.560 --> 20:21.480]  Mean we could talk about whatever you want to talk about. I want to talk about the iPhone 10r. All right
[20:21.480 --> 20:23.560]  well, let's hold on on that and
[20:24.320 --> 20:27.720]  Right now let me tell you about our first sponsor
[20:29.040 --> 20:30.800]  Believe it or not
[20:30.800 --> 20:33.780]  New new new sponsor on the show LinkedIn
[20:34.520 --> 20:38.240]  Whoa, yeah, the right hire can make a huge impact on your business
[20:38.240 --> 20:40.240]  That's why it's so important to find the right person
[20:40.240 --> 20:46.120]  But where do you find that individual you can post a job on a job board and hope the right person will find your job
[20:46.240 --> 20:51.200]  But think about it. How often do you hang out on job boards? Don't leave?
[20:52.020 --> 20:59.520]  Finding someone great to chance when you can post your job to a place where people go every day to make connections in their career
[21:00.120 --> 21:02.620]  and discover job opportunities LinkedIn
[21:02.620 --> 21:09.540]  Most LinkedIn members haven't recently visited the top job boards, but nine out of ten members are open to new opportunities
[21:11.060 --> 21:18.300]  70% of the US workforce is on LinkedIn posting on LinkedIn is the best way to get your job opportunity in front of more of the
[21:18.300 --> 21:20.300]  right people
[21:20.620 --> 21:22.340]  People who are qualified
[21:22.340 --> 21:28.340]  For the role you're looking for and are ready for something new. There they are. They're right there on LinkedIn
[21:28.340 --> 21:33.460]  it's the best time to find the person who will help you grow your business or fill the roles that you have open a
[21:34.500 --> 21:38.940]  New hire is made every 10 seconds using LinkedIn. That's unbelievable
[21:39.460 --> 21:44.200]  So go to LinkedIn in dot-com slash talk
[21:44.780 --> 21:48.960]  talk that's the code for this show LinkedIn comm slash talk and you
[21:49.660 --> 21:54.300]  By using that URL will get 50 bucks off your first job post
[21:54.300 --> 21:59.940]  That's linkedin.com slash talk and you'll save 50 bucks off your first job post
[22:01.020 --> 22:04.900]  linkedin.com slash talk terms and conditions apply
[22:05.620 --> 22:10.960]  And then you can go to LinkedIn and you can wish me a congrats on my work anniversary
[22:13.580 --> 22:16.420]  Because I just decided to log in to LinkedIn
[22:17.620 --> 22:21.860]  unlike the stat that you provided I don't log in as often as others and
[22:21.860 --> 22:28.140]  I have a lot of people wishing me a happy five-year work anniversary. So
[22:29.380 --> 22:36.080]  Sorry to all of you who wished me this but I didn't respond and likely won't respond. But thank you
[22:36.900 --> 22:39.660]  Five years at the Wall Street Journal. Let's talk about that. I'm yours
[22:40.660 --> 22:43.420]  Sure, what's different now you do a lot more video, right?
[22:44.820 --> 22:50.920]  Yeah, I mean I spent the last year and a half almost two years helping lead our video department
[22:50.920 --> 22:52.620]  which was
[22:52.620 --> 22:54.140]  very
[22:54.140 --> 23:01.220]  Informative about how to how to be a manager. So I did sort of a crash course in management over the last two years
[23:02.980 --> 23:07.700]  But yeah, I mean I spend more time doing my own video and now I'm actually getting back into
[23:08.340 --> 23:11.420]  writing and and making my own videos in a more regular basis because
[23:12.740 --> 23:15.600]  Our video department is running along very smoothly
[23:15.600 --> 23:17.600]  I
[23:18.600 --> 23:20.600]  Was it what's your weekly
[23:21.280 --> 23:26.120]  Output I know you do you try to you get one big sort of column a week
[23:26.240 --> 23:32.440]  It's usually you know, like a review or like a like you were talking before like an investigation into something like no
[23:32.440 --> 23:35.640]  I mean I so before I did my video department gig
[23:35.640 --> 23:42.060]  I became the deputy head of video executive editor a video about two years ago to be two years in March before that
[23:42.060 --> 23:46.920]  I was always I was doing a column once a week and it was at a column in video once a week
[23:46.920 --> 23:50.560]  And that was like it was pretty demanding especially with the video right because the video
[23:51.560 --> 23:55.160]  Takes time to script takes time to shoot edit and then you know
[23:55.440 --> 24:00.360]  Especially lately the ones that I've been doing have been a lot more higher production value and I've been going after some pretty
[24:00.360 --> 24:05.240]  you know crazy stunts in in a way literally stunts with the Apple watch video and
[24:06.400 --> 24:08.000]  So those take a little bit longer
[24:08.000 --> 24:14.160]  But then when I started doing the the video department gig and and more of the management position. I started I moved to
[24:15.040 --> 24:17.380]  About every other week. I published something now
[24:18.560 --> 24:22.800]  Maybe give or take there was a big month the chunk of time or I was
[24:23.040 --> 24:26.080]  I took about six months off from like barely writing at all
[24:26.960 --> 24:28.040]  but now I'm
[24:28.040 --> 24:32.780]  and he I was actually really good period for me because I really started to figure out what I wanted to focus on and how
[24:32.780 --> 24:36.160]  I wanted to broaden out what I what I focus on or write about
[24:36.160 --> 24:40.900]  But you know, the fall is usually Apple stuff. Like it's my year is usually
[24:41.860 --> 24:48.060]  Cover other things in the off season of not covering the big fall gadget season
[24:48.940 --> 24:49.940]  Yeah
[24:49.940 --> 24:51.220]  Yeah
[24:51.220 --> 24:57.180]  Yeah, I don't know. Is that interesting to anyone? No, I think it definitely is I cuz you know, it's I
[24:57.780 --> 24:59.780]  don't think people think about how
[25:00.180 --> 25:03.460]  and they don't they shouldn't they should just you know, see our work and
[25:03.460 --> 25:07.140]  Read what they enjoy but for us on the inside. It is very
[25:08.180 --> 25:15.300]  Cyclical annually, right? And yeah, and and it's even crazier like I was talking to deeter bone about it
[25:15.300 --> 25:17.300]  like it's even crazier for
[25:18.900 --> 25:26.420]  You you you who review stuff outside of Apple but fall just for me reviewing Apple stuff alone is
[25:27.060 --> 25:31.620]  Incredibly, it's crazy. I mean on the other hand and this year for me was crazy, too
[25:31.620 --> 25:38.900]  like I look at me and it actually like I've spoken to some people about this and probably not that publicly but people said to
[25:38.900 --> 25:42.180]  You know, like you really took your reviews in a pretty crazy direction this year
[25:42.180 --> 25:45.940]  Like if you look at the videos I did, you know for the 10 10 s max
[25:45.940 --> 25:53.140]  I got George mirror Sean the big basketball ex basketball player to review it because I was like this thing's giant and I need a
[25:53.140 --> 25:56.420]  Giant to review it and I just was like, let's do that. I
[25:56.420 --> 26:01.940]  the the Apple watch piece I was
[26:01.940 --> 26:07.060]  Ever since they had said on stage like when they said it when Schiller said on stage about the fall detection
[26:07.060 --> 26:09.060]  I think it was Schiller, right?
[26:10.020 --> 26:14.180]  Yeah, I think it was Schiller. I was like I need to test that and best no no no
[26:14.820 --> 26:18.180]  Jeff Williams Jeff Williams. Yeah, you're right. It's Jeff Williams
