[00:00.000 --> 00:02.000]  He says he joined.
[01:52.040 --> 01:53.040]  I'm recording.
[01:53.040 --> 01:54.040]  You guys are recording your end.
[01:54.040 --> 01:55.040]  Mm-hmm.
[01:55.040 --> 01:56.040]  Yeah.
[01:56.040 --> 01:57.040]  That's tight.
[01:57.040 --> 01:58.040]  Let's just...
[01:58.040 --> 01:59.040]  Yeah.
[01:59.040 --> 02:09.240]  Hey, do you know what, just to get it off the top, hey, Suki has said, happy Christmas.
[02:09.240 --> 02:11.200]  Hope you guys are doing well.
[02:11.200 --> 02:12.200]  Happy Christmas.
[02:12.200 --> 02:13.200]  Is that in Canada, too?
[02:13.200 --> 02:14.200]  That's how they say it.
[02:14.200 --> 02:16.700]  For crying out loud.
[02:16.700 --> 02:19.320]  I think it's only in Quebec, though.
[02:19.320 --> 02:20.640]  In what?
[02:20.640 --> 02:21.640]  You know what?
[02:21.640 --> 02:22.640]  Never mind.
[02:22.640 --> 02:23.640]  Never mind.
[02:23.640 --> 02:24.640]  Take it back.
[02:24.640 --> 02:25.640]  Merry Christmas to all.
[02:25.640 --> 02:26.640]  Happy Christmas to all.
[02:26.640 --> 02:27.640]  Good night.
[02:27.640 --> 02:31.000]  Well, and by the time we're done recording, it'll be your birthday.
[02:31.000 --> 02:32.240]  Sure.
[02:32.240 --> 02:35.040]  Happy New Year.
[02:35.040 --> 02:36.040]  Happy birthday, my friend.
[02:36.040 --> 02:38.560]  I thought we were saving that.
[02:38.560 --> 02:41.640]  Just so you know, Jon, I had to...
[02:41.640 --> 02:42.640]  Never mind.
[02:42.640 --> 02:44.240]  Well, what are we saving it for?
[02:44.240 --> 02:48.800]  Well, we're saving it for, I don't know, a surprise where I get to feel like the guy
[02:48.800 --> 02:52.720]  that actually knew it, and you got to be the guy that was surprised by it.
[02:52.720 --> 02:54.720]  That's a hard date to remember, I know.
[02:54.720 --> 02:56.720]  Well, do you know what?
[02:56.720 --> 03:01.200]  I texted Jon earlier, this should go in the show, I hope this goes in the show.
[03:01.200 --> 03:08.480]  I texted Jon earlier, and I'm like, my computer tells me that it's Jon's birthday today or
[03:08.480 --> 03:09.480]  tomorrow.
[03:09.480 --> 03:15.560]  And I'm not sure I believe it, because it could just be a date that got rounded off
[03:15.560 --> 03:16.560]  to like...
[03:16.560 --> 03:21.000]  That would be your extra points now if you know the Mac epoch.
[03:21.000 --> 03:22.000]  No looking it up.
[03:22.000 --> 03:23.000]  Oh, 1970s.
[03:23.000 --> 03:24.000]  Nope.
[03:24.000 --> 03:25.000]  Nope.
[03:25.000 --> 03:26.000]  Nope.
[03:26.000 --> 03:27.000]  January 1st.
[03:27.000 --> 03:28.000]  2004.
[03:28.000 --> 03:29.000]  Nope.
[03:29.000 --> 03:30.000]  1904.
[03:30.000 --> 03:31.400]  I think that's right.
[03:31.400 --> 03:32.400]  I think it's right.
[03:32.400 --> 03:34.280]  The 1904 part sounds right.
[03:34.280 --> 03:36.440]  The January 1st, I'm not sure about.
[03:36.440 --> 03:37.920]  I'm pretty sure it's January 1st, 1904.
[03:37.920 --> 03:43.080]  Well, it has to be January 1st, because honestly, I'm going to bet harder on January 1st than
[03:43.080 --> 03:44.080]  1904.
[03:44.080 --> 03:46.360]  Oh, you got it.
[03:46.360 --> 03:47.360]  January 1st, 1904.
[03:47.360 --> 03:52.440]  Yeah, and the reason, I think, I believe the backstory, I can't believe I know this, and
[03:52.440 --> 03:53.440]  it's not you.
[03:53.440 --> 04:00.720]  I believe the reason they started at 1904 instead of 1900 was, which would be a lot
[04:00.720 --> 04:04.420]  easier because then you could easily convert the...
[04:04.420 --> 04:09.440]  Remember back when we used to do dates, years as two-digit numbers?
[04:09.440 --> 04:10.880]  Just add 1900.
[04:10.880 --> 04:17.600]  But they avoided 1900 because of the weird leap year rules around centuries.
[04:17.600 --> 04:23.020]  And I know 2000 was like the super weird one, where usually if it's a century, it doesn't
[04:23.020 --> 04:30.640]  count as a leap year because it's like you only need 19 non-leap years out of a century
[04:30.640 --> 04:32.320]  to keep the earth.
[04:32.320 --> 04:33.680]  You know what I mean?
[04:33.680 --> 04:35.320]  It's like a weird thing where like 1900...
[04:35.320 --> 04:38.340]  First of all, you don't keep the earth in anything.
[04:38.340 --> 04:43.520]  You keep us aligned with the way that the earth is going.
[04:43.520 --> 04:45.360]  But yeah, definitely.
[04:45.360 --> 04:47.440]  That makes sense.
[04:47.440 --> 04:52.520]  Also, I think it's a little bit of a flipping the bird at convention.
[04:52.520 --> 04:53.520]  Yeah.
[04:53.520 --> 04:55.240]  Well, you know, so you don't run out of...
[04:55.240 --> 04:57.240]  UNIX runs out of years, you know?
[04:57.240 --> 04:58.240]  Right.
[04:58.240 --> 04:59.240]  Right.
[04:59.240 --> 05:01.240]  And then this ran out when?
[05:01.240 --> 05:02.240]  2007-ish?
[05:02.240 --> 05:05.600]  Yeah, something like that.
[05:05.600 --> 05:06.600]  I forget.
[05:06.600 --> 05:11.200]  But the basic idea was that by starting the epoch at 1904, they could have fewer leap
[05:11.200 --> 05:17.400]  year rules in the system, and it wouldn't break until 2100.
[05:17.400 --> 05:23.160]  They were ready for the year 2000, but we're not ready for the year 1900.
[05:23.160 --> 05:29.720]  Anyway, this is a Star Wars Holiday Spectacular.
[05:29.720 --> 05:33.360]  The most erratic annual, semi-annual...
[05:33.360 --> 05:34.960]  What's the word for it?
[05:34.960 --> 05:35.960]  There's bi...
[05:35.960 --> 05:36.960]  Bi-annual.
[05:36.960 --> 05:37.960]  Yeah.
[05:37.960 --> 05:38.960]  Bi-annual is what?
[05:38.960 --> 05:43.800]  Every other year or twice a year?
[05:43.800 --> 05:46.000]  Isn't bi-weekly one of those things?
[05:46.000 --> 05:47.200]  Bi-weekly is the one that means both.
[05:47.200 --> 05:48.200]  Yeah.
[05:48.200 --> 05:49.200]  Yeah.
[05:49.200 --> 05:50.200]  Let's just go with bi-annual.
[05:50.200 --> 05:51.200]  Here's the thing.
[05:51.200 --> 05:52.200]  Here's the thing.
[05:52.200 --> 05:55.320]  Do you know what we didn't talk about?
[05:55.320 --> 05:56.800]  What?
[05:56.800 --> 06:00.000]  Uh, visor Skywalker.
[06:00.000 --> 06:02.320]  Well, see, now I'm getting to that.
[06:02.320 --> 06:03.320]  We just skipped it.
[06:03.320 --> 06:04.320]  We just skipped it.
[06:04.320 --> 06:05.320]  Let me...
[06:05.320 --> 06:06.320]  There was other opportunities...
[06:06.320 --> 06:07.320]  As is appropriate, I think.
[06:07.320 --> 06:08.320]  Right.
[06:08.320 --> 06:09.320]  I think so, too.
[06:09.320 --> 06:10.320]  Let me...
[06:10.320 --> 06:11.320]  I think so, too.
[06:11.320 --> 06:12.320]  Let me get through the introduction.
[06:12.320 --> 06:13.320]  I'm sorry.
[06:13.320 --> 06:14.320]  Here's the way it goes.
[06:14.320 --> 06:15.320]  Good luck.
[06:15.320 --> 06:18.960]  It's not every year, but it's most years.
[06:18.960 --> 06:22.840]  But there is no set schedule, so it's like errata-annual.
[06:22.840 --> 06:25.080]  It's erratically annual.
[06:25.080 --> 06:30.760]  During the break between Christmas and New Year's, there's a holiday Star Wars spectacular
[06:30.760 --> 06:40.160]  episode of this podcast, and we talk about Star Wars, and we did it for The Rise of Skywalker.
[06:40.160 --> 06:41.160]  Nope.
[06:41.160 --> 06:42.160]  Nope.
[06:42.160 --> 06:43.160]  Nope.
[06:43.160 --> 06:44.160]  Nope.
[06:44.160 --> 06:46.000]  We did it for...
[06:46.000 --> 06:49.800]  We did it for...
[06:49.800 --> 06:50.800]  The Last Jedi.
[06:50.800 --> 06:56.040]  You know 1904, but you don't know the name of the second most recent Star Wars movie.
[06:56.040 --> 06:57.920]  I don't remember which one we did it for.
[06:57.920 --> 06:58.920]  The Last Jedi?
[06:58.920 --> 07:00.920]  That was the one before The Rise of Skywalker.
[07:00.920 --> 07:04.920]  I do love that he's got 1904 off the top of his tongue.
[07:04.920 --> 07:05.920]  That's pretty great.
[07:05.920 --> 07:06.920]  No.
[07:06.920 --> 07:08.080]  Well, you know what?
[07:08.080 --> 07:09.800]  This brings me to a good point, though.
[07:09.800 --> 07:14.760]  I think it's me getting older, but one of the points I want to talk about is that I
[07:14.760 --> 07:20.340]  remember the obscure names of spaceships and characters, characters who had no lines or
[07:20.340 --> 07:27.000]  no lines in English from the original trilogy, and there are major characters in The Mandalorian
[07:27.000 --> 07:31.000]  and the new Star Wars movies whose names I'll never remember.
[07:31.000 --> 07:34.040]  They're right in front of me, and then I can look away from the piece of paper and I'll
[07:34.040 --> 07:35.800]  forget them.
[07:35.800 --> 07:38.220]  So I think the 1904 thing qualifies as that.
[07:38.220 --> 07:44.840]  That got seared into my young brain, which had great memory, and the new stuff won't.
[07:44.840 --> 07:52.920]  And they have the Mac Epoch action figure from Kenner, which really cemented that.
[07:52.920 --> 07:53.920]  You know what?
[07:53.920 --> 07:57.720]  You had to get the character names right because you had to make your Christmas list.
[07:57.720 --> 08:04.920]  See, now this is where there's that massive overlap between the three of us.
[08:04.920 --> 08:07.960]  There's a lot of things we all love, and then we're all different in our own ways, but I
[08:07.960 --> 08:12.320]  feel like one way that all three of us would agree is that when you were asking for Star
[08:12.320 --> 08:21.000]  Wars toys, I made a very precise list that was unambiguous and could not possibly have
[08:21.000 --> 08:28.840]  generated any mistakes or errors in terms of, like, should the X-wing toy be the full-size
[08:28.840 --> 08:33.400]  toy that you could put the action figure in or the smaller die-cast model?
[08:33.400 --> 08:35.840]  Well, I didn't want to have any ambiguity.
[08:35.840 --> 08:40.480]  I needed the one you could put the action figures in, and so I put, like, I forget how
[08:40.480 --> 08:41.480]  I clarified it.
[08:41.480 --> 08:43.640]  You circled it in the catalog is what you did.
[08:43.640 --> 08:44.640]  Right, exactly.
[08:44.640 --> 08:45.640]  You had attachments.
[08:45.640 --> 08:46.640]  Right.
[08:46.640 --> 08:55.240]  Can I admit something that I have never admitted, even to my mother, to anybody I've ever loved?
[08:55.240 --> 09:00.360]  And since it's just the three of us here, I kind of want to get it off my chest.
[09:00.360 --> 09:07.720]  When I was very young, I guess eight, seven or eight, I was living in an apartment that
[09:07.720 --> 09:14.680]  we just moved in after we'd left England, and I wanted an add-up.
[09:14.680 --> 09:15.680]  I wanted an add-up.
[09:15.680 --> 09:17.320]  There's no shame in that.
[09:17.320 --> 09:20.440]  No, there's no shame in that.
[09:20.440 --> 09:23.360]  But John, you know me.
[09:23.360 --> 09:27.320]  The shame is coming.
[09:27.320 --> 09:37.200]  I went looking for Christmas presents in my mother's closet, and I found one.
[09:37.200 --> 09:41.520]  And it was, I forget what it was.
[09:41.520 --> 09:51.880]  It might as well have been a jigsaw puzzle of an add-at when I wanted the actual add-at.
[09:51.880 --> 09:59.200]  And I addressed it to her after having discovered it without wanting to let her know that I'd
[09:59.200 --> 10:04.080]  actually gone and found the present that I had to hope for.
[10:04.080 --> 10:12.000]  And I was like, hey, Mom, just so you know what I want.
[10:12.000 --> 10:13.840]  I want an actual add-at.
[10:13.840 --> 10:21.680]  You know, not, let's say, a jigsaw puzzle of an add-at.
[10:21.680 --> 10:23.840]  That's less fun.
[10:23.840 --> 10:25.760]  I want an add-at.
[10:25.760 --> 10:35.080]  And I was not as keenly James Bond-ish as I would have liked to have been at the age
[10:35.080 --> 10:37.680]  of seven.
[10:37.680 --> 10:40.360]  You were not suave about it, in other words, you're saying?
[10:40.360 --> 10:41.920]  No, no, not at all.
[10:41.920 --> 10:44.240]  And I still remember that look on her face.
[10:44.240 --> 10:48.640]  And I, Mom, if you listen to this, I'm so sorry.
[10:48.640 --> 10:49.880]  I did you poorly.
[10:49.880 --> 10:50.880]  I really did.
[10:50.880 --> 10:54.160]  I really did want that add-at, and you came through.
[10:54.160 --> 10:55.440]  She really did come through.
[10:55.440 --> 10:57.480]  Like I got an add-at for Christmas.
[10:57.480 --> 11:00.880]  Boy, you're rewarded for this terrible act as you get the actual add-at.
[11:00.880 --> 11:01.880]  I never got the add-at.
[11:01.880 --> 11:03.960]  I had to go over to my friend's house and play with his add-at.
[11:03.960 --> 11:05.320]  I did not get the add-at.
[11:05.320 --> 11:07.320]  I can tell you.
[11:07.320 --> 11:15.000]  This was not a great contribution to me as a human being, but it worked out in that year
[11:15.000 --> 11:16.960]  in a very small way.
[11:16.960 --> 11:20.720]  I was never a present snooper.
[11:20.720 --> 11:23.600]  I think it peaked around the age of 10.
[11:23.600 --> 11:31.560]  And I did find, I believe for my birthday, I found the BMX bike that I was getting.
[11:31.560 --> 11:33.960]  And I did go looking for it because I was so curious.
[11:33.960 --> 11:37.000]  And I realized there was no way they could really, there was only one place they could
[11:37.000 --> 11:38.000]  hide it.
[11:38.000 --> 11:42.560]  It's sort of like a sub closet at the back of the basement.
[11:42.560 --> 11:43.560]  And there it was.
[11:43.560 --> 11:45.880]  Oh, and it was beautiful.
[11:45.880 --> 11:50.700]  But the other one I found accidentally, and I don't, it was so jarring and shocking to
[11:50.700 --> 11:54.400]  me that I don't quite remember if it was a birthday or Christmas, but I suspect it was
[11:54.400 --> 12:01.440]  a Christmas, is I got the Millennium Falcon, the big Kenner, pop the top off, throw some
[12:01.440 --> 12:02.440]  characters in there.
[12:02.440 --> 12:04.580]  And it was the greatest present I ever got.
[12:04.580 --> 12:08.840]  And I kind of thought it was a stretch goal to ask for it because I don't know what it
[12:08.840 --> 12:11.600]  costs, but it seemed like insanely expensive.
[12:11.600 --> 12:13.640]  It was like, I don't know, 60 bucks.
[12:13.640 --> 12:15.080]  And it was like, what?
[12:15.080 --> 12:16.080]  And it was huge.
[12:16.080 --> 12:18.120]  It's like, ah, there's no way I'm getting that.
[12:18.120 --> 12:19.120]  But I got it.
[12:19.120 --> 12:20.120]  And it was the greatest thing ever.
[12:20.120 --> 12:21.120]  Thanks, mom.
[12:21.120 --> 12:22.120]  Thanks, dad.
[12:22.120 --> 12:23.120]  Yeah.
[12:23.120 --> 12:25.000]  I do feel like a real jerk.
[12:25.000 --> 12:29.240]  What was the best Star Wars toy you had growing up, John?
[12:29.240 --> 12:31.000]  You just mentioned that BMX thing.
[12:31.000 --> 12:34.440]  I was a present snooper, but somehow they hid my BMX bike for me.
[12:34.440 --> 12:35.520]  That might be an X bike.
[12:35.520 --> 12:40.360]  My 1984 Mongoose Californian was the best Christmas present I ever received.
[12:40.360 --> 12:46.600]  But on the Star Wars category specifically, I didn't get most of the things that I wanted.
[12:46.600 --> 12:53.320]  I did have the tie that the wings popped off and the X-wing that the character goes in.
[12:53.320 --> 13:01.080]  I also had the Death Star with the trash compactor with the square foam cubes.
[13:01.080 --> 13:03.800]  I think my best one, and these were weird, and not a lot of people had these.
[13:03.800 --> 13:05.240]  I don't know if you had these.
[13:05.240 --> 13:07.120]  Do you remember the 12-inch figures?
[13:07.120 --> 13:08.120]  Yes.
[13:08.120 --> 13:09.600]  Yes, I do.
[13:09.600 --> 13:11.920]  They were fantastic, and I had a Boba Fett.
[13:11.920 --> 13:12.920]  Oh.
[13:12.920 --> 13:13.920]  What?
[13:13.920 --> 13:14.920]  Oh, and that was cool.
[13:14.920 --> 13:19.200]  I had a Boba Fett, Darth Vader, Luke, and Leia, and the Boba Fett was obviously my favorite.
[13:19.200 --> 13:20.200]  Yeah.
[13:20.200 --> 13:22.840]  Did it have some cloth too, or was it all plastic?
[13:22.840 --> 13:23.840]  Yeah, that's what I'm saying.
[13:23.840 --> 13:28.600]  It was before the age today of these hyper-realistic toys that look really like the thing on the
[13:28.600 --> 13:29.600]  screen.
[13:29.600 --> 13:32.260]  Obviously, the Kenner toys were great and everything, but they didn't even have elbows
[13:32.260 --> 13:36.920]  and knees that moved, and they were pretty sketchy-looking in terms of fidelity.
[13:36.920 --> 13:40.160]  And Boba Fett was cool, and I had him, not with the shooting missile, but I had the regular
[13:40.160 --> 13:41.160]  one.
[13:41.160 --> 13:42.600]  But the 12-inch Boba Fett might as well have been.
[13:42.600 --> 13:43.600]  Right.
[13:43.600 --> 13:44.600]  It was like an HD, right?
[13:44.600 --> 13:48.160]  Yes, a cloth cape, plastic head that looked like the one in the movie.
[13:48.160 --> 13:50.960]  They didn't have articulated joints either, but they were just so much bigger and more
[13:50.960 --> 13:53.600]  sort of realistic-looking.
[13:53.600 --> 13:54.600]  Very cool.
[13:54.600 --> 13:56.800]  Did you guys ever watch The Toys That Made Me?
[13:56.800 --> 13:58.280]  It's a Netflix documentary.
[13:58.280 --> 13:59.280]  Yes.
[13:59.280 --> 14:00.280]  It covers a lot of...
[14:00.280 --> 14:01.280]  Yes.
[14:01.280 --> 14:02.280]  Right.
[14:02.280 --> 14:03.280]  And they talk about G.I.
[14:03.280 --> 14:11.920]  Joe, and I think that these, like that 12-inch Boba Fett is in line of those old precursor
[14:11.920 --> 14:12.920]  G.I.
[14:12.920 --> 14:23.320]  Joe figures that were 12 inches tall, very articulated, and very much in the doll category,
[14:23.320 --> 14:24.320]  right?
[14:24.320 --> 14:25.320]  Yeah.
[14:25.320 --> 14:26.320]  Action figure, please.
[14:26.320 --> 14:27.320]  I don't like to make that distinction.
[14:27.320 --> 14:28.320]  Right.
[14:28.320 --> 14:33.560]  But here's the thing, and I don't think you believe that, is that where's the distinction
[14:33.560 --> 14:35.320]  between action figures and dolls?
[14:35.320 --> 14:36.320]  Whatever.
[14:36.320 --> 14:39.080]  You're playing with dolls, right?
[14:39.080 --> 14:50.300]  This was very much an action figure, a grossly rendered action figure, right?
[14:50.300 --> 14:53.320]  As opposed to the sort of, what are they, like the G.I.
[14:53.320 --> 14:55.360]  Joe characters are what, six inches tall?
[14:55.360 --> 15:04.120]  Like, these things were big and manipulative, and they felt more like an entity in your
[15:04.120 --> 15:10.080]  life rather than something that you could make a recreation of the eyeball with.
[15:10.080 --> 15:13.240]  Do you know what I mean?
[15:13.240 --> 15:14.240]  They were things.
[15:14.240 --> 15:18.120]  They were things that you interacted with rather than being playthings that you could
[15:18.120 --> 15:21.040]  place in a battlefield.
[15:21.040 --> 15:23.200]  I was going to bring it up.
[15:23.200 --> 15:26.720]  You said that, and it brings to mind that whoever, whichever...
[15:26.720 --> 15:32.800]  And you know it was some Don Draper, Madman type guy who came up with the phrase action
[15:32.800 --> 15:33.800]  figure.
[15:33.800 --> 15:34.800]  Oh, yeah, yeah, yeah.
[15:34.800 --> 15:35.800]  And I get it.
[15:35.800 --> 15:36.800]  And it is funny.
[15:36.800 --> 15:37.800]  We're of a generation.
[15:37.800 --> 15:39.600]  We're now in 2020.
[15:39.600 --> 15:45.960]  We can all say, well, if your young son wants to play with dolls or your young daughter
[15:45.960 --> 15:52.960]  wants to play with army Star Wars characters with lightsabers and guns, it's all good.
[15:52.960 --> 15:54.480]  Nobody just has fun.
[15:54.480 --> 15:56.080]  You don't need to worry about words like that.
[15:56.080 --> 15:57.080]  It's all silly.
[15:57.080 --> 16:00.080]  But you know, 1978, 79, it mattered.
[16:00.080 --> 16:03.560]  We learned that from William Wants a Doll on Free To Be You and Me.
[16:03.560 --> 16:04.560]  Yeah.
[16:04.560 --> 16:05.560]  We knew.
[16:05.560 --> 16:06.560]  We knew it was right.
[16:06.560 --> 16:07.560]  I had a doll.
[16:07.560 --> 16:08.560]  I carried a baby doll.
[16:08.560 --> 16:10.760]  Her name was Kelky.
[16:10.760 --> 16:16.800]  And that was because we had a neighbor who was a few years older than me.
[16:16.800 --> 16:18.280]  Her name was Kelly.
[16:18.280 --> 16:22.380]  And I guess, you know, I had, you know, like as a young three-year-old, I had like a crush
[16:22.380 --> 16:27.040]  on her or not a crush crush, but you know, like looked up to her because she was the
[16:27.040 --> 16:28.040]  neighbor.
[16:28.040 --> 16:31.160]  Are you telling me that as a three-year-old, you didn't have a crush crush?
[16:31.160 --> 16:32.160]  No.
[16:32.160 --> 16:33.160]  You know what I mean?
[16:33.160 --> 16:34.160]  No.
[16:34.160 --> 16:36.480]  But I liked my Kelky doll more than I liked Kelly the neighbor.
[16:36.480 --> 16:40.720]  Once I had the baby doll, I mean, and I couldn't pronounce Kelly.
[16:40.720 --> 16:43.320]  So the baby was Kelky.
[16:43.320 --> 16:47.160]  And she was a little, you'll know the type of doll.
[16:47.160 --> 16:51.840]  It had a hard head and hard hands, like articulated plastic.
[16:51.840 --> 16:52.840]  But a squishy body.
[16:52.840 --> 16:54.880]  But a squishy pillow body.
[16:54.880 --> 17:00.120]  And I carried Kelky with me everywhere I went by the arm.
[17:00.120 --> 17:04.240]  And so the arm, eventually my mom had to sew the arm back on.
[17:04.240 --> 17:07.680]  And then at some point it like that wasn't working.
[17:07.680 --> 17:12.960]  And my mom, I believe, went out and bought me a replacement and I didn't fall for it.
[17:12.960 --> 17:19.560]  And you know, but my dad was very, my dad's a good man and he's still, you know, and he's
[17:19.560 --> 17:20.560]  all on board with it.
[17:20.560 --> 17:25.600]  But my dad was not a fan of, at the time, of taking me, like, let's say to the bank
[17:25.600 --> 17:26.640]  with him.
[17:26.640 --> 17:29.720]  And I would total on my Kelky.
[17:29.720 --> 17:31.920]  He needed to listen more free to be you and me.
[17:31.920 --> 17:32.920]  Exactly.
[17:32.920 --> 17:34.160]  He'd be cool with it now.
[17:34.160 --> 17:36.600]  But yeah, but I think that's true of all of us, right?
[17:36.600 --> 17:41.760]  Like I think we are in a different place now than we were when we're 20 years ago, for
[17:41.760 --> 17:42.760]  sure.
[17:42.760 --> 17:43.760]  Oh, yeah.
[17:43.760 --> 17:45.760]  But 20 years ago was the year 2000, dude.
[17:45.760 --> 17:46.760]  I know.
[17:46.760 --> 17:47.760]  I know.
[17:47.760 --> 17:54.600]  And his way I picked that is that I knew both of you 20 years ago and that's uncomfortable.
[17:54.600 --> 17:56.320]  Yeah, that's true.
[17:56.320 --> 17:59.960]  I just looked up the 12 inch bulb effect, by the way, if I had kept the box, apparently
[17:59.960 --> 18:02.680]  I could sell it for three grand on eBay today.
[18:02.680 --> 18:03.680]  Wow.
[18:03.680 --> 18:05.280]  So, so here's the thing about that.
[18:05.280 --> 18:07.040]  So this bothered me a lot though.
[18:07.040 --> 18:13.840]  And the one toy, so a massive Kenner toy that I did not want because I could just tell before
[18:13.840 --> 18:18.200]  I even saw it at a friend's house, I was like, I don't want it is I did not want the Death
[18:18.200 --> 18:25.760]  Star because the Death Star was clearly a Death Star-inspired playset where it was sort
[18:25.760 --> 18:33.120]  of like a bunch of interior sets from the Death Star, as opposed to a thing that looked
[18:33.120 --> 18:37.800]  like the Death Star that you could take a panel off and put people in.
[18:37.800 --> 18:41.800]  So the Death Star playset was a semi-sphere, basically?
[18:41.800 --> 18:43.660]  No, it wasn't even a sphere.
[18:43.660 --> 18:47.160]  It was just like a, it was just, as I recall, it was just like an apartment building.
[18:47.160 --> 18:48.400]  It was just a rectangle.
[18:48.400 --> 18:50.400]  It didn't even have any.
[18:50.400 --> 18:53.920]  My recollection was that it was just like a cutaway of a floor that bent in kind of
[18:53.920 --> 18:54.920]  an angle.
[18:54.920 --> 18:58.400]  Like it wasn't even, there was no, there was no hint that it was in a giant gray sphere
[18:58.400 --> 18:59.960]  that, I mean, they don't do that to this day.
[18:59.960 --> 19:00.960]  Look at the Lego Death Star.
[19:00.960 --> 19:04.000]  It has no relation to the actual Death Star because it's just too darn big.
[19:04.000 --> 19:05.000]  Yeah.
[19:05.000 --> 19:11.800]  The thing I'm familiar with interacting with was a semi-sphere and it had a trash compactor.
[19:11.800 --> 19:16.360]  It was all made out of cardboard.
[19:16.360 --> 19:17.680]  It was not great.
[19:17.680 --> 19:18.680]  It was bad.
[19:18.680 --> 19:24.840]  And it supports everything you're saying, but it was a specific thing.
[19:24.840 --> 19:25.840]  It was...
[19:25.840 --> 19:26.840]  Here, I just put in an iMessage.
[19:26.840 --> 19:27.840]  This is what I had.
[19:27.840 --> 19:33.680]  Trash compactor with a, what do you call it, what's the name of the monster in there?
[19:33.680 --> 19:34.680]  Oh, I forget the name of the monster.
[19:34.680 --> 19:37.200]  It begins with a D, whatever.
[19:37.200 --> 19:38.200]  Trash compactor monster.
[19:38.200 --> 19:39.200]  Yeah.
[19:39.200 --> 19:40.200]  Oh, no, it's, I got it.
[19:40.200 --> 19:42.200]  Get it in a second, hang on.
[19:42.200 --> 19:43.200]  Oh, my God.
[19:43.200 --> 19:44.200]  It's a terrible...
[19:44.200 --> 19:45.200]  It was a terrible toy, though.
[19:45.200 --> 19:46.200]  It just...
[19:46.200 --> 19:47.200]  It was just...
[19:47.200 --> 19:48.200]  You could fake it.
[19:48.200 --> 19:49.200]  You didn't need it.
[19:49.200 --> 19:50.200]  I didn't like it at all.
[19:50.200 --> 19:51.200]  Oh, man.
[19:51.200 --> 19:52.200]  This is what you had.
[19:52.200 --> 19:53.200]  Okay.
[19:53.200 --> 19:54.200]  That's...
[19:54.200 --> 19:55.200]  Yeah, that's not what I had.
[19:55.200 --> 19:56.200]  That is what I had.
[19:56.200 --> 19:59.320]  This was my biggest Star Wars toy, and honestly, I would have rather had either the AT-AT or
