[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[12:06.000 --> 12:36.000]  people shop here, probably older Italian people, you know, it's got a little bit of Italian deli mixed in with all the normal grocery stuff. So you go through and of course, the pasta aisles cleaned out, right? I mean, just bam. But then there's also like other weird things cleaned out, like, you know, it's the olive oil selection is super picked over, you know, things like that. But the one thing that they do have because of where we are in the valley, which I think is maybe different than a lot of other places, is that the the
[12:36.000 --> 13:06.000]  vegetable section, like floor to ceiling, absolutely packed. And then you go to the regular grocery store, and it's like, you know, it's kind of anemic, you know, so I don't know, it's an interesting, I think, a regional thing where you'll go some places and certain things are your universal, like a lot of dry goods and things that get picked over. But then a lot of other things are, you know, just regionally available. Yeah. Yeah. We did what this bean thing. No, I'm beans. Oh, no. Because it's like it's because it's protein that stays good forever. Right?
[13:06.000 --> 13:36.000]  Beans do stay good for quite a while. I mean, not forever, but for a while. They are. I don't know if you consider them shelf stable. Maybe you do. I don't know. But they're they're pretty, you know, you can keep them around for a bit. And people are buying the crap out of beans. And then like, I can't remember if maybe it was the Times or somebody did an article where all these people are buying beans. And I don't like to generalize, but they're like, you know, all these millennials are buying beans, and they don't know how to cook them. Like, what do we do? What do we do with beans?
[13:36.000 --> 14:06.000]  Like, certain people are gonna, you know, if you're older or whatever, you remember all the bean dishes, maybe, you know, your parents or grandparents especially used to make, you know, it's like, oh, we're having garbanzos with this, you know, or, you know, we're having red beans with this. And certainly a lot of cooking, like Indian cooking or Thai cooking will use beans a lot and stuff like that. And then, of course, Mexican cooking uses beans quite a bit. But I think a lot of a lot of people are just going,
[14:06.000 --> 14:36.000]  oh, we need shelf stable, just get some beans, get some beans. And they're like, what do we, how do we do beans? Like, what is, what's the method, you know, like, do you, what do you do? Do you scrape them? And like, most beans require a couple of days to do right. Like, you don't, you don't just cook beans, like, in 10 minutes, you know what I mean? And I mean that by raw beans, like not, you know, pre-prepared canned bean or whatever. Anyway, I find that hilarious. They're just like, I'm just gonna buy beans. They have no idea what to do with them.
[14:36.000 --> 15:06.000]  I recorded nine days ago with Snell and boy, does that seem like a long time ago. I forget if I told this. So the two nearest, there's a couple nearby places, but we have a place called the Bruno Brothers. Sounds a little bit like yours. It's small, family owned. There's a couple locations here in the city. As you might guess from the name, definitely an Italian slant. You know, it's the type of place where like the deli counter has like half the deli counter is like your usual staples, you know, provolone.
[15:06.000 --> 15:36.000]  Cheese, Swiss cheese, American cheese, ham, roast beef. And then the other entire half is prosciutto. Perfect. Sounds lovely. It's just like the widest variety. Like, I can't believe there's this much prosciutto.
[15:36.000 --> 16:02.000]  It's like they're stocked on pasta, like right up to the edge of the shelf, you know, like just tons of pasta. And it's like the stuff that they're out of is just weird. Like, whereas like I went in and thinking like, hey, I should just buy like, you know, just get like a bag of pasta. And I was like, yeah, I'll probably end up with all the weird stuff, you know, the weird, the weird, the weird pasta. And it all tastes to say, you know, there's no such thing as bad tasting pasta, but like the weird shapes that you never buy.
[16:02.000 --> 16:06.000]  Yeah. People are like, what is orecchiette? I don't understand this.
[16:06.000 --> 16:12.000]  Exactly. Yeah. Honey, I got eight boxes of shells.
[16:12.000 --> 16:20.000]  There was a lot of lasagna, like lasagna noodles. There was a lot of them because everybody's like, oh, pasta. Great. Lasagna. Oh, shoot.
[16:20.000 --> 16:26.000]  Yeah, because that's one. You can't just heat up a jar of sauce or, you know, just pour some olive oil on it or something.
[16:26.000 --> 16:34.000]  I mean, you could, but yeah, it's going to be a little weird. But they're fully stocked of pasta. It's just bizarre what they're out of, you know.
[16:34.000 --> 16:46.000]  No, you know. But, you know, the way that they're doing it here in the city, too, is and it works out great, is they are managing the occupancy of the stores.
[16:46.000 --> 16:47.000]  Oh, interesting.
[16:47.000 --> 16:57.000]  I think to Bruno's, I asked the guy, he said they're trying to limit to 25 customers at a time, and then the line is just outside the door.
[16:57.000 --> 17:06.000]  And they're doing the same thing at Trader Joe's now, too, which was a madhouse previously. I think I talked to Snell about this, but it creates the illusion.
[17:06.000 --> 17:18.000]  And I just wonder how many people don't know that that's what Trader Joe's is doing, is severely limiting the number of people in the store so that it's easy to maintain six feet of distance and there's no line at the checkouts.
[17:18.000 --> 17:25.000]  Whereas a week and a half ago, it was a madhouse and you couldn't even get in the door, you know, and it was like shoulder to shoulder inside.
[17:25.000 --> 17:32.000]  So I just wonder how many people are like cruising by Trader Joe's, see that there's like 30 people outside and they're like, nope.
[17:32.000 --> 17:33.000]  Yeah.
[17:33.000 --> 17:43.000]  Whereas it's actually not bad at all. It's actually better than Trader Joe's usually is at like 5 p.m. on a regular normal time weekday.
[17:43.000 --> 17:46.000]  Right. Yeah, exactly.
[17:46.000 --> 18:03.000]  Well, anyway, we're holding up. And Jonas is on spring break, too, and I think like the period between when his school shut down and spring break seemed really half-assed on the remote schooling, like the one day he had like 20 minutes of math, five minutes of quote unquote health class.
[18:03.000 --> 18:09.000]  And then that was it. And it was like, yeah, back to Animal Crossing.
[18:09.000 --> 18:21.000]  Exactly. I mean, you know, it's the same thing over here. They gave like they gave our kid a lot of my older kid. She's in school and my kids just in preschool. So he's he's living the life.
[18:21.000 --> 18:36.000]  But she got a lot of home work, like a home packet, you know, like, hey, you could download this digital packet or whatever. I do this work and we printed it out diligently and, you know, put it in a binder and all that stuff.
[18:36.000 --> 18:49.000]  And she's like, no, I don't want to do it. And we're like, on one hand, yeah, I mean, she should do it and we're making her do a little bit of it. But on the other hand, I'm like, you know, I don't blame you. I mean, you're this grade is over for you, essentially.
[18:49.000 --> 18:57.000]  You know, like that was that was it. You're not going to go back really into this section of your grade. You know what I mean?
[18:57.000 --> 19:10.000]  I think she may come back on the other half of the semester, and into that, but as far as this report card grades, right at this, like, you know, this, this period is done for you. So what does this matter? Like, we're gonna do it.
[19:10.000 --> 19:22.000]  And then like, the way we the way my wife and I thought about it, we talked about it. And I guess the agreement that we came to amongst ourselves was, it's good, we need to make sure that we do a selection of it so that she understands the concepts, right.
[19:22.000 --> 19:36.000]  But we're not gonna, I'm not gonna sit there and make her do 70 pages of, you know, back to back, front and back work pages, when nobody's gonna care about them, look at them or wonder ever if she did them, you know what I mean? Like, it's just not gonna happen.
[19:36.000 --> 19:51.000]  So at this, we just basically decided on hey, if we can get the concepts down, and we think she understands these concepts that they're trying to teach her, we're gonna be that's, that's good for us, you know, the rest of it is just trying not to go nuts. I think most of our concentration is on that.
[19:51.000 --> 20:05.000]  It's is hard. All right, let me take a break. It's a good time as our first sponsor. It's perfect timing. It is our good friends at Yes, please. Coffee. It's a coffee subscription service. You spell it.
[20:05.000 --> 20:27.000]  Y-E-S-P-L-Z. That's the gimmick. Yes, please. And they have an amazing domain name. Yes, please. Y-E-S-P-L-Z.coffee. Oh my God, what could be better? Yes, please.coffee. Look, they think that the best cup of coffee you ever drink should come right from your own kitchen.
[20:27.000 --> 20:40.000]  You don't have to miss the fact that you can't go to a coffee shop anymore. You don't have to miss it. You can make not just pretty good coffee. You can make great coffee. I can't cook for crap, but I can make a hell of a cup of coffee at home.
[20:40.000 --> 20:55.000]  And I'm doing it with Yes, please beans. Since most of us are stuck making our own coffee at home these days, there's never been a better time to get your beans delivered. The crew at Yes, please sources and roast some of the finest stuff from all over the world.
[20:55.000 --> 21:07.000]  They change it up every week and they deliver it to your door. Whole bean coffee delivered weekly, fortnightly, monthly, or just whenever you need it. And you can pause or cancel anytime, no hassle.
[21:07.000 --> 21:21.000]  I love these guys. One of the co-founders, Tony Canesny, everybody knows him as Tonks. Well, it used to be Tonks Coffee. They used to sponsor the show way back in the day before they got acquired by a bigger company.
[21:21.000 --> 21:29.000]  And his other co-founder, Sumi Ali, they're veterans of coffee's, quote unquote, third wave scene. They are fanatical about making great coffee.
[21:29.000 --> 21:43.000]  One of the things I love about the Yes, please mixes is it's not just like, oh, they find this one bean from Guatemala and then that's this week's shipment. Their stuff usually is like a cocktail of beans from all over the place.
[21:43.000 --> 21:55.000]  I know I forget where I should have brought the bag with me down here to record, but the batch I just got two days ago, yesterday, day before, is from seven different varieties of coffee.
[21:55.000 --> 22:06.000]  And these mad geniuses, they figure out how much to put in. It's a couple from Ethiopia, two from Costa Rica. I forget where the others are from. Mix them all together in the right amount.
[22:06.000 --> 22:20.000]  It is absolutely delicious. I literally just finished my pot of coffee, my morning pot of coffee, right as we were starting the show. Now I'm all out right here, but I'm going to make more as soon as we're done recording.
[22:20.000 --> 22:33.000]  I'm going through coffee like a fiend. I don't know why. I have no idea why, but I'm drinking coffee like a fiend while I'm housebound and having it delivered to the door is the absolute best.
[22:33.000 --> 22:43.000]  These guys believe in great coffee at home, and it's just great. And they have all sorts. They ship with a zine, a print zine. It's amazing, very fun.
[22:43.000 --> 22:52.000]  Once a month, a big issue, and then they have a little weekly thing that gets us an insert when you get your coffee every day or every week, whatever you get it.
[22:52.000 --> 23:02.000]  Anyway, I recommend this coffee wholeheartedly, even if they weren't sponsoring. They sponsored my site last week and the week before. They're sponsoring a podcast this week.
[23:02.000 --> 23:11.000]  This was actually in the works before this whole thing went down. It is complete serendipity that this sponsorship coincides with the need to get stuff delivered to your house.
[23:11.000 --> 23:19.000]  But this is the way to do it. I love this coffee. If they weren't sponsoring it and you said, where should I get coffee? I would tell you right now. Go to Yes, please. Coffee.
[23:19.000 --> 23:32.000]  Go to Yes, please. Coffee. And because they are sponsoring, they've got a promo code. Fireball5. That's F-I-R-E-B-A-L-L and then the digit five.
[23:32.000 --> 23:38.000]  Because if you use that code at checkout, you get five dollars off your first shipment.
[23:38.000 --> 23:48.000]  They have two sizes of bags that you can get every week, every other week, whenever you want it. I've upgraded. I just upgraded from the smaller one to the bigger one because like I said, I'm going through it like a fiend.
[23:48.000 --> 24:00.000]  And I really recommend it wholeheartedly. If you're at home wondering how the hell you can get some good coffee and how to make it, go to Yes, please. Coffee. And remember that code, Fireball5. Love these guys. Sign up for their coffee.
[24:00.000 --> 24:12.000]  And by the way, I checked with them fully operational during this saga. They've got a small crew. They're maintaining distance and they're shipping coffee out. There's no problem with that.
[24:12.000 --> 24:27.000]  I had a fear for when their sponsorship was running last week. I was like, hey, wait a second. I should check with Tonks and make sure they're actually sending this out before I tell everybody how much I love their coffee.
[24:27.000 --> 24:36.000]  And you should go sign up. But they're fully operational. And I just got a bag of beans the other day.
[24:36.000 --> 24:55.000]  Oh, man. How about Amazon? Are you ordering stuff from Amazon? Amazon, I realize, is doing phenomenal because everybody has to get stuff delivered. But there's no better sign that the world is not right than the way that Amazon has gotten weird.
[24:55.000 --> 25:07.000]  You know, I think in the ways that are right where they're prioritizing stuff that pertains to this situation as and stuff that is not essential is getting delayed.
[25:07.000 --> 25:21.000]  Like I ordered a USB adapter the other day and it's in stock. It's not like out of stock. It's in stock. And it's estimated delivery is April 21st.
[25:21.000 --> 25:25.000]  Which is a month.
[25:25.000 --> 25:39.000]  Yeah. I mean, everything you said is true. It's like a canary in a coal mine type situation or a leading indicator or whatever phrase you want to apply to it. Everything is severely jacked up.
[25:39.000 --> 25:54.000]  On a side note, by the way, not to enhance your sponsorship, but I do use like Guess Please as well. And I subscribed to Tonks before they went to Blue Bottle. And then when Blue Bottle bought them, I kept using them.
[25:54.000 --> 26:04.000]  I added a couple Blue Bottle blends to my rotation. But then I got tired of Blue Bottle and so I left. But then when Tony launched Guess Please, I resubscribed and I got a bag waiting for me.
[26:04.000 --> 26:15.000]  And I think I have, and this is more of a personal taste thing, definitely not a freshness thing. I think I've disliked one of their blends over the past year or whatever, you know, that have been getting here however long.
[26:15.000 --> 26:24.000]  Because I think I subscribed right away when they launched. And I think I disliked one blend. Everything else, their taste is amazing. Perfect taste. Anyhow, I thought I'd mention it.
[26:24.000 --> 26:36.000]  I didn't even know that. That's complete serendipity. The other thing I will say, and I enjoy this about Guess Please, is there's a lot of variety week to week. It's not the same.
[26:36.000 --> 26:43.000]  Yeah, you'll get a light South American blend one week and then like a dark African blend the next week.
[26:43.000 --> 26:54.000]  Whereas other coffee subscription services I've tried, especially Blue Bottle after the merger, sort of centralized on a Blue Bottle taste, which wasn't bad.
[26:54.000 --> 26:58.000]  Yeah, it's sort of acidic and kind of medium bright.
[26:58.000 --> 27:02.000]  Yeah, exactly. That's how I would describe it. Medium bright.
[27:02.000 --> 27:15.000]  Yeah. Anyhow, so the Amazon thing, this idea that some things are essential and some things not, I get it, right? I mean, it's easy to see that, yeah, sure. Okay, cool. Right.
[27:15.000 --> 27:26.000]  Somebody's ordering food stuff or medical supplies. Let's bump those up the list. On the surface of it, you could probably make the top 10% of those decisions very easily.
[27:26.000 --> 27:37.000]  It's when it gets down into the longer tail that you start to be curious about it. And like a lot of other people, obviously, I've been ordering a ton of stuff on Amazon.
[27:37.000 --> 27:46.000]  I mean, we do order stuff on Amazon, but I've been doing a few things lately. There were some areas of my house that I hadn't gotten prepped completely.
[27:46.000 --> 27:59.000]  Like, go bag stuff and keep around stuff for just general preparedness, right? And you could see all of those supplies getting really thin and the delivery times creeping out and all that stuff.
[27:59.000 --> 28:20.000]  But if you order a wide variety of stuff, it does start to become very curious. And just the, I don't know, the journalist or tech curio person in me is really intrigued by how they decide what exactly gets shifted.
[28:20.000 --> 28:33.000]  Right? Like what? Okay, so you ordered tweezers. And okay, those are sort of medical. So those come on time. But if you order like nose hair trimmers, it's like, hey, nobody needs to turn my nose hairs right now. Calm down.
[28:33.000 --> 28:45.000]  Like, you'll be alright. Those don't get, you know what I mean? Like, it's really weird. Like, you're like, where's the, okay, how do they decide? Some things, as I said, very easy, right? Like, oh, you know, we're ordering child's Tylenol, right?
[28:45.000 --> 28:56.000]  No, ship it out right now. Like, get it to them. It's quite possible they may have a kid and especially if the kid has, you know, an illness or whatever, everybody's very concerned. We want to make sure that medicine gets there as fast as possible.
[28:56.000 --> 29:08.000]  And same thing with, you know, other things like food and whatnot. But then as you get in the long tail, like, you know, how do you decide like, okay, nail clippers, not a big deal, you know, maybe we'll shift those down the line.
[29:08.000 --> 29:22.000]  But then, you know, oh, a bread proofing basket, does that come right away because it's related to food? Or does it get delayed because it's like, you could make bread in the oven, you don't need a proofing basket, you know what I mean? It's a weird one. It's interesting.
[29:22.000 --> 29:44.000]  Interesting computer science question. And even the USB adapter that I ordered that's coming April 21. So at the end of the week, I just posted, I forget even the context of it, but posted a link to an anchor USB-A to USB-C adapter.
[29:44.000 --> 29:54.000]  Oh, it was in the context of all the stuff I'm reviewing that only has, that's right, that all, you know, we'll get to this stuff, the MacBook Air and the new iPad Pro, they all only have USB-C ports.
[29:54.000 --> 30:09.000]  And if you need to plug anything with that has a hardwired USB-A cable, then you need an adapter. This is my favorite adapter. I linked to it. And then I don't know if it was, I don't think it's because of me, but it's sold out.
[30:09.000 --> 30:32.000]  And then somebody, you know, and I went looking for like, well, what looks similar, you know, because like, one of the things you need with a USB-C to USB-A adapter is you need one that's not too wide, because the ports on the MacBooks are kind of close to each other, you know, and I've seen some adapters, where they can be too close, and then you can't use the other port.
[30:32.000 --> 30:51.000]  But like I said, there's one that looked like a good alternative. It was a color match for the, you know, for the different shades of aluminum that Apple has. Looks nice and small. It's even smaller than the Anker one. And like I said, it's in stock, but it's not delivering until April 21.
[30:51.000 --> 31:15.000]  Again, life saving? No. But like work from a homing, and of course, there's a gazillion of them. So if you really need one to do your work, because now you're, you know, doing zoom or whatever for meetings, and you have a cable that you have to convert because now you need you need this thing to actually like, get your camera or your microphone or whatever hooked up, you can find one from somebody.
[31:15.000 --> 31:27.000]  But it just seems like that in a sense that is important to people, you know what I mean? Like getting a, you know, being able to work from home is important. And I realize it's not as important as having medicine.
[31:27.000 --> 31:46.000]  The other thing I saw today, and of course it sold out, of course it is, but it just hadn't occurred to me, because knock on wood, you know, here, all three of us, you know, no signs of any sickness or illness at all. But I was reading this heartbreaking story.
[31:46.000 --> 31:59.000]  Hopefully he's going to be all right. Doesn't seem, you know, he's not in hospital, but Jessica Lustig, who's a, like a managing editor for the New York Times Magazine, her husband has COVID-19.
[31:59.000 --> 32:14.000]  And she just wrote this, I linked it before we started recording, but she just had this terrific essay for the New York Times Magazine this weekend, just like, just sort of a first person, what it's like dealing with a really sick husband.
[32:14.000 --> 32:35.000]  And, you know, I'm like, riveting, really good writing, really just, wow, this is really eye opening. And then it's like two thirds down, it's like she mentions that like their friends, like when their friends know what they're going through, and one of their friends spotted a bottle of Advil at a thing and bought it for them and dropped it off, because you can't get it.
[32:35.000 --> 32:46.000]  And I'm like, wait, you can't get Advil and Tylenol? And then it's like, and I asked Amy, and she's like, oh, yeah, everybody's sold out. And I'm like, oh, shit. And I'm like, well, of course they are. You know, it makes sense.
[32:46.000 --> 32:57.000]  And that's what they tell you. If you do come down with it, and you just have a mild case, you're supposed to actually take like some kind of mix of both, like you alternate a little Tylenol, a little Advil, keeps your fever down, helps with the aches and pains.
[32:57.000 --> 33:12.000]  Right, yeah, every couple hours, yeah. But you just, so of course they're sold out, you know, but it's like, I'm 47 years old, and every time I've ever been in a drug store in my life, there's 7000 bottles of ibuprofen.
[33:12.000 --> 33:15.000]  Extra strength, 200, 400, 800, yeah, all of it.
[33:15.000 --> 33:18.000]  House brand, Tylenol brand, the other brand.
[33:18.000 --> 33:21.000]  There's usually so many, you can't decide which one to buy.
[33:21.000 --> 33:27.000]  Right. And it's like, wait, do I like capsules or caplets?
[33:27.000 --> 33:41.000]  It reminds me of this special. It was so precious. This special came at just the right time. I mean, everybody should watch it now. I mean, Netflix was, I guess, down today, but when Netflix comes back up, everybody should watch this Netflix special by Ronnie Chang.
[33:41.000 --> 33:55.000]  It's a comedian named Ronnie Chang who, he was in Crazy Rich Asians, he plays the a-hole brother-in-law or nephew, I can't remember what the relationship is, but he has a Netflix standup, a standup special that's amazing.
[33:55.000 --> 34:02.000]  And one of the things he talks about in one of the sort of segments or bits that he has is how plentiful everything is in America.
[34:02.000 --> 34:11.000]  And he says, there's just so much stuff, you know, in America. It's like, you go get takeout and they're like, here, have 50 napkins, have 100 napkins.
