[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[11:44.000 --> 11:51.000]  And I got to the bottom and I thought, wow, this they picked the wrong guy to give this access to.
[11:51.000 --> 11:55.000]  Like to me, this was very this is a very lightweight article.
[11:55.000 --> 12:03.000]  Do you ever get one of those? There's a steakhouse in Philly that has these great when you get the bread before your meal, they're really big.
[12:03.000 --> 12:07.000]  And it looks like, holy show, I could never eat that. That's this like muffin type bread thing.
[12:07.000 --> 12:11.000]  And then you open it up, you open it up and there's nothing in the inside. Right.
[12:11.000 --> 12:18.000]  You know, it's like it's actually not a lot of bread. It's like some kind of thing that puffs up and like, you know, like more like a pastry than bread.
[12:18.000 --> 12:23.000]  That's what this article is like to me is very empty.
[12:23.000 --> 12:28.000]  Part of it, though, here's the thing that I think is part of it is look at the timing of it. It came out today.
[12:28.000 --> 12:40.000]  It looks like, you know, it's pretty I don't know how long it is, but it sounds to me like he got this access to to lynch and die sometime after the event last month.
[12:40.000 --> 12:47.000]  But probably a couple of weeks ago. Yeah, it wasn't it wasn't yesterday or 3500 words.
[12:47.000 --> 12:52.000]  Yeah. So at least or at least a week ago. I mean, I think it would be at least a week, maybe more.
[12:52.000 --> 12:57.000]  But some, you know. But anyway, I mean, who knows? Maybe he did. But it certainly doesn't sound.
[12:57.000 --> 13:06.000]  And Pierce never says here's the thing. Pierce never says in here that he's had the watch that he himself is, you know, got access to one.
[13:06.000 --> 13:12.000]  And it doesn't read like a review in any way. So I'm guessing he didn't.
[13:12.000 --> 13:23.000]  I mean, I'm sure that they had, you know, you know that he got to see demos from the watches that lynch and die and others were wearing and that they had demo units similar to the ones that were at the event, et cetera.
[13:23.000 --> 13:27.000]  But he didn't get he doesn't have firsthand experience of what it's like to use the watch.
[13:27.000 --> 13:31.000]  So how do you write this story? Like so on the one hand, I think I could have done this better.
[13:31.000 --> 13:41.000]  But on the other hand, even if they had offered it to me, I don't see how I could have accepted it unless they gave let me use the watch for a week first so that I'd have a frame of reference.
[13:41.000 --> 13:48.000]  Like, how do you how do you talk to the two people? And, you know, the two maybe they're the only two sources he has on the record.
[13:48.000 --> 13:56.000]  But Die is the user interface point person for the watch or they say for all of Apple's human interface group.
[13:56.000 --> 14:05.000]  But led the you know, the team that did the watch interface and Lynch was in charge of the software team that implemented the designs.
[14:05.000 --> 14:18.000]  So I don't understand how you have the best possible interview with those two, unless you are familiar with the product that they're talking about.
[14:18.000 --> 14:26.000]  So, you know, I understand why Apple might want an article coming out before, you know, the preorders to keep the hype level up.
[14:26.000 --> 14:31.000]  But it's to me a waste of time. So on the one hand, I wish that they'd pick me to write it or ask me to write it.
[14:31.000 --> 14:38.000]  But on the other hand, there's no way I would have accepted it unless I had firsthand experience with the watch because I'd feel like I'm going in blind.
[14:38.000 --> 14:44.000]  Yeah, well, that's why and you're right. I'm saying a PR disaster is a little a little strong, but because who knows how much is going to break through.
[14:44.000 --> 14:51.000]  But the this is why I I place that's one of the many reasons why I place.
[14:51.000 --> 14:57.000]  I think this article reflects poorly on Apple's Apple's communications team.
[14:57.000 --> 15:01.000]  And the reason is a few things. One, the reasons you just articulated. Right.
[15:01.000 --> 15:06.000]  Like if if it is like one, maybe they did pick the wrong guy. I don't know. I don't know. I don't know. David Pierce.
[15:06.000 --> 15:14.000]  He has a great reputation. So, you know, but you're right. He was put in a difficult position by having to write about something that he.
[15:14.000 --> 15:21.000]  You're right. I agree. It seems like he hasn't used to.
[15:21.000 --> 15:31.000]  Like. There's there's there's a certain art to messaging something and and origin stories and things like that.
[15:31.000 --> 15:39.000]  And and it might be true that Apple decided to watch and then figured out.
[15:39.000 --> 15:44.000]  But I would also bet that Apple decided to do a phone and then figured out what it would do as well.
[15:44.000 --> 15:54.000]  Like there's like the thing what the thing about this thing that everyone's latching onto is if you actually think about it, it's not really that controversial.
[15:54.000 --> 16:02.000]  Like that's how that's how products like this, like products like this are developed.
[16:02.000 --> 16:08.000]  But that's not how you necessarily tell the story. The way you told the phone story was we all hated our phones.
[16:08.000 --> 16:21.000]  So we want to do something better. Right. And that that was the line. And everyone remembers that and remembers Steve Jobs saying that at the keynote and that that line.
[16:21.000 --> 16:25.000]  Like that's there's no line like that about about the watch.
[16:25.000 --> 16:37.000]  And now the line that is that is especially with this article going to kind of become cemented, particularly on the tech press, is that Apple want to make watch.
[16:37.000 --> 16:44.000]  Yeah, I think I am. I am in complete agreement with you. I don't think it's damning and I don't think it's I don't whatever the app is.
[16:44.000 --> 16:49.000]  What's the opposite of damning? I don't think it's anything. It's nothing. Because I think I think you're right.
[16:49.000 --> 16:53.000]  All products start like that. Like, OK, let's try to make a phone and see if it comes out.
[16:53.000 --> 16:57.000]  Or really, like the way Apple did it was let's try to make a phone. And they made two phones.
[16:57.000 --> 17:18.000]  Right. There was the Fidel team working on the iPod OS version of the phone and there was the four stall Bertrand Serlet side trying to do the we can seriously we can strip down OS 10 to something that will run on this trust us side.
[17:18.000 --> 17:21.000]  And then it was like, OK, this is the one.
[17:21.000 --> 17:27.000]  Well, the news with the phone is the phone had a reason to exist, and that was that it was a phone.
[17:27.000 --> 17:36.000]  And what's funny about the line that we're talking about is like everyone pretends like I don't know why it's in parentheses.
[17:36.000 --> 17:39.000]  You're right. Like the watch does have reason to exist. It's a watch.
[17:39.000 --> 17:54.000]  Like it it does the time. And now, admittedly, this is a this is less compelling because everyone needs a phone. But clearly over the last several years, more and more people have decided they don't need watches.
[17:54.000 --> 18:08.000]  So I appreciate that there's more of a need to to, you know, to create value outside of that, to get people who have never worn a watch to start wearing it, start wearing one.
[18:08.000 --> 18:21.000]  That said, it's not like they're like this is Google Glass, for example, where there was no there was no preexisting kind of thing for it to fit into.
[18:21.000 --> 18:26.000]  Like there is no framing for it to fit into. It was a it was a completely new to the world thing.
[18:26.000 --> 18:31.000]  Whereas the phone was a phone, but more and this is a watch, but more.
[18:31.000 --> 18:36.000]  And I think this is why Apple and this is this is almost where Apple kind of got it, but not quite.
[18:36.000 --> 18:41.000]  That's why, like Tim Cook, the first thing said about the phone, it keeps super accurate time, which was kind of weird.
[18:41.000 --> 18:46.000]  But I think that was the idea was establishing that this is a watch first and foremost.
[18:46.000 --> 18:50.000]  And that's why it's called Apple Watch. It's not called a smartwatch. And all all that sort of stuff.
[18:50.000 --> 18:58.000]  And and I think you see that in here because there is like all the imaging about a lot of the imaging about like the watch faces.
[18:58.000 --> 19:07.000]  And there's the thing about the Mickey Mouse thing in the air and the sort of thing. And like so I think Apple was going for that.
[19:07.000 --> 19:13.000]  But there's just a there's a lack of clarity, I think, in in their messaging.
[19:13.000 --> 19:19.000]  And and frankly, I mean, I think Apple, the company is doing very well.
[19:19.000 --> 19:25.000]  But I think this is an era they've struggled with, you know, kind of consistently since since Steve Jobs kind of passed away.
[19:25.000 --> 19:28.000]  And this was if you think about this is the one area that he really did micromanage.
[19:28.000 --> 19:34.000]  Like he he looked over everything and approved everything when it came to messaging.
[19:34.000 --> 19:38.000]  And the fear about micromanaging is what happens when the micromanager goes away.
[19:38.000 --> 19:43.000]  Do the people that are left have the skills and ability to come up with stuff of their own?
[19:43.000 --> 19:49.000]  Are they just people who implement it? And I haven't seen super compelling evidence, quite frankly, in the last several years.
[19:49.000 --> 19:56.000]  I've written about this several times that Apple really has their their messaging muscle fully developed.
[19:56.000 --> 20:02.000]  Hold that thought, because I I want to come back to that exact point. Hold that.
[20:02.000 --> 20:06.000]  I want to go back. What do my hands in your hands? OK.
[20:06.000 --> 20:15.000]  Because I'm really bad at holding a thought. Because that's another meta point that I want to make.
[20:15.000 --> 20:26.000]  But to go back to my admitted pettiness, complaining about the article and professional jealousy, I'm also I don't do that all the time.
[20:26.000 --> 20:32.000]  I certainly like the Ian Parker profile of Johnny Ive in The New Yorker from a few I guess it's a few months ago now.
[20:32.000 --> 20:39.000]  Yeah, February 23rd was fantastic. Absolutely tremendous. A piece for the ages.
[20:39.000 --> 20:42.000]  I don't even know that I have a niggle about it.
[20:42.000 --> 20:50.000]  I guess my only niggle was that when he quoted me that he didn't quote the better part of the line.
[20:50.000 --> 20:54.000]  So we'll get to your quote soon in this article. I'm not. Yeah, exactly.
[20:54.000 --> 21:00.000]  I'm not above you know, I don't. Every single time somebody gets access to Apple, I'm not.
[21:00.000 --> 21:03.000]  I don't think, wow, that should have been me. This Ian Parker story for The New Yorker. Fantastic.
[21:03.000 --> 21:14.000]  Also, I've been endless in my praise for the new Becoming Steve Jobs book, which I think is fantastic and I recommend to everybody.
[21:14.000 --> 21:21.000]  And I think it's I'm not gonna say it's perfect, but I think it is excellent, truly excellent and a great complement to everything.
[21:21.000 --> 21:28.000]  That's especially as a complement to all the other books that have been written about Jobs and Apple in the last few decades.
[21:28.000 --> 21:35.000]  So it's not like I always complain about people who write about Apple. You know, it's not like I'm constantly saying I could have done that better.
[21:35.000 --> 21:43.000]  I could have done that better. But I just think in this case, a lot of people could have done this better.
[21:43.000 --> 21:52.000]  Yeah, but I mean, at the end of the day, like, I mean, I think the the fault for the Isaacson book book falls on Jobs.
[21:52.000 --> 22:07.000]  Yeah, I do, too. Well, both. I'd say both. Well, I mean, yes, it does. But but like, you know, one one can suspect that, you know, why didn't Jobs pick someone that knew him well and knew Apple well and new technology well?
[22:07.000 --> 22:14.000]  Well, and there's a great there's a great story in Becoming Steve Jobs that Bruce Schlender tells of when he was at The Wall Street Journal.
[22:14.000 --> 22:30.000]  One and this was like in this is before he I think it was before he met Jobs the first time and why he was nervous meeting him the first time in the 80s was that he had a colleague at The Wall Street Journal who got an interview with Jobs, I think, while he was still at Apple.
[22:30.000 --> 22:38.000]  And he was like, Jobs just interrupted the interview and said something to the effect of, do you understand anything at all about this fucking stuff that we're talking about?
[22:38.000 --> 22:52.000]  Do you understand any of this? Just called him out on it, you know, and a guy probably didn't. And I kind of feel like if you know, I think Jobs is probably a really good judge of whether people understood the stuff that they were talking about.
[22:52.000 --> 23:04.000]  I think it was really hard to bullshit that man. I think he had to know that Isaacson just didn't know what the fuck he was talking about with his work, which I you know, I agree the buck stops with jobs.
[23:04.000 --> 23:19.000]  Well, that's the same thing here. I mean, like, this is like, I don't think I don't think this article accomplished what Apple wanted it to accomplish. And, and I think the buck stops, stops with Apple.
[23:19.000 --> 23:35.000]  Yeah. So let's think back. So this idea, hey, let's make a watch. And we don't know what it's going to do. But let's just set out to do it. And that, like you said, a lot of people are latching onto this as proof that it's the whole thing was doomed and folly. That's it. I think that's exactly what they do with everything.
[23:35.000 --> 24:04.000]  The key is to go back to that line from a year or two ago that thousand knows forever. Yes. Right. Do well, do 1000 crazy things. And the the the trick isn't in coming up with the brilliant idea from the outset, right? That's, that is, that's death, if you only if you just sit there and wait at the idea stage until you have a perfect idea, and it's all comes together, and then go build it. That's death.
[24:04.000 --> 24:29.000]  That's the way you make crap products, you have to get your hands dirty, get the clay and start molding the clay and start making things and try it and look at it and think is this anything and then if you think it's something keep going. And then even after you've spent a lot of time on it, eventually you've got to say, well, it was worth it. But no, we're not going to do this. And then you know, you abandon it.
[24:29.000 --> 24:58.000]  There's Paul, Paul Thorat posted it posted to like a bunch of like old, old stuff that he had today. And he posted this amazing kind of like, like, statue type thing that was like a, a, a, a concept case for Longhorn. It was like these three CDs and a glass case. And it was way overdone and out of there. But it's funny that you mentioned that because that was like the classic case of pre like pre planning.
[24:58.000 --> 25:12.000]  Like Microsoft, oh, we're going to do all this stuff. We're going to redo the file system. We're going to redo like all like use relational databases, like all this crazy stuff. And they got so focused on the like, this is the idea. And now we're going to make it happen that they spun themselves into the ground.
[25:12.000 --> 25:24.000]  And took in two years to recover from that. And no, I think you're exactly right. Like you, you, you, you don't start with an idea. You start with a ton of ideas and whittled down.
[25:24.000 --> 25:45.000]  So it's a three year project. And the the idea, you know, that people are latching on to the idea that the that the mistake was made back on day one when they said, let's make a watch and figure out what what it could be good for. No, if if the watch is a bad product, if it's if this is, you know, or even not, not bad, even if it's just not great.
[25:45.000 --> 25:57.000]  The problem wasn't on day one, the problem was on day, you know, 800 700 somewhere around there, maybe even 900 when they didn't just say, you know what, no, this isn't good enough.
[25:57.000 --> 26:10.000]  It's not at the beginning stage is that the note it's at that end stage. It's having the discipline of, you know, what do they say killing your babies. And even though you've invested two years in this, you may have to backtrack a year.
[26:10.000 --> 26:20.000]  And there is some of that in here. There's some of that in this in the wired story where they say that they've, you know, had to rebuild some of the software from scratch three times.
[26:20.000 --> 26:44.000]  I thought was interesting that they actually had the same interface as the pebble time. Yes, yes, I that was one of the that was one of the things I called out, I actually called that out. Let me see here. Here's the quote.
[26:44.000 --> 27:13.000]  Are focused on streamlining the time it takes a user to figure out whether something is worth paying attention to. So yeah, it sounds, which is and again, that drove me nuts, though, that Pierce didn't delve more into that into their ID, if they told him about that idea, I would have loved to hear more about it, and see just how much it was like the pebble 2.0 interface, because that's that's the pebble 2.0 is what is up as old and down is up as old the middle is now and down is the future.
[27:13.000 --> 27:30.000]  Right, and I think it sounds like the criticism is and now we're like reading into an article that that was reading into whatever, but was that that was everything the same level of priority and and so now you're just you're just scrolling through stuff that may be important stuff that may not be.
[27:30.000 --> 27:48.000]  And then the insinuation here is, I think that Apple redid the interface to to more surface things in the moment and then either have them go away or have them or or or or, you know, have it be more immediate and more more reaction, you know, reactive.
[27:48.000 --> 28:15.000]  Yeah. Alan Dye is actually an interesting guy. I don't know him, you know, personally, but is he's act and he's, I knew of him. And he's, even though his name probably isn't that well known, is somewhat controversial if you consider the whole, you know, you change in UI direction from iOS seven and Yosemite to be controversial, because he led that work, you know, working directly on drive.
[28:15.000 --> 28:20.000]  And it's the fact that his background is graphic design.
[28:20.000 --> 28:34.000]  Yeah, I was I was thinking the exact same thing and he came into Apple and Schiller's product marketing group, and did things like the packaging, you know, like boxes and stuff like that.
[28:34.000 --> 28:49.000]  And then moved to take a leadership role in user interface design. And the it's like I said, I would call it controversy and people inside Apple. I know, you know, there are people who strongly disagree with the direction.
[28:49.000 --> 29:08.000]  I think that that is the criticism of the Iowa seven aesthetic is that it looks fantastic, but there's a difference between looking good in a screenshot and and actually being something that you interact with. And I think all the criticism is about like the affordances, like how do you know what to do, what to press?
[29:08.000 --> 29:23.000]  And that's something that I do think is lacking and is still lacking. And even though no question, I was seven, I would say look a million times better than than the previous version. It is harder to use.
[29:23.000 --> 29:44.000]  Yeah, and you know, it's inside the company like HR wise, there's been turnover, like where there are. And again, I don't think it's complete. It's not like all of the old human interface team was let go, forced out, and they're all, you know, have new jobs elsewhere.
[29:44.000 --> 29:59.000]  And a whole new team came in. But in some ways, it's, you know, you know, some of the old people are still there. And, you know, not it wasn't a complete reshuffling, but it was definitely
[29:59.000 --> 30:15.000]  somewhat of a reshuffling, right? Yeah, no, I've heard the same thing, you know, that and and there's definitely some, you know, user interface people from the other side, the old school people who have left Apple and are at, you know, Google and other places now in in the valley.
[30:15.000 --> 30:23.000]  And Di is sort of, I forget the other name, I know there's another person who came from product marketing.
[30:23.000 --> 30:31.000]  You know, and there's some resentment from the people who don't think who don't agree with the direction.
[30:31.000 --> 30:38.000]  Just as an aside, let me take a break, and then we'll come back to that point that I told you to keep in your hands. Is that all right?
[30:38.000 --> 30:54.000]  It was slipping through my fingers. But like a reminder, I just re grabbed it. All right, hold on. Let's take a break. And let's thank our first sponsor. It's our good friends at fracture. You guys know fracture, I talked about them. They've been sponsoring the show all year long.
[30:54.000 --> 31:09.000]  Great, great service. They print photographs directly on glass. You take pictures with your iPhone, any camera you want. You've got them. They're all on your computer, right?
[31:09.000 --> 31:28.000]  In the old days, all your pictures ran along. And it was easy. You could just buy a frame, you put the best ones up. We've got everything digital now. It's great to print your photos. It really is your best photos. You put them up, you get some pictures of your kids or your family and stuff like that you put them up on the wall.
[31:28.000 --> 31:47.000]  And then all of a sudden, you look at them. And my God, everybody's older, right? We've got a picture. I just saw it the other day. It was from my wife's in my wedding. And God, it was a long time ago. And there's one of her cousins was just a tiny little girl, like preschool aged. And now she's like a senior in high school. And it's like, holy shit, look at her.
[31:47.000 --> 32:04.000]  What a great reminder. Printing photos. I can't I can't recommend it enough. Well, fracture is a great way to do it. You send them your photos, they print them directly on glass, not a piece of paper stuck to glass. I don't even know how they do it some kind of proprietary secret sauce.
[32:04.000 --> 32:27.000]  They put them right on the glass, just like like the way that like our iPhones are laminated this the pixels are laminated to the glass. It's a fantastic effect. It really looks great. And it lets you mount them in these amazingly minimal ways because there's no reason you don't need to have a border around the frame because there's no piece of paper that's secured to the glass.
[32:27.000 --> 32:46.000]  So you can get these amazing edge to edge just just the glass just the picture just the picture just sitting there. Really, really amazing stuff. Great prices, all sorts of sizes from really small stuff you can put on your desk to really big twike 23 by 23 square.
[32:46.000 --> 33:12.000]  I forget how big the big rectangle one is something 28 inches 27 inches. Really, really big. And the amazing thing about that too, is it ties into I think Apple's campaign with the iPhone six camera the shot with iPhone with just how good iPhone pictures look blown up big, like, we know that the iPhone has a good camera but it's like you still think well it's a phone camera so you can't blow it up real big.
[33:12.000 --> 33:24.000]  Actually you can there's plenty of pixels you can go to 20 some inches with photos taken with your iPhone, and they look amazing. I mean some of the ones in the Apple store they've got blown up to like six feet, and they look great.
[33:24.000 --> 33:27.000]  So where do you go to find out more.
[33:27.000 --> 33:32.000]  Go to fracture me.com.
[33:32.000 --> 33:35.000]  And you can sign up.
