[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[02:24.060 --> 02:28.740]  And then and then I knew though that's the room to look in and then that for that Christmas
[02:28.740 --> 02:34.820]  I went in there and looked around and I saw that I was getting the Millennium Falcon the big-ass Kenner Millennium Falcon toy
[02:35.780 --> 02:37.020]  and
[02:37.020 --> 02:43.020]  Then on this is true. I honestly thought you know what? I'm gonna stop looking for Christmas presents because now I feel terrible
[02:43.020 --> 02:45.020]  Yeah
[02:45.380 --> 02:47.380]  Yeah, I know what you mean
[02:47.620 --> 02:49.700]  It's a little different with the Apple stuff. I
[02:50.540 --> 02:56.300]  Mean, there's a lot of people who you know, when all these stories are coming through they're like, why are you publishing this?
[02:56.300 --> 03:02.920]  This is a lot of information. You're ruining the keynote. I don't look at it that way at all. There's movie spoilers
[03:03.540 --> 03:09.020]  You know people hunting for their birthday gifts. You don't have to read the stuff but just doing my job as a reporter
[03:09.020 --> 03:15.940]  I think what people are a little angry about is that you're so accurate. Yeah. Yeah, maybe a little bit. We'll see
[03:15.940 --> 03:18.180]  I have said I was on
[03:18.980 --> 03:21.820]  Josh Topolsky's tomorrow new tomorrow podcast
[03:22.900 --> 03:28.420]  Earlier this week and then last week with Renee Ritchie here on my show, but both times you came up
[03:29.020 --> 03:35.420]  Just in the eye. I don't see how you can't come up if you're gonna start saying what do you expect for WWDC?
[03:35.420 --> 03:39.620]  But I mean this sincerely I I've been reading
[03:40.020 --> 03:47.940]  You know Apple rumor websites ever since Apple rumor website started and I'm not even saying nine-to-five back is more than a rumor website
[03:48.180 --> 03:51.480]  But the type of sites that publish, you know
[03:53.380 --> 03:56.980]  Ostensibly hopefully informed well-sourced, you know information about
[03:58.500 --> 04:02.940]  Upcoming Apple stuff that is not, you know not intended to be public information
[04:02.940 --> 04:07.260]  I've been following it since since they existed. So it's at least what like 20 years, you know
[04:07.260 --> 04:09.260]  The mid 90s when the web first came up
[04:09.900 --> 04:12.420]  And I remember in the early days
[04:13.020 --> 04:19.780]  Nobody was accurate. They were every site that existed at that time. That was like focused on rumors. I think there was like
[04:20.820 --> 04:27.580]  Mac OS rumors, I always used to get it confused with with now the long-standing website Mac rumors
[04:27.580 --> 04:34.980]  Right, but there was like Mac OS rumors and there were a couple more and their track records were atrocious
[04:36.860 --> 04:41.300]  And it's you know, it's I didn't have the name claim chowder yet from from my good friend
[04:42.220 --> 04:48.360]  Friends at panic the cable Sasser and Stephen Frank, but I've always been obsessed with the notion behind it
[04:48.360 --> 04:56.540]  Which is why does nobody keep track of this crap and and just remember that these this everybody's all excited about this site
[04:56.540 --> 05:01.420]  You know that is reporting something something about you know at the time, you know
[05:01.420 --> 05:05.260]  Like Mac OS 8.1 or something like that when these were the same clowns who a year ago
[05:05.420 --> 05:10.180]  Said this that and the other thing none of which panned out right, right and in that time
[05:10.180 --> 05:12.180]  There have been others who have had better records
[05:13.380 --> 05:15.700]  I've dabbled my toes in it in my own
[05:16.340 --> 05:23.140]  Koi way, but in my opinion nobody has had a run like you've had in the last two years with in terms of accuracy
[05:23.140 --> 05:30.460]  Yeah, I appreciate that. So it's something I wanted to ask you about your run last year before the Apple watch came out
[05:30.460 --> 05:37.140]  You had some koi line about Oh something next month in September when everyone was expecting the watch to come out in October
[05:37.580 --> 05:43.700]  Of last fall. Did you make a mistake there and you happen to get it right or was that like a true like koi?
[05:43.700 --> 05:46.320]  I know it's coming out in September type of thing
[05:48.300 --> 05:50.300]  It's an excellent question mark
[05:50.300 --> 05:52.160]  Ah
[05:52.160 --> 05:54.160]  We want the truth here. I
[05:55.540 --> 05:57.540]  I
[05:57.980 --> 06:02.800]  Didn't know and you know what here's the thing here's the reason that I don't even I
[06:03.620 --> 06:08.020]  Do less and less of that now than ever before is I found that it makes me
[06:11.060 --> 06:13.820]  Unhappy in life unsettled because
[06:15.140 --> 06:17.140]  These things can change
[06:17.140 --> 06:23.260]  But at the time that I wrote that I happened to know that the watch was planned for September
[06:23.260 --> 06:29.820]  But not it was probably sometime in August when I wrote that and I do remember that it was sort of a you know
[06:29.820 --> 06:32.180]  I got picked up by tech meme and and all this stuff
[06:32.780 --> 06:34.420]  I
[06:34.420 --> 06:36.420]  Did know that that was the plan
[06:37.420 --> 06:39.020]  and
[06:39.020 --> 06:43.300]  I you know, but it could change, you know, it definitely I could have been wrong
[06:43.300 --> 06:48.640]  which is why I didn't want to put it in in more concrete terms what I knew was I knew that the they had the
[06:48.640 --> 06:50.640]  bigger venue booked for September and
[06:51.060 --> 06:53.060]  I
[06:54.180 --> 06:58.500]  Just vague, you know and just not first it was very very distant
[06:58.500 --> 07:03.140]  But just you know, I I put it all together and it was very clear that it was September not October. I
[07:06.660 --> 07:08.660]  Think Pat Tchaikovsky had it as
[07:09.500 --> 07:11.300]  October
[07:11.300 --> 07:17.820]  Well, yeah, but when he said October that was like six months before the fall and right between two months worse
[07:17.820 --> 07:24.180]  Like you said things can change so right. Well, he knows what he's talking about for sure. Oh, absolutely. Yeah, he's you know rock-solid
[07:26.900 --> 07:28.140]  So
[07:28.140 --> 07:33.900]  Where do we start? I mean, there's actually a lot of stuff that has come out today. I mean, this is always the case before
[07:34.740 --> 07:39.820]  The right the keynotes. So there's two of the things that are that are today
[07:39.820 --> 07:45.180]  That I saw. I don't know if you saw these so business week or Bloomberg business. I don't know what they're calling it this week
[07:47.340 --> 07:53.260]  Lucas Shaw and Tim Higgins have a report that Apple it as of today Friday, June 5th is still
[07:53.900 --> 08:01.820]  Pushing to complete the music deals before Monday that they don't have all of the music labels on board for the
[08:03.340 --> 08:05.340]  I don't even see how it's
[08:05.340 --> 08:10.380]  It's not even a secret anymore that they're gonna go out with an updated streaming service, right?
[08:11.420 --> 08:15.260]  Yeah, they've always been a sort of 11th hour with those details
[08:15.260 --> 08:21.740]  I know you love that word even with like the book deals back in the first iPad and the newsstand stuff over the last few
[08:21.740 --> 08:26.260]  Years, so I think this is typical Apple every year whenever they do a big media launch
[08:26.260 --> 08:31.460]  We see stories that say hey, you know Apple still working on those deals faxing over some paperwork
[08:31.460 --> 08:35.380]  So this is not terribly surprising. Meanwhile, Eddie Q is
[08:35.900 --> 08:41.740]  Courtside at the Warriors game. Yeah. So who are you rooting for? Oh, I you know what?
[08:41.740 --> 08:45.260]  I used to be I'm a I used to be a huge basketball fan and I
[08:46.220 --> 08:51.460]  Kind of fell out with the NBA and I've kind of been getting back into it, especially this year
[08:51.460 --> 08:56.540]  I felt like the playoffs this year have been terribly exciting. Oh, yeah, absolutely. So I'm going with the Warriors
[08:56.540 --> 08:58.540]  I like the way they play
[08:58.540 --> 09:04.020]  I like the way they play but I have to say I like I do like the comeback story with
[09:04.740 --> 09:09.180]  With James going back to Cleveland and making them an instant contender
[09:09.180 --> 09:13.240]  I think yeah, I think it's two good teams and I like the way both teams play
[09:13.620 --> 09:18.500]  I happen to really really like the offense that that the Warriors play though
[09:18.500 --> 09:23.340]  I really like that penetrating and dish back out style of play
[09:23.340 --> 09:30.900]  Right. I mean, they're both fantastic teams. I agree with you on the comeback story with LeBron basically carrying the team through the East himself
[09:31.220 --> 09:35.780]  But I'm honestly not a fan of the whole Stephen Curry playing tops and play on the Warriors
[09:35.780 --> 09:42.540]  It's too flashy when he takes that 25-foot three-pointer and then turns around before it's going in the basket
[09:42.540 --> 09:48.980]  Like that's it's pretty pompous and I'd say I don't know. I like it. There's something about that that I
[09:48.980 --> 09:54.020]  It appeals to me. I feel like if I had actually been a good player the player that I could have
[09:54.020 --> 09:56.060]  You know would have dreamed of being would have been like curry
[09:56.620 --> 10:01.780]  Yeah, you could have been in the NBA instead of writing during fireball. Yeah, sort of a Reggie Miller style
[10:01.940 --> 10:06.940]  Wouldn't you say you know? Yeah. Yeah. Yeah a bit Reggie Miller similar build, you know
[10:08.140 --> 10:12.040]  Dead dead dead shooter from you know, incredible distance
[10:12.860 --> 10:14.860]  Anywhere, that's crazy
[10:14.860 --> 10:22.320]  But anyway, there's a great picture that's been circulating in the AP today of Eddie Q's sort of cheering
[10:23.720 --> 10:29.760]  Cheering LeBron on from courtside. Yeah, this is why the deals aren't done yet picture proof
[10:30.880 --> 10:36.600]  What a year Eddie Q has had as a basketball fan. He's a Duke fan and a Warriors season ticket holder
[10:36.600 --> 10:40.640]  so his college team already won the college championship and
[10:40.640 --> 10:45.520]  And and his pro team is one game up in the finals
[10:46.200 --> 10:52.160]  Yeah. Yeah. Well, we'll see how that works out over the next couple weeks. I still think LeBron has a comeback in him
[10:52.520 --> 10:58.560]  I'll tell you that's the thing about the NBA Finals is it's where you know the team with the greatest with it
[10:58.560 --> 10:59.800]  You know, it sounds stupid
[10:59.800 --> 11:02.920]  but it's the one sport where I think it's true where
[11:03.280 --> 11:08.760]  When it comes to the finals the team that if there's two teams with like a Hall of Fame type player
[11:08.760 --> 11:11.680]  And I wouldn't even say that Curry's a Hall of Fame type player. It's too early
[11:11.680 --> 11:15.040]  But right, you know if he continues where he is, he will be
[11:16.320 --> 11:23.100]  But with the greatest of the greater of the two all-star stars usually wins regardless of the other
[11:23.620 --> 11:30.840]  Peripheral players on the team. Yeah, I'd agree with that. Right? I mean like and you know, the Jordan teams were the perfect example
[11:30.840 --> 11:32.840]  I mean Pippen was great and
[11:32.840 --> 11:40.680]  Uh, what was what's his name? Uh, the crazy fella Dennis Rodman, right? Rodman was a incredible force to be reckoned with but
[11:41.240 --> 11:45.940]  The truth is you know Jordan when it came down to it could carry the team on his back
[11:46.320 --> 11:49.480]  Yeah, same thing with Kobe a few years. Yes. They won. Oh
[11:50.300 --> 11:53.960]  Absolutely. Yeah, like the Kobe teams without Shaq
[11:54.560 --> 11:58.600]  Right. I love Kobe right huge Kobe fan, but no but he had that ability
[11:58.600 --> 12:06.000]  there's that's the weird thing and you know, maybe the quarterback in football is the closest that you can get to that but the idea of
[12:06.920 --> 12:08.920]  Keep it within a handful of points
[12:09.520 --> 12:15.980]  To three minutes to play and then let let him take over whoever you know, that may be
[12:16.400 --> 12:18.400]  Yeah, and it's game over, right? Yeah
[12:19.200 --> 12:22.520]  So, I don't know. Do you think Eddie's gonna go to the Sunday night game? I
[12:22.520 --> 12:28.620]  Can't believe that I good question. I'm gonna watch out for that. That's the thing to watch game
[12:28.620 --> 12:34.360]  Yeah, you know my understanding and Apple, you know, one of the things that they've always been pretty secretive about
[12:34.880 --> 12:36.880]  if not totally secret about is their
[12:39.000 --> 12:44.000]  The process that they go through to rehearse keynotes, you know, they just don't talk about it, you know
[12:44.000 --> 12:47.460]  They've it goes through the weekend though. They're there right now. They'll be there this weekend
[12:47.460 --> 12:53.900]  It definitely goes through the weekend, but I've heard stories that there have been times where it goes
[12:54.740 --> 12:59.320]  Almost surprisingly late Sunday night given that you know
[13:00.980 --> 13:07.580]  You know that it's they're gonna be on stage and they want to look fresh, you know, 10 o'clock Monday morning, right, right
[13:08.820 --> 13:11.840]  We'll see Eddie shows up in his Warriors jersey or not
[13:11.840 --> 13:18.800]  You know, well and I expect that Eddie would have a major role in it because the way that Apple
[13:19.440 --> 13:22.240]  does keynotes is whoever is I
[13:22.800 --> 13:25.840]  Don't know if it's quite the it, you know that internal lingo of DRI
[13:25.840 --> 13:30.120]  but whoever the executive is who's in charge of whatever it is that's being
[13:31.000 --> 13:34.560]  Keynoted is the one who presents it and if you know, absolutely
[13:34.920 --> 13:39.480]  It seems like there might be a big chunk of the keynote. That's gonna be an eddy cues
[13:39.480 --> 13:41.480]  a domain
[13:41.760 --> 13:44.300]  Like what with Eddie key there's Apple music
[13:45.160 --> 13:51.780]  Well, and well, it's about it. Yeah. Well, I guess if if it's true that Apple TV isn't making the cut
[13:52.680 --> 13:56.720]  Yeah, I think that those were I mean, there's three reports on it from three reputable
[13:57.440 --> 14:03.640]  Sites and just in the days before the keynote. So I think that that's probably right that they they cut it out
[14:03.640 --> 14:08.520]  I didn't see three. I saw Brian X Chen at the New York Times said no new Apple TV hardware
[14:08.520 --> 14:10.520]  Well, what else did you see?
[14:11.400 --> 14:13.320]  Patch Kowski at BuzzFeed
[14:13.320 --> 14:17.080]  Overrated that and then recode as well all the matter of minutes, huh?
[14:17.080 --> 14:20.840]  I did not see that so that that's really telling them
[14:21.160 --> 14:26.920]  I'm surprised you didn't have any take on Chen's report saying that they cut it out in mid-may
[14:29.760 --> 14:31.760]  What do you think about I
[14:32.280 --> 14:34.280]  That sounds
[14:34.280 --> 14:39.040]  It's unusual. I think right but it sounds about right given that
[14:39.640 --> 14:45.200]  What I had heard last I'd heard is it was set for WWDC, but I haven't heard anything likewise
[14:45.720 --> 14:53.580]  I even spoke to someone very reliable after those reports came out who said that the SDKs and all that they're preparing for Monday
[14:54.000 --> 14:57.880]  Still has or as of that day still had all the TV
[14:57.880 --> 15:05.760]  Kit stuff intertwined in there. So when developers pull the thing apart, I wouldn't be surprised to see some references to that on
[15:05.760 --> 15:10.960]  Monday afternoon or whenever people get their hands on it. Hmm. Well explain that to me though. What do you mean by that?
[15:10.960 --> 15:13.320]  So besides the Apple TV hardware, right?
[15:13.320 --> 15:18.920]  They're gonna have or they were planning an Apple TV SDK so developers could write
[15:19.000 --> 15:22.880]  You know apps for it the control from an iPhone or that new controller
[15:22.880 --> 15:30.300]  But now that you know, they're pushing back the hardware. It seems likely that they're probably gonna push back the SDK as well
[15:30.800 --> 15:37.060]  So what I heard was in terms of this being like a late decision that the SDK still has the tools
[15:37.440 --> 15:44.080]  For developing the Apple TV apps in it the SDK for iOS 9 that they're good. Oh, I see what you mean
[15:44.080 --> 15:45.640]  I was not I got you got right
[15:45.640 --> 15:50.140]  So now I assume or it could be assumed that they're scrambling to remove that
[15:50.140 --> 15:53.880]  Functionality from the build or releasing an older build without it
[15:53.880 --> 15:59.020]  so or just they just say screw it and let let everybody rip it apart Monday afternoon and
[15:59.540 --> 16:03.900]  So be it. Yeah, we'll see because they know that I mean, there's no you know, when
[16:04.820 --> 16:09.820]  Everyone's not something is left behind in an SDK and it seems pretty clear. It's a mistake
[16:10.380 --> 16:14.860]  Something like this would not be a mistake something like this would be what are we gonna do?
[16:15.260 --> 16:19.860]  Right back in the day when I first got my start writing they would leave stuff back all the time
[16:19.860 --> 16:21.860]  I remember with the iPad 2
[16:21.860 --> 16:23.380]  every spec
[16:23.380 --> 16:29.620]  Wallpapers everything was right and left in the SDK, but they've gotten better over the years like the last big league
[16:29.620 --> 16:36.700]  I remember was the fingerprint sensor in the iOS 8 SDK, but even that was pretty hidden
[16:36.700 --> 16:41.980]  Yeah, and even every once in a while something like icons or something like that, right? Right the icon show something
[16:44.380 --> 16:47.140]  So why I'm I
[16:47.140 --> 16:49.940]  I didn't read patch cow. I don't know how I missed it. But
[16:50.940 --> 16:54.620]  What's the what did patch Kowski say about why there's no?
[16:55.340 --> 16:57.340]  Apple TV hardware. I
[16:57.500 --> 17:03.980]  Don't remember exactly what he said, but something in the lines of it not being ready for prime time or something like that
[17:04.180 --> 17:10.920]  Yeah, I think that there were some people who were speculating that it was because the TV service
[17:11.260 --> 17:16.320]  You know with this idea that they're gonna have like you pay $20 a month or I don't know
[17:16.320 --> 17:21.380]  I made the number up but you pay X dollars a month to Apple and then you get a package of
[17:22.100 --> 17:23.780]  20 or 30
[17:23.780 --> 17:27.540]  Cable channels content. Yeah, I don't think that's the case at all
[17:27.540 --> 17:30.940]  I think the plan along was to announce the hardware apps
[17:31.660 --> 17:37.660]  SDK in June right release it soon after the keynote and then introduce the TV service and say
[17:38.140 --> 17:42.900]  Hey, you're gonna get the hardware now and then the service will come with a software update in the fall
[17:42.900 --> 17:48.300]  And I think that was always the plan and in the meantime, you can still get all of the iTunes content
[17:48.300 --> 17:53.940]  You already can you can buy episodes by the episode you can rent and buy movies, you know
[17:53.940 --> 17:57.220]  All the content you already know and love on Apple TV is already there
[17:57.780 --> 18:01.620]  Exactly and for their marketing scheme that would be that would be amazing for them
[18:01.620 --> 18:05.840]  Totally Apple to have it come out and roll out and then get all the exposure once again
[18:06.020 --> 18:11.100]  When the new service is ready in the fall. Yeah, so I don't think the two are connected in terms of
[18:11.100 --> 18:15.940]  The WWDC announcement being pushed back. Yeah, I'm I
[18:17.260 --> 18:21.940]  Suspect the same thing. I have to say I and then and I'm not being coy here. I really do know nothing
[18:21.940 --> 18:27.780]  I'm as surprised by this as anybody because I had heard just you know little things in it, you know for months
[18:27.780 --> 18:33.700]  I had heard that that Apple TV hardware was was on pace for WWDC along with the SDK etc
[18:34.100 --> 18:35.580]  I
[18:35.580 --> 18:37.580]  think though just my
[18:37.580 --> 18:43.100]  Spidey sense about the company is that if they're not announcing it on Monday, that means it's not ready
[18:43.820 --> 18:44.740]  Right, right
[18:44.740 --> 18:51.700]  I agree because I think that they probably wanted to ship it just a few weeks or a few months after the WWDC keynote and
[18:52.180 --> 18:54.180]  They're probably not able to hit that anymore
[18:54.180 --> 18:55.660]  so they want to just push back the
[18:55.660 --> 19:00.780]  announcement and maybe they feel like if they wait till the fall to announce it they can release the hardware like a week and a
[19:00.780 --> 19:05.140]  Half later do with iPhones and have plenty of quantity ready to go. Yeah
[19:05.140 --> 19:10.940]  Yeah, and it might be the sort of thing where you know, just loosely speaking
[19:10.940 --> 19:13.420]  I I have a sense that
[19:14.420 --> 19:19.820]  I mean iPhone is still a huge deal for the company. It's the biggest deal financially by
[19:20.340 --> 19:25.980]  Introducing new iPhones is harder and harder to make a big deal out of because it's a well-known
[19:26.620 --> 19:30.540]  product and so just like my example like I've said about last year, so
[19:30.540 --> 19:38.260]  Again, the two most popular iPhones that I've ever introduced, you know best-selling have propelled the company to new heights
[19:38.860 --> 19:40.500]  but
[19:40.500 --> 19:43.140]  There wasn't that much to say about them. They were self-explanatory
[19:43.460 --> 19:49.520]  It's the iPhone, you know and love except now it's thinner and it's bigger or really bigger
[19:50.180 --> 19:53.140]  Yeah, and it has an uncomfortable camera nubbin
[19:54.700 --> 19:57.380]  Yeah, they hit in the marketing show, right so
[19:57.380 --> 20:04.660]  So that's why I think that they wanted to pair it with the watch
[20:05.260 --> 20:10.300]  introduction and the fact that they could throw in Apple pay in between them as an introduction is
[20:10.460 --> 20:15.620]  icing on the cake because then that way they can hold their biggest event of the year or at least the biggest standalone event if
[20:15.620 --> 20:17.180]  You don't count WWDC
[20:17.180 --> 20:24.140]  Right and have big things to announce other than just the iPhone because it's really really hard to I think it was
[20:24.140 --> 20:27.260]  You know, however long Schiller was up there talking about the iPhones
[20:27.260 --> 20:31.380]  I think it would have really would have been hard for him to go much longer just because right
[20:31.380 --> 20:33.140]  There's not that much more to say
[20:33.140 --> 20:39.100]  Right. I agree there. So this fall probably like you said it would probably they'll probably double up on the iPhone and TV
[20:39.180 --> 20:45.980]  Yeah in September and maybe have a big iPad event in October with the new air mini and the bigger one the pro if that's ready
[20:45.980 --> 20:50.420]  Yeah, and whatever other you know others, you know, but like a smaller event maybe on campus again
[20:50.420 --> 20:57.260]  But I'd expect a big event September who we are skipping WWDC and talking about September, but that's what I would yeah
[20:57.820 --> 21:02.020]  But and I think you know if they're thinking hey, the software is not ready. Why release it now
[21:02.020 --> 21:05.340]  the only reason to do it would be so that they could have
[21:06.380 --> 21:11.560]  Whatever they're gonna call it TV kit, whatever, you know, it's called TV kit sessions at WWDC
[21:11.580 --> 21:16.140]  But if they introduce a new W a new developer API outside
[21:16.540 --> 21:18.300]  WWDC in the fall
[21:18.300 --> 21:24.980]  So be it, you know, right? Yeah, I mean they've done that before. I mean they did that with the original iPad, right?
[21:24.980 --> 21:28.660]  They introduced the iPad and said you've got you know, four weeks
[21:29.100 --> 21:34.180]  Update your apps to run on it go right and I won't be surprised at some big major app partners
[21:34.180 --> 21:39.540]  Maybe get the SDK seated to them and maybe July August late summer time frame ahead of time
[21:39.540 --> 21:44.240]  All right. All right. So I do think I think you know the writings on the wall that TV is out
[21:45.140 --> 21:47.420]  right, all right, let me take a break and
[21:47.420 --> 21:50.800]  Thank the first sponsor this this episode
[21:52.400 --> 21:56.780]  Haven't been here as a sponsor for a while, but they used to be and I'm delighted to have them back
[21:56.780 --> 21:59.240]  It's our good friends at harvest
[22:00.100 --> 22:07.300]  Harvest is a beautiful well-designed business tool for tracking time spent on client projects
[22:08.580 --> 22:10.580]  Started I believe I could be wrong
[22:10.700 --> 22:16.460]  But my recollection is that harvest started specifically as a prod as a product for designers tracking time
[22:16.460 --> 22:22.100]  And then they've expanded it to be sort of a general-purpose time tracking tool for anybody with a job where you want to track time
[22:22.660 --> 22:29.500]  But to me the best part is that because they started with these designer focus roots. It really is beautiful
[22:29.500 --> 22:32.420]  It is a really really good-looking app and system
[22:33.180 --> 22:39.940]  so the it's and it's really really focused on on being as simple as possible so that it is as easy and
[22:40.540 --> 22:42.780]  You don't even have to think about it to just get started
[22:42.780 --> 22:49.180]  You just start a timer from anywhere from your web browser from a desktop app your mobile device. They've got apps for everything
[22:49.860 --> 22:56.100]  And you just start a timer say what you're working on and then when you're done you hit stop and all of your time is
[22:56.100 --> 23:01.820]  Accounted for so no matter where you find yourself working, you know your desktop where you've got a big 5k
[23:02.900 --> 23:06.820]  Cinema iMac or in a coffee shop where you're on a different device
[23:06.820 --> 23:13.220]  You can still use the same system to track all of your time and it's really really focused on just making it easy
[23:13.340 --> 23:18.040]  Then after you've done all the work your tracked hours appear in visual
[23:18.380 --> 23:24.900]  Time reports designed to keep your projects on time and within budget and you can account for all your time
[23:25.060 --> 23:27.060]  Your projects are all
[23:27.060 --> 23:29.060]  Separated the way you want them to be
[23:29.580 --> 23:34.180]  And then it's easy to use those reports to see which of your clients and projects are
[23:34.180 --> 23:37.640]  Making you the most money and which are the ones that are costing you
[23:38.620 --> 23:41.140]  So it really helps you to be a more efficient
[23:41.740 --> 23:46.580]  You know consultant whatever you want to call it whatever you're doing that you're tracking your time with
[23:47.900 --> 23:53.940]  You can also even create invoices with your billable hours right from harvest so you can track your time
[23:54.820 --> 23:58.460]  Report your time and then even invoice so it all from the same system
[23:58.460 --> 24:01.740]  So here's where you go to find out more go to get harvest.com
[24:01.740 --> 24:04.060]  get harvest.com and
[24:04.800 --> 24:08.940]  use this coupon code the talk show all one word and
[24:09.780 --> 24:15.060]  You'll get a 30-day free trial and you'll save 50% on your first month
[24:15.340 --> 24:19.580]  So use the code the talk show 30-day free trial 50% off your first month
[24:21.220 --> 24:23.220]  All right, what else we got next week
[24:24.780 --> 24:26.780]  Obvious stuff now, here's the stuff that's no surprise
[24:26.780 --> 24:34.820]  Just in broad strokes new version of iOS gonna be called iOS 9 and a new version of OS 10 10.11
[24:35.740 --> 24:41.140]  Right. So what's the OS 10 name? You got last year, you know, what's your take this huh? You know what?
[24:41.140 --> 24:45.520]  So I mean in the spirit of openness, I will tell you
[24:47.120 --> 24:49.120]  Yosemite was a complete guess on my part
[24:49.700 --> 24:55.220]  Honest to God nobody's nobody from Apple. Nobody ever said I you know, hey, it's called Yosemite
[24:55.220 --> 24:58.100]  It did make a lot of sense. Well, my thought was
[24:59.580 --> 25:04.300]  Mavericks gave away that they're the type of place they're looking for like a nature
[25:05.220 --> 25:12.900]  You know big scenic type thing. I knew that it was going to be the version that has the big UI overall
[25:13.740 --> 25:18.700]  Which at least you know in marketing terms means it's a big OS update
[25:18.700 --> 25:26.380]  Sure, because it looks new and so Yosemite to me was the it's the big obvious one sort of like with the cat names
[25:26.380 --> 25:32.020]  The way that like lion was a big one that they were waiting for tiger was, you know, tiger and lion were the two big ones
[25:32.420 --> 25:33.960]  Yeah
[25:33.960 --> 25:40.660]  So I just guessed Yosemite. I have no idea this year because I really I don't I'm not even that familiar with with
[25:40.940 --> 25:43.580]  California's, you know natural park system or or
[25:45.220 --> 25:47.220]  Beaches so I no guess this year
[25:47.220 --> 25:49.220]  Okay
[25:49.900 --> 25:56.300]  Hmm do you have a gang sir, maybe big sir or see l cap that's like a part of Yosemite, right?
[25:56.300 --> 26:01.180]  I'm not too caught up in the geography either. Yeah, I think it is right and so
[26:02.020 --> 26:06.580]  This update from what I'm hearing is not going to be a huge update
[26:07.300 --> 26:14.900]  Functionality wise or user interface wise so maybe going with OS 10 l caps kind of like build off of that
[26:14.900 --> 26:18.060]  You're somebody name could make sense. Ooh, that's a good guess
[26:18.060 --> 26:22.900]  I've heard the same thing and it's not just I know you've reported this but I've heard and especially
[26:23.660 --> 26:28.060]  Which we should definitely talk we could we can tie this in together, but sure
[26:28.060 --> 26:31.780]  I think you I don't want to I don't want to put words in your mouth
[26:31.780 --> 26:38.200]  But I think you've reported that in both cases with both OS is there's more of an emphasis on on
[26:38.200 --> 26:47.120]  Cleaning up the edge cases and the details and bug fixes and refinements, you know, not quite as
[26:47.680 --> 26:53.640]  Drastic maybe as snow leopard was but that sort of OS update, but I think it's deaf from what I've heard
[26:53.640 --> 27:00.420]  That's more the case with OS 10 than with iOS. Yep. I heard the exact same thing. So
[27:00.940 --> 27:07.580]  On iOS, it's kind of like meeting in the middle maybe with a snow leopard and like a standard annual upgrade
[27:07.580 --> 27:13.140]  so they're really focusing on making sure it works well through the QA processes and
[27:13.500 --> 27:20.660]  Performance and efficiency wise but also adding new features but on OS 10 the only user facing new feature
[27:20.660 --> 27:26.980]  I've heard about is control center. Hmm interesting. Yeah, I don't I actually don't know of anything
[27:29.060 --> 27:32.560]  Yeah, I don't know of anything and I only know about control center because of you
