[00:00.000 --> 00:01.840]  Are you recording?
[02:45.120 --> 02:51.680]  Dan Fromer, friend of the show, occasional guest of the talk show, pointed out the sort
[02:51.680 --> 02:57.580]  of irony in that is that SoundCloud is effectively Odeo 2.0.
[02:57.580 --> 03:07.200]  And Odeo was like, hey, this must be like back in like 2004, 2005.
[03:07.200 --> 03:12.460]  But it was Ev Williams and Biz Stone and all these guys, you know, they left Google after
[03:12.460 --> 03:13.460]  Blogger.
[03:13.460 --> 03:16.200]  It was like Google bought Blogger.
[03:16.200 --> 03:19.360]  And then when their time was up, they all got the hell out of Google and they made Odeo
[03:19.360 --> 03:25.440]  and it was going to be like Blogger for podcasting.
[03:25.440 --> 03:28.360]  It just they just didn't seem it seemed, you know, it's a good idea.
[03:28.360 --> 03:33.420]  I mean, they were on to something in terms of like back in 2004, 2005, thinking podcasting
[03:33.420 --> 03:36.280]  was going to be big.
[03:36.280 --> 03:41.360]  Clearly they're at it, you know, at the base of the fundamental idea, there's pretty good
[03:41.360 --> 03:42.600]  and ahead of its time.
[03:42.600 --> 03:44.360]  But they didn't ever get quite got it to work.
[03:44.360 --> 03:48.440]  And then it was like one of their guys, you know, guy named Jack is over there.
[03:48.440 --> 03:50.520]  And they were like, anybody else have any ideas?
[03:50.520 --> 03:54.220]  And Jeff Dorsey is like, I got an idea.
[03:54.220 --> 03:57.040]  And it turned into Twitter, Twitter.
[03:57.040 --> 03:58.040]  Yeah.
[03:58.040 --> 04:02.760]  But the Odeo, the Odeo really didn't it was a separate company, though, right?
[04:02.760 --> 04:10.000]  Well, it well, it was start Twitter started as an Odeo product and it and I'm not quite
[04:10.000 --> 04:17.120]  sure what the legal you know, so at some point, you know, lawyers came in and it went from
[04:17.120 --> 04:23.760]  Twitter being an Odeo product to Twitter being a standalone, you know, corporation.
[04:23.760 --> 04:26.440]  Yeah, it was spun off.
[04:26.440 --> 04:32.800]  But Twitter date started life as a product of the Odeo Corporation.
[04:32.800 --> 04:34.680]  I've got an Odeo t shirt.
[04:34.680 --> 04:36.320]  Nothing happened to that.
[04:36.320 --> 04:37.320]  To Odeo?
[04:37.320 --> 04:38.320]  Yeah.
[04:38.320 --> 04:42.520]  I think they changed the name to the Obvious Corporation.
[04:42.520 --> 04:44.120]  I think it might.
[04:44.120 --> 04:45.120]  Yeah.
[04:45.120 --> 04:48.640]  Which I think is still the parent company of Medium.
[04:48.640 --> 04:51.000]  You know, that's the new thing that Oh, really?
[04:51.000 --> 04:52.000]  Okay.
[04:52.000 --> 04:55.800]  So that got that they just when he started that, he just started under that umbrella.
[04:55.800 --> 05:01.440]  Yeah, I think I you know, and again, is there really a difference if they just I don't know,
[05:01.440 --> 05:06.680]  maybe they just dissolved Odeo and started a new company called Obvious or I think they
[05:06.680 --> 05:10.560]  changed the name, though, you know, just to like save on paperwork or something.
[05:10.560 --> 05:11.560]  I don't know.
[05:11.560 --> 05:17.000]  Like, it might have been easier to just change the name of Odeo to the Obvious Corporation.
[05:17.000 --> 05:18.000]  Right.
[05:18.000 --> 05:21.960]  Anyway, are you are you playing on using SoundCloud?
[05:21.960 --> 05:22.960]  I guess so.
[05:22.960 --> 05:31.640]  I mean, it's I don't want to get Well, it's funny, because now that I have to worry about
[05:31.640 --> 05:35.840]  every single detail of hosting the podcast, and there are it's like, you know, I don't
[05:35.840 --> 05:42.840]  know how much of the details you're taking care of with the what's the parenting show?
[05:42.840 --> 05:45.120]  Get back in and turn this car around.
[05:45.120 --> 05:48.120]  Yes, turning this car around.
[05:48.120 --> 05:52.680]  I was going to call it Don't make me go back there.
[05:52.680 --> 05:56.280]  That was also in the running.
[05:56.280 --> 05:57.280]  We had we did it.
[05:57.280 --> 06:02.280]  We had a long list of things that dad say, yeah, that was probably that was probably
[06:02.280 --> 06:04.640]  in there someplace.
[06:04.640 --> 06:07.640]  But there are there's all sorts of details you have to worry about.
[06:07.640 --> 06:13.640]  And and a fundamental one is where do you store the audio files?
[06:13.640 --> 06:15.280]  Yeah.
[06:15.280 --> 06:22.240]  It would cost, according to my calculations, a couple of $1,000 a month for me to host
[06:22.240 --> 06:30.660]  the audio on Amazon s3 could be off by a little but I'm probably not off by a lot.
[06:30.660 --> 06:36.240]  Which is, you know, start talking about hundreds of dollars, and I might just squander it thousands
[06:36.240 --> 06:38.840]  of dollars, you've got my attention.
[06:38.840 --> 06:42.760]  And SoundCloud is free this I mean, I don't want to get too inside baseball here.
[06:42.760 --> 06:50.280]  But to me, it's a sort of an interesting it's the perils of venture backed cloud services.
[06:50.280 --> 06:53.640]  So SoundCloud is free for everything.
[06:53.640 --> 06:57.780]  And it's started life, I guess, it's sort of a music hosting service where musicians
[06:57.780 --> 07:01.240]  could put songs up and have people playing, but they don't, you know, they let you put
[07:01.240 --> 07:04.360]  anything up there, including podcasts.
[07:04.360 --> 07:10.400]  And you can put your podcast there and they don't insert their own ads, they have a player
[07:10.400 --> 07:13.920]  that you can embed, like if you've got, you know, if anybody's ever looked at the talk
[07:13.920 --> 07:19.600]  show pages on mule radio, they use the SoundCloud embeddable player.
[07:19.600 --> 07:21.200]  That's yeah, that's what that's what we use.
[07:21.200 --> 07:26.280]  And it but that doesn't really have ads, it has SoundCloud branding, but you don't have
[07:26.280 --> 07:34.120]  to use their audio player, you know, like, Dave Whiskas is unprofessional show.
[07:34.120 --> 07:38.000]  Him and Jamie Newberry now are the host of that I forget who used to be the host.
[07:38.000 --> 07:43.080]  Well, what's his I always forget that guy's name, Lex.
[07:43.080 --> 07:45.920]  That's it, Lex, right.
[07:45.920 --> 07:48.080]  Who is on my parenting podcast?
[07:48.080 --> 07:49.080]  He is?
[07:49.080 --> 07:50.080]  Yes.
[07:50.080 --> 07:53.680]  He never speaks up.
[07:53.680 --> 07:54.920]  All I ever hear is you and John.
[07:54.920 --> 07:57.080]  Are you giving him the Casey treatment?
[07:57.080 --> 07:59.240]  Isn't this called the Casey treatment?
[07:59.240 --> 08:00.480]  They should do a show.
[08:00.480 --> 08:01.680]  They should do a show.
[08:01.680 --> 08:03.880]  And they should be called like those guys.
[08:03.880 --> 08:04.880]  The other guys.
[08:04.880 --> 08:06.120]  Yeah, right.
[08:06.120 --> 08:07.120]  The other guys.
[08:07.120 --> 08:10.920]  Oh, my God, that'd be great.
[08:10.920 --> 08:14.560]  They should pretend to be each other.
[08:14.560 --> 08:15.560]  Just to confuse things.
[08:15.560 --> 08:21.840]  But I got an unprofessional he hosts the their audio with SoundCloud, but he uses a different,
[08:21.840 --> 08:25.660]  you know, HTML5 audio player.
[08:25.660 --> 08:27.520]  And it all seems too good to be true.
[08:27.520 --> 08:32.240]  And because behind the scenes, SoundCloud hosts your audio on Amazon S3.
[08:32.240 --> 08:38.160]  And so, you know, it's it's hundreds of it for a popular enough show, thousands of dollars
[08:38.160 --> 08:46.280]  worth of S3 bandwidth that SoundCloud is just covering based on the like 60 million dollars
[08:46.280 --> 08:48.920]  they've raised in, you know, venture capital.
[08:48.920 --> 08:49.920]  Yeah.
[08:49.920 --> 08:54.520]  So it's a perfect fit for Twitter, right?
[08:54.520 --> 08:56.280]  And no idea how to monetize this.
[08:56.280 --> 08:57.280]  Right.
[08:57.280 --> 09:03.240]  Like with like my friends and as I've been talking and planning and plotting and detailing,
[09:03.240 --> 09:09.120]  you know, everything I have to do to move the talk show to be part of during Fireball.
[09:09.120 --> 09:10.760]  And I see I hear that.
[09:10.760 --> 09:14.680]  And I think, well, that's too good to be true and too good to be true is to me, it makes
[09:14.680 --> 09:15.680]  me very uncomfortable.
[09:15.680 --> 09:21.140]  I'd rather pay a reasonable amount of money for something that I feel is sustainable than
[09:21.140 --> 09:22.140]  do it.
[09:22.140 --> 09:25.080]  And I say this to some people and some people hear it and they, you know, and they think,
[09:25.080 --> 09:26.080]  oh, yeah, you have a good point.
[09:26.080 --> 09:27.080]  That is a little worrisome.
[09:27.080 --> 09:30.560]  And then other people are like, just take the free hosting dummy and, you know, worry
[09:30.560 --> 09:35.600]  about what you do when it goes away, when it goes away, wait for the bell.
[09:35.600 --> 09:38.120]  You have an established podcast.
[09:38.120 --> 09:45.520]  So in your situation, it's a little easier, you know, with established sponsors and such.
[09:45.520 --> 09:48.320]  So it's a little easier to actually go out and shell something out.
[09:48.320 --> 09:49.320]  But like, right.
[09:49.320 --> 09:51.840]  You know, when we started up, we didn't have any we didn't have any advertisers to begin
[09:51.840 --> 09:52.840]  with.
[09:52.840 --> 09:56.040]  And so it would have been a lot harder, right?
[09:56.040 --> 09:59.080]  It's not that I have a lot of confidence that I was going to go someplace.
[09:59.080 --> 10:01.480]  And there's other options besides Amazon S3.
[10:01.480 --> 10:05.440]  There's, you know, all sorts of things like, you know, one could do to host a podcast,
[10:05.440 --> 10:11.280]  but they're, you know, because SoundCloud offers a good quality, you know, because it's
[10:11.280 --> 10:12.280]  backed by S3.
[10:12.280 --> 10:17.040]  I'm they don't tell you that, but it just if you poke around and see where your stuff's
[10:17.040 --> 10:20.880]  coming from, it seems like it is good quality.
[10:20.880 --> 10:23.460]  It works around the world, which is often a problem.
[10:23.460 --> 10:29.120]  Like if you were just to do like the obvious thing and just get like, you know, Linux server
[10:29.120 --> 10:33.400]  and start just put your audio files there and let people download it like in people
[10:33.400 --> 10:37.480]  around the world might have trouble getting it whereas something that's meant to be a
[10:37.480 --> 10:41.760]  content delivery system, like S3 works better.
[10:41.760 --> 10:45.360]  And then you don't have to pay it's right.
[10:45.360 --> 10:50.040]  And again, like you said, it seems like a perfect fit for Twitter.
[10:50.040 --> 10:55.280]  You guys have no, you guys have exorbitant costs and no idea how to make money for it.
[10:55.280 --> 11:03.540]  We're going to, we're going to spend, you should be dollars on you guys.
[11:03.540 --> 11:05.820]  You should come work with us.
[11:05.820 --> 11:06.820]  All sorts of acquisitions.
[11:06.820 --> 11:07.820]  Who does Mark?
[11:07.820 --> 11:08.820]  Where is it?
[11:08.820 --> 11:09.820]  This is, there's another one.
[11:09.820 --> 11:11.680]  And Marco uses something else.
[11:11.680 --> 11:12.680]  What's libsyn?
[11:12.680 --> 11:13.680]  Libsyn?
[11:13.680 --> 11:14.680]  Yeah.
[11:14.680 --> 11:15.680]  Yeah.
[11:15.680 --> 11:16.680]  Yeah.
[11:16.680 --> 11:17.680]  I don't know anything about that one.
[11:17.680 --> 11:22.080]  They're a little bit less, uh, nebulous in terms of the money.
[11:22.080 --> 11:28.400]  Like they have like some kind of tiering and paid accounts and, and something, I don't
[11:28.400 --> 11:29.400]  know.
[11:29.400 --> 11:32.040]  Uh, Amy, uh, what's her name?
[11:32.040 --> 11:37.280]  And Paul, have a show then they use libsyn too.
[11:37.280 --> 11:38.280]  I'm so bad with names.
[11:38.280 --> 11:39.280]  Yeah.
[11:39.280 --> 11:40.280]  Yeah.
[11:40.280 --> 11:41.280]  I understand.
[11:41.280 --> 11:42.280]  That's why I like to have you on the show.
[11:42.280 --> 11:47.080]  You just have to remember what your name is.
[11:47.080 --> 11:49.120]  He's got the same name that I've got.
[11:49.120 --> 11:53.560]  Does it ever bother you that Armstrong doesn't have an age?
[11:53.560 --> 11:54.560]  Yeah.
[11:54.560 --> 11:56.200]  He must be a Jonathan, right?
[11:56.200 --> 11:59.200]  Whenever I see a J O N I just, that's what that is.
[11:59.200 --> 12:02.360]  I assume that you're a Jonathan, right?
[12:02.360 --> 12:03.360]  But we're not, right?
[12:03.360 --> 12:06.240]  I mean, you're, no, no, no.
[12:06.240 --> 12:13.640]  I see J O N and I think you're really a Jonathan and you're just pretending to be a John.
[12:13.640 --> 12:17.160]  And then when other people will say to me, if they say, Hey, is your real name Jonathan
[12:17.160 --> 12:18.160]  group?
[12:18.160 --> 12:19.160]  Is your full name Jonathan group?
[12:19.160 --> 12:22.120]  Or then I'm offended because I'm like, no, I have an age.
[12:22.120 --> 12:31.000]  Were you, uh, were you named after somebody, uh, sort of long story short, um, uh, I was
[12:31.000 --> 12:39.760]  the first child and my mom, uh, this is before any kind of ultrasound type technology.
[12:39.760 --> 12:48.000]  So when my mom was pregnant with me in 1972, um, all they knew was that she was pregnant
[12:48.000 --> 12:52.120]  and the sound had not been invented, nope, sounded and neither or nor had color.
[12:52.120 --> 12:53.960]  Um, right, right.
[12:53.960 --> 12:58.760]  But my mom was a hundred percent convinced that she was having a girl.
[12:58.760 --> 13:02.760]  She'd had no children before, but she just felt like she was having a girl.
[13:02.760 --> 13:09.840]  And she even has, she still has it like, uh, a little like back pocket sized book of baby
[13:09.840 --> 13:10.840]  names.
[13:10.840 --> 13:14.700]  Like the sort of little, almost like a pamphlet book with thousands of names.
[13:14.700 --> 13:18.280]  But it's, you know, it's, it's like, you can fit in like, it's like the size of a field
[13:18.280 --> 13:23.560]  notes, but 45 names, uh, that, you know, you used to buy books like that in a supermarket.
[13:23.560 --> 13:31.360]  Uh, and she has it and, and like the girl pages are all like worn, you know, there's
[13:31.360 --> 13:35.720]  also, and there's, there's annotated dozens and dozens of names circled and then different
[13:35.720 --> 13:37.280]  colors for like second.
[13:37.280 --> 13:38.640]  And there's like two boys names.
[13:38.640 --> 13:45.640]  It was like Jason and uh, I forget the other one, uh, I didn't like it though.
[13:45.640 --> 13:49.640]  Um, but there were like two boys names that were like vaguely underlined and that was
[13:49.640 --> 13:50.640]  it.
[13:50.640 --> 13:51.640]  That was the only thought she'd put into it.
[13:51.640 --> 13:56.800]  And then I came out and they said, it's a boy and she goes, no, it's not.
[13:56.800 --> 14:04.080]  And my dad put it back and, and, uh, and she was upset cause she didn't know, she just
[14:04.080 --> 14:06.480]  was so sure it was a girl that had no names picked out.
[14:06.480 --> 14:12.960]  And my dad was not in a room because this was 1973 and men still not done in a, he was
[14:12.960 --> 14:19.000]  in a smoke filled room with a bunch of cigars and probably like a six pack or something.
[14:19.000 --> 14:20.000]  Sure.
[14:20.000 --> 14:25.640]  And then they came in and they said, uh, you know, good news, your wife had a baby, it's
[14:25.640 --> 14:27.160]  a healthy boy.
[14:27.160 --> 14:30.840]  And my dad, I guess he joined my mom and they, and she said, well, what are we going to call
[14:30.840 --> 14:31.840]  him?
[14:31.840 --> 14:34.400]  And he discusses his name is John.
[14:34.400 --> 14:35.400]  And that was it.
[14:35.400 --> 14:36.620]  There was like no discussion.
[14:36.620 --> 14:42.080]  My mom had spent like hours and hours over the proceeding, like eight months picking
[14:42.080 --> 14:45.000]  out girls names and my, they'd never discussed it.
[14:45.000 --> 14:46.960]  And my dad just goes, his name is John.
[14:46.960 --> 14:52.840]  Now it ends up that both, both of my grandparents, her dad and my dad's dad were both named John.
[14:52.840 --> 14:53.840]  Oh, okay.
[14:53.840 --> 14:57.320]  So, uh, you know, everybody felt honored.
[14:57.320 --> 14:58.320]  Right.
[14:58.320 --> 14:59.320]  Yeah.
[14:59.320 --> 15:00.840]  What about you?
[15:00.840 --> 15:01.840]  You named after anybody?
[15:01.840 --> 15:02.840]  Yeah.
[15:02.840 --> 15:08.300]  My grandfather, my mom's dad, he passed away like, uh, six months before I was born.
[15:08.300 --> 15:10.300]  So I was named after him.
[15:10.300 --> 15:11.300]  Tragic.
[15:11.300 --> 15:12.300]  Yeah.
[15:12.300 --> 15:13.300]  It's a good name.
[15:13.300 --> 15:14.300]  Smoke kids.
[15:14.300 --> 15:15.300]  Don't smoke.
[15:15.300 --> 15:17.960]  It's a good name.
[15:17.960 --> 15:19.520]  Gets me through the day.
[15:19.520 --> 15:20.520]  Yeah.
[15:20.520 --> 15:24.120]  Uh, lots of other acquisitions in the news.
[15:24.120 --> 15:30.560]  So uh, in, in near, near acquisitions, tortured, continuing tortured acquisitions.
[15:30.560 --> 15:31.560]  Yes.
[15:31.560 --> 15:35.360]  Well the, the beats one, which I thought would have been old news by the time we were recording
[15:35.360 --> 15:37.920]  this is still not still at limbo.
[15:37.920 --> 15:41.960]  It's still actually not news like that.
[15:41.960 --> 15:44.080]  We're getting close to two weeks now, right?
[15:44.080 --> 15:47.520]  Since it'll be like the end of this week, it'll be two weeks Friday.
[15:47.520 --> 15:48.520]  Right.
[15:48.520 --> 15:52.640]  And a lot of people have been writing to me, you know, at daring fireball emailing saying
[15:52.640 --> 15:55.480]  like, Hey, maybe this whole thing is just nonsense.
[15:55.480 --> 15:59.960]  And you know, Apple not denying it is just their usual, you know, we don't comment one
[15:59.960 --> 16:04.920]  way or the other because if they, and there might be, you know, who knows?
[16:04.920 --> 16:09.280]  I don't, I actually don't know, but you know, the, the idea would be, well, why wouldn't
[16:09.280 --> 16:11.860]  Apple just publicly deny it if it weren't true?
[16:11.860 --> 16:16.880]  The idea then would be, um, that they'd be, they don't deny anything, right?
[16:16.880 --> 16:22.980]  Because then they'd be giving it away if there was another subsequent one that was real,
[16:22.980 --> 16:29.000]  but was still pending and then they didn't comment on that one, then it would be a sign
[16:29.000 --> 16:31.200]  that if it's not true, Apple will deny it.
[16:31.200 --> 16:38.360]  But if it is true, they'll be quiet where, so therefore if they want to maintain, you
[16:38.360 --> 16:43.340]  know, keep people in, in, up in the air until they actually make the announcement themselves,
[16:43.340 --> 16:46.260]  they have to not comment on everything, whether it's true or false.
[16:46.260 --> 16:47.640]  So there's some logic there.
[16:47.640 --> 16:52.000]  But I do think though that if it weren't the case, they, I don't think they would address
[16:52.000 --> 16:56.580]  it officially with an official statement, but I think behind the scenes they get word
[16:56.580 --> 16:59.760]  out and we haven't, I haven't seen any sign of that.
[16:59.760 --> 17:06.380]  There's not a single report from anybody saying, uh, you know, unnamed sources familiar with
[17:06.380 --> 17:10.040]  the situation say that Apple is not buying beats.
[17:10.040 --> 17:14.480]  Everything has said, you know, indicates that they, that they still intend to.
[17:14.480 --> 17:22.680]  And uh, Peter Kafka of Recode, that's like the new all things D. Um, he said like mid
[17:22.680 --> 17:28.560]  week last week that it was taking longer than expected, but that this is the week sometime
[17:28.560 --> 17:33.440]  this week it'll be announced, I guess.
[17:33.440 --> 17:36.920]  I can't, it seems like that video probably didn't help.
[17:36.920 --> 17:40.960]  No, I would guess that that video did not help.
[17:40.960 --> 17:43.560]  That probably wasn't a bright idea.
[17:43.560 --> 17:44.560]  You would think so.
[17:44.560 --> 17:53.680]  I just, uh, my guess is it's not the video that was the problem.
[17:53.680 --> 17:58.120]  It's the fact that the video, that's probably not the right, the major, the major problem,
[17:58.120 --> 17:59.120]  right?
[17:59.120 --> 18:00.120]  It was probably jumping the gun.
[18:00.120 --> 18:01.280]  Yeah.
[18:01.280 --> 18:06.360]  And I would guess that dr Dray did not expect it to be posted to Facebook.
[18:06.360 --> 18:08.640]  You know, I got, he, you know what I mean?
[18:08.640 --> 18:10.800]  He's very, very smart man.
[18:10.800 --> 18:17.340]  Uh, and he's clearly been, uh, if it's true, he's clearly been in, he knows enough that
[18:17.340 --> 18:19.440]  apple doesn't want anything announced.
[18:19.440 --> 18:22.720]  I think that the, you know, it was the fact that it was his friend that wasn't that he
[18:22.720 --> 18:23.720]  posted it to Facebook.
[18:23.720 --> 18:26.120]  It was his friend that posted it to Facebook.
[18:26.120 --> 18:33.160]  I bet that was a good conversation because it was only up for a few hours and then it
[18:33.160 --> 18:36.640]  was taken down early in the morning.
[18:36.640 --> 18:40.480]  And it also seemed like the sort of situation where maybe he wouldn't have been getting
[18:40.480 --> 18:46.560]  up early in the morning, right?
[18:46.560 --> 18:48.440]  That would probably be my guess as well.
[18:48.440 --> 18:49.440]  Yeah.
[18:49.440 --> 18:52.200]  There might've been a little sleeping in done after that video was made.
[18:52.200 --> 18:53.200]  No.
[18:53.200 --> 18:54.640]  And I pass no judgment there.
[18:54.640 --> 18:59.080]  Nobody loves to sleep in more than I do.
[18:59.080 --> 19:03.640]  You sure can't swing a pair of Beats headphones around without hitting somebody with an opinion
[19:03.640 --> 19:04.640]  about it though.
[19:04.640 --> 19:05.640]  Yeah.
[19:05.640 --> 19:06.640]  Yeah.
[19:06.640 --> 19:09.600]  I think the funny thing is, I think that's, it's to me, the interesting thing about it
[19:09.600 --> 19:12.360]  isn't the actual, it's no longer the actual acquisition.
[19:12.360 --> 19:18.760]  If it comes to pass, it's more that the way that we've had like this two week period where
[19:18.760 --> 19:27.120]  it was just a unconfirmed rumor with no explanation from Apple or beats as to why Apple would
[19:27.120 --> 19:28.400]  want to do this.
[19:28.400 --> 19:33.760]  It's become like this sort of blank canvas where everybody can project whatever they
[19:33.760 --> 19:38.800]  think about Apple onto it, right?
[19:38.800 --> 19:39.800]  Food or bad.
[19:39.800 --> 19:40.800]  Yeah.
[19:40.800 --> 19:41.800]  Yeah.
[19:41.800 --> 19:42.800]  I guess.
[19:42.800 --> 19:46.160]  I think, I think everything, I mean, I think everything that Apple does has that has that
[19:46.160 --> 19:47.160]  element to it.
[19:47.160 --> 19:48.160]  Yeah.
[19:48.160 --> 19:52.080]  And I feel, but I feel like this more so than anything else because we, it did seem to come
[19:52.080 --> 19:53.520]  out of left field.
[19:53.520 --> 19:57.060]  Like nobody was really predicting it.
[19:57.060 --> 20:01.440]  It did seem confusing at first to a lot of us, to me at least.
[20:01.440 --> 20:05.360]  And I think it's still, I think it's still confusing a little bit anyway because it doesn't
[20:05.360 --> 20:06.720]  seem like the hardware is that great.
[20:06.720 --> 20:12.160]  It doesn't seem like, you know, I mean like they have a streaming service already.
[20:12.160 --> 20:18.400]  And from what everybody says, it doesn't seem like the licenses for the music go along with
[20:18.400 --> 20:19.400]  the sale.
[20:19.400 --> 20:20.400]  Right.
[20:20.400 --> 20:28.160]  But then there's, I have vine, but 3 billion seems like a lot for an aqua hire.
[20:28.160 --> 20:29.160]  Right.
[20:29.160 --> 20:30.160]  Exactly.
[20:30.160 --> 20:31.160]  Right.
[20:31.160 --> 20:32.160]  I don't, you know, maybe altogether though.
[20:32.160 --> 20:34.640]  Maybe, you know, maybe altogether, it seems like something a little bit here, a little
[20:34.640 --> 20:35.640]  bit there.
[20:35.640 --> 20:41.560]  So it's not, you know, on the surface, it's not completely clear exactly what the value
[20:41.560 --> 20:42.560]  is.
[20:42.560 --> 20:44.520]  Yeah, I totally agree.
[20:44.520 --> 20:50.360]  But I don't know though that it, you know, I'm, I'm willing to say as somebody who has,
[20:50.360 --> 20:58.520]  you know, I think widely known as a keen Apple observer, I'm willing to say, I just don't
[20:58.520 --> 20:59.640]  know.
[20:59.640 --> 21:04.000]  And let me just wait and I'll just wait, you know, I don't have, there's no way that I
[21:04.000 --> 21:12.440]  could go off on any kind of strongly opinionated, um, you know, column or, or rant here on the
[21:12.440 --> 21:17.080]  show one way or the other that this is stupid or it's genius either way.
[21:17.080 --> 21:18.080]  I don't know.
[21:18.080 --> 21:19.080]  Cause I don't know enough yet.
[21:19.080 --> 21:21.800]  I don't know why more people can't just say, I don't know.
[21:21.800 --> 21:22.800]  Right.
[21:22.800 --> 21:26.200]  They think that's a sign of weakness, I guess.
[21:26.200 --> 21:30.680]  I don't know, but I've seen people, you know, saying that this is the clearest sign.
[21:30.680 --> 21:36.960]  This is, you know, incontrovertible proof that, uh, Tim Cook is a moron, you know, that
[21:36.960 --> 21:40.520]  he's running the country into the company, into the ground.
[21:40.520 --> 21:45.700]  Um, and I've seen other people say it's genius, you know, and this, you know, keeps Apple
[21:45.700 --> 21:48.040]  on top of the music industry for another two decades.
[21:48.040 --> 21:49.040]  And it's like, really?
[21:49.040 --> 21:54.200]  I don't see how either of those extremes is evident in the least.
[21:54.200 --> 21:55.200]  Yeah.
[21:55.200 --> 21:57.200]  Uh, Sean, did you read a Jean-Louis gases?
[21:57.200 --> 21:59.560]  No, I did not.
[21:59.560 --> 22:01.040]  He's got a, yeah, he's got a piece up today.
[22:01.040 --> 22:07.360]  His Monday note is about, is about that and his, I mean, and he kind of splits it fairly
[22:07.360 --> 22:13.360]  well, basically just saying that he doesn't, he doesn't understand it at this point.
[22:13.360 --> 22:14.360]  Right?
[22:14.360 --> 22:15.360]  Yeah.
[22:15.360 --> 22:20.120]  I think that's the, to me, that's the only thinking man's take is, and it doesn't make
[22:20.120 --> 22:21.120]  it less intriguing.
[22:21.120 --> 22:24.560]  If anything, it makes it more intriguing because it's like, wow, now we, you know, there's
[22:24.560 --> 22:26.520]  something interesting going on here.
[22:26.520 --> 22:28.640]  I can't wait to find out more about it.
[22:28.640 --> 22:33.900]  There's gotta be, you just feel like there's gotta be something more, you know, like, I
[22:33.900 --> 22:42.440]  don't think I really, really, really do not think that the, the answer is, uh, Apple has
[22:42.440 --> 22:47.040]  just given up and decided to just be lazy and just throw billions around willy nilly
[22:47.040 --> 22:49.300]  without really thinking about it.
[22:49.300 --> 22:57.280]  That after going decades only making relatively small, I mean, um, I think it's the case that
[22:57.280 --> 23:02.520]  they haven't made a billion, they've never made a billion dollar acquisition.
[23:02.520 --> 23:08.440]  Um, and then all of a sudden now after never having done so now they're just going to spend
