[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[03:25.860 --> 03:32.500]  I just seems that just seems like the pace of Star Wars seems exactly right to me and I know that if I were a kid
[03:32.940 --> 03:36.620]  Like when I was a kid and the Star Wars movies were new and there in the first one
[03:36.620 --> 03:39.380]  I thought it took impossibly long for each one to come out
[03:39.380 --> 03:41.140]  I I could not believe how you know
[03:41.140 --> 03:46.240]  They had to wait four years for the Empire Strikes Back. And well, I think it was another two years for Return of the Jedi
[03:47.140 --> 03:51.100]  Yeah, I couldn't believe I had to wait that long because I just I didn't have the patience
[03:51.100 --> 03:56.840]  but now that I'm an adult like ever since this new Star Wars movie was announced the whole thing where Lucas is selling it to
[03:56.840 --> 03:58.500]  Disney and
[03:58.500 --> 04:02.120]  you know that they're gonna have a new trilogy and it's gonna be
[04:02.780 --> 04:07.620]  You know basic gist it's gonna be the original, you know cast 30 years later
[04:07.620 --> 04:13.660]  you know more or less the same amount of time in the real world that's passed since Star Wars is gonna be in their universe
[04:13.660 --> 04:18.220]  what it is and then they announced JJ Abrams was gonna direct and the writers and etc and
[04:18.820 --> 04:20.140]  the the
[04:20.140 --> 04:24.020]  The schedule it just felt to me like well this all seems fair
[04:24.020 --> 04:25.940]  This seems like a reasonable amount of time
[04:25.940 --> 04:31.620]  Like this is proceeding at a reasonable pace and yeah 2015 sounds like a reasonable time for the movie to come out
[04:31.620 --> 04:37.580]  This Bond movie that they're not shooting until Monday coming out 11 months from now
[04:37.580 --> 04:42.180]  that seems crazy you say that but episode 1 Phantom Menace came out in
[04:42.700 --> 04:47.180]  99 and Attack of the Clones came out in 2001 and then
[04:47.420 --> 04:50.060]  Revenge of the Sith came out 2003 sets two years between movies
[04:50.060 --> 04:52.980]  You got to figure they probably took a little bit of time off between right?
[04:52.980 --> 04:58.020]  So let's say let's say a year and a half and do to do each one of those
[04:58.020 --> 05:02.340]  I guess I don't know and those are I mean they had to make Jar Jar
[05:02.340 --> 05:03.500]  They had to animate all those clones
[05:03.500 --> 05:08.280]  They had to do the I mean that there's a lot of not just make an explosion and put it over here and do some
[05:08.280 --> 05:11.060]  green-screen stuff but like fully realized
[05:11.060 --> 05:16.100]  Well more or less fully realized CG characters that have to be animated and all these little details. I
[05:16.980 --> 05:19.620]  Can see it I can see how that would take longer
[05:19.620 --> 05:23.780]  I think and if they can do that in a year and a half then it's not inconceivable that you I mean didn't they make
[05:23.780 --> 05:31.100]  One with solace and like a weekend. Yeah, I think the visual effects and everything just like knock that one out real quick
[05:32.500 --> 05:37.260]  I'm putting you on the spot here Dave because it's it's it is it's it is
[05:38.100 --> 05:45.340]  It is dangerous not dangerous, but it's hallowed the talk show ground talking about the Bond movies
[05:45.340 --> 05:52.860]  That's forgot about that and it is something that I you know purposely and deliberately did not you know in the old run with
[05:53.020 --> 05:58.100]  Dan Benjamin, we did the thing where we went through one through 22 and
[06:00.420 --> 06:02.420]  You know 22 be
[06:03.220 --> 06:08.500]  We included never say never again, which is not in the M production. So we did 23 episodes of the show
[06:09.140 --> 06:10.300]  where
[06:10.300 --> 06:15.460]  One bond movie per show we took, you know spent like an hour talking about
[06:16.660 --> 06:17.820]  Which was a lot of fun
[06:17.820 --> 06:20.600]  I think the longtime listeners of the show when people come up to me at
[06:20.900 --> 06:26.220]  WWDC or plays like that everybody I'd say half the comments about the show are always about the the bond series
[06:26.220 --> 06:28.220]  I remember I listened to those
[06:28.380 --> 06:32.020]  At a time when I hadn't even seen all the movies and but that part of the show
[06:32.020 --> 06:36.260]  You know has a lot more staying power than the first half of the show, right exactly evergreen
[06:36.260 --> 06:43.220]  All right, it's you know, pretty much as relevant and I didn't you know, we Dan and I broke up and he's no longer here
[06:43.860 --> 06:45.700]  and then
[06:45.700 --> 06:50.140]  Skyfall came out and so there was no episode where I did that
[06:50.980 --> 06:57.060]  And I don't think there ever will be I don't think be right to do it with somebody else and it's not gonna happen with Dan
[06:57.060 --> 06:58.100]  Benjamin
[06:58.100 --> 07:01.540]  But we can talk, you know without going for a whole hour about Skyfall
[07:01.540 --> 07:03.420]  We can still talk bond, but it's tough
[07:03.420 --> 07:06.840]  you're putting you on the spot here because people are gonna are gonna hold you up against the
[07:07.420 --> 07:10.260]  though the old stuff well, I
[07:11.180 --> 07:14.460]  Just hope I can live up to everybody's expectations. So you're more excited about
[07:15.540 --> 07:22.060]  Star Wars then then then Spectre, which that's the title. It's it's I don't know. It's uh, I
[07:22.700 --> 07:24.700]  Say yes, but because I've seen it
[07:24.900 --> 07:29.820]  like you ask you ask somebody who somebody with more than one kid who their favorite kid is and
[07:29.820 --> 07:33.820]  It's you can't really answer that question. But if one of the kids hasn't been born yet
[07:33.820 --> 07:36.220]  We're like, well, I like the first one better because I've seen it. Yeah
[07:36.220 --> 07:38.860]  Well one of the differences and I've been thinking about it a lot this way
[07:38.860 --> 07:39.820]  I just think it's so
[07:39.820 --> 07:44.820]  interesting that they're coming out at the same time and now the big news came out within a week or two of each other and
[07:44.940 --> 07:48.940]  They're too my two favorite thing. It just seems so serendipitous and I was thinking about it a lot
[07:50.660 --> 07:56.300]  I'm even thinking maybe I'll do maybe like a Star Wars special episode of this show. It's sometime this month
[07:56.300 --> 08:00.660]  Maybe like a you know, and the Star Wars theme call it a holiday Star Wars
[08:01.460 --> 08:03.460]  Star Wars holiday special
[08:03.780 --> 08:07.260]  And go just go two hours on something something, you know
[08:07.260 --> 08:12.740]  I could we could I could easily put together a guest or two and we could do three shows on Star Wars
[08:13.340 --> 08:17.980]  You could start a whole new podcast just talking about Star Wars. All right, but comparing it to the bond franchise
[08:18.580 --> 08:24.100]  Clearly one of the big differences is that we're up to bond 24 and Star Wars
[08:24.100 --> 08:27.780]  We've only had six movies or seven if you want to count the Clone Wars
[08:27.780 --> 08:31.980]  Which really I really don't think it's fair because even though it was released theatrically
[08:32.340 --> 08:37.260]  They just decided to put into theaters a 90-minute TV pilot
[08:37.900 --> 08:39.700]  Yeah, that's a funny way to look at it
[08:39.700 --> 08:43.900]  I think what was it was made as a TV pilot and they were like, this is actually pretty good
[08:44.220 --> 08:48.740]  You know, maybe you know, we'll you know reframe it for cinema, you know
[08:48.740 --> 08:54.460]  It's green side. Maybe they didn't maybe they didn't even maybe it was 1.85 which or something like that
[08:54.460 --> 09:00.100]  So which is close to the 69 I remember seeing that in the theater then walking out and just thinking what what was that?
[09:01.100 --> 09:05.900]  Like that wasn't that wasn't anything like I thought it was gonna be and I'm watching the cartoon like the animated series
[09:05.900 --> 09:07.900]  It was really good and
[09:08.740 --> 09:10.220]  Sometimes good
[09:10.220 --> 09:12.860]  Well, it wasn't it wasn't consistently good
[09:12.860 --> 09:19.100]  It wasn't I would I would say with my my most recent benchmarks for Star Wars quality being the prequel trilogy
[09:19.420 --> 09:21.420]  Clone Wars was pretty good. I
[09:21.900 --> 09:25.820]  Don't know. I think it was worse than the prequel toilet trilogy really
[09:25.820 --> 09:31.900]  Yeah, I don't I think it it always felt padded out to me. It always felt to me like they didn't you know, they
[09:32.420 --> 09:35.660]  Yeah, I think how many episodes did they do per season? Did they do 20?
[09:36.340 --> 09:39.420]  No, I thought it was less than that. I don't know whatever they did
[09:39.420 --> 09:44.820]  They only had about half as many that were decent and it always felt padded out and maybe cliffhanger shows
[09:45.140 --> 09:49.660]  Did you watch it while it was going? Yeah for the most part not like we but but
[09:50.340 --> 09:54.680]  Yeah, maybe that's it cuz I watched them all back-to-back. So I'd watch six or seven at a time
[09:55.380 --> 09:59.060]  And so that you if there's a bad one, it's kind of lost
[10:00.220 --> 10:05.540]  It's padded out by the good ones. So even if even if half them are bad, you're still kind of remembering more of the good stuff
[10:05.540 --> 10:08.100]  Yeah, I don't know. I just felt like overall it it it
[10:08.100 --> 10:09.700]  I
[10:09.700 --> 10:15.100]  don't know it was a lost opportunity and I felt like they had a lot of things that were repetitious and that took away from
[10:15.100 --> 10:18.420]  that the the prequel trilogy like the fact that
[10:19.660 --> 10:22.320]  obi-wan and Anakin had a bunch of
[10:23.300 --> 10:25.300]  encounters with
[10:25.460 --> 10:26.820]  Dooku
[10:26.820 --> 10:33.900]  Makes it changes the like the way the movies present it, you know, they had the the one encounter in the second movie where?
[10:33.900 --> 10:40.740]  Anakin lost his arm and obi-wan almost got killed and Yoda came in and rescued him with the you know
[10:40.740 --> 10:45.060]  Quick fight and then in the next movie and they made it seem as though look
[10:45.060 --> 10:49.460]  We haven't seen this guy since the last time when he fucked us up real good. Let's do this
[10:49.460 --> 10:51.460]  Let's do it right this time
[10:51.700 --> 10:57.340]  But in the meantime if you've watched the Clone Wars TV show they've fought against Dooku dozens of times in between
[10:57.340 --> 10:58.580]  Well in the movies
[10:58.580 --> 11:03.660]  It always seemed like there's a huge chunk of time that we just didn't get to see and it felt really awkward
[11:03.660 --> 11:09.380]  Because in the original trilogy the time between Empire and Jedi if you think about it
[11:10.180 --> 11:17.060]  There's probably some stuff that happened like the just getting Lando into Jabba's Palace and like getting everything set up to pull that off
[11:17.220 --> 11:21.500]  Must have taken some time, but you're not really missing out on much by not seeing those things
[11:21.500 --> 11:26.380]  All right, you can still get a sense of time has passed, but you don't need to know exactly how much time right?
[11:26.380 --> 11:31.220]  and there was a reference in Empire Strikes Back where when Han decides to
[11:31.220 --> 11:33.220]  To
[11:33.260 --> 11:36.860]  Leave Hoth to go pay Jabba off and it's like
[11:38.500 --> 11:40.100]  He mentions like
[11:40.100 --> 11:41.780]  This is where we need live audience
[11:41.780 --> 11:47.740]  It's like Ord Mandel or something like that that there was like a bounty that they encountered a bounty hunter recently
[11:47.860 --> 11:51.980]  Yeah, who tried to kill Han and you know, you know just little things like that
[11:51.980 --> 11:53.300]  Yeah, you get hints at it
[11:53.300 --> 11:57.980]  You get hints that there there's been some time has but the difference between the gap between episode 2 and episode 3
[11:57.980 --> 12:04.060]  It just feels like we missed a movie. Yeah, if you're watching it sitting down to watch it
[12:04.060 --> 12:07.020]  Even if you watch them back to back it feels like there's an entire movie missing
[12:07.020 --> 12:12.260]  Which is one of the big failings of the prequel trilogy. Yeah, but so I in that regard
[12:12.260 --> 12:17.340]  I didn't mind the Clone Wars going into some more of that backstory stuff because I felt like I missed it to begin with my
[12:17.340 --> 12:19.340]  Yeah, I just I just feel like it could have been better
[12:19.620 --> 12:24.700]  Yeah, well my trouble with it was that it never really felt like Star Wars. Yeah, I agree with that, too
[12:24.700 --> 12:29.860]  There's like a style change that it was fine. And once you kind of ease into it, like once you get used to it
[12:29.860 --> 12:31.180]  It's pretty it's pretty good
[12:31.180 --> 12:38.020]  It's entertaining but it never really felt like canonical Star Wars and the way that the Expanded Universe stuff always kind of feels like fanfiction
[12:38.300 --> 12:41.740]  Yeah, yeah, just didn't quite feel like it same thing with scene in the movie
[12:41.740 --> 12:47.460]  So I still say there's only six movies. I would love that and that's the big difference is we've only had six movies over
[12:49.380 --> 12:51.660]  What 37 years
[12:51.660 --> 12:57.020]  Whereas we've had 24 Bond movies in 50 years. So
[12:57.620 --> 13:01.700]  it's you know clearly a different pace because there was a huge gap between the
[13:02.340 --> 13:07.460]  Trilogies and we've had another gap since the last trilogy that really helps to soften the blow
[13:07.460 --> 13:12.340]  I think if this next Bond movie isn't very good. That's okay, right?
[13:12.340 --> 13:18.220]  And I think that's actually where Star Wars especially now that Disney owns it and you know, this is what Disney does
[13:18.220 --> 13:22.620]  It's they're going to you know, they they keep franchises going we're going to see you know
[13:22.620 --> 13:26.500]  There's there's going to be more Star Wars trilogies after this one whether it's you know
[13:26.500 --> 13:31.660]  A thousand years ago or in the future or whatever and some might be good and some might be bad
[13:31.660 --> 13:33.660]  But eventually it will you know?
[13:34.100 --> 13:39.620]  It'll work itself out and there'll be ebbs might be that you can you can get by with ebbs and flows
[13:39.660 --> 13:44.740]  but the fact that there have only been six is what makes people bitch so much about the
[13:44.740 --> 13:49.780]  The prequel trilogy because we've only had six and three of them were kind of duds
[13:50.220 --> 13:57.260]  Yeah to make a comparison in another medium you look at a TV show like Sherlock and each season is only I think three episodes
[13:57.860 --> 14:00.900]  So it's if one of them is bad. It stands out way more
[14:00.900 --> 14:05.220]  Yeah, where is it like a normal TV show if it's 20 episodes in a season if one's bad
[14:05.220 --> 14:11.080]  You don't just wait till next week. All right, right and it's like I've always said it like comparing baseball to football
[14:11.080 --> 14:17.080]  Yeah, it's really drastic because baseball plays a hundred in US plays
[14:17.400 --> 14:21.920]  162 regular season games a year and football and the NFL they only play 16 games
[14:22.160 --> 14:25.640]  So like if your favorite team only lose loses four games in a row
[14:26.480 --> 14:30.040]  It's not good in baseball, but it's you know, four out of 160
[14:30.040 --> 14:32.480]  It's a long season if you lose four football games in a row
[14:32.480 --> 14:36.880]  That's a quarter of your season is you've just lost all in a row right baseball you lose a game
[14:36.880 --> 14:39.440]  You just wait until the game they play later that afternoon, right?
[14:39.440 --> 14:44.960]  but I do feel though that the pressure is really on Star Wars at this point though because everybody was
[14:45.720 --> 14:48.680]  Consensus is that they were so disappointed in the last trilogy
[14:49.520 --> 14:53.640]  Consensus I think is the right word. These things are always going to be subjective
[14:53.640 --> 14:59.200]  But I think that if you polled people if this were a democracy if opinions were democracy
[15:00.400 --> 15:04.600]  They'd just be expunged from the record if we could if we go back in time and unmake those movies
[15:04.600 --> 15:06.080]  I bet most people would elect to do that
[15:06.080 --> 15:09.520]  I'm I'm not of that opinion and I've spoke it's been a long time
[15:09.520 --> 15:11.080]  I think since I've talked Star Wars on this show
[15:11.080 --> 15:18.200]  I'm nowhere near as down on the prequel trilogy as a lot of my peers are of our generation and maybe it's partly because I
[15:18.200 --> 15:24.320]  Have a son who you know is so young and I've said this before it was with moltz a while back
[15:24.320 --> 15:29.320]  But in in Jonas's peers, they don't really see the difference between a trilogy
[15:29.320 --> 15:34.000]  there's just Star Wars movies and for a long time he was even confused about the
[15:34.000 --> 15:36.000]  the chronology of them
[15:36.920 --> 15:38.920]  and I know some people, you know, like I
[15:39.400 --> 15:45.120]  Syracuse that famously has like wouldn't even let his kids watch the prequel trilogy good parent
[15:46.320 --> 15:53.200]  yeah, I understand why as a cinema fan you would do that, but you're robbing your kid of
[15:54.600 --> 15:58.680]  You know something that is pierce now they did, you know, they like the clone troopers and stuff like that
[15:58.680 --> 16:04.800]  It's it's it's different for them. I don't know and I think it's very hard to compare to when
[16:05.240 --> 16:07.640]  You live in a world where you can watch them on demand
[16:07.640 --> 16:13.200]  Whereas I grew up and it wasn't I don't think they came out on home video until like I don't know the late 80s
[16:13.520 --> 16:19.080]  So there's plenty of crap that we watched when we were kids that we really liked and we can look back as adults and recognize
[16:19.080 --> 16:23.960]  It was terrible. You could only see the Star Wars movies in cinema and you know
[16:23.960 --> 16:29.520]  They did re-release them like in between so like you could go see Star Wars two years after it came out
[16:30.080 --> 16:34.880]  Again, but you know, you were limited by how many times your parents would let you go to the movie theater. Yeah
[16:36.040 --> 16:38.560]  Yeah, I didn't see Star Wars until I was 15
[16:39.320 --> 16:41.320]  Which was like what like 10 years ago?
[16:43.240 --> 16:47.440]  Closer to 2018. Did you watch them? Yeah, so your your initial exposure was in
[16:48.200 --> 16:49.560]  home video
[16:49.560 --> 16:55.680]  Like I remember I was in the comics. I was yeah like 13 like between 11 and 13
[16:55.680 --> 16:56.960]  I when I was really into comics
[16:56.960 --> 17:01.200]  I would go to the comic book stores and they would have like Star Wars stuff and it always looked to me
[17:01.200 --> 17:04.520]  Maybe it was the haircuts or the quality of the printing but it always just looked old
[17:05.080 --> 17:10.460]  It looked like old 70s like like the original Battlestar Galactica or Flash Gordon like it had that vibe
[17:10.460 --> 17:13.000]  It's like this is stuff that's like it's gonna be old and cheesy. I don't want to bother
[17:13.000 --> 17:20.120]  and it wasn't until a friend had gotten I think for his birthday the VHS set like one of the VHS VHS sets that came
[17:20.120 --> 17:21.480]  out before the
[17:21.480 --> 17:23.760]  re-releases the re re re re releases
[17:24.160 --> 17:29.800]  And he's like no you got to see this and he puts in the tape and I think that Kim and all of his other friends
[17:29.800 --> 17:31.280]  That were there everybody fell asleep
[17:31.280 --> 17:35.800]  So the movie ends and I'm still like glued to the edge of my seat. My life had been changed
[17:36.320 --> 17:41.480]  I'd still remember seeing it the first time and I was I don't know it must have been must have been the first run
[17:41.480 --> 17:43.480]  77 so
[17:43.640 --> 17:47.000]  I was only like four years old and I remember going with my dad
[17:49.000 --> 17:53.720]  To the theater to see it and my dad I didn't go to lots of movies in the theaters
[17:53.720 --> 17:55.720]  But you know, I went to a fair amount
[17:56.000 --> 17:57.280]  and
[17:57.280 --> 17:59.580]  You know, my dad would often be the one to take me
[18:00.320 --> 18:03.920]  And my sister's two years younger than me and a lot of times, you know, she was only two
[18:03.920 --> 18:06.160]  I guess then so she probably wasn't even going to movies yet
[18:06.680 --> 18:10.080]  And I remembered a general feeling that my dad
[18:10.080 --> 18:14.840]  Didn't really give two shits about the movies that I you know kids movies
[18:15.560 --> 18:19.400]  You know, he went he has a good sport about it. But you know, it's you know, it's
[18:19.960 --> 18:25.400]  Most of the movies I went to see when I was four or five years old were pretty crappy and not very interesting to a
[18:25.400 --> 18:27.280]  36 year old man. I
[18:27.280 --> 18:34.080]  Remember the opening of Star Wars and that opening shot of the Star Destroyer and it's just on this immense screen
[18:34.080 --> 18:39.480]  So it really looks big and it's really one of those things like one of the things the original trilogy
[18:39.480 --> 18:41.640]  I think did so well is take advantage of
[18:42.480 --> 18:47.640]  Cinema meaning that when something looks big on screen it it is big
[18:47.960 --> 18:49.880]  right as opposed to like
[18:49.880 --> 18:54.440]  When you see something that's shot more like a TV show and it's just close-ups and it's just you know
[18:54.440 --> 18:57.680]  You're just seeing somebody's face huge. It doesn't give you the sense of enormity
[18:58.360 --> 19:02.340]  That the sense of enormity that that Star Destroyer gives you in a theater
[19:02.340 --> 19:06.180]  I remember my dad like turning to me and he was just like whoa
[19:06.180 --> 19:12.100]  Like my dad was blown away and I remember thinking that that was even as amazing as the movie is that holy cow
[19:12.100 --> 19:16.260]  My dad is blown away. It's just seared in my memory watching that the opening of that
[19:16.260 --> 19:19.260]  I wish that my first exposure had been in a theater
[19:19.260 --> 19:26.460]  Although, you know, maybe it looking back maybe the fact that the first time I saw it was on somebody's crappy CRT television in the 90s
[19:27.100 --> 19:32.500]  VHS just makes it that much clearer to me how good the story was or how compelling those characters were I
[19:33.380 --> 19:35.380]  remember to another
[19:35.380 --> 19:42.840]  I do remember the I also remember the first time I saw Star Wars on home video. It was my friend Joe's
[19:43.400 --> 19:44.700]  birthday
[19:44.700 --> 19:50.340]  Must have been I don't know what year it would have been probably around like 84 or five
[19:50.500 --> 19:52.500]  maybe we're around 11 or 12 and
[19:53.700 --> 19:59.000]  So it's a Jedi. Yeah, I think it was post-jed. I think but it was it was
[19:59.380 --> 20:02.700]  a sleepover birthday party with about a dozen of us and
[20:02.700 --> 20:04.300]  And
[20:04.300 --> 20:09.380]  Joe's dad was all cagey and acted like he had this secret this awesome secret
[20:09.380 --> 20:16.260]  He waited until after we had our pizza and stuff. And this is before there were any legit home video versions. They weren't released yet
[20:16.860 --> 20:23.260]  Joe's Joe's dad had a bootleg version of the Empire Strikes Back the best. Holy shit and
[20:25.100 --> 20:29.100]  And we couldn't believe well honestly and I knew Joe's dad and you know
[20:29.100 --> 20:33.140]  He was a lawyer and he was he was the dad who drove his car really fast
[20:33.140 --> 20:37.220]  so like if you if like a bunch of us were going to the mall and two dads were driving you wanted to go with
[20:37.220 --> 20:40.500]  Joe's dad because he'd drive he had like a Peugeot and he would drive it really fast
[20:42.780 --> 20:46.700]  It just seemed too good to be true though, I really thought that he was setting us up I
[20:47.700 --> 20:52.540]  Couldn't believe that I was gonna get to watch Star Wars in a house. I thought he's he's shitting us
[20:52.540 --> 20:54.540]  He's gonna put that in and it's gonna be
[20:54.540 --> 20:59.780]  Mary Poppins or something he put it in and holy shit. It was Star Wars and it was the other thing
[20:59.780 --> 21:01.420]  I remember very distinctively
[21:01.420 --> 21:03.780]  It was because it was bootleg somehow
[21:05.440 --> 21:12.380]  What they did for the aspect ratio was it wasn't pan and scan and it wasn't letterboxed it was squished
[21:12.860 --> 21:14.460]  optically
[21:14.460 --> 21:18.140]  Yeah, gross, but it was still none of us had ever seen it
[21:18.140 --> 21:22.940]  there were no legit versions of any Star Wars movies out on the market at the time and
[21:22.940 --> 21:27.580]  It was funny. It's just one of those things like you got used to I'd say within like 10 minutes
[21:27.580 --> 21:33.420]  He got used to it and it was just awesome. It was absolutely blowaway awesome
[21:33.860 --> 21:40.480]  During the like the late 90s just after Napster. Did you did you get into the thing of downloading movies at all?
[21:41.420 --> 21:45.860]  No, I never I I could never be bothered with I did a little bit
[21:45.860 --> 21:50.740]  but it always seemed like too much work and it was always so hard to find it and then you had to like
[21:50.740 --> 21:55.820]  Splotch them all together. Yeah to get him to play on anything. I had you had to
[21:56.740 --> 22:01.340]  Had to post process and you know all that shit that Don Melton's script does
[22:01.340 --> 22:03.540]  I just can never get into it
[22:03.540 --> 22:09.420]  I always seem like too much work and I never ever ever ever want to watch a motion picture on it on a computer
[22:09.460 --> 22:11.660]  Well, I was you know, 18 years old
[22:11.660 --> 22:16.220]  I didn't know anybody the idea that I could see a movie but that was still in theaters was very compelling to me
[22:16.220 --> 22:20.500]  But the problem was that they would always be out of sync halfway through the movie
[22:20.580 --> 22:24.880]  like there's no way to get the audio and the video to line up the way you would expect them to and I
[22:25.780 --> 22:30.460]  To this day. I have no idea technically what would even cause that problem or why anybody would find that to be acceptable
[22:30.460 --> 22:32.460]  but I remember watching a ton of movies where
[22:32.500 --> 22:36.700]  By the end the audio is out of sync with the video and the aspect ratio is just super squished
[22:36.700 --> 22:38.140]  You can get used to the aspect ratio
[22:38.140 --> 22:40.780]  I don't know that you can get used to the audio being out of sync
[22:40.780 --> 22:44.620]  I you just gotta turn out you gotta turn off the part of your brain that gives a shit
[22:44.620 --> 22:47.620]  No, cuz these aren't movies if you wanted to see this movie done
[22:47.620 --> 22:49.620]  Well, you would have gone to the theater to see it. Anyway, I guess
[22:50.540 --> 22:55.020]  Well, I wonder how many movies I thought were terrible. They're actually pretty good. I don't know. That's a good question
[22:55.900 --> 22:57.900]  So what'd you think of the Star Wars trailer?
[22:59.060 --> 23:03.280]  Well or teaser we got to talk about that lightsaber. Yeah, I
[23:04.300 --> 23:08.380]  Didn't think anything of it. I was surprised that I was mostly offline at the time
[23:08.380 --> 23:10.340]  I was it was Thanksgiving weekend. We were traveling
[23:10.340 --> 23:15.560]  So I I heard that the trailer came out, but I didn't want to watch it on shitty screen
[23:15.560 --> 23:18.500]  so I just put it off and I waited till we got home and then like
[23:18.660 --> 23:23.540]  The couple of days after Thanksgiving I watched I wanted to see it. I wanted to see it for the first time on my TV
[23:24.860 --> 23:30.280]  I've of course noticed the lightsaber, but I didn't really think anything of it because I thought that the
[23:32.820 --> 23:37.080]  The the prequel trilogy established that there's some degree of
[23:37.080 --> 23:38.880]  Of
[23:38.880 --> 23:43.240]  Individuality and lightsaber design especially among the Sith and I'm okay with that
[23:43.240 --> 23:46.520]  Yeah, cuz Dooku had his weird curved thing. That was fine
[23:47.200 --> 23:49.880]  Darth Maul, of course with his famous double and that was a scene
[23:50.440 --> 23:55.440]  When the when the Phantom Menace trailer came out the very first trailer was a huge deal
[23:55.440 --> 23:58.680]  And this was right around the time when video on the internet started being a thing
[23:58.840 --> 24:05.600]  like finally we had enough bandwidth to get video and there there were like a million parodies of the episode the Phantom Menace trailer like
[24:05.600 --> 24:10.200]  There's a South Park version. I remember pretty clearly everybody was doing a thing with the trailer
[24:11.040 --> 24:13.040]  but before the days of YouTube
[24:13.680 --> 24:16.400]  And I remember that moment when you see Darth Maul
[24:16.920 --> 24:17.960]  And he you know
[24:17.960 --> 24:22.480]  The snap hiss and the red blade comes out and you get excited and then the other one comes out
[24:22.800 --> 24:25.120]  Yeah, and you just kind of like you lose your mind for a second
