[00:00.000 --> 00:03.920]  My favorite story of the last few weeks was from your colleagues at the Wall Street Journal
[05:13.540 --> 05:21.020]  Right, I mean well and he was photographed Eddie was photographed at the courtside at the the basketball game at the Golden State game
[05:21.020 --> 05:23.600]  And he was on the front page. He was wearing sandals
[05:24.620 --> 05:26.460]  Sandals are good. Yeah, you know what?
[05:26.460 --> 05:29.940]  I don't like sandals my thing about him wearing sandals to that basketball game though
[05:29.940 --> 05:32.940]  Is that a lot of times soda gets spilled and and you know
[05:32.940 --> 05:37.940]  I mean like I feel like but maybe because when you're courtside they there's like maybe like a no soda rule because
[05:38.940 --> 05:40.940]  So maybe it's okay. I don't know I
[05:40.940 --> 05:45.740]  I think yeah in particular pretty sure next time I meet with him
[05:45.740 --> 05:48.300]  I'll be asking about his feet and how he feels about
[05:49.300 --> 05:55.340]  The sweat that happens when you wear sneakers without socks. It's just there's there's sweat, you know your feet sweat
[05:55.340 --> 06:01.660]  Maybe he doesn't start to smell maybe everyone does it happens. I wear Toms. I have these Toms shoes
[06:01.660 --> 06:05.680]  I don't know if they I think they make male Toms, but Toms are the same thing
[06:05.680 --> 06:08.980]  You're not supposed to wear them with socks, but even that in there your feet sweat
[06:08.980 --> 06:10.980]  Mm-hmm
[06:11.340 --> 06:14.620]  My happy we had this conversation about this feet my feet are
[06:15.460 --> 06:19.220]  Extremely I I think half of my sweat glands are in my feet
[06:19.220 --> 06:24.260]  I have very very sweaty feet right sometimes before I go to bed. My feet are so sweaty put my feet in the shower
[06:25.820 --> 06:27.820]  I've always a recurring theme
[06:28.100 --> 06:33.060]  It's a recurring theme on the show that I in the winner. I you know, I work at home my feet get cold
[06:33.060 --> 06:37.020]  I like to wear slippers. I have I have a hard time finding slippers that I like because I don't like
[06:37.020 --> 06:40.260]  Open back slippers. They just go flying off your feet
[06:40.260 --> 06:46.500]  I like to have the back and so a couple years ago Amy got me for Christmas. She got me a pair of Uggs
[06:47.100 --> 06:50.900]  slippers and they're real there's like all this I
[06:51.660 --> 06:56.140]  Don't know what it is like wool or fake wool, but all this like fuzzy stuff on the inside
[06:56.780 --> 07:00.420]  And you're supposed to wear them with no socks and within 24 hours
[07:02.100 --> 07:04.320]  24 hours it was all coming out
[07:04.320 --> 07:06.240]  I
[07:06.240 --> 07:09.840]  Completely sweated through and destroyed them in about about a day and a half
[07:10.960 --> 07:15.480]  Like my feet are not meant for something like that. But those are they're really comfortable
[07:16.160 --> 07:19.700]  That's what she said she and that's why she got them for me and I had to agree though
[07:20.280 --> 07:23.760]  For like the few hours before my sweat started destroying them. I agreed
[07:26.640 --> 07:32.600]  But anyway the whole gist of this story is what Apple, you know the the earnings call Tim Cook said how you know
[07:32.600 --> 07:36.080]  Excited he is about products that are out of the box for them that they're working on
[07:36.600 --> 07:39.680]  Maybe maybe sandals or maybe maybe yeah footwear
[07:40.760 --> 07:45.760]  The whole point of this story though, it would be funny, you know, like there's that huge cult following around sneakers
[07:46.200 --> 07:51.660]  Right, it sort of feels like the same kind of people that follow Apple in a way. Yeah, I could see now
[07:51.660 --> 07:56.760]  They line up for shoes. They line up for phones. I don't know just just a thought here, but let's
[07:57.280 --> 07:59.640]  You would like to move on from the sneakers. I feel well
[07:59.640 --> 08:04.720]  I'm you know, but I've noticed you know, but people who keep and they keep their sneakers like in pristine condition. Yeah
[08:05.240 --> 08:07.240]  Yeah, I saw
[08:07.440 --> 08:11.600]  Sneaker heads, right? Yeah, I saw last night. I watched Seth Meyers
[08:12.400 --> 08:15.960]  late night because it was like live after the
[08:16.440 --> 08:22.980]  Democratic convention and Colin Jost and Michael Michael Che from Saturday Night Live were on to talk about it because they were there and
[08:23.440 --> 08:25.440]  Che had on a pair of
[08:25.440 --> 08:31.200]  Vintage Michael Jordan Carolina blue Air Jordans that were I was like, whoa
[08:31.200 --> 08:36.360]  Those are those are totally, you know, probably like super expensive and of course they were mint condition
[08:37.380 --> 08:42.260]  Yeah, see I'm not as I like don't I don't I got it sounds like very impressive, but I'm not a sneaker
[08:42.340 --> 08:48.900]  I'm not a sneaker person. Yeah, I'm I know enough about basketball shoes just because I used to follow basketball but otherwise no anyway
[08:48.900 --> 08:53.960]  The whole gist of the story was not about any accused sartorial choices
[08:53.960 --> 09:00.940]  It was about apples hard-charging negotiations and that their their stance on this has blocked them from putting together the package
[09:01.060 --> 09:06.100]  being able to offer the package they want to offer and I think it's so transparent that the
[09:06.380 --> 09:11.340]  The the cable companies are talking to the press and you know talking to the Wall Street Journal
[09:11.340 --> 09:19.040]  To try to press the matter and they're making it sound like Apple is being I don't know what the word is. I
[09:19.960 --> 09:23.600]  Arrogant arrogant. Yeah. Yeah. Yeah. Whereas I think the pompous
[09:23.600 --> 09:28.280]  Yeah, and I think the truth is Apple Apple is the one that can afford to wait they can wait forever
[09:28.320 --> 09:32.360]  They can never offer a TV package and there they'll be okay, right?
[09:32.360 --> 09:39.120]  Well, it seems like also there's there's things that Apple is asking for like they won't be upping the rates of the of the shows
[09:39.120 --> 09:44.860]  I guess that's a typical thing that happens. Yeah. Yeah. They're certainly hard-lining to
[09:45.660 --> 09:49.880]  To get this in their favor. Yeah, because it's as Apple does it's totally different worlds
[09:49.880 --> 09:54.360]  like the cable world is a world where it's like maybe when you sign up for cable, there's like a
[09:55.040 --> 09:57.040]  promotion where it's like hey for
[09:58.160 --> 10:04.020]  $89 exactly $89 a month you get this internet and then this TV package
[10:04.020 --> 10:11.400]  But then once that promotions over the your cable bill just starts going from like 89 to 93 to
[10:12.040 --> 10:13.120]  96
[10:13.120 --> 10:16.360]  72 to 101 dollars and 32, you know
[10:16.360 --> 10:18.360]  Like you get these weird bills that are like that
[10:18.360 --> 10:23.040]  Apple's world is if they say it's 29 99 it's 29 99 and it's not it's right
[10:23.040 --> 10:30.120]  It's not gonna go to silently change to 31 dollars and 23 cents just so the ESPN can get 5% more
[10:30.120 --> 10:37.160]  Right actually in Apple's world. It's usually no 99. So it's probably just 29. Yeah, exactly. You're right actually zero zero, right? I mean
[10:38.320 --> 10:44.780]  Yeah, I just I just actually went through this with my cable company. I'm desperately trying to get my bill down
[10:44.780 --> 10:46.040]  I returned my router
[10:46.040 --> 10:47.260]  I returned the other box
[10:47.260 --> 10:52.200]  You know or the modem and then other another box that we had that we just don't use enough and you go in the store
[10:52.200 --> 10:55.760]  And they sort of like well if you sign up for the special deal we can actually knock
[10:55.760 --> 11:00.620]  You know $20 off your bill a month for the next six months and it's like, okay
[11:00.620 --> 11:01.760]  So I'm gonna go through all of that
[11:01.760 --> 11:06.520]  But then in six months, you're gonna raise it again probably more to than what I'm paying now, you know
[11:06.520 --> 11:08.920]  They do all of these behind the scenes
[11:09.840 --> 11:11.840]  Frankly, they're scams really
[11:12.320 --> 11:17.120]  Yeah, it's yeah, it's a low-grade scam, but it's definitely a ski. It's a it's a bait-and-switch
[11:18.240 --> 11:22.960]  Right. I mean mostly just like when I read that article is like oh Apple hates the cable companies as much as we do
[11:23.280 --> 11:24.720]  like
[11:24.720 --> 11:27.240]  yeah, I want to work with them obviously, but and
[11:28.160 --> 11:31.420]  That they specifically mentioned that they don't want like somebody all you know
[11:31.520 --> 11:37.280]  Unnamed but said that you know, we're not we're not like them those music guys who Apple, you know took advantage of
[11:37.600 --> 11:39.000]  I
[11:39.000 --> 11:43.360]  just think that they're just not quite where the music guys were like when and and
[11:43.640 --> 11:48.960]  It is very different because when Apple started with iTunes way back last decade
[11:48.960 --> 11:55.000]  it was Mac only and the Mac was very small and it was no, you know, we were years away from the
[11:56.520 --> 12:00.000]  iPhone and any sort of large market share and there was
[12:01.720 --> 12:08.600]  You know, see ya seemingly overlooked in their negotiations was even the possibility that Apple might offer iTunes for Windows, right?
[12:08.600 --> 12:13.560]  But also what you know, what we were what we didn't have was it was like a pre app world, right?
[12:14.000 --> 12:16.120]  We listen to music through one
[12:16.120 --> 12:19.760]  Service and that was a local service most of the time
[12:19.760 --> 12:24.640]  And so now we live in a world where we are, you know, and this is kind of app
[12:24.640 --> 12:29.720]  You know, obviously Apple's created it but even on the TV they've they've really pushed it that the futures apps, right?
[12:29.720 --> 12:37.820]  And so for many of these companies, they already have a solution that works for them right CBS or NBC or I don't know
[12:37.820 --> 12:43.080]  FX they make you sign in with your cable information and they've still got this presence there
[12:43.080 --> 12:49.640]  Now that makes it really hard for cable cutters, of course, but they have a presence on these digital platforms
[12:49.640 --> 12:55.480]  There seems like less incentive in you know, then when we were in this pre app world for them to want to join it
[12:56.320 --> 12:58.320]  yeah, and I think that
[12:59.940 --> 13:07.040]  You know and the trend is obvious that it may take a what you know, it's it's just it applies to so many things
[13:07.040 --> 13:11.440]  There's that great Hemingway quote about a character. Like how did you go bankrupt and it's you know
[13:11.440 --> 13:13.440]  slowly then quickly
[13:14.360 --> 13:19.040]  And that's how all of these things take all these disruptions is slowly then quickly and it's right now
[13:19.040 --> 13:21.040]  We're at the point where slowly
[13:21.040 --> 13:24.760]  More and more people are not paying for cable TV in their house
[13:24.760 --> 13:30.920]  I mean, I know that listeners of this show are way off the charts in that direction, you know, absolutely
[13:31.600 --> 13:35.320]  People who read your column are surely way off the charts in that in that
[13:35.960 --> 13:40.520]  And they know I need to I need to get behind it. I just there's some things can't live without
[13:40.520 --> 13:45.680]  We're that's how we are. I mean it's for me. It's a couple of sporting sports things and for Amy
[13:45.680 --> 13:47.760]  It's a couple of shows that she likes that don't have
[13:49.100 --> 13:52.920]  You know that they're they're not right. There's no way to get him. Otherwise, right?
[13:54.560 --> 13:58.240]  But we're close and Joan I'll tell you Jonas are you know, he's 12 years old
[13:58.240 --> 14:03.040]  He doesn't watch anything on TV except stuff that we make him watch like get down here and watch Hillary Clinton
[14:03.040 --> 14:07.560]  Give this, you know, he doesn't watch anything on TV if I watch YouTube. Yep, YouTube and and
[14:07.560 --> 14:14.280]  And now a net snapchat Netflix Netflix Netflix, right if we if we Netflix is just I mean
[14:14.280 --> 14:18.280]  This is the summer of Netflix in my opinion. I mean, yes also them raising rates and
[14:18.840 --> 14:24.760]  Issues with their I don't know financial situations, but it's just the stuff they're putting out right now is great
[14:24.760 --> 14:28.480]  If our Netflix like if our credit card that we have on file with them
[14:28.680 --> 14:33.320]  You know needed to be renewed because the expiration date was up Jonas would know within an hour
[14:33.320 --> 14:35.320]  You
[14:36.320 --> 14:43.520]  Would get his his seven or whatever you pay $9.99 and dollars in cash and just say deal with this dad Netflix and YouTube
[14:44.440 --> 14:52.240]  it's you know, and and they you know, it's a reckoning that is coming for them where it eventually they you know,
[14:52.240 --> 14:59.440]  The gravy train of everybody pays for cable and everybody, you know, frankly pays too much for cable is going to come to an end
[14:59.440 --> 15:05.360]  Right, right. Well, we're gonna see put some of this play out in the with the Olympics in a couple of weeks. I mean
[15:06.040 --> 15:08.040]  They are you know?
[15:08.920 --> 15:13.840]  NBC subscribers you need this your cable information to log into a number of different apps
[15:13.840 --> 15:16.160]  That's that's the way they still want to play. Yeah
[15:17.240 --> 15:22.560]  I'm really I hope I have not been following along like trying all these betas over the summer
[15:22.560 --> 15:28.360]  But I'm really looking forward to hopefully everybody getting on board with the Apple TV with that thing that they announced at
[15:28.360 --> 15:30.360]  WWDC where you can say yeah
[15:30.680 --> 15:36.800]  Huge sign in cable thing once and then we will vouch for all of these apps that you are a cable subscriber
[15:36.800 --> 15:40.400]  I know there's like times where I like it happened with the FX app
[15:40.400 --> 15:46.420]  Like I was like put it off as I really want to watch something in here and I just don't remember my cable login
[15:46.920 --> 15:51.240]  You know you like you set up the the rest of your other apps on there and then I'm like, you know
[15:51.240 --> 15:56.560]  And I spend I don't I really probably did spend 30 minutes trying to recover that information and then punching it in
[15:56.560 --> 15:59.400]  There was one a couple of weeks ago. I think it was HBO, but I might be wrong
[15:59.400 --> 16:02.880]  But one of them I was on the Apple TV and and it forgot
[16:02.880 --> 16:08.760]  I've already done it and it like made me do it again and it wouldn't work on my phone for some reason and so I
[16:08.840 --> 16:13.560]  Had to actually go up state which is I mean that's cruel going up a flight of stairs at 11 o'clock at night
[16:14.760 --> 16:19.760]  Cruel and unusual in your slippers. Yes in my head slippers in your sweaty slippers, right?
[16:19.760 --> 16:23.280]  And my sweaty slippers to do it at the desktop, which seemed ridiculous
[16:23.280 --> 16:26.160]  um, so anyway, I think something's going on there, but
[16:27.400 --> 16:33.200]  Well, yeah, it is certainly an interesting report and humorous report
[16:35.560 --> 16:42.480]  Let me take a break and thank our first sponsor it is our good friends at back blaze back blaze offers you unlimited
[16:43.120 --> 16:44.760]  native
[16:44.760 --> 16:47.040]  backup for your Mac and PC
[16:47.040 --> 16:53.680]  I don't know what a Windows PC is, but apparently it works on it. No credit card required to start no risk
[16:53.720 --> 17:00.240]  You get a free 15-day trial at back blaze comm slash daring fireball
[17:01.760 --> 17:04.960]  Access to all backed up data you get it with the day of an iOS app
[17:04.960 --> 17:09.680]  What you do is you go to back blaze you install a little thing and installs it on your Mac or your Windows computer
[17:09.960 --> 17:15.360]  On the Mac it is written by former Apple engineers. This is not some kind of crappy Java thing. It's not ugly
[17:15.360 --> 17:21.320]  It's just a little system preferences thing that runs in the background and it just automatically backs up everything on your Mac everything
[17:21.320 --> 17:26.240]  Do you have an external like three terabyte hard drive plugged in with like all of your videos and stuff like that?
[17:26.400 --> 17:29.680]  It'll back that up too. There's no limit it did there is you think well
[17:29.680 --> 17:32.120]  There's got to be a catch like over a terabyte you have to pay more. Nope
[17:32.840 --> 17:34.840]  Everything you have in your Mac
[17:35.280 --> 17:38.960]  Just goes right up. It's just five bucks a month for each computer
[17:38.960 --> 17:43.420]  So if you have two computers and you have to pay five bucks a month for each of them sounds fair to me
[17:43.420 --> 17:46.220]  No limit on the amount of data backed up
[17:46.220 --> 17:52.700]  They have collectively at back place over 200 petabytes of data that is stored by them
[17:54.180 --> 17:58.620]  When you need your data back you can use their app you can get one file at a time
[17:58.620 --> 18:05.140]  You can browse the website has your everything listed download one file download a folder you can get it on iOS or Android
[18:05.540 --> 18:08.100]  So it's a great way not really even just for backup
[18:08.100 --> 18:12.820]  It's just a great way to access your desktop files from the phone while you're on the go
[18:12.820 --> 18:19.020]  Or in a case of an emergency something really goes wrong. You need everything but it's like well what I got three terabytes of data
[18:19.020 --> 18:21.940]  I can't just download all this right you can just get them
[18:22.260 --> 18:26.780]  And they'll put it all on a USB hard drive and overnight it by FedEx
[18:26.780 --> 18:32.220]  And you'll just have it next tomorrow morning ding-dong your doorbell rings, and then there's all your data
[18:32.660 --> 18:36.420]  This is an absolutely great deal. I've been using these guys for years
[18:36.420 --> 18:40.240]  I would recommend them to you even if they weren't a sponsor. I cannot say enough
[18:40.240 --> 18:45.020]  I think you should have some kind of backup right there on your desk some you know time machine stuff like that
[18:45.340 --> 18:48.140]  Definitely have stuff like that you can't back up too many different places
[18:48.140 --> 18:53.780]  But an online backup just to make sure you have something off-site so that if something you know if you get robbed
[18:53.780 --> 18:58.060]  Or there's water damage or something like that your roof leaks and gets your desk soaked
[18:59.220 --> 19:00.780]  You're not screwed
[19:00.780 --> 19:04.780]  Can't tell you how much better I sleep at night knowing that I've got stuff backed up at back place
[19:04.780 --> 19:06.980]  So go to back blaze comm slash during fireball
[19:06.980 --> 19:12.040]  They'll know you came from here, and you get a free 15-day trial 15 days to try it before you pay a nickel
[19:14.420 --> 19:16.420]  You love that you love back place
[19:16.980 --> 19:21.020]  I need to figure out my whole backup situation actually you know what I need to do
[19:21.020 --> 19:25.340]  And I haven't done it, and it's criminal because I tell people to do it. I need to sign my parents up for back place
[19:25.860 --> 19:29.380]  And I'm not it's good. I'm not even gonna make it a gift. It's not like I'm gonna say you know
[19:30.020 --> 19:32.140]  Happy Father's Day. It's you know you got back up
[19:32.140 --> 19:37.140]  I'm just gonna do it next time I'm at their house and just pay for it and just not even tell them or
[19:37.300 --> 19:43.540]  You're gonna be like the cable companies, and then raise the rates in like two years exactly and start sending my parents a bill. Yeah, I
[19:45.260 --> 19:49.540]  Want to talk to you because I love your opinions on laptops and tablets
[19:50.140 --> 19:53.660]  What do you think is going on with Apple's lineup of Macs?
[19:54.340 --> 19:57.900]  That has not something I have not been updated in
[19:57.900 --> 20:02.980]  I'm I'm at I mean like I'm eager obviously I love gadgets, and I love
[20:03.620 --> 20:07.780]  Reviewing things, and I love you know helping people get better stuff
[20:07.780 --> 20:13.460]  But I really care about myself right now, and I have a MacBook Air that as you know
[20:13.460 --> 20:18.320]  I you know clung to for many years, and I love the MacBook Air, but it's time
[20:18.320 --> 20:21.380]  It is really time for me to get another computer
[20:21.380 --> 20:27.820]  And this thing is really on its last legs and I need something now like I need something in September
[20:27.820 --> 20:31.080]  Or October so the timing really works for me Apple
[20:31.660 --> 20:34.340]  to release this new rumored MacBook Pro
[20:36.180 --> 20:41.260]  Please please just do it. I feel like and also don't be bad like I need it to be good
[20:41.260 --> 20:46.100]  I feel like there should be like a crew of volunteers who stands outside Apple stores right now
[20:46.100 --> 20:50.440]  And when people go in they say what do you want to buy and if they say they want to buy like a MacBook Air
[20:50.440 --> 20:52.500]  Or MacBook Pro they say no no no don't do it
[20:52.500 --> 20:56.940]  I mean, I'm happy to take that on I just did that in a very public way for the iPhone
[20:56.940 --> 21:01.260]  Yeah, I saw that it's you know do not buy an iPhone right now. I
[21:02.380 --> 21:07.020]  Mean, it's just you know for us like and listeners of this podcast and many readers
[21:07.020 --> 21:13.340]  You know it is obvious, but it really is not obvious to many many people who ask me every year
[21:13.980 --> 21:17.920]  When should I buy an iPhone should I buy the next iPhone should I buy an iPhone right now?
[21:17.920 --> 21:20.200]  I mean, it's still the most common question
[21:20.200 --> 21:25.420]  I get being in this industry and many people you know will head out to the store in in
[21:25.420 --> 21:28.220]  August and go buy a new a new phone
[21:28.220 --> 21:30.900]  And I just don't think you know and I especially don't think that
[21:30.980 --> 21:36.240]  The the rumors that this next phone won't be a big update is even reason to say okay fine
[21:36.240 --> 21:38.620]  I can go buy an iPhone right now. It just isn't
[21:39.780 --> 21:44.940]  But yeah, I don't really I mean there's there's very few Apple products. I would let anyone go by right now
[21:44.940 --> 21:48.540]  I mean the only one I would recommend would be the the one port MacBook
[21:48.740 --> 21:53.220]  You know which was yeah right right didn't refresh a couple months ago, which right in line
[21:53.220 --> 21:58.900]  but other than that even then even then I think there's a decision for many people to make like I'm in the situation where
[21:59.220 --> 22:06.880]  I actually think that MacBook it could do it could be my computer. I wrote this in the in the HP and MacBook review
[22:06.880 --> 22:11.420]  I did a couple weeks ago. It could be but I think there there could be something else
[22:11.420 --> 22:13.940]  That's actually gonna meet my needs a little bit better
[22:14.540 --> 22:16.660]  And that's you know a little bit more power
[22:16.660 --> 22:23.280]  And more some more ports I can make I could probably make do with the port situation now
[22:23.280 --> 22:26.420]  I got one of these hyper drive attachments to the MacBook, and I love it
[22:27.860 --> 22:29.580]  What's that?
[22:29.580 --> 22:37.260]  It's a you know. It's plugs into the USB C port and it's got a SD card reader. It's got a two USB ports. It's got
[22:37.900 --> 22:43.820]  It's also got a display port, but it doesn't really work. Oh, I think I saw that in a I think I think
[22:43.820 --> 22:50.660]  Deeter bone was using that at the keynote early early or maybe a competing one. What's it called the hyperdrive?
[22:50.660 --> 22:52.940]  It's called hyperdrive. I think it's
[22:54.300 --> 22:57.740]  Let's see and a lot of people actually emailed me about it after
[23:00.660 --> 23:04.360]  It's a pain I used a MacBook Air 11-inch
[23:04.360 --> 23:10.980]  Which I loved I really did love the size for years years and years. It was one of my favorite MacBooks. I've ever had
[23:10.980 --> 23:12.700]  But
[23:12.700 --> 23:16.420]  I remember the one time I was at WWDC and I wanted to download all the
[23:17.020 --> 23:22.440]  IOS betas and stuff that they had released and the Wi-Fi there was no way you could possibly it was like, you know
[23:22.440 --> 23:26.240]  This will take 17 days over right and so they had all these Ethernet
[23:28.140 --> 23:32.240]  Things and you could download and it was like super fast Ethernet you could download it in like five seconds
[23:32.240 --> 23:35.540]  And of course, I forgot to pack my Ethernet dongle
[23:35.540 --> 23:41.460]  Yeah, eventually I found a friend. It's you know, that's lucky that I have know lots of people there and I rec
[23:41.460 --> 23:47.100]  You know found somebody who I knew and I was like, hey, can I borrow that and did but I just saw somebody a friend
[23:48.260 --> 23:50.060]  Not a friend, but somebody who I follow on Twitter
[23:50.060 --> 23:55.400]  It was at the Democratic National Convention here in Philly and was like I need an I need a service like uber that will
[23:55.540 --> 24:00.860]  But will deliver a USB Ethernet adapters to the to the convention
[24:02.780 --> 24:04.780]  Yeah, I mean
[24:04.780 --> 24:06.780]  Yeah, this thing's called the hyperdrive USB
[24:07.300 --> 24:13.040]  Type C five and one hub if anyone's interested, but um, I will put it in the show. Yeah
[24:13.040 --> 24:19.640]  I mean, I don't know I like I think that this next MacBook Pro is probably the answer for me
[24:21.640 --> 24:25.760]  But I don't know I don't know where it is, I mean it's there it's got to be coming
[24:25.760 --> 24:30.320]  I mean, it's been so long. It's it's got to be coming and it's to me. What's odd is that it didn't come before
[24:30.320 --> 24:35.320]  Back-to-school, but it wouldn't really work with with Apple's timing on the max
[24:37.840 --> 24:41.680]  Yeah, I mean it's it's a tough situation to tell students what to buy right now
[24:42.320 --> 24:43.320]  because you know
[24:43.320 --> 24:49.880]  This is a computer that should last them for the next four years and I don't think the MacBook Airs is good enough
[24:49.880 --> 24:55.620]  You know, it's sure it's it's definitely the lower end option, but you know some I don't know
[24:55.620 --> 25:01.860]  I just wanted to be a better product. I've said it a few times that my my really biggest regret with my interview with Phil Schiller
[25:01.860 --> 25:05.700]  And and Craig Federighi at WWDC was that I didn't bring this up. I
[25:06.340 --> 25:10.980]  Really wanted to I almost did and then I lost it just got lost in the flow of the conversation
[25:10.980 --> 25:12.740]  And it didn't seem right to go back to it
[25:12.740 --> 25:14.940]  And I really regret it because I think it's an important topic
[25:14.940 --> 25:18.180]  I really would have been interested to hear Schiller's take on it
[25:18.180 --> 25:21.340]  And the other thing about it is at the time of the interview
[25:21.340 --> 25:27.480]  So there's like second week of June the day after WWDC and when I was sort of kind of hoping that they'd have a surprise
[25:27.480 --> 25:29.180]  announcement with a new MacBook Pro
[25:29.180 --> 25:35.380]  That it was only like a one-day-old wound in my psyche that they didn't have a new MacBook Pro
[25:35.380 --> 25:39.660]  I didn't really I didn't feel at that moment
[25:39.900 --> 25:44.540]  Just how weird it was going to feel this summer that the whole summer is gonna go by
[25:44.540 --> 25:50.580]  it was like it just felt like at that moment in June the MacBook Pro was a little old ready for an upgrade and
[25:50.580 --> 25:56.940]  The addition of this summer and in particular with especially with I think with with notebooks
