[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[06:39.000 --> 06:45.000]  So I presume they've spent the six or seven months since China said they were going to step up this policy in January.
[06:45.000 --> 06:49.000]  I presume they've been lobbying and just saying, look, you know, what can we do?
[06:49.000 --> 06:56.000]  What can we do to make this happen where we're not creating a public relations nightmare for everybody, it doesn't become a deal?
[06:56.000 --> 07:14.000]  And, you know, China, I don't think per se cares, the Chinese leadership cares about that part because it's not something that affects how they govern the country to worry about the response to it, right?
[07:14.000 --> 07:29.000]  The question is, should Apple be in China or not? And honestly, and if they are, if they're going to sell iPhones and Macs in China, this is the sort of thing that they have to do because it's complying with the law.
[07:29.000 --> 07:43.000]  I don't think, for example, that Apple is particularly happy about the Amber Alert thing that your iPhone does when it goes off.
[07:43.000 --> 07:48.000]  I don't think they like that sound. I don't think, frankly, I don't think it's a good law.
[07:48.000 --> 07:55.000]  I think it's, you know, I don't think it's, to my knowledge, it's never once helped rescue a child.
[07:55.000 --> 07:57.000]  No, I think it did once.
[07:57.000 --> 08:08.000]  I think there was, well, versus the phone, some of the, I believe that some of the alerts that have gone up on like highway signs and through other means, I think that has actually helped track people down.
[08:08.000 --> 08:14.000]  But has it helped to have everybody in a certain area have their cell phone make a terrible noise all at once?
[08:14.000 --> 08:22.000]  Right, I mean, everybody in the north, I got one the other day where it said like Meade, Washington, like just yesterday at 84, like Meade is hundreds of miles from here.
[08:22.000 --> 08:27.000]  And it's, I totally get the reasoning behind it. It's not regionalized enough, right? That's the problem.
[08:27.000 --> 08:38.000]  Right. So, but does Apple have a choice in the matter? No. The law says in the United States, if you're going to sell a cell phone, it has to, you know, made after a certain date, it has to do this thing.
[08:38.000 --> 08:43.000]  I guess I think there's a way to turn it off. I think I'm pretty sure I turned it off on my phone.
[08:43.000 --> 08:45.000]  You can disable it. That's right.
[08:45.000 --> 08:48.000]  But, you know, but by law, though, it has to be on by default.
[08:48.000 --> 08:49.000]  Right.
[08:49.000 --> 09:04.000]  You know, and again, this is not an issue of human rights. It's not an issue of free speech, but it's just the nature of being a multinational corporation that sells in a bunch of countries is you've got to be compliant with the law in every country you're in.
[09:04.000 --> 09:10.000]  I mean, you know, there's a reason why Apple's legal department is humongous.
[09:10.000 --> 09:16.000]  It's not because Apple has just allowed it to grow into a giant bureaucracy just for the hell of it.
[09:16.000 --> 09:28.000]  It's a hell of a thing. And China is a country where complying with the law is going to involve things that deeply offend, in my opinion, correctly so, the sensibilities of people in Western civilized democracies.
[09:28.000 --> 09:31.000]  Or democracies anywhere, really.
[09:31.000 --> 09:39.000]  Yeah. And then, of course, and then there's this very easy, the whataboutism response, which you can look up on Wikipedia. It's a great entry for whataboutism.
[09:39.000 --> 09:49.000]  Then you say, well, what about the US? We have all this garbage we do here. We have, you know, warrantless wiretaps, we have extraordinary rendition, we have secret FISA courts, all this stuff.
[09:49.000 --> 10:02.000]  But you say, by and large, things come out. Like, by and large, there's a process and most of the, I would say most of the friction we have about government, let's see, like a continuous thing under any administration.
[10:02.000 --> 10:20.000]  I want to say, like, not most of the friction we have about government, but one of the big issues about privacy is that so much of what should be subject to due process and constitutional protections seems to have been exempted without any review of the constitutionality without a good way to overturn that.
[10:20.000 --> 10:27.000]  So, you have lots of organizations in the United States working on that. But we have a process, we have courts, we have SCOTUS, we have a thing that we agree is a mechanism.
[10:27.000 --> 10:43.000]  So, even when we veer towards something that is anti-constitutional, there should be a way to veer back. And it may take sometimes years or decades for that to happen, but we tend to hew towards upholding constitutional rights, which include upholding, you know, which broadly upholds human rights.
[10:43.000 --> 11:03.000]  And we'd argue maybe that, so what aboutism is like, well, okay, we're criticizing China for this, but America has all these issues. You know, we have all these things we've done. We've got people in Guantanamo, we've got, you know, trillions of bytes of data being collected every month by people on black budgets who are contractors to the government, sorting through, you know, blah, blah, all this stuff's going on.
[11:03.000 --> 11:17.000]  But I would say we are still fundamentally, we are a democracy with a rule of law, with a justice system that's judiciary, that's independent, and has review, and we're wrestling with some of those fine points. So, when Apple opposed the FBI in the San Bernardino case, Apple had a process.
[11:17.000 --> 11:34.000]  It was not ordered to do something, people didn't come in with guns the middle of the night and, you know, point them at Tim Cook and make him march out and find engineers. They went through a process, most of it was public, and the FBI eventually bought tools from hackers to break into the phone and found apparently nothing useful.
[11:34.000 --> 11:52.000]  So, we'd argue, I guess, that in China, it's, you know, partly they have, don't have the same orientation towards the primacy of human rights and individual expression that many other countries do and that we believe is kind of the foundation of, you know, I believe, I don't agree with China's approach to human rights and freedom of expression.
[11:52.000 --> 12:08.000]  I'm not sure it's a valid, I can't even say I think the approach is a valid one in terms of how it crushes the human spirit, right? But I can also understand if I step back and say objectively, they have a different orientation to that and they are a sovereign nation, they've established their sovereignty.
[12:08.000 --> 12:19.000]  And if Apple wants to work in that market, they have to work within the constraints of a system that is not organized in a way to provide this kind of a judicial access and appeals process and transparency to what they do.
[12:19.000 --> 12:30.000]  Yeah, I totally agree. I think the thing that we do as the United States that's most objectionable on our front are those, the secret orders. I think you mentioned it, right? The ones where the company-
[12:30.000 --> 12:32.000]  Oh, the FISA court things, right? Or there's also-
[12:32.000 --> 12:33.000]  Legally not-
[12:33.000 --> 12:34.000]  No, there's more, too.
[12:34.000 --> 12:40.000]  Legally not allowed to notify the person that it's been issued, which is bullshit. That's to me a violation.
[12:40.000 --> 12:55.000]  That is a different thing. Those aren't FISA court, it's a, that's a different thing where the government, right, can issue a, right, and that's where you have the canary documents on the site, right? Where you can say Apple, I forget which site everybody has it, but you have a document that says the government hasn't asked us for this yet.
[12:55.000 --> 13:09.000]  And if that document were to disappear, that's legal. And it means the government has asked them for something, right? That's a great little mechanism to get around that limitation of- because right, there's an argument is that it's probably not constitutional if it were firmly tested.
[13:09.000 --> 13:15.000]  I don't believe SCOTUS has taken up that particular issue.
[13:15.000 --> 13:31.000]  No, I don't think so. So I really do. I just, it frustrates me that people don't, really don't think this through. And I really do think- so somebody, and then some people I've seen, some people arguing that Apple should just pull out of China.
[13:31.000 --> 13:51.000]  They should not, they just should not sell products in a country with policies like this. And I think, I think there is a line that, and I don't even, I think there are lines that China could feasibly, it might actually happen where China would make a demand that would prompt Apple to actually pull out of China and sacrifice all the money.
[13:51.000 --> 14:06.000]  I think, for example, if China mandated that there has to be a backdoor to get into the- like a San Bernardino backdoor, some kind of golden key so that a confiscated phone in the People's Republic of China, that the government could decrypt it.
[14:06.000 --> 14:18.000]  And any phone sold in the country must have, you know, such a mechanism. I don't believe Apple would make a separate SKU for iPhones to comply with that. I really don't.
[14:18.000 --> 14:33.000]  I don't think so either. I think it's so, and I think, so there's this issue of would China push Apple to a point where it knows that Apple would exit and that might actually occur because China, I mean, I forgot if you had Ben Thompson on to talk about this or you were talking about it.
[14:33.000 --> 14:48.000]  He wrote that great thing several months ago about the key, and I've seen it repeated a number of times since, and I don't know if his insight was original, but it's been, so I'll claim it was, that in China, the app has primacy, not the ecosystem, right?
[14:48.000 --> 14:57.000]  So, you have WeChat and Alipay and other kinds of things that are app-based and they work the same across every platform that's available.
[14:57.000 --> 15:06.000]  So, you can buy a cheap Linux phone that's not Android even. You can buy an Android phone, whatever, an iPhone, and you're using the apps, and the apps are the thing that are primacy.
[15:06.000 --> 15:25.000]  So, this explains just not as much, even though there was originally very clearly this brand awareness and brand desire for iPhones. In China, it sounds like that's faded somewhat, and we can see that in sales and so forth, and that people have now kind of very rapidly switched over to just thinking about the efficacy of the individual apps.
[15:25.000 --> 15:34.000]  So, Apple has less of a, I don't know, like when they were selling more devices and were a more critical part of that market, they might have had more leverage.
[15:34.000 --> 15:44.000]  I think this boils down to, you know, would China care if Apple left the market? Would it harm China as a country? Probably not that much, because they have all the alternatives they need.
[15:44.000 --> 15:56.000]  It wouldn't be harming their competitiveness or whatever. It does, of course, then you get into this whole, okay, well, you know, Apple not only does it make like maybe $10 billion in the most recent quarter in revenue in China, which was down year over year,
[15:56.000 --> 16:05.000]  but they have all this manufacturing operation that they contract, Foxconn and everybody else, some billions and billions. I don't know what the scale is that's dedicated to Apple.
[16:05.000 --> 16:22.000]  What happens to that? If Apple refuses to obey, does suddenly all those production lines get shut down and they're incapable of making iPhones? I really don't know what would happen there, but the Chinese government is supreme and centralized, and it can do whatever it wants at some level.
[16:22.000 --> 16:36.000]  Apple's relation with China is unique, and the only other country where they have a relationship as unique would be the United States since their headquarters is here and most of their employees live here.
[16:36.000 --> 16:47.000]  I would argue that Apple's relationship with the United States, though, it's almost not a relationship because it's like this is where the roots of the company are.
[16:47.000 --> 16:57.000]  It's intertwined. Their American identity is almost, you don't even think of them as having a relationship with the United States because they're here and that's where their headquarters is.
[16:57.000 --> 17:04.000]  But their relationship with China is inordinately complex, and China is not just the second biggest market.
[17:04.000 --> 17:20.000]  And the people who want to be cynical about it and say that Apple is kowtowing just because of the money.
[17:20.000 --> 17:37.000]  And that would be true if, let's say, they did all of their manufacturing in Japan. Taiwan's not a good example because it's sort of tied to China, but let's just say that they didn't have any actual manufacturing and assembly footprint in mainland China.
[17:37.000 --> 17:53.000]  That still would be a tremendous, just the size of the market makes it important. But because that's actually not true, they do have a massive manufacturing and assembly footprint in China, and so many of their suppliers also are there.
[17:53.000 --> 18:12.000]  I mean, part of the whole success of Foxconn in China is the proximity. It's not just Apple and Foxconn. It's the proximity to the companies that drive the trucks in every day with pallets full of one tiny little thing for the camera.
[18:12.000 --> 18:34.000]  It's the proximity to it that would make it so hard for Apple to move manufacturing somewhere else. And let's face it, Apple's relationship with China on any of these matters is way more complicated than it would be if they were simply selling products to the people of the country.
[18:34.000 --> 19:02.000]  Yeah, I totally agree with all that. And I thought Tim Cook expressed the frustration pretty frankly. I was sort of surprised in the analyst call a few days ago where he has to be very careful what he says, but it wasn't, what I want to say, it was balanced, but I thought it was also sort of frank about the fact that they want to engage with what's going on.
[19:02.000 --> 19:12.000]  And if they can't, you know, as we said, they can't just say, no, that's not going to, you know, that's not going to cut anything for them just to say no.
[19:12.000 --> 19:24.000]  But because they don't have the basis under the law or in process to do that. And, you know, I was saying, you know, Apple, I actually feel like Apple should take a stronger stance even if it's not saying no.
[19:24.000 --> 19:42.000]  I feel like they should be making more effort. And I think Tim's comments went more towards that because one of my concerns is that by agreeing to Chinese restrictions, regardless of how legal they are under Chinese law, even in self-consistent, it empowers more countries to ask for more.
[19:42.000 --> 20:10.000]  And the U.S. and U.K. in particular are asking for it. So, with that in mind, I feel like there's a danger that this, and this is kind of this ongoing thing, the bigger power China gets, the more it was seemingly going to have to liberalize because it was facing the reality of more citizens with more money, a higher standard of living, and a middle class demands more and different, and it's more comfortable, and thus it's not as malleable, and there's more power that's distributed when money is distributed that way.
[20:10.000 --> 20:31.000]  So, the Chinese government, I think, I mean, I'm not a Chinese scholar. I don't know how long the current structure can stand. It seems very fragile to me, and there's all this money and pressure and what have you, but as it's grown as a power, as an economic and market and world power, people are learning the wrong lessons from it.
[20:31.000 --> 20:43.000]  So, democracies have adopted more restrictive policies. I mean, you see Russia, which has always had kind of totalitarian, centralized, whatever, like when has Russia actually been free? Maybe sort of under Yeltsin, but I don't know.
[20:43.000 --> 20:59.000]  But it's frustrating to see that the wrong lessons are being learned. They're being imported into democracies, that democracies learn how they can repress their own citizens better because they're seeing it demonstrated with no repercussion in countries that are not democratic.
[20:59.000 --> 21:20.000]  I think that, so somebody on Twitter, and it seems like he deleted the tweet. I don't know if he's somebody who deletes his, you know, it was like a conversation, a public conversation we had, but I'm not going to, I still have it here to read, but I won't say his name, but just because I'm worried that he deleted it for a reason.
[21:20.000 --> 21:36.000]  But anyway, it was somebody who objected to, accused me of defending Apple, just blindly in the face, you know, simply as, and I said, well, seriously, what would you have them do differently? Do you really, you know, do you really want them to pull out of China?
[21:36.000 --> 21:51.000]  And let's face it, when we talk about this, pulling out of China is not just a decision to forgo about 25% of their current revenue. It quite possibly would, it could, I mean, cost Tim Cook his job.
[21:51.000 --> 22:08.000]  I mean, because it's quite possible that a majority of Apple's shareholders would look at this and say, this is not worth pulling out of 25% of our revenue for the foreseeable future and jeopardizing our relationship with this country.
[22:08.000 --> 22:18.000]  Apple actually makes a ton of profit, but you know, so it doesn't, it's not making all its profit in China, but voluntarily giving up all that revenue and all that profit.
[22:18.000 --> 22:33.000]  And, you know, so this person was reasonable though, it was a good, it was a very, it was an adult argument, you know, argument gets a bad rap as a word because everybody becomes so overly sensitive that we think argument is a fight.
[22:33.000 --> 22:42.000]  But no, it's a logical argument. But his thing was that Tim Cook should personally state his opposition on Twitter as he has to many other political issues in the US.
[22:42.000 --> 22:54.000]  You know, like he has, for example, Tim Cook has publicly come out in opposition to the Trump administration's immigration policies.
[22:54.000 --> 23:06.000]  I don't think, that's a reasonable opinion to say that Tim Cook should do that. That wouldn't cost Tim Cook his job. He could do that. I'll bet he's thought about it. I wouldn't be surprised if he does at some point.
[23:06.000 --> 23:20.000]  But you also, and again, I'm not a Chinese expert in any way, neither are you, but I do know enough about China that politically, you must be extraordinarily delicate.
[23:20.000 --> 23:35.000]  It is a culture and a government that, on both sides, both in what they say and what they expect to hear, they value subtlety.
[23:35.000 --> 23:46.000]  Well, I'll tell you something. I talked to a Chinese expert, a fellow whose name is Rajer Krimers, who's Dutch. He's an expert in Chinese law and governance and has studied this kind of thing.
[23:46.000 --> 23:52.000]  I said, you know, what could Apple do? And he has some, you know, what kind of response could they have other than what they did?
[23:52.000 --> 24:02.000]  And he said, you know, we talked about this earlier here, but he said, this is Chinese law. And they could become part, there's a board, the TC260 is the committee that oversees this.
[24:02.000 --> 24:13.000]  Microsoft and Cisco are members of this board. Apple is not. They could. He thinks that actually, I think his stance is very interesting for someone who is from a Western democracy.
[24:13.000 --> 24:20.000]  Like I say, I believe he's from the Netherlands. He's taught and researched the Netherlands and in England and Oxford.
[24:20.000 --> 24:32.000]  And he thinks that actually this sort of unfettered ability of expression on the internet may actually not be in the best interest of citizens, not just a governmental thing, which is an interesting stance.
[24:32.000 --> 24:41.000]  You know, the reason we limit rights by, this is what he says, the reason we limit rights by law is that their unfettered exercise might cause undue harm, limiting the liberty of others.
[24:41.000 --> 24:49.000]  It's long overdue this notion is introduced to the online sphere. Acts that are unlawful in real law should not be condoned just because one happens to commit them in cyberspace.
[24:49.000 --> 24:55.000]  And after having seen, so that's distinct from free speech, right? People would read that. And originally I thought, well, that seems awfully harsh.
[24:55.000 --> 25:17.000]  And then I thought, aren't I one of the people who would like to see consequences happen when people commit, you know, basically crimes in Twitter or have some consequential mechanism for things that are not simply about the ability to state an opinion and exercise free speech, but have a real world consequence, like doxing, things that are in fact illegal under some state and federal laws.
[25:17.000 --> 25:28.000]  But he says this, which is, I think, interesting. He says, the Chinese starting point is that historical political mission needs to be fulfilled, which requires the mobilization of the entire society and therefore the imposition of discipline.
[25:28.000 --> 25:35.000]  This requires the state not to be limited and controlled in its power, but to have the ability to quickly and decisively intervene to clear roadblocks.
[25:35.000 --> 25:47.000]  That is anathema to the U.S. and to most democracies. But, you know, it's good to get insight from someone who studied this so deeply, who says this is, you know, their guiding philosophy is that that is the most important factor.
[25:47.000 --> 25:53.000]  We have, in our country, we want to be able to carry our guns and our liquor and drive 100 miles an hour.
[25:53.000 --> 25:55.000]  All at the same time.
[25:55.000 --> 25:58.000]  All at the same time. We want the drive-through liquor store and whatever.
[25:58.000 --> 26:02.000]  With a gun on the passenger seat.
[26:02.000 --> 26:08.000]  Right, right. You've got broken glass in the back seat with your child sitting in it, no seat belt, and that's what you want.
[26:08.000 --> 26:14.000]  So, I mean, I'm making a caricature. But it's true is that we favor individual expression, individual rights.
[26:14.000 --> 26:14.000]  We do.
[26:14.000 --> 26:18.000]  There's a primacy of it that's encoded in the central tenet of our government.
[26:18.000 --> 26:23.000]  And there's various, I mean, look, we have a lot of disagreements about what those limits are.
[26:23.000 --> 26:35.000]  But what Roger's talking about is really that is like, some parts of the political spectrum want to impose more rules in some ways on people's bodies or property, and others want less.
[26:35.000 --> 26:42.000]  And it surprises me sometimes which end of the political spectrum wants government to impose rules on others in those fashions.
[26:42.000 --> 26:56.000]  With China, it's just a much more monolithic, the society becomes paramount, and this ability for us to control things and mobilize all the forces at once and move us forward in a single central direction is the most important thing.
[26:56.000 --> 27:11.000]  I really do think, and I have yet to be proven wrong, and I know that there are some people who simply say Apple is a for-profit corporation, and because they're so insanely profitable, literally the most profitable country in the world for the last few years.
[27:11.000 --> 27:14.000]  I mean, that won't last.
[27:14.000 --> 27:25.000]  There's zero doubt in my mind that that won't last, because it never lasts, that's the sort of thing, but they should remain very profitable for a very long time.
[27:25.000 --> 27:36.000]  And that inherently any for-profit corporation is full of shit, and nothing they say can be believed, and usually you should default to assuming that they're lying in anything they say.
[27:36.000 --> 27:49.000]  Okay, but in my experience as a very close watcher of this particular company and somebody who has a personal relationship with their PR department, I've never been lied to by anybody at Apple.
[27:49.000 --> 27:57.000]  Not off the record, never, not once have I been told something that turned out not to be true.
[27:57.000 --> 28:14.000]  They often give no answer, they often refuse to answer, every once in a while they give a circuitous answer, but not one that is like Bill Clinton style, depends what the meaning of the word is, or something like that.
[28:14.000 --> 28:27.000]  And I say this as a huge Bill Clinton fan, I'm just saying, I found them to be, I think that they are a tremendously honest company, and again, they don't necessarily say, they'll give a lot of non-answers.
[28:27.000 --> 28:46.000]  And I think Tim Cook's public statements, if anything, if there was anybody in the company who said things that weren't true, it was Steve Jobs. And that he wasn't really a liar, but that he would, you know, the reality distortion thing.
[28:46.000 --> 28:57.000]  So I would say in the post-Jobs era, the company has been, one difference between the Steve Jobs era and the post-Steve era is that the company has become completely honest, in my opinion.
[28:57.000 --> 29:17.000]  And I think Cook's remarks on the call were honestly what he meant, and I think you're right that they were very carefully considered, so that he could state his opposition in terms that were politically digestible to the Chinese ears.
[29:17.000 --> 29:28.000]  But I think his overall argument of, we think it's better to be engaged than not engaged, was true. And that's also what he said about his involvement with the Trump administration.
[29:28.000 --> 29:42.000]  That it's better to be involved, and if I can get his ear and make my case for why he's wrong on these things, we have a better chance of affecting it by being engaged than not engaged.
[29:42.000 --> 29:52.000]  Do I think he enjoys putting a suit on and sitting there next to Trump? And he's always conspicuously right next to Trump because he's, you know, he's the CEO.
[29:52.000 --> 29:53.000]  The richest one.
[29:53.000 --> 30:01.000]  Right, he's the, you know, maybe not the person, personally not the richest, but he certainly is the one of the company that's the richest. Do I think he enjoys it?
[30:01.000 --> 30:02.000]  I thought about that right.
[30:02.000 --> 30:03.000]  Do I think so?
[30:03.000 --> 30:08.000]  They probably rank it by company size, right? If you're half trillion dollars, you're over there. If you're three quarters trillion dollars, you're there.
[30:08.000 --> 30:14.000]  I don't think the other administrations would do that. I think Trump, though, certainly would, you know.
[30:14.000 --> 30:33.000]  No, I agree. I mean, I think it's a direct relationship, too, is, you know, there was an argument, is that Apple, especially with its progressive policies, with a gay CEO, with its history and interest in immigration, with its employees all over the world, including in affected countries that were affected by the travel ban,
[30:33.000 --> 30:42.000]  that they should completely, you know, create a kind of Cold War situation with the Trump administration and just support and battle elsewhere.
[30:42.000 --> 30:54.000]  And I, you know, as much as I would prefer Trump to be frozen out, on the other hand, it doesn't do any good for the U.S. economy, doesn't do any good for Apple, for its employees, its shareholders, you know, Apple's customers.
[30:54.000 --> 31:04.000]  It just, it makes things worse, as unpleasant as it might be, to see what feels like, you know, co-opt, being co-opted or being used.
[31:04.000 --> 31:09.000]  Like Trump's comment, you know, oh, there'll be three big, beautiful plants. This makes things up, as we know. Three big, beautiful plants.
[31:09.000 --> 31:12.000]  It turns out that was total bullshit. I thought it was.
[31:12.000 --> 31:16.000]  Like the Fox, the Fox, can we talk about, can we, I want to segue slightly, if that's all right.
[31:16.000 --> 31:18.000]  Let's hold this. Let's hold this thought.
[31:18.000 --> 31:18.000]  OK.
[31:18.000 --> 31:20.000]  Remember that we're going to come back to this. I just wanted to say this.
[31:20.000 --> 31:21.000]  I'm going to pause on Fox.
[31:21.000 --> 31:34.000]  I want to say this. I want to say this about the China thing is that to me, the thing that I think that the zealots who want Apple to stand up and shout a no, no, no about this, that they are overlooking is the welfare of the people of China.
[31:34.000 --> 31:36.000]  Isn't that the most important thing?
[31:36.000 --> 31:44.000]  It's not the abstract notion of are you, you know, are you hindering free speech?
[31:44.000 --> 31:53.000]  Second, that the notion of why free speech is important is fundamentally about are the people, it's the welfare and the freedoms of the people that matter.
[31:53.000 --> 31:54.000]  Right.
[31:54.000 --> 31:58.000]  And are the people of China better off or worse off if Apple completely pulls out of China?
[31:58.000 --> 32:00.000]  I would say they're worse off. It's better.
[32:00.000 --> 32:01.000]  I think that's the issue.
[32:01.000 --> 32:07.000]  They're so big. It'd be one thing if we were a smaller company. They're so big and they're so intertwined with the Chinese company.
[32:07.000 --> 32:14.000]  They have sales, they have customers, they have employees, they have stores, they have manufacturing partners.
[32:14.000 --> 32:19.000]  Regardless what people think about Chinese outsourcing manufacturer, the phone iPhones would not be made if it were not for China.
[32:19.000 --> 32:21.000]  China would not be affordable.
[32:21.000 --> 32:27.000]  China is cracking down on end to end encrypted messaging systems.
[32:27.000 --> 32:28.000]  They just stopped.
[32:28.000 --> 32:29.000]  Right.
[32:29.000 --> 32:34.000]  They pulled the plug. Well, not pulled the plug, but they set up the great firewall to block WhatsApp like two weeks ago.
[32:34.000 --> 32:35.000]  Right.
[32:35.000 --> 32:37.000]  But iMessage and FaceTime are still working.
[32:37.000 --> 32:38.000]  Right.
[32:38.000 --> 32:45.000]  And iMessage and FaceTime, and I know that there are cynics out there who think, oh, Apple probably gave China the back door or something like that.
[32:45.000 --> 32:50.000]  They really are engineered. I can't prove this. I'm not an encryption expert. I don't have the source code.
[32:50.000 --> 32:59.000]  But everything I know about them is that they were drawn from the ground up so that there could not be a man in the middle back door just for China or something like that.
